"llama","-","-","cria","herd","&nbsp;"
"locust","-","-","-","host  swarm","&nbsp;"
"louse  (plural lice)","male","female","nymph","colony  infestation lice","&nbsp;"
"magpie","cock","hen","chick","tiding  tribe charm gulp flock murder","&nbsp;"
"mallard","drake","duck","duckling","flush  sord","&nbsp;"
"mole","male","female","pup","labour","&nbsp;"
"monkey","male","female","infant","troop  cartload","&nbsp;"
"moose","bull","cow","calf","herd","&nbsp;"
"mosquito","male","female","lnymph wriggler tumbler","swarm","&nbsp;"
"mouse","buck","doe","pup  pinkie kitten","horde  mischief","&nbsp;"
"mule","jack","hinney","foal","barren  pack span","&nbsp;"
"nightingale","cock","hen","chick","watch","&nbsp;"
"opossum","jack","jill","joey","-","&nbsp;"
"ostrich","cock","hen","chick","flock","&nbsp;"
"otter","male","female","whelp  pup","family  raft","&nbsp;"
"owl","-","-","owlet","parliament","&nbsp;"
"ox","steer  bull","cow","stot calf","drove  herd yoke","{&nbsp;|bovine}"
"oyster","-","-","spat","bed","&nbsp;"
"panda","boar","sow","cub","-","&nbsp;"
"parrot","cock","hen","chick","company  flock","&nbsp;"
"peafowl","peacock","peahen","peachick","muster  ostentation","&nbsp;"
"penguin","male","female","chick","rookery","&nbsp;"
"pheasant","cock","hen","chick","brood  (a family) nye (a large group)","&nbsp;"
"pig","boar","sow","piglet  shoat farrow","drove  herd litter (of pups) sounder","{&nbsp;|porcine}"
"pigeon","cock","hen","squab  squeaker","flock  kit","&nbsp;"
"platypus","-","-","puggle","-","&nbsp;"
"porpoise","bull","cow","calf","herd  pod school","&nbsp;"
"prairie  dog","boar","sow","pup","coterie  town","&nbsp;"
"pronghorn","buck","doe","fawn","herd","&nbsp;"
"quail","cock","hen","chick","bevy  covey drift","&nbsp;"
"rabbit","buck","doe","kitten  bunny kit","colony  drove leash nest trace warren","{&nbsp;|lapine}"
"raccoon","boar","sow","cub","nursery","&nbsp;"
"rat","buck","doe","pup  pinkie kitten","horde  mischief","murine"
"raven","-","-","-","congress  unkindness","&nbsp;"
"rhinoceros","bull","cow","calf","crash","&nbsp;"
"sand dollar","male","female","larva  pluteus (free-swimming stage) juvenile (young  urchin)","-","&nbsp;"
"seal","bull","cow","pup","herd  pod rookery harem","&nbsp;"
"seastar","male","female","larva  pluteus (free-swimming stage) juvenile (young  urchin)","-","&nbsp;"
"sea urchin","male","female","larva  pluteus (free-swimming stage) juvenile (young  urchin)","-","&nbsp;"
"serval","male","female","kitten","-","&nbsp;"
"shark","bull","female","pup","school  shiver","&nbsp;"
"sheep","buck  ram","ewe  dam","lamb  lambkin cosset","drift  drove flock herd mob trip","{&nbsp;|ovine}"
"skunk","-","-","kit","surfeit","&nbsp;"
"snake","male","female","snakelet neonate (a newly-born snake) hatchling (a  newly-hatched snake)","bed  nest pit","&nbsp;"
"spider","male","female","spiderling","-","&nbsp;"
"squirrel","buck","doe","pup  kit kitten","dray","&nbsp;"
"swallow","-","-","-","flight","&nbsp;"
"swan","cob","pen","cygnet  flapper","bevy  game herd team wedge (flying in a &quot;v&quot; formation)","&nbsp;"
"termite","male","female","larva","swarm  (while flying) colony","&nbsp;"
"tiger","tiger","tigress","cub  whelp","ambush  streak","feline"
"toad","male","female","tadpole","knot","&nbsp;"
"turkey","tom","hen","poult","rafter","&nbsp;"
"turtle","male","female","hatchling","bale","&nbsp;"
"wallaby","jack","jill","joey","mob","&nbsp;"
"walrus","bull","cow","cub  pup","herd  pod","&nbsp;"
"wasp","drone","queen  (reproducing female) worker (non-reproducing female)","larva","colony","&nbsp;"
"weasel","dog  buck jack hob","bitch  doe jill","kit","gang","{&nbsp;|musteline}"
"whale","bull","cow","calf","gam grind herd pod school","&nbsp;"
"wolf","dog","bitch","pup  whelp","pack  rout","lupine"
"wombat","jack","jill","joey","mob","&nbsp;"
"woodpecker","male","female","chick","descent","&nbsp;"
"wren","cock","jenny","chick","flock  herd","&nbsp;"
"yak","bull","cow","calf","herd","&nbsp;"
"yellow jacket","drone","queen  (egg-laying female) worker (non-reproducing female)","larva","colony","&nbsp;"
"zebra","stallion","mare","colt  foal","herd  crossing","&nbsp;"
