"","","winter of:","winter of:","winter of:","winter of:","winter of:","number      ofwinterseach species occurred       1996-2006","year(s)of      occurence      for speciesnoted only pre-1996"
"black guillemot","*x*","*x*","x","*x*","*x*","*x*","10",""
"atlantic puffin","x","x","x","x","x","x","10",""
"cuckoosp.","","","","","","","1",""
"yellow-billedcuckoo","","","","","","x","0",""
"chimneyswift","","","","","","","1",""
"band-tailedpigeon","","","","","","","0","1981"
"rock pigeon","*x*","*x*","x","*x*","*x*","*x*","10",""
"white-winged dove","x","","","","*x*","x","2",""
"mourning dove","*x*","*x*","x","*x*","*x*","*x*","10",""
"barnowl","","","","","","","0","4records"
"great horned owl","*x*","*x*","x","*x*","*x*","*x*","10",""
"snowy owl","*x*","x","x","*x*","x","*x*","10",""
"barred owl","*x*","*x*","x","*x*","*x*","*x*","10",""
"long-eared owl","x","x","x","x","x","*x*","10",""
"short-eared owl","*x*","*x*","x","*x*","*x*","*x*","10",""
"northern hawk-owl","","x","","","","","1",""
"northern saw-whet owl","x","*x*","x","*x*","*x*","*x*","10",""
"borealowl","","","","x","","","2",""
"ruby-throatedhummingbird","","","","","","x","0",""
"hummingbirdsp.","","","","x","","","",""
"belted kingfisher","*x*","*x*","x","*x*","*x*","*x*","10",""
"red-headed woodpecker","*x*","","","*x*","","","4",""
"red-bellied woodpecker","*x*","x","x","*x*","*x*","x","9",""
"yellow-bellied sapsucker","*x*","","","x","*x*","*x*","5",""
"downy woodpecker","*x*","*x*","x","*x*","*x*","*x*","10",""
"hairy woodpecker","*x*","*x*","x","*x*","*x*","*x*","10",""
"black-backed woodpecker","*x*","*x*","x","*x*","*x*","*x*","10",""
"three-toed woodpecker","","","","","","x","3",""
"northern flicker","*x*","*x*","x","*x*","*x*","*x*","10",""
"pileated woodpecker","*x*","*x*","x","*x*","*x*","*x*","10",""
"duskyflycatcher","","","","","","","1",""
"empidomax flycatcher sp.","","","x","","x","","",""
"(dusky/least) flycatcher","x","","","","","","1",""
"easternphoebe","","x","","x","","x","4",""
"say's phoebe","x","x","","","","x","1",""
"ash-throatedflycatcher","","","","","","","1",""
"eastern kingbird","","","","","","","1",""
"westernkingbird","x","","x","x","","","2",""
"scissor-tailedflycatcher","","","","","","","0","1984"
"northern shrike","*x*","*x*","x","*x*","*x*","*x*","10",""
"loggerheadshrike","","","","","","","0","3records"
"brownshrike","","","","","","","1",""
"white-eyedvireo","","","","","x","","1",""
"bell'svireo","","","","","","x","1",""
"red-eyed vireo","","","","","","","2",""
"blue-headed vireo","x","","","","","","5",""
"gray jay","x","*x*","x","*x*","*x*","*x*","10",""
"blue jay","*x*","*x*","x","*x*","*x*","*x*","10",""
"eurasianjackdaw","","","","","","","0","1984/85"
"american crow","*x*","*x*","x","*x*","*x*","*x*","10",""
"fishcrow","","","","","","","0","1966&amp;1967"
"common raven","*x*","*x*","x","*x*","*x*","*x*","10",""
"horned lark","*x*","*x*","x","*x*","*x*","*x*","10",""
"barnswallow","","","","","","","1",""
"tree swallow","x","","","","","","5",""
"cliffswallow","","","","","","","0","1948"
"black-capped chickadee","*x*","*x*","x","*x*","*x*","*x*","10",""
"boreal chickadee","*x*","*x*","x","*x*","*x*","*x*","10",""
"red-breasted nuthatch","*x*","*x*","x","*x*","*x*","*x*","10",""
"white-breasted nuthatch","*x*","*x*","x","*x*","*x*","*x*","10",""
"brown creeper","*x*","*x*","x","*x*","*x*","*x*","10",""
"carolina wren","","*x*","x","*x*","*x*","*x*","2",""
"house wren","x","x","x","x","x","x","6",""
"winter wren","x","x","x","x","x","*x*","10",""
"sedgewren","","","","","","","0","1982"
"marsh wren","x","","x","x","","","8",""
"golden-crowned kinglet","*x*","*x*","x","*x*","*x*","*x*","10",""
"ruby-crowned kinglet","x","*x*","x","x","*x*","*x*","10",""
"blue-gray gnatcatcher","x","x","","","x","","4",""
"northern wheatear","","","","","","","2",""
"eastern bluebird","*x*","*x*","x","","","","4",""
"mountainbluebird","x","","","","","","2",""
"townsend's solitaire","","*x*","","","*x*","","4",""
"veery","","","","","","","1",""
"swainson's thrush","","","","","","","1",""
"hermit thrush","*x*","*x*","x","*x*","*x*","*x*","10",""
"woodthrush","","","","","","","0","1967/68"
"fieldfare","","","","","x","","0","1994"
"redwing","","","","","","x","0",""
"american robin","*x*","*x*","x","*x*","*x*","*x*","10",""
"varied thrush","*x*","*x*","x","*x*","*x*","","4",""
"gray catbird","x","*x*","x","*x*","*x*","*x*","8",""
"northern mockingbird","*x*","*x*","x","*x*","*x*","*x*","10",""
"brown thrasher","*x*","*x*","x","*x*","x","*x*","8",""
"american pipit","*x*","*x*","x","*x*","*x*","*x*","10",""
"bohemian waxwing","*x*","*x*","x","*x*","*x*","*x*","10",""
"cedar waxwing","*x*","*x*","x","*x*","*x*","*x*","10",""
"european starling","*x*","*x*","x","*x*","*x*","*x*","10",""
"blue-winged warbler","","","","","","","1",""
"orange-crowned warbler","x","*x*","x","*x*","x","x","10",""
"tennesseewarbler","","","","","","","0","1983"
"northern parula","x","","x","","x","","4",""
"nashvillewarbler","","x","","x","","x","10",""
"yellowwarbler","x","","","","","","0","1964"
"magnolia warbler","","","","","","","4",""
"capemaywarbler","","x","","","","","2",""
"black-throated blue warbler","","","","","","","3",""
"yellow-rumped warbler","*x*","*x*","x","*x*","*x*","*x*","10",""
"audubon'syellow-rumped warbler","","","","","","","1",""
"townsend'swarbler","","","","","","","0","1993"
"hermitwarbler","","","","x","","","0","1994/95"
"black-throatedgraywarbler","","","","","","","0","1984"
"black-throated green warbler","","","","","","","3",""
"yellow-throated warbler","x","x","x","","*x*","x","6",""
"pine warbler","*x*","*x*","x","*x*","*x*","*x*","10",""
"prairie warbler","","x","x","","","","1",""
"palm warbler","x","x","x","x","x","x","10",""
"bay-breasted warbler","","","","","","","1",""
"blackpoll warbler","","x","","","","","3",""
"black-and-white warbler","x","*x*","x","x","x","x","6",""
"americanredstart","","x","","","","","1",""
"ovenbird","x","x","","","","x","5",""
"northern waterthrush","","","","","","","2",""
"macgillivray'swarbler","","","","","","","1",""
"commonyellowthroat","x","x","x","x","x","x","10",""
"hoodedwarbler","","","","","","","0","1976"
"wilson's warbler","x","","","","","x","6",""
"yellow-breasted chat","*x*","*x*","x","*x*","*x*","x","10",""
"summer tanager","x","x","","x","","","3",""
"scarlet tanager","","","","","","","2",""
"western tanager","","","","","","*x*","4",""
"eastern towhee","*x*","*x*","x","*x*","*x*","*x*","10",""
"spottedtowhee","","","x","","","","0",""
"american tree sparrow","*x*","*x*","x","*x*","*x*","*x*","10",""
"chipping sparrow","*x*","*x*","x","*x*","*x*","*x*","10",""
"clay-colored sparrow","","x","x","x","*x*","*x*","4",""
"field sparrow","x","*x*","","","x","*x*","7",""
"vesper sparrow","","","","","x","*x*","5",""
"lark sparrow","","*x*","","x","","*x*","7",""
"larkbunting","","","","","","","0","1959&amp;1968"
"savannah sparrow","*x*","*x*","x","*x*","*x*","*x*","10",""
"ipswichsparrow","*x*","x","x","*x*","x","*x*","10",""
"grasshopper sparrow","x","","x","x","x","","2",""
"leconte's sparrow","","","","x","","","1",""
"nelson's sparrow","","","","","","","6",""
"salt-marshsparrow","","","","","","","1",""
"seaside sparrow","","","","","","","2",""
"fox sparrow","*x*","x","x","*x*","*x*","x","10",""
"song sparrow","*x*","*x*","x","*x*","*x*","*x*","10",""
"lincoln'ssparrow","x","x","x","x","x","*x*","7",""
"swamp sparrow","x","*x*","x","*x*","*x*","*x*","10",""
"white-throated sparrow","*x*","*x*","x","*x*","*x*","*x*","10",""
"harris'ssparrow","","","","","","*x*","1",""
"white-crowned sparrow","","*x*","x","*x*","*x*","*x*","10",""
"golden-crownedsparrow","","","","*x*","","x","2",""
"dark-eyed junco","*x*","*x*","x","*x*","*x*","*x*","10",""
"lapland longspur","*x*","*x*","x","*x*","*x*","*x*","10",""
"snow bunting","*x*","*x*","x","*x*","*x*","*x*","10",""
"northern cardinal","*x*","*x*","x","*x*","*x*","*x*","10",""
"rose-breastedgrosbeak","","","x","*x*","","","4",""
"black-headedgrosbeak","","","","","","","1",""
"hybridrbxbhgrosbeak","","","","","x","","",""
"blue grosbeak","","","","","","","1",""
"indigobunting","x","","x","x","x","x","2",""
"painted bunting","","","","x","","x","4",""
"dickcissel","*x*","*x*","x","*x*","x","*x*","10",""
"bobolink","","x","","","","","0","1969&amp;1973"
"red-winged blackbird","*x*","*x*","x","*x*","*x*","*x*","10",""
"yellow-headed blackbird","","x","","","","*x*","4",""
"eastern meadowlark","*x*","*x*","x","x","*x*","x","10",""
"westernmeadowlark","","","","","","","0","1982"
"rusty blackbird","*x*","*x*","x","*x*","*x*","","9",""
"brewer'sblackbird","","","","x","","","1",""
"great-tailedgrackle","","","","","","","0","1983/84"
"common grackle","*x*","*x*","x","*x*","*x*","*x*","10",""
"brown-headed cowbird","*x*","*x*","x","*x*","*x*","*x*","10",""
"orchardoriole","","","","","","","0",""
"baltimore oriole","*x*","*x*","x","*x*","*x*","*x*","10",""
"bullock'soriole","","","","","*x*","","2",""
"brambling","","","","","","","0","1989"
"chaffinch","","","","","","","1",""
"pine grosbeak","*x*","*x*","x","*x*","*x*","*x*","10",""
"purple finch","*x*","*x*","x","*x*","*x*","*x*","10",""
"house finch","*x*","*x*","x","*x*","*x*","*x*","10",""
"red crossbill","","*x*","x","*x*","*x*","x","10",""
"white-winged crossbill","*x*","*x*","x","*x*","*x*","x","10",""
"common redpoll","*x*","*x*","x","*x*","*x*","x","10",""
"hoary redpoll","","*x*","","x","*x*","","5",""
"pine siskin","*x*","*x*","x","*x*","*x*","*x*","10",""
"american goldfinch","*x*","*x*","x","*x*","*x*","*x*","10",""
"evening grosbeak","*x*","*x*","x","*x*","*x*","*x*","10",""
"house sparrow","*x*","*x*","x","*x*","*x*","*x*","10",""
"singlewintertotals","195","198","187","205","191","205","ave=195","36pre-1996species"
"depthsofwinterlist","139","147","xxx","152","143","151","ave = 149",""
"nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)","nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)","nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)","nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)","nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)","nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)","nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)","nova scotia cumulativewinter species total&nbsp; =&nbsp; 336      winter single season average = 195species&nbsp; (14seasons)       (totals do not include ipswichsparrow eurasian teal or audubon's warbler)",""
