"title","star","co-star","director","sound","note"
"casino","robertde niro","sharonstone","martinscorsese","dolby","3x4"
"citizenkane","orsonwelles","josephcotton","orsonwelles","mono","&nbsp;"
"clearand present danger","harrisonford","willemdafoe","phillipnoyce","ac-3/thx","&nbsp;"
"cliffhanger","sylvesterstallone","johnlithgow","rennyharlin","dolby","&nbsp;"
"clockers","harveykeitel","johnturturro","spikelee","dolby","&nbsp;"
"commando","arnoldschwarzenegger","raedawn chong","markl. lester","dolby","&nbsp;"
"contact","jodiefoster","matthewmcconaughey","robertzemeckis","ac-3","&nbsp;"
"copland","sylvesterstallone","harveykeitel","jamesmangold","ac-3","&nbsp;"
"copycat","sigourneyweaver","hollyhunter","jonamiel","dolby","&nbsp;"
"crimsontide","denzelwashington","genehackman","tonyscott","ac-3/thx","&nbsp;"
"danceswith wolves","kevincostner","marymcdonnell","kevincostner","dolby","3x4"
"dave","kevinkline","sigourneyweaver","ivanreitman","dolby","&nbsp;"
"deadman walking","susansarandon&nbsp;","seanpenn","timrobbins","dolby","&nbsp;"
"deadpool","clinteastwood","patriciaclarkson","buddyvan horn","dolby","&nbsp;"
"deadpresidents","larenztate","keithdavid","thehughes bros","ac-3/thx","&nbsp;"
"diehard","brucewillis","alanrickman","johnmctiernan","dolby","&nbsp;"
"diehard 2 - die harder","brucewillis","bonniebedelia","rennyharlin","dolby","&nbsp;"
"diehard with a vengeance","brucewillis","jeremyirons","johnmctiernan","ac-3/thx","&nbsp;"
"dirtyharry","clinteastwood","harryguardino","donsiegel","stereo","&nbsp;"
"donniebrasco","alpacino","johnnydepp","mikenewell","dolby","&nbsp;"
"dumband dumber","jimcarrey","jeffdaniels","peterfarrelly","dolby","&nbsp;"
"easyrider","peterfonda","dennishopper","dennishopper","stereo","&nbsp;"
"empirestrikes back","harrisonford","markhamill","irvinkershner","dolby/thx","&nbsp;"
"eraser","arnoldschwarzenegger","vanessawilliams","charlesrussell","dolby","&nbsp;"
"executivedecision","kurtrussell","halleberry","stuartbaird","ac-3","&nbsp;"
"fallen","denzelwashington","johngoodman","gregoryholbit","ac-3","&nbsp;"
"fantasia(anniversary)","m. mouse","fat hippos","jamesalgar","dolby","&nbsp;"
"farand away","tomcruise","nicolekidman","ronhoward","dolby","&nbsp;"
"fargo","francesmcdormand","williamh. macy","joelcoen","dolby","&nbsp;"
"firefox","clinteastwood","freddyjones","clinteastwood","stereo","&nbsp;"
"forbiddenplanet","walterpidgeon","annefrancis","fredmcleod wilcox","stereo","&nbsp;"
"forrestgump","tomhanks","robinwright","robertzemeckis","ac-3/thx","&nbsp;"
"getshorty","johntravolta","genehackman","barrysonnenfeld","ac-3/thx","&nbsp;"
"ghostbusters","billmurray","danaykroyd","ivanreitman","dolby","&nbsp;"
"goodfellas","robertde niro","joepesci","martinscorsese","dolby","&nbsp;"
"grandcanyon","dannyglover","kevinkline","lawrencekasdan","dolby","&nbsp;"
"grossepointe blank","johncusack","minniedriver","georgearmitage","ac-3","&nbsp;"
"hardto kill","stevenseagal","kellyle brock","brucemalmuth","dolby","&nbsp;"
"heat","alpacino","robertde nero","michaelmann","ac-3","&nbsp;"
"highsierra","humphreybogart","idalupino","raoulwalsh","mono","3x4"
"highlander","christopherlambert","seanconnery","russellmulcahy","dolby","&nbsp;"
"hotshots! part deux","charliesheen","lloydbridges","jimabrahams","dolby","&nbsp;"
"huntfor red october","alecbaldwin","seanconnery","johnmctiernan","dolby","&nbsp;"
"inthe line of fire","clinteastwood","johnmalkovich","wolfgangpetersen","dolby","&nbsp;"
"independenceday","willsmith","billpullman","rolandemmerich","ac-3/thx","&nbsp;"
"indianajones and the last crusade","harrisonford","seanconnery","stevenspielberg","dolby","&nbsp;"
"jackiebrown","pamgrier","samuell. jackson","quentintarantino","ac-3","&nbsp;"
"jaws","royscheider","richarddreyfuss","stevenspielberg","stereo","&nbsp;"
"jerrymeguire","tomcruise","cubagooding jr.&nbsp;","cameroncrowe","dolby","&nbsp;"
"jurassicpark","samneil","lauradern","stevenspielberg","dolby/thx","&nbsp;"
"justcause","seanconnery","laurencefishburne","arneglimcher","dolby","&nbsp;"
"l.a.confidential","kevinspacey","russellcrowe","curtishanson","ac-3","&nbsp;"
"lastof the mohicans","danielday lewis","madeleinestowe","michaelmann","ac-3/thx","&nbsp;"
"lawnmowerman","jefffahey","piercebrosnan","brettleonard","dolby","&nbsp;"
"legendsof the fall","bradpitt","anthonyhopkins","edwardzwick","dolby","&nbsp;"
"lethalweapon","melgibson","dannyglover","richarddonner","stereo","&nbsp;"
"lethalweapon 2","melgibson","dannyglover","richarddonner","dolby","3x4"
"lethalweapon 3","melgibson","dannyglover","richarddonner","dolby","&nbsp;"
"lonestar","kriskristofferson","matthewmcconaughey","johnsayles","dolby","&nbsp;"
"lookwho's talking","johntravolta","kirstiealley","amyheckerling","stereo","&nbsp;"
"magnumforce","clinteastwood","halholbrook","tedpost","stereo","&nbsp;"
"malice","alecbaldwin","nicolekidman","haroldbecker","dolby","&nbsp;"
"memphisbelle","matthewmodine","ericstoltz","michaelcaton-jones","dolby","&nbsp;"
"menin black","tommylee jones","willsmith","barrysonnenfeld","ac-3/thx","&nbsp;"
"miller'scrossing","gabrielbyrne","albertfinney","joelcoen","dolby","&nbsp;"
"murderat 1600","wesleysnipes","dianelane&nbsp;","dwightlittle","ac-3","&nbsp;"
"narrowmargin","genehackman","annearcher","peterhyams","dolby","&nbsp;"
"nickof time","johnnydepp","christopherwalkin","johnbadham","ac-3","&nbsp;"
"noway out","kevincostner","genehackman","rogerdonaldson","dolby","&nbsp;"
"nuttyprofessor","eddiemurphy","jadapinkett","tomshadyac","dolby","&nbsp;"
"ondeadly ground","stevenseagal","michaelcaine","stevenseagal","dolby","&nbsp;"
"outof africa","robertredford","merylstreep","sydneypollack","stereo","&nbsp;"
"outbreak","dustinhoffman","renerusso","wolfgangpeterson","ac-3","&nbsp;"
"passageto marseille","humphreybogart","clauderains","michaelcurtiz","mono","&nbsp;"
"patriotgames","harrisonford","annearcher","phillipnoyce","dolby","3x4"
"pelicanbrief","juliaroberts","denzelwashington","alanj. pakula","dolby","&nbsp;"
"predator","arnoldschwarzenegger","carlweathers","johnmctiernan","stereo","&nbsp;"
"predator2","dannyglover","garybusey","stephenhopkins","dolby","3x4"
"pulpfiction","johntravolta","samuell. jackson","quentintarantino","dolby/thx","&nbsp;"
"raidersof the lost ark","harrisonford","karenallen","stevenspielberg","stereo","&nbsp;"
"ransom","melgibson","renerusso","ronhoward","ac-3/thx","&nbsp;"
"redheat","arnoldschwarzenegger","jamesbelushi","walterhill","dolby","&nbsp;"
"reservoirdogs","harveykeitel","timroth","quentintarantino","dolby","&nbsp;"
"returnof the jedi","harrisonford","markhamill","richardmarquand","dolby/thx","&nbsp;"
"robinhood","kevincostner","morganfreeman","kevinreynolds","dolby","&nbsp;"
"romeo&amp; juliet","oliviahussey","leonardwhiting","francozeffirelli","mono","3x4"
"savingprivate ryan","tomhanks","edwardburns","stevenspielberg","ac-3/thx","&nbsp;"
"scentof a woman","alpacino","chriso'donnell","martinbrest","dolby","&nbsp;"
"se7en","bradpitt","morganfreemen","davidfincher","ac-3","&nbsp;"
"senseand sensibility","emmathompson","alanrickman","anglee","dolby","&nbsp;"
"shawshankredemption","timrobbins","morganfreeman","frankdarabont","dolby","&nbsp;"
"silenceof the lambs","jodiefoster","anthonyhopkins","johnathandemme","dolby","&nbsp;"
"sleepers","kevinbacon","robertde niro","barry levinson","ac-3","&nbsp;"
"somethingabout mary","camerondiaz","mattdillon","peter &amp; bobbyfarrelly","ac-3","&nbsp;"
"species","marghelgenberger","benkingsley","roger donaldson","ac-3/thx","&nbsp;"
"speed","keanureeves","sandrabullock","graham yost","dolby/thx","&nbsp;"
"starwars","harrisonford","markhamill","georgelucas","dolby/thx","&nbsp;"
"stargate","kurtrussell","jamesspader","roland emmerich","ac-3/thx","&nbsp;"
"strikingdistance","brucewillis","sarahjessica parker","rowdy herrington","dolby","&nbsp;"
"suddenimpact","clinteastwood","sondralocke","clinteastwood","stereo","&nbsp;"
"t2- director's cut","arnoldschwarzenegger","lindahamilton","jamescameron","dolby/thx","&nbsp;"
"terminator","arnoldschwarzenegger","lindahamilton","jamescameron","mono","&nbsp;"
"theabyss - director's cut","edharris","maryelizabeth mastrantonio","jamescameron","dolby/thx","&nbsp;"
"thearrival","charliesheen","lindsaycrouse","david twohy","ac-3","&nbsp;"
"thebabe","johngoodman","kellymcgillis","arthur hiller","dolby","&nbsp;"
"thebig lebowski","jeffbridges","johngoodman","joelcoen","ac-3","3x4"
"thebirdcage","robinwilliams","nathanlane&nbsp;","mike nichols&nbsp;","ac-3","&nbsp;"
"thebodyguard","kevincostner","whitneyhouston","mick jackson","dolby","&nbsp;"
"theclient","susansarandon","tommylee jones","joel schumacher","dolby","&nbsp;"
"thedoors","valkilmer","megryan","oliver stone","dolby","&nbsp;"
"theenforcer","clinteastwood","harryguardino","james fargo","stereo","&nbsp;"
"thefirm","tomcruise","jeannetripplehorn","sydney pollack","dolby","&nbsp;"
"thefly","jeffgoldblum","geenadavis","david cronenberg","stereo","&nbsp;"
"thefreshman","marlinbrando","matthewbroderick","andrew bergman","dolby","3x4"
"thefugitive","harrisonford","tommylee jones","andrew davis","dolby","&nbsp;"
"thegodfather","marlinbrando","alpacino","francisford coppola","ac-3/thx","&nbsp;"
"thegodfather part ii","alpacino","robertduvall","francisford coppola","ac-3/thx","&nbsp;"
"theice storm","kevinkline","sigourneyweaver","ang lee","dolby","3x4"
"thelegend continues","michael jackson","other jacksons&nbsp;","motown productions","stereo","&nbsp;"
"thepetrified forest","humphreybogart","lesliehoward","archie mayo","mono","3x4"
"theprincess bride","caryelwes","mandypatinkin","robreiner","dolby","&nbsp;"
"theprofessional","jeanreno","garyoldman","luc besson","dolby","&nbsp;"
"theref","denisleary","judydavis","ted demme","dolby","&nbsp;"
"therock","seanconnery","nicolascage","michael bay","ac-3/thx","&nbsp;"
"the three stooges","larry moe curley","shemp","&nbsp;","mono","3x4"
"titanic","leonardodicaprio","katewinslet","jamescameron","ac-3/thx","&nbsp;"
"topgun","tomcruise","kellymcgillis","tony scott","ac-3/thx","&nbsp;"
"totalrecall","arnoldschwarzenegger","rachelticotin","paul verhoeven","dolby","&nbsp;"
"trainspotting","ewanmcgregor","ewenbremner","danny boyle","ac-3","&nbsp;"
"truelies","arnoldschwarzenegger","jamielee curtis","jamescameron","ac-3/thx","&nbsp;"
"twister","helenhunt","billpaxton","jan de bont","ac-3/thx","&nbsp;"
"undersiege","stevenseagal","tommylee jones","andrew davis","dolby","&nbsp;"
"undersiege 2","stevenseagal","ericbogosian","geoff murphy","dolby","&nbsp;"
"unforgiven","clinteastwood","genehackman","clinteastwood","dolby","&nbsp;"
"usualsuspects","kevinspacey","stephenbaldwin","bryan singer","dolby","&nbsp;"
"videoessentials","demo/calibration","&nbsp;","joe kane","ac-3/thx","&nbsp;"
"warof the worlds","genebarry","annrobinson","byron haskin","stereo","&nbsp;"
"whileyou were sleeping","sandrabullock","billpullman","john turteltaub","dolby/thx","&nbsp;"
"whitenights","mikhailbarishnikov","gregoryhines","trevor hackford","dolby","&nbsp;"
"wolf","jacknicholson","michellepfeiffer","mike nichols","dolby","&nbsp;"
"wow!","demo/calibration&nbsp;","&nbsp;","georgelucas","dolby/thx","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"for sale (cheap!!!)","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;bugsbunny superstar","bugs bunny","elmer fudd","chuck jones","mono","3x4"
"cyborg","jean-claudevan damme","deborahrichter","albert pyun","stereo","3x4"
"darkman","liamneeson","larrydrake","sam raimi","dolby","&nbsp;"
"tequilasunrise","melgibson","michellepfeiffer","robert towne","dolby","3x4"
"theabyss","edharris","maryelizabeth mastrantonio","jamescameron","dolby","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
