"NULL","&nbsp;&nbsp;&nbsp;&nbsp;manlia scantilla","augusta","193ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;didia clara","augusta","193ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;pescennius niger","usurper","193ad - 194ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;clodius albinus","caesar","195ad - 197ad","0 coins available"
"NULL","septimius severus","augustus","193ad - 211ad","8 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;julia domna","augusta","193ad - 217ad","0 coins available"
"NULL","caracalla","augustus","211ad - 217ad","13 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;plautilla","imperial family member","202ad - 211ad","0 coins available"
"NULL","geta","augustus","211ad - 212ad","0 coins available"
"NULL","macrinus","augustus","217ad - 218ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;diadumenian","caesar","218ad","0 coins available"
"NULL","elagabalus","augustus","218ad - 222ad","2 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;julia soaemias","augusta","218ad - 222ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;julia maesa","augusta","218ad - 225ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;julia paula","augusta","219ad - 220ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;aquilia severa","augusta","220ad - 222ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;annia faustina","augusta","221ad","0 coins available"
"NULL","severus alexander","augustus","222ad - 235ad","4 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;salonina","augusta","253ad - 268ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;julia mamaea","augusta","222ad - 235ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;orbiana","augusta","225ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;tetricus ii","usurper","272ad - 274ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;tetricus i","usurper","272ad - 274ad","0 coins available"
"NULL","maximinus i","augustus","235ad - 238ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;paulina","imperial family member","235ad - 238ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;maximus","caesar","235ad - 238ad","0 coins available"
"NULL","gordian i","augustus","238ad","0 coins available"
"NULL","gordian ii","augustus","238ad","0 coins available"
"NULL","balbinus","augustus","238ad","0 coins available"
"NULL","pupienus","augustus","238ad","0 coins available"
"NULL","gordian iii","augustus","238ad - 244ad","10 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;tranquillina","augusta","241ad - 244ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;sponsianus","usurper","240ad - 250ad","0 coins available"
"NULL","philip i","augustus","244ad - 249ad","2 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;otacilia severa","augusta","244ad - 249ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;philip ii","caesar","245ad - 249ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;jotapian","usurper","248ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;silbannacus","usurper","248ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;pacatian","usurper","248ad","0 coins available"
"NULL","trajan decius","augustus","249ad - 251ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;herennia estruscilla","augusta","249ad - 253ad","0 coins available"
"NULL","herennius etruscus","augustus","251ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;hostilian","caesar","251ad","0 coins available"
"NULL","trebonianus gallus","augustus","251ad - 253ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;volusian","caesar","251ad - 253ad","1 coin available"
"NULL","aemilian","augustus","253ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;cornelia supera","augusta","253ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;uranius antoninus","usurper","253ad - 254ad","0 coins available"
"NULL","valerian i","augustus","253ad - 260ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;mariniana","imperial family member","253ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;macrianus","usurper","260ad - 261ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;quietus","usurper","260ad - 261ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;regalianus","usurper","260ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;dryantilla","augusta","260ad","0 coins available"
"NULL","gallienus","augustus","253ad - 268ad","6 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;valerian ii","caesar","256ad - 258ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;saloninus","caesar","255ad - 259ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;postumus","usurper","260ad - 268ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;marius","usurper","268ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;victorinus","usurper","268ad - 270ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;laelianus","usurper","268ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;aureolus","usurper","268ad","0 coins available"
"NULL","claudius ii","augustus","268ad - 270ad","3 coins available"
"NULL","quintillus","augustus","270ad","0 coins available"
"NULL","aurelian","augustus","270ad - 275ad","8 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;severina","augusta","270ad - 275ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;vabalathus","usurper","271ad - 272ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;zenobia","usurper","271ad - 272ad","0 coins available"
"NULL","tacitus","augustus","275ad - 276ad","4 coins available"
"NULL","florian","augustus","276ad","0 coins available"
"NULL","probus","augustus","276ad - 282ad","5 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;saturninus","usurper","280ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;bonosus","usurper","280ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;proculus","usurper","280ad - 281ad","0 coins available"
"NULL","carus","augustus","282ad - 283ad","1 coin available"
"NULL","numerian","augustus","283ad - 284ad","0 coins available"
"NULL","carinus","augustus","283ad - 285ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;magnia urbica","augusta","283ad - 285ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;nigrinian","imperial family member","283ad - 284ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;julian of pannoniae","usurper","284ad - 285ad","0 coins available"
"NULL","diocletian","augustus","284ad - 305ad","4 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;carausius","usurper","287ad - 293ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;allectus","usurper","293ad - 296ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;domitius domitianus","usurper","296ad - 297ad","0 coins available"
"NULL","maximianus","augustus","286ad - 305ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;amandus","usurper","285ad - 286ad","0 coins available"
"NULL","constantius i","augustus","305ad - 306ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;helena","augusta","306ad - 337ad","2 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;theodora","imperial family member","305ad - 306ad","1 coin available"
"NULL","galerius","augustus","305ad - 311ad","2 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;galeria valeria","augusta","305ad - 311ad","0 coins available"
"NULL","maxentius","augustus","306ad - 312ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;romulus","caesar","310ad - 315ad","0 coins available"
"NULL","maximinus ii","augustus","309ad - 311ad","1 coin available"
"NULL","severus ii","augustus","306ad - 307ad","0 coins available"
"NULL","licinius i","augustus","311ad - 323ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;licinius ii","caesar","317ad - 324ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;martinian","usurper","324ad","0 coins available"
"NULL","constantine i","augustus","306ad - 337ad","3 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;fausta","augusta","307ad - 326ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;crispus","caesar","312ad - 330ad","2 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;delmatius","caesar","334ad - 337ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;hanniballianus","imperial family member","335ad - 337ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;constantia","augusta","313ad - 324ad","0 coins available"
"NULL","constantine ii","augustus","337ad - 340ad","2 coins available"
"NULL","constans","augustus","337ad - 350ad","2 coins available"
"NULL","magnentius","augustus","350ad - 353ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;decentius","caesar","350ad - 353ad","0 coins available"
"NULL","nepotian","augustus","350ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;vetranio","usurper","350ad","0 coins available"
"NULL","constantius ii","augustus","350ad - 361ad","4 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;gallus","caesar","351ad - 354ad","0 coins available"
"NULL","julian","augustus","361ad - 363ad","1 coin available"
"NULL","jovian","augustus","363ad - 364ad","0 coins available"
"NULL","valentinian i","augustus","364ad - 375ad","0 coins available"
"NULL","valens","augustus","364ad - 378ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;procopius","usurper","365ad - 366ad","0 coins available"
"NULL","gratian","augustus","375ad - 383ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;magnus maximus","usurper","383ad - 388ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;flavius victor","usurper","387ad - 388ad","0 coins available"
"NULL","valentinian ii","augustus","375ad - 392ad","2 coins available"
"NULL","theodosius i","augustus","379ad - 392ad","3 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;aelia flaccilla","augusta","379ad - 386ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;eugenius","usurper","392ad - 394ad","0 coins available"
"NULL","arcadius","augustus","395ad - 408ad","1 coin available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;eudoxia","augusta","395ad - 404ad","0 coins available"
"NULL","honorius","augustus","393ad - 423ad","0 coins available"
"NULL","constantius iii","augustus","421ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;galla placidia","augusta","417ad - 450ad","0 coins available"
"NULL","johannes","augustus","423ad - 425ad","0 coins available"
"NULL","theodosius ii","augustus","402ad - 450ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;eudocia","augusta","421ad - 460ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;constantine iii","usurper","407ad - 411ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;priscus attalus","usurper","409ad - 410ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;maximus ii","usurper","409ad - 411ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;jovinus","usurper","411ad - 413ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;sebastianus","usurper","412ad - 413ad","0 coins available"
"NULL","valentinian iii","augustus","425ad - 455ad","5 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;licinia eudoxia","augusta","425ad - 455ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;honoria","augusta","425ad - 454ad","0 coins available"
"NULL","marcian","augustus","450ad - 457ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;pulcheria","augusta","450ad - 453ad","0 coins available"
"NULL","petronius maximus","augustus","455ad","0 coins available"
"NULL","avitus","augustus","455ad - 456ad","0 coins available"
"NULL","majorian","augustus","457ad - 461ad","0 coins available"
"NULL","leo i","augustus","457ad - 474ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;verina","augusta","457ad - 484ad","0 coins available"
"NULL","libius severus","augustus","461ad - 465ad","0 coins available"
"NULL","anthemius","augustus","467ad - 472ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;euphemia","augusta","467ad - 472ad","0 coins available"
"NULL","olybrius","augustus","472ad","0 coins available"
"NULL","glycerius","augustus","473ad - 474ad","0 coins available"
"NULL","julius nepos","augustus","474ad - 480ad","0 coins available"
"NULL","zeno","augustus","474ad - 491ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;ariadne","augusta","474ad - 515ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;basiliscus","usurper","475ad - 476ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;zenonis","imperial family member","475ad - 476ad","0 coins available"
"NULL","&nbsp;&nbsp;&nbsp;&nbsp;leontius","usurper","484ad - 488ad","0 coins available"
"NULL","romulus augustulus","augustus","475ad - 476ad","0 coins available"
"NULL","anastasius","augustus","491ad - 518ad","0 coins available"
