"rank","article","page views"
"68","segona guerra mundial","3242"
"69","drets humans","3232"
"70","terra","3191"
"71","caganer","3181"
"72","estats units d&#39;amèrica","3158"
"73","andorra","3133"
"74","acròpoli","3120"
"75","alemanya","3102"
"76","ç","3084"
"77","frança","3075"
"78","nit de cap d&#39;any","3073"
"79","wikileaks","3053"
"80","pau riba i romeva","3021"
"81","renaixement","3014"
"82","w/index.php","2929"
"83","leonardo da vinci","2889"
"84","ordinador","2852"
"85","tirant lo blanc","2852"
"86","ara (diari)","2836"
"87","nadala","2834"
"88","europa","2823"
"89","viquipèdia en català","2821"
"90","canvi climàtic","2781"
"91","corona d&#39;aragó","2763"
"92","generalitat de catalunya","2719"
"93","modernisme","2712"
"94","qatar","2711"
"95","primera guerra mundial","2707"
"96","energia eòlica","2665"
"97","flexió verbal del català","2653"
"98","història de catalunya","2645"
"99","gos","2609"
"100","temple expiatori de la sagrada família","2607"
"101","advent","2588"
"102","xina","2557"
"103","islam","2553"
"104","clima de catalunya","2548"
"105","william shakespeare","2538"
"106","especial:random","2536"
"107","accent diacrític","2527"
"108","país valencià","2509"
"109","rss","2499"
"110","special:random","2499"
"111","cristòfor colom","2494"
"112","nepal","2486"
"113","vulva","2483"
"114","albert einstein","2482"
"115","gat","2474"
"116","john lennon","2470"
"117","ausiàs march","2464"
"118","viquipèdia:text de la llicència de creative commons reconeixement-compartir igual 3.0 no adaptada","2457"
"119","cristianisme","2454"
"120","antoni gaudí i cornet","2437"
"121","cèl·lula","2431"
"122","unió europea","2429"
"123","harry potter","2421"
"124","taula periòdica","2417"
"125","viquipèdia:quant a la viquipèdia","2416"
"126","mamífer","2414"
"127","joana ortega i alemany","2410"
"128","art gòtic","2410"
"129","energia","2406"
"130","països catalans","2397"
"131","volcà","2389"
"132","egipte","2376"
"133","mercè rodoreda i gurguí","2373"
"134","japó","2354"
"135","plàstic","2349"
"136","charles robert darwin","2337"
"137","gran muralla xinesa","2322"
"138","the beatles","2317"
"139","romanticisme","2310"
"140","diftong","2309"
"141","solstici","2291"
"142","aristòtil","2278"
"143","special:statistics","2276"
"144","marató de tv3","2272"
"145","terratrèmol","2251"
"146","viquipèdia:gran quinzena anual de la qualitat","2246"
"147","antic egipte","2242"
"148","ocell","2239"
"149","itàlia","2228"
"150","peix","2227"
"151","coure","2217"
"152","mitologia grega","2211"
"153","plató","2197"
"154","shakira","2193"
"155","wolfgang amadeus mozart","2192"
"156","densitat","2192"
"157","marroc","2186"
"158","miquel martí i pol","2185"
"159","cor","2185"
"160","isaac newton","2170"
"161","viquipèdia:la taverna/arxius/novetats/recent","2158"
"162","riu","2137"
"163","pare noel","2134"
"164","bitxo","2131"
"165","alzina","2107"
"166","especial:search","2107"
"167","josep guardiola i sala","2105"
"168","electricitat","2099"
"169","anarquisme","2098"
"170","suïssa","2095"
"171","dialectes del català","2088"
"172","especial:categories","2083"
"173","mont fuji","2080"
"174","bacteri","2073"
"175","bolet","2071"
"176","gramàtica catalana","2067"
"177","budisme","2065"
"178","especial:pàgines especials","2060"
"179","santa maria del mar","2056"
"180","declaració universal dels drets humans","2046"
"181","canadà","2041"
"182","pablo picasso","2034"
"183","viquipèdia:esborrany","2029"
"184","literatura catalana","2027"
"185","ebre","2022"
"186","catedral de sant basili","2020"
"187","guerra dels segadors","2012"
"188","virus","2009"
"189","judaisme","2009"
"190","londres","2008"
"191","penis","2007"
"192","castells","2004"
"193","austràlia","1996"
"194","lleó","1984"
"195","parís","1979"
"196","sol","1974"
"197","índia","1974"
"198","molsa","1972"
"199","aixecament del 2 de maig de 1808","1971"
"200","regne unit","1967"
"201","roma","1964"
"202","jocs olímpics","1962"
"203","energia solar","1952"
"204","eleccions al parlament de catalunya (2006)","1950"
"205","fong","1947"
"206","temps verbal","1947"
"207","joan rosell i lastortras","1946"
"208","manel (grup)","1939"
"209","solidaritat catalana per la independència","1937"
"210","jesús de natzaret","1924"
"211","atletisme","1917"
"212","ajuda:com navegar en català","1907"
"213","sistema solar","1904"
"214","agricultura","1900"
"215","programari lliure","1899"
"216","lluís companys i jover","1890"
"217","viquipèdia:citau les fonts","1889"
"218","david madí i cendrós","1882"
"219","gentilici","1875"
"220","fusta","1871"
"221","futbol","1867"
"222","els segadors","1863"
"223","clima mediterrani","1860"
"224","mercuri (planeta)","1858"
"225","handbol","1853"
"226","selecció de futbol de catalunya","1852"
"227","telèfon","1848"
"228","globalització","1846"
"229","llista d&#39;espècies animals en perill d&#39;extinció","1843"
"230","corrent elèctric","1839"
"231","lleida","1834"
"232","lluna","1832"
"233","guifré i el pelós","1827"
"234","marca comercial","1826"
"235","catedral de barcelona","1826"
"236","amfibi","1825"
"237","terra baixa","1820"
"238","imperi romà","1816"
"239","tarragona","1815"
"240","ferro","1813"
"241","francesc macià i llussà","1812"
"242","metall","1812"
"243","marxisme","1805"
"244","xavier hernández i creus","1805"
"245","cervell","1798"
"246","atmosfera terrestre","1796"
"247","joan salvat-papasseit","1796"
"248","carlemany","1793"
"249","escultura","1792"
"250","pirineus","1791"
"251","antiga grècia","1784"
"252","galileo galilei","1781"
"253","rússia","1776"
"254","go","1773"
"255","bèlgica","1771"
"256","anglès","1770"
"257","viquipèdia:proposta de distinció d&#39;alta qualitat d&#39;un article","1766"
"258","especial:pàgines noves","1763"
"259","llengües romàniques","1761"
"260","farigola","1760"
"261","convergència i unió","1760"
"262","almogàver","1757"
"263","feudalisme","1750"
"264","anglaterra","1743"
"265","alumini","1742"
"266","impressionisme","1741"
"267","barroc","1735"
"268","grècia","1733"
"269","valencià","1732"
"270","els pastorets","1729"
"271","croades","1728"
"272","viquipèdia:esborrar pàgines/propostes","1727"
"273","salvador dalí i domènech","1724"
"274","jacint verdaguer i santaló","1721"
"275","argentina","1714"
"276","illes balears","1707"
"277","lady gaga","1705"
"278","màquina de vapor","1702"
"279","sofre","1698"
"280","ludwig van beethoven","1693"
"281","revolució francesa","1692"
"282","favicon.ico","1689"
"283","telèfon mòbil","1688"
"284","joanot martorell","1682"
"285","brasil","1682"
"286","tauró","1675"
"287","franquisme a catalunya","1674"
"288","sexe","1670"
"289","mineral","1669"
"290","desert","1666"
"291","carbó","1664"
"292","lionel andrés messi","1663"
"293","especial:estadístiques","1662"
"294","capa d&#39;ozó","1659"
"295","favicon.ico","1652"
"296","viquipèdia:condicions d&#39;ús","1650"
"297","trobador","1639"
"298","pluja àcida","1634"
"299","vent","1633"
"300","reproducció","1631"
"301","felip puig i godes","1629"
"302","club super3","1624"
"303","conill","1621"
"304","estrella","1621"
"305","tabac","1621"
"306","mèxic","1621"
"307","biodiversitat","1611"
"308","sistema operatiu","1607"
"309","clima","1604"
"310","energia mareomotriu","1604"
"311","arbre de nadal","1591"
"312","catalanisme","1590"
"313","qatar foundation","1589"
"314","torró","1587"
"315","valència","1587"
"316","montserrat","1578"
"317","prehistòria","1576"
"318","charles dickens","1573"
"319","masturbació","1571"
"320","zeus","1569"
"321","malaltia d&#39;alzheimer","1568"
"322","olot","1568"
"323","ecosistema","1567"
"324","paper","1562"
"325","àfrica","1561"
"326","ibers","1561"
"327","la vaca cega","1560"
"328","dinosaure","1558"
"329","ajuda:carregar un fitxer","1558"
"330","enric valor i vives","1558"
"331","johann sebastian bach","1557"
"332","google","1557"
"333","sant jordi","1555"
"334","al-àndalus","1555"
"335","història","1553"
"336","capitalisme","1551"
"337","pesta negra","1551"
"338","aparell digestiu","1549"
"339","central hidroelèctrica","1547"
"340","adolf hitler","1544"
"341","israel","1544"
"342","2010","1542"
"343","guerra de successió espanyola","1540"
"344","sang","1540"
"345","àtom","1539"
"346","carboni","1536"
"347","cap d&#39;any","1534"
"348","viquipèdia:avís d&#39;exempció de responsabilitat","1534"
"349","decrets de nova planta","1533"
"350","estat","1523"
"351","nil","1522"
"352","viquipèdia:avaluació d&#39;articles","1518"
"353","informàtica","1518"
"354","occità","1517"
"355","llista de déus grecs","1508"
"356","nova york","1504"
"357","automòbil","1497"
"358","animal","1497"
"359","sant climent de taüll","1493"
"360","guineu","1483"
"361","venus (planeta)","1480"
"362","verb","1480"
"363","tecnologies de la informació i la comunicació","1469"
"364","protocol de kyoto","1468"
"365","música","1468"
"366","vic","1467"
"367","vagina","1463"
"368","guerra del francès","1463"
"369","francisco de goya y lucientes","1463"
"370","bruc","1463"
"371","nombre primer","1461"
"372","fotosíntesi","1458"
"373","sigmund freud","1457"
"374","medusa","1455"
"375","mirall trencat","1450"
"376","roure","1450"
"377","malària","1449"
"378","big bang","1449"
"379","el petit príncep","1448"
"380","rèptil","1445"
"381","olivera","1444"
"382","mar","1443"
"383","portugal","1440"
"384","triangle","1437"
"385","escalfament","1437"
"386","thomas alva edison","1432"
"387","fitxer:commons-logo.svg","1431"
"388","color","1430"
"389","mart (planeta)","1427"
"390","malaltia infecciosa","1425"
"391","insecte","1423"
"392","àustria","1422"
"393","parc güell","1414"
"394","acer","1412"
"395","catarisme","1408"
"396","llúcia de siracusa","1407"
"397","energia nuclear","1399"
"398","constitució","1399"
"399","àsia","1399"
"400","biomassa","1399"
"401","apòstrof","1397"
"402","xocolata","1393"
"403","alexandre el gran","1391"
"404","erecció","1391"
"405","planta","1390"
"406","madrid","1389"
"407","suècia","1388"
"408","vincent van gogh","1387"
"409","energia geotèrmica","1387"
"410","napoleó bonaparte","1382"
"411","diccionari","1381"
"412","països baixos","1379"
"413","llop","1376"
"414","tectònica de plaques","1372"
"415","michael jackson","1369"
"416","antàrtida","1367"
"417","lax&#39;n&#39;busto","1365"
"418","sabadell","1365"
"419","colònia vidal","1362"
"420","bandera de catalunya","1359"
"421","ibrahim afellay","1356"
"422","bosc mediterrani","1353"
"423","karl marx","1353"
"424","josep maria de sagarra i de castellarnau","1352"
"425","colonialisme","1349"
"426","marató de tv3 contra les lesions medul·lars i cerebrals adquirides","1347"
"427","hinduisme","1345"
"428","castellà","1345"
"429","marie curie","1344"
"430","dofí","1344"
"431","dinamarca","1343"
"432","llatí","1342"
"433","romaní (planta)","1340"
"434","reciclatge","1338"
"435","terrassa","1338"
"436","escudella i carn d&#39;olla","1334"
"437","renaixença (catalana)","1333"
"438","alfons lópez tena","1332"
"439","clítoris","1329"
"440","esport","1329"
"441","múscul","1328"
"442","àngel guimerà i jorge","1326"
"443","mossos d&#39;esquadra","1325"
"444","segle xix","1325"
"445","metro de barcelona","1324"
"446","grèvol","1318"
"447","serp","1317"
"448","albert om i ferrer","1317"
"449","saturn (planeta)","1315"
"450","xarxa social","1315"
"451","pi (arbre)","1314"
"452","liberalisme","1314"
"453","art eròtic","1314"
"454","llista de rius de catalunya","1311"
"455","tuberculosi","1311"
"456","raimon","1310"
"457","il·lustració","1310"
"458","josep lluís cleries i gonzàlez","1309"
"459","tortell","1309"
"460","turquia","1306"
"461","romania","1304"
"462","sardana","1300"
"463","temperatura","1299"
"464","tundra","1298"
"465","oxigen","1296"
"466","força","1296"
"467","núvol","1295"
"468","pere el cerimoniós","1295"
"469","jocs florals","1295"
"470","diada nacional de catalunya","1295"
"471","guitarra","1293"
"472","sardenya","1292"
"473","socialisme","1291"
"474","televisió","1290"
"475","júpiter (planeta)","1284"
"476","vallès occidental","1283"
"477","filosofia","1275"
"478","reus","1273"
"479","càncer","1272"
"480","adreça ip","1268"
"481","depressió","1266"
"482","tortosa","1263"
"483","univers","1259"
"484","rosa dels vents","1259"
"485","comte l&#39;arnau","1259"
"486","or","1257"
"487","esquerra republicana de catalunya","1250"
"488","constitució espanyola de 1978","1248"
"489","taigà","1247"
"490","energia hidràulica","1246"
"491","jueus","1243"
"492","voleibol","1242"
"493","finlàndia","1242"
"494","llum","1241"
"495","neolític","1240"
"496","lluís miquel recoder i miralles","1239"
"497","vallès oriental","1236"
"498","catalunya del nord","1236"
"499","monestir de montserrat","1233"
"500","mallorca","1230"
"501","oceania","1230"
"502","alt empordà","1230"
"503","ter","1229"
"504","pere el gran","1228"
"505","joan miró i ferrà","1228"
"506","falguera","1228"
"507","noruega","1226"
"508","so","1225"
"509","humà","1224"
"510","llenguatge","1223"
"511","monestir","1223"
"512","categoria:desembre","1222"
"513","democràcia","1222"
"514","dígraf","1220"
"515","monestir de sant cugat","1220"
"516","províncies d&#39;espanya","1220"
"517","la plaça del diamant","1218"
"518","guillem de berguedà","1218"
"519","papallona","1214"
"520","religió","1214"
"521","euro","1209"
"522","nicolau copèrnic","1208"
"523","mamella","1207"
"524","twitter","1206"
"525","ucraïna","1206"
"526","jazz","1204"
"527","ernest benach i pascual","1203"
"528","youtube","1202"
"529","pintura","1202"
"530","gossos","1201"
"531","guifré el pilós","1200"
"532","reis catòlics","1197"
"533","còlera","1195"
"534","mar i cel","1194"
"535","malaltia","1192"
"536","realisme","1192"
"537","violí","1188"
"538","radioactivitat","1187"
"539","casa milà","1187"
"540","comunisme","1186"
"541","correu electrònic","1186"
"542","hidrogen","1186"
"543","psicologia","1186"
"544","torre eiffel","1186"
"545","flor","1185"
"546","ull","1181"
"547","quim monzó","1177"
"548","riu amazones","1174"
"549","formiga","1174"
"550","gerard piqué i bernabeu","1174"
"551","manresa","1173"
"552","pastora","1173"
"553","ajuda:introducció","1172"
"554","fetge","1171"
"555","proteïna","1170"
"556","joan sala i ferrer","1170"
"557","llet","1169"
"558","la bogeria","1166"
"559","sòcrates","1164"
"560","equador","1162"
"561","narcís oller i moragas","1160"
"562","badalona","1160"
"563","lip dub","1158"
"564","mancomunitat de catalunya","1154"
"565","maresme","1154"
"566","energia solar fotovoltaica","1154"
"567","grip","1154"
"568","garrotxa","1154"
"569","danubi","1154"
"570","calendari gregorià","1153"
"571","art","1153"
"572","xile","1152"
"573","girafa","1152"
"574","rené descartes","1151"
"575","vaixell","1150"
"576","josep maria pelegrí i aixut","1150"
"577","llista de municipis de catalunya","1149"
"578","ornitorinc","1149"
"579","satèl·lit natural","1149"
"580","josé montilla i aguilera","1148"
"581","població","1148"
"582","colònia industrial","1148"
"583","compromís de casp","1145"
"584","carles riba i bracons","1145"
"585","quars","1145"
"586","programari","1144"
"587","especial:preferències","1144"
"588","haiku","1144"
"589","llista de muntanyes de catalunya","1142"
"590","martí l&#39;humà","1142"
"591","publicitat","1141"
"592","vesc","1138"
"593","mescla","1135"
"594","piano","1135"
"595","droga","1135"
"596","aina clotet","1134"
"597","combustible fòssil","1133"
"598","ratpenat","1133"
"599","franquisme","1133"
"600","usuari:bestiasonica","1131"
"601","imperi bizantí","1131"
"602","mario vargas llosa","1129"
"603","grup macedònia","1128"
"604","comunitat autònoma","1128"
"605","disc dur","1126"
"606","estadi olímpic lluís companys","1125"
"607","segona república espanyola","1122"
"608","tortuga","1118"
"609","granit","1117"
"610","cinema","1116"
"611","faig","1115"
"612","vidre","1115"
"613","mohandas gandhi","1111"
"614","província de barcelona","1110"
"615","rondalla","1110"
"616","elvis presley","1109"
"617","nombre enter","1108"
"618","bombeta elèctrica","1108"
"619","edat moderna","1106"
"620","mitologia","1105"
"621","jordi pujol i soley","1105"
"622","evolució","1103"
"623","discussió:portada","1099"
"624","font d&#39;energia","1098"
"625","estats units","1096"
"626","pneumònia","1096"
"627","muntanya","1096"
"628","el llobregat","1096"
"629","ciència","1094"
"630","virus informàtic","1092"
"631","urà (planeta)","1092"
"632","equació de segon grau","1090"
"633","hongria","1090"
"634","energia no renovable","1089"
"635","clima tropical","1089"
"636","visions &amp; cants","1088"
"637","mol·lusc","1088"
"638","àrab","1085"
"639","oceà atlàntic","1081"
"640","piràmides d&#39;egipte","1080"
"641","modernisme català","1079"
"642","ramon berenguer iv","1079"
"643","contaminació","1076"
"644","protozou","1075"
"645","aeroport internacional de barcelona","1073"
"646","2001","1072"
"647","glòbul vermell","1071"
"648","colosseu","1069"
"649","mar mediterrània","1068"
"650","imperialisme","1067"
"651","bernat metge","1067"
"652","one piece","1066"
"653","guerra civil catalana","1066"
"654","bojan krkić i pérez","1065"
"655","charles chaplin","1064"
"656","mitologia catalana","1064"
"657","sostenibilitat","1063"
"658","teatre","1062"
"659","portal:geografia","1062"
"660","renaixença","1061"
"661","la seu d&#39;urgell","1061"
"662","linx ibèric","1061"
"663","arquimedes","1061"
"664","amor","1058"
"665","dieta mediterrània","1056"
"666","tennis","1056"
"667","neptú (planeta)","1056"
"668","osona","1055"
"669","sistema circulatori","1055"
"670","jules verne","1055"
"671","bàdminton","1055"
"672","síndrome de down","1054"
"673","illes canàries","1054"
"674","sau","1053"
"675","dorotea de chopitea","1052"
"676","mà","1050"
"677","camp nou","1050"
"678","bob marley","1049"
"679","bicicleta","1049"
"680","lípid","1049"
"681","pingüí","1049"
"682","escacs","1048"
"683","humanisme","1048"
"684","occitània","1044"
"685","segre","1043"
"686","arròs","1041"
"687","antonio vivaldi","1041"
"688","ciutat","1041"
"689","ejaculació","1039"
"690","burgesia","1038"
"691","homer","1038"
"692","nació","1037"
"693","perpinyà","1037"
"694","nova zelanda","1037"
"695","planeta","1036"
"696","sud-àfrica","1035"
"697","element químic","1034"
"698","sabana","1033"
"699","bosc","1033"
"700","dia de sant david","1033"
"701","2000","1032"
"702","categoria:meteorologia","1032"
"703","ós bru","1030"
"704","2007","1029"
"705","república popular de la xina","1029"
"706","monestir de santa maria de ripoll","1029"
"707","gremi","1029"
"708","oïda","1028"
"709","nit de sant joan","1028"
"710","josep carner i puig-oriol","1028"
"711","calendari d&#39;esdeveniments","1028"
"712","martin luther king","1026"
"713","província de girona","1025"
"714","perú","1023"
"715","paleolític","1022"
"716","nutrició","1020"
"717","raquel sans duran","1020"
"718","josep puig i cadafalch","1019"
"719","argila","1018"
"720","diamant","1016"
"721","beisbol","1016"
"722","gravetat","1016"
"723","fc barcelona","1016"
"724","continent","1015"
"725","emoció","1015"
"726","viquipèdia:pàgina de proves","1014"
"727","ràdio","1013"
"728","naturisme","1012"
"729","francès","1012"
"730","bulímia","1011"
"731","fageda d&#39;en jordà","1010"
"732","fòssil","1010"
"733","barcelonès","1008"
"734","aliment","1008"
"735","empúries","1008"
"736","alexander fleming","1007"
"737","2008","1006"
"738","tigre","1006"
"739","roca","1005"
"740","arbre","1005"
"741","cromosoma","1005"
"742","estelada","1004"
"743","quatre columnes","1003"
"744","louis pasteur","1003"
"745","substantiu","1002"
"746","bolívia","1000"
"747","colòmbia","1000"
"748","aliment transgènic","999"
"749","andalusia","998"
"750","òpera","998"
"751","mètrica (poesia)","998"
"752","viquipèdia:anomenar pàgines","998"
"753","roca sedimentària","996"
"754","forat negre","995"
"755","reial club deportiu espanyol de barcelona","993"
"756","usuari discussió:paucabot","993"
"757","equinoderm","993"
"758","viquipèdia:avís legal","992"
"759","setmana tràgica","989"
"760","drets d&#39;autor","989"
"761","cultura","989"
"762","antiga roma","986"
"763","amèrica","986"
"764","bloc","985"
"765","afrodita","984"
"766","galàxia","984"
"767","vall d&#39;aran","984"
"768","patrimoni de la humanitat","983"
"769","organització de les nacions unides","982"
"770","la gioconda","982"
"771","aragó","981"
"772","adverbi","979"
"773","l&#39;odissea","979"
"774","llavis (genitals)","979"
"775","noucentisme","979"
"776","venècia","979"
"777","placa tectònica","978"
"778","maquinari","975"
"779","diòxid de carboni","975"
"780","andreu mas-colell","974"
"781","autisme","974"
"782","esfera","974"
"783","bûche de noël","973"
"784","xipre","973"
"785","salut","970"
"786","mahoma","969"
"787","independentisme català","969"
"788","guix","968"
"789","sopa de cabra","967"
"790","baix llobregat","967"
"791","atena","965"
"792","2009","965"
"793","polònia","965"
"794","lenin","963"
"795","cloroplast","960"
"796","sistema respiratori","958"
"797","granota","958"
"798","madagascar","957"
"799","mesopotàmia","957"
"800","mononucleosi infecciosa","956"
"801","woody allen","954"
"802","pompeia","954"
"803","municipi","952"
"804","categoria:acústica","952"
"805","categoria:enginyeria","951"
"806","assertivitat","951"
"807","rovelló","951"
"808","ovella","951"
"809","fitxer:mapa de localització a les comarques catalanes.svg","951"
"810","tecnologia","950"
"811","accident de txernòbil","950"
"812","maria mare de jesús","949"
"813","tsunami","948"
"814","coit","948"
"815","contaminació acústica","947"
"816","guerra freda","947"
"817","hivern","946"
"818","bíblia","946"
"819","catedral de girona","946"
"820","midó","943"
"821","xarampió","943"
"822","obesitat","942"
"823","alga","942"
"824","república","941"
"825","fruita","941"
"826","escalfament global","940"
"827","feixisme","939"
"828","aliatge","939"
"829","densitat de població","938"
"830","àcid desoxiribonucleic","937"
"831","aranya","937"
"832","fonologia del català","937"
"833","termòmetre","937"
"834","vi","937"
"835","mercuri (element)","937"
"836","navegador web","936"
"837","convergència democràtica de catalunya","935"
"838","pell","934"
"839","hip hop","934"
"840","país basc","933"
"841","rima","933"
"842","mitologia romana","933"
"843","main page","932"
"844","neoclassicisme","931"
"845","segle xx","931"
"846","2006","931"
"847","nitrogen","930"
"848","onomatopeia","928"
"849","vegueria","927"
"850","destil·lació","927"
"851","perifèric","926"
"852","escòcia","926"
"853","glúcid","925"
"854","esperanto","924"
"855","partit dels socialistes de catalunya","924"
"856","estany (element)","923"
"857","fitxer:catalunya+comarques+català.jpg","923"
"858","1956","923"
"859","bibiana ballbè serra","922"
"860","quinto (joc)","921"
"861","història de la llengua catalana","918"
"862","palau de la música catalana","916"
"863","camí de sant jaume","915"
"864","arc de sant martí","914"
"865","polígon","914"
"866","pirita","913"
"867","nacionalisme","913"
"868","romeu i julieta","913"
"869","química","912"
"870","android","912"
"871","ronyó","911"
"872","enzim","911"
"873","els amics de les arts","910"
"874","castanyada","909"
"875","porífer","908"
"876","montserrat caballé i folch","908"
"877","sexe anal","907"
"878","alfabet fonètic internacional","907"
"879","discapacitat","907"
"880","màrius torres i pereña","906"
"881","nelson mandela","905"
"882","cuba","905"
"883","anna frank","905"
"884","regla d&#39;hondt","904"
"885","deu manaments","903"
"886","1995","903"
"887","biologia","903"
"888","misteri d&#39;elx","902"
"889","velocitat","902"
"890","zinc","902"
"891","florència","902"
"892","desembre","901"
"893","estadística","899"
"894","robert louis stevenson","899"
"895","irlanda","898"
"896","plom","897"
"897","creacionisme","897"
"898","avió","896"
"899","69 (posició sexual)","895"
"900","l&#39;alguer","895"
"901","metre","893"
"902","artròpode","893"
"903","web 2.0","891"
"904","oli d&#39;oliva","891"
"905","isabel ii d&#39;espanya","891"
"906","expressionisme","890"
"907","treball de recerca","889"
"908","august","889"
"909","apol·lo","888"
"910","ajuda:registrar-se","888"
"911","marca hispànica","888"
"912","dret","888"
"913","eleccions al parlament de catalunya","888"
"914","reis mags","886"
"915","gastroenteritis","886"
"916","porc","885"
"917","antoni strubell i trueta","885"
"918","anèmia","885"
"919","constel·lació de la quilla","884"
"920","juli cèsar","884"
"921","miley cyrus","883"
"922","llibre dels fets","883"
"923","marco polo","882"
"924","origen de la vida","882"
"925","dansa","882"
"926","bages","882"
"927","comunicació","882"
"928","mare de déu de montserrat","880"
"929","afganistan","879"
"930","embassaments de catalunya","877"
"931","astronomia","876"
"932","racisme","876"
"933","selva","876"
"934","principat de catalunya","876"
"935","lluís domènech i montaner","874"
"936","blat","874"
"937","galícia","874"
"938","fruit","874"
"939","glucosa","873"
"940","cant gregorià","873"
"941","especial:fonts bibliogràfiques","873"
"942","francesc xavier","872"
"943","mitocondri","872"
"944","educació","872"
"945","edat antiga","870"
"946","llista de prefixos","869"
"947","ph","869"
"948","matemàtiques","868"
"949","copyleft","868"
"950","2004","868"
"951","1999","866"
"952","eixample de barcelona","865"
"953","mesquita","865"
"954","viquipèdia:llista d&#39;articles que totes les llengües haurien de tenir","865"
"955","víctor català","863"
"956","pantocràtor","863"
"957","clima continental","863"
"958","felicitat","862"
"959","georg friedrich händel","862"
"960","clima equatorial","861"
"961","acrosport","861"
"962","james watt","861"
"963","leucèmia","861"
"964","anorèxia","859"
"965","dièresi","858"
"966","comarques del país valencià","858"
"967","feminisme","858"
"968","vietnam","857"
"969","tv3","857"
"970","pressió atmosfèrica","857"
"971","enginyeria","857"
"972","algèria","856"
"973","asteroide","856"
"974","organització no governamental","856"
"975","monestir de sant pere de rodes","855"
"976","qwerty","855"
"977","teresa de calcuta","855"
"978","espècie","855"
"979","angle","855"
"980","complement directe","854"
"981","berlín","853"
"982","oriol pujol i ferrusola","853"
"983","islàndia","853"
"984","liu xiaobo","851"
"985","marbre","849"
"986","àguila","849"
"987","arquitectura gòtica","849"
"988","mataró","848"
"989","piotr ilitx txaikovski","848"
"990","iósif stalin","847"
"991","descobriment d&#39;amèrica","846"
"992","alcohol","844"
"993","esquizofrènia","843"
"994","ramaderia","843"
"995","dissabte","842"
"996","orquestra","841"
"997","mark zuckerberg","840"
"998","embaràs","840"
"999","amèrica del nord","839"
"1000","mur de berlín","839"
