"peak","ranking","map","guide","grid ref","alt (ft)","alt (m)"
"caw fell","88","nw","w","ny 132 110","2288","697"
"clough head","74","ne","e","ny 334 225","2381","726"
"cold pike","96","sw","s","ny 263 035","2259","689"
"coniston old man","32","sw","s","sd 272 978","2633","803"
"crag fell","161","nw","w","ny 097 144","1710","521"
"crag hill (eel   crag)","24","nw","nw","ny 193 203","2749","838"
"crinkle crags","17","sw","s","ny 249 049","2816","858"
"dale head","63","nw","nw","ny 223 154","2473","754"
"dodd","175","nw","n","ny 244 273","1612","491"
"dollywagon pike","16","ne","e","ny 345 131","2810","856"
"dove crag","37","ne","e","ny 374 104","2603","793"
"dow crag","47","sw","s","sd 262 977","2555","779"
"eagle crag","174","nw","c","ny 275 121","1650","503"
"eel crag (crag hill)","24","nw","nw","ny 193 203","2749","838"
"esk pike","11","sw","s","ny 230 075","2903","885"
"fairfield","13","ne","e","ny 359 117","2863","873"
"fellbarrow","199","nw","w","ny132 243","1363","415"
"fleetwith pike","114","nw","w","ny 205 142","2126","648"
"froswick","80","se","fe","ny 435 085","2339","713"
"gavel fell","159","nw","w","ny 116 184","1720","524"
"gibson knott","197","se","c","ny 318 099","1379","420"
"glaramara","45","nw","s","ny 247 105","2560","780"
"glenridding dodd","193","ne","e","ny 381 176","1425","434"
"gowbarrow fell","180","ne","e","ny 407 218","1579","481"
"grange fell","198","nw","c","ny 264 163","1363","415"
"grasmoor","20","nw","nw","ny 175 204","2791","851"
"gray crag","91","ne","fe","ny 427 119","2286","697"
"graystones","190","nw","nw","ny177 264","1476","450"
"great borne","125","nw","w","ny 124 164","2019","615"
"great calva","95","nw","n","ny 291 312","2265","690"
"great carrs","42","sw","s","ny 270 009","2575","785"
"great cockup","158","nw","n","ny 273 333","1720","524"
"great crag","187","nw","c","ny 270 147","1500","457"
"great dodd","19","ne","e","ny 342 206","2807","856"
"great end","5","sw","s","ny 227 083","2984","910"
"great gable","7","nw","w","ny 211 103","2949","899"
"great mell fell","155","ne","e","ny 397 254","1760","536"
"great rigg","54","ne","e","ny 356 105","2513","766"
"great sca fell","113","nw","n","ny 291 339","2131","650"
"green crag","176","sw","s","sd 200 983","1602","488"
"green gable","38","nw","w","ny214 107","2603","793"
"grey crag","118","se","fe","ny 497 072","2093","638"
"grey friar","50","sw","s","ny 260 004","2536","773"
"grey knotts","90","nw","w","ny 217 126","2287","697"
"grike","177","nw","w","ny 085 141","1596","486"
"grisedale pike","30","nw","nw","ny 198 226","2593","790"
"hallin fell","203","ne","fe","ny 433 198","1271","387"
"hard knott","148","sw","s","ny 232 024","1803","550"
"harrison stickle","71","sw","c","ny 282 074","2403","732"
"hart crag","27","ne","e","ny 369 112","2698","822"
"hart side","60","ne","e","ny 358 197","2481","756"
"harter fell (eskdale)","112","sw","s","sd 218 997","2140","652"
"harter fell   (martindale)","59","se","fe","ny 460 093","2539","774"
"hartsop above how","140","ne","e","ny 383 120","1870","570"
"hartsop dodd","126","ne","fe","ny 412 118","2018","615"
"haycock","35","nw","w","ny 145 107","2618","798"
"haystacks","135","nw","w","ny 193 132","1900","579"
"helm crag","201","se","c","ny 326 093","1299","396"
"helvellyn","3","ne","e","ny 342 152","3118","950"
"hen comb","170","nw","w","ny 132 181","1661","506"
"heron pike","127","se","e","ny 356 083","2003","611"
"high crag","64","nw","w","ny 180 141","2443","745"
"high hartsop dodd","162","ne","e","ny 394 108","1702","519"
"high pike (caldbeck)","107","ne","n","ny 319 350","2157","658"
"high pike (scandale)","108","se","e","ny 374 088","2155","656"
"high raise (langdale)","57","nw","c","ny 281 095","2500","762"
"high raise (mardale)","31","ne","fe","ny 448 134","2634","803"
"high rigg","209","nw","c","ny 308 220","1163","354"
"high seat","128","nw","c","ny 287 180","1995","608"
"high spy","109","nw","nw","ny 234 162","2143","653"
"high stile","30","nw","w","ny 169 148","2644","806"
"high street","25","ne","fe","ny 440 109","2718","828"
"high tove","168","nw","c","ny 289 165","1665","507"
"hindscarth","73","nw","nw","ny 216 165","2385","727"
"holme fell","213","sw","s","ny 315 006","1040","317"
"hopegill head","53","nw","nw","ny 185 222","2525","770"
"ill bell","62","se","fe","ny 436 077","2476","755"
"illgill head","129","sw","s","ny 166 048","1983","604"
"kentmere pike","72","se","fe","ny 466 078","2397","731"
"kidsty pike","46","ne","fe","ny 448 126","2560","780"
"kirk fell","33","nw","w","ny 195 105","2630","802"
"knott","82","nw","n","ny 296 330","2329","710"
"knott rigg","150","nw","nw","ny 197 188","1790","546"
"knott the","65","ne","fe","ny 092 120","2423","739"
"lank rigg","152","nw","w","ny 278 247","1775","541"
"latrigg","206","nw","n","ny 180 286","1203","367"
"ling fell","205","nw","nw","ny 210 082","1224","373"
"lingmell","29","sw","s","ny 303 046","2649","807"
"lingmoor fell","185","sw","s","ny 387 100","1530","466"
"little hart crag","119","ne","e","ny 423 240","2091","637"
"little mell fell","172","ne","e","ny 457 181","1657","505"
"loadpot hill","102","ne","fe","ny 277 071","2201","671"
"loft crag","93","sw","c","ny 249 284","2270","692"
"long side","70","nw","n","ny 276 354","2405","733"
"longlands fell","178","nw","n","ny 285 272","1580","482"
"lonscale fell","79","nw","n","ny 204 265","2344","714"
"lord's seat","146","nw","nw","ny 347 051","1811","552"
"loughrigg fell","211","se","c","ny 137 226","1101","336"
"low fell","200","nw","w","ny 374 078","1360","415"
"low pike","171","se","e","ny 237 182","1657","505"
"maiden moor","136","nw","nw","ny 447 101","1887","575"
"mardale ill bell","59","ne","fe","ny 283 337","2496","761"
"meal fell","153","nw","n","ny 148 195","1770","539"
"mellbreak","166","nw","w","ny 397 096","1676","511"
"middle dodd","116","se","e","ny 151 072","2106","642"
"middle fell","134","sw","w","ny 312 292","1908","582"
"mungrisedale common","121","ne","n","ny 355 065","2068","630"
"nab scar","192","se","e","ny 344 142","1450","442"
"nabthe","137","ne","fe","ny 211 214","1887","575"
"nethermost pike","9","ne","e","ny 285 080","2920","890"
"outerside","141","nw","nw","ny 271 042","1863","568"
"pavey ark","89","sw","c","ny 274 074","2288","697"
"pike o'blisco","87","sw","s","ny 171 121","2304","702"
"pike o'stickle","83","sw","c","ny 405 169","2323","708"
"pillar","8","nw","w","ny 343 174","2927","892"
"place fell","110","ne","fe","ny 442 128","2142","653"
"raise","12","ne","e","ny 167 183","2889","881"
"rampsgill head","41","ne","fe","ny 303 187","2581","787"
"rannerdale knotts","210","nw","nw","ny 160 154","1160","354"
"raven crag","186","nw","c","ny 165 106","1520","463"
"red pike (buttermere)","61","nw","w","ny 396 087","2479","756"
"red pike (wasdale)","26","nw","w","ny 433 137","2707","825"
"red screes","48","se","e","ny 202 169","2541","774"
"rest dodd","92","ne","fe","ny 249 076","2278","694"
"robinson","67","nw","nw","ny 257 124","2417","737"
"rossett pike","117","sw","s","ny 198 202","2106","642"
"rosthwaite fell (bessyboot)","147","nw","s","ny 194 296","1807","551"
"sail","52","nw","nw","ny 436 040","2530","771"
"saint sunday crag","23","ne","e","ny 207 065","2756","840"
"sale fell","208","nw","nw","ny 215 072","1170","357"
"sallows","164","se","fe","ny 209 207","1691","515"
"scafell","2","sw","s","ny 160 114","3162","964"
"scafell pike","1","sw","s","ny 343 114","3210","978"
"scar crags","101","nw","nw","ny 140 084","2205","672"
"scoat fell","22","nw","w","ny 229 102","2760","841"
"seat sandal","68","ne","e","ny 491 112","2415","736"
"seatallan","94","sw","w","ny 286 089","2266","691"
"seathwaite fell","130","nw","s","ny 273 114","1970","600"
"selside pike","111","ne","fe","ny 369 182","2142","653"
"sergeant man","69","sw","c","ny 472 062","2414","736"
"sergeants' crag","139","nw","c","ny 324 066","1873","571"
"sheffield pike","97","ne","e","ny 260 291","2232","680"
"shipman knotts","132","se","fe","ny 266 278","1926","587"
"silver how","202","sw","c","ny 210 050","1292","394"
"skiddaw","4","nw","n","ny 428 032","3054","931"
"skiddaw little man","15","nw","n","ny 354 287","2837","865"
"slight side","58","sw","s","ny 369 134","2499","762"
"sour howes","183","se","fe","ny 142 157","1568","478"
"souther fell","165","ne","n","ny 320 112","1680","512"
"starling dodd","120","nw","w","ny 440 181","2085","636"
"steel fell","145","ne","c","ny 157 117","1811","552"
"steel knotts","195","ne","fe","ny 348 092","1414","431"
"steeple","&nbsp;28","nw","w","ny 343 190","2687","819"
"stone arthur","173","se","e","ny 273 006","1652","504"
"stybarrow dodd","21","ne","e","ny 303 093","2770","844"
"swirl how","34","sw","s","ny 488 078","2630","802"
"tarn crag (easedale)","149","sw","c","ny 437 127","1801","549"
"tarn crag (longsleddale)","104","se","fe","ny 434 152","2176","663"
"thornthwaite crag","44","ne","fe","ny 431 100","2569","783"
"thunacar knott","76","sw","c","ny 279 080","2351","717"
"troutbeck tongue","207","se","fe","ny 422 064","1191","363"
"ullock pike","99","nw","n","ny 244 287","2230","680"
"ullscarf","75","nw","c","ny 292 122","2370","722"
"walla crag","204","nw","c","ny 276 213","1234","376"
"wandope","51","nw","nw","ny 188 197","2533","772"
"wansfell","181","se","fe","ny 395 045","1579","481"
"watson's dodd","40","ne","e","ny 335 196","2584","788"
"wether hill","100","ne","fe","ny 455 167","2210","674"
"wetherlam","56","sw","s","ny 288 011","2502","763"
"whin rigg","156","sw","s","ny 151 034","1755","535"
"whinlatter","163","nw","nw","ny 197 249","1696","517"
"white side","16","ne","e","ny 337 167","2832","863"
"whiteless pike","106","nw","nw","ny 180 189","2159","658"
"whiteside","84","nw","nw","ny 170 220","2317","706"
"yewbarrow","122","sw","w","ny 173 085","2058","627"
"yoke","85","se","fe","ny 438 068","2309","704"
