"&nbsp;","country","capital","italian"
"188","singapore","singapore","&nbsp;"
"189","slovakia republic of","bratislava","&nbsp;"
"190","slovenia","ljubljana","lubiana"
"191","solomon islands","honiara","&nbsp;"
"192","somalia republic of","mogadishu","mogadiscio"
"193","south africa","pretoria","&nbsp;"
"194","spain","madrid","&nbsp;"
"195","sri lanka","sri      jayawardenapura","&nbsp;"
"196","st. helena","jamestown","&nbsp;"
"197","st. kitts and nevis","basseterre      st. kitts","&nbsp;"
"198","st. lucia","castries","&nbsp;"
"199","st. pierre et miquelon","st.      pierre","&nbsp;"
"200","st. vincent and the grenadines","kingstown      st. vincent island","&nbsp;"
"201","sudan","khartoum","&nbsp;"
"202","suriname","paramaribo","&nbsp;"
"203","svalbard norway","longyearbyen","&nbsp;"
"204","swaziland","mbabane","&nbsp;"
"205","sweden","stockholm","stoccolma"
"206","switzerland","bern","berna"
"207","syria","damascus","damasco"
"208","taiwan","taipei","&nbsp;"
"209","tajikistan","dushanbe","&nbsp;"
"210","tanzania republic of","dodoma","&nbsp;"
"211","thailand","bangkok","&nbsp;"
"212","togolese republic of","lome","lom�"
"213","tonga","nukualofa      tongatapu island","nuku�alofa"
"214","trinidad and tobago","port-of-spain","port      of spain"
"215","tunisia","tunis","tunisi"
"216","turkey","ankara","&nbsp;"
"217","turkmenistan","ashgabat","ashabad"
"218","turks and caicos islands","cockburn      town grand turk","&nbsp;"
"219","tuvalu","funafuti","&nbsp;"
"220","uganda","kampala","&nbsp;"
"221","ukraine","kiev","&nbsp;"
"222","united arab emirates","abu      dhabi","&nbsp;"
"223","united kingdom","london","londra"
"224","united states of america","washington      d.c.","&nbsp;"
"225","uruguay","montevideo","&nbsp;"
"226","uzbekistan","tashkent","&nbsp;"
"227","vanuatu (new hebrides)","port-vila","&nbsp;"
"228","venezuela","caracas","&nbsp;"
"229","vietnam","hanoi","&nbsp;"
"230","virgin islands british","road      town tortola (beef island)","&nbsp;"
"231","virgin islands u.s.","charlotte      amalie st. thomas","&nbsp;"
"232","wake island u.s.","wake      island","&nbsp;"
"233","wallis and futuna islands","mata      utu","mata-utu"
"234","yemen","sanaa","sana�a"
"235","yugoslavia","belgrade","belgrado"
"236","zambia","lusaka","&nbsp;"
"237","zimbabwe","harare","&nbsp;"
