"scientific name/nom scientifique","common nameenglish name","nom communnom fran&ccedil;ais","number of seedlots per speciesnombre de lots le semences par essence"
"betula    cordifolia","mountain    paper birch","bouleau    � feuilles cord�es","1"
"betula    costata","NULL","NULL","6"
"betula    davurica","NULL","NULL","9"
"betula kirghisorum caucasus","betula kirghisorum caucasus","NULL","1"
"betula    lenta","cherry    birch","bouleau    flexible","2"
"betula    occidentalis","water    birch","bouleau    fontinal","1"
"betula    papyrifera","white    birch","bouleau    � papier","23"
"betula    pendula","european    white birch","bouleau    verruqueux","18"
"betula    pendula var. carelica","NULL","NULL","1"
"betula    platyphylla","NULL","NULL","2"
"betula platyphylla sukatchev var. japonica","betula platyphylla sukatchev var. japonica","NULL","7"
"betula    populifolia","grey    birch","bouleau    gris","4"
"betula    pubescens","downey    birch","NULL","9"
"betula    raddeana caucasus","NULL","NULL","1"
"betula    schmidtii","NULL","NULL","8"
"betula    verrucosa","european    white birch","bouleau    verrucosa","1"
"caragana    arborescens","siberean    pea-tree","caragana    arborescent","2"
"carpinus    caroliniana","blue-beech","charme    de caroline","3"
"carya    cordiformis","bitternut    hickory","caryer    cordiforme","1"
"carya    glabra var. odorata","red    hickory","caryer    glabre","2"
"carya    ovalis","sweet    pignut","NULL","1"
"carya    ovata","shagbark    hickory","caryer    ovale","2"
"chacaya    trinervis","NULL","NULL","1"
"chamaecyparis    lawsoniana","lawson-cypress","chamaecyparis    de lawson","1"
"chamaecyparis    nootkatensis","yellow-cedar","chamaecyparis    jaune","2"
"cornus    florida","eastern    flowering dogwood","cornouiller    fleuri","3"
"cornus    nuttallii","western    flowering dogwood","cornouiller    de nuttall","1"
"cornus    stolonifera","red    osier dogwood","cornouiller    stolonif�re","1"
"crataegus    douglasii","black    hawthorn","aub�pine    noire","1"
"crataegus    monogyna","common    hawthorn","aub�pine    monogyne","2"
"fagus    grandifolia","american    beech","h�tre    � grandes feuilles","14"
"fagus    sylvatica","european    beech","h�tre    commun","1"
"fitzroya    cupressoides","patagonia    cypress","cypr�s    de patagonie","1"
"fraxinus    americana","white    ash","fr�ne    blanc","75"
"fraxinus    chinensis","chinese    ash","NULL","1"
"fraxinus    excelsior","european    ash","fr�ne    commun","1"
"fraxinus    nigra","black    ash","fr�ne    noir","10"
"fraxinus    pennsylvanica","red    ash","fr�ne    rouge","69"
"fraxinus    pennsylvanivca var. austini","northern    red ash","fr�ne    d'austin","2"
"gleditsia    triacanthos","honey-locust","f�vier    �pineux","2"
"hamamelis    virginiana","witch-hazel","hamam�lis    de virginie","2"
"hippophae    rhamnoides","sea    buckthorn","argousier    faux-nerprun","1"
"ilex    verticillata","common    winterberry","houx    verticill�","1"
"juglans    nigra","black    walnut","noyer    noir","1"
"juniperus    communis","common    juniper","gen�vrier    commun","3"
"juniperus procera hochst. ex. endl","juniperus procera hochst. ex. endl","NULL","1"
"juniperus    scopulorum","rocky    mountain juniper","gen�vrier    des rocheuses","1"
"juniperus    virginiana","eastern    redcedar","gen�vrier    de virginie","5"
"keteleeria    chien-peii flous","NULL","NULL","1"
"NULL","NULL","NULL","NULL"
"koelreuteria    formosana","NULL","NULL","2"
"koelreuteria    paniculata","golden    rain tree","NULL","1"
"larix    decidua","european    larch","m�l�ze    d'europe","12"
"larix    decidua var. sudetica","european    larch","m�l�ze    d'europe","1"
"larix    eurolepis","dunkeld    larch","NULL","5"
"larix    gmelini","dahurian    larch","m�l�ze    de dahurie","3"
"larix    kaempferi","japanese    larch","m�l�ze    du japon","4"
"larix    laricina","tamarack","m�l�ze    laricin","55"
"larix    occidentalis","western    larch","m�l�ze    de l'ouest","1"
"larix    sibirica","siberian    larch","m�l�ze    de sib�rie","2"
"liriodendron    tulipifera","tulip-tree","tulipier    de virginie","4"
"magnolia    acuminata","cucumber-tree","magnolia    acumin�","3"
"maytenus    boaria","NULL","NULL","2"
"nemopanthus    mucronatus","mountain-holly","n�mopanthe    mucron�","1"
"nothofagus    dombeyi","NULL","NULL","3"
"nothofagus    nervosa","NULL","NULL","2"
"nothofagus    obliqua","roble    beech","NULL","3"
"nothofagus    pumilio","lenga","NULL","1"
"nyssa    sylvatica","black    gum","nyssa    sylvestre","2"
"ostrya    virginiana","ironwood","ostryer    de virginie","6"
"paulownia    fargesii","NULL","NULL","1"
"paulownia    fortunei","NULL","NULL","1"
"paulownia    kawakamii","NULL","NULL","1"
"paulownia    taiwaniana","NULL","NULL","1"
"phellodendron    amurense","amur    corktree","arbre    li�ge de chine","2"
"picea    abies","norway    spruce","�pinette    de norv�ge","105"
"picea    engelmannii","engelmann    spruce","�pinette    d'engelmann","13"
"picea    glauca","white    spruce","�pinette    blanche","953"
"picea    glauca x engelmanii","interior    spruce","NULL","6"
"picea    glauca x mariana","NULL","NULL","3"
"picea    glehnii","saghalin    spruce","NULL","2"
"picea    jezoensis","yeddo    spruce","NULL","1"
"picea    koraiensis","NULL","NULL","3"
"picea    mariana","black    spruce","�pinette    noire","98"
"picea    orientalis","oriental    spruce","NULL","1"
"picea    pungens var. glauca","colorado    blue spruce","NULL","2"
"picea    rubens","red    spruce","�pinette    rouge","71"
"picea    schrenkiana","schrenk's    spruce","NULL","2"
"picea    sitchensis","sitka    spruce","�pinette    de sitka","34"
"pinus    albicaulis","whitebark    pine","pin    � blanche �corce","2"
"pinus armandi var. mastersiana","pinus armandi var. mastersiana","NULL","2"
"pinus    banksiana","jack    pine","pin    gris","54"
"pinus    bungeana","lacebark    pine","NULL","1"
"pinus    caribaea var caribaea","NULL","NULL","2"
"pinus caribaea var. bahamensis","pinus caribaea var. bahamensis","NULL","1"
"pinus caribaea var. hondurensis","pinus caribaea var. hondurensis","NULL","3"
"pinus    cembra var. sibirica","NULL","NULL","2"
"pinus    contorta var. contorta","shore    pine","pin    tordu","3"
"pinus    contorta var. latifolia","lodgepole    pine","pin    tordu latifoli�","98"
"pinus    contorta var. murrayana","lodgepole    pine","pin    tordu latifoli�","1"
"pinus    coulteri","big-cone    pine","NULL","1"
"pinus    densata","NULL","NULL","1"
"pinus    densiflora","japanese    red pine","NULL","2"
"pinus    elliottii","slash    pine","NULL","10"
"pinus    flexilis","limber    pine","pin    flexible","1"
"pinus    griffithii","himalayan    white pine","NULL","1"
"pinus    halepensis","aleppo    pine","NULL","1"
"pinus heldreichii var. leucodermis","pinus heldreichii var. leucodermis","NULL","1"
"pinus    kesiya","khasi    pine","NULL","3"
"pinus    koraiensis","korean    pine","NULL","1"
"pinus    maximinoi","NULL","NULL","2"
"pinus    merkusii","NULL","NULL","1"
"pinus    monticola","western    white pine","pin    argent�","11"
"pinus    mugo","mugho    pine","pin    mugo","1"
"pinus    mugo var. pumilio","NULL","NULL","1"
"pinus    mugo var. rostrata","NULL","NULL","1"
"pinus    muricata","NULL","NULL","1"
"pinus    nigra","austrian    pine","pin    noir d'autriche","9"
"pinus    nigra var. austriaca","NULL","NULL","4"
"pinus    nigra var. koekelare","NULL","NULL","1"
"pinus    oocarpa","NULL","NULL","4"
"pinus    patula tecunmanii","NULL","NULL","2"
"pinus    peuce","macedonean    pine","NULL","1"
"pinus    ponderosa","ponderosa    pine","pin    ponderosa","5"
"pinus    pumila","NULL","NULL","2"
"pinus    resinosa","red    pine","pin    rouge","34"
"pinus    rigida","pitch    pine","pin    rigide","29"
"pinus    sibirica","NULL","NULL","4"
"pinus    strobiformis","southwestern    white pine","NULL","1"
"pinus    strobus","eastern    white pine","pin    blanc","47"
"pinus strobus var. chiapensis","pinus strobus var. chiapensis","NULL","1"
"pinus    sylvestris","scots    pine","pin    sylvestre","43"
"pinus sylvestris var. mongolica","pinus sylvestris var. mongolica","NULL","4"
"pinus sylvestris var. rigensis","pinus sylvestris var. rigensis","NULL","1"
"pinus    tabulaeformis","chinese    pine","NULL","1"
"pinus    taiwanensis hayata","formosa    pine","NULL","2"
"pinus    thunbergii","japanese    black pine","NULL","3"
"pinus    wallichiana","himalayan    pine","NULL","3"
"pladycladus    orientalis","NULL","NULL","1"
"platanus    occidentalis","sycamore","platane    occidental","2"
"populus    balsamifera","balsam    poplar","peuplier    baumier","1"
"populus    grandidentata","largetooth    aspen","peuplier    � grandes dents","15"
"populus    tremuloides","trembling    aspen","peuplier    faux-tremble","16"
"prunus    avium","sweet    cherry","cerisier    sauvage","1"
"prunus    pensylvanica","pin    cherry","cerisier    de pennsylvanie","3"
"prunus    serotina","black    cherry","cerisier    tardif","2"
"prunus    virginiana var. virginiana","choke    cherry","cerisier    de virginie","4"
"pseudotsuga    menziesii var. glauca","rocky    mountain douglas-fir","douglas    bleu","18"
"pseudotsuga    menziesii var. menziesii","douglas-fir","douglas    vert","15"
"ptelea    trifoliata","common    hoptree","pt�l�a    trifoli�","1"
"pterocarpus    macrocarpus","NULL","NULL","1"
"quercus    rubra","red    oak","ch�ne    rouge","1"
"rhamnus    frangula","glossy    buckthorn","nerprun    bourdaine","1"
"rhus    typhina","staghorn    sumac","sumac    vinaigrier","3"
"robinia    pseudoacacia","black    locust","robinier    faux-acacia","2"
"sabin    chinensio","NULL","NULL","1"
"sambucus    canadensis","american    elder","sureau    blanc","2"
"sambucus    pubens","eastern    red elderberry","sureau    rouge","3"
"sambucus    racemosa","european    red elder","NULL","1"
"sassafras    albidum","sassafras","sassafras    officinal","1"
"schinus    patagonicus","NULL","NULL","1"
"sorbus    americana","american    mountain-ash","sorbier    d'am�rique","3"
"sorbus    aucuparia","european    mountain-ash","sorbier    des oiseleurs","2"
"sorbus    decora","showy    mountain-ash","sorbier    d�coratif","3"
"sorbus    intermedia","swedish    whitebeam","NULL","1"
"thuja    occidentalis","eastern    white-cedar","thuya    occidental","10"
"thuja    plicata","western    redcedar","thuya    g�ant","7"
"tilia    americana","basswood","tilleul    d'am�rique","5"
"tilia    euchlora","crimea    linden","NULL","1"
"tsuga    canadensis","eastern    hemlock","pruche    du canada","12"
"tsuga    heterophylla","western    hemlock","pruche    de l'ouest","8"
"tsuga    mertensiana","mountain    hemlock","pruche    subalpine","4"
"ulmus    americana","white    elm","orme    d'am�rique","4"
"ulmus    glabra","scotch    elm","orme    de montagne","1"
"ulmus    laevis","european    white elm","NULL","1"
"viburnum    alnifolium","hobblebush","viorne    � feuilles d'aulne","1"
"viburnum    cassinoides","witherod","viorne    cassino�de","1"
"viburnum    lentago","sweet    viburnum","viorne    flexible","1"
"viburnum    opulus","european    cranberry","viorne    obier","1"
"viburnum    trilobum","cranberry    viburnum","viorne    trilob�e","2"
"NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL"
"total    number of seedlots","NULL","NULL","NULL"
"nombre total de lots de semences","nombre total de lots de semences","NULL","2694"
