"country","currency","a1","a2","b1","b2","c1","c2"
"italy","eur&nbsp;&nbsp;","73","78","83","122","140","150"
"ivory    coast","xof&nbsp;&nbsp;","16100","18900","23100","27300","28350","30100"
"jamaica","jmd&nbsp;&nbsp;","4300","5200","6300","7200","7600","8090"
"japan","jpy&nbsp;&nbsp;","7600","8900","10100","12700","14200","15200"
"jordan","jod&nbsp;&nbsp;","43","50","58","71","75","77"
"kazajstan","kzt&nbsp;&nbsp;","6000","6300","6900","9700","10700","11400"
"kenya","kes&nbsp;&nbsp;","3400","2800","4000","4700","5000","5200"
"kirguistan","kgs&nbsp;&nbsp;","1850","2000","2150","3050","3350","3590"
"latvia","lvl&nbsp;&nbsp;","26","32","39","43","48","55"
"lebanon","lbp&nbsp;&nbsp;","120000","135000","156600","199500","220000","236000"
"liechtenstein","chf&nbsp;&nbsp;","128","142","176","214","238","256"
"lithuania","ltl&nbsp;&nbsp;","119","145","178","196","205","255"
"luxemburg","eur&nbsp;&nbsp;","90","105","110","150","185","200"
"malaysia","myr&nbsp;&nbsp;","210","245","270","340","490","420"
"malta","eur&nbsp;&nbsp;","60","70","82","102","115","122"
"martinica","eur&nbsp;&nbsp;","84","95","104","140","150","155"
"mexico","mxn&nbsp;&nbsp;","770","920","1095","1265","1350","1420"
"moldavia","mdl&nbsp;&nbsp;","400","450","485","680","760","800"
"morocco","mad&nbsp;&nbsp;","340","390","440","565","595","620"
"namibia","nad&nbsp;&nbsp;","326","404","453","537","562","593"
"netherland","eur&nbsp;&nbsp;","86","95","105","140","150","160"
"n.    zealand","nzd&nbsp;&nbsp;","205","260","305","345","365","380"
"nigeria","ngn&nbsp;&nbsp;","4550","5550","6520","7700","8100","8500"
"norway","nok&nbsp;&nbsp;","895","990","1161","1485","1690","1810"
"palestine","nis&nbsp;&nbsp;","130","160","180","210","225","240"
"panama","pab&nbsp;&nbsp;","57","70","80","95","100","106"
"peru","pen&nbsp;&nbsp;","175","210","246","290","300","320"
"philippines","php&nbsp;&nbsp;","1930","2480","2940","3250","3570","3950"
"poland","plz&nbsp;&nbsp;","235","280","340","390","410","435"
"portugal","eur&nbsp;&nbsp;","75","85","97","125","130","137"
"romania","ron&nbsp;&nbsp;","150","180","200","245","280","300"
"russia","rub&nbsp;&nbsp;","2040","2365","2920","3430","3795","4175"
"senegal","xof&nbsp;&nbsp;","16600","20000","23800","28000","30300","31000"
"serbia","csd&nbsp;&nbsp;","3640","4125","4830","6000","6700","7200"
"singapore","sgd&nbsp;&nbsp;","120","145","165","200","220","240"
"slovaquia","eur&nbsp;&nbsp;","35","41","48","59","66","71"
"slovenia","eur&nbsp;&nbsp;","41","50","58","69","75","81"
"south    africa","zar&nbsp;&nbsp;","540","620","740","915","985","1060"
"south    korea","krw&nbsp;&nbsp;","100000","130000","150000","170000","185000","200000"
"spain","eur&nbsp;&nbsp;","102","117","148","170","178","185"
"sweden","sek&nbsp;&nbsp;","1045","1250","1420","1745","1950","2070"
"switzerland","chf&nbsp;&nbsp;","146","180","213","243","275","292"
"syria","syp&nbsp;&nbsp;","1900","2200","2800","3200","3500","3900"
