"world rank","city","country","city           population","metro           population","mayor"
"509","abuja","nigeria","779000","900000","muhammad adamu aliero"
"527","ogbomosho","nigeria","726000","985000","n/k"
"n/r","onitsha","nigeria","509000","1001000","n/k"
"n/r","oshogbo","nigeria","421000","1309000","n/k"
"72","pyongyang","north korea","3255000","3400000","n/k"
"479","hamhung","north korea","821000","821000","n/k"
"575","oslo","norway","584000","876000","fabian stang"
"511","masqat-matrah","oman","776000","776000","n/k"
"1","karachi","pakistan","15500000","18000000","fazlur rehman"
"30","lahore","pakistan","6100000","8600000","mian amir mahmood"
"107","faisalabad","pakistan","2510000","5081000","rana zahid tauseef"
"202","rawalpindi","pakistan","1558000","2548000","raja hamid nawaz"
"237","hyderabad","pakistan","1447000","1500000","kanwar naveed jamil"
"243","multan","pakistan","1424000","1500000","mian faisal mukhtar"
"249","gujranwala","pakistan","1416000","1900000","fayyaz ahmad chattha"
"367","peshawar","pakistan","1100000","3100000","muhammad umar khan"
"n/r","gaza","palestine","410000","1000000","n/k"
"467","panama city","panama","850000","1220000","bosco vallarino"
"592","asuncion","paraguay","546000","1433000","evangelista troche de gallegos"
"22","lima","peru","7606000","8473000","susana villaran"
"443","arequipa","peru","905000","","sim&oacute;n balbuena marroqu&iacute;n"
"7","manila metro","philippines","11550000","13503000","alfredo s lim"
"92","quezon city","philippines","2680000","","herbert m bautis"
"267","caloocan","philippines","1379000","","enrico echiverri"
"272","davao city","philippines","1363000","","inday sara duterte-carpio"
"520","cebu city","philippines","747000","1198000","tomas r osmena"
"176","warsaw","poland","1712000","3350000","hanna gronkiewicz-waltz"
"506","lodz","poland","783000","1429000","jerzy kropiwickni"
"519","krakow","poland","755000","1250000","jacek majchrowski"
"n/r","gdansk","poland","457000","866000","pawel adamowicz"
"n/r","katowice","poland","340000","2746000","piotr uszok"
"587","lisbon","portugal","558000","2612000","ant&oacute;nio costa"
"n/r","porto","portugal","263000","1210000","rui rio"
"n/r","san juan","puerto rico","442000","2500000","jorge a. santini padilla"
"140","bucharest","romania","1994000","2151000","sorin oprescu"
"10","moscow","russia","10524000","14800000","sergei sobyanin"
"43","st petersburg","russia","4661000","4900000","valentina matviyenko"
"258","novosibirsk","russia","1396000","1429000","vladimir gorodetsky"
"286","ekaterinburg","russia","1323000","1389000","eugene porunov"
"304","nizhniy novgorod","russia","1280000","1900000","vadim bulavinov"
"344","samara","russia","1160000","1500000","viktor tarkhov"
"350","omsk","russia","1137000","1145000","viktor shreyder"
"359","kazan","russia","1115000","1300000","lsur metshin"
"371","chelyabinsk","russia","1092000","1200000","mikhail yurevich"
"382","rostov on don","russia","1068000","1250000","mikhail chernyshyov"
"398","ufa","russia","1023000","1050000","pavel kachkayev"
"403","volgograd","russia","1012000","1292000","roman grebennikov"
"404","perm","russia","1010000","1200000","igor shubin"
"439","krasnoyarsk","russia","920000","950000","pyotr pimashkov"
"468","voronezh","russia","849000","950000","sergey koliukh"
"472","saratov","russia","831000","1100000","vyacheslav leonovich somov"
"534","krasnodar","russia","710000","780000","vladimir yevlanov"
