"dark chanting-goshawk","m. metabates","mu"
"lizard buzzard","kaupifalco monogrammicus","mb qe b"
"shikra","accipiter badius","mb kampala en route to mu"
"african goshawk","a. tachiro","bh ef b. there was some confusion at buhoma over the identity of         an immature raptor (being claimed by local birders as a congo serpent         eagle) - examination of photographs when we got home revealed that it         was in fact this species."
"great sparrowhawk","a. melanoleucos","lb (pair) b (three birds)"
"bat hawk","macheiramphus alcinus","single at dusk at the bat cave at mu"
"african harrier-hawk","polyboroides typus","widespread"
"augur buzzard","buteo augur","widespread"
"mountain buzzard","b. oreophilus","rz"
"tawny eagle","aquila rapax","single going south along the escarpment near butiaba on 1/8"
"wahlberg's eagle","a. wahlbergi","widespread"
"ayre's hawk-eagle","hieraaetus ayresii","bh (single)"
"bateleur","terathopius ecaudatus","lm en route to bwindi qe mu"
"long-crested eagle","lophaetus occipitalis","widespread"
"martial eagle","polemaetus bellicosus","singles at qe and en route to mu"
"african crowned eagle","stephanoetus coronatus","bh (single) b (2 pairs)"
"common kestrel","falco tinnunculus","single en route to bwindi"
"grey kestrel","f. ardosiacus","en route to lm mu area (including one taking bats at the bat cave)"
"african hobby","f. cuvieri","3 from garden of red chilli lodge kampala"
"eurasian hobby","f. subbuteo","single from garden of red chilli lodge kampala"
"lanner falcon","f. biarmicus","2 birds at kw"
"peregrine falcon","f. peregrinus","single hunting successfully in bundibugyu"
"helmeted guineafowl","numida meleagris","lm qe mu"
"crested guineafowl","guttera pucherani","b - three birds in response to proactive playback at kanio pabidi"
"[scaly francolin]","francolinus squamatus","[qe]"
"nahan's francolin","f. nahani","b - three birds whistled in by vincent gave good views"
"handsome francolin","f. nobilis","rz - single taped in at the end of the bamboo zone"
"coqui francolin","f. coqui","single seen well at close range at lm"
"heuglin's francolin","f. icterorhynchus","[b] mu - 4+ birds seen during game drives including a very amorous         male in full display"
"crested francolin","f. sephaena","lm mu area (numerous in habitat)"
"red-necked spurfowl","f. afer","lm qe"
"harlequin quail","coturnix delagorguei","mu - single on track"
"blue quail","c. adansonii","qe - single fluttered across track to jacana lodge"
"common button-quail","turnix sylvatica","qe mu (patchily common at both sites)"
"white-spotted flufftail","sarothrura pulchra","[qe] ks b [mf]"
"african crake","crex egregia","qe - 2 birds from game drives"
"black crake","amaurornis flavirostris","widespread"
"purple swamphen","porphyrio porphyrio","mb"
"common moorhen","gallinula chloropus","kaaku swamp kw"
"african jacana","actophilornis africanus","widespread"
"grey crowned crane","balearica regulorum","widespread in south"
"black-bellied bustard","eupodotis melanogaster","lm mu (singles)"
"water thick-knee","burhinus vermiculatus","lm qe"
"senegal thick-knee","b. senegalensis","mu (single)"
"collared pratincole","glareola pratincola","qe"
"rock pratincole","g. nuchalis","mu"
"spur-winged lapwing","vanellus spinosus","qe mu"
"long-toed lapwing","v. crassirostris","mb kaaku swamp mu"
"african wattled lapwing","v. senegalensis","lm qe mu"
"crowned lapwing","v. coronatus","qe"
"black-headed lapwing","v. tectus","en route to mu mu"
"senegal lapwing","v. lugubris","lm qe"
"brown-chested lapwing","v. superciliosus","lm (6) qe (2)"
"kittlitz's plover","charadrius pecuarius","qe"
"three-banded plover","c. tricollaris","qe sm"
"common sandpiper","actitis hypoleucos","qe mu"
"wood sandpiper","tringa glareola","lm"
"common greenshank","tringa nebularia","qe"
"grey-headed gull","larus cirrocephalus","mb qe"
"african skimmer","rhynchops flavirostris","qe"
"white-winged tern","chlidonias leucopterus","mb qe mu"
"african green pigeon","treron calva","widespread"
"speckled pigeon","columba guinea","kampala kisoro"
"afep pigeon","c. unicincta","[sm] b"
"olive pigeon","c. arquatrix","rz bh ef sm"
"feral pigeon","c. livia","widespread"
"emerald-spotted wood-dove","turtur chalcospilos","lm"
"blue-spotted wood-dove","t. afer","bh qe b"
"black-billed wood-dove","t. abyssinicus","en route to mu mu"
"tambourine dove","t. typanistria","widespread"
"namaqua dove","oena capensis","en route to mu mu"
"ring-necked dove","streptopelia capicola","lm qe mu"
"red-eyed dove","s. semitorquata","widespread"
"african mourning dove","s. decipens","qe sm mu"
"vinaceous dove","s. vinacea","mu (single)"
"laughing dove","s. senegalensis","qe mu"
"dusky turtle dove","s. lugens","mg"
"brown parrot","poicephalus meyeri","lm kampala masindi"
"grey parrot","psittacus erithacus","bh (pair flying over high) bundibugyo (pair) b (70+ flying to roost)"
"red-headed lovebird","agapornis pullarius","b (2 sightings of singles)"
"great blue turaco","corythaeola cristata","widespread"
"ross's turaco","musophaga rossae","kampala lm bh b"
"rwenzori turaco","tauraco johnstoni","mg (common at this site)"
"white-crested turaco","t. leucolophus","b mu"
"black-billed turaco","t. schuetti","bh rz (heard elsewhere)"
"bare-faced go-away-bird","corythaixoides personata","lm area qe area"
"eastern grey plantain-eater","crinifer zonurus","widespread"
"black-and-white cuckoo","oxylophus jacobinus","single near mf"
"madagascar lesser cuckoo","cuculus rochii","single seen well at b"
"red-chested cuckoo","c. solitarius","1 immature at bh common at b"
"black cuckoo","c. clamosus","1 at b"
"barred long-tailed cuckoo","cercococcyx montanus","rz (single)"
"dusky long-tailed cuckoo","c. mechowi","bh sm [b]"
"diederik cuckoo","chrysococcyx caprius","lm mu"
"klaas's cuckoo","c. klaas","widespread"
"african emerald cuckoo","c. cupreus","mb bh b"
"yellowbill","ceuthmochares aereus","bh b mf"
"white-browed coucal","centropus superciliosus","widespread"
"blue-headed coucal","c. monachus","mb kw mu"
"senegal coucal","c. senegalensis","b [mu]"
"[black-throated coucal]","c. leucogaster","[sm]"
"african wood-owl","strix woodfordii","rz [kisoro]"
"[barn owl]","tyto alba","[b] - almost certainly heard from the hostel pre-dawn but this is         viewed with some scepticism by herbert and vincent!"
"african scops-owl","otus senegalensis","lm - we walked in on calling birds near the campsite after dusk"
"verreaux's eagle-owl","bubo lacteus","qe mu (singles)"
"spotted eagle-owl","bubo africanus","2 birds during night drive at mu - note that this cinarescens         race is split by clements as grayish eagle-owl"
"square-tailed nightjar","caprimulgus fossii","lm qe"
"long-tailed nightjar","c. climacurus","1 during night drive at mu"
"swamp nightjar","c. natalensis","mu - female hunting at dawn from the red chilli lodge"
"rwenzori nightjar","c. ruwenzorii","rz - singles noted on two occasions from or on the roads around the         resthouse. lumped into montane nightjar by clements."
"black-shouldered nightjar","c. nigriscapularis","lm b"
"pennant-winged nightjar","macrodipteryx vexilllaris","qe b mu"
"little swift","apus affinis","widespread"
"white-rumped swift","a. caffer","widespread"
"horus swift","a. horus","2 over falls at mu"
"mottled swift","a. aequatorialis","single swift over b during weather related passage of swifts was considered         to be this species"
"alpine swift","a. melba","qe"
"eurasian swift","a. apus","b (small numbers)"
"scarce swift","schoutedenapus myoptilus","bh - birds flying high over the forest here were considered to be         this species"
"african palm swift","cypsiurus parvus","sm b mu"
"sabine's spinetail","rhaphidura sabini","b (small numbers over forest) mf"
"cassin's spinetail","r. cassini","b (2 over forest)"
"speckled mousebird","colius striatus","widespread"
"blue-naped mousebird","urocolius macrourus","lm qe mu"
"narina trogon","apaloderma narina","qe (maramagembo)"
"bar-tailed trogon","a. vittatum","bh rz"
"pied kingfisher","ceryle rudis","widespread"
"striped kingfisher","halcyon chelicuti","mb lm [b] mu"
"grey-headed kingfisher","h. leucocephala","widespread"
"giant kingfisher","megaceryle maxima","single bird on nile at mu."
"woodland kingfisher","halccyon senegalensis","en route to rz"
"blue-breasted kingfisher","h. malimbica","qe [sm] b"
"chocolate-backed kingfisher","h. badia","sm [b]"
"malachite kingfisher","alcedo cristata","mb lm lb"
"african pygmy-kingfisher","ispidina picta","mb qe mu"
"african dwarf-kingfisher","i. lecontei","qe sm b"
"shining-blue kingfisher","alcedo quadribrachys","[sm] b"
"little bee-eater","merops pusillus","lm qe"
"cinnamon-chested bee-eater","m. oreobates","bh rz"
"blue-breasted bee-eater","m. variegatus","mb lb mu"
"white-throated bee-eater","m. albicollis","kampala qe b"
"swallow-tailed bee-eater","m. hirundineus","mu area"
"black bee-eater","m. gularis","bh (2)"
"madagascar bee-eater","m. supercilosus","qe mu"
"red-throated bee-eater","m. bulocki","mu"
"northern carmine bee-eater","m. nubicus","mu"
"broad-billed roller","eurystomus glaucurus","mb mu area"
"blue-throated roller","e. gularis","the neck (flight view) sm (single perched)"
"lilac-breasted roller","coracias caudata","en route to lm"
"green wood-hoopoe","phoeniculus purpureus","qe mu"
"forest wood-hoopoe","p. castaneiceps","mf (single)"
"black scimitarbill","rhinopomastus aterrimus","mu"
"african grey hornbill","tockus nasutus","lm mu area"
"crowned hornbill","t. alboterminatus","mb mp mg sm"
"african pied hornbill","t. fasciatus","mb mp sm mu"
"piping hornbill","bycanistes fistulator","sm"
"red-billed dwarf hornbill","tockus camurus","sm"
"white-crested hornbill","tropicranus albocristatus","sm"
"black-and-white casqued hornbill","bycanistes subcylindricus","widespread"
"white-thighed hornbill","b. cylindricus","b"
"black-casqued wattled hornbill","ceratogymna atrata","sm"
"abyssinian ground-hornbill","bucorvus abyssinicus","mu (pair)"
"yellow-rumped tinkerbird","pogoniulus bilineatus","widespread"
"yellow-throated tinkerbird","p. subsulphureus","widespread"
"red-rumped tinkerbird","p. atroflavus","sm"
"western green tinkerbird","p. coryphaeus","rz"
"speckled tinkerbird","p. scolopaceus","widespread"
"grey-throated barbet","gymnobucco bonapartei","bh mf"
"yellow-fronted tinkerbird","pogoniulus chrysoconus","kampala qe mf"
"spot-flanked barbet","trcholaema lacrymosa","lm qe mu area"
"hairy-breasted barbet","t. hirsuta","mp bh mf"
"yellow-spotted barbet","buccanodon duchaillui","[mp] bh b"
"white-headed barbet","lybius leucocephalus","en route to mu"
"black-billed barbet","l. guifsobalito","en route to mu"
"red-faced barbet","l. rubrifacies","lm (single)"
"double-toothed barbet","l. bidentatus","kampala (2) mu (1)"
"yellow-billed barbet","trachylaemus purpuratus","sm [b] mf"
"greater honeyguide","indicator indicator","lm en route to mu"
"lesser honeyguide","i. minor","qe ks en route to mu"
"willcock's honeyguide","i. willcocksi","bh b"
"least honeyguide","i. exilis","qe (maramagembo) - single"
"tullberg's woodpecker","campethera tullbergi","bh rz"
"buff-spotted woodpecker","c. nivosa","mf"
"brown-eared woodpecker","c. caroli","qe sm b"
"nubian woodpecker","c. nubica","lm"
"green-backed woodpecker","c. cailliautii","lm"
"cardinal woodpecker","dendropicos fuscescens","bh rz qe"
"elliott's woodpecker","d. elliottii","bh"
"speckle-breasted woodpecker","d. poecilolaemus","single female at ks"
"yellow-crested woodpecker","d. xantholophus","bh sm b mf"
"grey woodpecker","d. goertae","qe mu"
"olive woodpecker","d. griseocephalus","[mg] ef"
"african broadbill","smithornis capensis","bh - single bird displaying in response to proactive tape playback"
"rufous-sided broadbill","s. rufolateralis","sm - single bird displaying in response to proactive tape playback"
"[african green broadbill]","pseudocalyptomena graueri","[rz] - single bird heard and seen flying in and out of tree in response         to tape playback - could we get views though? disappointing result"
"rufous-naped lark","mirafra africana","qe"
"flappet lark","m. rufocinnamomea","qe mu"
"red-capped lark","calandrella cinerea","qe"
"rock martin","hirundo fuligula","highlands"
"plain martin","riparia paludicola","lm qe mu"
"banded martin","r. cincta","lm mu"
"mosque swallow","hirundo senegalensis","qe fort portal"
"rufous-chested swallow","h. semirufa","lm qe"
"lesser striped swallow","h. abyssinica","widespread"
"barn swallow","h. rustica","qe mu"
"angola swallow","h. angolensis","lowlands"
"wire-tailed swallow","h. smithii","qe mu"
"black saw-wing","psalidoprocne holomelas","bh rz mg"
"white-headed saw-wing","p. albiceps","lm qe mu"
"african pied wagtail","motacilla aguimp","widespread"
"cape wagtail","m. capensis","mb bh"
"yellow-throated longclaw","macronyx croceus","mb lm qe mu"
"grassland pipit","anthus cinnamomeus","lm jackson's pipit near kw"
"plain-backed pipit","a. leucophrys","b mu"
"black cuckoo-shrike","campephaga flava","bh sm qe"
"red-shouldered cuckoo-shrike","c. phoenicea","qe mu"
"purple-throated cuckoo-shrike","c. quiscalina","mf"
"petit's cuckoo-shrike","c. petiti","bh"
"grey cuckoo-shrike","coracina caesia","rz"
"western nicator","nicator chloris","sm b"
"[yellow-throated nicator]","n. vireo","[sm]"
"common bulbul","pycnonotus barbatus","widespread"
"yellow-whiskered greenbul","andropadus latirostris","bh rz mf"
"little greenbul","a. virens","widespread"
"mountain greenbul","a. nigriceps","rz bh mg ef"
"slender-billed greenbul","a. gracilirostris","widespread"
"shelley's greenbul","a. masukensis","bh rz"
"yellow-streaked greenbul","phyllastrephus flavostriatus","[bh] rz sm"
"cabanis's greenbul","p. cabinisi","ks"
"ansorge's greenbul","andropadus ansorgei","bh"
"little grey greenbul","a. gracilis","qe"
"toro olive greenbul","phyllastrephus hypochloris","qe b"
"cameroon sombre greenbul","andropadus curvirostris","b"
"icterine greenbul","phyllastrephus icterinus","sm - difficult to separate from the next species without using vocalisations         and a little tape playback"
"xavier's greenbul","p. xavieri","qe sm"
"joyful greenbul","chlorocichla laetissima","ks"
"red-tailed bristlebill","bleda syndactyla","qe [sm] b [mf]"
"[green-tailed bristlebill]","b. eximia","[sm]"
"red-tailed greenbul","criniger calurus","bh rz sm b mf"
"white-throated greenbul","phyllastrephus albigularis","b mf"
"yellow-throated greenbul","chlorocichla flavicollis","mp b mu"
"swamp palm bulbul","thescilocichla leucopleura","sm"
"honeyguide greenbul","baeopogon indicator","[bh] sm"
"spotted greenbul","ixonotus guttatus","b"
"white-starred robin","pogonocichla stellata","rz mg ef"
"equatorial akalat","sheppardia aequatorialis","bh"
"forest robin","stiphrornis erythrothorax","sm b"
"brown-chested alethe","alethe poliocephala","qe"
"red-throated alethe","a. poliophrys","bh"
"fire-crested alethe","a. diademata","sm b"
"cape robin-chat","cossypha caffra","mg"
"white-browed robin-chat","c. heuglini","widespread"
"blue-shouldered robin-chat","c. cyanocampter","[sm] [ks] mf"
"snowy-headed robin-chat","c. niveicapilla","lm qe"
"red-capped robin-chat","c. natalensis","qe"
"archer's robin","c. archeri","rz mg"
"white-bellied robin-chat","cossyphicula roberti","bh"
"olive thrush","turdus olivaceus","rz"
"african thrush","t. pelios","widespread (except rz)"
"kivu ground-thrush","zoothera tanganjicae","mg - bad views in response to tape playback"
"white-tailed ant-thrush","neocossyphus poensis","[bh] rz"
"red-tailed ant-thrush","n. rufus","sm qe b"
"rufous flycatcher-thrush","stizorhina fraseri","mp bh sm qe b"
"sooty chat","myrmecocichla nigra","widespread"
"african stonechat","saxicola torquata","widespread in uplands"
"white-browed scrub-robin","cercotrichas leucophrys","b en route to mu"
"brown-backed scrub-robin","c. hartlaubi","qe"
"spotted mourning-thrush","cichladusa guttata","mu area"
"dark-capped yellow warbler","chloropeta natalensis","qe b"
"mountain yellow warbler","c. similis","rz mg"
"lesser reed warbler","acrocephalus gracilirostris","lb qe"
"[greater swamp warbler]","a. rufescens","[mb] [lm]"
"african reed warbler","a. baeticus","lm"
"white-winged warbler","bradypterus carpalis","lm - single seen very well from boat"
"cinnamon bracken warbler","b. cinnamomeus","[rz] mg (common)"
"little rush warbler","b. baboecala","lb"
"grauer's rush-warbler","b. graueri","rz"
"buff-bellied warbler","phyllolais pulchella","lm en route to mu"
"uganda woodland warbler","phylloscopus budongoensis","b - tricky canopy species eventually taped into the scope"
"red-faced woodland warbler","p. laetus","bh rz ef"
"green hylia","hylia prasina","mp bh sm b"
"short-tailed warbler","hemitesia neumanni","bh - appalling and brief view of this skulking little b****r in response         to tape playback"
"white-browed crombec","sylvietta leucophrys","mg ef"
"green crombec","s. virens","bh sm"
"lemon-bellied crombec","s. denti","b (single - very tape responsive coming right out of the canopy to         within a few metres)"
"yellow longbill","macrosphenus flavicans","b"
"grey longbill","m. concolor","b [mf]"
"northern crombec","sylvietta brachyura","en route to mu"
"red-faced crombec","s. whytii","lm"
"rufous-crowned eromomela","eromomela badiceps","b"
"black-faced rufous warbler","bathmocercus rufus","bh [mf]"
"african moustached warbler","melocichla mentalis","qe b mu"
"grauer's warbler","graueria vittata","[bh] rz (one eventually seen after an awful lot of tape playback)"
"zitting cisticola","cisticola juncidis","mu qe"
"stout cisticola","c. robustus","qe"
"croaking cisticola","c. natalensis","qe mu"
"rattling cisticola","c. chiniana","mu area"
"winding cisticola","c. galactotes","mb en route to rz qe"
"carruther's cisticola","c. carruthersi","mb lm lb mu"
"singing cisticola","c. cantans","en route to mu"
"red-faced cisticola","c. erythrops","en route to mu"
"chubb's cisticola","c. chubbi","bh rz mg"
"trilling cisticola","c. woosnami","lm qe"
"whistling cisticola","c. lateralis","b"
"siffling cisticola","c. brachypterus","lm qe"
"foxy cisticola","c. troglodytes","mu area"
"red-winged grey warbler","drymocichla incana","mu - family group taped in on the northside of the paraa ferry"
"tawny-flanked prinia","prinia subflava","widespread"
"white-chinned prinia","p. leucopogon","bh rz ks"
"banded prinia","p. bairdii","bh rz"
"grey-capped warbler","eminia lepida","[lm] en route to kisoro [mu]"
"grey-backed camaroptera","camaroptera brachyura","widespread"
"olive-green camaroptera","c. chloronota","bh ks [b] [mf]"
"yellow-browed camaroptera","c. superciliaris","b mf"
"yellow-breasted apalis","apalis flavida","lm mu"
"grey apalis","a. cinerea","bh sm ks qe b"
"chestnut-throated apalis","a. porphyrolaema","rz mg"
"buff-throated apalis","a. rufogularis","widespread"
"collared apalis","a. ruwenzorii","rz ef"
"black-throated apalis","a. jacksoni","bh"
"mountain masked apalis","a. personata","bh rz"
"black-capped apalis","a. nigriceps","b"
"white-eyed slaty flycatcher","melaenornis fischeri","bh rz mg"
"northern black flycatcher","m. edoloides","widespread"
"yellow-eyed black-flycatcher","m. ardesiacus","bh rz"
"pale flycatcher","bradornis pallidus","en route to mu"
"ashy flycatcher","muscicapa caerulescens","the neck"
"african dusky flycatcher","m. adusta","widespread"
"lead-coloured flycatcher","myioparus plumbeus","qe b"
"grey-throated flycatcher","m. griseigularis","mp b"
"swamp flycatcher","muscicapa aquatica","mb lb qe mu"
"cassin's grey flycatcher","m. cassini","bridge over ihihizo river at the neck river en route to b"
"dusky-blue flycatcher","m. comitata","bh"
"sooty flycatcher","m. infuscata","bh mf"
"forest flycatcher","fraseria ocreata","b (3)"
"chin-spot batis","batis molitor","rz"
"black-headed batis","b. minor","qe mu b"
"rwenzori batis","b. diops","bh rz"
"african shrike-flycatcher","megabias flammulatus","bh b"
"black-and-white shrike-flycatcher","bias musicus","bh"
"brown-throated wattle-eye","platysteira cyanea","widespread"
"chestnut wattle-eye","dyaphorophyia castanea","qe sm b"
"jameson's wattle-eye","d. jamesoni","[sm] mf"
"yellow-bellied wattle-eye","d. concreta","qe - a single in maramagembo forest was a real surprise and a tick         for herbert!"
"african paradise flycatcher","terpsiphone viridis","widespread - watch out for the melanistic population in the maramagembo         forest (qe)!"
"red-bellied paradise-flycatcher","t. rufiventer","sm b"
"silverbird","empidornis semipartitus","mu area"
"white-tailed crested-flycatcher","trochocercus albonotatus","mg"
"white-bellied crested-flycatcher","t. albiventris","bh"
"african blue-flycatcher","elminia longicauda","bh qe mu"
"white-tailed blue-flycatcher","e. albicauda","bh (under-recorded)"
"chestnut-capped flycatcher","erythrocercus mccallii","b"
"scaly-breasted illadopsis","illadopsis albipectus","ks b"
"mountain illadopsis","i. pyrrhoptera","bh"
"brown illadopsis","i. fulvescens","b"
"pale-breasted illadopsis","i. rufipennis","bh mf"
"puvel's illadopsis","i. puveli","b - seemingly present throughout the forest here we saw one well         whilst chimp-tracking"
"african hill-babbler","pseudoalcippe abyssinica","rz area"
"arrow-marked babbler","turdoides jardineii","lm qe"
"brown babbler","t. plebejus","en route to mu"
"black-lored babbler","t. sharpei","lm mg kisoro qe"
"dusky tit","parus funereus","bh"
"white-shouldered tit","p. guineensis","b mu mf"
"stripe-breasted tit","p. fasciiventer","rz mg"
"yellow-white-eye","zosterops senegalensis","widespread"
"bronze sunbird","nectarinia kilimensis","bh en route to sm"
"green-headed sunbird","cyanomitra verticalis","bh qe mu"
"blue-throated brown sunbird","c. cyanolaema","bh"
"blue-headed sunbird","c. alinae","bh"
"northern double-collared sunbird","cinnyris preussi","bh"
"olive-bellied sunbird","c. chloropygia","b bh"
"rwenzori double-collared sunbird","c. stuhlmanni","mg"
"regal sunbird","c. regia","rz mg"
"green-throated sunbird","chalcomitra rubescens","bh mf"
"green sunbird","anthreptes rectirostris","bh b"
"olive sunbird","cyanomitra olivacea","widespread - split as obscura or western olive sunbird by clements"
"little green sunbird","anthreptes seimundi","bh b"
"grey-headed sunbird","deleornis axillaris","bh"
"copper sunbird","cinnyris cuprea","lb qe b"
"superb sunbird","c. superba","b - single female"
"marico sunbird","c. mariquensis","lm"
"purple-banded sunbird","c. bifasciata","kampala"
"scarlet-chested sunbird","chalcomitra senegalensis","kampala qe mu"
"beautiful sunbird","cinnyris pulchella","mu area"
"red-chested sunbird","c. erythrocerca","mb kampala lb qe"
"variable sunbird","c. venusta","kampala"
"collared sunbird","hedydipna collaris","bh b mu"
"common fiscal","lanius collaris","widespread"
"grey-backed fiscal","l. excubitoroides","widespread"
"mackinnon's fiscal","l. mackinnoni","bh rz"
"tropical boubou","laniarius aethiopicus","[lm] [kisoro] qe"
"luedher's bush-shrike","l. luedheri","bh ks"
"black-headed gonolek","l. erythrogaster","kaaku swamp lm qe"
"papyrus gonolek","l. mufumbiri","lm [qe]"
"mountain black boubou","l. poensis","rz mg"
"sooty boubou","l. leucorhynchus","bh"
"northern puffback","dryoscopus gambensis","rz b mu area"
"pink-footed puffback","d. angolensis","bh"
"black-crowned tchagra","tchagra senegala","qe mu"
"brown-crowned tchagra","t. australis","single en route to rz"
"marsh tchagra","t. minuta","qe b"
"sulphur-breasted bush-shrike","malaconotus sulfureopectus","lm qe"
"grey-headed bush-shrike","m. blanchoti","en route to mu"
"[lagden's bush-shrike]","m. lagdeni","[en route to kisoro]"
"doherty's bush-shrike","m. dohertyi","rz"
"bocages's bush-shrike","m. bocagei","bh qe"
"fork-tailed drongo","dicrurus adsimilis","lm qe mu"
"velvet-mantled drongo","d. modestus","mp bh mf"
"piapiac","ptilostomus afer","houmia en route to b en route to mu mu"
"pied crow","corvus albus","widespread"
"white-naped raven","corvus albicollis","rz"
"african black-headed oriole","oriolus larvatus","en route to lm"
"montane oriole","o. percivali","rz"
"western black-headed oriole","o. brachyrhynchus","sm b"
"african golden oriole","o. auratus","rz"
"yellow-billed oxpecker","buphagus africanus","lm qe mu"
"stuhlmann's starling","poeoptera stuhlmanni","rz"
"narrow-tailed starling","p. lugubris","bh"
"waller's starling","onychognathus walleri","rz"
"greater blue-eared starling","lamprotornis chalybeus","bundibugyo sm qe"
"lesser blue-eared starling","l. chloropterus","common in mu area"
"ruppell's long-tailed starling","l. purpuropterus","widespread"
"purple-headed starling","l. purpureiceps","qe (2-3 near maramagembo)"
"violet-backed starling","cinnyricinclus leucogaster","mp qe sm mu"
"sharpe's starling","c. sharpei","rz ef"
"wattled starling","creatophora cinerea","lm qe"
"rufous sparrow","passer rufocinctus","mu"
"speckle-fronted weaver","sporopipes frontalis","mu"
"grey-headed sparrow","passer griseus","widespread"
"white-browed sparrow-weaver","plocepasser mahali","mu (2)"
"chestnut-crowned sparrow-weaver","p. superciliosus","mu area"
"black-headed weaver","ploceus cucullatus","lm qe sm mu"
"lesser masked weaver","p. intermedius","qe"
"vitelline weaver","p. velatus","mu area"
"northern masked weaver","p. taeniopterus","lb - small colony present at the outflow of this lake this species         appears to be expanding its range."
"spectacled weaver","p. ocularis","lm"
"black-necked weaver","p. nigricollis","bh qe mf"
"baglafecht weaver","p. baglafecht","widespread"
"grosbeak weaver","ambylospiza albifrons","widespread"
"little weaver","ploceus luteolus","qe"
"slender-billed weaver","p. pelzelni","kaaku swamp lm"
"yellow-backed weaver","p. melanocephalus","kisoro qe mu"
"northern brown-throated weaver","p. castanops","kaaku swamp lm fort portal"
"compact weaver","p. superciliosus","qe"
"holub's golden weaver","p. xanthops","lm en route to rz kisoro qe en route to mu"
"weyn's weaver","p. weynsi","mb (small flock near jetty)"
"strange weaver","p. alienus","rz"
"brown-capped weaver","p. insignis","bh rz"
"yellow-mantled weaver","p. tricolor","mp"
"black-billed weaver","p. melanogaster","bh"
"viellot's black weaver","p. nigerrimus","widespread"
"red-billed quelea","quelea quelea","qe mu"
"cardinal quelea","q. cardinalis","mu"
"red-headed quelea","q. erythrops","b mu area"
"red-headed weaver","anaplectes rubriceps","single female at lm"
"red-headed malimbe","malimbus rubricollis","mp bh mf"
"crested malimbe","m. malimbicus","sm"
"blue-billed malimbe","m. nitens","sm - two birds on the hot springs trail"
"red-collared widowbird","euplectes ardens","qe en route to b"
"fan-tailed widowbird","e. axillaris","mb kaaku swamp kisoro"
"black bishop","e. geirowii","qe en route to b"
"yellow bishop","e. capensis","en route to rz mg"
"yellow-mantled widowbird","e. macrourus","en route to b mu"
"red bishop","e. orix","qe"
"northern red bishop","e. franscicanus","mu area"
"black-winged red bishop","e. hordaceus","mu area"
"grey-headed negro-finch","nigrita canicapilla","widespread"
"white-breasted negrofinch","n. fusconotata","widespread"
"green-winged pytilia","pytilia melba","qe mu area"
