"name","city","country","meters","feets","pictures"
"seoul tower","seoul","south korea","237","778","NULL"
"ids center","minneapolis ms","usa","236","774","[1]"
"shinjuku park tower","tokyo","japan","235","771","NULL"
"191 peachtree tower","atlanta ge","usa","235","770","NULL"
"rhine tower","d&uuml;sseldorf","germany","234","768","{[1]|[2]}"
"kompleks tun abdul razak","penang","malaysia","232","761","{[1]|[2]}"
"television tower","johannesburg","south africa","232","761","NULL"
"torrespana","madrid","spain","231","758","NULL"
"transmission tower","kiel","germany","230","755","NULL"
"shangri","hong kong","p.r. china","228","748","NULL"
"cosco tower","hong kong","p.r. china","228","748","NULL"
"tower of the americas","san antonio tx","usa","227","745","[1]"
"sunshine 60","tokyo","japan","226","741","[1]"
"maxdo centre","shanghai","p.r. china","226","741","NULL"
"two union square","seattle ws","usa","226","741","NULL"
"chase tower","dallas tx","usa","225","738","[1]"
"washington mutual tower","seattle ws","usa","224","735","NULL"
"m�nster telecommunications tower","m�nster","germany","222","728","[1]"
"peachtree plaza hotel","atlanta","usa","221","725","[1]"
"westin peachtree plaza","atlanta ge","usa","220","723","NULL"
"florian tower","dortmund","germany","220","722","NULL"
"key tower","seattle ws","usa","220","722","NULL"
"tau tv tower","ekaterinburg","russia","220","722","[1]"
"fountain place","dallas tx","usa","219","720","{[1]|[2]}"
"stuttgart television tower","stuttgart","germany","217","712","[1]"
"terminal tower","cleveland oh","usa","216","708","NULL"
"metropolitian life tower","new york ny","usa","213","698","NULL"
"pemex tower","mexico city","mexico","213","702","[1]"
"georgia pacific tower","atlanta ge","usa","212","697","NULL"
"king tower","shanghai","p.r. china","212","695","NULL"
"manara maxis","kuala lumpur","malaysia","212","695","NULL"
"promenade 2","atlanta ga","usa","211","692","NULL"
"california center","san francisco ca","usa","211","692","NULL"
"americas tower","new york ny","usa","211","692","NULL"
"petron megaplaza","makati city","philippines","210","689","NULL"
"plaza mbf","kuala lumpur","malaysia","210","689","NULL"
"trammell crow center","dallas tx","usa","209","686","[1]"
"golden bell plaza","shanghai","p.r. china","208","682","NULL"
"dg-bank","frankfurt","germany","208","682","[1]"
"bellsouth building","atlanta ge","usa","206","677","NULL"
"bertelsman building","new york ny","usa","206","676","NULL"
"television tower","sasbachwalden","germany","206","676","[1]"
"television tower","mannheim","germany","205","673","NULL"
"shanghai senmao international building","shanghai","p.r. china","203","667","NULL"
"berjaya star city tower","kuala lumpur","malaysia","203","667","NULL"
"1700 pacific","dallas tx","usa","200","655","[1]"
"main tower","frankfurt","germany","198","649","NULL"
"amartapura","tangerang","indonesia","198","650","NULL"
"at&t headquarters","new york ny","usa","197","646","[1]"
"lake point tower","chicago il","usa","197","646","{[1]|[2]}"
"thanksgiving tower","dallas tx","usa","197","645","[1]"
"china insurance building","shanghai","p.r. china","196","643","NULL"
"telstra tower","canberra","australia","195","640","NULL"
"altus tower","mexico city","mexico","195","640","[1]"
"ppg place","pittsburgh pa","usa","194","636","NULL"
"belmont centre","kuala lumpur","malaysia","193","633","NULL"
"1001 fourth avenue plaza","seattle ws","usa","192","630","NULL"
"energy plaza","dallas tx","usa","192","629","{[1]|[2]}"
"calgary tower","calgary","canada","191","626","NULL"
"elm place","dallas tx","usa","191","625","{[1]|[2]}"
"cairo television tower","cairo","egypt","190","623","NULL"
"bt tower","london","united kingdom","189","620","[1]"
"comerica tower","detroit mi","usa","189","620","NULL"
"bellsouth building","nashville tn","usa","188","617","NULL"
"750 7th avenue","new york ny","usa","187","614","NULL"
"china merchants tower","shanghai","p.r. china","186","610","NULL"
"trianon building","frankfurt","germany","186","610","NULL"
"glg grand/four seasons hotel","atlanta ge","usa","186","609","NULL"
"euromast tower","rotterdam","netherlands","185","607","NULL"
"world trade center","dubai","uae","184","605","NULL"
"the space needle","seattle ws","usa","184","605","[1]"
"republic center tower ii","dallas tx","usa","182","598","[1]"
"wdr sendemast","m&uuml;nster","germany","182","598","NULL"
"latinoamericana tower","mexico city","mexico","181","594","NULL"
"makuhari prince hotel","chiba","mexico","181","594","[1]"
"bankasi towers","instanbul","turkey","181","594","[1]"
"nec supertower","tokyo","japan","180","590","NULL"
"hotel bali 3","benidorm","spain","180","591","NULL"
"kuwait water towers","kuwait","kuwait","180","591","[1]"
"marina city","chicago il","usa","179","587","{[1]|[2]|[3]}"
"hong kong and shanghai bank","hong kong","pr china","179","587","[1]"
"harbour center tower","vancouver","canada","177","581","[1]"
"lukasrand tower","pretoria","south africa","177","581","NULL"
"us bank center","seattle wa","usa","177","581","NULL"
"concourse tower 5","dunwoody ga","usa","177","581","NULL"
"one bell plaza","dallas tx","usa","177","580","{[1]|[2]}"
"lincoln plaza","dallas tx","usa","176","579","{[1]|[2]|[3]}"
"800 fifth avenue plaza","seattle wa","usa","176","577","NULL"
"wells fargo center","seattle wa","usa","175","574","NULL"
"montreal tower","montreal","canada","175","574","[1]"
"concourse tower 5","atlanta ge","usa","174","570","NULL"
"umeda sky building","osaka","japan","173","568","NULL"
"reunion tower","dallas tx","usa","171","560","{[1]|[2]}"
"riyadh television tower","riyadh","saudi-arabia","170","558","[1]"
"concourse tower 6","dunwoody ga","usa","169","554","NULL"
"111 huntington avenue","boston ma","usa","169","554","NULL"
"n�sinneula tower","tampere","finland","168","551","[1]"
"adam's mark hotel","dallas tx","usa","168","550","[1]"
"torre dataflux","monterrey","mexico","167","548","[1]"
"dresdner bank","frankfurt","germany","166","545","[1]"
"800 5th avenue plaza","seattle wa","usa","166","545","NULL"
"the peak","sydney","australia","166","545","[1]"
"union bank of california center","seattle wa","usa","163","534","NULL"
"baynunah tower","abu dhabi","uae","163","534","NULL"
"rwe-tower","essen","germany","162","531","[1]"
"telecommunications tower","ermingen","germany","162","531","NULL"
"pbc [marriott hotel)","frankfurt","germany","162","531","NULL"
"william green building","columbus oh","usa","162","531","NULL"
"arch tower one","mexico city","mexico","162","529","[1]"
"ulmer m&uuml;nster","ulm","germany","161","528","[1]"
"travelers tower","hartford ct","usa","161","528","NULL"
"k&ouml;lner dom","k&ouml;ln","germany","160","525","NULL"
"seagram building","new york ny","usa","160","525","{[1]|[2]}"
"vehicle assembly building","florida fl","usa","160","525","{[1]|[2]}"
"goodwin square","hartford ct","usa","159","521","NULL"
"blackpool tower","blackpool","united kingdom","158","518","{[1]|[2]|[3]}"
"akbank tower","istanbul","turkey","158","518","[1]"
"rainier tower","seattle wa","usa","157","514","NULL"
"dayabumi complex","kuala lumpur","malaysia","157","514","{[1]|[2]}"
"bryan tower","dallas tx","usa","156","512","[1]"
"urban bank plaza","makati city","philippines","155","509","[1]"
"deutsche bank headquarters","frankfurt","germany","155","509","[1]"
"kaknas tower","stockholm","sweden","155","509","[1]"
