"rank","country","population","date of information"
"100","hong kong","6898686","july 2005 est."
"101","el salvador","6704932","july 2005 est."
"102","paraguay","6347884","july 2005 est."
"103","israel","6276883","july 2005 est."
"104","laos","6217141","july 2005 est."
"105","sierra leone","5867426","july 2005 est."
"106","libya","5765563","july 2005 est."
"107","jordan","5759732","july 2005 est."
"108","papua new guinea","5545268","july 2005 est."
"109","nicaragua","5465100","july 2005 est."
"110","denmark","5432335","july 2005 est."
"111","slovakia","5431363","july 2005 est."
"112","togo","5399991","july 2005 est."
"113","finland","5223442","july 2005 est."
"114","kyrgyzstan","5146281","july 2005 est."
"115","turkmenistan","4952081","july 2005 est."
"116","georgia","4677401","july 2005 est."
"117","eritrea","4669638","july 2005 est."
"118","norway","4593041","july 2005 est."
"119","croatia","4495904","july 2005 est."
"120","moldova","4455421","july 2005 est."
"121","bosnia and herzegovina","4430494","july 2005 est."
"122","singapore","4425720","july 2005 est."
"123","central african republic","4237703","july 2005 est."
"124","new zealand","4035461","july 2005 est."
"125","costa rica","4016173","july 2005 est."
"126","ireland","4015676","july 2005 est."
"127","puerto rico","3911299","july 2005 est."
"128","lebanon","3826018","july 2005 est."
"129","congo republic of the","3602269","july 2005 est."
"130","lithuania","3596617","july 2005 est."
"131","albania","3563112","july 2005 est."
"132","uruguay","3415920","july 2005 est."
"133","panama","3140232","july 2005 est."
"134","mauritania","3086859","july 2005 est."
"135","oman","3001583","july 2005 est."
"136","armenia","2982904","july 2005 est."
"137","liberia","2900269","july 2005 est."
"138","mongolia","2791272","july 2005 est."
"139","jamaica","2735520","july 2005 est."
"140","united arab emirates","2563212","july 2005 est."
"141","west bank","2385615","na"
"142","kuwait","2335648","july 2005 est."
"143","latvia","2290237","july 2005 est."
"144","bhutan","2232291","july 2005 est."
"145","macedonia","2045262","july 2005 est."
"146","lesotho","2031348","july 2005 est."
"147","namibia","2030692","july 2005 est."
"148","slovenia","2011070","july 2005 est."
"149","botswana","1640115","july 2005 est."
"150","gambia the","1595086","july 2005 est."
"151","guinea-bissau","1413446","july 2005 est."
"152","gabon","1394307","july 2005 est."
"153","gaza strip","1376289","july 2005 est."
"154","estonia","1332893","july 2005 est."
"155","mauritius","1230602","july 2005 est."
"156","swaziland","1138227","july 2005 est."
"157","trinidad and tobago","1075066","july 2005 est."
"158","east timor","1040880","july 2005 est."
"159","fiji","893354","july 2005 est."
"160","qatar","863051","july 2005 est."
"161","cyprus","780133","july 2005 est."
"162","reunion","776948","july 2005 est."
"163","guyana","765283","july 2005 est."
"164","bahrain","688345","july 2005 est."
"165","comoros","671247","july 2005 est."
"166","solomon islands","538032","july 2005 est."
"167","equatorial guinea","529034","july 2005 est."
"168","djibouti","476703","july 2005 est."
"169","luxembourg","468571","july 2005 est."
"170","macau","449198","july 2005 est."
"171","guadeloupe","448713","july 2005 est."
"172","suriname","438144","july 2005 est."
"173","martinique","432900","july 2005 est."
"174","cape verde","418224","july 2005 est."
"175","malta","398534","july 2005 est."
"176","brunei","372361","july 2005 est."
"177","maldives","349106","july 2005 est."
"178","bahamas the","301790","july 2005 est."
"179","iceland","296737","july 2005 est."
"180","belize","281084","july 2005 est."
"181","barbados","278870","july 2005 est."
"182","western sahara","273008","july 2005 est."
"183","french polynesia","270485","july 2005 est."
"184","netherlands antilles","219958","july 2005 est."
"185","new caledonia","216494","july 2005 est."
"186","vanuatu","205754","july 2005 est."
"187","french guiana","195506","july 2005 est."
"188","mayotte","193633","july 2005 est."
"189","sao tome and principe","187410","july 2005 est."
"190","samoa","177287","july 2005 est."
"191","guam","168564","july 2005 est."
"192","saint lucia","166312","july 2005 est."
"193","saint vincent and the grenadines","117534","july 2005 est."
"194","tonga","112422","july 2005 est."
"195","virgin islands","108708","july 2005 est."
"196","micronesia federated states of","108105","july 2005 est."
"197","kiribati","103092","july 2005 est."
"198","jersey","90812","july 2005 est."
"199","grenada","89502","july 2005 est."
"200","seychelles","81188","july 2005 est."
"201","northern mariana islands","80362","july 2005 est."
"202","man isle of","75049","july 2005 est."
"203","aruba","71566","july 2005 est."
"204","andorra","70549","july 2005 est."
"205","dominica","69029","july 2005 est."
"206","antigua and barbuda","68722","july 2005 est."
"207","bermuda","65365","july 2005 est."
"208","guernsey","65228","july 2005 est."
"209","marshall islands","59071","july 2005 est."
"210","american samoa","57881","july 2005 est."
"211","greenland","56375","july 2005 est."
"212","faroe islands","46962","july 2005 est."
"213","cayman islands","44270","july 2005 est."
"214","saint kitts and nevis","38958","july 2005 est."
"215","liechtenstein","33717","july 2005 est."
"216","monaco","32409","july 2005 est."
"217","san marino","28880","july 2005 est."
"218","gibraltar","27884","july 2005 est."
"219","british virgin islands","22643","july 2005 est."
"220","cook islands","21388","july 2005 est."
"221","turks and caicos islands","20556","july 2005 est."
"222","palau","20303","july 2005 est."
"223","wallis and futuna","16025","july 2005 est."
"224","anguilla","13254","july 2005 est."
"225","nauru","13048","july 2005 est."
"226","tuvalu","11636","july 2005 est."
"227","montserrat","9341","july 2005 est."
"228","saint helena","7460","july 2005 est."
"229","saint pierre and miquelon","7012","july 2005 est."
"230","falkland islands (islas malvinas)","2967","july 2005 est."
"231","svalbard","2701","july 2005 est."
"232","niue","2166","july 2005 est."
"233","norfolk island","1828","july 2005 est."
"234","tokelau","1392","july 2005 est."
"235","holy see (vatican city)","932","july 2005 est."
"236","cocos (keeling) islands","628","july 2005 est."
"237","johnston atoll","361","july 2005 est."
"238","christmas island","361","july 2005 est."
"239","pitcairn islands","45","july 2005 est."
