"abbreviation","species","common name"
"carros","carex rossii","ross's sedge"
"carrot","carex rostrata","beaked sedge"
"carsax","carex saxatilis","russet sedge"
"carstr","carex stricta","tussock sedge"
"carutr","carex utriculata","northwest territory sedge"
"carvag","carex vaginata","sheathed sedge"
"clajam","cladium jamaicense","sawgrass"
"cyndac","cynodon dactylon","bermuda grass"
"dacglo","dactylis glomerata","orchardgrass"
"dancom","danthonia compressa","mountain oatgrass"
"danint","danthonia intermedia","timber oatgrass"
"danspi","danthonia spicata","poverty oatgrass"
"danuni","danthonia unispicata","onespike oatgrass"
"desces","deschampsia cespitosa","tufted hairgrass"
"deselo","deschampsia elongata","slender hairgrass"
"dicacu","dichanthelium acuminatum","woolly panicum"
"digcal","digitaria californica","arizona cottontop"
"disspi","distichlis spicata","saltgrass"
"echcru","echinochloa crus-galli","barnyard grass"
"elepal","eleocharis palustris","common spikerush"
"eleros","eleocharis rostellata","beaked spikerush"
"elycan","elymus canadensis","canada wildrye"
"elyely","elymus elymoides","bottlebrush squirreltail"
"elygla","elymus glaucus","blue wildrye"
"elylan","elymus lanceolatus","thickspike wheatgrass"
"elymac","elymus macrourus","thickspike wildrye"
"elyrep","elymus repens","quackgrass"
"elytra","elymus trachycaulus","slender wheatgrass"
"eracur","eragrostis curvula","weeping lovegrass"
"eraint","eragrostis intermedia","plains lovegrass"
"eraleh","eragrostis lehmanniana","lehmann lovegrass"
"ereoph","eremochloa ophiuroides","centipede grass"
"erivag","eriophorum vaginatum","sheathed cottonsedge"
"erivir","eriophorum viridi-carinatum","green-keeled cottonsedge"
"fesspp","festuca altaica","northern rough fescue"
"fesari","festuca arizonica","arizona fescue"
"fescal","festuca californica","california fescue"
"fesspp","festuca campestris","mountain rough fescue"
"fesspp","festuca hallii","plains rough fescue"
"fesida","festuca idahoensis","idaho fescue"
"fesovi","festuca ovina var. vivipara","viviparous sheep fescue"
"fesrub","festuca rubra","red fescue"
"fessub","festuca subulata","bearded fescue"
"festhu","festuca thurberi","thurber fescue"
"hescom","hesperostipa comata","needle-and-thread grass"
"hesspa","hesperostipa spartea","porcupine grass"
"hieodo","hierochloe odorata","sweet grass"
"hilbel","hilaria belangeri","curlymesquite"
"hollan","holcus lanatus","common velvetgrass"
"horjub","hordeum jubatum","foxtail barley"
"impbra","imperata brasiliensis","brazilian satintail"
"impcyl","imperata cylindrica","cogon grass"
"junbal","juncus balticus","baltic rush"
"juncas","juncus castaneus","chestnut rush"
"junroe","juncus roemerianus","black rush"
"juntria","juncus triglumis var. albescens","three-flowered rush"
"kobsim","kobresia simpliciuscula","simple kobresia"
"koemac","koeleria macrantha","prairie junegrass"
"leukin","leucopoa kingii","spike fescue"
"leyamb","leymus ambiguus","colorado wildrye"
"leycin","leymus cinereus","basin wildrye"
"leyinn","leymus innovatus","boreal wildrye"
"leysal","leymus salinus","salina wildrye"
"lolmul","lolium multiflorum","italian ryegrass"
"lolper","lolium perenne","perennial ryegrass"
"luzhit","luzula hitchcockii","smooth woodrush"
"lycspp","lycurus phleoides","common wolfstail"
"lycspp","lycurus setosus","bristly wolfstail"
"lycspp","lycurus spp.","wolfstail"
"melmin","melinis minutiflora","molasses grass"
"micvim","microstegium vimineum","japanese stiltgrass"
"missin","miscanthus sinensis","chinese silvergrass"
"muhcus","muhlenbergia cuspidata","plains muhly"
"muhglo","muhlenbergia glomerata","spiked muhly"
"muhmon","muhlenbergia montana","mountain muhly"
"muhpor","muhlenbergia porteri","bush muhly"
"muhrac","muhlenbergia racemosa","green muhly"
"muhric","muhlenbergia richardsonis","mat muhly"
"naspul","nassella pulchra","purple needlegrass"
"nasvir","nassella viridula","green needlegrass"
"neyrey","neyraudia reynaudiana","silk reed"
"panhem","panicum hemitomon","maidencane"
"panobt","panicum obtusum","vine-mesquite"
"panrep","panicum repens","torpedograss"
"panvir","panicum virgatum","switchgrass"
"pasdis","paspalum distichum","knotgrass"
"passmi","pascopyrum smithii","western wheatgrass"
"pencil","pennisetum ciliare","buffelgrass"
"phaaru","phalaris arundinacea","reed canarygrass"
"phlpra","phleum pratense","timothy"
"phraus","phragmites australis","common reed"
"phyaur","phyllostachys aurea","golden bamboo"
"plejam","pleuraphis jamesii","galleta"
"plemut","pleuraphis mutica","tobosa"
"plerig","pleuraphis rigida","big galleta"
"poaari","poa arida","plains bluegrass"
"poabul","poa bulbosa","bulbous bluegrass"
"poacom","poa compressa","canada bluegrass"
"poacus","poa cusickii","cusick's bluegrass"
"poapra","poa pratensis","kentucky bluegrass"
"poasec","poa secunda","sandberg bluegrass"
"psajun","psathyrostachys juncea","russian wildrye"
"psespi","pseudoroegneria spicata","bluebunch wheatgrass"
"scharu","schedonorus arundinaceus","tall fescue"
"schpra","schedonorus pratensis","meadow fescue"
"schsco","schizachyrium scoparium","little bluestem"
"schten","schizachyrium tenerum","slender bluestem"
"schacu","schoenoplectus acutus","hardstem bulrush"
"schame","schoenoplectus americanus","olney's three-square bulrush"
"schsub","schoenoplectus subterminalis","water bulrush"
"schtab","schoenoplectus tabernaemontani","soft-stem bulrush"
"scofes","scolochloa festucacea","common river grass"
"sorhal","sorghum halepense","johnson grass"
"sornut","sorghastrum nutans","indiangrass"
"spaalt","spartina alterniflora","smooth cordgrass"
"spapat","spartina patens","saltmeadow cordgrass"
"spapec","spartina pectinata","prairie cordgrass"
"spoair","sporobolus airoides","alkali sacaton"
"spocom","sporobolus compositus","tall dropseed"
"spocry","sporobolus cryptandrus","sand dropseed"
"spofle","sporobolus flexuous","mesa dropseed"
"spohet","sporobolus heterolepis","prairie dropseed"
"spowri","sporobolus wrightii","big sacaton"
"taecap","taeniatherum caput-medusae","medusahead"
"trialp","trichophorum alpinum","alpine bulrush"
"trimut","tridens muticus","slim tridens"
"typang","typha angustifolia","narrow-leaved cattail"
"typlat","typha latifolia","common cattail"
"unipan","uniola paniculata","sea oats"
"uromut","urochloa mutica","para grass"
"vulmic","vulpia microstachys","small sixweeks grass"
"vulmyu","vulpia myuros","rattail sixweeks grass"
"vuloct","vulpia octoflora","sixweeks grass"
