"title","author","source"
"for whom the bell tolls","ernest hemingway","rad"
"forever","judy blume","ala"
"girls and sex","wardell pomeroy","ala"
"the giver","lois lowry","ala [014]"
"go ask alice","anonymous","ala"
"go tell it on the mountain","james baldwin","rad"
"the goats","brock cole","ala"
"gone with the wind","margaret mitchell","rad"
"goosebumps (series)","r. l. stine","ala"
"the grapes of wrath","john steinbeck","rad"
"the great gatsby","f. scott fitzgerald","rad"
"the great gilly hopkins","katherine paterson","ala"
"guess what?","mem fox","ala"
"halloween abc","eve merriam","ala"
"the handmaid's tale","margaret atwood","ala"
"harry potter (series)","j. k. rowling","ala"
"heart of darkness","joseph conrad","rad"
"heather has two mommies","lesléa newman","ala"
"the house of the spirits","isabel allende","ala"
"how to eat fried worms","thomas rockwell","ala"
"i know why the caged bird sings","maya angelou","ala"
"in cold blood","truman capote","rad"
"in the night kitchen","maurice sendak","ala"
"invisible man","ralph ellison","rad"
"it's perfectly normal","robie harris","ala"
"it's so amazing","robie harris","ala"
"jack","a. m. homes","ala"
"james and the giant peach","roald dahl","ala"
"jay's journal","anonymous","ala"
"julie of the wolves","jean craighead george","ala"
"jump ship to freedom","{james lincoln collier|christopher collier}","ala"
"jumper","steven gould","ala"
"the jungle","upton sinclair","rad"
"kaffir boy","mark mathabane","ala"
"killing mr. griffin","lois duncan","ala"
"lady chatterley's lover","d. h. lawrence","rad"
"a light in the attic","shel silverstein","ala"
"little black sambo","helen bannerman","ala"
"lolita","vladimir nabokov","rad"
"lord of the flies","william golding","ala/ rad"
"mommy laid an egg","babette cole","ala"
"my brother sam is dead","{james lincoln collier|christopher collier}","ala"
"the naked and the dead","norman mailer","rad"
"naked lunch","william s. burroughs","rad"
"native son","richard wright","ala /rad"
"the new joy of gay sex","{charles silverstein|felice picano}","ala"
"nineteen eighty-four (1984)","george orwell","rad"
"of mice and men","john steinbeck","ala /rad"
"on my honor","marion dane bauer","ala"
"one flew over the cuckoo's nest","ken kesey","rad"
"ordinary people","judith guest","ala"
"the outsiders","s. e. hinton","ala"
"the perks of being a wallflower","stephen chbosky","ala"
"the pillars of the earth","ken follett","ala"
"the pigman","paul zindel","ala"
"private parts","howard stern","ala"
"rabbit run","john updike","rad"
"the rabbit's wedding","garth williams","ala"
"rainbow boys","alex sanchez","ala"
"running loose","chris crutcher","ala"
"the satanic verses","salman rushdie","rad"
"scary stories (series)","alvin schwartz","ala"
"a separate peace","john knowles","rad"
"sex","madonna","ala"
"sex education","jenny davis","ala"
"slaughterhouse-five","kurt vonnegut","ala [069] /rad"
"the sledding hill","chris crutcher","ala"
"sleeping beauty trilogy","a. n. roquelaure (anne rice)","ala"
"song of solomon (novel)","toni morrison","ala /rad"
"sons and lovers","d. h. lawrence","rad"
"the stupids (series)","harry allard","ala"
"summer of my german soldier","bette greene","ala"
"the sun also rises","ernest hemingway","rad"
"that was then this is now","s. e. hinton","ala"
"their eyes were watching god","zora neale hurston","rad"
"tiger eyes","judy blume","ala"
"to kill a mockingbird","harper lee","ala [041] /rad"
"tropic of cancer","henry miller","rad"
"ulysses","james joyce","rad"
"view from the cherry tree","willo davis roberts","ala"
"we all fall down","robert cormier","ala"
"whale talk","chris crutcher","ala"
"what my mother doesn't know","sonya sones","ala"
"what's happening to my body? book for boys: a growing-up guide for parents &amp; sons","lynda madaras","ala"
"what's happening to my body? book for girls: a growing-up guide for parents &amp; daughters","lynda madaras","ala"
"where did i come from?","peter mayle","ala"
"the wish giver","bill brittain","ala"
"the witches","roald dahl","ala"
"women in love","d. h. lawrence","rad"
"women on top: how real life has changed women’s sexual fantasies","nancy friday","ala"
"a wrinkle in time","madeleine l'engle","ala"
