"common name","scientific name","details","warks","worcs","staffs","wm"
"upland sandpiper","bartramia longicauda","bbrc","1851","0","0","0"
"spotted redshank","tringa erythropus","wa wm","2006","2006","2006","2005"
"common redshank","tringa totanus","&nbsp;","2006","2006","2006","2006"
"marsh sandpiper","tringa stagnatilis","bbrc","0","0","1974","0"
"common greenshank","tringa nebularia","&nbsp;","2006","2006","2006","2006"
"lesser yellowlegs","tringa flavipes","bbrc","0","0","1995","0"
"green sandpiper","tringa ochropus","&nbsp;","2006","2006","2006","2006"
"wood sandpiper","tringa glareola","wo wm","2006","2006","2006","2005"
"common sandpiper","actitis hypoleucos","&nbsp;","2006","2006","2006","2006"
"spotted sandpiper","actitis macularius","bbrc","1990","0","2005","2004"
"turnstone","arenaria interpres","wm","2006","2006","2006","2004"
"wilson's phalarope","phalaropus tricolor","bbrc","1996","1985","0","0"
"red-necked phalarope","phalaropus lobatus","a","2000","2006","2004","1893"
"grey phalarope","phalaropus fulicarius","a","2005","2004","2005","2005"
"pomarine skua","stercorarius pomarinus","a","1997","1999","2006","1985"
"arctic skua","stercorarius parasiticus","a","2006","1996","2005","2000"
"long-tailed skua","stercorarius longicaudus","a","2003","1987","2004","1991"
"great skua","stercorarius skua","a","2006","2000","2006","1994"
"mediterranean gull","larus melanocephalus","wm","2006","2006","2006","2006"
"laughing gull","larus atricilla","bbrc","0","2005","0","1997"
"franklin's gull","larus pipixcan","bbrc","2002","0","2006","0"
"ring-billed gull","larus delawarensis","a","1998","2006","2006","1996"
"common gull","larus canus","&nbsp;","2006","2006","2006","2006"
"lesser black-backed gull","larus fuscus","&nbsp;","2006","2006","2006","2006"
"herring gull","larus argentatus","&nbsp;","2006","2006","2006","2006"
"yellow-legged gull","larus michahellis","&nbsp;","2006","2006","2006","2006"
"caspian gull","larus cachinnans","a","2006","2006","2006","2006"
"iceland gull","larus glaucoides","a","2006","2006","2006","2006"
"kumlien's gull","larus glaucoides kumlieni","a","2001","2005","1999","0"
"glaucous gull","larus hyperboreus","a","2006","2006","2006","2006"
"great black-backed gull","larus marinus","&nbsp;","2006","2006","2006","2006"
"kittiwake","rissa tridactyla","&nbsp;","2006","2006","2006","2006"
"little gull","hydrocoloeus minutus","wm","2006","2006","2006","2006"
"bonaparte's gull","chroicocephalus philadelphia","bbrc","1992","0","1996","0"
"black-headed gull","chroicocephalus ridibundus","&nbsp;","2006","2006","2006","2006"
"sabine's gull","xema sabini","a","1989","1997","2006","0"
"gull-billed tern","gelochelidon nilotica","bbrc","2006","&lt;1901","1989","1896"
"caspian tern","hydroprogne caspia","bbrc","1993","1971","1999","1979"
"sandwich tern","sterna sandvicensis","wa wo wm","2006","2006","2006","2005"
"roseate tern","sterna dougallii","a","2002","1999","2006","0"
"common tern","sterna hirundo","&nbsp;","2006","2006","2006","2006"
"arctic tern","sterna paradisaea","&nbsp;","2006","2006","2006","2006"
"sooty tern","sterna fuscata","bbrc","0","0","1852","0"
"little tern","sternula albifrons","a","2006","2005","2006","2000"
"whiskered tern","chlidonias hybrida","bbrc","2005","1994","2005","0"
"black tern","chlidonias niger","&nbsp;","2006","2006","2006","2006"
"white-winged black tern","chlidonias leucopterus","a","2005","2000","2005","1977"
"common guillemot","uria aalge","a","nk","0","1920","1980"
"razorbill","alca torda","a","nk","1953","0","1912"
"little auk","alle alle","a","2003","1998","2001","1999"
"puffin","fratercula arctica","a","1984","1963","1983","1999"
"pallas's sandgrouse","syrrhaptes paradoxus","bbrc","1888","1888","1908","1888"
"feral pigeon","columba livia","&nbsp;","2006","2006","2006","2006"
"stock dove","columba oenas","&nbsp;","2006","2006","2006","2006"
"wood pigeon","columba palumbus","&nbsp;","2006","2006","2006","2006"
"collared dove","streptopelia decaocto","&nbsp;","2006","2006","2006","2006"
"turtle dove","streptopelia turtur","st","2006","2006","2006","2006"
"rose-ringed parakeet","psittacula krameri","a","2006","2005","2006","2006"
"common cuckoo","cuculus canorus","&nbsp;","2006","2006","2006","2006"
"barn owl","tyto alba","&nbsp;","2006","2006","2006","2006"
"little owl","athene noctua","&nbsp;","2006","2006","2006","2006"
"tawny owl","strix aluco","&nbsp;","2006","2006","2006","2006"
"long-eared owl","asio otus","wa wo wm","2006","2006","2006","2006"
"short-eared owl","asio flammeus","wm","2006","2006","2006","2006"
"tengmalm's owl","aegolius funereus","bbrc","0","1901","0","0"
"european nightjar","caprimulgus europaeus","wa wo wm","2006","2005","2006","2005"
"white-throated needle-tail","hirundapus caudacutus","bbrc","0","0","1991","0"
"common swift","apus apus","&nbsp;","2006","2006","2006","2006"
"alpine swift","apus melba","a","2003","1997","1996","1988"
"common kingfisher","alcedo atthis","&nbsp;","2006","2006","2006","2006"
"belted kingfisher","megaceryle alcyon","bbrc","0","0","2005","0"
"european bee-eater","merops apiaster","a","1886","1970","0","1955"
"european roller","coracias garrulus","bbrc","0","0","1908","0"
"hoopoe","upupa epops","a","2006","2006","2006","2006"
"wryneck","jynx torquilla","a","2003","2006","2005","2006"
"green woodpecker","picus viridis","&nbsp;","2006","2006","2006","2006"
"great spotted woodpecker","dendrocopos major","&nbsp;","2006","2006","2006","2006"
"lesser spotted woodpecker","dendrocopos minor","&nbsp;","2006","2006","2006","2006"
"wood lark","lullula arborea","a","2004","2006","2006","2004"
"sky lark","alauda arvensis","&nbsp;","2006","2006","2006","2006"
"shore lark","eremophila alpestris","a","1994","2003","2002","2006"
"sand martin","riparia riparia","&nbsp;","2006","2006","2006","2006"
"barn swallow","hirundo rustica","&nbsp;","2006","2006","2006","2006"
"red-rumped swallow","cecropis daurica","a","2004","2001","2006","0"
"house martin","delichon urbicum","&nbsp;","2006","2006","2006","2006"
"richard's pipit","anthus richardi","a","2001","1967","2002","1994"
"tree pipit","anthus trivialis","&nbsp;","2006","2006","2006","2006"
"meadow pipit","anthus pratensis","&nbsp;","2006","2006","2006","2006"
"red-throated pipit","anthus cervinus","a","1994","0","0","0"
"rock pipit","anthus petrosus petrosus","wm","2006","2006","2006","2006"
"scandinavian rock pipit","anthus petrosus littoralis","a","2004","1997","2005","2006"
"water pipit","anthus spinoletta","a","2006","2005","2006","2005"
"yellow wagtail","motacilla flava flavissima","&nbsp;","2006","2006","2006","2006"
"blue-headed wagtail","motacilla flava flava","a","2006","2006","2006","2006"
"spanish wagtail","motacilla flava iberiae","a","0","1982","1993","0"
"grey-headed wagtail","motacilla flava thunbergi","a","0","0","0","1996"
"citrine wagtail","motacilla citreola","bbrc","1997","0","0","0"
"grey wagtail","motacilla cinerea","&nbsp;","2006","2006","2006","2006"
"pied wagtail","motacilla alba yarrellii","&nbsp;","2006","2006","2006","2006"
"white wagtail","motacilla alba alba","a (autumn)","2006","2006","2006","2006"
"waxwing","bombycilla garrulus","wa wo wm","2006","2005","2005","2006"
"dipper","cinclus cinclus gularis","wa wm","1991","2006","2006","2006"
"black-bellied dipper","cinclus cinclus cinclus","a","1996","0","0","0"
"wren","troglodytes troglodytes","&nbsp;","2006","2006","2006","2006"
"dunnock","prunella modularis","&nbsp;","2006","2006","2006","2006"
"alpine accentor","prunella collaris","bbrc","nk","0","0","0"
"robin","erithacus rubecula","&nbsp;","2006","2006","2006","2006"
"common nightingale","luscinia megarhynchos","st wm","2006","2006","1988","1979"
"bluethroat","luscinia svecica","a","1995","1981","1994","1985"
"black redstart","phoenicurus ochruros","a","2006","2006","2006","2006"
"common redstart","phoenicurus phoenicurus","&nbsp;","2006","2006","2006","2006"
"whinchat","saxicola rubetra","&nbsp;","2006","2006","2006","2006"
"stonechat","saxicola torquata","&nbsp;","2006","2006","2006","2006"
"northern wheatear","oenanthe oenanthe","&nbsp;","2006","2006","2006","2006"
"greenland wheatear","oenanthe o. leucorrhoa","a","2006","2006","2006","2006"
"desert wheatear","oenanthe deserti","bbrc","0","0","1996","0"
"white's thrush","zoothera dauma","bbrc","1895","0","0","0"
"ring ouzel","turdus torquatus","wa","2006","2006","2006","2006"
"blackbird","turdus merula","&nbsp;","2006","2006","2006","2006"
"dusky thrush","turdus naumanni","bbrc","0","1979","0","0"
"dark-throated thrush","turdus ruficollis","bbrc","0","1996","1978","0"
"fieldfare","turdus pilaris","&nbsp;","2006","2006","2006","2006"
"song thrush","turdus philomelos","&nbsp;","2006","2006","2006","2006"
"redwing","turdus iliacus","&nbsp;","2006","2006","2006","2006"
"mistle thrush","turdus viscivorus","&nbsp;","2006","2006","2006","2006"
"cetti's warbler","cettia cetti","a","2006","2006","2006","2001"
"grasshopper warbler","locustella naevia","&nbsp;","2006","2006","2006","2006"
"river warbler","locustella fluviatilis","bbrc","0","0","1996","0"
"savi's warbler","locustella luscinioides","a","2004","1999","1977","0"
"aquatic warbler","acrocephalus paludicola","a","2005","1983","0","0"
"sedge warbler","acrocephalus schoenobaenus","&nbsp;","2006","2006","2006","2006"
"marsh warbler","acrocephalus palustris","a","2001","2005","1996","1982"
"reed warbler","acrocephalus scirpaceus","&nbsp;","2006","2006","2006","2006"
"great reed warbler","acrocephalus arundinaceus","bbrc","2005","0","0","0"
"icterine warbler","hippolais icterina","a","1997","1942","1993","0"
"melodious warbler","hippolais polyglotta","a","2000","0","1996","0"
"blackcap","sylvia atricapilla","&nbsp;","2006","2006","2006","2006"
"garden warbler","sylvia borin","&nbsp;","2006","2006","2006","2006"
"barred warbler","sylvia nisoria","a","1979","0","0","0"
"lesser whitethroat","sylvia curruca","&nbsp;","2006","2006","2006","2006"
"common whitethroat","sylvia communis","&nbsp;","2006","2006","2006","2006"
"dartford warbler","sylvia undata","a","1914","2005","2006","2006"
"arctic warbler","phylloscopus borealis","a","0","0","1993","0"
"pallas's leaf warbler","phylloscopus proregulus","a","2001","1987","1970","0"
"yellow-browed warbler","phylloscopus inornatus","a","1996","2003","2006","1998"
"hume's warbler","phylloscopus humei","bbrc","0","0","1994","0"
"dusky warbler","phylloscopus fuscatus","bbrc","0","0","0","1996"
"wood warbler","phylloscopus sibilatrix","wa","2006","2006","2006","2006"
"common chiffchaff","phylloscopus collybita","&nbsp;","2006","2006","2006","2006"
"siberian chiffchaff","phylloscopus c. tristis","a","2006","2006","2005","1994"
"scandinavian chiffchaff","phylloscopus c. abietinus","a","2005","2006","2005","1991"
"willow warbler","phylloscopus trochilus","&nbsp;","2006","2006","2006","2006"
"goldcrest","regulus regulus","&nbsp;","2006","2006","2006","2006"
"firecrest","regulus ignicapilla","a","2006","2006","2006","2006"
"spotted flycatcher","muscicapa striata","&nbsp;","2006","2006","2006","2006"
"red-breasted flycatcher","ficedula parva","a","2004","0","0","0"
"pied flycatcher","ficedula hypoleuca","wa","2005","2006","2006","2006"
"bearded tit","panurus biarmicus","a","2006","2004","2004","1993"
"long-tailed tit","aegithalos caudatus","&nbsp;","2006","2006","2006","2006"
"marsh tit","poecile palustris","wm","2006","2006","2006","2006"
"willow tit","poecile montana","&nbsp;","2006","2006","2006","2006"
"coal tit","periparus ater","&nbsp;","2006","2006","2006","2006"
"blue tit","cyanistes caeruleus","&nbsp;","2006","2006","2006","2006"
"great tit","parus major","&nbsp;","2006","2006","2006","2006"
"eurasian nuthatch","sitta europaea","&nbsp;","2006","2006","2006","2006"
"eurasian treecreeper","certhia familiaris","&nbsp;","2006","2006","2006","2006"
"golden oriole","oriolus oriolus","a","2005","2000","1997","1990"
"red-backed shrike","lanius collurio","a","2005","2000","2006","2003"
"lesser grey shrike","lanius minor","bbrc","0","1987","0","0"
"great grey shrike","lanius excubitor","a","2006","2005","2006","1998"
"woodchat shrike","lanius senator","a","0","1893","0","1999"
"eurasian jay","garrulus glandarius","&nbsp;","2006","2006","2006","2006"
"magpie","pica pica","&nbsp;","2006","2006","2006","2006"
"nutcracker","nucifraga caryocatactes","bbrc","0","0","1991","0"
"red-billed chough","pyrrhocorax pyrrhocorax","a","0","1826","0","0"
"western jackdaw","corvus monedula","&nbsp;","2006","2006","2006","2006"
"rook","corvus frugilegus","&nbsp;","2006","2006","2006","2006"
"carrion crow","corvus corone","&nbsp;","2006","2006","2006","2006"
"hooded crow","corvus cornix","a","1987","1983","1994","1984"
"common raven","corvus corax","&nbsp;","2006","2006","2006","2006"
"common starling","sturnus vulgaris","&nbsp;","2006","2006","2006","2006"
"rose-coloured starling","sturnus roseus","a","2001","2005","2002","2004"
"house sparrow","passer domesticus","&nbsp;","2006","2006","2006","2006"
"tree sparrow","passer montanus","&nbsp;","2006","2006","2006","2006"
"chaffinch","fringilla coelebs","&nbsp;","2006","2006","2006","2006"
"brambling","fringilla montifringilla","&nbsp;","2006","2006","2006","2006"
"european serin","serinus serinus","a","2002","1981","2001","0"
"greenfinch","carduelis chloris","&nbsp;","2006","2006","2006","2006"
"goldfinch","carduelis carduelis","&nbsp;","2006","2006","2006","2006"
"siskin","carduelis spinus","&nbsp;","2006","2006","2006","2006"
"linnet","carduelis cannabina","&nbsp;","2006","2006","2006","2006"
"twite","carduelis flavirostris","a","2006","2002","2006","2003"
"lesser redpoll","carduelis cabaret","&nbsp;","2006","2006","2006","2006"
"common redpoll","carduelis flammea","a","2006","2006","2006","2006"
"arctic redpoll","carduelis hornemanni","a","0","2002","1996","0"
"two-barred crossbill","loxia leucoptera","bbrc","0","1838","1980","0"
"common crossbill","loxia curvirostra","wa wm","2006","2006","2006","2005"
"common rosefinch","carpodacus erythrinus","a","2003","0","0","0"
"bullfinch","pyrrhula pyrrhula","&nbsp;","2006","2006","2006","2006"
"hawfinch","coccothraustes coccothraustes","st wa wm","2006","2006","2006","2006"
"lapland bunting","calcarius lapponicus","a","1981","0","2005","2005"
"snow bunting","plectrophenax nivalis","a","2004","2006","2006","1997"
"pine bunting","emberiza leucocephalos","bbrc","0","2005","0","0"
"yellowhammer","emberiza citrinella","&nbsp;","2006","2006","2006","2006"
"cirl bunting","emberiza cirlus","a","1959","1983","1951","1950"
"rustic bunting","emberiza rustica","a","0","1987","0","0"
"little bunting","emberiza pusilla","a","1902","2005","2005","2003"
"reed bunting","emberiza schoeniclus","&nbsp;","2006","2006","2006","2006"
"black-headed bunting","emberiza melanocephala","bbrc","2004","0","0","0"
"corn bunting","miliaria calandra","&nbsp;","2006","2006","2006","2006"
"baltimore oriole","icterus galbula","bbrc","0","0","0","1968"
"2006 totals (regional = 239)","2006 totals (regional = 239)","2006 totals (regional = 239)","204","201","226","174"
"county totals (regional = 342)","county totals (regional = 342)","county totals (regional = 342)","307","297","311","270"
