"common name","scientific name","tnc elcode"
"black-and-white warbler","mniotilta varia","abpbx05010"
"black-bellied plover","pluvialis squatarola","abnnb02010"
"black-billed cuckoo","coccyzus erythropthalmus","abnrb02010"
"blackburnian warbler","dendroica fusca","abpbx03120"
"black-capped chickadee","poecile atricapillus","abpaw01010"
"black-crowned night-heron","nycticorax nycticorax hoactii","abnga11010"
"black-necked stilt","himantopus mexicanus","abnnd01010"
"blackpoll warbler","dendroica striata","abpbx03230"
"black-throated blue warbler","dendroica caerulescens","abpbx03050"
"black-throated gray warbler","dendroica nigrescens","abpbx03070"
"black-throated green warbler","dendroica virens waynei","abpbx03102"
"blue grosbeak","guiraca caerulea","abpbx6401001"
"blue jay","cyanocitta cristata","abpav02020"
"blue-gray gnatcatcher","polioptila caerulea","abpbj08010"
"blue-headed vireo","vireo solitarius","abpbw01160"
"blue-winged teal","anas discors orphna","abnjb10130"
"blue-winged warbler","vermivora pinus","abpbx01020"
"boat-tailed grackle","quiscalus major","abpbxb6060"
"bobolink","dolichonyx oryzivorus","abpbxa9010"
"bohemian waxwing","bombycilla garrulus","abpbn01010"
"bonaparte's gull","larus philadelphia","abnnm03050"
"brant","'branta bernicla brota","abnjb05010"
"brewer's blackbird","euphagus cyanocephalus","abpbxb5020"
"broad-winged hawk","buteo platypterus","abnkc19050"
"brown creeper","certhia americana","abpba01010"
"brown pelican","pelecanus occidentalis","abnfc01020"
"brown thrasher","toxostoma rufum","abpbk06010"
"brown-headed cowbird","molothrus ater","abpbxb7030"
"brown-headed nuthatch","sitta pusilla","abpaz01040"
"buff-breasted sandpiper","tryngites subruficollis","abnnf14010"
"bufflehead","bucephala albeola","abnjb18030"
"canada goose","branta canadensis","abnjb05030"
"canada warbler","wilsonia canadensis","abpbx16030"
"canvasback","aythya valisineria","abnjb11020"
"cape may warbler","dendroica tigrina","abpbx03040"
"carolina chickadee","poecile carolinensis","abpaw01020"
"carolina wren","thryothorus ludovicianus","abpbg06130"
"caspian tern","sterna caspia","abnnm08020"
"cattle egret","bubulcus ibis","abnga07010"
"cedar waxwing","bombycilla cedrorum","abpbn01020"
"cerulean warbler","dendroica cerulea","abpbx03240"
"chestnut-collared longspur","calcarius ornatus","abpbxa6040"
"chestnut-sided warbler","dendroica pensylvanica","abpbx03020"
"chimney swift","chaetura pelagica","abnua03010"
"chipping sparrow","spizella passerina","abpbx94020"
"chuck-will's-widow","caprimulgus carolinensis","abnta07010"
"clapper rail","rallus longirostris crepitans","abnme05010"
"cliff swallow","petrochelidon pyrrhonota pyrrhonota","abpau09010"
"common goldeneye","bucephala clangula americana","abnjb18010"
"common grackle","quiscalus quiscula","abpbxb6070"
"common ground dove","columbina passerina","abnpb06020"
"common loon","gavia immer","abnba01030"
"common merganser","mergus merganser americanus","abnjb21010"
"common moorhen","gallinula chloropus cachinnans","abnme13010"
"common nighthawk","chordeiles minor","abnta02020"
"common raven","corvus corax","abpav10110"
"common redpoll","carduelis flammea","abpby06010"
"common snipe","gallinago gallinago","abnnf18010"
"common tern","sterna hirundo","abnnm08070"
"common yellowthroat","geothlypis trichas brachidactylus","abpbx12010"
"connecticut warbler","oporornis agilis","abpbx11020"
"cooper's hawk","accipiter cooperii","abnkc12040"
"cory's shearwater","puffinus diomedea","abndb06020"
"curlew sandpiper","calidris ferruginea","abnnf11180"
"dark-eyed junco","junco hyemalis","abpbxa5020"
"dickcissel","spiza americana","abpbx65010"
"double-crested comorant","phalacrocorax auritus","abnfd01020"
"downy woodpecker","picoides pubescens","abnyf07030"
"dunlin","calidris alpina hudsonia","abnnf11170"
"eastern bluebird","sialia sialis","abpbj15010"
"eastern kingbird","tyrannus tyrannus","abpae52060"
"eastern meadowlark","sturnella magna","abpbxb2020"
"eastern phoebe","sayornis phoebe","abpae35020"
"eastern screech-owl","otus asio","abnsb01030"
"eastern towhee","pipilo erythrophthalmus","abpbx74030"
"eastern wood pewee","contopus virens","abpae32060"
"european starling","sturnus vulgaris","abpbt01010"
"evening grosbeak","coccothraustes vespertinus","abpby09020"
"ferruginous hawk","buteo regalis","abnkc19120"
"field sparrow","spizella pusilla","abpbx94050"
"fish crow","corvus ossifragus","abpav10080"
"forster's tern","sterna forsteri","abnnm08090"
"fox sparrow","passerella iliaca","abpbxa2010"
"franklin's gull","larus pipixcan","abnnm03020"
"fulvous whistling-duck","dendrocygna bicolor","abnjb01010"
"gadwall","anas strepera","abnjb10160"
"glaucous gull","larus hyperboreus","abnnm03200"
"glossy ibis","plegadis falcinellus","abnge02010"
"golden eagle","aquila chrysaetos","abnkc22010"
"golden-crowned kinglet","regulus satrapa","abpbj05010"
"golden-winged warbler","vermivora chrysoptera","abpbx01030"
"grasshopper sparrow","ammodramus savannarum pratensis","abpbxa0024"
"gray catbird","dumetella carolinensis","abpbk01010"
"gray kingbird","tyrannus dominicensis","abpae52070"
"great black-backed gull","larus marinus","abnnm03210"
"great blue heron","ardea herodias herodias","abnga04010"
"great crested flycatcher","myiarchus crinitus","abpae43070"
"great egret","ardea alba egretta","abnga04040"
"great horned owl","bubo virginianus","abnsb05010"
"greater scaup","aythya marila","abnjb11060"
"greater yellowlegs","tringa melanoleuca","abnnf01020"
"green heron","butorides virescens","abnga08010"
"green-winged teal","anas crecca carolinensis","abnjb10010"
"gull-billed tern","sterna nilotica aranea","abnnm08010"
"hairy woodpecker","picoides villosus","abnyf07040"
"harlequin duck","histrionicus histrionicus","abnjb15010"
"harris' sparrow","zonotrichia querula","abpbxa4050"
"henslow's sparrow","ammodramus henslowii","abpbxa0030"
"hermit thrush","catharus guttatus","abpbj18110"
"herring gull","larus argentatus","abnnm03120"
"hooded merganser","lophodytes cucullatus","abnjb20010"
"hooded warbler","wilsonia citrina","abpbx16010"
"horned lark","eremophila alpestris","abpat02010"
"house finch","carpodacus mexicanus","abpby04040"
"house sparrow","passer domesticus","abpbz01010"
"house wren","troglodytes aedon","abpbg09010"
"hudsonian godwit","limosa haemastica","abnnf08020"
"indigo bunting","passerina cyanea","abpbx64030"
"kentucky warbler","oporornis formosus","abpbx11010"
"killdeer","charadrius vociferus","abnnb03090"
"king rail","rallus elegans","abnme05020"
"lapland longspur","calcarius lapponicus","abpbxa6020"
"lark bunting","calamospiza melanocorys","abpbx98010"
"laughing gull","larus atricilla","abnnm03010"
"least bittern","ixobrychus exilis exilis","abnga02010"
"least flycatcher","empidonax minimus","abpae33070"
"least sandpiper","calidris minutilla","abnnf11100"
"least tern","sterna antillarum","abnnm08100"
"lesser scaup","aythya affinis","abnjb11070"
"lesser snow goose","chen caerulescens caerulescens","abnjb04010"
"lesser yellowlegs","tringa flavipes","abnnf01030"
"lincoln's sparrow","melospiza lincolnii","abpbxa3020"
"little blue heron","egretta caerulea caerulea","abnga06040"
"loggerhead shrike","lanius ludovicianus ludovicianus","abpbr01030"
"long-billed curlew","numenius americanus","abnnf07070"
"long-billed dowitcher","limnodromus scolopaceus","abnnf16020"
"long-eared owl","asio otus","abnsb13010"
"louisiana waterthrush","seiurus motacilla","abpbx10030"
"magnolia warbler","dendroica magnolia","abpbx03030"
"mallard","anas platyrhynchos","abnjb10060"
"marbled godwit","limosa fedoa","abnnf08040"
"marsh wren","cistothorus palustris","abpbg10020"
"merlin","falco columbarius","abnkd06030"
"migrant loggerhead shrike","lanius ludovicianus migrans","abpbr01037"
"mississippi kite","ictinia mississippiensis","abnkc09010"
"mourning dove","zenaida macroura carolinensis","abnpb04040"
"mourning warbler","oporornis philadelphia","abpbx11030"
"mute swan","cygnus olor","abnjb02040"
"nashville warbler","vermivora ruficapilla","abpbx01060"
"nelson's sharp-tailed sparrow","ammodramus nelsoni","abpbxa0070"
"northern bobwhite","colinus virginianus","abnlc21020"
"northern cardinal","cardinalis cardinalis","abpbx60010"
"northern flicker","colaptes auratus","abnyf10020"
"northern goshawk","accipiter gentilis","abnkc12060"
"northern harrier","circus cyaneus","abnkc11010"
"northern mockingbird","mimus polyglottos","abpbk03010"
"northern parula","parula americana","abpbx02010"
"northern pintail","anas acuta acuta","abnjb10110"
"northern rough-winged swallow","stelgidopteryx serripennis","abpau07010"
"northern saw-whet owl","aegolius acadicus","abnsb15020"
"northern shoveler","anas clypeata","abnjb10150"
"northern waterthrush","seiurus noveboracensis","abpbx10020"
"oldsquaw","clangula hyemalis","abnjb16010"
"olive-sided flycatcher","contopus cooperi","abpae32010"
"orange-crowned warbler","vermivora celata","abpbx01050"
"orchard oriole","icterus spurius","abpbxb9070"
"osprey","pandion haliaetus carolinensis","abnkc01010"
"ovenbird","seiurus aurocapillus","abpbx10010"
"palm warbler","dendroica palmarum","abpbx03210"
"pectoral sandpiper","calidris melanotos","abnnf11130"
"peregrine falcon","falco peregrinus","abnkd06070"
"pied-billed grebe","podilymbus podiceps","abnca02010"
"pileated woodpecker","dryocopus pileatus","abnyf12020"
"pine grosbeak","pinicola enucleator","abpby03010"
"pine siskin","carduelis pinus","abpby06030"
"pine warbler","dendroica pinus","abpbx03170"
"piping plover","charadrius melodus","abnnb03070"
"plover wilson's","charadrius wilsonia wilsonia","abnnb03040"
"prairie warbler","dendroica discolor","abpbx03190"
"prothonotary warbler","protonotaria citrea","abpbx07010"
"purple finch","carpodacus purpureus","abpby04020"
"purple gallinule","porphyrula martinica","abnme12010"
"purple martin","progne subis","abpau01010"
"purple sandpiper","calidris maritima","abnnf11150"
"red crossbill","loxia curvirostra","abpby05010"
"red knot","calidris canutus","abnnf11020"
"red-bellied woodpecker","melanerpes carolinus","abnyf04170"
"red-breasted merganser","mergus serrator serrator","abnjb21020"
"red-breasted nuthatch","sitta canadensis","abpaz01010"
"red-cockaded woodpecker","picoides borealis borealis","abnyf07060"
"red-eyed vireo","vireo olivaceus","abpbw01240"
"redhead","aythya americana","abnjb11030"
"red-headed woodpecker","melanerpes erythrocephalus","abnyf04040"
"red-necked grebe","podiceps grisegena","abnca03020"
"red-necked phalarope","phalaropus lobatus","abnnf20020"
"red-shouldered hawk","buteo lineatus lineatus","abnkc19030"
"red-tailed hawk","buteo jamaicensis","abnkc19110"
"red-throated loon","gavia stellata","abnba01010"
"red-winged blackbird","agelaius phoeniceus","abpbxb0010"
"ring-necked pheasant","phasianus colchicus","abnlc07010"
"rock dove","columba livia","abnpb01010"
"roseate tern","sterna dougallii","abnnm08060"
"rose-breasted grosbeak","pheucticus ludovicianus","abpbx61030"
"rough-legged hawk","buteo lagopus johannis","abnkc19130"
"royal tern","sterna maxima maximus","abnnm08030"
"ruby-crowned kinglet","regulus calendula","abpbj05020"
"ruby-throated hummingbird","archilochus colubris","abnuc45010"
"ruddy duck","oxyura jamaicensis","abnjb22010"
"ruddy turnstone","arenaria interpres","abnnf09010"
"ruffed grouse","bonasa umbellus","abnlc11010"
"rusty blackbird","euphagus carolinus","abpbxb5010"
"saltmarsh sharp-tailed sparrow","ammodramus caudacutus","abpbxa0050"
"sanderling","calidris alba","abnnf11030"
"savannah sparrow","passerculus sandwichensis","abpbx99010"
"scarlet tanager","piranga olivacea","abpbx45040"
"scissor-tailed flycatcher","tyrannus forficatus","abpae52100"
"seaside sparrow","ammodramus maritimus","abpbxa0060"
"sedge wren","cistothorus platensis","abpbg10010"
"semipalmated plover","charadrius semipalmatus","abnnb03060"
"semipalmated sandpiper","calidris pusilla","abnnf11040"
"sharp-shinned hawk","accipiter striatus velox","abnkc12020"
"short-billed dowitcher","limnodromus griseus","abnnf16010"
"short-eared owl","asio flammeus","abnsb13040"
"snow bunting","plectrophenax nivalis nivalis","abpbxa8010"
"snow goose","chen caerulescens","abnjb04010"
"snowy egret","egretta thula","abnga06030"
"solitary sandpiper","tringa solitaria","abnnf01070"
"song sparrow","melospiza melodia","abpbxa3010"
"sooty shearwater","puffinus griseus","abndb07060"
"sora","porzana carolina","abnme08020"
"spotted sandpiper","actitis macularia","abnnf04020"
"sprague's pipit","anthus spragueii","abpbm02060"
"stilt sandpiper","calidris himantopus","abnnf11190"
"summer tanager","piranga rubra","abpbx45030"
"surf scoter","melanitta perspicillata","abnjb17020"
"swainson's thrush","catharus ustulatus","abpbj18100"
"swainson's warbler","limnothlypis swainsonii","abpbx09010"
"swamp sparrow","melospiza georgiana","abpbxa3030"
"tree swallow","tachycineta bicolor","abpau03010"
"tricolored heron","egretta tricolor","abnga06050"
"tufted titmouse","baeolophus bicolor","abpaw01110"
"tundra swan","cygnus columbianus columbianus","abnga02010"
"turkey vulture","cathartes aura","abnka02010"
"upland sandpiper","bartramia longicauda","abnnf06010"
"veery","catharus fuscescens","abpbj18080"
"vesper sparrow","pooecetes gramineus","abpbx95010"
"virginia rail","rallus limicola","abnme05030"
"warbling vireo","vireo gilvus gilvus","abpbw01210"
"western kingbird","tyrannus verticalis","abpae52050"
"western sandpiper","calidris mauri","abnnf11050"
"western tanager","piranga ludoviciana","abpbx45050"
"whimbrel","numenius phaeopus","abnnf07020"
"whip-poor-will","caprimulgus vociferus","abnta07070"
"white ibis","eudocimus albus","abnge01010"
"white-breasted nuthatch","sitta carolinensis","abpaz01020"
"white-crowned sparrow","zonotrichia leucophrys","abpbxa4040"
"white-eyed vireo","vireo griseus","abpbw01020"
"white-rumped sandpiper","calidris fuscicollis","abnnf11110"
"white-throated sparrow","zonotrichia albicollis","abpbxa4020"
"white-winged crossbill","loxia leucoptera","abpby05020"
"white-winged scoter","melanitta fusca deglandi","abnjb17030"
"wild turkey","meleagris gallopavo silvestris","abnlc14010"
"willet","catoptrophorus semipalmatus semipalmatus","abnnf02010"
"willow flycatcher","empidonax traillii","abpae33040"
"wilson's phalarope","phalaropus tricolor","abnnf20010"
"wilson's warbler","wilsonia pusilla","abpbx16020"
"winter wren","troglodytes troglodytes","abpbg09050"
"wood duck","aix sponsa","abnjb09010"
"wood stork","mycteria americana","abngf02010"
"wood thrush","hylocichla mustelina","abpbj19010"
"worm-eating warbler","helmitheros vermivorus","abpbx08010"
"yellow rail","coturnicops noveboracensis","abnme01010"
"yellow warbler","dendroica petechia","abpbx03010"
"yellow-bellied flycatcher","empidonax flaviventris","abpae33010"
"yellow-bellied sapsucker","sphyrapicus varius","abnyf05010"
"yellow-billed cuckoo","coccyzus americanus","abnrb02020"
"yellow-breasted chat","icteria virens virens","abpbx24010"
"yellow-crowned night-heron","nyctanassa violacea violacea","abnga13010"
"yellow-rumped warbler","dendroica coronata cornata","abpbx03060"
"yellow-throated vireo","vireo flavifrons","abpbw01170"
"yellow-throated warbler","dendroica dominica","abpbx03130"
