"name","latest version","description"
"actionpack-rb18","2.0.2-1","web request routing and handling"
"actionwebservice-rb18","1.2.6-4","soap and xml-rpc support for rails"
"activerecord-rb18","2.0.2-1","object-relational mapper for ruby"
"activeresource-rb18","2.0.2-1","object-relational mapper for ruby"
"activesupport-rb18","2.0.2-1","utility classes for rails"
"actuarial-oct305","1.1.0-2","actuarial functions for octave"
"actuarial-oct324","1.1.0-2","actuarial functions for octave"
"actuarial-oct343","1.1.0-2","actuarial functions for octave"
"actuarial-oct360","1.1.0-2","actuarial functions for octave"
"actuarial-oct361","1.1.0-2","actuarial functions for octave"
"ad-oct305","1.0.6-4","automatic forward differentiation in octave"
"ad-oct343","1.0.6-4","automatic forward differentiation in octave"
"adg","0.5.3-3","libraries for automatic drawing generation"
"adg-shlibs","0.5.3-3","libraries for automatic drawing generation"
"adns","1.4-2","asynchronous dns library and utilities"
"adns-1.4-dev","1.4-2","asynchronous dns library and utilities"
"adns-1.4-shlibs","1.4-2","asynchronous dns library and utilities"
"adns-dev","1.1-4","asynchronous dns library and utilities"
"adonthell","0.3.5-1","open source rpg engine"
"advancecomp","1.15-3","recompress zip gz png and mng files"
"advancemame","0.84.0-1020","sdl-based unofficial mame emulator"
"advancemenu","2.5.0-2","sdl-based frontend for advancemame"
"advancescan","1.14-1","command line rom manager for advancemame"
"aee","2.2.15b-1","another easy editor"
"aeneas","1.2-2","3d monte carlo semiconductor device simulator"
"aeolus","0.8.2-1","high quality pipe organ emulator"
"aeolus-shlibs","0.8.2-1","shared libraries for clthreads"
"aesutil","1.0.7-1","cli tool to encrypt/decrypt with aes"
"aewan","1.0.01-2","ascii-art editor without a name"
"afio","2.4.6-2","archive file manipulation program"
"afternoonstalker","1.1.4-1002","afternoon stalker - a robot-killing game"
"aftp","1.0-1","manipulate and browse apple ii disk images"
"agrep","2.04-20","flexible egrep/fregrep replacement"
"ai-nnflex-pm","0.24-3","perl module for implementing neural networks"
"aiksaurus","1.2.1-3","open-source thesaurus--command-line utilities"
"aiksaurus-dev","1.2.1-3","open-source thesaurus -- headers"
"aiksaurus-nox","1.2.1-3","open-source thesaurus--command-line utilities"
"aiksaurus-nox-dev","1.2.1-3","open-source thesaurus -- headers"
"aiksaurus-nox-shlibs","1.2.1-3","open-source thesaurus -- shared libraries"
"aiksaurus-shlibs","1.2.1-3","open-source thesaurus -- shared libraries"
"aircrack-ng","1.0.0.0-1","wireless wep/wpa cracking utilities"
"akonadi-mac","1.4.0-6","pim storage service"
"akonadi-mac-dev","1.4.0-6","akonadi development headers and libs"
"akonadi-mac-shlibs","1.4.0-6","shared libraries for akonadi"
"akonadi-x11","1.4.0-6","pim storage service"
"akonadi-x11-dev","1.4.0-6","akonadi development headers and libs"
"akonadi-x11-shlibs","1.4.0-6","shared libraries for akonadi"
"akregator","3.5.10-1","kde - rss reader"
"akregator4-mac","4.4.1-3","kde4 - rss feed reader"
"akregator4-x11","4.4.1-3","kde4 - rss feed reader"
"alac-decoder","0.2.0-2","decoder for the apple lossless audio codec"
"algae","4.3.6-1002","interpreted language for numerical analysis"
"algorithm-annotate-pm","0.10-1","perl module to represent a series of changes"
"algorithm-c3-pm5100","0.08-3","merging hierarchies using the c3 algorithm"
"algorithm-c3-pm586","0.08-3","merging hierarchies using the c3 algorithm"
"algorithm-c3-pm588","0.08-3","merging hierarchies using the c3 algorithm"
"algorithm-choosesubsets-pm586","0.02-1","iterate through the subsets of a list"
"algorithm-choosesubsets-pm588","0.02-1","iterate through the subsets of a list"
"algorithm-dependency-pm5100","1.110-1","base class for implementing dependency trees"
"algorithm-dependency-pm586","1.110-1","base class for implementing dependency trees"
"algorithm-dependency-pm588","1.110-1","base class for implementing dependency trees"
"algorithm-diff-pm","1.19.02-2","perl module computes differences between two texts"
"algorithm-diff-rb18","0.4-1","diff algorithm implementation for ruby"
"algorithm-diff-xs-pm5100","0.04-1","algorithm::diff with compiled core for speed"
"algorithm-diff-xs-pm586","0.04-1","algorithm::diff with compiled core for speed"
"algorithm-diff-xs-pm588","0.04-1","algorithm::diff with compiled core for speed"
"algorithm-merge-pm","0.08-1","implements 3-way merge and diff algorithms"
"algorithm-permute-pm5100","0.12-1","permutations with oo interface"
"algorithm-permute-pm588","0.12-1","permutations with oo interface"
"aliased-pm","0.30-1","use shorter versions of class names"
"alidot","2.05-1","detecting conserved rna structures"
"alien-sdl-pm5100","1.4.25-1","building finding and using sdl binaries"
"alien-sdl-pm588","1.4.25-1","building finding and using sdl binaries"
"alienblaster","1.1.0-1005","classic 2d shoot 'em up"
"align","1.7.2-1","text filter that vertically aligns columns"
"allegro4","4.4.1.1-1","cross-platform game programming library"
"allegro4-shlibs","4.4.1.1-1","cross-platform game programming library"
"almanah","0.7.2-2","application for managing a personal diary"
"alpine","2.00-109","obsolete use package 're-alpine' instead"
"altgraph-py24","0.9-1","python graph (network) package"
"altgraph-py25","0.9-1","python graph (network) package"
"altgraph-py26","0.9-1","python graph (network) package"
"altgraph-py27","0.9-1","python graph (network) package"
"altpdftex","2.14-1","script for invoking pdftex used by texshop"
"amanith","0.3-3","2d &amp; 3d vector graphics library"
"amanith-shlibs","0.3-3","2d &amp; 3d vector graphics library"
"amarok","1.4.8-2","kde - music player"
"amarok-core","1.4.8-3","kde - music player (core application)"
"amarok-core-shlibs","1.4.8-3","shared libraries for the amarok core engine"
"amarok-engine-xine","1.4.8-4","kde - music player (xine output engine)"
"amarok2-mac","2.2.2-3","kde4 - music player"
"amarok2-x11","2.2.2-3","kde4 - music player"
"amaze","0.0-1014","text-based 3d maze game"
"amigadepacker","0.04-2","unpacker for common amiga packer formats"
"amigos","0.3-1","make tables of torsion angles from pdb files"
"amiwm","0.20pl48-3","amiga workbench-look window manager"
"amor","3.5.8-1021","kde - themeable animated window toy"
"amor4-x11","4.4.1-3","kde4 - desktop companion"
"amqplib-py26","0.6.1-1","amqp messaging client"
"amrnb","0.0.1-1","amr narrow-band speech codec"
"amrnb-dev","0.0.1-1","development headers and libraries for amr"
"amrnb-shlibs","0.0.1-1","shared libraries for amr"
"amule","2.1.0-1003","all-platform emule p2p client"
"amyedit","1.0-1005","lightweight latex editor"
"an","0.93-11","command-line anagram generator"
"anacron","2.3-6","periodic command scheduler"
"analog","6.0-1","program to measure usage on your web server"
"android-completion","0.0.20111125-1","bash completion rules for android dev tools"
"angband","3.0.6-4","curses- or x11-based dungeon exploration game"
"angband-nox","3.0.6-4","curses- or x11-based dungeon exploration game"
"angband-sdl","3.1.1.1626-3","sdl-based dungeon exploration game"
"anjuta","2.28.2.0-1","complete programmers' ide"
"anjuta-dev","2.28.2.0-1","headers and libraries for anjuta"
"anjuta-shlibs","2.28.2.0-1","shared libraries for anjuta"
"ann-oct305","1.0.2-4","wrapper to the ann library for octave"
"annocpan-perldoc-pm5100","0.10-3","integrate annocpan notes locally into perldoc"
"annocpan-perldoc-pm586","0.10-3","integrate annocpan notes locally into perldoc"
"annocpan-perldoc-pm588","0.10-3","integrate annocpan notes locally into perldoc"
"annocpan-perldoc-syncdb-pm5100","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm5100-bin","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm5100-cron","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm586","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm586-bin","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm586-cron","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm588","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm588-bin","0.11-4","download the annocpan database"
"annocpan-perldoc-syncdb-pm588-cron","0.11-4","download the annocpan database"
"annogen","0.1.0-2","framework for jsr175 annotations"
"anonlog","1.0.1-1","tool to &quot;anonymize&quot; web server logfiles"
"ant","1.8.1-2","java based build tool"
"ant-base","1.8.1-2","java based build tool"
"ant-contrib","1.0-2","additional ant tasks"
"ant-junit","1.8.1-2","junit plugin for ant"
"ant-optional","1.8.1-2","optional tasks for ant"
"anthy","9100h-1","secure japanese input system"
"anthy-dev","9100h-1","secure japanese input system - development files"
"anthy-el","9100h-1","secure japanese input system - elisp frontend"
"anthy-shlibs","9100h-1","secure japanese input system - dynamic libraries"
"antiprism","0.17-1001","polyhedra manipulations and viewing"
"antiword","0.37-1","display or convert ms-word files"
"antlr","2.7.7-1004","another tool for language recognition"
"antlr3","3.0.1-1","another tool for language recognition v3"
"any-moose-pm5100","0.18-1","user-selectable moose or mouse wrapper"
"any-moose-pm588","0.18-1","user-selectable moose or mouse wrapper"
"anyevent-pm586","2.51-1","framework for multiple event loops"
"anyevent-pm588","2.51-1","framework for multiple event loops"
"anyvc-py26","0.3.5-1","library to access any vcs"
"anyvc-py27","0.3.5-1","library to access any vcs"
"apache-dbi-pm5100","1.06-1","perl module to link apache and dbi"
"apache-dbi-pm586","1.06-1","perl module to link apache and dbi"
"apache-dbi-pm588","1.06-1","perl module to link apache and dbi"
"apache-forrest","0.8-2","java-based publishing framework"
"apache-river","2.1.1-1","apache river-jini technology implementation"
"apache-session-pm5100","1.89-1","persistence framework for apache session data"
"apache-session-pm586","1.89-1","persistence framework for apache session data"
"apache-session-pm588","1.89-1","persistence framework for apache session data"
"apache-utils","2.2.14-1","next generation extendable web server"
"apache2","2.2.14-1","next generation extendable web server"
"apache2-common","2.2.14-1","next generation scalable extendable web server"
"apache2-dev","2.2.14-1","apache2 developement files"
"apache2-docs","2.2.14-1","apache2 manual"
"apache2-mpm-event","2.2.14-1","apache2 server binary - [mpm event *experimental*]"
"apache2-mpm-leader","2.2.14-1","apache2 server binary - [mpm leader *obsolete*]"
"apache2-mpm-perchild","2.2.14-1","apache2 server binary - [mpm perchild *obsolete*]"
"apache2-mpm-prefork","2.2.14-1","apache2 server binary - [mpm prefork *recommended*]"
"apache2-mpm-threadpool","2.2.14-1","apache2 server binary - [mpm threadpool *obsolete*]"
"apache2-mpm-worker","2.2.14-1","apache2 server binary - [mpm worker]"
"apache2-ssl","2.2.14-1","obsolete use apache2 instead"
"apache2-ssl-common","2.2.14-1","obsolete use apache2-common instead"
"apache2-ssl-dev","2.2.14-1","obsolete use apache2-dev instead"
"apache2-ssl-docs","2.2.14-1","obsolete use apache2-docs instead"
"apache2-ssl-mpm-leader","2.2.14-1","obsolete use apache2-mpm-leader instead"
"apache2-ssl-mpm-perchild","2.2.14-1","obsolete use apache2-mpm-perchild instead"
"apache2-ssl-mpm-prefork","2.2.14-1","obsolete use apache2-mpm-prefork instead"
"apache2-ssl-mpm-threadpool","2.2.14-1","obsolete use apache2-common instead"
"apache2-ssl-mpm-worker","2.2.14-1","obsolete use apache2-mpm-worker instead"
"apache2-utils","2.2.14-1","utility programs for webservers"
"apbs","1.3.0-2","adaptive poisson-boltzmann solver"
"apbs-dev","1.3.0-2","apbs headers static libraries and libtool files"
"apbs-mpi-lammpi","1.1.0-8","adaptive poisson-boltzmann solver"
"apbs-mpi-lammpi-dev","1.1.0-8","apbs headers static libraries and libtool files"
"apbs-mpi-openmpi","1.1.0-8","adaptive poisson-boltzmann solver"
"apbs-mpi-openmpi-dev","1.1.0-8","apbs headers static libraries and libtool files"
"apel","10.7-4","emacs-lisp support (a portable emacs library)"
"apf","0.8.4-1003","active port forwarder"
"apg","2.2.3-3","automated password generator"
"apipkg-py25","1.0-1","namespace control and lazy-import mechanism"
"apipkg-py26","1.0-1","namespace control and lazy-import mechanism"
"apipkg-py27","1.0-1","namespace control and lazy-import mechanism"
"apipkg-py31","1.0-1","namespace control and lazy-import mechanism"
"apipkg-py32","1.0-1","namespace control and lazy-import mechanism"
"aplus-fsf","4.22-1-1004","apl based programming system"
"aplus-fsf-dev","4.22-1-1004","apl based programming system"
"aplus-fsf-shlibs","4.22-1-1004","apl based programming system"
"apollon","1.0.2.1-1006","kde - frontend for gift file-sharing system"
"app-cli-pm5100","0.313-1","dispatcher module for cli programs"
"app-cli-pm586","0.313-1","dispatcher module for cli programs"
"app-cli-pm588","0.313-1","dispatcher module for cli programs"
"app-cpanoutdated-pm5100","0.18-1","detect outdated cpan modules on your system"
"app-cpanoutdated-pm588","0.18-1","detect outdated cpan modules on your system"
"app-defaults","20010814-12","creates an app defaults directory for fink"
"app-svn-bisect-pm5100","1.1-2","perform binary searches among revisions"
"app-tools-py25","3.3.2-2","enthought tool suite application tools"
"app-tools-py26","3.3.2-2","enthought tool suite application tools"
"appconfig-pm","1.66-1","modules for reading config files and more"
"appleotffonts","0.1-9","make apple otf fonts available to freetype dvipdfmx etc."
"applesystemfonts","1.1-3","make apple system fonts available to x11r6"
"appscript-py24","1.0.0-1","high level apple event bridge for python"
"appscript-py25","1.0.0-1","high level apple event bridge for python"
"appscript-py26","1.0.0-1","high level apple event bridge for python"
"appscript-py27","1.0.0-1","high level apple event bridge for python"
"appscript-py31","1.0.0-1","high level apple event bridge for python"
"appscript-py32","1.0.0-1","high level apple event bridge for python"
"apr","0.9.12-16","apache portable runtime"
"apr-common","0.9.12-16","obsolete use apr-dev instead"
"apr-dev","0.9.12-16","apache portable runtime"
"apr-shlibs","0.9.12-16","obsolete use libapr0-shlibs instead"
"apr-ssl","0.9.12-16","obsolete use apr instead"
"apr-ssl-common","0.9.12-16","obsolete use apr-dev instead"
"apr-ssl-shlibs","0.9.12-16","obsolete use libapr0-shlibs instead"
"aprutil-dev","0.9.12-16","apache portable runtime"
"apt","0.5.4-1060","advanced front-end for dpkg"
"apt-cacher","0.7-1003","caching proxy for use by apt"
"apt-dater","0.8.5-1","terminal-based remote package update manager"
"apt-dev","0.5.4-1060","advanced front-end for dpkg"
"apt-ftparchive","0.5.4-1016","tool for apt repository management"
"apt-shlibs","0.5.4-1060","advanced front-end for dpkg"
"apt-zip","0.15-2","update a non-networked computer using apt"
"aptsh","0.0.7-1005","apt interactive shell"
"apvlv","0.0.9.8-1001","alf's pdf viewer like vim"
"aqbanking","1.0.4-1beta.1002","online banking library"
"aqbanking-shlibs","1.0.4-1beta.1002","shared libraries for aqbanking"
"aqbanking16","2.3.3-1010","online banking interface"
"aqbanking16-shlibs","2.3.3-1010","online banking interface"
"aqbanking20","3.8.2-2","online banking interface"
"aqbanking20-shlibs","3.8.2-2","online banking interface"
"aqbanking33","5.0.23-1","online banking interface"
"aqbanking33-shlibs","5.0.23-1","online banking interface"
"aquafont","2.8-3","handwritten japanese fixed-width truetypefont"
"aquapfont","2.6-4","japanese proportional truetype font"
"aquaterm","1.0.1-5","displays vector graphics in aqua"
"aquaterm-dev","1.0.1-5","displays vector graphics in aqua"
"aquaterm-shlibs","1.0.1-5","displays vector graphics in aqua"
"aranym","0.9.11-1","32-bit atari computer emulator (st/tt/falcon)"
"arb","20071207-1007","phylogeny and sequence data management"
"arc","5.21p-1","file archive/compression utility"
"arch-tla","1.3.5-4","distributed revision control(archive) system"
"archimedes","0.9.1-2","semiconductor device development tool"
"archive-any-pm5100","0.0932-1","single interface to deal with file archives"
"archive-any-pm586","0.0932-1","single interface to deal with file archives"
"archive-any-pm588","0.0932-1","single interface to deal with file archives"
"archive-ar-pm5100","1.14-1","interface for manipulating ar archives"
"archive-ar-pm586","1.14-1","interface for manipulating ar archives"
"archive-ar-pm588","1.14-1","interface for manipulating ar archives"
"archive-extract-pm5100","0.56-1","generic archive extraction"
"archive-extract-pm586","0.56-1","generic archive extraction"
"archive-extract-pm588","0.56-1","generic archive extraction"
"archive-tar-pm5100","1.76-1","read write and manipulate tar files"
"archive-tar-pm586","1.76-1","read write and manipulate tar files"
"archive-tar-pm588","1.76-1","read write and manipulate tar files"
"archive-zip-pm5100","1.30-3","provide an interface to zip archive files"
"archive-zip-pm586","1.30-3","provide an interface to zip archive files"
"archive-zip-pm588","1.30-3","provide an interface to zip archive files"
"archivemail","0.7.2-1","tool for archiving and compressing old email"
"argparse-py25","1.2.1-1","python command-line parsing library"
"argparse-py26","1.2.1-1","python command-line parsing library"
"argparse-py31","1.2.1-1","python command-line parsing library"
"argus","3.0.2-2","audit record generation &amp; utilization system"
"argus-clients","3.0.2-3","clients for argus"
"aria2","1.15.0-1","downloader for http/ftp/bittorrent/metalink"
"aria2fe-mac","0.0.5-1003","frontend for the cli download tool aria2"
"aria2fe-x11","0.0.5-1004","frontend for the cli download tool aria2"
"ario-player","1.4.4-4","gtk+2 client for music player daemon (mpd)"
"arj","3.10.22-3","compression utility"
"ark","3.5.8-1021","kde - archive utility"
"ark4-mac","4.4.1-3","kde4 - archive utility"
"ark4-x11","4.4.1-3","kde4 - archive utility"
"arm-gba-binutils","2.22-1","gnu binutils for arm-gba"
"arm-linux-binutils","2.22-1","gnu binutils for arm-linux"
"arm-none-eabi-binutils","2.22-1","gnu binutils for arm-none-eabi"
"arm-wince-binutils","2.22-1","gnu binutils for arm-wince"
"armagetronad","0.2.8.3.1-1005","3d tron clone"
"arora","0.10.2-1003","slim webkit-using browser based on qt4"
"arora-mac","0.10.2-1003","slim webkit-using browser based on qt4-mac"
"arpack","96patched-9","solve large scale eigenvalue problems"
"arpack-atlas","96patched-9","solve large scale eigenvalue problems"
"arpack-atlas-oct305","1.0.8-8","octave bindings to arpack"
"arpack-atlas-shlibs","96patched-9","solve large scale eigenvalue problems"
"arpack-ng","3.1.0-5","solve large scale eigenvalue problems"
"arpack-ng-atlas","3.1.0-5","solve large scale eigenvalue problems"
"arpack-ng-atlas-shlibs","3.1.0-5","solve large scale eigenvalue problems"
"arpack-ng-shlibs","3.1.0-5","solve large scale eigenvalue problems"
"arpack-oct305","1.0.8-8","octave bindings to arpack"
"arpack-shlibs","96patched-9","solve large scale eigenvalue problems"
"arpoison","0.6-2","utility to poison arp caches"
"arptools","1.0.2-2","various libnet/libpcap based arp utilities"
"arpwatch","2.1a15-1","program monitors mac/ip address pairings"
"array-compare-pm5100","1.18-2","perl extension for comparing arrays"
"array-compare-pm586","1.18-2","perl extension for comparing arrays"
"array-compare-pm588","1.18-2","perl extension for comparing arrays"
"array-diff-pm5100","0.07-1","find the differences between two arrays"
"array-diff-pm586","0.07-1","find the differences between two arrays"
"array-diff-pm588","0.07-1","find the differences between two arrays"
"artoolkit","2.72.1-2","library for augmented reality (ar) tracking"
"arts","1.5.8-1021","kde - analog realtime synthesizer"
"arts-dev","1.5.8-1021","kde - arts development headers and libraries"
"arts-shlibs","1.5.8-1021","kde - arts shared libraries"
"asciidoc","8.6.6-1","flexible simple documentation markup system"
"asciidoc-a2x","8.6.6-1","flexible simple documentation markup system (a2x)"
"asciiquarium","0.3.2-1003","kde - extra screensaver"
"asfrecorder","1.1-1","downloads asf streaming media"
"ash","20040127-1-1","netbsd /bin/sh"
"asm","3.0-rel-1","java bytecode manipulation framework"
"asp2php","2008-08-13-12","converts asp scripts to php"
"aspectj","1.5.3-2","aspect-oriented extensions to java"
"aspell","0.60.6.1-2","spell checker better than ispell"
"aspell-compat","0.60.6.1-2","spell check better than ispell - ispell compat"
"aspell-da","0.50.1-0-1","danish dictionary for aspell"
"aspell-de","6.0-0-1002","german dictionary for aspell"
"aspell-dev","0.60.6.1-2","spell checker better than ispell"
"aspell-en","7.1-0-1000","english dictionary for aspell"
"aspell-es","0.50-2-11","spanish dictionary for aspell"
"aspell-fr","0.50-3-11","french dictionary for aspell"
"aspell-id","0.50.1-0-1","indonesian dictionary for aspell"
"aspell-it","6.0-0-1002","italian dictionary for aspell"
"aspell-nl","0.50-2-11","dutch dictionary for aspell"
"aspell-ru","0.99f7-1-2","russian dictionary for aspell"
"aspell-shlibs","0.60.6.1-2","spell check better ispell - shared libs"
"aspyct-py24","3.0-beta-4-1","aspect oriented programming library"
"aspyct-py25","3.0-beta-4-1","aspect oriented programming library"
"aspyct-py26","3.0-beta-4-1","aspect oriented programming library"
"asr-manpages","1.3-4","man pages from alt.sysadmin.recovery"
"associationsubscribersmanager","3.0rls-1006","helps managing associations of people"
"ast","5.3.1-2","library for handling world coordinate systems"
"ast-shlibs","5.3.1-2","library for handling world coordinate systems"
"astng-py25","0.22.0-1","python abstract syntax tree new generation"
"astng-py26","0.22.0-1","python abstract syntax tree new generation"
"astng-py27","0.22.0-1","python abstract syntax tree new generation"
"astro-fits-header-pm","3.01-1","object orientated interface to fits hdus"
"astro-moonphase-pm","0.60-1","information about the phase of the moon"
"astyle","2.02-1","beautifier/reformatter of c c++ c# &amp; java"
"asymptote","2.15-1","script-based vector graphics language"
"async-interrupt-pm5100","1.05-1","allow c/xs libs to interrupt perl async"
"async-interrupt-pm588","1.05-1","allow c/xs libs to interrupt perl async"
"at-spi","1.4.2-1040","assistive technol service provider interface"
"at-spi-dev","1.4.2-1040","compile-time headers for at-spi"
"at-spi-py25","1.24.1-1","assistive technol service provider interface"
"at-spi-py26","1.28.1-1","assistive technol service provider interface"
"at-spi-py27","1.28.1-1","assistive technol service provider interface"
"at-spi-shlibs","1.4.2-1040","shared libraries for at-spi"
"atari800-sdl","2.1.0-2","atari 800 emulator sdl variant"
"aterm","0.4.2-4","afterstep xvt - a vt102 emulator"
"atexit-pm","2.01-1","ansi-c style exit handler &amp; variable scoping"
"atk1","1.28.0-2","accessibility toolkit"
"atk1-shlibs","1.28.0-2","accessibility toolkit"
"atlantik","3.5.8-1021","kde - monopoly-like game"
"atlantikdesigner","3.5.10-2","kde - game board designer for atlantik"
"atlas","3.9.11-12","portably optimal linear algebra software"
"atlas-doc","3.9.11-12","portably optimal linear algebra software"
"atlas-shlibs","3.9.11-12","portably optimal linear algebra software"
"atool","0.38.0-1","script tool for making handling archives easy"
"attribute-handlers-pm5100","0.91-1","simpler definition of attribute handlers"
"attribute-handlers-pm586","0.91-1","simpler definition of attribute handlers"
"attribute-handlers-pm588","0.91-1","simpler definition of attribute handlers"
"auctex","11.85-3","environment for writing tex/latex docs"
"audacious2","2.2-3","advanced audio player"
"audacious2-dev","2.2-3","advanced audio player"
"audacious2-plugins","2.2-3","plugins used by audacious2"
"audacious2-shlibs","2.2-3","advanced audio player"
"audio-oct305","1.1.4-2","audio tools for octave"
"audio-oct324","1.1.4-2","audio tools for octave"
"audio-oct343","1.1.4-2","audio tools for octave"
"audio-oct360","1.1.4-2","audio tools for octave"
"audio-oct361","1.1.4-2","audio tools for octave"
"audiofile","0.2.6-11","audio file library *developement files*"
"audiofile-bin","0.2.6-11","audio file library *binaries*"
"audiofile-shlibs","0.2.6-11","audio file library *shared libraries*"
"authen-ntlm-pm5100","1.09-1","ntlm authentication module"
"authen-ntlm-pm588","1.09-1","ntlm authentication module"
"authen-pam-pm5100","0.16-1","perl interface to pam library"
"authen-pam-pm586","0.16-1","perl interface to pam library"
"authen-pam-pm588","0.16-1","perl interface to pam library"
"authen-sasl-pm5100","2.15-1","sasl authentication framework"
"authen-sasl-pm586","2.15-1","sasl authentication framework"
"authen-sasl-pm588","2.15-1","sasl authentication framework"
"autobook","1.5-1","gnu autotools documentation"
"autoconf","2.63-4","system for generating configure scripts"
"autoconf-archive","2011.04.12-1","freely re-usable autoconf macros"
"autoconf2.13","2.13-5","system for generating configure scripts v2.13"
"autoconf2.13-legacy","2.13-102","system for generating configure scripts"
"autoconf2.5","2.60-4","dummy package for upgrades from old autoconf 2.5"
"autoconf2.6","2.68-1","system for generating configure scripts"
"autocutsel","0.6.2-11","merges two x11 cut buffers"
"autogen","5.15-1","automated text generation from templates"
"autogen-dev","5.15-1","development files for autoopts and snprintfv"
"autogen-shlibs","5.15-1","autogen shared libaries"
"automake1.10","1.10.3-1","gnu standards-compliant makefile generator"
"automake1.11","1.11.3-1","gnu standards-compliant makefile generator"
"automake1.4","1.4-6","tool for generating gnu standards-compliant makefiles"
"automake1.5","1.5-8","tool for generating gnu standards-compliant makefiles"
"automake1.6","1.6.3-7","tool for generating gnu standards-compliant makefiles"
"automake1.7","1.7.9-2","tool for generating gnu standards-compliant makefiles"
"automake1.8","1.8.5-4","tool for generating gnu standards-compliant makefiles"
"automake1.9","1.9.6-7","gnu standards-compliant makefile generator"
"automoc-mac","0.9.89-0.999999.2","automatic moc for qt4"
"automoc-x11","0.9.89-0.999999.2","automatic moc for qt4"
"autoproject","0.17-2","create a new skeleton source package"
"autossh","1.4a-1","restarts ssh sessions and tunnels"
"autostart","0.5-1004","kde - set programs to start automatically"
"autotrace","0.31.1-1021","converts bitmap to vector graphics"
"autotrace-bin","0.31.1-1021","main autotrace program"
"autotrace-shlibs","0.31.1-1021","shared libraries for autotrace"
"autotrust","0.3.1-2","cli tool for updating dnssec trust anchors"
"avahi","0.6.30-2","service discovery system"
"avahi-sharp","0.6.19-4","c# bindings for avahi"
"avahi-ui","0.6.30-1","service discovery system (gtk ui)"
"avahi-ui-dev","0.6.30-1","service discovery system (gtk ui)"
"avalon-framework","4.2.0-1","interfaces for component interaction"
"avalon-logkit","2.0.dev-0-1","secure performance-oriented logging toolkit"
"avfs","0.9.8-6","virtual filesystem"
"avfs-dev","0.9.8-6","a virtual filesystem development files"
"avfs-shlibs","0.9.8-6","a virtual filesystem shared libs"
"avidemux","2.0.40-1018","graphical video-editing tool"
"aview","1.3.0rc1-1021","ascii art image viewer"
"avl","3.27-1","aerodynamic analysis"
"avr-binutils","2.19-3","gnu binutils for atmel avr micro controllers"
"avr-gcc","4.5.3-1","gnu gcc for atmel avr micro controllers"
"avr-libc","1.7.1-2","avr libc for gnu gcc &amp; gnu binutils"
"avrdude","5.10-1","atmel avr microcontrollers programmer"
"axel","2.4-1","light download accelerator for ftp and http"
"axis","1.4-2","java soap implementation"
"axyftp","0.5.1-16","ftp client with gtk+ and motif gui"
"b-hooks-endofscope-pm5100","0.09-1","execute code after scope finished"
"b-hooks-endofscope-pm586","0.09-1","execute code after scope finished"
"b-hooks-endofscope-pm588","0.09-1","execute code after scope finished"
"b-keywords-pm","1.10-1","lists of reserved barewords and symbol names"
