"country","capital","latitude","longitude"
"greece","athens","37&deg;58'n","23&deg;46'e"
"greenland","nuuk","64&deg;10'n","51&deg;35'w"
"guadeloupe","basse-terre","16&deg;00'n","61&deg;44'w"
"guatemala","guatemala","14&deg;40'n","90&deg;22'w"
"guernsey","st. peter port","49&deg;26'n","02&deg;33'w"
"guinea","conakry","09&deg;29'n","13&deg;49'w"
"guinea-bissau","bissau","11&deg;45'n","15&deg;45'w"
"guyana","georgetown","06&deg;50'n","58&deg;12'w"
"haiti","port-au-prince","18&deg;40'n","72&deg;20'w"
"heard island and mcdonald islands","&nbsp;","53&deg;00's","74&deg;00'e"
"honduras","tegucigalpa","14&deg;05'n","87&deg;14'w"
"hungary","budapest","47&deg;29'n","19&deg;05'e"
"iceland","reykjavik","64&deg;10'n","21&deg;57'w"
"india","new delhi","28&deg;37'n","77&deg;13'e"
"indonesia","jakarta","06&deg;09's","106&deg;49'e"
"iran (islamic republic of)","tehran","35&deg;44'n","51&deg;30'e"
"iraq","baghdad","33&deg;20'n","44&deg;30'e"
"ireland","dublin","53&deg;21'n","06&deg;15'w"
"israel","jerusalem","31&deg;47'n","35&deg;12'e"
"italy","rome","41&deg;54'n","12&deg;29'e"
"jamaica","kingston","18&deg;00'n","76&deg;50'w"
"jordan","amman","31&deg;57'n","35&deg;52'e"
"kazakhstan","astana","51&deg;10'n","71&deg;30'e"
"kenya","nairobi","01&deg;17's","36&deg;48'e"
"kiribati","tarawa","01&deg;30'n","173&deg;00'e"
"kuwait","kuwait","29&deg;30'n","48&deg;00'e"
"kyrgyzstan","bishkek","42&deg;54'n","74&deg;46'e"
"lao people's  democratic republic","vientiane","17&deg;58'n","102&deg;36'e"
"latvia","riga","56&deg;53'n","24&deg;08'e"
"lebanon","beirut","33&deg;53'n","35&deg;31'e"
"lesotho","maseru","29&deg;18's","27&deg;30'e"
"liberia","monrovia","06&deg;18'n","10&deg;47'w"
"libyan arab jamahiriya","tripoli","32&deg;49'n","13&deg;07'e"
"liechtenstein","vaduz","47&deg;08'n","09&deg;31'e"
"lithuania","vilnius","54&deg;38'n","25&deg;19'e"
"luxembourg","luxembourg","49&deg;37'n","06&deg;09'e"
"macao china","macau","22&deg;12'n","113&deg;33'e"
"madagascar","antananarivo","18&deg;55's","47&deg;31'e"
"malawi","lilongwe","14&deg;00's","33&deg;48'e"
"malaysia","kuala lumpur","03&deg;09'n","101&deg;41'e"
"maldives","male","04&deg;00'n","73&deg;28'e"
"mali","bamako","12&deg;34'n","07&deg;55'w"
"malta","valletta","35&deg;54'n","14&deg;31'e"
"martinique","fort-de-france","14&deg;36'n","61&deg;02'w"
"mauritania","nouakchott","20&deg;10's","57&deg;30'e"
"mayotte","mamoudzou","12&deg;48's","45&deg;14'e"
"mexico","mexico","19&deg;20'n","99&deg;10'w"
"micronesia (federated states of)","palikir","06&deg;55'n","158&deg;09'e"
"moldova republic of","chisinau","47&deg;02'n","28&deg;50'e"
"mozambique","maputo","25&deg;58's","32&deg;32'e"
"myanmar","yangon","16&deg;45'n","96&deg;20'e"
"namibia","windhoek","22&deg;35's","17&deg;04'e"
"nepal","kathmandu","27&deg;45'n","85&deg;20'e"
"netherlands","amsterdam/the hague (seat of gvnt)","52&deg;23'n","04&deg;54'e"
"netherlands antilles","willemstad","12&deg;05'n","69&deg;00'w"
"new caledonia","noumea","22&deg;17's","166&deg;30'e"
"new zealand","wellington","41&deg;19's","174&deg;46'e"
"nicaragua","managua","12&deg;06'n","86&deg;20'w"
"niger","niamey","13&deg;27'n","02&deg;06'e"
"nigeria","abuja","09&deg;05'n","07&deg;32'e"
"norfolk island","kingston","45&deg;20's","168&deg;43'e"
"northern mariana islands","saipan","15&deg;12'n","145&deg;45'e"
"norway","oslo","59&deg;55'n","10&deg;45'e"
"oman","masqat","23&deg;37'n","58&deg;36'e"
"pakistan","islamabad","33&deg;40'n","73&deg;10'e"
"palau","koror","07&deg;20'n","134&deg;28'e"
"panama","panama","09&deg;00'n","79&deg;25'w"
"papua new guinea","port moresby","09&deg;24's","147&deg;08'e"
"paraguay","asuncion","25&deg;10's","57&deg;30'w"
"peru","lima","12&deg;00's","77&deg;00'w"
"philippines","manila","14&deg;40'n","121&deg;03'e"
"poland","warsaw","52&deg;13'n","21&deg;00'e"
"portugal","lisbon","38&deg;42'n","09&deg;10'w"
"puerto rico","san juan","18&deg;28'n","66&deg;07'w"
"qatar","doha","25&deg;15'n","51&deg;35'e"
"republic of  korea","seoul","37&deg;31'n","126&deg;58'e"
"romania","bucuresti","44&deg;27'n","26&deg;10'e"
"russian federation","moskva","55&deg;45'n","37&deg;35'e"
"rawanda","kigali","01&deg;59's","30&deg;04'e"
"saint kitts and nevis","basseterre","17&deg;17'n","62&deg;43'w"
"saint lucia","castries","14&deg;02'n","60&deg;58'w"
"saint pierre and miquelon","saint-pierre","46&deg;46'n","56&deg;12'w"
"saint vincent and the grenadines","kingstown","13&deg;10'n","61&deg;10'w"
"samoa","apia","13&deg;50's","171&deg;50'w"
"san marino","san marino","43&deg;55'n","12&deg;30'e"
"sao tome and principe","sao tome","00&deg;10'n","06&deg;39'e"
"saudi arabia","riyadh","24&deg;41'n","46&deg;42'e"
"senegal","dakar","14&deg;34'n","17&deg;29'w"
"sierra leone","freetown","08&deg;30'n","13&deg;17'w"
"slovakia","bratislava","48&deg;10'n","17&deg;07'e"
"slovenia","ljubljana","46&deg;04'n","14&deg;33'e"
"solomon islands","honiara","09&deg;27's","159&deg;57'e"
"somalia","mogadishu","02&deg;02'n","45&deg;25'e"
"south africa","pretoria (adm.) / cap town (legislative) / bloemfontein (judicial)","25&deg;44's","28&deg;12'e"
"spain","madrid","40&deg;25'n","03&deg;45'w"
"sudan","khartoum","15&deg;31'n","32&deg;35'e"
"suriname","paramaribo","05&deg;50'n","55&deg;10'w"
"swaziland","mbabane (adm.)","26&deg;18's","31&deg;06'e"
"sweden","stockholm","59&deg;20'n","18&deg;03'e"
"switzerland","bern","46&deg;57'n","07&deg;28'e"
"syrian arab republic","damascus","33&deg;30'n","36&deg;18'e"
"tajikistan","dushanbe","38&deg;33'n","68&deg;48'e"
"thailand","bangkok","13&deg;45'n","100&deg;35'e"
"the former yugoslav republic of macedonia","skopje","42&deg;01'n","21&deg;26'e"
"togo","lome","06&deg;09'n","01&deg;20'e"
"tonga","nuku'alofa","21&deg;10's","174&deg;00'w"
"tunisia","tunis","36&deg;50'n","10&deg;11'e"
"turkey","ankara","39&deg;57'n","32&deg;54'e"
"turkmenistan","ashgabat","38&deg;00'n","57&deg;50'e"
"tuvalu","funafuti","08&deg;31's","179&deg;13'e"
"uganda","kampala","00&deg;20'n","32&deg;30'e"
"ukraine","kiev (rus)","50&deg;30'n","30&deg;28'e"
"united arab emirates","abu dhabi","24&deg;28'n","54&deg;22'e"
"united kingdom of great britain and northern ireland","london","51&deg;36'n","00&deg;05'w"
"united  republic of tanzania","dodoma","06&deg;08's","35&deg;45'e"
"united states  of america","washington dc","39&deg;91'n","77&deg;02'w"
"united states  of virgin islands","charlotte amalie","18&deg;21'n","64&deg;56'w"
"uruguay","montevideo","34&deg;50's","56&deg;11'w"
"uzbekistan","tashkent","41&deg;20'n","69&deg;10'e"
"vanuatu","port-vila","17&deg;45's","168&deg;18'e"
"venezuela","caracas","10&deg;30'n","66&deg;55'w"
"viet nam","hanoi","21&deg;05'n","105&deg;55'e"
"yugoslavia","belgrade","44&deg;50'n","20&deg;37'e"
"zambia","lusaka","15&deg;28's","28&deg;16'e"
"zimbabwe","harare","17&deg;43's","31&deg;02'e"
