"state province territory country etc","area(square miles)","comments"
"maine","35387","&nbsp;"
"portugal","35553","including the azores and the madeira islands"
"hungary","35919","&nbsp;"
"indiana","36420","&nbsp;"
"liberia","38250","&nbsp;"
"south korea","38375","&nbsp;"
"iceland","39769","&nbsp;"
"kentucky","40411","&nbsp;"
"guatemala","42042","&nbsp;"
"tennessee","42146","&nbsp;"
"virginia","42769","&nbsp;"
"cuba","42803","&nbsp;"
"bulgaria","42823","&nbsp;"
"honduras","43277","&nbsp;"
"benin","43484","&nbsp;"
"north island new zealand","44689","&nbsp;"
"ohio","44828","&nbsp;"
"malawi","45747","including lake malawi and other lakes"
"pennsylvania","46058","&nbsp;"
"north korea","46540","&nbsp;"
"eritrea","46774","&nbsp;"
"mississippi","48434","&nbsp;"
"england","50356","&nbsp;"
"nicaragua","50893","&nbsp;"
"greece","50949","including the greek islands"
"louisiana","51844","&nbsp;"
"alabama","52423","&nbsp;"
"arkansas","53182","&nbsp;"
"nepal","54362","&nbsp;"
"new york state","54475","&nbsp;"
"tajikistan","55250","&nbsp;"
"bangladesh","55598","&nbsp;"
"iowa","56276","&nbsp;"
"illinois","57918","&nbsp;"
"south island new zealand","58368","&nbsp;"
"georgia (us state)","59441","&nbsp;"
"suriname","63037","&nbsp;"
"tunisia","63482","&nbsp;"
"wisconsin","65503","&nbsp;"
"florida","65758","&nbsp;"
"uruguay","68037","&nbsp;"
"missouri","69709","&nbsp;"
"cambodia","69898","&nbsp;"
"oklahoma","69903","&nbsp;"
"north dakota","70704","&nbsp;"
"washington state","71303","&nbsp;"
"syria","71498","&nbsp;"
"senegal","75955","&nbsp;"
"kyrgyzstan","76641","&nbsp;"
"south dakota","77122","&nbsp;"
"nebraska","77358","&nbsp;"
"belarus","80200","&nbsp;"
"oman","82030","&nbsp;"
"kansas","82282","&nbsp;"
"guyana","83000","&nbsp;"
"idaho","83574","&nbsp;"
"utah","84904","&nbsp;"
"minnesota","86943","&nbsp;"
"victoria australia","87884","&nbsp;"
"laos","91429","&nbsp;"
"romania","91700","&nbsp;"
"ghana","92100","&nbsp;"
"uganda","93104","&nbsp;"
"united kingdom","93341","&nbsp;"
"guinea","94926","including the iles de los"
"michigan","96810","&nbsp;"
"wyoming","97818","&nbsp;"
"oregon","98386","&nbsp;"
"gabon","103347","&nbsp;"
"colorado","104100","&nbsp;"
"new zealand","104454","&nbsp;"
"ecuador","105037","&nbsp;"
"burkina faso","105900","&nbsp;"
"nevada","110567","&nbsp;"
"arizona","114006","&nbsp;"
"philippines","115830","&nbsp;"
"italy","116341","including sardinia sicily and elba"
"poland","120725","&nbsp;"
"new mexico (us state)","121598","&nbsp;"
"cote d'ivoire","124503","&nbsp;"
"norway","125016","&nbsp;"
"malaysia","127320","&nbsp;"
"vietnam","127844","&nbsp;"
"finland","130559","including 12954 square miles of inland water"
"republic of the congo","132047","&nbsp;"
"germany","137823","&nbsp;"
"north carolina","139397","&nbsp;"
"japan","145850","&nbsp;"
"montana","147046","&nbsp;"
"zimbabwe","150873","&nbsp;"
"newfoundland and labrador","156649","&nbsp;"
"paraguay","157048","&nbsp;"
"california","163707","&nbsp;"
"iraq","168754","&nbsp;"
"morocco","172414","&nbsp;"
"uzbekistan","172750","&nbsp;"
"sweden","173732","including gotland and oland"
"papua new guinea","178704","&nbsp;"
"cameroon","183569","&nbsp;"
"yukon territory","186660","&nbsp;"
"turkmenistan","188460","&nbsp;"
"spain","194897","including the balearic islands the canary islands and the spanish african territories"
"thailand","198114","&nbsp;"
"yemen","207285","&nbsp;"
"france","210026","including corsica"
"botswana","224607","&nbsp;"
"kenya","224961","&nbsp;"
"madagascar","226658","&nbsp;"
"ukraine","233090","&nbsp;"
"central african republic","240535","&nbsp;"
"somalia","246200","&nbsp;"
"afghanistan","250000","&nbsp;"
"manitoba","250946","&nbsp;"
"saskatchewan","251865","&nbsp;"
"alberta","255286","&nbsp;"
"myanmar","261218","&nbsp;"
"texas","268601","&nbsp;"
"zambia","290586","&nbsp;"
"chile","292135","&nbsp;"
"turkey","300948","&nbsp;"
"pakistan","307293","&nbsp;"
"mozambique","309496","&nbsp;"
"new south wales australia","309500","&nbsp;"
"namibia","318252","&nbsp;"
"venezuela","352144","&nbsp;"
"nigeria","356669","&nbsp;"
"tanzania","364900","including zanzibar and other offshore islands"
"british columbia","365946","&nbsp;"
"south australia","380070","&nbsp;"
"egypt","385229","&nbsp;"
"mauritania","397955","&nbsp;"
"ontario","412579","&nbsp;"
"bolivia","424165","&nbsp;"
"ethiopia","435606","&nbsp;"
"colombia","440831","&nbsp;"
"south africa","472731","&nbsp;"
"mali","478840","&nbsp;"
"angola","481350","&nbsp;"
"niger","489191","&nbsp;"
"chad","495755","&nbsp;"
"peru","496225","&nbsp;"
"northern territory australia","519771","&nbsp;"
"northwest territories","550904","after the creation of nunavut"
"quebec","594858","&nbsp;"
"mongolia","604250","&nbsp;"
"iran","636296","&nbsp;"
"alaska","656424","&nbsp;"
"queensland australia","666876","&nbsp;"
"libya","679362","&nbsp;"
"indonesia","741903","&nbsp;"
"mexico (country)","756066","&nbsp;"
"nunavut","772000","&nbsp;"
"greenland","840000","&nbsp;"
"saudi arabia","864869","&nbsp;"
"democratic republic of the congo","905568","&nbsp;"
"algeria","919595","&nbsp;"
"sudan","967490","&nbsp;"
"western australia","975100","&nbsp;"
"kazakhstan","1049155","&nbsp;"
"argentina","1068302","&nbsp;"
"india","1269219","including jammu and kashmir"
"australia","2966151","including tasmania"
"brazil","3286500","&nbsp;"
"usa","3618770","including 251084 square miles of inland freshwater lakes"
"china","3695000","excluding taiwan"
"canada","3844907","including 291548 square miles of inland freshwater lakes"
"russia","6592850","including inland water"
