"college","state","index","website"
"drake university","ia","0.8676","http://www.drake.edu/"
"drew university","nj","1.2483","http://www.drew.edu/"
"drexel university","pa","1.2123","http://www.drexel.edu/"
"drury university","mo","0.6663","http://www.drury.edu/"
"duke university","nc","1.2896","http://www.duke.edu/"
"duquesne university","pa","0.9235","http://www.duq.edu/"
"earlham college","in","1.0977","http://www.earlham.edu/"
"eastern university","pa","0.8419","http://www.eastern.edu/"
"eckerd college","fl","1.0574","http://www.eckerd.edu/"
"elizabethtown college","pa","1.0374","http://www.etown.edu/"
"elmhurst college","il","0.9282","http://public.elmhurst.edu/"
"elmira college","ny","1.1637","http://www.elmira.edu/"
"elon university","nc","0.8559","http://www.elon.edu/"
"embry-riddle aeronautical university","az","0.9374","http://www.erau.edu/"
"embry-riddle aeronautical university","fl","0.9976","http://www.erau.edu/"
"emerson college","ma","1.0952","http://www.emerson.edu/"
"emmanuel college","ma","1.0791","http://www.emmanuel.edu/"
"emory university","ga","1.2607","http://www.emory.edu/"
"endicott college","ma","0.9651","http://www.endicott.edu/"
"fairfield university","ct","1.2612","http://www.fairfield.edu/"
"fairleigh dickinson university","nj","1.0763","http://www.fdu.edu/"
"faulkner university","al","0.5139","http://www.faulkner.edu/"
"florida institute of technology","fl","1.0869","http://www.fit.edu/"
"florida memorial university","fl","0.4729","http://www.fmuniv.edu/"
"florida southern college","fl","0.8061","http://www.flsouthern.edu/"
"fontbonne university","mo","0.713","http://www.fontbonne.edu/"
"fordham university","ny","1.2883","http://www.fordham.edu/"
"franciscan university","oh","0.6907","http://www.franciscan.edu/"
"franklin &amp; marshall college","pa","1.3035","http://www.fandm.edu/"
"franklin pierce college","nh","1.0078","http://www.fpc.edu/"
"friends university","ks","0.6388","http://www.friends.edu/"
"furman university","sc","1.17","http://www.furman.edu/"
"gannon university","pa","0.8432","http://www.gannon.edu/"
"gardner-webb university","nc","0.7247","http://aux.gardner-webb.edu/"
"geneva college","pa","0.7485","http://www.geneva.edu/"
"george fox university","or","0.892","http://www.georgefox.edu/"
"george washington university","dc","1.2979","http://www.gwu.edu/"
"georgetown college","ky","0.8291","http://www.georgetowncollege.edu/"
"georgetown university","dc","1.3626","http://www.georgetown.edu/"
"georgian court university","nj","0.8727","http://www.georgian.edu/"
"gettysburg college","pa","1.2645","http://www.gettysburg.edu/"
"gonzaga university","wa","0.9708","http://www.gonzaga.edu/"
"gordon college","ma","0.9331","http://www.gordon.edu/"
"goucher college","md","1.1487","http://www.goucher.edu/"
"graceland university","ia","0.68","http://www.graceland.edu/"
"grand canyon university","az","0.6475","http://www.gcu.edu/"
"grinnell college","ia","1.103","http://www.grinnell.edu/"
"grove city college","pa","0.4976","http://www.gcc.edu/"
"guilford college","nc","0.8915","http://www.guilford.edu/"
"gustavus adolphus college","mn","1.0181","http://www.gustavus.edu/"
"hamilton college","ny","1.3011","http://www.hamilton.edu/"
"hamline university","mn","0.9406","http://www.hamline.edu/"
"hampden-sydney college","va","1.0373","http://www.hsc.edu/"
"hampshire college","ma","1.3096","http://www.hampshire.edu/"
"hampton university","va","0.6405","http://www.hamptonu.edu/"
"harding university","ar","0.5061","http://www.harding.edu/"
"hardin-simmons university","tx","0.6332","http://www.hsutx.edu"
"hartwick college","ny","1.0719","http://www.hartwick.edu/"
"harvard college","ma","1.2689","http://www.college.harvard.edu/"
"harvey mudd college","ca","1.3063","http://www.hmc.edu/"
"haverford college","pa","1.3162","http://www.haverford.edu/"
"high point university","nc","0.8332","http://www.highpoint.edu/"
"hillsdale college","mi","0.7388","http://www.hillsdale.edu/"
"hiram college","oh","0.8781","http://www.hiram.edu/"
"hobart and william sm","ny","1.3047","http://www.hws.edu/"
"hofstra university","ny","1.0604","http://www.hofstra.edu/"
"hope college","mi","0.8753","http://www.hope.edu/"
"houghton college","ny","0.8041","http://www.houghton.edu/"
"houston baptist university","tx","0.6697","http://www.hbu.edu/"
"howard university","dc","0.5984","http://www.howard.edu/"
"illinois institute of technology","il","0.9874","http://www.iit.edu/"
"illinois wesleyan university","il","1.0692","http://www.iwu.edu/"
"immaculata university","pa","0.8781","http://www.immaculata.edu/"
"indiana wesleyan university","in","0.6972","http://www.indwes.edu/"
"iona college","ny","0.9946","http://www.iona.edu/"
"ithaca college","ny","1.1216","http://www.ithaca.edu/"
"jacksonville university","fl","0.8778","http://www.ju.edu/"
"john brown university","ar","0.6624","http://www.jbu.edu/"
"john carroll university","oh","0.9682","http://www.jcu.edu/"
"johns hopkins university","md","1.3378","http://www.jhu.edu/"
"johnson c. smith university","nc","0.5882","http://www.jcsu.edu/"
"juniata college","pa","1.0401","http://www.juniata.edu/"
"kalamazoo college","mi","1.0284","http://www.kzoo.edu/"
"kenyon college","oh","1.2586","http://www.kenyon.edu/"
"kettering university","mi","0.8882","http://www.kettering.edu/"
"keuka college","ny","0.8227","http://www.keuka.edu/"
"king's college","pa","0.9151","http://www.kings.edu/"
"knox college","il","1.0007","htp://www.knox.edu/"
"la roche college","pa","0.7705","http://www.laroche.edu/"
"la salle university","pa","1.1291","http://www.lasalle.edu/"
"lafayette college","pa","1.2723","http://www.lafayette.edu/"
"lake forest college","il","1.0816","http://www.lakeforest.edu/"
"lakeland college","wi","0.6664","http://www.lakeland.edu/"
"lawrence university","wi","1.081","http://www.lawrence.edu/"
"le moyne college","ny","0.927","http://www.lemoyne.edu/"
"lebanon valley college","pa","0.9974","http://www.lvc.edu/"
"lee university","tn","0.4452","http://www.leeuniversity.edu/"
"lehigh university","pa","1.2718","http://www3.lehigh.edu/"
"lenoir-rhyne college","nc","0.8391","http://www.lrc.edu/"
"letourneau university","tx","0.716","http://www.letu.edu/"
"lewis &amp; clark college","or","1.1435","http://www.lclark.edu/"
"lewis university","il","0.806","http://www.lewisu.edu/"
"liberty university","va","0.5976","http://www.liberty.edu/"
"lindenwood university","mo","0.5338","http://www.lindenwood.edu/"
"lindsey wilson college","ky","0.6341","http://www.lindsey.edu/"
"linfield college","or","0.948","http://www.linfield.edu/"
"lipscomb university","tn","0.6982","http://www.lipscomb.edu/"
"long island university","ny","1.0191","http://www.liu.edu/"
"loras college","ia","0.8376","http://www.loras.edu/"
"loyola college in maryland","md","1.1944","http://www.loyola.edu/"
"loyola marymount university","ca","1.2285","http://www.lmu.edu/"
"loyola university new orleans","la","1.0062","http://www.loyno.edu/"
"loyola university of chicago","il","1.0641","http://www.luc.edu/"
"luther college","ia","0.9876","http://www.luther.edu/"
"lycoming college","pa","0.9793","http://www.lycoming.edu/"
"lynchburg college","va","0.9443","http://www.lynchburg.edu/"
"lynn university","fl","1.0804","http://www.lynn.edu/"
"macalester college","mn","1.2088","http://www.macalester.edu/"
"malone college","oh","0.7216","http://www.malone.edu/"
"manchester college","in","0.8278","http://www.manchester.edu/"
"manhattan college","ny","0.9259","http://www.manhattan.edu/"
"manhattanville college","ny","1.2003","http://www.manhattanville.edu/"
"marietta college","oh","0.9096","http://www.marietta.edu/"
"marist college","ny","0.9763","http://www.marist.edu/"
"marquette university","wi","1.0054","http://www.marquette.edu/"
"mary baldwin college","va","0.8164","http://www.mbc.edu/"
"maryland institute college of art","md","1.1202","http://www.mica.edu/"
"marymount university","va","0.8256","http://www.marymount.edu/"
"maryville college","tn","0.9457","http://www.maryvillecollege.edu/"
"maryville university","mo","0.7572","http://www.maryville.edu/"
"marywood university","pa","0.9809","http://www.marywood.edu/"
"massachusetts institute of technology","ma","1.2699","http://web.mit.edu/"
"mcdaniel college","md","0.9925","http://www.mcdaniel.edu/"
"mckendree college","il","0.7926","http://www.mckendree.edu/"
"mercer university","ga","0.9984","http://www.mercer.edu/"
"mercyhurst college","pa","0.8461","http://www.mercyhurst.edu/"
"meredith college","nc","0.8141","http://www.meredith.edu/"
"merrimack college","ma","1.0494","http://www.merrimack.edu/"
"messiah college","pa","0.8944","http://www.messiah.edu/"
"methodist college","nc","0.806","http://www.methodist.edu/"
"middlebury college","vt","1.3226","http://www.middlebury.edu/"
"millikin university","il","0.881","http://www.millikin.edu/"
"millsaps college","ms","0.9018","http://www.millsaps.edu/"
"milwaukee school of engineering","wi","0.9171","http://www.msoe.edu/"
"misericordia university","pa","0.8815","http://www.misericordia.edu/"
"mississippi college","ms","0.4999","http://www.mc.edu/"
"missouri valley college","mo","0.5913","http://www.moval.edu/"
"monmouth college","nj","0.8332","http://www.monm.edu/"
"monmouth university","nj","0.8955","http://www.monmouth.edu/"
"moravian college","pa","1.0313","http://www.moravian.edu/"
"morehouse college","ga","0.8273","http://www.morehouse.edu/"
"mount holyoke college","ma","1.3079","http://www.mtholyoke.edu/"
"mount ida college","ma","0.903","http://www.mountida.edu/"
"mount st. mary college","ny","0.854","http://www.msmc.edu/"
"mount st. mary's college","ca","0.9925","http://www.msmc.la.edu/"
"mount st. mary's university","md","0.9966","http://www.msmary.edu/"
"mount union college","oh","0.8108","http://www.muc.edu/"
"mount vernon nazarene","oh","0.6687","http://www.mvnu.edu/"
"muhlenberg college","pa","1.1674","http://www.muhlenberg.edu/"
"muskingum college","oh","0.7115","http://www.muskingum.edu/"
"nazareth college of rochester","ny","0.9176","http://www.naz.edu/"
"nebraska wesleyan university","ne","0.7252","http://www.nebrwesleyan.edu/"
"neumann college","pa","0.7971","http://www.neumann.edu/"
"new york university","ny","1.3487","http://www.nyu.edu/"
"niagara university","ny","0.8956","http://www.niagara.edu/"
"north central college","il","0.9179","http://www.noctrl.edu/"
"north park university","il","0.6751","http://www.northpark.edu/"
"northeastern university","ma","1.2272","http://www.northeastern.edu/"
"northwestern college","mn","0.7875","http://nwc.nwc.edu/"
"northwestern college","mn","0.7565","http://nwc.nwc.edu/"
"northwestern university","il","1.3013","http://www.northwestern.edu/"
"northwood university","mi","0.6744","http://www.northwood.edu/"
"norwich university","vt","0.9432","http://www.norwich.edu/"
"nyack college","ny","0.7015","http://www.nyackcollege.edu/"
"oakwood college","al","0.5545","http://www.oakwood.edu/"
"oberlin college","oh","1.2245","http://www.oberlin.edu/"
"occidental college","ca","1.2723","http://www.oxy.edu/"
"ohio northern university","oh","1.0457","http://www.onu.edu/"
"ohio wesleyan university","oh","1.1269","http://www.owu.edu/"
"oklahoma baptist university","ok","0.591","http://www.okbu.edu/"
"oklahoma christian university","ok","0.617","http://www.oc.edu/"
"oklahoma city university","ok","0.8185","http://www.okcu.edu/"
"olivet nazarene university","il","0.7523","http://www.olivet.edu/"
"oral roberts university","ok","0.6987","http://www.oru.edu/"
"otterbein college","oh","0.9079","http://www.otterbein.edu/"
"ouachita baptist university","ar","0.6431","http://www.obu.edu/"
"our lady of the lake","tx","0.7114","http://www.ollusa.edu/"
"pace university","ny","1.1432","http://www.pace.edu/"
"pace university: pleasantville","ny","1.1432","http://www.pace.edu/"
"pacific lutheran university","wa","0.9407","http://www.plu.edu/"
"pacific union college","ca","0.7797","http://www.puc.edu/"
"pacific university","or","0.9609","http://www.pacificu.edu/"
"palm beach atlantic university","fl","0.7971","http://www.pba.edu/"
"parsons the new school","ny","1.2591","http://www.parsons.edu/"
"pepperdine university","ca","1.2699","http://www.pepperdine.edu/"
"philadelphia university","pa","0.9512","http://www.philau.edu/"
"pitzer college","ca","1.3115","http://www.pitzer.edu/"
"point loma nazarene university","ca","0.8947","http://www.pointloma.edu/"
"point park university","pa","0.7931","http://www.pointpark.edu/"
"pomona college","ca","1.2859","http://www.pomona.edu/"
"pratt institute","ny","1.1413","http://www.pratt.edu/"
"presbyterian college","sc","0.9666","http://www.presby.edu/"
"princeton university","nj","1.2281","http://www.princeton.edu/"
"providence college","ri","1.1339","http://www.providence.edu/"
"quinnipiac university","ct","1.1476","http://www.quinnipiac.edu/"
"randolph-macon college","va","0.9935","http://www.rmc.edu/"
"reed college","or","1.293","http://www.reed.edu/"
"regis university","co","1.0127","http://www.regis.edu/"
"rensselaer polytechnic","ny","1.3094","http://www.rpi.edu/"
"rhode island school of design","ri","1.2144","http://www.risd.edu"
"rhodes college","tn","1.0828","http://www.rhodes.edu"
"rice university","tx","1.0867","http://www.rice.edu"
"rider university","nj","1.0216","http://www.rider.edu"
"ringling school of art and design","fl","1.0175","http://www.rsad.edu"
"roanoke college","va","1.0003","http://www.roanoke.edu"
"robert morris university","pa","0.7961","http://www.rmu.edu"
"roberts wesleyan college","ny","0.8285","http://www.roberts.edu"
"rochester institute of technology","ny","1.0056","http://www.cs.rit.edu"
"rockhurst university","mo","0.8412","http://www.rockhurst.edu"
"roger williams university","ri","1.0642","http://www.rwu.edu"
"rollins college","fl","1.2175","http://www.rollins.edu"
"rose-hulman institute","in","1.1206","http://www.rose-hulman.edu"
"sacred heart university","ct","1.0836","http://www.sacredheart.edu"
"saint bonaventure university","ny","0.9052","http://www.sbu.edu"
"saint joseph's university","pa","1.185","http://www.sju.edu"
"saint louis university","mo","1.0613","http://www.slu.edu"
"saint mary's college","in","0.9984","http://www.saintmarys.edu"
"saint peter's college","nj","0.9918","http://www.spc.edu"
"salve regina university","ri","1.1342","http://www.salve.edu"
"samford university","al","0.6938","http://www.samford.edu"
"santa clara university","ca","1.2368","http://www.scu.edu"
"sarah lawrence college","ny","1.4531","http://www.slc.edu"
"savannah college of art and design","ga","0.9823","http://www.scad.edu"
"scripps college","ca","1.329","http://www.scrippscollege.edu"
"seattle pacific university","wa","0.9479","http://www.spu.edu"
"seattle university","wa","0.9837","http://www.seattleu.edu"
"seton hall university","nj","1.1016","http://www.shu.edu"
"shaw university","nc","0.5078","http://www.shawuniversity.edu"
"shenandoah university","va","0.8517","http://www.su.edu"
"siena college","ny","0.8966","http://www.siena.edu"
"simmons college","ma","1.1154","http://www.simmons.edu"
"simpson college","ia","0.8536","http://www.simpson.edu"
"skidmore college","ny","1.324","http://www.skidmore.edu"
"smith college","ma","1.2929","http://www.smith.edu"
"southern adventist university","tn","0.5768","http://www.southern.edu"
"southern methodist university","tx","1.2106","http://www.smu.edu"
"southern nazarene university","ok","0.618","http://www.snu.edu"
"southern new hampshire","nh","0.9287","http://www.snhu.edu"
"southwest baptist university","mo","0.5609","http://www.sbuniv.edu"
"southwestern university","tx","0.9761","http://www.southwestern.edu"
"spelman college","ga","0.8067","http://www.spelman.edu"
"spring arbor university","mi","0.6958","http://www.spring.arbor.edu"
"spring hill college","al","0.9003","http://www.shc.edu"
"springfield college","ma","0.9498","http://www.spfldcol.edu"
"st. ambrose university","ia","0.7911","http://www.sau.edu"
"st. anselm college","nh","1.0732","http://www.anselm.edu"
"st. edward's university","tx","0.8146","http://www.stedwards.edu"
"st. francis university","pa","0.8939","http://www.francis.edu"
"st. john fisher college","ny","0.9065","http://www.sjfc.edu"
"st. john's university","mn","0.9653","http://www.stjohns.edu"
"st. lawrence university","ny","1.2782","http://www.stlawu.edu"
"st. mary's college of california","ca","1.2075","http://www.stmarys-ca.edu"
"st. mary's university","mn","0.8205","http://www.stmarytx.edu"
"st. mary's university","tx","0.7538","http://www.stmarytx.edu"
"st. michael's college","vt","1.0724","http://www.smcvt.edu"
"st. norbert college","wi","0.879","http://www.snc.edu"
"st. olaf college","mn","1.1342","http://www.stolaf.edu"
"st. thomas aquinas college","ny","0.799","http://www.stac.edu"
"st. vincent college","pa","0.9022","http://www.stvincent.edu"
"st. xavier university","il","0.8314","http://www.sxu.edu"
"stanford university","ca","1.2689","http://www.stanford.edu"
"stetson university","fl","1.0388","http://www.stetson.edu"
"stevens institute of technology","nj","1.2874","http://www.stevens.edu"
"stonehill college","ma","1.1283","http://www.stonehill.edu"
"suffolk university","ma","1.073","http://www.suffolk.edu"
"susquehanna university","pa","1.0718","http://www.susqu.edu"
"swarthmore college","pa","1.2848","http://www.swarthmore.edu"
"syracuse university","ny","1.2083","http://www.syr.edu"
"taylor university","in","0.8304","http://www.taylor.edu"
"texas christian university","tx","0.9823","http://www.tcu.edu"
"texas lutheran university","tx","0.741","http://www.tlu.edu"
"the master's college","ca","0.8262","http://www.masters.edu"
"transylvania university","ky","0.8401","http://www.transy.edu"
"trinity college","ct","1.3071","http://www.trincoll.edu"
"trinity international","il","0.7848","http://www.tiu.edu"
"trinity university","tx","0.9815","http://www.trinity.edu"
"tri-state university","in","0.8103","http://www.tristate.edu"
"tufts university","ma","1.3265","http://www.tufts.edu"
"tulane university","la","1.2809","http://www2.tulane.edu"
"tusculum college","tn","0.6985","http://www.tusculum.edu"
"tuskegee university","al","0.6069","http://www.tuskegee.edu"
"union college","ne","1.3049","http://www.union.edu"
"union university","tn","0.7205","http://www.uu.edu"
"university of chicago","il","1.3258","http://www.uchicago.edu"
"university of dallas","tx","0.8776","http://www.udallas.edu"
"university of dayton","oh","0.949","http://www.udayton.edu"
"university of denver","co","1.1531","http://www.du.edu"
"university of detroit","mi","0.956","http://www.udmercy.edu"
"university of evansville","in","0.9142","http://www.evansville.edu"
"university of findlay","oh","0.8863","http://www.findlay.edu"
"university of hartford","ct","1.0495","http://www.hartford.edu"
"university of indiana","in","0.7595","http://www.indiana.edu"
"university of la verne","ca","1.0044","http://www.ulv.edu"
"university of mary","nd","0.4565","http://www.umary.edu"
"university of mary-hardin baylor","tx","0.6746","http://www.umhb.edu"
"university of miami","fl","1.2118","http://www.miami.edu"
"university of new england","me","1.0073","http://www.une.edu"
"university of new haven","ct","1.0685","http://www.newhaven.edu"
"university of notre dame","in","1.2544","http://www.nd.edu"
"university of pennsylvania","pa","1.294","http://www.upenn.edu"
"university of portland","or","1.0537","http://www.up.edu"
"university of puget sound","wa","1.1485","http://www.ups.edu"
"university of redlands","ca","1.14","http://www.redlands.edu"
"university of richmond","va","1.2645","http://www.richmond.edu"
"university of rochester","ny","1.2917","http://www.rochester.edu"
"university of san diego","ca","1.2399","http://www.sandiego.edu"
"university of san francisco","ca","1.1995","http://www.usfca.edu"
"university of scranton","pa","1.144","http://www.scranton.edu"
"university of southern california","ca","1.322","http://www.usc.edu"
"university of st. francis","in","0.7956","http://www.stfrancis.edu"
"university of st. thomas","tx","0.9523","http://www.stthomas.edu"
"university of tampa","fl","0.7974","http://www.utampa.edu"
"university of the incarnate word","tx","0.7429","http://www.uiw.edu"
"university of the pacific","ca","1.0996","http://www.pacific.edu"
"university of the sciences","pa","1.0657","http://www.usip.edu"
"university of the south","tn","1.132","http://www.sewanee.edu"
"university of tulsa","ok","0.8524","http://www.utulsa.edu"
"ursinus college","pa","1.2285","http://www.ursinus.edu"
"utica college","ny","0.9806","http://www.utica.edu"
"valparaiso university","in","0.9291","http://www.valpo.edu"
"vanderbilt university","tn","1.3178","http://www.vanderbilt.edu"
"vanguard university of southern california","ca","0.8594","http://www.vanguard.edu"
"vassar college","ny","1.3236","http://www.vassar.edu"
"villanova university","pa","1.2247","http://www.villanova.edu"
"virginia wesleyan college","va","0.9014","http://www.vwc.edu"
"viterbo university","wi","0.6953","http://www.viterbo.edu"
"wagner college","ny","1.0818","http://www.wagner.edu"
"wake forest university","nc","1.261","http://www.wfu.edu"
"walla walla college","wa","0.7057","http://www.wwc.edu"
"wartburg college","ia","0.8981","http://www.wartburg.edu"
"washington and jefferson","pa","1.0746","http://www.washjeff.edu"
"washington and lee university","va","1.2581","http://www2.wlu.edu"
"washington college","md","1.1069","http://www.washcoll.edu"
"washington university","mo","1.3138","http://www.washington.edu"
"waynesburg college","pa","0.6485","http://www.waynesburg.edu"
"wellesley college","ma","1.2894","http://www.wellesley.edu"
"wentworth institute of technology","ma","0.8385","http://www.wit.edu"
"wesleyan university","ma","1.3322","http://www.wesleyan.edu"
"west virginia wesleyan","ct","0.7888","http://www.wvwc.edu"
"western new england college","wv","1.0219","http://www.wnec.edu"
"westminster college","ma","0.9729","http://www.westminster.edu"
"westminster college","pa","0.8187","http://www.westminster.edu"
"westmont college","ca","1.1624","http://www.westmont.edu"
"wheaton college","il","0.8901","http://www.wheaton.edu"
"wheaton college","ma","1.2903","http://www.wheaton.edu"
"wheeling jesuit university","wv","0.8611","http://www.wju.edu"
"whitman college","wa","1.1829","http://www.whitman.edu"
"whittier college","ca","1.1105","http://www.whittier.edu"
"whitworth college","wa","0.9439","http://www.whitworth.edu"
"widener university","pa","1.1097","http://www.widener.edu"
"wilkes university","pa","0.9662","http://www.wilkes.edu"
"willamette university","or","1.1264","http://www.willamette.edu"
"william penn university","mo","0.6226","http://www.wmpenn.edu"
"williams college","ma","1.2774","http://www.williams.edu"
"wilmington college","oh","0.8434","http://www.wilmcoll.edu"
"wingate university","nc","0.727","http://www.wingate.edu"
"wittenberg university","oh","1.1167","http://www.wittenberg.edu"
"wofford college","sc","1.012","http://www.wofford.edu"
"worcester polytechnic","ma","1.2704","http://www.wpi.edu"
"xavier university","oh","0.971","http://www.xu.edu"
"xavier university of louisiana","la","0.5859","http://www.xula.edu"
"yale university","ct","1.2363","http://www.yale.edu"
"yeshiva university","ny","1.1281","http://www.yu.edu"
"york college of pennsylvania","pa","0.5773","http://www.ycp.edu"
