"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anna"
"anke","w","-","niederdeutsch","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anna"
"anna","w","anne hanna annia antje annelie anke nane netti nannette        annette nancy anita anika anja anjuschka","hebr&auml;isch","die begnadete"
"annabella","w","anabel","italienisch-spanisch","die sch&ouml;ne liebliche"
"anne","w","-","englisch-franz&ouml;sisch","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anna"
"annette","w","anette annett","franz&ouml;sisch","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anna"
"anthony","m","-","englisch","nebenform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anton"
"antje","w","-","niederl&auml;ndisch","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","anna"
"anton","m","antonius toni t&uuml;nnes antonio tonio antoine anthony","lateinisch","der antonier (altr&ouml;misches geschlecht)"
"antonia","w","antonella antonie antonette antonia tonja toni","lateinisch","die antonierin (altr&ouml;misches geschlecht)"
"arabella","w","bell arabela","lateinisch-romanisch","die braune (?) araberin (?)"
"ariadne","w","ariane arianna","griechisch","? ? ?"
"ariella","w","arielle","hebr&auml;isch","ara=held; el=elohim=gott"
"arlette","w","arlett","franz&ouml;sisch-normannisch","? ? ?"
"armin","m","arminius","althochdeutsch","erde welt (?)"
"arnold","m","arnhold arendt arndt arno anno arnaldo","althochdeutsch","arm=adler; walton=herrschen"
"arthur","m","artur arturo","keltisch","der b&auml;r (?)"
"astrid","w","estrid asteria asta","altnordisch","ans=gott; fridhr=sch&ouml;n"
"august","m","augustus augustinaugustinus gustl augusto","lateinisch","der erhabene"
"aurelius","m","aurel aurelian aurelianus","lateinisch","aureus=golden"
"aurelia","w","aurica aurelie","lateinisch","aureus=golden"
"axel","m","-","skandinavisch","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","absalom"
"azzura","w","-","italienisch","azurblau"
"baldo","m","-","althochdeutsch","k&uuml;hn"
"balduin","m","baldwin balko","althochdeutsch","baldo=mutig; wini=freund"
"balthasar","m","balthassar baldus","babylonisch-hebr&auml;isch","gott sch&uuml;tze sein leben"
"baptist","m","battist baptiste battista","griechisch","t&auml;ufer"
"barbara","w","b&auml;rbel bella betti babette varinka warenka","griechisch","barbarin ausl&auml;nderin fremde"
"b&auml;rbel","w","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","barbara"
"bartholom&auml;us","m","barthel mees meus","aram&auml;isch","sohn des tolmai"
"baruch","m","-","hebr&auml;isch","der gesegnete"
"bastian","m","bast bastle","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","sebastian"
"beata","w","beate bea beatrice beatrix","lateinisch","die gl&uuml;ckliche"
"b&eacute;atrice","w","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","beata"
"beatrix","w","b&eacute;atrix bea trix","lateinisch","die begl&uuml;ckende"
"ben","m","-","hebr&auml;isch","der sohn"
"benedikt","m","benediktus beni benedict benito","lateinisch","der gesegnete"
"benedikta","w","benedicta bettina benedetta benita","lateinisch","die gesegnete"
"benita","w","-","-","italienische und spanische form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","benedikta"
"benito","m","-","-","italienische und spanische form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","benedikt"
"benjamin","m","ben benjamino benny","hebr&auml;isch","sohn meiner rechten"
"bernadette","w","bernarde bernhardine","franz&ouml;sisch","? ? ?"
"bernd","m","bernt","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","bernhard"
"bernhard","m","bernhardt benno beno bernd bernard bernie bernardo","althochdeutsch","stark wie ein b&auml;r"
"berta","w","bertha berte betti","althochdeutsch","gl&auml;nzend"
"berthold","m","bertold bertolt berti","althochdeutsch","beraht=gl&auml;nzend; waltan=gebieten"
"bertram","m","bartram bertran","althochdeutsch","beraht=gl&auml;nzend; hraban=rabe"
"bianca","w","bianka blanka","italienisch","die wei&szlig;e"
"birgit","w","birgitta","nordisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","brigitte"
"bjarne","m","-","norddeutsch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","bj&ouml;rn"
"bj&ouml;rn","m","bjarne bj&oslash;rn","schwedisch","der b&auml;r"
"bodo","m","botho boto","althochdeutsch","der bote"
"bonifatius","m","bonifacius bonifaz boniface","lateinisch","bonus=gut; fatum=schicksal"
"boris","m","-","slawisch","der k&auml;mpfer"
"bosco","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","burkhard"
"brian","m","-","keltisch-englisch","der h&uuml;gel"
"brigitte","w","brigitta birgitta birgit britta gitte bridget","keltisch altirisch","die erhabene"
"bruno","m","-","althochdeutsch","braun b&auml;r"
"burkhard","m","burghard burkhart bosso bosse","althochdeutsch","burg=schutz; harti=stark"
"c&auml;cilia","w","cecilie cilia c&auml;cilie","lateinisch","aus der familie der c&auml;cilier"
"camilla","w","-","lateinisch","die ehrbare"
"carel","m","-","-","tschechische form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","karl"
"carina","w","-","-","italienische nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","katharina"
"carl","m","-","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","karl"
"carla","w","-","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","carl"
"carlo","m","-","-","italienische form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","karl"
"carmen","w","carmela carmelia","span.-lat.","ritueller spruch"
"carol","m","-","-","rum&auml;nische form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","karl"
"carola","w","carolin carolina caroline carlotta charlotte carry","-","erweiterte form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","carla"
"carsten","m","karsten","niederdeutsch","nebenform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","christian"
"casimir","m","kasimir","-","nebenform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","kasimir"
"caspar","m","kaspar","-","nebenform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","kaspar"
"cassandra","w","kassandra","-","nebenform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","kassandra"
"cedric","m","cerdic","englisch","? ? ?"
"c&eacute;lestine","w","c&ouml;lestine","lateinisch","dem himmel geweiht"
"celestino","m","c&ouml;lestin","italienisch","dem himmel geweiht"
"celine","w","marceline celina c&eacute;line","ursprung: latein","dem kriegsgott mars geweiht"
"chantal","w","-","franz&ouml;sisch","die singende"
"charles","m","charley charlie charly","-","franz&ouml;sische und englische form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","karl"
"chloe","w","chloris chlorinde","griechisch","junges gr&uuml;n; junger scho&szlig;"
"christian","m","christinus carsten karstan chris chrestien","griech.-lateinisch","christusanh&auml;nger"
"christiane","w","christiana kristiane christina christine christa tiana tina        tine stina nane nina kerstin","griech.-lateinisch","christusanh&auml;ngerin"
"christoph","m","christopherus christopher chris risto","griechisch","christustr&auml;ger"
"clarissa","w","klarissa","-","erweiterte form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","klara"
"claudia","w","klaudia clodia claudine","lateinisch","claudius=hinkend"
"claudius","m","klaudius claudio","lateinisch","claudius=hinkend"
"claus","m","klaus","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","klaus"
"clemens","m","clement","lateinisch","der sanftm&uuml;tige"
"clementia","w","klementia clementina klementine clementine","lateinisch","die sanftm&uuml;tige"
"coletta","w","nicoletta coleta","italienisch","? ? ?"
"conny","w","conni connie","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","konstanze"
"conny","m","conni connie","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","konrad"
"corbinian","m","korbinian","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","korbinian"
"cordula","w","kordula cordelia cora corinna","griechisch","m&auml;dchen"
"corinna","w","cora corina korinna","griechisch","m&auml;dchen"
"cornelia","w","kornelia nelli nele corney","lateinisch","aus dem geschlecht der cornelier"
"cornelius","m","kornelius nelles niels cornelio","lateinisch","aus dem geschlecht der cornelier"
"cyrill","m","cyrillus kyrill kyrillus","griechisch","kyrios=herr"
"dagmar","w","dagmara dagny daggy","keltisch-d&auml;nisch","dago=gut; mari=ber&uuml;hmt"
"dagobert","m","dag dabbert","keltisch","dago=gut; beraht=gl&auml;nzend"
"daisy","w","-","englisch","g&auml;nsebl&uuml;mchen"
"damian","m","damiano damien","griech.","b&auml;ndigen"
"damiana","w","-","italienisch","weibliche form zu damiano ("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","damian"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"dana","w","dania danja nila","schwedisch","die richterin"
"daniel","m","danilo dan danny","hebr&auml;isch","richter ist gott"
"daniela","w","danielle danny","hebr&auml;isch","richter ist gott"
"daphne","w","-","griech.","lorbeer"
"daria","w","-","altpersisch-griechisch","die m&auml;chtige"
"darius","m","dario","altpersisch-griechisch","der m&auml;chtige"
"david","m","dave","hebr&auml;isch","geliebter liebling"
"dean","m","-","engl.-amerikan.","dekan &auml;ltester"
"debby","w","-","englisch","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","debora"
"debora","w","deborah debby debra","hebr&auml;isch","biene flei&szlig;ig"
"delia","w","-","englisch","beiname der altgriechischen g&ouml;ttin artemis"
"delphine","w","delphina delfine delphia","griech.-lat.","aus delphi stammend"
"denis","m","dennis","griech.-lat.","dem gott dionysos geweiht"
"d&eacute;nise","w","denise","griech.-lat.","dem gott dionysos geweiht"
"desideria","w","dea d&eacute;sir&eacute;e","lateinisch","w&uuml;nschen ersehnen"
"d&eacute;sir&eacute;e","w","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","desideria"
"detlef","m","detlev","niederdeutsch","sohn des volkes"
"diana","w","diane","lateinisch","nach der r&ouml;mischen jagdg&ouml;ttin diana"
"dieter","m","diether","althochdeutsch","diot=volk; hari=heer"
"dietmar","m","dittmar ditmar","althochdeutsch","diot=volk; mari=ber&uuml;hmt"
"dietrich","m","diederich diedrich dieter dirk dereck till tilo tillmann","althochdeutsch","diot=volk; rihi=reich m&auml;chtig"
"dimitrij","m","dimitri demetrius","russisch","sohn der demeter"
"dirk","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","dietrich"
"dolores","w","lola lolo","spanisch","nach einem mariengedenktag"
"domenica","w","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","dominika"
"domenico","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","dominikus"
"dominik","m","-","slawisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","dominikus"
"dominika","w","dominica domenica dominique","lateinisch","dem herrn geweiht"
"dominikus","m","dominik domenico domingo","lateinisch","dem hernn geweiht"
"dominique","w","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","dominika"
"donald","m","don","keltisch","dumno=welt; valo-s=herrscher"
"donatello","m","donato donatus","italienisch","der (von gott) geschenkte"
"doreen","w","-","englisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","dorothea"
"doris","w","-","griech.","die dorerin (aus doris stammend)"
"doro","w","-","-","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","dorothea"
"dorothea","w","dorothee theodora d&ouml;rte dortje dodo dora doris doro        thea dorothy","griech.","gottesgeschenk"
"douglas","m","-","keltisch-engl.","dunkelblau"
"dragan","m","drago","slawisch","teuer lieb"
"dunja","w","eudokia","slawisch","die hochgesch&auml;tzte"
"eberhard","m","ehrhard ebbo eppo","althochdeutsch","stark wie ein eber"
"eckart","m","eckehart egon eike","althochdeutsch","ekka=schneide; harti=stark"
"edgar","m","ed eddy","angels&auml;chs.-engl.","ead=erbgut; gar=speer"
"edith","w","editha edithe","angels&auml;chs.-engl.","ead=besitz; gyth=kampf"
"edmund","m","otmund edmond","altengl.","ead=besitz; munt=schutz"
"eduard","m","edward edvard ed ede edo","angels&auml;chs.","ead=besitz; weard=sch&uuml;tzer"
"edwin","m","otwin","angels&auml;chs.-engl.","ead=besitz; wini=freund"
"egbert","m","eckbert egbrecht ekbrecht","althochdeutsch","egga=schneide; beraht=gl&auml;nzend"
"egon","m","-","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","eckart"
"eike","m","-","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","eckart"
"eila","w","elin helene","nordisch","die leuchtende"
"ela","w","-","-","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elisabeth"
"eleasar","m","eleazar","hebr&auml;isch","gott hilft"
"elektra","w","-","griech.","die strahlende"
"elena","w","-","ital. und span.","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","helene"
"eleonora","w","eleonore nora ella elli eleanor ellen nelly","arab.-griech.","gott mein licht"
"elfriede","w","elfi elfie effi frieda","althochdeutsch","alb=naturgeist; fridu=friede"
"elia","m","elias helias elija leies","hebr&auml;isch","mein gott ist jahwe"
"elisa","w","-","-","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elisabeth"
"elisabeth","w","elisabet elsbeth elisa elise elsa lissy lizzy babette        lisbeth liesel lili lilli ella ilse betti sissi bessy alice        lil isabel isabella bella elisabetta lisetta isabela lisenka","hebr&auml;isch","gott ist vollkommen"
"elke","w","elka adelheid","niederdeutsch","von vornehmer art"
"elmar","m","elmo elmer elimar","althochdeutsch","ber&uuml;hmte schwertspitze"
"elsa","w","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elisabeth"
"elsbeth","w","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elisabeth"
"elvira","w","elvire alwara alwera","gotisch-span.","die erhabene"
"emanuel","m","immanuel emmanuel manuel mani manolo","lat.-griech.","gott mit uns"
"emanuela","w","manuela","lat.-griech.","gott mit uns"
"emil","m","emilio milan","lateinisch","der eifrige"
"emma","w","emmy emmi emelka","althochdeutsch","die erhabene"
"endrik","m","-","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"engelbert","m","engelbrecht bert brecht","althochdeutsch","angil=angle; beraht=gl&auml;nzend"
"enrica","w","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","henriette"
"enrico","m","enzio","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"ephraim","m","efraim efrem jefrem","hebr&auml;isch","doppelerbe doppelt fruchtbar"
"eric","m","-","skan. und engl.","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","erich"
"erich","m","eric erik jerker","althochdeutsch","era=ehre; rich=reich m&auml;chtig"
"erika","w","eri","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","erich"
"ernesta","w","erna ernstina","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ernst"
"ernst","m","ernesto allvar","althochdeutsch","ernst entschlossenheit"
"erwin","m","herwin","althochdeutsch","heri=heer; wini=freund"
"esau","m","-","hebr&auml;isch","? ? ?"
"esmeralda","w","-","spanisch","smaragd edelstein"
"esmond","m","-","altenglisch","est=sch&ouml;nheit; mund=schutz"
"esra","m/w","esdras ezra","hebr&auml;isch","hilfe"
"esteban","m","-","spanisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","stephan"
"estella","w","estelle estrella stella","spanisch","der stern"
"esther","w","ester hester","persisch-hebr&auml;isch","der stern"
"estevan","m","-","spanisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","stephan"
"&eacute;tienne","m","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","stephan"
"&eacute;tiennette","w","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","stephanie"
"eudoxia","w","-","griechisch","von gutem ruf"
"eugen","m","-","griechisch","der edelgeborene"
"eugenia","w","eugenie genia genie","griechisch","die edelgeborene"
"euphemia","w","eufemia","lat.-griech.","in gutem ruf"
"euphemius","m","eufemio","lat.-griech.","in gutem ruf"
"euphrasia","w","-","griechisch","wohlmeinende beraterin"
"eusebia","w","-","griech.-lat.","gottesf&uuml;rchtig"
"eva","w","ev evi genoveva evelyn evita","hebr&auml;isch","die leben schenkende"
"evangelina","w","evangeline","englisch","von evangelium abgeleitet"
"evelyn","w","evelin eveline evelina evelyne","englisch","weiterbildung von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","eva"
"ezechiel","m","hesekiel jesekiel","hebr&auml;isch","gott macht stark"
"fabia","w","fabiola fabiana","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","fabian"
"fabian","m","fabius fabianus fabien fabiano fabio","lateinisch","aus dem geschlecht der fabier"
"falko","m","falk","althochdeutsch","der falke"
"farald","m","faralt farolt farold","althochdeutsch","faran=fahren reisen; waltan=walten herrschen"
"faralda","w","fara","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","farald"
"faruk","m","-","arabisch","? ? ?"
"fatima","w","fatime","arabisch","? ? ?"
"faustus","m","faust fausto faustino faustinus","lateinisch","gl&uuml;cksbringer"
"faustina","w","fausta faustine","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","faustus"
"federica","w","federiga","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","federico"
"federico","m","federigo","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","friedrich"
"feli","w","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","felicitas"
"felicitas","w","felizitas felicia feli","lateinisch","das gl&uuml;ck"
"felix","m","felizian","lateinisch","der gl&uuml;ckliche"
"ferdinand","m","ferdi ferdel ferdinando n&aacute;ndor","germanisch","frithu=friede; nanth=k&uuml;hn"
"fidelia","w","-","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","fidelius"
"fidelius","m","fidelis fidelio fidel","lateinisch","der treue"
"finetta","w","-","-","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","josefine"
"finja","w","finnja","nordisch","finnin (?)"
"fiona","w","-","englisch","wei&szlig;"
"flora","w","fleurette florence floretta florina florette florentia        florenzia","lateinisch","bl&uuml;hend"
"florian","m","florianus florin flori","-","weiterbildung von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","florus"
"florus","m","florens florentus  florentinus florentin florenz florestan        florian floridus florin floris","lateinisch","bl&uuml;hend"
"fortuna","w","fortunat","lateinisch","gl&uuml;ck schicksal"
"francesca","w","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","franziska"
"francesco","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","franziskus"
"frank","m","franko","angels&auml;chs.","frei"
"franka","w","franca","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","frank"
"franz","m","franziskus francis francesco cecco frantisek franek","lateinisch","der franke franzose"
"franziska","w","francesca franzi franja","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","franziskus"
"franziskus","m","franciscus franz francesco","lateinisch","der franke franzose"
"frauke","w","frauwa frawa","niederdt.-friesisch","froh"
"frederic","m","fr&eacute;d&eacute;ric","englisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","friedrich"
"fridericus","m","-","lateinisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","friedrich"
"fridolin","m","-","-","verkleinerungsform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","friedrich"
"friederike","w","friederika frieda rieke","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","friedrich"
"friedrich","m","fritz fridolin freddy fridericus frederic federico","alfhochdeutsch","fridu=friede; rihi=reich"
"fritz","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","friedrich"
"gabriel","m","gabi gabriele gabriello gabrio gabor","hebr&auml;isch","held gottes"
"gabriele","w","gabi gaby jella gabriela gabrielle","hebr&auml;isch","heldin gottes"
"galatea","w","galateia","griech.","milch"
"galina","w","ganja gulja","russisch","ruhe frieden"
"gallus","m","galli gall gallo hawel havel","irisch und lateinisch","gallier"
"garc&iacute;a","m","-","german.-span.","? ? ?"
"gebhard","m","gebert gebbo geppert","althochdeutsch","geba=gabe; harti=hart stark"
"genoveva","w","genevi&egrave;ve genovefa eva ginette","gallisch-provenzialisch","gen=volk; wefa=frau"
"georg","m","george j&ouml;rg j&uuml;rgen j&ouml;rn schorsch joris        georgio juri omar","griechisch","bauer landmann"
"gerald","m","gerwald gerold gerry","angels&auml;chs.-althochdt.","ger=speer; waltan=walten herrschen"
"gerd","m","-","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gerhard"
"gerda","w","gerde gerdi gerdie","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gerd"
"gereon","m","gerion","lat.-griech.","alternd greis"
"gerhard","m","gerhardt gerhart gerard gehrt gerd gero gerrit gard jerrit        gerardo","althochdeutsch","ger=speer; harti=hart stark"
"gerlinde","w","gerlind gerlindis","althochdeutsch","ger=speer linda=lindenholzschild"
"geronimo","m","-","italienisch","heiliger name"
"gertrud","w","gertrude gertrudis gertraud gertraude gertrautgescha gerti        trude trudel jerica","althochdeutsch","ger=speer; trud=kraft st&auml;rke"
"giacomo","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","jakob"
"gianna","w","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johanna"
"gideon","m","gidion gedeon","hebr&auml;isch","zertr&uuml;mmerer"
"giovanna","w","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johanna"
"giovanni","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"gisela","w","gisella silke gilla","althochdeutsch","geisel"
"gitta","w","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","brigitte"
"giulia","w","giuletta","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","julia"
"giuliana","w","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","juliana"
"giuliano","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","julian"
"giuseppe","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","josef"
"glenn","m","glen","engl.-amerikan.","aus dem engen tal"
"gloria","w","gloriana gloriosa","lateinisch","ruhm ehre"
"goliath","m","goliat","hebr&auml;isch","verbannung"
