"common name","scientific name","sc status","sc review status"
"pied-billed grebe","podilymbus podiceps","definitive","&nbsp;"
"horned grebe","podiceps auritus","definitive","&nbsp;"
"red-necked grebe","podiceps grisegena","definitive","full"
"eared grebe","podiceps nigricollis","definitive","&nbsp;"
"western grebe","aechmophorus occidentalis","definitive","full"
"northern fulmar","fulmarus glacialis","definitive","full"
"black-capped petrel","pterodroma hasitata","definitive","inland only"
"cory's shearwater","calonectris diomedea","definitive","inland only"
"great shearwater","puffinus gravis","definitive","inland only"
"sooty shearwater","puffinus griseus","definitive","full"
"manx shearwater","puffinus puffinus","definitive","full"
"audubon's shearwater","puffinus lherminieri","definitive","inland only"
"little shearwater","puffinus assimilis","definitive","full"
"wilson's storm-petrel","oceanites oceanicus","definitive","inland only"
"leach's storm-petrel","oceanodroma leucorhoa","definitive","full"
"band-rumped storm-petrel","oceanodroma castro","definitive","full"
"white-tailed tropicbird","phaethon lepturus","definitive","full"
"red-billed tropicbird","phaethon aethereus","definitive","full"
"wood stork","mycteria americana","definitive","&nbsp;"
"magnificent frigatebird","fregata magnificens","definitive","inland only"
"masked booby","sula dactylatra","definitive","full"
"brown booby","sula leucogaster","definitive","full"
"red-footed booby","sula sula","definitive","full"
"northern gannet","morus bassanus","definitive","inland only"
"double-crested cormorant","phalacrocorax auritus","definitive","&nbsp;"
"great cormorant","phalacrocorax carbo","definitive","inland only"
"anhinga","anhinga anhinga","definitive","&nbsp;"
"american white pelican","pelecanus erythrorhynchos","definitive","inland only"
"brown pelican","pelecanus occidentalis","definitive","inland only"
"american bittern","botaurus lentiginosus","definitive","&nbsp;"
"least bittern","ixobrychus exilis","definitive","&nbsp;"
"great blue heron","ardea herodias","definitive","&nbsp;"
"great egret","ardea alba","definitive","&nbsp;"
"snowy egret","egretta thula","definitive","&nbsp;"
"little blue heron","egretta caerulea","definitive","&nbsp;"
"tricolored heron","egretta tricolor","definitive","&nbsp;"
"reddish egret","egretta rufescens","definitive","inland only"
"cattle egret","bubulcus ibis","definitive","&nbsp;"
"green heron","butorides virescens","definitive","&nbsp;"
"black-crowned night-heron","nycticorax nycticorax","definitive","&nbsp;"
"yellow-crowned night-heron","nyctanassa violacea","definitive","&nbsp;"
"white ibis","eudocimus albus","definitive","&nbsp;"
"glossy ibis","plegadis falcinellus","definitive","&nbsp;"
"roseate spoonbill","platalea ajaja","definitive","inland only"
"black vulture","coragyps atratus","definitive","&nbsp;"
"turkey vulture","cathartes aura","definitive","&nbsp;"
"osprey","pandion haliaetus","definitive","&nbsp;"
"swallow-tailed kite","elanoides forficatus","definitive","&nbsp;"
"white-tailed kite","elanus leucurus","definitive","full"
"snail kite","rostrhamus sociabilis","definitive","full"
"mississippi kite","ictinia mississippiensis","definitive","&nbsp;"
"bald eagle","haliaeetus leucocephalus","definitive","&nbsp;"
"northern harrier","circus cyaneus","definitive","&nbsp;"
"sharp-shinned hawk","accipiter striatus","definitive","&nbsp;"
"cooper's hawk","accipiter cooperii","definitive","&nbsp;"
"northern goshawk","accipiter gentilis","definitive","full"
"red-shouldered hawk","buteo lineatus","definitive","&nbsp;"
"broad-winged hawk","buteo platypterus","definitive","&nbsp;"
"swainson's hawk","buteo swainsoni","provisional i","full"
"red-tailed hawk","buteo jamaicensis","definitive","&nbsp;"
"rough-legged hawk","buteo lagopus","provisional i","full"
"golden eagle","aquila chrysaetos","definitive","&nbsp;"
"american kestrel","falco sparverius","definitive","&nbsp;"
"merlin","falco columbarius","definitive","&nbsp;"
"peregrine falcon","falco peregrinus","definitive","&nbsp;"
"yellow rail","coturnicops noveboracensis","definitive","full"
"black rail","laterallus jamaicensis","definitive","inland only"
"clapper rail","rallus longirostris","definitive","&nbsp;"
"king rail","rallus elegans","definitive","&nbsp;"
"virginia rail","rallus limicola","definitive","&nbsp;"
"sora","porzana carolina","definitive","&nbsp;"
"purple gallinule","porphyrio martinica","definitive","&nbsp;"
"common gallinule","gallinula galeata","definitive","&nbsp;"
"american coot","fulica americana","definitive","&nbsp;"
"limpkin","aramus guarauna","definitive","full"
"sandhill crane","grus canadensis","definitive","&nbsp;"
"whooping crane","grus americana","definitive","full"
"northern lapwing","vanellus vanellus","provisional i","full"
"black-bellied plover","pluvialis squatarola","definitive","&nbsp;"
"american golden-plover","pluvialis dominica","definitive","&nbsp;"
"snowy plover","charadrius nivosus","definitive","full"
"wilson's plover","charadrius wilsonia","definitive","inland only"
"semipalmated plover","charadrius semipalmatus","definitive","&nbsp;"
"piping plover","charadrius melodus","definitive","north american birds report species - inland only"
"killdeer","charadrius vociferus","definitive","&nbsp;"
"mountain plover","charadrius montanus","definitive","full"
"american oystercatcher","haematopus palliatus","definitive","&nbsp;"
"black-necked stilt","himantopus mexicanus","definitive","&nbsp;"
"american avocet","recurvirostra americana","definitive","&nbsp;"
"spotted sandpiper","actitis macularius","definitive","&nbsp;"
"solitary sandpiper","tringa solitaria","definitive","&nbsp;"
"greater yellowlegs","tringa melanoleuca","definitive","&nbsp;"
"willet","tringa semipalmata","definitive","north american birds report species - inland only"
"lesser yellowlegs","tringa flavipes","definitive","&nbsp;"
"upland sandpiper","bartramia longicauda","definitive","&nbsp;"
"eskimo curlew","numenius borealis","provisional i","full"
"whimbrel","numenius phaeopus","definitive","&nbsp;"
"long-billed curlew","numenius americanus","definitive","north american birds report species"
"hudsonian godwit","limosa haemastica","definitive","full"
"marbled godwit","limosa fedoa","definitive","north american birds report species - inland only"
"ruddy turnstone","arenaria interpres","definitive","&nbsp;"
"red knot","calidris canutus","definitive","&nbsp;"
"sanderling","calidris alba","definitive","&nbsp;"
"semipalmated sandpiper","calidris pusilla","definitive","&nbsp;"
"western sandpiper","calidris mauri","definitive","&nbsp;"
"red-necked stint","calidris ruficollis","provisional i","full"
"least sandpiper","calidris minutilla","definitive","&nbsp;"
"white-rumped sandpiper","calidris fuscicollis","definitive","&nbsp;"
"baird's sandpiper","calidris bairdii","definitive","full"
"pectoral sandpiper","calidris melanotos","definitive","&nbsp;"
"sharp-tailed sandpiper","calidris acuminata","provisional i","full"
"purple sandpiper","calidris maritima","definitive","inland only"
"dunlin","calidris alpina","definitive","&nbsp;"
"curlew sandpiper","calidris ferruginea","definitive","full"
"stilt sandpiper","calidris himantopus","definitive","&nbsp;"
"buff-breasted sandpiper","tryngites subruficollis","definitive","&nbsp;"
"ruff","philomachus pugnax","definitive","full"
"short-billed dowitcher","limnodromus griseus","definitive","north american birds report species - inland only"
"long-billed dowitcher","limnodromus scolopaceus","definitive","north american birds report species - inland only"
"wilson's snipe","gallinago delicata","definitive","&nbsp;"
"american woodcock","scolopax minor","definitive","&nbsp;"
"wilson's phalarope","phalaropus tricolor","definitive","&nbsp;"
"red-necked phalarope","phalaropus lobatus","definitive","north american birds report species - inland only"
"red phalarope","phalaropus fulicarius","definitive","inland only"
"black-legged kittiwake","rissa tridactyla","definitive","inland only"
"sabine's gull","xema sabini","definitive","full"
"bonaparte's gull","chroicocephalus philadelphia","definitive","&nbsp;"
"black-headed gull","chroicocephalus ridibundus","definitive","full"
"little gull","hydrocoloeus minutus","provisional i","full"
"laughing gull","leucophaeus atricilla","definitive","&nbsp;"
"franklin's gull","leucophaeus pipixcan","definitive","full"
"ring-billed gull","larus delawarensis","definitive","&nbsp;"
"herring gull","larus argentatus","definitive","&nbsp;"
"iceland gull","larus glaucoides","definitive","full"
"lesser black-backed gull","larus fuscus","definitive","north american birds report species - inland only"
"glaucous gull","larus hyperboreus","definitive","inland only"
"great black-backed gull","larus marinus","definitive","north american birds report species - inland only"
"brown noddy","anous stolidus","definitive","full"
"sooty tern","onychoprion fuscatus","definitive","inland only"
"bridled tern","onychoprion anaethetus","definitive","inland only"
"least tern","sternula antillarum","definitive","&nbsp;"
"gull-billed tern","gelochelidon nilotica","definitive","&nbsp;"
"caspian tern","hydroprogne caspia","definitive","&nbsp;"
"black tern","chlidonias niger","definitive","&nbsp;"
"white-winged tern","chlidonias leucopterus","definitive","full"
"roseate tern","sterna dougallii","provisional i","full"
"common tern","sterna hirundo","definitive","inland only"
"arctic tern","sterna paradisaea","definitive","full"
"forster's tern","sterna forsteri","definitive","&nbsp;"
"royal tern","thalasseus maximus","definitive","inland only"
"sandwich tern","thalasseus sandvicensis","definitive","inland only"
"black skimmer","rynchops niger","definitive","&nbsp;"
"skua sp.","stercorarius sp","definitive","full"
"pomarine jaeger","stercorarius pomarinus","definitive","inland only"
"parasitic jaeger","stercorarius parasiticus","definitive","inland only"
"long-tailed jaeger","stercorarius longicaudus","definitive","full"
"dovekie","alle alle","definitive","full"
"common murre","uria aalge","definitive","full"
"thick-billed murre","uria lomvia","definitive","full"
"razorbill","alca torda","definitive","inland only"
"black guillemot","cepphus grylle","definitive","full"
"long-billed murrelet","brachyramphus perdix","definitive","full"
"rock pigeon","columba livia","definitive","&nbsp;"
"band-tailed pigeon","patagioenas fasciata","definitive","full"
"eurasian collared-dove","streptopelia decaocto","definitive","&nbsp;"
"white-winged dove","zenaida asiatica","definitive","north american birds report species"
"mourning dove","zenaida macroura","definitive","&nbsp;"
"passenger pigeon","ectopistes migratorius","definitive","&nbsp;"
"common ground-dove","columbina passerina","definitive","&nbsp;"
"carolina parakeet","conuropsis carolinensis","definitive","&nbsp;"
"yellow-billed cuckoo","coccyzus americanus","definitive","&nbsp;"
"black-billed cuckoo","coccyzus erythropthalmus","definitive","&nbsp;"
"smooth-billed ani","crotophaga ani","provisional i","full"
"groove-billed ani","crotophaga sulcirostris","definitive","full"
"barn owl","tyto alba","definitive","&nbsp;"
"eastern screech-owl","megascops asio","definitive","&nbsp;"
"great horned owl","bubo virginianus","definitive","&nbsp;"
"snowy owl","bubo scandiacus","definitive","full"
"burrowing owl","athene cunicularia","definitive","full"
"barred owl","strix varia","definitive","&nbsp;"
"long-eared owl","asio otus","definitive","full"
"short-eared owl","asio flammeus","definitive","&nbsp;"
"northern saw-whet owl","aegolius acadicus","definitive","full"
"common nighthawk","chordeiles minor","definitive","&nbsp;"
"chuck-will's-widow","caprimulgus carolinensis","definitive","&nbsp;"
"eastern whip-poor-will","caprimulgus vociferus","definitive","&nbsp;"
"chimney swift","chaetura pelagica","definitive","&nbsp;"
"broad-billed hummingbird","cynanthus latirostris","definitive","full"
"buff-bellied hummingbird","amazilia yucatanensis","definitive","full"
"blue-throated hummingbird","lampornis clemenciae","provisional i","full"
"ruby-throated hummingbird","archilochus colubris","definitive","&nbsp;"
"black-chinned hummingbird","archilochus alexandri","definitive","full"
"calliope hummingbird","stellula calliope","definitive","full"
"rufous hummingbird","selasphorus rufus","definitive","&nbsp;"
"allen's hummingbird","selasphorus sasin","definitive","full"
"belted kingfisher","megaceryle alcyon","definitive","&nbsp;"
"red-headed woodpecker","melanerpes erythrocephalus","definitive","&nbsp;"
"red-bellied woodpecker","melanerpes carolinus","definitive","&nbsp;"
"yellow-bellied sapsucker","sphyrapicus varius","definitive","&nbsp;"
"downy woodpecker","picoides pubescens","definitive","&nbsp;"
"hairy woodpecker","picoides villosus","definitive","&nbsp;"
"red-cockaded woodpecker","picoides borealis","definitive","&nbsp;"
"northern flicker","colaptes auratus","definitive","&nbsp;"
"pileated woodpecker","dryocopus pileatus","definitive","&nbsp;"
"ivory-billed woodpecker","campephilus principalis","definitive","&nbsp;"
"olive-sided flycatcher","contopus cooperi","definitive","&nbsp;"
"eastern wood-pewee","contopus virens","definitive","&nbsp;"
"yellow-bellied flycatcher","empidonax flaviventris","definitive","north american birds report species"
"acadian flycatcher","empidonax virescens","definitive","&nbsp;"
"willow flycatcher","empidonax traillii","definitive","&nbsp;"
"least flycatcher","empidonax minimus","definitive","&nbsp;"
"eastern phoebe","sayornis phoebe","definitive","&nbsp;"
"say's phoebe","sayornis saya","provisional i","full"
"vermilion flycatcher","pyrocephalus rubinus","definitive","full"
"great crested flycatcher","myiarchus crinitus","definitive","&nbsp;"
"western kingbird","tyrannus verticalis","definitive","&nbsp;"
"eastern kingbird","tyrannus tyrannus","definitive","&nbsp;"
"gray kingbird","tyrannus dominicensis","definitive","inland only"
"scissor-tailed flycatcher","tyrannus forficatus","definitive","north american birds report species"
"fork-tailed flycatcher","tyrannus savana","definitive","full"
"loggerhead shrike","lanius ludovicianus","definitive","&nbsp;"
"white-eyed vireo","vireo griseus","definitive","&nbsp;"
"bell's vireo","vireo bellii","definitive","full"
"yellow-throated vireo","vireo flavifrons","definitive","&nbsp;"
"blue-headed vireo","vireo solitarius","definitive","&nbsp;"
"warbling vireo","vireo gilvus","definitive","north american birds report species"
"philadelphia vireo","vireo philadelphicus","definitive","&nbsp;"
"red-eyed vireo","vireo olivaceus","definitive","&nbsp;"
"blue jay","cyanocitta cristata","definitive","&nbsp;"
"american crow","corvus brachyrhynchos","definitive","&nbsp;"
"fish crow","corvus ossifragus","definitive","&nbsp;"
"common raven","corvus corax","definitive","&nbsp;"
"horned lark","eremophila alpestris","definitive","&nbsp;"
"purple martin","progne subis","definitive","&nbsp;"
"tree swallow","tachycineta bicolor","definitive","&nbsp;"
"northern rough-winged swallow","stelgidopteryx serripennis","definitive","&nbsp;"
"bank swallow","riparia riparia","definitive","&nbsp;"
"cliff swallow","petrochelidon pyrrhonota","definitive","&nbsp;"
"cave swallow","petrochelidon fulva","definitive","full"
"barn swallow","hirundo rustica","definitive","&nbsp;"
"carolina chickadee","poecile carolinensis","definitive","&nbsp;"
"tufted titmouse","baeolophus bicolor","definitive","&nbsp;"
"red-breasted nuthatch","sitta canadensis","definitive","&nbsp;"
"white-breasted nuthatch","sitta carolinensis","definitive","&nbsp;"
"brown-headed nuthatch","sitta pusilla","definitive","&nbsp;"
"brown creeper","certhia americana","definitive","&nbsp;"
"carolina wren","thryothorus ludovicianus","definitive","&nbsp;"
"bewick's wren","thryomanes bewickii","definitive","full"
"house wren","troglodytes aedon","definitive","&nbsp;"
"winter wren","troglodytes hiemalis","definitive","&nbsp;"
"sedge wren","cistothorus platensis","definitive","&nbsp;"
"marsh wren","cistothorus palustris","definitive","&nbsp;"
"blue-gray gnatcatcher","polioptila caerulea","definitive","&nbsp;"
"golden-crowned kinglet","regulus satrapa","definitive","&nbsp;"
"ruby-crowned kinglet","regulus calendula","definitive","&nbsp;"
"eastern bluebird","sialia sialis","definitive","&nbsp;"
"townsend's solitaire","myadestes townsendi","provisional i","full"
"veery","catharus fuscescens","definitive","&nbsp;"
"gray-cheeked thrush","catharus minimus","definitive","&nbsp;"
"bicknell's thrush","catharus bicknelli","definitive","full"
"swainson's thrush","catharus ustulatus","definitive","&nbsp;"
"hermit thrush","catharus guttatus","definitive","&nbsp;"
"wood thrush","hylocichla mustelina","definitive","&nbsp;"
"american robin","turdus migratorius","definitive","&nbsp;"
"varied thrush","ixoreus naevius","definitive","full"
"gray catbird","dumetella carolinensis","definitive","&nbsp;"
"northern mockingbird","mimus polyglottos","definitive","&nbsp;"
"brown thrasher","toxostoma rufum","definitive","&nbsp;"
"european starling","sturnus vulgaris","definitive","&nbsp;"
"white wagtail","motacilla alba","definitive","full"
"american pipit","anthus rubescens","definitive","&nbsp;"
"sprague's pipit","anthus spragueii","definitive","full"
"cedar waxwing","bombycilla cedrorum","definitive","&nbsp;"
"lapland longspur","calcarius lapponicus","definitive","north american birds report species"
"smith's longspur","calcarius pictus","definitive","full"
"snow bunting","plectrophenax nivalis","definitive","north american birds report species"
"ovenbird","seiurus aurocapilla","definitive","&nbsp;"
"worm-eating warbler","helmitheros vermivorum","definitive","&nbsp;"
"louisiana waterthrush","parkesia motacilla","definitive","&nbsp;"
"northern waterthrush","parkesia noveboracensis","definitive","&nbsp;"
"bachman's warbler","vermivora bachmanii","definitive","full"
"golden-winged warbler","vermivora chrysoptera","definitive","&nbsp;"
"blue-winged warbler","vermivora cyanoptera","definitive","&nbsp;"
"black-and-white warbler","mniotilta varia","definitive","&nbsp;"
"prothonotary warbler","protonotaria citrea","definitive","&nbsp;"
"swainson's warbler","limnothlypis swainsonii","definitive","&nbsp;"
"tennessee warbler","oreothlypis peregrina","definitive","&nbsp;"
"orange-crowned warbler","oreothlypis celata","definitive","&nbsp;"
"nashville warbler","oreothlypis ruficapilla","definitive","&nbsp;"
"connecticut warbler","oporornis agilis","definitive","north american birds report species"
"mourning warbler","geothlypis philadelphia","definitive","full"
"kentucky warbler","geothlypis formosa","definitive","&nbsp;"
"common yellowthroat","geothlypis trichas","definitive","&nbsp;"
"hooded warbler","setophaga citrina","definitive","&nbsp;"
"american redstart","setophaga ruticilla","definitive","&nbsp;"
"kirtland's warbler","setophaga kirtlandii","definitive","full"
"cape may warbler","setophaga tigrina","definitive","&nbsp;"
"cerulean warbler","setophaga cerulea","definitive","&nbsp;"
"northern parula","setophaga americana","definitive","&nbsp;"
"magnolia warbler","setophaga magnolia","definitive","&nbsp;"
"bay-breasted warbler","setophaga castanea","definitive","&nbsp;"
"blackburnian warbler","setophaga fusca","definitive","&nbsp;"
"yellow warbler","setophaga petechia","definitive","&nbsp;"
"chestnut-sided warbler","setophaga pensylvanica","definitive","&nbsp;"
"blackpoll warbler","setophaga striata","definitive","&nbsp;"
"black-throated blue warbler","setophaga caerulescens","definitive","&nbsp;"
"palm warbler","setophaga palmarum","definitive","&nbsp;"
"pine warbler","setophaga pinus","definitive","&nbsp;"
"yellow-rumped warbler","setophaga coronata","definitive","&nbsp;"
"yellow-throated warbler","setophaga dominica","definitive","&nbsp;"
"prairie warbler","setophaga discolor","definitive","&nbsp;"
"black-throated gray warbler","setophaga nigrescens","definitive","full"
"black-throated green warbler","setophaga virens","definitive","&nbsp;"
"canada warbler","cardellina canadensis","definitive","&nbsp;"
"wilson's warbler","cardellina pusilla","definitive","&nbsp;"
"yellow-breasted chat","icteria virens","definitive","&nbsp;"
"green-tailed towhee","pipilo chlorurus","definitive","full"
"spotted towhee","pipilo maculatus","definitive","full"
"eastern towhee","pipilo erythrophthalmus","definitive","&nbsp;"
"bachman's sparrow","peucaea aestivalis","definitive","&nbsp;"
"american tree sparrow","spizella arborea","definitive","full"
"chipping sparrow","spizella passerina","definitive","&nbsp;"
"clay-colored sparrow","spizella pallida","definitive","north american birds report species"
"field sparrow","spizella pusilla","definitive","&nbsp;"
"vesper sparrow","pooecetes gramineus","definitive","&nbsp;"
"lark sparrow","chondestes grammacus","definitive","north american birds report species"
"lark bunting","calamospiza melanocorys","definitive","full"
"savannah sparrow","passerculus sandwichensis","definitive","&nbsp;"
"grasshopper sparrow","ammodramus savannarum","definitive","&nbsp;"
"henslow's sparrow","ammodramus henslowii","definitive","&nbsp;"
"le conte's sparrow","ammodramus leconteii","definitive","&nbsp;"
"nelson's sparrow","ammodramus nelsoni","definitive","inland only"
"saltmarsh sparrow","ammodramus caudacutus","definitive","inland only"
"seaside sparrow","ammodramus maritimus","definitive","&nbsp;"
"fox sparrow","passerella iliaca","definitive","&nbsp;"
"song sparrow","melospiza melodia","definitive","&nbsp;"
"lincoln's sparrow","melospiza lincolnii","definitive","&nbsp;"
"swamp sparrow","melospiza georgiana","definitive","&nbsp;"
"white-throated sparrow","zonotrichia albicollis","definitive","&nbsp;"
"harris's sparrow","zonotrichia querula","definitive","full"
"white-crowned sparrow","zonotrichia leucophrys","definitive","&nbsp;"
"golden-crowned sparrow","zonotrichia atricapilla","provisional i","full"
"dark-eyed junco","junco hyemalis","definitive","&nbsp;"
"summer tanager","piranga rubra","definitive","&nbsp;"
"scarlet tanager","piranga olivacea","definitive","&nbsp;"
"western tanager","piranga ludoviciana","definitive","full"
"northern cardinal","cardinalis cardinalis","definitive","&nbsp;"
"rose-breasted grosbeak","pheucticus ludovicianus","definitive","&nbsp;"
"black-headed grosbeak","pheucticus melanocephalus","definitive","full"
"blue grosbeak","passerina caerulea","definitive","&nbsp;"
"lazuli bunting","passerina amoena","definitive","full"
"indigo bunting","passerina cyanea","definitive","&nbsp;"
"painted bunting","passerina ciris","definitive","&nbsp;"
"dickcissel","spiza americana","definitive","&nbsp;"
"bobolink","dolichonyx oryzivorus","definitive","&nbsp;"
"red-winged blackbird","agelaius phoeniceus","definitive","&nbsp;"
"eastern meadowlark","sturnella magna","definitive","&nbsp;"
"western meadowlark","sturnella neglecta","definitive","full"
"yellow-headed blackbird","xanthocephalus xanthocephalus","definitive","north american birds report species"
"rusty blackbird","euphagus carolinus","definitive","&nbsp;"
"brewer's blackbird","euphagus cyanocephalus","definitive","&nbsp;"
"common grackle","quiscalus quiscula","definitive","&nbsp;"
"boat-tailed grackle","quiscalus major","definitive","inland only"
"shiny cowbird","molothrus bonariensis","definitive","full"
"brown-headed cowbird","molothrus ater","definitive","&nbsp;"
"orchard oriole","icterus spurius","definitive","&nbsp;"
"bullock's oriole","icterus bullockii","definitive","full"
"baltimore oriole","icterus galbula","definitive","&nbsp;"
"pine grosbeak","pinicola enucleator","provisional i","full"
"purple finch","carpodacus purpureus","definitive","&nbsp;"
"house finch","carpodacus mexicanus","definitive","&nbsp;"
"red crossbill","loxia curvirostra","definitive","north american birds report species"
"white-winged crossbill","loxia leucoptera","definitive","full"
"common redpoll","acanthis flammea","definitive","full"
"pine siskin","spinus pinus","definitive","&nbsp;"
"american goldfinch","spinus tristis","definitive","&nbsp;"
"evening grosbeak","coccothraustes vespertinus","definitive","&nbsp;"
"house sparrow","passer domesticus","definitive","&nbsp;"
"NULL","NULL","NULL","&nbsp;"
"total species","&nbsp;","424","&nbsp;"
