"species","location","altitude","type","temp","notes","wish"
"nepenthes edwardsiana(low ex hook.f.)            found on mt. kinabalu and mt. tamboyukon borneo","&nbsp;borneo","","ex?h","","similar to n. villosa","w"
"subsp. macrophylla (marabini) see n.macrophylla","","","","","",""
"nepenthes ephippiata(danser)","borneo","1000-1900m","h","","small easy slow","*"
"nepenthes eustachya(miq.)","sumatra","0-1600m","lih","","easy mod","w"
"nepenthes eymae(kurata)","borneo; celebes","1500-1800m","h","","easy slow","w"
"nepenthes faizaliana(adam &amp; wilcock)","borneo","500-1500m","ih","","easy-moderate","w"
"{nepenthes fallax|ch'ien lee writes: &#8220;... the only thing most hobbyistsneed to know is that within the horticultural trade all plants whichare currently called n. stenophylla and n. fallax represent the sametaxa.&#8221;}","borneo","900-2600m","h","","hairy easy mod.","w"
"nepenthes fusca(danser)","borneo","1200-1500m","h","","easy mod. similar to(narrow) maxima","w"
"nepenthes glabrata(turnbull &amp; middleton)","celebes","1600-2000m","h","","mod. slow small hand paintedpitcher","w"
"{nepenthes glandulifera|a new species previously called nepenthes sp. &#8220;7&#8221; atmalesiana tropicals}","sarawak borneo","1200-1600m","h","","hairy easy mod.-slow","w"
"nepenthes globosa there is a strongrumor that n. viking is about to be formally described by kurata as aspecies.","only in southern thailand","","","","",""
"nepenthes gracilis(korth.)","borneo malaysia singapourcelebes sumatra (andamanes; south indochina","0-750m","li","","easy lowland / room temperature","*"
"nepenthes gracillima(ridl.)","malaysia","1300-2100m","h","","small easy mod.","w"
"{nepenthes gymnamphora|some believe n. xiphioides (salmon et maulder)shouldbe a separate species}","sumatra borneo java","1000-2750m","h","","easy slow","w"
"nepenthes hamata(turnbull &amp; middleton)            large peristome with curved hooks","celebes","1400-2500m","h","","easy mod.","w+"
"{nepenthes hirsuta|there is some debate whether n. hirsuta and n.hispida are different species}","borneo","200-1000m","l(i)","","easy small scrambler",""
"(nepenthes hispida (g.beck) see n. hirsuta)","","","","","",""
"nepenthes hurrelliana (cheek jebb leelamb &amp; phillipps) see cheek m. m. jebb c. lee a. lamband a. phillipps. 2003. nepenthes hurrelliana (nepenthaceae) a newspeciesof pitcher plant from borneo. sabah parks nature journal. vol 6:117-124.","borneo","","","","",""
"nepenthes inermis(danser)","sumatra","2300-2590m","h","","easy quick small","w"
"nepenthesinfundibuliformis&nbsp;possibly a sulawesi form of n. maxima","","","h","","small",""
"nepenthes insignis(danser)","new guinea","80-800m","li","","easy-mod.",""
"nepenthes izumiae(t.davis c.clarke &amp; tamin)            (species b in nepenthes of sumatra)nearly black with contrasting white interior","bukit barisan west sumatra indonesia","1800-2400m","h","","vigorous",""
"nepenthes jacquelineae(c.clarke t.davis &amp; tamin)","sumatra","1700-2200m","h","","easy mod.","w"
"nepenthes kampotiana (auct. non lecomte:hort. ex hort.bot.berlin) see n. mirabilis","","","","","",""
"nepenthes kampotiana (lecomte) seen. anamensis and n. smilesii","","","","","",""
"nepenthes khasiana(hook.f.)","assam india","1000m","ih","","v. easy vigorous largedifficult from cuttings","w"
"nepenthes klossii(ridl.)","sw new guinea","930-1170m","","","",""
"nepenthes lamii(jebb &amp; cheek)","moluccas (n.guin.) indonesia","1460-3520m","exh","","mod. slow",""
"nepenthes lavicola(wistuba &amp; rischer)","sumatra","2000-2600m","h","","easy slow","w"
"nepenthes longifolia(nerz &amp; wistuba)","sumatra","300-1100m","li","","easy-mod.","w"
"{nepenthes lowii|+ n. lowii kinabalu v. nice}","borneo","1600-2600m","h","","easy slow 40' toiletbowl upper pitchers","w+"
"nepenthes macfarlanei(hemsl.)","malaysia","1000-2150m","h","","easy-mod.","w"
"nepenthes macrophylla((marabini) jebb &amp; cheek)","mt trus madi borneo","2000-2600m","h","","easy slow large 2' leaves","w+"
"nepenthesmacrovulgaris (turnbull &amp; middleton)","borneo","500-800m(1200)","l","","easy-difficult",""
"nepenthesmadagascariensis (poir.)","e. madagascar","low altitude","l","35/18c","easy-mod. funnel upperpitchers best","w"
"nepenthes mapuluensis (adam &amp; wilcock)n. northiana?","borneo","","","","",""
"nepenthes masoalensis(schmid-hollinger)","e. madagascar","30-400m","l+","","easy as lowland",""
"nepenthes maxima(reinw. ex nees)","celebes; papua; muluccas new guinea","600-2500m","(l)ih","","easy tolerant of cold snaps","w"
"&nbsp; &nbsp;var. superba ((hort.veitch exmarshall) veitch) the icps database lumps these as simply n.maxima.","","","","","",""
"nepenthes merrilliana(macf.)","philippines; celebes","20-1700m","l+","","v. large vigorous aslowlander diff indoors",""
"nepenthes mikei(salmon &amp; maulder)","sumatra","1100-2400m","h","","easy good",""
"nepenthesmindanaoensis (kurata)","philippines","","li","","easy-mod.","w"
"nepenthes mira(jebb &amp; cheek)","philippines","1800m","h","","easy mod.","w"
"nepenthes mirabilis((lour.) druce)","southeast asia australia newguinea","0-1500m","l","","easy-diff. smallgrower alkaline swamps",""
"or andamanes; south china;thailand; annam; south indochina; borneo; philippines; sumatra;celebes;muluccas; papua; micronesia; queensland","","","","","",""
"&nbsp; &nbsp;var. echinostoma ((hook.f.)hort.slack ex adam &amp; wilcock)","","","","","",""
"&nbsp; &nbsp;var. rowanae (f.m.bail.) seen. rowanea","","","","","",""
"nepenthes mollis(danser)","borneo","1800m","","","",""
"nepenthes muluensis(hotta)","mt mulu borneo","1900-2400m","h","","small easy mod.","w"
"nepenthes murudensis","","2200-2500m","exh","","easy-mod. slow","w"
"nepenthesneoguineensis (macf.)","new guinea","900-1400m","li","","easy-mod.",""
"{nepenthes northiana|limestone cliffs in sarawak}","borneo","0-500m","l+","","easy aslowlandershade alkaline medium",""
"nepenthes ovata(nerz &amp; wistuba)","sumatra","1700-2100m","h","","easy slow","w"
"nepenthes paniculata(danser)","nw new guinea","1460m","h","","mossy forest",""
"nepenthes papuana(danser)","new guinea","250-920m","l?","","virgin forest",""
"nepenthes pectinata(danser)","sumatra","950-2750m","h","","easy mod.","w"
"nepenthes pervillei(bl.)","seychelles","350-500m","l+","","quick as terrarium l","*"
"nepenthes petiolata(danser)","philippines","1500m","h","","easy mod.","w"
"nepenthesphilippinensis (macf.)","philippines","l-i","l","","easy-mod.",""
"nepenthes pilosa(danser)","borneo","1000-1800m","h","","green easy slow","w"
"nepenthes platychila(c.c.lee)","sarawak borneo","900-1400m","h","","hardy mod.","w+"
"nepenthes pyriformis (kurata)[inermis*talangensis]?","sumatra","","","","",""
"nepenthes rafflesiana(jack)","malaysia borneo sumatra","0-1200m","l+","","large easy as l",""
"&nbsp; &nbsp;var. alata (adam &amp;wilcock) also called n. &#8220;mizuho kondo&#8221;","","","","","",""
"&nbsp; &nbsp;var. elongata (hort.)","","","","","","w"
"&nbsp; &nbsp;var. nivea (hook.f.)","","","","","",""
"nepenthes rajah(hook.f.)","mt kinabalu borneo","1500-2600m","h","","easy-mod. v slowground scrambler huge pitchers","w"
"{nepenthes ramispina|gracillima?}","malaysia","900-2000m","h","","easy mod.","w"
"nepenthesreinwardtiana (miq.)","sumatra malaysia borneo","0-2100m","lih","","easy quick tall scrambler","w"
"&nbsp; &nbsp;var. samarindaensis (adam&amp; wilcock)","","","","","",""
"nepenthes rhombicaulis(kurata)","sumatra","1700-1900m","h","","easy quick","w"
"{nepenthes rigidifolia|spec nov reinwardtia 12(2):141 (-144; fig. 1). 2004 a new previously undescribed species sometimescalled nepenthes sp. &#8220;6&#8221; then later n. alpicola and then n. aptera atmalesiana tropicals (like a large fat n. x 'velvet')}","n sumatra (malesia asia-tropical)","1600m","h","","easy mod.","w"
"{nepenthes rowanae|[previously n. mirabilis var. rowanae]}","somerset qld. au","cape york au near sea level","l?","","",""
"nepenthes sanguinea(lindl.)","andamanes; malaysia","900-1800m","h","","v. easy vigorous fast grower","*"
"nepenthes saranganiensis (kurata)","mindanao (philippines)","","","","",""
"nepenthes sibuyanensis(nerz)","sibuyan island (philippines)","1500-1800m","h","","mod. slow grower","w"
"nepenthes singalana(becc.)","sumatra","2000-2900m","h-exh","","easy slow","w"
"nepenthes smilesii see n. mirabilisvar. smilesii","","","","","",""
"nepenthes spathulata(danser)","sumatra","1500-2100m","h","","l/m easy mod.","w"
"nepenthes spectabilis(danser)","sumatra","1450-2000m","h","","large easy quick","w+"
"nepenthes stenophylla(mast.)","borneo malaysia","1000-2600m","h","","large easy mod.","w"
"nepenthes sumatrana((miq.) g.beck)","sumatra","0-1000m","l-","","easy houseplant or terrariumv. large","w"
"nepenthes talangensis(nerz &amp; wistuba)","sumatra","1800-2500m","h","","mod. v. slow",""
"nepenthes tentaculata(hook.f.)","borneo celebes","700-2550m","h","","small scrambling vine","w"
"nepenthes tenuis (nerz &amp; wistuba)","borneo celebes","","","","easy-mod. mod.",""
"nepenthes thorelii(lecomte)","cambodia / thailand;annam; south indochina","0-900m","li","","easy-mod. mod.",""
"{nepenthes tobaica|some plants produced by the large european nurseryderoose are hybrids but are named after the mother plant used toproduce the seed that went into tc.}","sumatra","950-2750m","h","","small scrambler easy starterplant","*"
"nepenthes tomoriana(danser)","celebes","0-400m","li","","easy-mod.",""
"nepenthes treubiana(warb.)","new guinea sumatra","on coast","l?","","",""
"nepenthes truncata(macf.)(lowland variety)","philippines","230-650m","l-","","large truncated leaveshouseplant","*"
"nepenthes truncata(nice var. highland red be)","mindanao phil.","1700m","h","","easy slow","w"
"{nepenthes|veitchii}","borneo","55-1200m","lorh","","large easy-mod. slow moreshade","w"
"nepenthes ventricosa (blanco)","philippines","1200-1500m","h","","easy quick low grower","*"
"nepenthes vieillardii(hook.f.)","new caledonia","30-800m","li","","mod. mod.-slow","w"
"nepenthes villosa(hook.f.)            large ground scrambler at higher elevationson&nbsp;mt kinabalu","&nbsp;borneo","2400-3200m","exh","50f day","furry pitchers easy-mod. v.slow","w"
"nepenthes vogelii","borneo","1000-1400m","h","","","w"
"{nepenthes xiphioides|see n. gymnamphora. some believe n.xiphioides (salmon et maulder) should be a separate species}","n. sumatra","600-2800m","h","","","w"
"nepenthes species #1borneo exotics","w sumatra indonesia","","h","","easy mod.","w"
"nepenthes species #2borneo exotics","sumatra","","ih","","easy-mod. high light and humidity",""
"nepenthes specieskemiri wistuba","mt kemiri in sumatra","1700-3000m","h","","easy slow","w"
"nepenthes species 1(philipines)&nbsp;borneo exotics","philipines","1600-1800m","h?","","","w+"
"nepenthes species 2(philipines) borneo exotics","philipines","100-1000m","l?","","lowland scrub and exposed ridges","w"
