"bird","location","date","photo"
"winter wren","mount rainier national park wa","08/08/04","NULL"
"gray-crowned rosy-finch","mount rainier national park wa","08/08/04","view"
"fork-tailed storm-petrel","westport pelagic wa","08/07/04","NULL"
"black-footed albatross","westport pelagic wa","08/07/04","view"
"south polar skua","westport pelagic wa","08/07/04","NULL"
"sooty shearwater","westport pelagic wa","08/07/04","NULL"
"pink-footed shearwater","westport pelagic wa","08/07/04","NULL"
"red phalarope","westport pelagic wa","08/07/04","NULL"
"willow flycatcher","nisqually wildlife refuge wa","08/07/04","NULL"
"buller's shearwater","westport pelagic wa","08/07/04","NULL"
"northwestern crow","victoria bc","08/05/04","NULL"
"sky lark","victoria bc","08/05/04","NULL"
"black swift","cascade river road wa","08/04/04","NULL"
"vaux's swift","cascade river road wa","08/04/04","NULL"
"bendire's thrasher","salome highway baseline rd az","07/26/04","view"
"rufous-capped warbler","sycamore canyon az","07/25/04","view"
"calliope hummingbird","miller canyon az","07/24/04","NULL"
"virginia's warbler","reef townsite campground az","07/24/04","NULL"
"white-eared hummingbird","miller canyon az","07/23/04","view"
"rufous hummingbird","miller canyon az","07/23/04","NULL"
"red crossbill","rustler park az","07/22/04","NULL"
"colima warbler","big bend national park tx","07/16/04","view"
"field sparrow","rowe sanctuary ne","07/16/04","NULL"
"varied bunting","big bend national park tx","07/15/04","NULL"
"scaled quail","davis mountains scenic loop az","07/15/04","NULL"
"common black hawk","davis mountains scenic loop az","07/15/04","view"
"montezuma quail","davis mountains scenic loop az","07/15/04","view"
"lucifer hummingbird","big bend national park tx","07/15/04","NULL"
"gray vireo","big bend national park tx","07/15/04","NULL"
"cassin's sparrow","davis mountains scenic loop az","07/15/04","view"
"macgillivray's warbler","buckhorn campground ca","07/11/04","NULL"
"mountain quail","barrell springs ca","06/30/04","view"
"arctic warbler","denali highway ak","06/24/04","NULL"
"alder flycatcher","near pioneer park ak","06/17/04","NULL"
"evening grosbeak","whitefish point mi","06/13/04","NULL"
"clay-colored sparrow","soo junction mi","06/13/04","NULL"
"connecticut warbler","soo junction mi","06/13/04","NULL"
"mourning warbler","soo junction mi","06/13/04","NULL"
"blackburnian warbler","soo junction mi","06/13/04","view"
"purple finch","grayling mi","06/12/04","NULL"
"black-throated green warbler","hiawatha national forest mi","06/12/04","NULL"
"kirtland's warbler","grayling mi","06/12/04","NULL"
"pine grosbeak","kenai national wildlife refuge ak","06/01/04","NULL"
"bristle-thighed curlew","kugerak road ak","05/30/04","NULL"
"rough-legged hawk","kugerak road ak","05/30/04","NULL"
"rusty blackbird","kugerak road ak","05/30/04","NULL"
"american golden-plover","kugerak road ak","05/30/04","NULL"
"rock ptarmigan","kugerak road ak","05/30/04","NULL"
"aleutian tern","council rd ak","05/29/04","NULL"
"short-eared owl","council rd ak","05/29/04","NULL"
"pacific golden-plover","council rd ak","05/29/04","NULL"
"willow ptarmigan","council rd ak","05/29/04","NULL"
"red-necked stint","gambell ak","05/29/04","NULL"
"wood sandpiper","gambell ak","05/28/04","NULL"
"bluethroat","gambell ak","05/28/04","NULL"
"common eider","gambell ak","05/27/04","NULL"
"common ringed plover","gambell ak","05/27/04","NULL"
"yellow wagtail","gambell ak","05/27/04","NULL"
"red-throated pipit","gambell ak","05/27/04","NULL"
"arctic loon","gambell ak","05/27/04","NULL"
"yellow-billed loon","gambell ak","05/26/04","NULL"
"rock sandpiper","gambell ak","05/26/04","NULL"
"steller's eider","gambell ak","05/26/04","NULL"
"crested auklet","gambell ak","05/26/04","NULL"
"horned puffin","gambell ak","05/26/04","NULL"
"tundra swan","gambell ak","05/26/04","NULL"
"dovekie","gambell ak","05/26/04","NULL"
"white wagtail","gambell ak","05/26/04","NULL"
"bar-tailed godwit","gambell ak","05/26/04","NULL"
"northern wheatear","gambell ak","05/26/04","NULL"
"slaty-backed gull","gambell ak","05/26/04","NULL"
"king eider","gambell ak","05/26/04","NULL"
"black guillemot","gambell ak","05/25/04","NULL"
"sabine's gull","gambell ak","05/25/04","NULL"
"snow bunting","gambell ak","05/25/04","NULL"
"thick-billed murre","gambell ak","05/25/04","NULL"
"least auklet","gambell ak","05/25/04","NULL"
"long-tailed jaeger","gambell ak","05/25/04","NULL"
"hawfinch","gambell ak","05/25/04","view"
"parakeet auklet","gambell ak","05/25/04","NULL"
"arctic tern","nome air terminal ak","05/25/04","NULL"
"tufted puffin","gambell ak","05/25/04","NULL"
"red-throated loon","nome air terminal ak","05/25/04","NULL"
"hoary redpoll","nome air terminal ak","05/25/04","NULL"
"lapland longspur","gambell ak","05/25/04","NULL"
"pacific loon","jewel lake ak","05/24/04","view"
"northern saw-whet owl","ft. richardson ak","05/24/04","NULL"
"boreal owl","ft. richardson ak","05/24/04","NULL"
"mew gull","jewel lake ak","05/24/04","view"
"dusky flycatcher","mount pinos ca","05/22/04","NULL"
"olive-sided flycatcher","mount pinos ca","05/22/04","view"
"juniper titmouse","mojave preserve mid-hills campground ca","05/20/04","NULL"
"black-chinned sparrow","mojave preservemid-hills campground ca","05/20/04","NULL"
"mississippi kite","dudleyville az","05/16/04","NULL"
"lesser nighthawk","dudleyville az","05/16/04","NULL"
"bronzed cowbird","patagonia rest stop az","05/15/04","view"
"five-striped sparrow","california gulch az","05/15/04","view"
"thick-billed kingbird","patagonia rest stop az","05/15/04","view"
"buff-collared nightjar","california gulch az","05/15/04","NULL"
"mexican chickadee","rustler park az","05/14/04","NULL"
"whiskered screech-owl","pinery campground area az","05/14/04","view"
"common poorwill","rustler park az","05/14/04","NULL"
"olive warbler","rustler park az","05/14/04","NULL"
"greater pewee","rustler park az","05/14/04","NULL"
"buff-breasted flycatcher","sawmill canyon az","05/13/04","NULL"
"sulphur-bellied flycatcher","ramsey canyon az","05/13/04","NULL"
"rufous-winged sparrow","cambell road az","05/13/04","NULL"
"blue-throated hummingbird","ramsey canyon az","05/13/04","NULL"
"botteri's sparrow","madera canyon az","05/12/04","NULL"
"broad-billed hummingbird","madera canyon az","05/12/04","NULL"
"northern pygmy-owl","madera canyon az","05/12/04","NULL"
"painted redstart","madera canyon az","05/12/04","NULL"
"dusky-capped flycatcher","madera canyon az","05/12/04","NULL"
"lucy's warbler","madera canyon az","05/12/04","NULL"
"flame-colored tanager","madera canyon az","05/12/04","view"
"grace's warbler","madera canyon az","05/12/04","NULL"
"western wood pewee","madera canyon az","05/12/04","NULL"
"cordilleran flycatcher","mount lemmon az","05/11/04","NULL"
"red-faced warbler","mount lemmon az","05/11/04","NULL"
"gilded flicker","arizona-sonora desert museum az","05/11/04","NULL"
"black-chinned hummingbird","silverbell road az","05/11/04","NULL"
"hermit warbler","sand dune park ca","05/08/04","NULL"
"mangrove cuckoo","dagny johnson memorial botanical state park fl","05/03/04","NULL"
"yellow-chevroned parakeet","fairchild tropical gardens fl","05/03/04","NULL"
"antillean nighthawk","stock island fl","05/02/04","NULL"
"blue grosbeak","dry tortugas fort jefferson fl","05/01/04","NULL"
"bobolink","dry tortugas loggerhead key fl","05/01/04","view"
"shiny cowbird","dry tortugas loggerhead key fl","05/01/04","view"
"red-footed booby","dry tortugas fort jefferson fl","04/30/04","NULL"
"roseate tern","dry tortugas pelagic fl","04/30/04","NULL"
"northern gannet","dry tortugas pelagic fl","04/30/04","NULL"
"masked booby","dry tortugas hospital key fl","04/30/04","NULL"
"gray-cheeked thrush","dry tortugas fort jefferson fl","04/30/04","NULL"
"brown booby","dry tortugas pelagic fl","04/30/04","NULL"
"sooty tern","dry tortugas pelagic fl","04/30/04","NULL"
"brown noddy","dry tortugas pelagic fl","04/30/04","view"
"semipalmated sandpiper","dry tortugas fort jefferson fl","04/30/04","NULL"
"bridled tern","dry tortugas pelagic fl","04/30/04","NULL"
"magnificent frigatebird","florida keys fl","04/29/04","NULL"
"black-whiskered vireo","florida keys fl","04/29/04","NULL"
"gray kingbird","florida keys fl","04/29/04","NULL"
"snail kite","tamiami trail fl","04/28/04","NULL"
"chuck-will's-widow","everglades national park fl","04/28/04","view"
"blackpoll warbler","hobe sound national wildlife refuge fl","04/27/04","NULL"
"cape may warbler","savannas state park fl","04/27/04","NULL"
"smooth-billed ani","fort lauderdale international airport fl","04/26/04","NULL"
"wood duck","fort belvoir attosink wildlife refuge va","04/24/04","NULL"
"acadian flycatcher","jesse jones county park tx","04/18/04","NULL"
"black tern","bolivar peninsula tx","04/18/04","NULL"
"red-cockaded woodpecker","w.g. jones state forest tx","04/17/04","NULL"
"yellow warbler","louis smith woods sanctuary tx","04/17/04","NULL"
"yellow rail","anuhuac national wildlife refuge tx","04/17/04","NULL"
"black rail","anuhuac national wildlife refuge tx","04/17/04","NULL"
"seaside sparrow","anuhuac national wildlife refuge tx","04/17/04","NULL"
"sedge wren","anuhuac national wildlife refuge tx","04/17/04","NULL"
"le conte's sparrow","anuhuac national wildlife refuge tx","04/17/04","NULL"
"eastern wood-pewee","w.g. jones state forest tx","04/17/04","NULL"
"stilt sandpiper","anuhuac national wildlife refuge tx","04/16/04","NULL"
"northern waterthrush","louis smith woods sanctuary tx","04/16/04","NULL"
"hudsonian godwit","anuhuac national wildlife refuge tx","04/16/04","NULL"
"prothonotary warbler","big thicket national preserve tx","04/15/04","NULL"
"yellow-throated warbler","big thicket national preserve tx","04/15/04","NULL"
"carolina chickadee","gore store rd tx","04/15/04","NULL"
"eastern bluebird","gore store rd tx","04/15/04","NULL"
"upland sandpiper","anuhuac national wildlife refuge tx","04/14/04","NULL"
"fulvous whistling-duck","anuhuac national wildlife refuge tx","04/14/04","NULL"
"brown-headed cowbird","anuhuac national wildlife refuge tx","04/14/04","NULL"
"least bittern","anuhuac national wildlife refuge tx","04/14/04","NULL"
"wilson's phalarope","anuhuac national wildlife refuge tx","04/14/04","NULL"
"kentucky warbler","louis smith woods sanctuary tx","04/13/04","NULL"
"orchard oriole","smith oaks nature sanctuary tx","04/13/04","NULL"
"ovenbird","smith oaks nature sanctuary tx","04/13/04","NULL"
"red-eyed vireo","smith oaks nature sanctuary tx","04/13/04","NULL"
"rose-breasted grosbeak","louis smith woods sanctuary tx","04/13/04","NULL"
"louisiana waterthrush","louis smith woods sanctuary tx","04/13/04","NULL"
"hooded warbler","smith oaks nature sanctuary tx","04/13/04","NULL"
"magnolia warbler","smith oaks nature sanctuary tx","04/13/04","NULL"
"scarlet tanager","louis smith woods sanctuary tx","04/13/04","NULL"
"veery","louis smith woods sanctuary tx","04/13/04","NULL"
"baltimore oriole","smith oaks nature sanctuary tx","04/13/04","NULL"
"wood thrush","louis smith woods sanctuary tx","04/13/04","NULL"
"swainson's thrush","louis smith woods sanctuary tx","04/13/04","NULL"
"summer tanager","louis smith woods sanctuary tx","04/13/04","NULL"
"eastern kingbird","smith oaks nature sanctuary tx","04/13/04","NULL"
"blue-winged warbler","smith oaks nature sanctuary tx","04/13/04","NULL"
"warbling vireo","smith oaks nature sanctuary tx","04/13/04","NULL"
"yellow-billed cuckoo","smith oaks nature sanctuary tx","04/13/04","NULL"
"tennessee warbler","smith oaks nature sanctuary tx","04/13/04","NULL"
"yellow-throated vireo","smith oaks nature sanctuary tx","04/13/04","NULL"
"bank swallow","smith oaks nature sanctuary tx","04/13/04","NULL"
"cerulean warbler","louis smith woods sanctuary tx","04/13/04","NULL"
"brown thrasher","louis smith woods sanctuary tx","04/13/04","NULL"
"western tanager","sand dune park ca","04/12/04","NULL"
"elegant tern","dockweiler beach ca","04/12/04","NULL"
"bullock's oriole","temescal canyon ca","04/11/04","NULL"
"wilson's warbler","sand dune park ca","04/11/04","NULL"
"black-headed grosbeak","sand dune park ca","04/11/04","NULL"
"pacific-slope flycatcher","sand dune park ca","04/11/04","NULL"
"red-necked phalarope","ballona fresh water marsh ca","04/10/04","NULL"
"greater sage-grouse","lake crowley ca","04/08/04","NULL"
"williamson's sapsucker","ca-120 east of mono lake ca","04/08/04","NULL"
"cassin's finch","ca-120 east of mono lake ca","04/08/04","NULL"
"hairy woodpecker","ca-120 east of mono lake ca","04/08/04","NULL"
"pinyon jay","ca-120 east of mono lake ca","04/08/04","view"
"black-billed magpie","lake crowley ca","04/08/04","NULL"
"violet-green swallow","ca-120 east of mono lake ca","04/08/04","NULL"
"black-backed three-toed woodpecker","ca-120 east of mono lake ca","04/08/04","NULL"
"sage thrasher","lake crowley ca","04/08/04","NULL"
"blue grouse","glacier lodge ca","04/07/04","NULL"
"bell's vireo","hidden valley wildlife preserve ca","04/06/04","NULL"
"yellow-breasted chat","hidden valley wildlife preserve ca","04/06/04","NULL"
"lesser black-backed gull","corpus christi dump tx","04/03/04","NULL"
"brown-crested flycatcher","laguna atascosa nwr tx","04/03/04","NULL"
"sprague's pipit","laguna atascosa nwr tx","04/03/04","NULL"
"yellow-legged gull","corpus christi dump tx","04/03/04","NULL"
"franklin's gull","corpus christi dump tx","04/03/04","NULL"
"baird's sandpiper","mcallen sewage treatment ponds tx","04/02/04","NULL"
"pectoral sandpiper","mcallen sewage treatment ponds tx","04/02/04","NULL"
"broad-winged hawk","bentsen rio grande state park tx","04/02/04","NULL"
"tropical kingbird","mcallen sewage treatment ponds tx","04/02/04","NULL"
"ferruginous pygmy-owl","bentsen rio grande state park tx","04/02/04","NULL"
"chimney swift","dallas and mockingbird tx","04/02/04","NULL"
"buff-bellied hummingbird","frontera audubon nature preserve tx","04/01/04","NULL"
"elf owl","bentsen rio grande state park tx","04/01/04","NULL"
"solitary sandpiper","frontera audubon nature preserve tx","04/01/04","NULL"
"northern beardless-tyrannulet","bentsen rio grande state park tx","04/01/04","NULL"
"groove-billed ani","frontera audubon nature preserve tx","04/01/04","view"
"tropical parula","santa ana national wildlife refuge tx","04/01/04","NULL"
"purple martin","salineno tx","03/31/04","NULL"
"cave swallow","i-35 tx","03/31/04","NULL"
"golden-cheeked warbler","friedrich wilderness park tx","03/31/04","NULL"
"white-collared seedeater","san ygnacio tx","03/31/04","NULL"
"glaucous gull","corpus christi dump tx","03/30/04","NULL"
"cliff swallow","moore road tx","03/30/04","NULL"
"clapper rail","indian point park tx","03/30/04","NULL"
"least tern","indian point park tx","03/30/04","NULL"
"gull-billed tern","indian point park tx","03/30/04","NULL"
"scissor-tailed flycatcher","aransas national wildlife refuge tx","03/30/04","NULL"
"whooping crane","aransas national wildlife refuge tx","03/30/04","NULL"
"california gnatcatcher","crystal cove state park ca","03/25/04","NULL"
"western kingbird","crystal cove state park ca","03/25/04","NULL"
"lesser yellowlegs","arnold road salt flats ca","03/23/04","NULL"
"ruff","arnold road salt flats ca","03/23/04","NULL"
"canyon wren","anza-borrego desert state park ca","03/21/04","NULL"
"brewer's sparrow","anza-borrego desert state park ca","03/20/04","NULL"
"costa's hummingbird","anza-borrego desert state park ca","03/20/04","NULL"
"scott's oriole","anza-borrego desert state park ca","03/20/04","NULL"
"hooded oriole","anza-borrego desert state park ca","03/20/04","NULL"
"lawrence's goldfinch","hummingbird trail ca","03/18/04","view"
"rock wren","hummingbird trail ca","03/18/04","view"
"rufous-crowned sparrow","hummingbird trail ca","03/18/04","view"
"white-headed woodpecker","san gabriel wilderness ca","03/14/04","NULL"
"spot-breasted oriole","fairhaven retirement home fl","03/07/04","NULL"
"monk parakeet","fairhaven retirement home fl","03/07/04","NULL"
"yellow-bellied sapsucker","archbold biological station fl","03/06/04","NULL"
"american oystercatcher","fort myers beach fl","03/06/04","NULL"
"wilson's plover","fort myers beach fl","03/06/04","NULL"
"black scoter","fort myers beach fl","03/06/04","NULL"
"common grackle","fort myers beach fl","03/06/04","NULL"
"sandwich tern","fort myers beach fl","03/06/04","NULL"
"red-headed woodpecker","venus pinewood sanctuary fl","03/06/04","NULL"
"piping plover","fort myers beach fl","03/06/04","NULL"
"eastern meadowlark","big cypress national preserve fl","03/06/04","NULL"
"florida scrub-jay","archbold biological station fl","03/06/04","view"
"black skimmer","fort myers beach fl","03/06/04","NULL"
"eastern towhee","archbold biological station fl","03/06/04","NULL"
"royal tern","sanibel island causeway fl","03/05/04","NULL"
"swamp sparrow","corkscrew swamp sanctuary fl","03/05/04","NULL"
"limpkin","corkscrew swamp sanctuary fl","03/05/04","NULL"
"ruby-throated hummingbird","corkscrew swamp sanctuary fl","03/05/04","NULL"
"northern parula","corkscrew swamp sanctuary fl","03/05/04","NULL"
"worm-eating warbler","corkscrew swamp sanctuary fl","03/05/04","NULL"
"blue-headed vireo","corkscrew swamp sanctuary fl","03/05/04","NULL"
"painted bunting","corkscrew swamp sanctuary fl","03/05/04","NULL"
"fish crow","sanibel island causeway fl","03/05/04","NULL"
"white-crowned pigeon","everglades national park fl","03/04/04","NULL"
"short-tailed hawk","everglades national park fl","03/04/04","NULL"
"american bittern","everglades national park fl","03/04/04","NULL"
"black-and-white warbler","everglades national park fl","03/04/04","NULL"
"pine warbler","everglades national park fl","03/04/04","NULL"
"barred owl","everglades national park fl","03/03/04","NULL"
"boat-tailed grackle","everglades national park fl","03/03/04","NULL"
"swallow-tailed kite","everglades national park fl","03/03/04","NULL"
"white ibis","everglades national park fl","03/03/04","NULL"
"anhinga","everglades national park fl","03/03/04","NULL"
"whip-poor-will","everglades national park fl","03/03/04","NULL"
"yellow-crowned night-heron","everglades national park fl","03/03/04","NULL"
"roseate spoonbill","everglades national park fl","03/03/04","NULL"
"glossy ibis","everglades national park fl","03/03/04","NULL"
"palm warbler","everglades national park fl","03/03/04","NULL"
"wood stork","everglades national park fl","03/03/04","NULL"
"caspian tern","everglades national park fl","03/03/04","NULL"
"purple gallinule","everglades national park fl","03/03/04","NULL"
"tricolored heron","everglades national park fl","03/03/04","NULL"
"prairie warbler","everglades national park fl","03/03/04","NULL"
"great crested flycatcher","everglades national park fl","03/03/04","NULL"
"black-throated blue warbler","everglades national park fl","03/03/04","NULL"
"little blue heron","everglades national park fl","03/03/04","NULL"
"short-tailed shearwater","pelagic marina del rey ca","02/28/04","NULL"
"parasitic jaeger","pelagic marina del rey ca","02/28/04","NULL"
"black-vented shearwater","pelagic marina del rey ca","02/28/04","NULL"
"ancient murrelet","pelagic marina del rey ca","02/28/04","NULL"
"crissal thrasher","ash canyon b&b az","02/27/04","view"
"broad-tailed hummingbird","ash canyon b&b az","02/27/04","NULL"
"arizona woodpecker","ash canyon b&b az","02/26/04","NULL"
"yellow-eyed junco","miller canyon az","02/26/04","NULL"
"lazuli bunting","mrs. paton's az","02/26/04","NULL"
"magnificent hummingbird","ash canyon b&b az","02/26/04","NULL"
"violet-crowned hummingbird","mrs. paton's az","02/26/04","view"
"northern hawk owl","burnett county wi","02/23/04","view"
"long-tailed duck","two harbors mn","02/22/04","NULL"
"common redpoll","superior wi","02/22/04","NULL"
"northern goshawk","superior wi","02/22/04","view"
"snowy owl","superior wi","02/22/04","NULL"
"northern shrike","superior wi","02/22/04","view"
"gyrfalcon","superior wi","02/22/04","NULL"
"bald eagle","sax-zim bog mn","02/21/04","view"
"great gray owl","sax-zim bog mn","02/21/04","view"
"ruffed grouse","sax-zim bog mn","02/21/04","NULL"
"gray jay","aitken county mn","02/21/04","NULL"
"bohemian waxwing","aitken county mn","02/21/04","NULL"
"lewis's woodpecker","pamo valley ca","02/18/04","view"
"band-tailed pigeon","pamo valley ca","02/18/04","view"
"island scrub-jay","santa cruz island california","02/16/04","view"
"yellow-billed magpie","casa de fruta ca","02/10/04","view"
"harlequin duck","monterey pelagic ca","02/08/04","view"
"black-legged kittiwake","monterey pelagic ca","02/08/04","NULL"
"herring gull","monterey pelagic ca","02/08/04","NULL"
"glaucous-winged gull","monterey pelagic ca","02/08/04","NULL"
"pomarine jaeger","monterey pelagic ca","02/08/04","NULL"
"thayer's gull","monterey pelagic ca","02/08/04","view"
"rhinoceros auklet","monterey pelagic ca","02/08/04","NULL"
"common murre","monterey pelagic ca","02/08/04","NULL"
"white-winged scoter","monterey pelagic ca","02/08/04","NULL"
"pigeon guillemot","monterey pelagic ca","02/08/04","NULL"
"northern fulmar","monterey pelagic ca","02/08/04","NULL"
"marsh wren","kern national wildlife refuge ca","02/07/04","NULL"
"gambel's quail","salton sea ca","02/06/04","NULL"
"ruddy ground-dove","salton sea ca","02/06/04","NULL"
"brown jay","chapeno tx","02/02/04","view"
"black-throated grey warbler","patagonia lake state park az","02/02/04","NULL"
"long-billed dowitcher","santa ana national wildlife refuge tx","02/01/04","NULL"
"olive sparrow","salineno tx","02/01/04","NULL"
"clay-colored robin","salineno tx","02/01/04","NULL"
"chihuahuan raven","brownsville dump tx","01/31/04","NULL"
"black vulture","brownsville dump tx","01/31/04","NULL"
"couch's kingbird","sabal palm grove sanctuary tx","01/31/04","view"
"gray catbird","sabal palm grove sanctuary tx","01/31/04","NULL"
"nashville warbler","sabal palm grove sanctuary tx","01/31/04","NULL"
"mottled duck","brownsville dump tx","01/31/04","NULL"
"white-tailed hawk","highway 77 tx","01/31/04","NULL"
"laughing gull","brownsville dump tx","01/31/04","NULL"
"ringed kingfisher","santa ana national wildlife refuge tx","01/30/04","NULL"
"white-tipped dove","bentsen rio grande state park tx","01/30/04","NULL"
"eastern screech-owl","santa ana national wildlife refuge tx","01/30/04","NULL"
"swainson's hawk","bentsen rio grande state park tx","01/30/04","NULL"
"indigo bunting","bentsen rio grande state park tx","01/30/04","NULL"
"black-bellied whistling-duck","bentsen rio grande state park tx","01/30/04","NULL"
"common nighthawk","santa ana national wildlife refuge tx","01/30/04","NULL"
"green kingfisher","bentsen rio grande state park tx","01/29/04","view"
"gray hawk","bentsen rio grande state park tx","01/29/04","NULL"
"common pauraque","bentsen rio grande state park tx","01/29/04","NULL"
"eastern phoebe","falcon state park tx","01/29/04","NULL"
"northern bobwhite","falcon state park tx","01/29/04","NULL"
"plain chachalaca","bentsen rio grande state park tx","01/29/04","NULL"
"least grebe","bentsen rio grande state park tx","01/29/04","view"
"white-eyed vireo","falcon state park tx","01/29/04","NULL"
"long-billed thrasher","san ygnacio tx","01/28/04","view"
"audubon's oriole","san ygnacio tx","01/28/04","view"
"lincoln's sparrow","san ygnacio tx","01/28/04","NULL"
"neotropic cormorant","lake casa blanca international state park tx","01/28/04","view"
"green jay","san ygnacio tx","01/28/04","NULL"
"black-crested titmouse","san ygnacio tx","01/28/04","NULL"
"crested caracara","san ygnacio tx","01/28/04","NULL"
"altamira oriole","san ygnacio tx","01/28/04","view"
"golden-fronted woodpecker","san ygnacio tx","01/28/04","NULL"
"great kiskadee","lake casa blanca international state park tx","01/28/04","view"
"reddish egret","salton sea ca","01/25/04","view"
"greater white-fronted goose","salton sea ca","01/25/04","NULL"
"barn swallow","salton sea ca","01/25/04","NULL"
"zone-tailed hawk","salton sea ca","01/25/04","NULL"
"vermillion flycatcher","salton sea ca","01/25/04","NULL"
"northern rough-winged swallow","salton sea ca","01/25/04","NULL"
"yellow-headed blackbird","salton sea ca","01/24/04","NULL"
"american pipit","salton sea ca","01/24/04","NULL"
"american redstart","salton sea ca","01/24/04","NULL"
"ross's goose","salton sea ca","01/24/04","NULL"
"vesper sparrow","salton sea ca","01/24/04","NULL"
"common ground-dove","salton sea ca","01/24/04","NULL"
"abert's towhee","salton sea ca","01/24/04","NULL"
"spotted sandpiper","salton sea ca","01/24/04","NULL"
"tree swallow","salton sea ca","01/24/04","NULL"
"cattle egret","salton sea ca","01/24/04","NULL"
"black-tailed gnatcatcher","salton sea ca","01/24/04","NULL"
"white-faced ibis","salton sea ca","01/24/04","NULL"
"snow goose","salton sea ca","01/24/04","NULL"
"american white pelican","salton sea ca","01/24/04","NULL"
"eurasian collared-dove","salton sea ca","01/24/04","NULL"
"sandhill crane","salton sea ca","01/24/04","NULL"
"osprey","salton sea ca","01/24/04","NULL"
"black-throated sparrow","big morongo canyon preserve ca","01/23/04","NULL"
"american dipper","sequoia national park ca","01/22/04","NULL"
"golden-crowned kinglet","sequoia national park ca","01/22/04","NULL"
"clark's nutcracker","sequoia national park ca","01/22/04","NULL"
"townsend's solitaire","big bear lake ca","01/20/04","NULL"
"pygmy nuthatch","big bear lake ca","01/20/04","NULL"
"red-breasted sapsucker","malibu creek state park ca","01/18/04","NULL"
"red-breasted nuthatch","point reyes ca","01/17/04","NULL"
"black-crowned night-heron","point reyes ca","01/17/04","NULL"
"varied thrush","point reyes ca","01/17/04","NULL"
"pine siskin","point reyes ca","01/17/04","NULL"
"wild turkey","point reyes ca","01/17/04","NULL"
"canvasback","point reyes ca","01/17/04","NULL"
"brown creeper","point reyes ca","01/17/04","NULL"
"clark's grebe","point reyes ca","01/16/04","NULL"
"barn owl","point reyes ca","01/16/04","NULL"
"tricolored blackbird","point reyes ca","01/16/04","NULL"
"townsend's warbler","point reyes ca","01/16/04","NULL"
"brandt's cormorant","point arena ca","01/15/04","NULL"
"brant","bodega bay ca","01/15/04","NULL"
"laysan albatross","point arena ca","01/15/04","view"
"great horned owl","bodega bay ca","01/15/04","NULL"
