" ","abundancee","bo","bp","cb","di","ep","ff","hnb","mp","ph","qw","sw","tw","tt","ty","wl"
"semipalmated sandpiper","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"western sandpiper","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"marbled godwit","um"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"sanderling","cw"," "," "," "," "," "," ","x"," "," "," "," ","x"," "," ","x"
"american avocet","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"black-necked stilt","cs"," "," "," "," ","x"," "," ","x","x"," "," ","x","x"," ","x"
"pomarine jaeger","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"great black-backed gull","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"lesser black-backed gull","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"herring gull","cw"," "," "," ","x"," "," "," "," ","x"," "," "," ","x"," ","x"
"laughing gull","cr"," "," "," ","x","x"," ","x"," ","x","x","x","x","x"," ","x"
"bonaparte's gull","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"ring-billed gull","cw"," "," "," ","x","x"," "," "," ","x","x","x","x","x"," ","x"
"gull-billed tern","ur"," "," "," "," "," "," "," ","x"," "," "," "," "," "," ","x"
"forster's tern","cw"," "," "," "," ","x"," "," ","x"," "," "," "," "," "," ","x"
"common tern","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"least tern","cs"," ","x"," "," "," "," ","x"," "," ","x"," "," "," ","x"," "
"roseate tern","us"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"sooty tern","cs"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"bridled tern","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"little tern","cs"," "," "," ","x","x","x"," "," ","x","x"," ","x","x"," ","x"
"royal tern","cr"," "," "," ","x"," ","x"," "," "," "," ","x"," ","x"," ","x"
"sandwich tern","cr"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","x"
"caspian tern","uw"," "," "," "," "," "," "," ","x","x"," "," "," "," "," ","x"
"black tern","cm"," "," "," "," "," "," "," ","x","x"," "," "," "," "," ","x"
"brown noddy","cs"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"black noddy","rx"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"black skimmer","cr"," "," "," "," ","x"," "," "," ","x","x"," "," "," "," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"pigeons and doves"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"white-crowned pigeon","cr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"rock dove","cr ranches park"," ","x"," "," ","x","x","x","x","x","x","x","x","x","x"," "
"white-winged dove","rr"," "," ","x"," "," "," "," "," ","x"," "," "," ","x"," "," "
"key west quail dove","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"mourning dove","cr"," "," ","x","x","x","x","x","x","x","x","x","x","x","x","x"
"common ground-dove","cr"," "," "," "," ","x","x"," ","x","x"," "," ","x","x"," ","x"
"eurasian collared dove","cr"," ","x","x"," "," "," ","x"," "," ","x"," "," "," ","x"," "
"inca dove","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"parrots"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"blue-crowned parakeet","cr"," "," "," "," ","x"," "," "," "," "," "," "," "," ","x"," "
"canary-winged parakeet","cr"," "," "," "," "," "," "," "," ","x"," ","x"," "," "," "," "
"monk parakeet","cr ranches park"," ","x","x"," "," "," "," "," ","x","x"," "," ","x","x"," "
"rose-ringed parakeet","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"red-fronted amazon","rr"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"cuckoos"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"mangrove cuckoo","rr"," "," "," ","x"," "," "," "," "," "," "," "," "," "," "," "
"yellow-billed cuckoo","cs"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"black-billed cuckoo","um"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"smooth-billed ani","cr"," ","x"," "," ","x","x"," ","x","x","x","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"owls"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"barn owl","cw"," "," "," "," "," ","x"," ","x","x"," "," "," ","x"," "," "
"eastern screech-owl","cr"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," "," "
"great horned owl","ur"," "," "," ","x"," ","x"," "," "," ","x"," ","x","x"," "," "
"burrowing owl","ur"," ","x"," "," "," "," "," ","x","x"," "," "," "," "," "," "
"barred owl","cr"," "," "," "," "," "," "," "," "," "," "," "," ","x"," "," "
"short-eared owl","rw"," "," "," "," "," ","x"," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"goatsuckers"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"chuck-will's-widow","cr"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," "," "
"whip-poor-will","cw"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"common nighthawk","cs"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"antillean nighthawk","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"swifts and hummingbirds"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"chimney swift","us"," "," "," ","x","x"," "," "," ","x"," "," ","x","x"," "," "
"ruby-throated hummingbird","uw"," "," "," ","x","x","x"," ","x","x"," ","x","x","x"," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"kingfishers"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"belted kingfisher","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"woodpeckers"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"northern-flicker","cr"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"pileated woodpecker","ur"," "," "," ","x","x","x"," "," ","x"," ","x","x","x"," ","x"
"red-bellied woodpecker","cr"," "," "," ","x","x","x","x","x","x","x","x","x","x","x","x"
"red-headed woodpecker","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"yellow-bellied sapsucker","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"hairy woodpecker","ur"," "," "," ","x"," "," "," "," "," "," "," "," "," "," "," "
"downy woodpecker","ur"," "," "," ","x","x","x"," ","x","x","x","x","x","x","x","x"
"red-cockaded woodpecker","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"flycatchers"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"eastern kingbird","cm"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," ","x"
"gray kingbird","cs"," "," "," "," "," "," "," "," "," "," ","x"," "," "," ","x"
"western kingbird","uw"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"scissor-tailed flycatcher","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"least flycatcher","um"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"eastern phoebe","cw"," "," "," "," ","x","x"," ","x","x"," ","x"," ","x"," "," "
"great crested flycatcher","cr"," "," "," ","x","x","x"," "," ","x"," ","x"," ","x"," "," "
"eastern wood-pewee","um"," "," ","x"," ","x","x"," ","x"," "," ","x","x","x"," "," "
"olive-sided flycatcher","rm"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"vermillion flycatcher","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"la sagra's flycatcher","ro"," "," "," "," "," "," "," "," "," "," "," "," ","x"," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"swallows"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"tree swallow","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"bank swallow","um"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"northern rough-winged swallow","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"barn swallow","cm"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"cliff swallow","um"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"purple martin","cm"," "," "," "," ","x","x"," ","x","x","x","x","x","x"," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"jays and crows"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"blue jay","cr"," ","x"," ","x","x","x","x","x","x","x","x","x","x","x"," "
"american crow","cr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"fish crow","cr"," ","x","x","x","x","x"," ","x","x","x","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"titmice"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"tufted titmouse","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"nuthatches"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"brown-headed nuthatch","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"bulbuls"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"red-whiskered bulbul","rr"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"wrens"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"house wren","cw"," "," "," "," ","x","x"," ","x","x","x","x","x","x"," ","x"
"winter wren","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"carolina wren","cr"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," "," "
"marsh wren","uw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"sedge wren","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"mockingbirds"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"northern mockingbird","cr"," ","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"bahama mockingbird","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"gray catbird","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"brown thrasher","ur"," "," "," "," ","x","x"," ","x","x","x","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"thrushes"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"american robin","cw"," "," "," "," ","x","x"," ","x"," ","x","x","x","x"," ","x"
"wood thrush","uw"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"hermit thrush","uw"," "," "," "," ","x","x"," ","x"," "," "," "," ","x"," "," "
"swainson's thrush","um"," "," "," "," ","x","x"," "," "," "," ","x"," "," "," "," "
"gray-cheeked thrush","rm"," "," "," "," ","x"," "," "," "," "," ","x","x","x"," "," "
"veery","um"," "," "," "," "," "," "," "," "," "," "," "," ","x"," "," "
"eastern bluebird","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"gnatcatchers and kinglets"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"blue-gray gnatcatcher","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"ruby-crowned kinglet","uw"," "," "," "," ","x","x"," ","x"," "," ","x","x","x"," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"waxwings"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"cedar waxwing","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"shrikes"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"loggerhead shrike","cr"," ","x"," "," "," "," "," ","x","x"," "," ","x","x"," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"starlings"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"european starling","cr"," ","x","x"," "," ","x","x","x","x","x","x","x","x","x"," "
"hill myna","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"vireos"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"white-eyed vireo","cr"," "," "," "," ","x","x"," ","x","x","x","x","x","x"," ","x"
"bell's vireo","rm"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"yellow-throated vireo","cm"," "," "," "," ","x","x"," ","x"," "," ","x","x","x"," "," "
"blue-headed vireo","cu"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," "," "
"black-whiskered vireo","cs"," "," "," ","x","x"," "," "," ","x"," "," "," ","x"," ","x"
"philadelphia vireo","rm"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"red-eyed vireo","um"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"warblers"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"black-and-white warbler","cw"," "," "," ","x","x","x"," "," x","x","x","x","x","x"," ","x"
"prothonotary warbler","um"," "," "," "," ","x"," "," ","x"," "," ","x","x"," "," "," "
"swainson's warbler","rm"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"worm-eating warbler","um"," "," "," ","x","x","x"," ","x","x"," ","x","x","x"," ","x"
"bachman's warbler","rm"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"tennessee warbler","rm"," "," "," "," ","x","x"," "," ","x"," ","x"," "," "," "," "
"golden-winged warbler","rm"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"orange-crowned warbler","uw"," "," "," "," ","x","x"," ","x","x"," ","x","x","x"," "," "
"nashville warbler","rm"," "," "," "," ","x","x"," "," "," "," "," "," "," "," "," "
"northern parula","um"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"yellow warbler","ur"," "," "," "," ","x","x"," "," ","x"," ","x"," ","x"," ","x"
"magnolia warbler","um"," "," "," ","x","x"," "," "," ","x"," "," "," ","x"," "," "
"cape may warbler","cm"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"black-throated blue warbler","cm"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"yellow-rumped warbler","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"black-throated gray warbler","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"black-throated green warbler","um"," "," "," "," ","x"," "," "," "," "," ","x","x","x"," "," "
"blackburnian warbler","rm"," "," "," "," ","x"," "," "," ","x"," ","x"," "," "," "," "
"yellow-throated warbler","uw"," "," "," "," ","x"," "," "," ","x"," ","x","x","x"," "," "
"chestnut-sided warbler","um"," "," "," "," ","x","x"," "," "," "," ","x"," "," "," "," "
"bay-breasted warbler","um"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"blackpoll warbler","cm"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"pine warbler","ur"," "," "," "," "," "," "," "," ","x"," "," "," ","x"," "," "
"prairie warbler","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"palm warbler","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"ovenbird","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"northern waterthrush","uw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"louisiana waterthrush","rw"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"kentucky warbler","um"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"connecticut warbler","rm"," "," "," "," ","x","x"," ","x","x"," "," "," "," "," "," "
"mourning warbler","rm"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"macgillivray’s warbler","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"common yellowthroat","cr"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
