"black-crowned night         heron","4","&nbsp;","2","x","x","3","x","5","x","&nbsp;","4","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"yellow-crowned night         heron","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"american bittern","&nbsp;","2","1","x","1","1","&nbsp;","5","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"least bittern","1","&nbsp;","&nbsp;","x","1","2","&nbsp;","1","1","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"glossy ibis","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"canada goose","500","x","10","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","12","4","&nbsp;","&nbsp;","x","x","&nbsp;","NULL"
"american brant","&nbsp;","&nbsp;","&nbsp;","&nbsp;","35","25","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"mallard","6","x","1","x","2","20","x","2","1","10","6","x","x","x","&nbsp;","&nbsp;","NULL"
"black duck","12","x","6","x","x","5","x","7","60","&nbsp;","20","x","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"gadwall","2","4","&nbsp;","&nbsp;","&nbsp;","3","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"baldpate","10","10","&nbsp;","x","&nbsp;","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"pintail","2","&nbsp;","&nbsp;","x","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"green-winged teal","2","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"blue-winged teal","10","4","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","6","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"shoveler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"wood duck","&nbsp;","5","6","x","10","5","x","1","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","NULL"
"ring-necked duck","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","5","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"greater scaup","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"lesser scaup","8","4","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"american goldeneye","1","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"buffledhead","&nbsp;","1","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"old squaw","1","&nbsp;","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"winte-winged scoter","3","&nbsp;","8","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"surf scoter","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"american scoter","8","&nbsp;","10","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"ruddy duck","15","15","5","1","3","&nbsp;","x","&nbsp;","100","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"american merganser","1","&nbsp;","&nbsp;","x","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-breasted merganser","50","5","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"turkey vulture","x","x","25","x","x","x","x","18","6","x","4","x","&nbsp;","x","x","&nbsp;","NULL"
"black vulture","2","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"sharp-shinned hawk","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"cooper's hawk","&nbsp;","&nbsp;","1","1","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-tailed hawk","2","2","1","x","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-shouldered hawk","1","1","2","x","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"broad-winged hawk","1","&nbsp;","&nbsp;","x","&nbsp;","1","x","&nbsp;","2","3","1","x","x","&nbsp;","x","&nbsp;","NULL"
"rough-legged hawk","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"bald eagle","&nbsp;","1","&nbsp;","&nbsp;","2","&nbsp;","x","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"marsh hawk","2","2","1","x","1","2","x","2","&nbsp;","2","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"osprey","x","x","8","x","x","&nbsp;","x","&nbsp;","1","&nbsp;","4","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"duck hawk","&nbsp;","1","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"pigeon hawk","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"sparrow hawk","2","1","1","x","2","3","x","1","1","3","4","x","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"ruffed grouse","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"bob-white","x","x","6","1","3","2","x","6","13","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","NULL"
"ring-necked pheasant","2","1","2","x","x","4","x","8","&nbsp;","5","6","x","x","&nbsp;","x","&nbsp;","NULL"
"turkey�","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"king rail","3","2","&nbsp;","&nbsp;","&nbsp;","5","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"clapper rail","15","x","2","&nbsp;","x","x","x","20","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"virginia rail","2","&nbsp;","&nbsp;","2","x","&nbsp;","x","3","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"sora","2","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"florida gallinule","15","5","&nbsp;","x","3","1","&nbsp;","&nbsp;","1","&nbsp;","30","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"coot","25","12","10","x","2","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"american oystercatcher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"piping plover","4","&nbsp;","&nbsp;","&nbsp;","1","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"semipalmated plover","65","x","&nbsp;","x","x","x","x","50","1","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"wilson's plover","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"killdeer","x","x","35","x","x","x","x","12","x","6","6","x","x","x","x","&nbsp;","NULL"
"black-bellied plover","25","80","3","x","100","x","x","50","&nbsp;","1","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"ruddy turnstone","15","4","4","&nbsp;","x","x","x","7","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"woodcock","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","x","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"wilson's snipe","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"hudsonian curlew","6","&nbsp;","&nbsp;","&nbsp;","300","1000","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"upland plover","&nbsp;","&nbsp;","&nbsp;","x","2","1","x","6","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","x","&nbsp;","&nbsp;","NULL"
"spotted sandpiper","x","x","15","x","x","52","x","2","3","8","12","x","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"solitary sandpiperr","&nbsp;","2","&nbsp;","x","1","&nbsp;","x","1","2","5","&nbsp;","x","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"willet","15","x","2","&nbsp;","x","3","x","6","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"greater yellowlegs","x","x","20","x","x","x","x","45","12","&nbsp;","30","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"lesser yellowlegs","x","x","&nbsp;","x","&nbsp;","x","x","6","1","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"knot","30","&nbsp;","&nbsp;","&nbsp;","10","9","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"purple sandpiper","23","15","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"pectoral sandpiper","1","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"white-rumped sandpiper","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"least sandpiper","x","1","x","&nbsp;","x","x","300","&nbsp;","12","6","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-backed sandpiper","x","&nbsp;","&nbsp;","x","x","1000","x","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"dowitcher","15","3","&nbsp;","&nbsp;","x","500","x","250","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"semipalmated sandpiper","x","x","&nbsp;","x","x","x","x","800","&nbsp;","&nbsp;","10","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"western sandpiper","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"sanderling","x","3","50","&nbsp;","x","x","x","25","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"northern phalarope","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"great black-backed         gull","3","&nbsp;","&nbsp;","&nbsp;","x","2","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"herring gull","x","x","150","x","x","x","x","100","4","&nbsp;","8","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"ring-billed� gull","x","2","80","x","x","x","&nbsp;","20","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"laughing gull","x","x","50","&nbsp;","x","x","x","100","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"bonaparte's gull","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"forster's tern","6","2","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"common tern","40","x","15","&nbsp;","x","x","x","15","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"roseate tern","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"least tern","20","x","4","&nbsp;","x","x","x","10","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"caspian tern","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"black tern","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"black skimmer","15","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"mourning dove","x","x","10","x","x","x","x","10","110","10","10","x","15","x","x","&nbsp;","NULL"
"yellow-billed cuckoo","2","x","4","x","x","3","x","9","1","6","2","x","4","x","x","&nbsp;","NULL"
"black-billed cuckoo","&nbsp;","&nbsp;","&nbsp;","x","1","1","x","7","&nbsp;","1","x","x","x","2","&nbsp;","&nbsp;","NULL"
"barm owl","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"screech owl","2","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","x","&nbsp;","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"great horned owl","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"barred owl","3","x","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"long-eared owl","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"short-eared owl","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"chuck-will's-widow","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"whip-poor-will","10","3","6","&nbsp;","1","&nbsp;","x","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"nighthawk","2","1","2","x","&nbsp;","1","&nbsp;","1","1","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"chimney swift","x","x","45","x","x","x","x","25","8","2","30","x","x","x","x","&nbsp;","NULL"
"ruby-throated hummingbird","1","x","2","x","2","1","1","2","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","NULL"
"kingfisher","1","1","2","&nbsp;","1","1","&nbsp;","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"flicker","x","x","15","x","x","x","x","8","x","6","18","x","x","x","x","&nbsp;","NULL"
"pileated woodpecker","1","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-bellied woodpecker","6","x","6","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-headed woodpecker","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"yellow-bellied sapsucker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"hairy woodpecker","2","x","3","x","1","1","&nbsp;","1","1","2","2","x","3","&nbsp;","&nbsp;","&nbsp;","NULL"
"downy woodpecker","x","x","10","x","6","x","x","3","x","5","4","x","x","x","x","&nbsp;","NULL"
"eastern kingbird","x","x","30","x","x","x","x","10","5","8","10","x","&nbsp;","x","x","&nbsp;","NULL"
"crested flycatcher","x","x","40","x","x","x","x","15","12","12","10","x","x","x","x","&nbsp;","NULL"
"phoebe","x","x","10","x","x","3","x","12","2","10","8","x","x","x","x","&nbsp;","NULL"
"yellow-bellied flycatcher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"acadian flycatcher","3","x","3","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"alder flycatcher","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"least flycather","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"wood pewee","2","x","5","x","x","1","&nbsp;","2","2","3","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","NULL"
"olive-sided flycatcher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"horned lark","5","3","5","x","2","2","x","4","1","1","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"tree swallow","x","x","30","x","x","x","x","10","x","x","30","&nbsp;","x","x","&nbsp;","&nbsp;","NULL"
"bank swallow","2","&nbsp;","&nbsp;","x","x","1","x","x","30","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"rough-winged swallow","x","2","15","x","x","x","x","8","6","4","20","&nbsp;","x","x","x","&nbsp;","NULL"
"barn swallow","x","x","200","x","x","x","x","50","x","x","15","x","x","x","x","&nbsp;","NULL"
"cliff swallow","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","100","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"purple martin","x","x","20","x","x","x","x","5","x","150","2","&nbsp;","&nbsp;","x","x","&nbsp;","NULL"
"blue jay","x","x","3","x","x","x","x","8","x","x","12","x","x","x","x","&nbsp;","NULL"
"eastern crow","x","x","50","x","x","x","x","25","x","x","30","x","x","x","x","&nbsp;","NULL"
"fish crow","x","1","6","x","x","x","x","25","2","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"black-capped chickadee","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","NULL"
"carolina chickadee","x","4","15","&nbsp;","x","x","x","10","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"tufted titmouse","x","x","10","x","x","x","x","12","x","x","15","x","x","x","x","&nbsp;","NULL"
"white-breasted nuthatch","1","1","&nbsp;","x","1","x","x","1","1","2","3","x","x","x","x","&nbsp;","NULL"
