"&nbsp;","species","scientific       name","days       /17","high       count","total       count"
"107","ruddy       pigeon","columba       sunvinacea","1","1","1"
"108","mourning       dove","zenaida       macrooura","1","1","1"
"109","white-winged       dove","zenaida       asiatica","2","180","220"
"110","common       ground-dove","columbina       passerina","3","4","7"
"111","ruddy       ground-dove","columbina       talpacoti","10","30","140"
"112","inca       dove","columbina       inca","5","30","51"
"113","blue       ground-dove","claravis       pretiosa","3","25","29"
"114","white-tipped       dove","leptotila       verreauxi","10","6","29"
"115","grey-chested       dove","leptotila       cassinii","1","2","2"
"116","ruddy       quail-dove","geotrygon       montana","2","2","3"
"117","great       green macaw","ara       ambigua","1","2","2"
"118","scarlet       macaw","ara       macao","4","20","40"
"119","crimson-fronted       parakeet","aratinga       finschi","3","10","13"
"120","brown-throated       parakeet","aratinga       pertinax","2","3","4"
"121","olive-throated       parakeet","aratinga       nana","2","7","13"
"122","orange-fronted       parakeet","aratinga       canicularis","2","8","14"
"123","sulphur-winged       parakeet","pyrrhura       hoffmanni","2","20","32"
"124","barred       parakeet","bolborhynchus       lineola","2","27","27"
"125","orange-chinned       parakeet","brotogeris       jugularis","6","4","9"
"126","brown-hooded       parrot","pionopsitta       haematotis","2","5","7"
"127","white-crowned       parrot","pionus       senilus","8","40","113"
"128","white-fronted       parrot","amazona       albifrons","2","2","4"
"129","red-lored       parrot","amazona       autimnalis","5","4","15"
"130","yellow-naped       parrot","amazona       auropalliata","2","60","80"
"131","mealy       parrot","amazona       farinosa","5","4","12"
"132","squirrel       cuckoo","piaya       cayana","6","2","8"
"133","smooth-billed       ani","crotophaga       ani","4","6","15"
"134","groove-billed       ani","crotophaga       sulcirostris","7","60","151"
"135","striped       cuckoo","tapera       naevia","4","1","4"
"136","lesser       ground-cuckoo","morococcyx       erythropygus","1","1","1"
"137","pacific       screech-owl","megascops       cooperi","1","1","1"
"138","mottled       owl","ciccaba       virgata","2","1","2"
"139","black-and-white       owl","ciccaba       nigrolineata","1","1","1"
"140","spectacled       owl","pulsatrix       perspicillata","2","2","4"
"141","costa       rican pygmy-owl","glaucidium       costaricanum","1","1","1"
"142","ferruginous       pygmy-owl","glaucidium       brasilianum","3","3","5"
"143","striped       owl","asio       clamator","1","1","1"
"144","common       potoo","nyctibius       griseus","1","3","3"
"145","short-tailed       nighthawk","lurocalis       semitorquatus","1","1","1"
"146","lesser       nighthawk","chordeiles       acutipennis","2","10","11"
"147","pauraque","nyctidromus       albicollis","3","6","8"
"148","dusky       nightjar","caprimulgus       saturatus","1","1","1"
"149","white-collared       swift","streptoprocne       zonaris","7","200","438"
"150","costa       rican swift","chaetura       fumosa","4","100","123"
"151","grey-rumped       swift","chaetura       cinereiventris","2","40","50"
"152","chimney       swift","chaetura       pelagica","1","4","4"
"153","vaux�s       swift","chaetura       vauxi","1","4","4"
"154","lesser       swallow-tailed swift","panyptila       cayennensis","1","2","2"
"155","band-tailed       barbthroat","threnetes       ruckeri","3","2","4"
"156","green       hermit","phaethornis       guy","4","8","14"
"157","western       long-tailed hermit","phaethornis       longirostris","5","2","6"
"158","stripe-throated       hermit","phaethornis       striigularis","7","1","7"
"159","green-fronted       lancebill","doryfera       ludovicae","1","1","1"
"160","scaly-breasted       hummingbird","phaeochroa       cuvierii","4","2","5"
"161","violet       sabrewing","campylopterus       hemileucurus","4","5","8"
"162","white-necked       jacobin","florisuga       mellivora","6","3","15"
"163","brown       violet-ear","colibri       delphinae","1","1","1"
"164","green       violet-ear","colibri       thalassinus","3","40","66"
"165","green-breasted       mango","anthracothorax       prevostii","4","2","5"
"166","violet-headed       hummingbird","klais       guimeti","4","6","15"
"167","black-crested       coquette","lophornis       helenae","1","2","2"
"168","green       thorntail","discosura       conversii","2","4","5"
"169","fiery-throated       hummingbird","panterpe       insignis","1","10","10"
"170","coppery-headed       emerald","elvira       cupreiceps","1","8","8"
"171","violet-crowned       woodnymph","thalurania       columbica","6","3","9"
"172","blue-throated       goldentail","hylocharis       eliciae","2","3","4"
"173","rufous-tailed       hummingbird","amazilia       tzacati","12","c","c"
"174","cinnamon       hummingbird","amazilia       rutila","2","2","4"
"175","blue-chested       hummingbird","amazilia       amabilis","2","1","2"
"176","charming       hummingbird","amazilia       decora","1","2","2"
"177","mangrove       hummingbird","amazilia       boucardi","1","1","1"
"178","steely-vented       hummingbird","amazilia       saucerottei","3","3","5"
"179","snowy-bellied       hummingbird","amazilia       edward","1","1","1"
"180","snowcap","michrochera       albocoronata","1","1","1"
"181","bronze-tailed       plumeleteer","chalybura       urochrysia","4","4","9"
"182","purple-throated       mountain-gem","lampornis       calolaema","2","1","2"
"183","grey-tailed       mountain-gem","lampornis       cinereicauda","2","20","26"
"184","green-crowned       brilliant","heliodoxa       jacula","1","20","20"
"185","magnificent       hummingbird","eugenes       fulgens","2","40","60"
"186","purple-crowned       fairy","heliothryx       barroti","4","2","6"
"187","ruby-throated       hummingbird","archilochus       colubris","3","3","9"
"188","scintillant       hummingbird","selasphorus       scintilla","3","15","20"
"189","volcano       hummingbird","selasphorus       flammula","3","5","9"
"190","black-headed       trogon","trogon       melanocephalus","3","2","6"
"191","baird�s       trogon","trogon       bairdii","2","1","2"
"192","violaceous       trogon","trogon       violaceous","3","3","5"
"193","collared       trogon","trogon       collaris","2","2","4"
"194","orange-bellied       trogon","trogon       aurantiiventris","1","1","1"
"195","black-throated       trogon","trogon       rufus","1","3","3"
"196","slaty-tailed       trogon","trogon       massena","4","2","7"
"197","lattice-tailed       trogon","trogon       clathratus","1","1","1"
"198","resplendent       quetzal","pharomachrus       mocinno","1","3","3"
"199","belted       kingfisher","ceryle       alcyon","1","1","1"
"200","ringed       kingfisher","ceryle       torquata","5","2","6"
"201","amazon       kingfisher","chloroceryle       amazona","5","2","6"
"202","green       kingfisher","chloroceryle       americana","6","2","10"
"203","american       pygmy kingfisher","chloroceryle       aenea","1","1","1"
"204","blue-crowned       motmot","momotus       momota","6","3","10"
"205","rufous       motmot","baryphthengus       martii","1","1","1"
"206","keel-billed       motmot","electron       carinatum","1","1","1"
"207","broad-billed       motmot","electron       platyrhynchum","4","2","5"
"208","turquoise-browed       motmot","eumomota       superciliosa","3","1","3"
"209","rufous-tailed       jacamar","galbula       ruficauda","2","4","5"
"210","white-necked       puffbird","bucco       macrorhynchos","2","2","3"
"211","white-whiskered       puffbird","malacoptila       panamensis","3","1","3"
"212","red-headed       barbet","eubucco       bourcierii","1","2","2"
"213","prong-billed       barbet","semnornis       frantzii","1","1","1"
"214","blue-throated       toucanet","aulacorhynchus       caeruleogularis","1","2","2"
"215","collared       aracari","pteroglossus       torquatus","5","12","33"
"216","fiery-billed       aracari","pteroglossus       frantzii","3","7","16"
"217","keel-billed       toucan","ramphastos       sulfuratus","5","8","15"
"218","chestnut-mandibled       toucan","ramphastos       swainsonii","7","12","48"
"219","olivaceous       piculet","picumnus       olivaceus","1","1","1"
"220","acorn       woodpecker","melanerpes       formicivorus","2","15","17"
"221","golden-naped       woodpecker","melanerpes       chrysauchen","2","2","3"
"222","black-cheeked       woodpecker","melanerpes       pucherani","6","8","22"
"223","red-crowned       woodpecker","melanerpes       rubricapillus","4","10","25"
"224","hoffmanns�       woodpecker","melanerpes       hoffmannii","3","3","6"
"225","hairy       woodpecker","picoides       villosus","1","4","4"
"226","smoky-brown       woodpecker","veniliornis       fumigatus","1","2","2"
"227","rufous-winged       woodpecker","piculus       simplex","2","1","2"
"228","golden-olive       woodpecker","piculus       rubiginosus","1","2","2"
"229","cinnamon       woodpecker","celeus       loricatus","2","2","3"
"230","chestnut-coloured       woodpecker","celeus       castaneus","1","2","2"
"231","lineated       woodpecker","dryocopus       lineatus","1","3","3"
"232","pale-billed       woodpecker","campephilus       guatemalensis","1","2","2"
"233","pale-breasted       spinetail","synallaxis       albescens","1","1","1"
"234","red-faced       spinetail","cranioleuca       erythrops","1","1","1"
"235","spotted       barbtail","premnoplex       brunnescens","1","1","1"
"236","ruddy       treerunner","margarornis       rubiginosus","3","4","9"
"237","plain       xenops","xenops       minutus","2","2","4"
"238","buffy       tuftedcheek","pseudocoloptes       lawrencii","1","1","1"
"239","streak-breasted       treehunter","thripadectes       rufobrunneus","1","1","1"
"240","lineated       foliage-gleaner","hyloctistes       subalaris","1","1","1"
"241","striped       woodhaunter","hyloctistes       subulatus","1","1","1"
"242","buff-fronted       foliage-gleaner","philydoe       rufus","1","1","1"
"243","buff-throated       foliage-gleaner","automolus&nbsp; ochrolaemus","2","1","2"
"244","tawny-winged       woodcreeper","dendrocincla       anabatina","1","3","3"
"245","plain-brown       woodcreeper","dendrocincla       fulginosa","2","1","2"
"246","olivaceous       woodcreeper","sittasomus       griseicapillus","3","1","3"
"247","wedge-billed       woodcreeper","glyphorhynchus       spirurus","7","3","12"
"248","northern       barred woodcreeper","dendrocolaptes       sanctihomae","2","3","4"
"249","cocoa       woodcreeper","xiphorhynchus       sussurans","3","3","5"
"250","black-striped       woodcreeper","xiphorhynchus       lachrymosus","1","1","1"
"251","spotted       woodcreeper","xiphoryhnchus       erythropygius","4","2","5"
"252","streak-headed       woodcreeper","lepidocolaptes       souleyetii","9","2","13"
"253","spot-crowned       woodcreeper","lepidocolaptes       affinis","2","12","14"
"254","great       antshrike","taraba       major","2","2","3"
"255","barred       antshrike","thamnophilus       doliatus","4","4","9"
"256","black-hooded       antshrike","thamnophilus       bridgesi","4","10","23"
"257","western       slaty antshrike","thamnophilus       atrinucha","1","1","1"
"258","russet       antshrike","thamnistes       anabatinus","2","4","5"
"259","plain       antvireo","dysithamnus       mentalis","2","3","4"
"260","streak-crowned       antvireo","dysithamnus       striaticeps","1","2","2"
"261","slaty       antwren","myrmotherula       schisticolor","2","1","2"
"262","dot-winged       antwren","microrhopias       quixensis","2","4","6"
"263","dusky       antbird","cercomacra       tyrannina","4","6","9"
"264","bare-crowned       antbird","gymnocichla       nudiceps","1","2","2"
"265","chestnut-backed       antbird","myrmeciza       exsul","3","5","9"
"266","immaculate       antbird","myrmeciza       immaculata","1","1","1"
"267","bicoloured       antbird","gimnopithys       leucaspis","2","4","7"
"268","spotted       antbird","hylophylax       naevioides","1","7","7"
"269","black-faced       antthrush","formicarius       analis","2","1","2"
"270","streak-chested       antpitta","hylopezus       perspicillatus","1","1","1"
"271","fulvous-bellied       antpitta","hylopezus       dives","1","1","1"
"272","silvery-fronted       tapaculo","scytalopus       argentifrons","1","1","1"
"273","rufous       piha","lipaugus       unirufus","1","1","1"
"274","turquoise       cotinga","cotinga       ridgwayi","1","1","1"
"275","snowy       cotinga","carpodectes       nitidus","2","1","2"
"276","bare-necked       umbrellabird","cephalopterus       glabricollis","1","1","1"
"277","three-wattled       bellbird","procnias       tricarunculata","1","1","1"
"278","white-collared       manakin","manacus       candei","2","2","3"
"279","orange-collared       manakin","manacus       aurantiacus","2","3","6"
"280","white-ruffed       manakin","corapipo       leucorrhoa","5","2","6"
"281","long-tailed       manakin","chiroxiphia       linearis","1","2","2"
"282","white-crowned       manakin","pipra       pipra","1","1","1"
"283","blue-crowned       manakin","pipra       coronata","2","3","4"
"284","red-capped       manakin","pipra       mentalis","2","2","4"
"285","southern       beardless-tyrannulet","camptostoma       obsoletum","1","2","2"
"286","yellow       tyrannulet","capsiempis       flaveola","4","6","11"
"287","yellow-bellied       elaenia","elaenia       flavogaster","7","1","7"
"288","mountain       elaenia","elaenia       frantzii","3","6","11"
"289","torrent       tyrannulet","serpophaga       cinerea","2","3","5"
"290","ochre-bellied       flycatcher","mionectes       oleagineus","2","2","4"
"291","slaty-capped       flycatcher","leptopogon       superciliaris","1","4","4"
"292","paltry       tyrannulet","zimmerius       vilissimus","6","6","12"
"293","black-capped       pygmy-tyrant","myiornis       atricapillus","1","1","1"
"294","scale-crested       pygmy-tyrant","lophotriccus       pileatus","2","4","5"
"295","northern       bentbill","oncostoma       cinereigulare","2","2","3"
"296","black-headed       tody-flycatcher","todirostrum       nigriceps","1","1","1"
"297","common       tody-flycatcher","todirostrum       cinereum","9","8","23"
"298","eye-ringed       flatbill","rhynchocyclus       brevirostris","1","1","1"
"299","yellow-olive       flycatcher","tomomyias       sulphurescens","2","2","4"
"300","yellow-margined       flycatcher","tolomyias       assimilis","2","2","3"
"301","golden-crowned       spadebill","platyrinchus       coronatus","1","2","2"
"302","northern       royal flyactcher","onychorrhynchus       mexicanus","1","1","1"
"303","ruddy-tailed       flycatcher","terenotriccus       erythrurus","1","2","2"
"304","sulphur-rumped       flycatcher","myiobius       sulphureipygius","1","2","2"
"305","tufted       flycatcher","mitrephanes       phaeocercus","1","1","1"
"306","dark       pewee","contopus       lugubris","1","2","2"
"307","tropical       pewee","contopus       cinereus","2","2","3"
"308","yellow-bellied       flycatcher","empidonax       flaviventris","4","2","5"
"309","acadian       flyactcher","empidonax       virescens","1","1","1"
"310","willow       flycatcher","empidonax       traillii","1","2","2"
"311","yellowish       flycatcher","empidonax       flaviscens","2","2","3"
"312","black-capped       flycatcher","empidonax       altriceps","2","3","4"
"313","black       phoebe","sayornis       nigricans","1","1","1"
"314","long-tailed       tyrant","colonia       colonus","2","1","2"
"315","bright-rumped       attila","attila       spediceus","1","2","2"
"316","rufous       mourner","rhytipterna       holerythra","3","2","4"
"317","dusky-capped       flycatcher","myiarchus       tuberculifer","5","2","7"
"318","panama       flycatcher","myiarchus       panamensis","1","1","1"
"319","great       crested flycatcher","myiarchus       crinitus","2","4","6"
"320","brown-crested       flycatcher","myiarchus       tyrannulus","3","2","5"
"321","great       kiskadee","pitangus       sulphuratus","16","c","c"
"322","boat-billed       flycatcher","megarhynchus       pitangua","6","4","10"
"323","social       flycatcher","myiozetetes       similis","11","c","c"
"324","grey-capped       flycatcher","myiozetetes       granadensis","6","10","22"
"325","white-ringed       flycatcher","coryphotriccus       albovittatus","1","2","2"
"326","golden-bellied       flycatcher","myiodynastes       hemichrysus","2","2","3"
"327","streaked       flycatcher","myiodynastes       maculatus","2","1","2"
"328","piratic       flycatcher","legatus       leucophaius","2","3","4"
"329","tropical       kingbird","tyrannus       melancholicus","17","c","c"
"330","scissor-tailed       flycatcher","tyrannus       forficatus","3","4","9"
"331","fork-tailed       flycatcher","tyrannus savana","1","3","3"
"332","cinnamon       becard","pachyramphus       cinnamomeus","2","3","5"
"333","white-winged       becard","pachyramphus       polychopterus","3","5","7"
"334","black-and-white       becard","pachyramphus       albogriseus","1","1","1"
"335","rose-throated       becard","pachyramphus       aglaiae","7","3","15"
"336","masked       tityra","tityra       semifasciata","7","9","24"
"337","black-crowned       tityra","tityra       inquisitor","1","6","6"
"338","purple       martin","progne       subis","5","30","58"
"339","grey-breasted       martin","progne       chalybea","3","10","16"
"340","mangrove       swallow","tachycineata       albilinea","5","10","22"
"341","blue-and-white       swallow","notiochelidon       cyanoleuca","10","c","c"
"342","northern       rough-winged swallow","stelgidopteryx       serripennis","4","10","24"
"343","southern       rough-winged swallow","stelgidopteryx       ruficollis","7","10","42"
"344","barn       swallow","hirundo       rustica erythrogaster","4","50","84"
"345","black-and-yellow       silky-flycatcher","pahinoptila       melanoxantha","1","2","2"
"346","long-tailed       silky-flycatcher","ptilogonys       caudatus","2","20","21"
"347","american       dipper","cinclus       mexicanus","1","1","1"
"348","band-backed       wren","campylorhynchus       zonatus","1","2","2"
"349","rufous-naped       wren","campylorhynchus       rufinucha","4","12","25"
"350","black-throated       wren","thryothorus       atrogularis","2","2","3"
"351","black-bellied       wren","thryothorus       fasciatoventris","1","2","2"
"352","rufous-breasted       wren","thryothorus       rutilus","2","1","2"
"353","riverside       wren","thryothorus       semibadius","2","8","11"
"354","bay       wren","thryothorus       nigricallus","1","3","3"
"355","stripe-breasted       wren","thryothorus       thoracicus","4","4","8"
"356","banded       wren","thryothorus       pleurostictus","1","1","1"
"357","rufous-and-white       wren","thryothorus       rufalbus","2","2","3"
"358","plain       wren","thryothorus       modestus","4","3","6"
"359","southern       house wren","troglodytes       aedon musculus","8","8","34"
"360","ochraceous       wren","troglodytes       ochraceus","2","2","3"
"361","sedge       wren","cistothorus       platensis","1","1","1"
"362","timberline       wren","thryorchilus       browni","2","2","3"
"363","white-breasted       wood-wren","henicorhina       leucosticta","5","2","7"
"364","grey-breasted       wood-wren","henicorhina       leucophrys","3","2","4"
"365","song       wren","cyphohrinus       phaeocephalus","1","2","2"
"366","grey       catbird","dumetella       carolinensis","1","1","1"
"367","tropical       mockingbird","mimus       gilvus","1","2","2"
"368","black-faced       solitaire","myadestes       melanops","2","3","4"
"369","slaty-backed       nightingale-thrush","catharus       fuscater","1","1","1"
"370","black-billed       nightingale-thrush","catharus       gracilirostris","3","12","17"
"371","ruddy-capped       nightingale-thrush","catharus       frantzii","1","3","3"
"372","black-headed       nightingale-thrush","catharus       mexicanus","2","1","2"
"373","swainson�s       thrush","catharus       ustulantus","5","3","7"
"374","wood       thrush","hylocichla       mustelina","7","2","8"
"375","sooty       thrush","turdus       nigrescens","2","25","40"
"376","mountain       thrush","turdus       plebejus","3","10","20"
"377","pale-vented       thrush","turdus       obsoletus","3","10","14"
"378","clay-coloured       thrush","turdus       grayi","17","c","c"
"379","white-throated       thrush","turdus       assimilis","3","1","3"
"380","tawny-faced       gnatwren","microbates       cinereiventris","2","1","2"
"381","long-billed       gnatwren","ramphocaenus       melanurus","2","1","2"
"382","white-lored       gnatctacher","polioptila       albiloris","1","2","2"
"383","tropical       gnatctacher","polioptila       plumbea","7","3","11"
"384","white-throated       magpie-jay","calocitta       formosa","2","8","11"
"385","brown       jay","cyanocorax       morio","3","2","7"
"386","house       sparrow","passer       domesticus","2","8","9"
"387","mangrove       vireo","vireo       pallens","1","1","1"
"388","yellow-throated       vireo","vireo       flavifrons","4","2","5"
"389","yellow-winged       vireo","vireo       carmioli","2","2","3"
"390","philadelphia       vireo","vireo       philadelphicus","2","1","2"
"391","scrub       greenlet","hylophilus       flavipes","1","1","1"
"392","tawny-crowned       greenlet","hylophilus       ochraceiceps","1","1","1"
"393","lesser       greenlet","hylophilus       decurtatus","7","16","36"
"394","green       shrike-vireo","vireolanius       pulchellus","1","1","1"
"395","yellow-bellied       siskin","carduelis       xanthogastra","1","3","3"
"396","golden-winged       warbler","vermivora       chrysoptera","4","1","4"
"397","tennessee       warbler","vermivora       peregrina","16","c","c"
"398","flame-throated       warbler","parula       gutturalis","1","3","3"
"399","tropical       parula","parula       pitiayumi","6","2","7"
"400","yellow       warbler","dendroica       petechia","10","8","29"
"&nbsp;","mangrove       warbler","dendroica petechia       erithacorides","1","2","2"
"401","chestnut-sided       warbler","dendroica       pensylvanica&nbsp;","15","c","c"
"402","magnolia       warbler","dendroica       magnolia","1","1","1"
"403","black-throated green       warbler","dendroica       virens","4","15","19"
"404","blackburnian       warbler","dendroica       fusca","2","3","4"
"405","blackpoll       warbler","dendroica       striata","3","1","1"
"406","black-and-white       warbler","mniotilta       varia","7","5","11"
"407","american       redstart","setophaga       ruticilla","1","2","2"
"408","prothonotary       warbler","protonotaria       citrea","1","6","6"
"409","ovenbird","seiurus       aurocapillus","1","1","1"
"410","northern       waterthrush","seiurus       noveboracensis","5","4","13"
"411","louisiana       waterthrush","seiurus       motacilla","1","2","2"
"412","kentucky       warbler","oporornis       formosus","4","2","5"
"413","mourning       warbler","oporornis       philadelphia","1","1","1"
"414","olive-crowned       yellowthroat","geothlypis       semiflava","1","2","2"
"415","grey-crowned       yellowthroat","geothlypis       poliocephala","2","1","2"
"416","hooded       warbler","wilsonia       citrina","2","1","2"
"417","wilson�s       warbler","wilsonia       pusilla","7","30","61"
"418","slate-throated       whitestart","myioborus       miniatus","4","6","16"
"419","collared       whitestart","myioborus       torquatus","1","8","8"
"420","golden-crowned       warbler","basileuterus       culicivorus","3","4","8"
"421","rufous-capped       warbler","basileuterus       rufifrons","4","2","5"
"422","black-cheeked       warbler","basileuterus       melanogenys","2","2","4"
"423","three-striped       warbler","basileuterus       tristriatus","1","2","2"
"424","buff-rumped       warbler","phaeothlypis       fulvicauda","7","6","20"
"425","zeledonia","zeledonai       coronata","1","1","1"
"426","bananaquit","coereba       flaveola","8","20","57"
"427","common       bush-tanager","chlorospingus       opthalmicus","5","30","60"
"428","sooty-capped       bush-tanager","chlorospingus       pileatus","2","40","65"
"429","black-and-yellow       tanager","chryothlypis       chrysomelas","1","3","3"
"430","dusky-faced       tanager","mitrospingus       cassinii","1","6","6"
"431","olive       tanager","clorothraupis       carmiloi","3","10","24"
"432","grey-headed       tanager","eucometis       penicillata","1","2","2"
"433","white-shouldered       tanager","tachyphonus       luctuosus","4","4","9"
"434","white-lined       tanager","tachyphonus       rufus","1","2","2"
"435","tawny-crested       tanager","tachyphonus       delatrii","1","7","7"
"436","red-throated       ant-tanager","habia       fuscicauda","2","5","7"
"437","black-cheeked       ant-tanager","habia       atrimaxillaris","1","3","3"
"438","hepatic       tanager","piranga       flava","2","4","5"
"439","summer       tanager","piranga       rubra","12","5","32"
"440","western       tanager","piranga       ludoviciana","1","10","10"
"441","flame-coloured       tanager","piranga       bidentata","4","12","19"
"442","crimson-collared       tanager","phlogothraupis       sanguinolenta","3","2","5"
"443","passerini�s       tanager","ramphocelus       passerinii","6","c","c"
"444","cherrie�s       tanager","ramphocelus       costaricensis","5","c","c"
"445","blue-grey       tanager","thraupis       episcopus","16","c","c"
"446","palm       tanager","thraupis       palmarum","14","c","c"
"447","blue-and-gold       tanager","bangsia       arcaei","1","2","2"
"448","scrub       euphonia","euphonia       affinis","1","3","3"
"449","yellow-crowned       euphonia","euphonia       luteicapilla","1","2","2"
"450","yellow-throated       euphonia","euphonia       hurundinacea","5","3","11"
"451","thick-billed       euphonia","euphonia       laniirostris","2","3","4"
"452","spot-crowned       euphonia","euphonia       imitans","4","6","14"
