"113"," eurasian collared-dove"," uvalde&#8211;4th and cenizo"
"114"," white-winged dove"," uvalde&#8211;4th and cenizo"
"115"," mourning dove"," cooks slough"
"116"," inca dove"," uvalde&#8211;dunbar lane ranch (private)"
"117"," common ground-dove"," rt. 2690 (not seen by all"
"118"," monk parakeet"," san antonio (not seen by all"
"119"," yellow-billed cuckoo"," cooks slough (not seen by all"
"120"," greater roadrunner"," cooks slough"
"121"," barn owl"," tx-2690&#8211;large open field (sitting on fence)"
"122"," eastern screech-owl (mccall&#8217;s)"," tx-127&#8211;wash west of tx-2690 (whistled up; photos; short whinny call heard &#8220;weeow&#8221;)"
"123"," great horned owl"," tx 400&#8211;mp 2.5 (young on nest found by kvr)"
"124"," elf owl"," tx-400&#8211;mp 1.1 (whistled up in same spot where first found (as first uvalde co. record?) three days earlier)"
"125"," barred owl"," breckenridge park&#8211;tuleta dr. (san antonio) (heard calling pre-dawn; flew in in response to hoots)"
"126"," lesser nighthawk"," tx-2690&#8211;southern portion"
"127"," common nighthawk"," port aransas&#8211;murphy&#8217;s pasture"
"128"," common pauraque"," mitchell lake&#8211;entrance (whistled up at night)"
"129"," common poorwill"," tx-2690&#8211;bend to right"
"130"," chuck-will&#8217;s-widow"," tx-2690&#8211;bend to right"
"131"," chimney swift"," cooks slough"
"132"," ruby-throated hummingbird"," blucher park"
"133"," black-chinned hummingbird"," neal&#8217;s lodge&#8211;cattle guard feeders"
"134"," buff-bellied hummingbird"," blucher park"
"135"," belted kingfisher"," cooks slough (mji jhb and tcl only)"
"136"," green kingfisher"," cooks slough (mji clw only; &#8216;dzzrrt&#8217; call heard)"
"137"," golden-fronted woodpecker"," cooks slough"
"138"," red-bellied woodpecker"," riverside park victoria"
"139"," ladder-backed woodpecker"," cooks slough"
"140"," downy woodpecker"," riverside park victoria"
"141"," pileated woodpecker"," riverside park victoria (in nest hole)"
"142"," eastern wood-pewee"," paradise pond (not seen by all"
"143"," least flycatcher"," cooks slough"
"144"," black phoebe"," concan&#8211;sabinal river bridge"
"145"," eastern phoebe"," towhee church (heard singing)"
"146"," vermilion flycatcher"," tx-2690&#8211;southern portion"
"147"," ash-throated flycatcher"," cooks slough"
"148"," great crested flycatcher"," riverside park victoria"
"149"," brown-crested flycatcher"," uvalde&#8211;4th and cenizo"
"150"," great kiskadee"," cooks slough"
"151"," couch&#8217;s kingbird"," cooks slough"
"152"," western kingbird"," uvalde&#8211;dunbar lane ranch (private)"
"153"," eastern kingbird"," packery channel (flyover)"
"154"," scissor-tailed flycatcher"," cooks slough (flyover)"
"155"," loggerhead shrike"," uvalde&#8211;dunbar lane ranch (private)"
"156"," white-eyed vireo"," cooks slough"
"157"," bell&#8217;s vireo"," uvalde&#8211;4th and cenizo"
"158"," black-capped vireo"," concan&#8211;ridge to east (not seen by all"
"159"," yellow-throated vireo"," concan&#8211;pecan grove"
"160"," hutton&#8217;s vireo"," concan&#8211;huvi bend (singing)"
"161"," red-eyed vireo"," concan&#8211;cielito ridge (singing)"
"162"," green jay"," uvalde&#8211;4th and cenizo"
"163"," blue jay"," uvalde&#8211;4th and cenizo"
"164"," american crow"," north of victoria (flew across road)"
"165"," chihuahuan raven"," uvalde&#8211;dunbar lane (south)"
"166"," common raven"," concan area"
"167"," horned lark"," uvalde&#8211;dunbar lane field"
"168"," northern rough-winged swallow"," concan&#8211;sabinal river bridge"
"169"," purple martin"," cooks slough"
"170"," bank swallow"," duck pond off rt. 35"
"171"," barn swallow"," cooks slough"
"172"," cliff swallow"," sabinal&#8211;bridge to north"
"173"," cave swallow"," tx-400"
"174"," carolina chickadee"," riverside park victoria (heard singing)"
"175"," black-crested titmouse"," cooks slough"
"176"," verdin"," uvalde&#8211;dunbar lane (south)"
"177"," cactus wren"," cooks slough"
"178"," rock wren"," uvalde quarry"
"179"," canyon wren"," concan&#8211;cielito ridge (heard singing)"
"180"," carolina wren"," cooks slough"
"181"," bewick&#8217;s wren"," cooks slough"
"182"," house wren"," cooks slough"
"183"," sedge wren"," copano bay causeway sp"
"184"," marsh wren"," dupont wetlands"
"185"," blue-gray gnatcatcher"," cooks slough"
"186"," black-tailed gnatcatcher"," tx-400&#8211;mp 1.7"
"187"," ruby-crowned kinglet"," cooks slough"
"188"," eastern bluebird"," concan&#8211;pecan grove"
"189"," swainson&#8217;s thrush"," port aransas&#8211;paradise pond"
"190"," hermit thrush"," concan&#8211;ridge to east (giving mew call)"
"191"," wood thrush"," port aransas&#8211;paradise pond"
"192"," american robin"," san antonio botanical gardens (on nest)"
"193"," gray catbird"," blucher park"
"194"," northern mockingbird"," sabinal wtp (singing)"
"195"," brown thrasher"," blucher park (*late; continuing bird in park seen well)"
"196"," long-billed thrasher"," tx-127&#8211;wash west of tx-2690 (singing at night)"
"197"," curve-billed thrasher"," uvalde&#8211;4th and cenizo (calling at dawn)"
"198"," european starling"," cooks slough"
"199"," sprague&#8217;s pipit"," uvalde&#8211;dunbar lane (south)"
"200"," cedar waxwing"," concan&#8211;cielito ridge (flock seen)"
"201"," tennessee warbler"," port aransas&#8211;paradise pond"
"202"," orange-crowned warbler"," cooks slough"
"203"," nashville warbler"," cooks slough"
"204"," northern parula"," riverside park victoria (singing)"
"205"," yellow warbler"," packery channel (male)"
"206"," chestnut-sided warbler"," port aransas&#8211;paradise pond"
"207"," yellow-rumped warbler (myrtle)"," cooks slough"
"207"," yellow-rumped warbler (audubon&#8217;s)"," cooks slough"
"208"," golden-cheeked warbler"," concan&#8211;cielito ridge"
"209"," black-throated green warbler"," port aransas&#8211;paradise pond"
"210"," yellow-throated warbler"," towhee church"
"211"," blackpoll warbler"," port aransas&#8211;paradise pond (female)"
"212"," black-and-white warbler"," towhee church"
"213"," american redstart"," port aransas&#8211;paradise pond (yellow start)"
"214"," ovenbird"," blucher park (not seen by all"
"215"," northern waterthrush"," blucher park"
"216"," common yellowthroat"," port aransas&#8211;paradise pond"
"217"," hooded warbler"," blucher park (female)"
"218"," wilson&#8217;s warbler"," cooks slough"
"219"," yellow-breasted chat"," cooks slough"
"220"," olive sparrow"," cooks slough"
"221"," spotted towhee"," towhee church (female feeding along edge of fence)"
"222"," rufous-crowned sparrow"," concan&#8211;ridge to east"
"223"," canyon towhee"," concan&#8211;ridge to east (mji bls af tcl only)"
"224"," cassin&#8217;s sparrow"," cooks slough"
"225"," chipping sparrow"," cooks slough"
"226"," clay-colored sparrow"," cooks slough"
"227"," field sparrow"," concan&#8211;pecan grove"
"228"," vesper sparrow"," uvalde&#8211;dunbar lane (south)"
"229"," lark sparrow"," cooks slough"
"230"," black-throated sparrow"," tx-400&#8211;mp 1.7"
"231"," savannah sparrow"," sabinal wtp"
"232"," grasshopper sparrow"," tx-400&#8211;mp 1.1"
"233"," le conte&#8217;s sparrow"," copano bay causeway sp"
"234"," seaside sparrow"," mustang island mangroves (heard singing)"
"235"," lincoln&#8217;s sparrow"," cooks slough"
"236"," swamp sparrow"," hans suter (not seen by all"
"237"," white-crowned sparrow (eastern)"," cooks slough"
"238"," summer tanager"," concan&#8211;ridge to east"
"239"," northern cardinal"," san antonio botanical gardens (calling at night)"
"240"," pyrrhuloxia"," uvalde&#8211;dunbar lane (south)"
"241"," blue grosbeak"," cooks slough"
"242"," lazuli bunting"," neal&#8217;s lodge&#8211;cattle guard feeders (clw only; female)"
"243"," indigo bunting"," blucher park"
"244"," painted bunting"," cooks slough"
"245"," dickcissel"," cooks slough"
"246"," red-winged blackbird"," cooks slough"
"247"," eastern meadowlark"," tx-2690&#8211;mp 5.8"
"248"," yellow-headed blackbird"," uvalde&#8211;dunbar lane ranch (private)"
"249"," brewer&#8217;s blackbird"," sabinal feedlot (female)"
"250"," common grackle"," tyler rd.&#8211;mp 1.5"
"251"," boat-tailed grackle"," tx-1289 ricefield (calhoun co.)"
"252"," great-tailed grackle"," uvalde&#8211;4th and cenizo"
"253"," bronzed cowbird"," sabinal feedlot"
"254"," brown-headed cowbird"," cooks slough"
"255"," orchard oriole"," tyler rd.&#8211;mp 0.5"
"256"," hooded oriole"," tx-400&#8211;mp 1.7 (female)"
"257"," bullock&#8217;s oriole"," cooks slough"
"258"," audubon&#8217;s oriole"," uvalde&#8211;4th and cenizo"
"259"," baltimore oriole"," blucher park"
"260"," scott&#8217;s oriole"," concan&#8211;cielito ridge (female and male)"
"261"," house finch"," uvalde&#8211;4th and cenizo"
"262"," pine siskin"," neal&#8217;s lodge&#8211;cattle guard feeders (calling flyover)"
"263"," lesser goldfinch"," neal&#8217;s lodge&#8211;cattle guard feeders"
"264"," house sparrow"," uvalde&#8211;4th and cenizo"
