"state","town","institution","sponsored    programs","sponsored    programs","sponsored    programs","sponsored    programs"
"louisiana","lake charles","mcneese state    university","mtf","mxc","wtf","wxc"
"louisiana","monroe","university of    louisiana at monroe","mtf","mxc","wtf","wxc"
"louisiana","natchitoches","northwestern state    university","mtf","mxc","wtf","wxc"
"louisiana","new orleans","tulane university","&nbsp;","&nbsp;","wtf","wxc"
"louisiana","ruston","louisiana tech    university","mtf","mxc","wtf","wxc"
"louisiana","shreveport","centenary college    (louisiana)","&nbsp;","mxc","&nbsp;","wxc"
"louisiana","thibodaux","nicholls state    university","&nbsp;","mxc","wtf","wxc"
"maine","orono","university of maine    orono","mtf","mxc","wtf","wxc"
"maryland","annapolis","u.s. naval academy","mtf","mxc","wtf","wxc"
"maryland","baltimore","coppin state    university","mtf","mxc","wtf","wxc"
"maryland","baltimore","loyola college    (maryland)","&nbsp;","mxc","wtf","wxc"
"maryland","baltimore","morgan state    university","mtf","mxc","wtf","wxc"
"maryland","baltimore","university of maryland    baltimore county","mtf","mxc","wtf","wxc"
"maryland","college park","university of maryland    college park","mtf","mxc","wtf","wxc"
"maryland","eastern shore","university of maryland    eastern shore","mtf","mxc","wtf","wxc"
"maryland","emmitsburg","mount st. mary's    university","mtf","mxc","wtf","wxc"
"maryland","towson","towson university","&nbsp;","&nbsp;","wtf","wxc"
"massachussets","amherst","university of    massachusetts amherst","mtf","mxc","wtf","wxc"
"massachussets","boston","boston college","mtf","mxc","wtf","wxc"
"massachussets","boston","boston university","mtf","mxc","wtf","wxc"
"massachussets","boston","northeastern university","mtf","mxc","wtf","wxc"
"massachussets","harvard","harvard university","mtf","mxc","wtf","wxc"
"massachussets","worcester","college of the holy    cross","mtf","mxc","wtf","wxc"
"michigan","ann arbor","university of michigan","mtf","mxc","wtf","wxc"
"michigan","detroit","university of detroit    mercy","mtf","mxc","wtf","wxc"
"michigan","east lansing","michigan state    university","mtf","mxc","wtf","wxc"
"michigan","kalamazoo","western michigan    university","&nbsp;","&nbsp;","wtf","wxc"
"michigan","mount pleasant","central michigan    university","mtf","mxc","wtf","wxc"
"michigan","rochester","oakland university","mtf","mxc","wtf","wxc"
"michigan","ypsilanti","eastern michigan    university","mtf","mxc","wtf","wxc"
"minnesota","minneapolis","university of    minnesota twin cities","mtf","mxc","wtf","wxc"
"mississippi","hattiesburg","university of southern    mississippi","mtf","&nbsp;","wtf","wxc"
"mississippi","itta bena","mississippi valley state    university","mtf","mxc","wtf","wxc"
"mississippi","jackson","jackson state university","mtf","mxc","wtf","wxc"
"mississippi","lorman","alcorn state    university","mtf","mxc","wtf","wxc"
"mississippi","oxford","university of    mississippi","mtf","mxc","wtf","wxc"
"mississippi","starkville","mississippi state    university","mtf","mxc","wtf","wxc"
"missouri","cape girardeau","southeast missouri    state university","mtf","mxc","wtf","wxc"
"missouri","columbia","university of missouri    columbia","mtf","mxc","wtf","wxc"
"missouri","kansas city","university of    missouri kansas city","mtf","mxc","wtf","wxc"
"missouri","saint louis","saint louis university","mtf","mxc","wtf","wxc"
"missouri","springfield","missouri state    university","&nbsp;","&nbsp;","wtf","wxc"
"montana","bozeman","montana state    university-bozeman","mtf","mxc","wtf","wxc"
"montana","missoula","university of    montana","mtf","mxc","wtf","wxc"
"nebraska","lincoln","university of nebraska    lincoln","mtf","mxc","wtf","wxc"
"nebraska","omaha","creighton university","&nbsp;","mxc","&nbsp;","wxc"
"nevada","las vegas","university of nevada    las vegas","&nbsp;","&nbsp;","wtf","wxc"
"nevada","reno","university of nevada","&nbsp;","&nbsp;","wtf","wxc"
"new hampshire","durham","university of new    hampshire","mtf","mxc","wtf","wxc"
"new hampshire","hanover","dartmouth college","mtf","mxc","wtf","wxc"
"new jersey","jersey city","st. peter's    college","mtf","mxc","wtf","wxc"
"new jersey","lawrenceville","rider university","mtf","mxc","wtf","wxc"
"new jersey","madison","fairleigh dickinson    university metropolitan","mtf","mxc","wtf","wxc"
"new jersey","new brunswick","rutgers state univ    of new jersey new brunswick","mtf","mxc","wtf","wxc"
"new jersey","princeton","princeton    university","mtf","mxc","wtf","wxc"
"new jersey","south orange","seton hall university","mtf","mxc","wtf","wxc"
"new jersey","west long branch","monmouth university","mtf","mxc","wtf","wxc"
"new mexico","albuquerque","university of new mexico","mtf","mxc","wtf","wxc"
"new mexico","las cruces","new mexico state    university","&nbsp;","mxc","wtf","wxc"
"new york","albany","university at albany","mtf","mxc","wtf","wxc"
"new york","binghamton","state university of new    york at binghamton","mtf","mxc","wtf","wxc"
"new york","brooklyn","long island    university-brooklyn campus","mtf","mxc","wtf","wxc"
"new york","brooklyn heights","st. francis college    (new york)","mtf","mxc","wtf","wxc"
"new york","buffalo","university at buffalo    the state university of new york","mtf","mxc","wtf","wxc"
"new york","cattaraugus","st. bonaventure    university","&nbsp;","mxc","&nbsp;","wxc"
"new york","hamilton","colgate university","mtf","mxc","wtf","wxc"
"new york","hamlin park","canisius college","&nbsp;","mxc","&nbsp;","wxc"
"new york","hempstead","hofstra university","&nbsp;","mxc","&nbsp;","wxc"
"new york","ithaca","cornell university","mtf","mxc","wtf","wxc"
"new york","lewiston","niagara university","&nbsp;","mxc","&nbsp;","wxc"
"new york","loudonville","siena college","&nbsp;","mxc","&nbsp;","wxc"
"new york","manhattan","manhattan college","mtf","mxc","wtf","wxc"
"new york","morningside heights","columbia    university-barnard college","mtf","mxc","wtf","wxc"
"new york","new rochelle","iona college","mtf","mxc","wtf","wxc"
"new york","new york","fordham university","mtf","mxc","wtf","wxc"
"new york","poughkeepsie","marist college","mtf","mxc","wtf","wxc"
"new york","queens","st. john's    university (new york)","&nbsp;","&nbsp;","wtf","wxc"
"new york","staten island","wagner college","mtf","mxc","wtf","wxc"
"new york","stony brook","stony brook university","mtf","mxc","wtf","wxc"
"new york","syracuse","syracuse university","mtf","mxc","wtf","wxc"
"new york","west point","u.s. military academy","mtf","mxc","wtf","wxc"
"north carolina","asheville","university    of north carolina asheville","mtf","mxc","wtf","wxc"
"north carolina","boiling springs","gardner-webb university","mtf","mxc","wtf","wxc"
"north carolina","boone","appalachian state university","mtf","mxc","wtf","wxc"
"north carolina","buies creek","campbell university","mtf","mxc","wtf","wxc"
"north carolina","chapel hill","university of north    carolina chapel hill","mtf","mxc","wtf","wxc"
"north carolina","charlotte","university of north    carolina charlotte","mtf","mxc","wtf","wxc"
"north carolina","cullowhee","western carolina    university","mtf","mxc","wtf","wxc"
"north carolina","davidson","davidson college","mtf","mxc","wtf","wxc"
"north carolina","durham","duke university","mtf","mxc","wtf","wxc"
"north carolina","elon","elon university","&nbsp;","mxc","wtf","wxc"
"north carolina","greensboro","north carolina a&amp;t    state university","mtf","mxc","wtf","wxc"
"north carolina","greensboro","university of north    carolina at greensboro","mtf","mxc","wtf","wxc"
"north carolina","greenville","east carolina university","mtf","mxc","wtf","wxc"
"north carolina","high point","high point    university","mtf","mxc","wtf","wxc"
"north carolina","raleigh","north carolina state    university","mtf","mxc","wtf","wxc"
"north carolina","wake forest","wake    forest university","mtf","mxc","wtf","wxc"
"north carolina","wilmington","university of north    carolina wilmington","mtf","mxc","wtf","wxc"
"ohio","akron","university of akron","mtf","mxc","wtf","wxc"
"ohio","athens","ohio university","&nbsp;","mxc","wtf","wxc"
"ohio","bowling green","bowling green state    university","&nbsp;","mxc","wtf","wxc"
"ohio","cincinnati","university of cincinnati","mtf","mxc","wtf","wxc"
"ohio","cincinnati","xavier university","mtf","mxc","wtf","wxc"
"ohio","cleveland","cleveland state    university","&nbsp;","&nbsp;","&nbsp;","wxc"
"ohio","columbus","ohio state    university","mtf","mxc","wtf","wxc"
"ohio","dayton","university of dayton","&nbsp;","mxc","wtf","wxc"
"ohio","dayton","wright state university","mtf","mxc","wtf","wxc"
"ohio","kent","kent state    university","mtf","mxc","wtf","wxc"
"ohio","miami","miami university","mtf","mxc","wtf","wxc"
"ohio","toledo","university of toledo","&nbsp;","mxc","wtf","wxc"
"ohio","youngstown","youngstown state    university","mtf","mxc","wtf","wxc"
"oklahoma","norman","university of oklahoma","mtf","mxc","wtf","wxc"
"oklahoma","stillwater","oklahoma state university","mtf","mxc","wtf","wxc"
"oklahoma","tulsa","oral roberts    university","mtf","mxc","wtf","wxc"
"oklahoma","tulsa","university of tulsa","mtf","mxc","wtf","wxc"
"oregon","corvallis","oregon state university","&nbsp;","&nbsp;","wtf","wxc"
"oregon","eugene","university of oregon","mtf","mxc","wtf","wxc"
"oregon","portland","portland state university","mtf","mxc","wtf","wxc"
"oregon","portland","university of    portland","mtf","mxc","wtf","wxc"
"pennsylvania","bethlehem","lehigh university","mtf","mxc","wtf","wxc"
"pennsylvania","easton","lafayette college","mtf","mxc","wtf","wxc"
"pennsylvania","lewisburg","bucknell university","mtf","mxc","wtf","wxc"
"pennsylvania","loretto","saint francis    university (pennsylvania)","mtf","mxc","wtf","wxc"
"pennsylvania","moon township","robert morris    university","mtf","mxc","wtf","wxc"
"pennsylvania","philadelphia","la salle university","mtf","mxc","wtf","wxc"
"pennsylvania","philadelphia","saint joseph's university","mtf","mxc","wtf","wxc"
"pennsylvania","philadelphia","temple university","mtf","mxc","wtf","wxc"
"pennsylvania","philadelphia","university of    pennsylvania","mtf","mxc","wtf","wxc"
"pennsylvania","philadelphia","villanova university","mtf","mxc","wtf","wxc"
"pennsylvania","pittsburgh","duquesne university","mtf","mxc","wtf","wxc"
"pennsylvania","pittsburgh","university of    pittsburgh","mtf","mxc","wtf","wxc"
"pennsylvania","state college","pennsylvania state    university","mtf","mxc","wtf","wxc"
"rhode island","kingston","university of rhode island","mtf","mxc","wtf","wxc"
"rhode island","providence","brown university","mtf","mxc","wtf","wxc"
"rhode island","providence","providence college","mtf","mxc","wtf","wxc"
"south carolina","charleston","charleston southern    university","mtf","mxc","wtf","wxc"
"south carolina","charleston","college of charleston    (south carolina)","&nbsp;","mxc","wtf","wxc"
"south carolina","charleston","the citadel","mtf","mxc","wtf","wxc"
"south carolina","clemson","clemson university","mtf","mxc","wtf","wxc"
"south carolina","columbia","university    of south carolina columbia","mtf","&nbsp;","wtf","wxc"
"south carolina","conway","coastal carolina    university","mtf","mxc","wtf","wxc"
"south carolina","greenville","furman university","mtf","mxc","wtf","wxc"
"south carolina","orangeburg","south carolina state    university","mtf","mxc","wtf","wxc"
"south carolina","rock hill","winthrop university","mtf","mxc","wtf","wxc"
"south carolina","spartanburg","wofford college","mtf","mxc","wtf","wxc"
"tennessee","belmont","belmont    university","mtf","mxc","wtf","wxc"
"tennessee","chattanooga","university of tennessee at    chattanooga","mtf","mxc","wtf","wxc"
"tennessee","clarksville","austin peay state    university","&nbsp;","mxc","wtf","wxc"
"tennessee","cookeville","tennessee technological    university","&nbsp;","mxc","wtf","wxc"
"tennessee","johnson city","east tennessee state    university","mtf","mxc","wtf","wxc"
"tennessee","knoxville","university of tennessee    knoxville","mtf","mxc","wtf","wxc"
"tennessee","martin","university of tennessee    at martin","&nbsp;","mxc","&nbsp;","wxc"
"tennessee","memphis","university of memphis","mtf","mxc","wtf","wxc"
"tennessee","murfreesboro","middle tennessee    state university","mtf","mxc","wtf","wxc"
"tennessee","nashville","lipscomb    university","mtf","mxc","wtf","wxc"
"tennessee","nashville","tennessee state    university","mtf","mxc","wtf","wxc"
"tennessee","nashville","vanderbilt university","&nbsp;","mxc","wtf","wxc"
"texas","arlington","university of texas at    arlington","mtf","mxc","wtf","wxc"
"texas","austin","university of texas at    austin","mtf","mxc","wtf","wxc"
"texas","beaumont","lamar university","mtf","mxc","wtf","wxc"
"texas","college station","texas a&amp;m    university college station","mtf","mxc","wtf","wxc"
"texas","corpus christi","texas a&amp;m    university-corpus christi","mtf","mxc","wtf","wxc"
"texas","dallas","southern methodist    university","&nbsp;","&nbsp;","wtf","wxc"
"texas","denton","university of north    texas","mtf","mxc","wtf","wxc"
"texas","edinburgh","university of texas pan    american","mtf","mxc","wtf","wxc"
"texas","el paso","university of texas    at el paso","mtf","mxc","wtf","wxc"
"texas","forth worth","texas christian university","mtf","mxc","wtf","wxc"
"texas","houston","rice university","mtf","mxc","wtf","wxc"
"texas","houston","texas    southern university","mtf","&nbsp;","wtf","&nbsp;"
"texas","houston","university of houston","mtf","mxc","wtf","wxc"
"texas","huntsville","sam houston state    university","mtf","mxc","wtf","wxc"
"texas","lubbock","texas tech university","mtf","mxc","wtf","wxc"
"texas","nacogdoches","stephen f. austin state    university","mtf","mxc","wtf","wxc"
"texas","prairie view","prairie view a&amp;m    university","mtf","mxc","wtf","wxc"
"texas","san antonio","university of texas at san    antonio","mtf","mxc","wtf","wxc"
"texas","san marcos","texas state    university-san marcos","mtf","mxc","wtf","wxc"
"texas","waco","baylor university","mtf","mxc","wtf","wxc"
"utah","cedar city","southern utah    university","mtf","mxc","wtf","wxc"
"utah","logan","utah state university","mtf","mxc","wtf","wxc"
"utah","ogden","weber    state university","mtf","mxc","wtf","wxc"
"utah","orem","utah valley state    college","mtf","mxc","wtf","wxc"
"utah","provo","brigham young university","mtf","mxc","wtf","wxc"
"utah","salt lake city","university of utah","&nbsp;","&nbsp;","wtf","wxc"
"vermont","burlington","university of vermont","mtf","mxc","wtf","wxc"
"virginia","blacksburg","virginia polytechnic    institute &amp; state university","mtf","mxc","wtf","wxc"
"virginia","charlotteville","university of    virginia","mtf","mxc","wtf","wxc"
"virginia","fairfax","george mason university","mtf","mxc","wtf","wxc"
"virginia","farmville","longwood university","&nbsp;","mxc","&nbsp;","wxc"
"virginia","hampton","hampton university","mtf","mxc","wtf","wxc"
"virginia","harrisonburg","james madison university","&nbsp;","&nbsp;","wtf","wxc"
"virginia","lexington","virginia military    institute","mtf","mxc","wtf","wxc"
"virginia","lynchburg","liberty university","mtf","mxc","wtf","wxc"
"virginia","norfolk","norfolk state    university","mtf","mxc","wtf","wxc"
"virginia","radford","radford university","mtf","mxc","wtf","wxc"
"virginia","richmond","university of    richmond","mtf","mxc","wtf","wxc"
"virginia","richmond","virginia commonwealth    university","mtf","mxc","wtf","wxc"
"virginia","williamsburg","college of william and    mary","mtf","mxc","wtf","wxc"
"washington","cheney","eastern washington    university","mtf","mxc","wtf","wxc"
"washington","pullman","washington    state university","mtf","mxc","wtf","wxc"
"washington","seattle","university of washington","mtf","mxc","wtf","wxc"
"washington","spokane","gonzaga university","mtf","mxc","wtf","wxc"
"west virginia","huntington","marshall university","&nbsp;","mxc","wtf","wxc"
"west virginia","morgantown","west virginia    university","&nbsp;","&nbsp;","wtf","wxc"
"wisconsin","green bay","university of wisconsin    green bay","&nbsp;","mxc","&nbsp;","wxc"
"wisconsin","madison","university of wisconsin    madison","mtf","mxc","wtf","wxc"
"wisconsin","milwaukee","marquette university","mtf","mxc","wtf","wxc"
"wisconsin","milwaukee","university of    wisconsin milwaukee","mtf","mxc","wtf","wxc"
"wyoming","laramie","university of    wyoming","mtf","mxc","wtf","wxc"
