"order","surah name and name meaning  the holy quran","chapter-&#1575;&#1604;&#1580;&#1586;&#1569;","verses","page","mp3 files"
"44","ad-dukhan ( the smoke )","25","59","496","NULL"
"45","al-jathiya ( crouching )","25","37","499","NULL"
"46","al-ahqaf ( the curved sand-hills )","26","35","502","NULL"
"47","muhammad","26","38","5-7","NULL"
"48","al-fath ( the victory )","26","29","511","NULL"
"49","al-hujurat ( the dwellings )","26","18","515","NULL"
"50","qaf ( the letter qaf )","26","45","518","NULL"
"51","adh-dhariyat ( the wind that scatter )","26","60","520","NULL"
"52","at-tur ( the mount )","27","49","523","NULL"
"53","an-najm ( the star )","27","62","526","NULL"
"54","al-qamar ( the moon )","27","55","528","NULL"
"55","ar-rahman ( the most graciouse )","27","78","531","NULL"
"56","al-waqi'ah ( the event )","27","96","534","NULL"
"57","al-hadid ( the iron )","27","29","537","NULL"
"58","al-mujadilah ( she that disputeth )","28","22","542","NULL"
"59","al-hashr ( the gathering )","28","24","545","NULL"
"60","al-mumtahanah ( the woman to be examined )","28","13","549","NULL"
"61","as-saff ( the row )","28","14","551","NULL"
"62","al-jumu'ah ( friday )","28","11","553","NULL"
"63","al-munafiqoon ( the hypocrites )","28","11","554","NULL"
"64","at-taghabun ( mutual loss &amp; gain )","28","18","556","NULL"
"65","at-talaq ( the divorce )","28","12","558","NULL"
"66","at-tahrim ( the prohibition )","28","12","560","NULL"
"67","al-mulk ( dominion )","29","30","562","NULL"
"68","al-qalam ( the pen )","29","52","564","NULL"
"69","al-haaqqah ( the inevitable )","29","52","566","NULL"
"70","al-ma'arij (the ways of ascent )","29","44","568","NULL"
"71","nooh","29","28","570","NULL"
"72","al-jinn ( the jinn )","29","28","572","NULL"
"73","al-muzzammil (the one wrapped in garments)","29","20","574","NULL"
"74","al-muddaththir ( the one enveloped )","29","56","575","NULL"
"75","al-qiyamah ( the resurrection )","29","40","577","NULL"
"76","al-insan ( man )","29","31","578","NULL"
"77","al-mursalat ( those sent forth )","29","50","580","NULL"
"78","an-naba' ( the great news )","30","40","582","NULL"
"79","an-nazi'at ( those who pull out )","30","46","583","NULL"
"80","abasa ( he frowned )","30","42","585","NULL"
"81","at-takwir ( the overthrowing )","30","29","586","NULL"
"82","al-infitar ( the cleaving )","30","19","587","NULL"
"83","al-mutaffifin (those who deal in fraud)","30","36","587","NULL"
"84","al-inshiqaq (the splitting asunder)","30","25","589","NULL"
"85","al-burooj ( the big stars )","30","22","590","NULL"
"86","at-tariq ( the night-comer )","30","17","591","NULL"
"87","al-a'la ( the most high )","30","19","591","NULL"
"88","al-ghashiya ( the overwhelming )","30","26","592","NULL"
"89","al-fajr ( the dawn )","30","30","593","NULL"
"90","al-balad ( the city )","30","20","594","NULL"
"91","ash-shams ( the sun )","30","15","595","NULL"
"92","al-layl ( the night )","30","21","595","NULL"
"93","ad-dhuha ( the forenoon )","30","11","596","NULL"
"94","as-sharh ( the opening forth)","30","8","596","NULL"
"95","at-tin ( the fig )","30","8","597","NULL"
"96","al-'alaq ( the clot )","30","19","597","NULL"
"97","al-qadr ( the night of decree )","30","5","598","NULL"
"98","al-bayyinah ( the clear evidence )","30","8","598","NULL"
"99","az-zalzalah ( the earthquake )","30","8","599","NULL"
"100","al-'adiyat ( those that run )","30","11","599","NULL"
"101","al-qari'ah ( the striking hour )","30","11","600","NULL"
"102","at-takathur ( the piling up )","30","8","600","NULL"
"103","al-asr ( the time )","30","3","601","NULL"
"104","al-humazah ( the slanderer )","30","9","601","NULL"
"105","al-fil ( the elephant )","30","5","601","NULL"
"106","quraish","30","4","602","NULL"
"107","al-ma'un ( small kindnesses )","30","7","602","NULL"
"108","al-kauther ( a river in paradise)","30","3","602","NULL"
"109","al-kafiroon ( the disbelievers )","30","6","603","NULL"
"110","an-nasr ( the help )","30","3","603","NULL"
"111","al-masad ( the palm fiber )","30","5","603","NULL"
"112","al-ikhlas ( sincerity )","30","4","604","NULL"
"113","al-falaq ( the daybreak )","30","5","604","NULL"
"114","an-nas ( mankind )","30","6","604","NULL"
