"tree  number","botanical name","afrikaanse naam","english name","origin"
"x666","aesculus x carnea","rooiperdekastaiing","red horse-chestnut","n amer"
"x16","agathis robusta","queenslandse kauri","queensland kauri","aust."
"x240","agave americana","garingboom","century plant","mex"
"x850","agonis flexuosa","wilgermirt","willow myrtle","aust"
"x851","agonis juniperina","jenewermirt","juniper myrtle","aust"
"x590","ailanthus altissima","hemelboom","tree-of-heaven","china"
"x480","albizia chinensis","chinese valsdoring","chinese false-thorn","china india"
"x481","albizia distachya","australiese valsdoring","australian false-thorn","aust"
"x482","albizia julibrissin","syboom","silk tree","asia japan"
"x483","albizia lebbeck","lebbeckboom","lebbeck tree","trop asia"
"x484","albizia procera","basterlebbeck","false lebbeck","trop asia aust"
"x614","aleurites fordii","tungboom","tung tree","asia"
"x615","aleurites moluccana","kersneutboom","candle-nut tree","se asia"
"x281","alnus cordata","italiaanse els","italian alder","medit"
"x282","alnus glutinosa","swartels","black alder","eur asia"
"x283","alnus incana","europese witels","european white alder","eur asia"
"x284","alnus oregona","amerikaanse rooiels","american red alder","n amer"
"x452","amelanchier canadensis","kanadese rotsmispel","canadian shad bush","n amer"
"x453","amelanchier laevis","rotsmispel","shad bush","n amer"
"x512","amherstia nobilis","birmaanse vlamboom","burmese flame tree","burma"
"x633","anacardium occidentale","kasjoeboom","cashew","trop amer"
"x793","angophora costata","appelmirt","apple myrtle","aust"
"x395","annona cherimola","vla-appel","cherimoya","trop amer"
"x395.1","annona reticulata","bulhart","bullocks heart","trop amer"
"x406","anopterus glandulosus","tasmanlourier","tasmanian laurel","aust"
"x17","araucaria angustifolia","paranaden","parana pine","braz arg"
"x18","araucaria araucana","kandelaarkroonspar","monkey puzzle","chile"
"x19","araucaria bidwillii","boenjaboenja","bunya-bunya","aust."
"x20","araucaria columnaris","nieu-caledoniese den","new caledonian pine","new cal"
"x21","araucaria cunninghamii","hoepelden","hoop pine","aust."
"x22","araucaria heterophylla","norfolkeilandden","norfolk island pine","norf.is"
"x899","arbutus unedo","aarbeiboom","strawberry tree","s eur"
"x205","archontophoenix alexandrae","klompvoetkoningpalm","club-foot king palm","aust"
"x206","archontophoenix alexandrae var                        beatricea","ringtrapkoningpalm","ring-step king palm","aust"
"x207","archontophoenix cunninghamiana","koningpalm","king palm","aust"
"x901","ardisia crenata","koraalbessieboom","coralberry tree","india se asia japan"
"x215","arecastrum romanzoffianum","koninginpalm","queen palm","braz arg"
"x156","arenga engleri","dwergsuikerpalm","dwarf sugar palm","taiwan"
"x157","arenga pinnata","suikerpalm","sugar palm","mal."
"x332","artocarpus altilis","broodvrugteboom","bread-fruit tree","mal."
"x333","artocarpus heterophyllus","nangkaboom","jack-fruit tree","indiamal"
"x648","astronium balansae","rooi quebracho","red quebracho","s amer"
"x370","atriplex nummularia","oumansoutbos","old man's salt bush","aust"
"x748","azara integrifolia","gouespits-asara","gold spire azara","chile"
"x749","azara lanceolata","smalblaar-asara","lance-leaved azara","chile"
"x750","azara microphylla","buksblaar-asara","box-leaved azara","chile"
"x226","bactris gasipaes","perskepalm","peach palm","peru"
"x227","bactris guineensis","tobagoriet","tobago cane","c.amer"
"x228","bactris major","doringpalm","prickly palm","c.amer"
"x103","bambusa arundinacea","steekbamboes","thorny bamboo","india"
"x104","bambusa balcooa","gewone bamboes","common bamboo","india"
"x365","banksia grandis","reusebanksia","giant banksia","aust"
"x366","banksia integrifolia","gewone banksia","common banksia","aust"
"x367","banksia menziesii","oranjebanksia","orange banksia","aust"
"x368","banksia serrata","bloubanksia","blue banksia","aust"
"x520","bauhinia blakeana","geurorgide&euml;bome","fragrant orchid tree","china"
"x521","bauhinia forficata","doringorgide&euml;boom","thorny orchid tree","s.amer"
"x522","bauhinia purpurea","skoenlapperorgide&euml;boom","butterfly orchid tree","india mal"
"x523","bauhinia variegata","witorgide&euml;boom","white orchid tree","india china"
"x276","betula albo-sinensis","chinese berk","chinese birch","china"
"x277","betula alleghaniensis","geelberk","yellow birch","n amer"
"x278","betula maximowicziana","koningsberk","monarch birch","japan."
"x279","betula papyrifera","papierberk","paper birch","n amer"
"x280","betula pendula","silwerberk","silver birch","eur.w.asia"
"x745","bixa orellana","orleaan","annatto","trop amer"
"x714","bombax ceiba","rooikapok","red cotton tree","trop asia"
"x722","brachychiton acerifolium","australiese vlamboom","australian flame tree","aust"
"x723","brachychiton discolor","pienk vlamboom","pink flame tree","aust"
"x724","brachychiton populneum","koerajong","kurrajong","aust"
"x126","brahea edulis","guadalupepalm","guadalupe palm","mex"
"x874","brassaia actinophylla","australiese kiepersol","australian cabbage tree","aust"
"x514","brownea coccinea","rooivlamboontjie","scarlet flame bean","venez"
"x515","brownea grandiceps","roos-van-venezuela","rose-of-venezuela","venez"
"x516","brownea macrophylla","rooikwas","rouge puff","c.amer"
"x965","brugmansia suaveolens","engeltrompet","angel's trumpet","braz"
"x964","brugmansia x candida","maanblom","moonflower","c amer"
"x345","buckinghamia celsissima","ivoorkrulblom","ivory curl flower","aust"
"x927","buddleja asiatica","asiatiese saliehout","asian sagewood","e asia"
"x928","buddleja davidii","chinese saliehout","chinese sagewood","china"
"x929","buddleja madagascariensis","madagaskarsaliehout","madagascar sagewood","madag"
"x573","butea monosperma","vlam-van-die-bosse","flame-of-the-forest","india burma"
"x216","butia capitata","jeleipalm","jelly palm","braz"
"x217","butia yatay","jateipalm","yatay palm","arg"
"x630","buxus sempervirens","gewone buksboom","common box","eur"
"x547","caesalpinia ferrea","brasielysterhout","brazilian ironwood","braz"
"x853","callistemon citrinus","lemoenperdestert","lemon bottlebrush","aust"
"x854","callistemon salignus","geelperderstert","yellow bottlebrush","aust"
"x855","callistemon speciosus","albany-perdestert","albany bottlebrush","aust"
"x856","callistemon viminalis","treurperdestert","weeping bottlebrush","aust"
"x72","callitris columellaris","witsipresden","white cypress pine","aust."
"x73","callitris endlicheri","swartsipresden","black cypress pine","aust."
"x74","callitris preissii","gewone sipresden","common cypress pine","aust."
"x75","callitris rhomboidea","duinesipresden","dune cypress pine","aust."
"x78","calocedrus decurrens","wierookseder","incense cedar","n.amer"
"x728","camellia japonica","gewone kamelia","common camellia","japan"
"x729","camellia sinensis","tee","tea","e asia"
"x602","carapa grandiflora","oegandese aaphout","uganda crabwood","e.afr"
"x755","carica papaya","papaja","papaw","trop amer"
"x191","carpentaria acuminata","noord-australiese veerpalm","north-australian feather palm","aust"
"x273","carpinus betulus","gewone hagebeuk","common hornbeam","eur.w.asia"
"x271","carya illinoinensis","pekanboom","pecan tree","n.amer mex"
"x153","caryota cumingii","ringtrapvisstertpalm","ring-step fish-tail palm","phillip"
"x154","caryota mitis","boskasievisstertpalm","clustered fish-tail palm","burma india mal phillipp"
"x155","caryota urens","gewone visstertpalm","common fish-tail palm","india mal"
"x578","casimiroa edulis","wit sapot","white sapote","mex"
"x526","cassia brewsteri","sigaarkassie","cigar cassia","aust"
"x527","cassia carnaval","gouekroonboom","crown-of-gold tree","arg"
"x528","cassia fistula","gouere&euml;n","golden shower","india"
"x529","cassia grandis","perdekassie","horse cassia","trop amer"
"x530","cassia javanica","pienkre&euml;n","pink shower","se.asia"
"x531","cassia moschata","bronsre&euml;n","bronze shower","c.amer"
"x532","cassia multijuga","brasielre&euml;n","brazil shower","braz"
"x533","cassia renigera","birmare&euml;n","burmese shower","burma"
"x534","cassia siamea","kassodboom","kassod tree","se.asia"
"x535","cassia spectabilis","lekkerruik-kassie","scented cassia","trop.amer"
"x292","castanea dentata","amerikaanse kastaiing","american chestnut","n amer"
"x293","castanea sativa","soetkastaiing","sweet chestnut","s.eur"
"x551","castanospermum australe","australiese kastaiing","australian chestnut","aust"
"x245","casuarina cunninghamiana","kasuarisboom","beefwood","aust"
"x246","casuarina equisetifolia","perdestertboom","horsetail tree","aust se.asia"
"x247","casuarina glauca","moeraskasuarisboom","swamp she-oak","aust"
"x973","catalpa bignonioides","wes-indiese boontjieboom","indian bean","n amer"
"x331","cecropia palmata","slanghoutboom","snakewood tree","w.ind s.amer"
"x594","cedrela odorata","rooiseder","west indian cedar","w ind s amer"
"x592","cedrela sinensis","chinese toonboom","chinese toon tree","china"
"x593","cedrela toona","toonboom","toon tree","india"
"x44","cedrus atlantica","atlasseder","atlas cedar","n.afr"
"x45","cedrus brevifolia","ciprusseder","cyprus cedar","cyp"
"x46","cedrus deodara","deodaar","deodar","himal"
"x47","cedrus libani","libanonseder","cedar-of-lebanon","medit"
"x719","ceiba pentandra","kapokboom","kapok tree","pantrop"
"x322","celtis australis","netelboom","nettle tree","medit"
"x323","celtis sinensis","chinese netelboom","chinese nettle tree","china korea japan"
"x524","ceratonia siliqua","johannesbroodboom","carob","medit"
"x415","ceratopetalum gummiferum","australiese witels","australian white alder","aust"
"x374","cercidiphyllum japonicum","katsoeraboom","katsura tree","japan china"
"x518","cercis siliquastrum","judasboom","judas tree","s.eur. w asia"
"x757","cereus peruvianus","boomkaktus","tree cactus","tex mex"
"x92","chamaecyparis funebris","treursipres","weeping cypress","china"
"x93","chamaecyparis lawsoniana","lawsonsipres","lawson cypress","n.amer"
"x94","chamaecyparis nootkatensis","geelsipres","yellow cypress","n.amer"
"x95","chamaecyparis obtusa","hinokisipres","hinoki cypress","japan"
"x96","chamaecyparis pisifera","sawarasipres","sawara cypress","japan"
"x162","chamaedorea elegans","huispalm","parlour palm","mex"
"x112","chamaerops humilis","europese waaierpalm","european fan palm","medit"
"x972","chilopsis linearis","woestynwilger","desert willow","tex mex calif"
"x921","chionanthus virginicus","fraiingboom","fringe tree","n amer"
"x330","chlorophora excelsa","irokoboom","iroquo tree","e.afr"
"x718","chorisia speciosa","brasielkapok","brazil kapok","braz arg"
"x164","chrysalidocarpus lutescens","geelbamboespalm","yellow bamboo palm","madag"
"x165","chrysalidocarpus madagascariensis","madagaskarbamboespalm","madagascar bamboo palm","madag"
"x905","chrysophyllum oliviforme","satynblaarboom","satin-leaf tree","c &amp; s amer"
"x598","chukrasia tabularis","indiese mahonie","indian mahogany","india"
"x396","cinnamomum camphora","kanferboom","camphor tree","china japan"
"x948","citharexylum quadrangulare","vioolhout","fiddlewood","c amer"
"x583","citrus aurantiifolia","lemmetjie","lime","india se.asia"
"x584","citrus grandis","pompelmoes","shaddock","polynesia"
"x586","citrus limon","suurlemoen","lemon","se.asia"
"x587","citrus reticulata","nartjie","mandarin","se.asia"
"x588","citrus sinensis","soetlemoen","orange","china"
"x585","citrus x paradisi","bitterlemoen","grapefruit","w.ind"
"x555","cladrastis lutea","amerikaanse geelhout","american yellowwood","n amer"
"x892","clethra arborea","valleilelieboom","lily-of-the-valley tree","madeira"
"x738","clusia rosea","balsemappel","balsam apple","w ind mex flor"
"x115","coccothrinax dussiana","wes-indiese silwerpalm","west indian silver palm","w.ind"
"x116","coccothrinax fragrans","bastersilwerpalm","false silver palm","w.ind"
"x117","coccothrinax miraguama","kubaanse silwerpalm","cuban silver palm","cuba"
"x746","cochlospermum vitifolium","skulpsaadboom","shellseed tree","c &amp; s amer"
"x214","cocos nucifera","kokospalm","coconut palm","melanesia"
"x995","coffea arabica","koffieboom","coffee tree","trop afr"
"x544","colvillea recemosa","valsflambojant","false flamboyant","madag"
"x140","copernicia prunifera","brasiliaanse waspalm","carnauba palm","braz"
"x946","cordia myxa","indiese pieringbessie","indian saucer-berry","india aust"
"x236","cordyline australis","reusedrakeboom","giant dragon tree","n.z"
"x237","cordyline indivisa","bloudrakeboom","blue dragon tree","n.z"
"x238","cordyline stricta","liladrakeboom","lilac dragon tree","aust"
"x239","cordyline terminalis","boom-van-die-konings","tree-of-kings","e.asia"
"x885","cornus capitata","immergroen kornoelie","evergreen cornel","himal"
"x886","cornus florida","blomkornoelie","flowering cornel","n amer"
"x887","cornus kousa","kousa kornoelie","kousa cornel","japan"
"x888","cornus mas","geel kornoelie","cornelian cherry","eur w asia"
"x889","cornus nuttallii","bergkornoelie","mountain cornel","n amer"
"x890","cornus sanguinea","rooikornoelie","red cornel","eur"
"x275","corylus maxima","pershaselaar","purple hazel","se.eur"
"x649","corynocarpus laevigatus","nieu-seelandse lourier","new zealand laurel","n.z"
"x118","corypha umbraculifera","talipotpalm","talipot palm","india"
"x642","cotinus coggyria","rookboom","smoke tree","s.eur asia"
"x428","cotoneaster frigidus","reusepronkbessie","giant showberry","himal"
"x429","cotoneaster salicifolius","wilgerblaarpronkbessie","willow-leaved show-berry","china"
"x455","crataegus crus-galli","hanedoring","cockspur thorn","n amer"
"x456","crataegus laevigata","gewone haagdoring","english hawthorn","eur"
"x457","crataegus lavallei","lavall&eacute;edoring","lavell&eacute;e thorn","mex"
"x458","crataegus phaenopyrum","blinkhaagdoring","washington thorn","n amer"
"x690","crinodendron hookeranum","lanternboom","lantern tree","chile"
"x691","crinodendron patagua","witlelieboom","white lily tree","chile"
"x610","croton magalocarpus","grootblaarkoorsbessie","large-leaved fever-berry","trop afr"
"x69","cryptomeria japonica","japanse seder","japanese cedar","japan"
"x84","cupressus arizonica","arizonasipres","arizona cypress","ariz tex mex"
"x85","cupressus glabra","blousipres","blue cypress","ariz"
"x86","cupressus goveniana","gowensipres","gowen cypress","calif"
"x87","cupressus lusitanica","mexikaanse sipres","mexican cypress","mex"
"x88","cupressus macrocarpa","swartsipres","black cypress","calif"
"x89","cupressus sempervirens var.                        horizontalis","gewone sipresden","common cypress","medit"
"x90","cupressus sempervirens var.                        sepervirens","kerkhofsipres","churchyard cypress","medit"
"x91","cupressus torulosa","himalajasipres","himalayan cypress","himal"
"x983","cybistax donnell-smithii","lenteboom","primavera","mex"
"x1","cycas circinalis","pronksago","queen sago","trop. asia"
"x2","cycas revoluta","sagopalm","sago palm","japan"
"x3","cycas thouarsii","madagaskarsikadee","malagasy cycad","madag."
"x962","cyphomandra betacea","boomtamatie","tree tomato","peru"
"x12","dacrydium cupressinum","rimoegeelhout","rimu yellowwood","n.z"
"x152","daemonorops margaritae","hongkongse rottangpalm","hongkong rattan palm","hongk phillipp"
"x883","davidia involucrata","duiweboom","dove tree","china"
"x545","delonix regia","flambojant","flamboyant","madag"
"x4","dicksonia antarctica","tasmaniese boomvaring","tasmanian tree fern","aust."
"x203","dictyosperma album","gewone prinsespalm","common princess palm","masc is"
"x204","dictyosperma aureum","geelprinsespalm","yellow princess palm","masc is"
"x907","diospyros kaki","chinese tamatieboom","chinese persimmon","china japan"
"x235","dracaena draco","drakeboom","dragon tree","can.is"
"x394","drimys winteri","laventelbas","winter's bark","chile arg"
"x949","duranta erecta","vergeet-my-nie-boom","forget-me-not tree","c amer"
"x764","elaeagnus pungens","bont oleaster","variegated oleaster","china japan"
"x210","elaeis guineensis","oliepalm","oil palm","w. afr"
"x686","elaeocarpus dentatus","skynolyf","mock olive","n.z"
"x687","elaeocarpus grandis","reusebloubessie-es","giant blue-berry ash","aust"
"x688","elaeocarpus reticulatus","bloubessie-es","blue-berry ash","aust"
"x356","embothrium coccineum","chileense vuurboom","chilean fire tree","chile arg"
"x507","entada abyssinica","raampeulwattel","frame-pod wattle","e.afr"
"x599","entandrophragma utile","sapelemahonie","sapele mahogany","trop afr"
"x477","enterolobium contortisiliquum","swartoor","black ear","braz"
"x449","eriobotrya japonica","lukwart","loquat","japan china"
"x569","erythrina abyssinica","ethiopiese koraalboom","ethiopian coral tree","e.afr"
"x570","erythrina corallodendron","wes-indiese koraalboom","west indian coral tree","w.ind"
"x571","erythrina crista-galli","hoenderspoorkoraalboom","cockspur coral tree","s.amer"
"x572","erythrina livingstoniana","mossambiekse koraalboom","mozambique coral tree","mozamb"
"x794","eucalyptus alba","witbloekom","white gum","aust"
"x795","eucalyptus bosistoana","buksbloekom","box gum","aust"
"x796","eucalyptus botryoides","bangalaai","bangalay","aust"
"x797","eucalyptus bridgesiana","appelbuksbloekom","apple box gum","aust"
"x798","eucalyptus calophylla","witblombloekom","white flowering gum","aust"
"x799","eucalyptus camaldulensis","rooibloekom","red gum","aust"
"x800","eucalyptus cinerea","floristebloekom","florist's gum","aust"
"x801","eucalyptus citriodora","lemoenbloekom","lemon-scented gum","aust"
"x802","eucalyptus cladocalyx","suikerbloekom","sugar gum","aust"
"x803","eucalyptus cloeziana","ysterbloekom","iron gum","aust"
"x804","eucalyptus cornuta","jet","yate","aust"
"x805","eucalyptus crebra","smalblaarysterbas","narrow-leaved ironbark","aust"
"x806","eucalyptus dalrympleana","bergbloekom","mountain gum","aust"
"x807","eucalyptus delegatensis","bergessebloekom","alpine ash gum","aust"
"x808","eucalyptus diversicolor","karrie","karri","aust"
"x809","eucalyptus dives","bre&euml;blaarpeperment","broad-leaved peppermint","aust"
"x810","eucalyptus elata","rivierpeperment","river peppermint","aust"
"x811","eucalyptus fastigata","kapstertbloekom","cut-tail gum","aust"
"x812","eucalyptus ficifolia","rooiblombloekom","red-flowering gum","aust"
"x813","eucalyptus fraxinoides","witessebloekom","white ash gum","aust"
"x814","eucalyptus globoidea","witveselbasbloekom","white stringybark","aust"
"x815","eucalyptus globulus","bloekom","blue gum","aust"
"x816","eucalyptus gomphocephala","twartbloekom","tuart","aust"
"x817","eucalyptus grandis","salignabloekom","saligna gum","aust"
"x818","eucalyptus gummifera","bloedhout","bloodwood","aust"
"x819","eucalyptus lehmannii","spinnekopbloekom","spider gum","aust"
"x820","eucalyptus macarthurii","wolstambloekom","woollybutt","aust"
"x821","eucalyptus maculata","gevlektebloekom","spotted gum","aust"
"x822","eucalyptus maidenii","maiden-se-bloekom","maiden's gum","aust"
"x823","eucalyptus marginata","jarra","jarrah","aust"
"x824","eucalyptus melliodora","geelbuksbloekom","yellow box gum","aust"
"x825","eucalyptus microcorys","kersvetbloekom","tallow gum","aust"
"x826","eucalyptus muelleriana","geelveselbasbloekom","yellow stringybark","aust"
"x827","eucalyptus nitens","blinkbloekom","shiny gum","aust"
"x828","eucalyptus obliqua","tafelmaatbloekom","messmate gum","aust"
"x829","eucalyptus oreades","blouessebloekom","blue ash gum","aust"
"x830","eucalyptus paniculata","grysysterbasbloekom","grey ironbark","aust"
"x831","eucalyptus pauciflora","sneeubloekom","snow gum","aust"
"x832","eucalyptus pilularis","swartstambloekom","blackbutt gum","aust"
"x833","eucalyptus polyanthemos","rooibuksbloekom","red box gum","aust"
"x834","eucalyptus punctata","grysbloekom","grey gum","aust"
"x835","eucalyptus quadrangulata","sagte witbuksbloekom","soft white box gum","aust"
"x836","eucalyptus radiata","smalblaarpeperment","narrow-leaved peppermint","aust"
"x837","eucalyptus resinifera","rooimahoniebloekom","red mahogany gum","aust"
"x838","eucalyptus robusta","moerasmahoniebloekom","swamp mahogany gum","aust"
"x839","eucalyptus rubida","kersbasbloekom","candle-bark gum","aust"
"x840","eucalyptus sideroxylon","swartysterbasbloekom","black ironbark","aust"
"x841","eucalyptus sieberi","silweressebloekom","sivertop ash gum","aust"
"x842","eucalyptus smithii","swartstampeperment","blackbutt peppermint","aust"
"x843","eucalyptus tereticornis","bosrooibloekom","forest red gum","aust"
"x844","eucalyptus torquata","koraalbloekom","coral gum","aust"
"x845","eucalyptus viminalis","lintbloekom","ribbon gum","aust"
"x782","eugenia eucalyptoides","miemie","mimi","aust"
"x654","euonymus japonica","speekbeenboom","spindle tree","japan"
"x628","euphorbia pulcherrima","karlienblom","poinsettia","c.amer"
"x291","fagus sylvatica","europese beukeboom","european beech","eur"
"x776","feijoa sellowiana","pynappelkoejawel","pineapple guava","s amer"
"x335","ficus benghalensis","baniaanboom","banyan tree","india"
"x336","ficus benjamina","treurvy","weeping fig","indiamal"
"x337","ficus carica","makvy","edible fig","medit"
"x338","ficus elastica","rubbervy","rubber fig","india"
"x339","ficus macrophylla","australiese baniaan","australian banyan","aust"
"x340","ficus pumila","rankvy","creeping fig","e.asia"
"x341","ficus religiosa","stertblaarvy","peepul","india"
"x342","ficus retusa","maleise baniaan","malay banyan","mal."
"x343","ficus rubiginosa","port jacksonvy","port jackson fig","aust"
"x726","firmiana simplex","chinese sambreelboom","chinese parasol tree","e asia"
"x576","flindersia australis","australiese esseboom","australian ash","aust"
"x577","flindersia xanthoxyla","geelessenhout","yellowwood ash","aust"
"x912","fraxinus americana","amerikaanse esseboom","american ash","n amer"
"x913","fraxinus angustifolia","algeriese esseboom","algerian ash","s.eur n afr w asia"
"x914","fraxinus excelsior","europese esseboom","european ash","eur"
"x915","fraxinus ornus","blomesseboom","flowering ash","s eur w asia"
"x916","fraxinus pennsylvanica","groenesseboom","green ash","n amer"
"x917","fraxinus velutina","fluweelesseboom","velvet ash","ariz mex"
"x224","gastrococcos crispa","kubaanse ghroeghroepalm","cuban grugru palm","cuba"
"x5","ginkgo biloba","vrekboom","maidenhair tree","china"
"x537","gleditsia triacanthos","soetpeulboom","honey locust","n amer"
"x955","gmelina arborea","witkiaat","white teak","india"
"x346","grevillea banksii","australiese rooi-eik","australian crimson oak","aust"
"x347","grevillea robusta","australiese silwereik","australian silky oak","aust"
"x349","hakea gibbosa","rotshakea","rock hakea","aust"
"x350","hakea saligna","wilgerhakea","willow hakea","aust"
"x351","hakea suaveolens","soethakea","sweet hakea","aust"
"x352","hakea tenuifolia","silwerhakea","silky hakea","aust"
"x909","halesia carolina","sneeuklokkiesboom","snowdrop tree","n amer"
"x706","hibiscus mutabilis","boomstokroos","tree hollyhock","china"
"x707","hibiscus rosa-sinensis","chinese stokroos","chinese cotton rose","trop asia"
"x708","hibiscus syriacus","roos-van-saron","rose-of-sharon","e asia"
"x701","hoheria angustifolia","smalblaarkantbas","narrow-leaved lacebark","n.z"
"x702","hoheria lyallii","bre&euml;blaarkantbas","broad-leaved lacebark","n.z"
"x703","hoheria populacea","populierkantbas","poplar lacebark","n.z"
"x624","homalanthus populifolius","gebrokehartjieboom","bleeding-heart tree","aust se.asia"
"x683","hovenia dulcis","japanse rosyntjieboom","japanese raisin tree","japan"
"x179","howea belmoreana","belmore-skildwagpalm","belmore sentry palm","aust"
"x180","howea forsteriana","skildwagpalm","sentry palm","aust"
"x508","hymenaea verrucosa","oos-afrikaanse kopalboom","east african copal tree","e.afr"
"x414","hymenosporum flavum","soetkasuur","sweet cheesewood","aust"
"x166","hyophorbe lagenicaulis","bottelpalm","bottle palm","mauritius"
"x167","hyophorbe verschaffeltii","speekbeenpalm","spindle palm","rodriques is"
"x143","hyphaene schatan","madagaskar-waaierpalm","madagascar fan palm","madag"
"x752","idesia polycarpa","oranjekers","wonder tree","japan china"
"x650","ilex aquifolium","europese huls","english holly","eur"
"x651","ilex paraguariensis","mat&eacute;boom","mat&eacute; tree","s amer"
"x944","ipomoea arborescens","eendagskoonboom","morning glory tree","mex"
"x971","jacaranda mimosifolia","jakaranda","jacaranda","arg"
"x617","jatropha curcas","purgeerboontjie","physic nut","trop amer"
"x185","jessenia polycarpa","djagwapalm","jagua palm","trop. amer"
"x220","jubaea chilensis","heuningpalm","honey palm","chile"
"x269","juglans microcarpa","kleinvrugtige okkerneut","small-fruited walnut","n.amer mex"
"x270","juglans nigra","swart okkerneut","black walnut","eur.w.asia"
"x97","juniperus chinensis","chinese seweboom","chinese juniper","e.asia"
"x98","juniperus communis","gewone seweboom","common juniper","n.amer eur asia"
"x99","juniperus deppeana","kaaimanse seweboom","alligator juniper","tex ariz"
"x100","juniperus procera","afrikaanse seder","african cedar","e.afr"
"x101","juniperus virginiana","rooiseder","red cedar","n amer"
"x595","khaya nyasica","oos-afrikaanse mahonie","east african mahogany","e.afr"
"x596","khaya senegalensis","senegalmahonie","senegal mahogany","w.afr"
"x361","knightia excelsa","nieu-seelandse kanferfoelieboom","new zealand honeysuckle tree","n.z"
"x674","koelreuteria paniculata","trots-van-china","pride-of-china","china"
"x558","laburnum alpinum","skotse goueketting","scotch laburnum","s.eur"
"x559","laburnum anagyroides","goueketting","golden chain","eur"
"x183","laccospandix australasica","australiese polpalm","australian cluster palm","aust"
"x766","lagerstroemia indica","skubliesroos","pride-of-india","china"
"x767","lagerstroemia speciosa","koninginskubliesroos","queen crape myrtle","india china aust"
"x705","lagunaria patersonii","piramideboom","pyramid tree","aust norf.is"
"x48","larix decidua","europese lorkeboom","european larch","eur."
"x49","larix kaempferi","japanse lorkeboom","japanese larch","japan"
"x50","larix laricina","amerikaanse lorkeboom","american larch","n.amer"
"x145","latania loddigesii","bloulatan","blue latan","mauritius"
"x144","latania lontaroides","rooilatan","red latan","reunion"
"x146","latania verschaffeltii","geellatan","yellow latan","rodriques is"
"x402","laurus canariensis","kanariese lourier","canary laurel","can.is"
"x403","laurus nobilis","griekse lourier","greek laurel","medit"
"x848","leptospermum laevigatum","australiese mirteboom","australian myrtle","aust"
"x849","leptospermum scoparium","manukamirt","manuka myrtle","n.z"
"x502","leucaena leucocephala","reusewattel","giant wattle","mex"
"x79","libocedrus bidwillii","kaikawakaboom","kiakawaka tree","n.z"
"x80","libocedrus plumosa","kawakaboom","kawaka tree","n.z"
"x925","ligustrum lucidum","chinese liguster","chinese privet","china"
"x181","linospadix monostachya","wandelstokpalm","walking-stick palm","aust"
"x416","liquidambar styraciflua","amberboom","sweet gum","n &amp; c amer"
"x393","liriodendron tulipfera","tulpboom","tulip tree","n amer"
"x672","litchi chinensis","lietsjie","litchi","china"
"x400","litsea sebifera","indiese lourier","indian laurel","india"
"x120","livistona australis","australiese koolpalm","australian cabbage palm","aust"
"x119","livistona carinensis","somaliese koolpalm","somalian cabbage palm","som"
"x121","livistona chinensis","chinese fonteinpalm","chinese fountain palm","japan china"
"x122","livistona decipiens","basterkoolpalm","false cabbage palm","aust"
"x123","livistona mariae","reusekoolpalm","giant cabbage palm","aust"
"x124","livistona muelleri","kleinkoolpalm","small cabbage palm","aust"
