"affiliationsort","affiliationsort","type","members","season meters   sort","meters/member sort"
"106","bethlehem ymca rowing","club_health","22","8523843","387447"
"107","u.s. coast guard academy","military","21","8493604","404457"
"108","rat island rowing & sculling club port townsend wa","club_rowing","22","8431461","383248"
"109","lincoln park boat club","club_rowing","23","8421906","366170"
"110","bannatynes durham","club_health","3","8268772","2756257"
"111","wyandotte boat club","club_rowing","23","8223866","357559"
"112","nyra masters","club_rowing","10","7863990","786399"
"113","st. louis rowing club","club_rowing","34","7803666","229520"
"114","wide load athletic club (wlac)","club_rowing","10","7758127","775813"
"115","okc rowing at chesapeake boathouse","club_rowing","36","7714005","214278"
"116","river city rowing club","club_rowing","23","7690081","334351"
"117","powerhouse fitness","club_health","11","7684724","698611"
"118","virginia boat club","club_rowing","25","7619802","304792"
"119","saratoga springs ymca","club_health","27","7614363","282013"
"120","annapolis rowing club","club_rowing","14","7379097","527078"
"121","royal air force (uk)","military","10","7374666","737467"
"122","british army","military","10","7292459","729246"
"123","north texas rowing club","club_rowing","54","7262102","134483"
"124","genesee rowing club rochester ny","club_rowing","15","7156788","477119"
"125","george washington university","university","26","7122283","273934"
"126","navy","military","11","7115134","646830"
"127","iona college","university","15","7114315","474288"
"128","west australian rowing club","club_rowing","6","7105150","1184192"
"129","newport aquatic center","club_rowing","6","6960208","1160035"
"130","west side ymca","club_health","14","6923942","494567"
"131","university of texas crew","university","17","6877273","404545"
"132","totalfitness4u","club_health","19","6850810","360569"
"133","mile high rowing club","club_rowing","10","6803566","680357"
"134","cotton lake rowing club","club_rowing","4","6789983","1697496"
"135","fredericton rowing club","club_rowing","11","6757058","614278"
"136","viking rowing club","club_rowing","7","6675336","953619"
"137","ashland rowing club","club_rowing","32","6651265","207852"
"138","university of california san diego","university","15","6581076","438738"
"139","wesleyan university","university","16","6565168","410323"
"140","tulsa rowing","club_rowing","19","6519561","343135"
"141","sledgehammer rowing club","club_rowing","7","6506726","929532"
"142","fitmix50","virtual","16","6499994","406250"
"143","row pain row gain","virtual","26","6408906","246496"
"144","jacksonville rowing club","club_rowing","11","6379975","579998"
"145","los gatos rowing club","club_rowing","25","6333656","253346"
"146","dartmouth college","university","13","6212281","477868"
"147","vcirc","virtual","15","6171285","411419"
"148","usaf veterans","military","5","6139504","1227901"
"149","hampton roads rowing club norfolk va","club_rowing","13","6120599","470815"
"150","royal navy (uk)","military","16","6113015","382063"
"151","postrodden - crossing the sea of &aringland - rowing club","virtual","5","6100201","1220040"
"152","syracuse chargers rowing club","club_rowing","5","6052684","1210537"
"153","quinte rowing club","club_rowing","9","5971307","663479"
"154","skidmore community rowing","club_rowing","21","5943211","283010"
"155","1000 islands rowing club","club_rowing","12","5943068","495256"
"156","raleigh rowing center","club_rowing","19","5890363","310019"
"157","oud skadi","university","10","5888941","588894"
"158","yale university","university","11","5813806","528528"
"159","boston college","university","18","5786002","321445"
"160","williamsburg boat club","club_rowing","14","5781606","412972"
"161","north shore ymca auckland new zealand","club_health","12","5738930","478244"
"162","university of wisconsin","university","10","5725076","572508"
"163","netzaberg elementary school bavaria germany","school_elementary","1","5598610","5598610"
"164","olympia area rowing","club_rowing","7","5487988","783998"
"165","lake natoma rowing club","club_rowing","26","5477045","210656"
"166","u.s. army","military","6","5406456","901076"
"167","southern illinois university rowing club","club_rowing","9","5394184","599354"
"168","cooper rowing club","club_rowing","19","5379831","283149"
"169","u.s. army 4th missile command","military","2","5333771","2666886"
"170","keweenaw memorial rehab & fitness center","club_health","41","5332466","130060"
"171","florida institute of technology","university","14","5321769","380126"
"172","university of florida","university","14","5316924","379780"
"173","rocket city rowing club","club_rowing","14","5247157","374797"
"174","princeton university","university","15","5241674","349445"
"175","alpenresort schwarz.at","club_health","26","5220968","200806"
"176","grand rapids rowing club","club_rowing","28","5212217","186151"
"177","maritime rowing club norwalk ct","club_rowing","26","5190554","199637"
"178","minneapolis rowing club","club_rowing","23","5173586","224939"
"179","fibra rowing team","virtual","3","5157121","1719040"
"180","royal marines","military","5","5156979","1031396"
"181","wichita rowing association","club_rowing","12","5127512","427293"
"182","golds gym fredericksburg va","club_health","10","5115463","511546"
"183","swan creek rowing club","club_rowing","7","5105538","729363"
"184","syracuse university","university","13","5075557","390427"
"185","iowa state university","university","4","5034813","1258703"
"186","dixon pudding faifax county va","club_health","4","4981259","1245315"
"187","gainesville area rowing","club_rowing","20","4971461","248573"
"188","south niagara rowing club","club_rowing","9","4970767","552307"
"189","northwestern university","university","5","4943040","988608"
"190","drexel university","university","3","4940452","1646817"
"191","orlando rowing club","club_rowing","27","4916792","182103"
"192","clarks christmas tree farm","virtual","12","4909248","409104"
"193","lookout rowing club","club_rowing","2","4846756","2423378"
"194","anchorage rowing association alaska","club_rowing","14","4781764","341555"
"195","minnesota boat club","club_rowing","10","4728957","472896"
"196","vesper boat club","club_rowing","6","4706538","784423"
"197","university of mary washington","university","14","4671091","333649"
"198","earlham college - richmond indiana","university","3","4656786","1552262"
"199","glory days indoor rowing club","virtual","4","4593136","1148284"
"200","marietta college","university","4","4588453","1147113"
"201","chicago rowing union","club_rowing","15","4574102","304940"
"202","rowing club mulhouse france","club_rowing","7","4513056","644722"
"203","deep cove rowing club","club_rowing","6","4504264","750711"
"204","j4-pentagon","military","16","4482981","280186"
"205","university of california los angeles","university","5","4462955","892591"
"206","zlac rowing ltd. san diego ca","club_rowing","21","4458678","212318"
"207","wolverine rowing club","club_rowing","1","4455000","4455000"
"208","university of pittsburgh","university","15","4453945","296930"
"209","cal lightweights uc berkeley","university","12","4434743","369562"
"210","kansas city rowing club","club_rowing","12","4428209","369017"
"211","concept fitness prague czech republic","club_health","14","4413752","315268"
"212","albany rowing center","club_rowing","11","4407891","400717"
"213","maine rowing association","club_rowing","5","4387957","877591"
"214","the tsotsies","virtual","10","4350699","435070"
"215","harvard university","university","13","4327143","332857"
"216","three rivers rowing association mixed masters","club_rowing","11","4309404","391764"
"217","university of north carolina at chapel hill","university","22","4301730","195533"
"218","vashon island rowing club","club_rowing","3","4296735","1432245"
"219","hudson river rowing association","club_rowing","22","4226294","192104"
"220","microsoft","club_health","4","4215985","1053996"
"221","bainbridge island rowing club","club_rowing","26","4177493","160673"
"222","trent university","university","12","4159023","346585"
"223","auckland rowing club","club_rowing","7","4123713","589102"
"224","sonoma state university","university","3","4112269","1370756"
"225","david lloyd health club","club_health","16","4111895","256993"
"226","stockton rowing club","club_rowing","15","4088172","272545"
"227","tree trunk rowers","virtual","2","4063135","2031568"
"228","forest hills central hs grand rapids","school_highschool","32","3953565","123549"
"229","crossfit","club_health","71","3930417","55358"
"230","crossfit","virtual","71","3930417","55358"
"231","university of georgia","university","20","3908879","195444"
"232","orange county fire authority","fire_rescue_police","9","3898395","433155"
"233","sagamore rowing assoc.","club_rowing","12","3885614","323801"
"234","rock creek rowing","club_rowing","16","3884602","242788"
"235","victoria city rowing club","club_rowing","12","3876297","323025"
"236","milwaukee rowing club","club_rowing","13","3852228","296325"
"237","university of new brunswick","university","3","3836156","1278719"
"238","manhattan masters rowing club","club_rowing","12","3832631","319386"
"239","don rowing club","club_rowing","21","3829793","182371"
"240","ymca ellerslie (auckland new zealand)","club_health","3","3798407","1266136"
"241","masterscoaching","club_rowing","8","3746136","468267"
"242","calgary rowing club","club_rowing","16","3743311","233957"
"243","greater columbus rowing association","club_rowing","10","3738887","373889"
"244","university of kansas","university","8","3721746","465218"
"245","milwaukee rowing club mojos","club_rowing","11","3702726","336611"
"246","vancouver lake crew","club_rowing","10","3702441","370244"
"247","george mason university","university","15","3677342","245156"
"248","philadelphia flying phoenix dragonboat","club_rowing","30","3671146","122372"
"249","mississauga ymca (can)","club_health","1","3668614","3668614"
"250","st. lawrence university","university","21","3656712","174129"
"251","ottawa rowing club","club_rowing","11","3655322","332302"
"252","augusta rowing club","club_rowing","16","3646158","227885"
"253","university of western ontario","university","6","3645244","607541"
"254","new haven rowing club","club_rowing","9","3635328","403925"
"255","university of british columbia","university","2","3614901","1807451"
"256","island fitness bainbridge island wa","club_health","15","3612552","240837"
"257","fitness first uk","virtual","20","3608714","180436"
"258","michigan state university","university","4","3593280","898320"
"259","university of maryland baltimore county","university","9","3581084","397898"
"260","mendota rowing club","club_rowing","10","3580431","358043"
"261","fat cat rowing club","club_rowing","9","3573218","397024"
"262","lehigh university","university","6","3564682","594114"
"263","crossfit amelia island","club_health","22","3563740","161988"
"264","skive roklub ''god og sjov motion''","club_rowing","12","3546187","295516"
"265","university of california berkeley","university","7","3531138","504448"
"266","24 hour","club_health","18","3530488","196138"
"267","cri comp men","club_rowing","9","3529003","392111"
"268","london rowing club","club_rowing","7","3514728","502104"
"269","argonaut rowing club","club_rowing","10","3513150","351315"
"270","corvallis rowing club","club_rowing","16","3503428","218964"
"271","st. peters college jersey city","university","1","3462913","3462913"
"272","mcdowell tribe","undefined","3","3434523","1144841"
"273","national institute for fitness and sport","club_health","12","3423695","285308"
"274","south bend medical foundation","club_health","5","3396191","679238"
"275","boston university","university","7","3394619","484946"
"276","rollins college","university","6","3370221","561704"
"277","ecorse rowing club","club_rowing","15","3369885","224659"
"278","eastern michigan university","university","13","3355950","258150"
"279","team nas pensacola","military","27","3328122","123264"
"280","capital rowing club","club_rowing","19","3324651","174982"
"281","oak ridge rowing association","club_rowing","5","3293388","658678"
"282","fairport crew club","club_rowing","11","3280753","298250"
"283","massey university","university","1","3276409","3276409"
"284","blood street sculls (old lyme ct)","club_rowing","15","3265682","217712"
"285","clarkson university crew team","university","8","3259481","407435"
"286","navesink river rowing","club_rowing","12","3252936","271078"
"287","northeastern university","university","4","3252212","813053"
"288","peterborough city rowing club - peterborough (uk)","club_rowing","7","3206144","458021"
"289","ever green boat club","club_rowing","5","3190798","638160"
"290","green & grey","military","3","3183669","1061223"
"291","washington canoe club","club_rowing","7","3168525","452646"
"292","university of washington","university","11","3168287","288026"
"293","portage lakes rowing association","club_rowing","15","3166323","211088"
"294","new york athletic club","club_health","6","3164286","527381"
"295","usaf rowing team","military","11","3159738","287249"
"296","row-lo","virtual","3","3150976","1050325"
"297","us army virtual rowers","military","6","3142624","523771"
"298","bethesda / chevy chase ymca","club_health","1","3022130","3022130"
"299","pikelet irc","virtual","6","3021460","503577"
"300","university of wisconsin-madison","university","7","3020554","431508"
"301","michigan technological university","university","5","3019647","603929"
"302","college of charleston","university","27","3011838","111550"
"303","saugatuck rowing club","club_rowing","9","2996663","332963"
"304","chester-le-street arc","club_rowing","3","2968170","989390"
"305","pittsberghs","virtual","2","2947036","1473518"
"306","gms rowing center","club_rowing","2","2936957","1468479"
"307","narragansett boat club","club_rowing","16","2933733","183358"
"308","vegerowtarians","virtual","7","2928379","418340"
"309","team robson","fire_rescue_police","6","2910459","485077"
"310","acac charlottesville va","club_health","9","2858384","317598"
"311","ergoseniors","virtual","1","2849628","2849628"
"312","geneva ymca","club_health","1","2830000","2830000"
"313","boulder community rowing","club_rowing","8","2828621","353578"
"314","friends of port rowing","club_rowing","2","2822035","1411018"
"315","lake merritt rowing club","club_rowing","2","2817366","1408683"
"316","willamette university","university","18","2815419","156412"
"317","supercanoa","virtual","6","2813796","468966"
"318","oregon rowing unlimited","club_rowing","6","2798450","466408"
"319","city of sunderland rowing club","club_rowing","1","2787717","2787717"
"320","columbia university","university","6","2780661","463444"
"321","university of houston","university","1","2775847","2775847"
"322","commodore & winnipeg intl. squash & rowing club","virtual","5","2770277","554055"
"323","idroscalo club milan italy","club_rowing","2","2735524","1367762"
"324","brigantine rowing club","club_rowing","8","2720467","340058"
"325","washington university in st. louis","university","15","2682171","178811"
"326","sports club/la-orange county","club_health","1","2673536","2673536"
"327","australia","virtual","8","2665649","333206"
"328","university of akron","university","2","2629523","1314762"
"329","three rivers rowing association masters women","club_rowing","8","2626903","328363"
"330","hms cornwall","military","5","2625947","525189"
"331","university of puget sound (alumni)","university","2","2601900","1300950"
"332","greenwich crew","club_rowing","15","2594897","172993"
"333","dallas rowing club","club_rowing","9","2581390","286821"
"334","marquette university","university","21","2576948","122712"
"335","university of arizona","university","3","2576165","858722"
"336","team vf","virtual","12","2575624","214635"
"337","gopherocious women","university","6","2558688","426448"
"338","retired firefighters internet rowing club","virtual","2","2555405","1277703"
"339","caius college cambridge","university","4","2549020","637255"
"340","carrick on shannon rowing club","club_rowing","10","2545401","254540"
"341","rensselaer","university","11","2540875","230989"
"342","queen's university","university","4","2539359","634840"
"343","university of connecticut","university","6","2515459","419243"
"344","inland bodyworks","club_health","5","2497090","499418"
"345","university of montana","university","6","2486537","414423"
"346","topeka rowing association","club_rowing","9","2458315","273146"
"347","n-dirt","virtual","6","2457783","409631"
"348","chaminade high school","school_highschool","7","2455582","350797"
"349","indiana university","university","5","2441807","488361"
"350","melbourne rowing club","club_rowing","2","2436097","1218049"
"351","cape cod flywheelers","virtual","1","2434311","2434311"
"352","fredensborg rc denmark","club_rowing","3","2423752","807917"
"353","wellington rowing club (nz)","club_rowing","4","2407658","601915"
"354","spartan alumni rowing association","club_rowing","7","2394118","342017"
"355","wrekin rowers","club_rowing","4","2391495","597874"
"356","university of san diego","university","5","2391214","478243"
"357","louisville rowing club","club_rowing","6","2386910","397818"
"358","duke university","university","2","2381908","1190954"
"359","whippany fitness & wellness center","club_health","2","2376937","1188469"
"360","rivanna rowing club","club_rowing","14","2349319","167809"
"361","western michigan university","university","4","2344571","586143"
"362","gentle giant rowing club","club_rowing","8","2336833","292104"
"363","union boat club","club_rowing","5","2300021","460004"
"364","killer bees rowing club","club_rowing","6","2299490","383248"
"365","friskhuset stokmarknes norway","club_health","1","2298000","2298000"
"366","tiffin school boat club","club_rowing","15","2282832","152189"
"367","erg club","club_health","9","2278975","253219"
"368","berry college","university","5","2274993","454999"
"369","stratford upon avon boat club","club_rowing","8","2250274","281284"
"370","case western reserve university","university","6","2237926","372988"
"371","queen of hearts dory club","club_rowing","1","2237130","2237130"
"372","cri comp women","club_rowing","5","2215348","443070"
"373","chester river rowing club","club_rowing","3","2210701","736900"
"374","grand valley state university","university","11","2195457","199587"
"375","university of alberta","university","5","2187251","437450"
"376","livestrong survivors cancer survivors friends families","virtual","4","2176526","544132"
"377","bethesdarow","virtual","1","2152298","2152298"
"378","british isles rowing club - rothesay bay nz","virtual","5","2150993","430199"
"379","sarasota crew","club_rowing","4","2140392","535098"
"380","oud aegir","university","1","2107500","2107500"
"381","william and mary","university","14","2105560","150397"
"382","heriot-watt university","university","3","2102374","700791"
"383","litchfield hills rowing club","club_rowing","5","2098824","419765"
"384","saint joseph's university","university","2","2094823","1047412"
"385","connecticut college","university","3","2082461","694154"
"386","carolina virtual crew","virtual","3","2081300","693767"
"387","stetson university deland fl","university","7","2080531","297219"
"388","the zone fitness studio bangalore  india","club_health","45","2077265","46161"
"389","guelph rowing club","club_rowing","5","2074522","414904"
"390","rutgers university","university","12","2073646","172804"
"391","subvets","military","3","2071647","690549"
"392","okcbf - og&e","club_rowing","10","2058107","205811"
"393","st. mary's college","university","7","2043180","291883"
"394","university of exeter (alumni)","university","2","2036043","1018022"
"395","mid-hudson rowing association","club_rowing","2","2027467","1013734"
"396","rochester institute of technology","university","14","2024297","144593"
"397","north star rowing club dartmouth n.s","club_rowing","4","2020443","505111"
"398","d&m fitness","club_health","58","2010763","34668"
"399","brandeis university alumni","university","5","2004874","400975"
"400","bridgewater state college","university","6","1998421","333070"
"401","raven rowers wexford ireland","virtual","4","1978870","494718"
"402","owens lake yacht club","club_rowing","1","1974478","1974478"
"403","a. e. riesen fitness first","club_health","4","1957310","489328"
"404","exeter","undefined","2","1955994","977997"
"405","6amergers","virtual","3","1937371","645790"
"406","canadian river crew-okc","club_rowing","1","1929520","1929520"
"407","rowing for beer","virtual","4","1916110","479028"
"408","marietta college alumni","university","2","1906062","953031"
"409","rowed warriors","virtual","4","1897876","474469"
"410","yarmouth rowing club","club_rowing","7","1894617","270660"
"411","whitemarsh boat club","club_rowing","4","1883715","470929"
"412","hawera gym & fitness centre (nzl)","club_health","2","1883680","941840"
"413","infantry battle school brecon (british army)","club_rowing","3","1881428","627143"
"414","thomas jefferson high school","school_highschool","24","1858207","77425"
"415","milwaukee school of engineering","university","9","1856131","206237"
"416","spokane river rowing association","club_rowing","5","1852181","370436"
"417","concord recreation of concord ma","club_health","10","1850148","185015"
"418","university of texas","university","1","1846041","1846041"
"419","lt-hanseruderer luebeck","club_rowing","1","1845614","1845614"
"420","everest leon rowing team","virtual","3","1840975","613658"
"421","arkansas boathouse club little rock ar","club_rowing","5","1826745","365349"
"422","florida state university","university","5","1823461","364692"
"423","orlando fire department","fire_rescue_police","11","1821379","165580"
"424","the lodge at desperes","club_health","2","1816114","908057"
"425","suny buffalo","university","6","1814216","302369"
"426","cambridge university (selwyn college)","university","1","1812947","1812947"
"427","rowzone philadelphia pa","club_health","7","1811495","258785"
"428","university of delaware","university","7","1811247","258750"
"429","black sheep rowing club","club_rowing","6","1809625","301604"
"430","binghamton university","university","4","1799512","449878"
"431","university of rochester","university","4","1782573","445643"
"432","civil nuclear constabulary (uk)","fire_rescue_police","6","1776733","296122"
"433","southern cross irc","virtual","6","1773498","295583"
"434","crossfit decatur","club_health","5","1767984","353597"
"435","cascadilla boat club","club_rowing","6","1763741","293957"
"436","purdue university calumet campus","university","4","1762707","440677"
"437","green lake crew","club_rowing","5","1757708","351542"
"438","harper adams university college","university","2","1745502","872751"
"439","american embassy moscow rowing group","club_health","6","1740175","290029"
"440","virginia polytechnic institute and state university","university","10","1729318","172932"
"441","jacksonville university","university","6","1717659","286277"
"442","dewsbury sports centre west yorks","club_health","1","1717498","1717498"
"443","dw sports fitness broadstairs","club_health","3","1716323","572108"
"444","vlaardingen &mdash; sport en fitnesscentrum tino hoogendijk.","club_health","22","1702809","77400"
"445","wurzburg american middle school","school_highschool","3","1702712","567571"
"446","lemons rowing club","club_rowing","3","1702236","567412"
"447","prairie rowing","club_rowing","1","1694946","1694946"
"448","northern dutchess wellness center","club_health","6","1693878","282313"
"449","lincoln maritime center hingham ma","club_rowing","4","1693084","423271"
"450","christiania roklub","club_rowing","5","1688495","337699"
"451","wichita state university","university","5","1683585","336717"
"452","simsbury high school","school_highschool","16","1682028","105127"
"453","banks rowing club melbourne","club_rowing","1","1672704","1672704"
"454","university of toronto","university","5","1663760","332752"
"455","brooks school","school_highschool","7","1656265","236609"
"456","llandaff rowing club","club_rowing","2","1654077","827039"
"457","duke university womens rowing","university","1","1648795","1648795"
"458","queen's university belfast","university","3","1648098","549366"
"459","saline crew club","club_rowing","6","1648018","274670"
"460","taplin rowers","virtual","4","1637569","409392"
"461","hb rowing","club_rowing","1","1632915","1632915"
"462","nanaimo rowing club","club_rowing","2","1629870","814935"
"463","cambridge boat club","club_rowing","3","1628376","542792"
"464","reading rowing club (uk)","club_rowing","3","1621046","540349"
"465","cape cod rowing","club_rowing","9","1618856","179873"
"466","city of cambridge rowing club","club_rowing","6","1612211","268702"
"467","juniper rowing club","club_rowing","5","1608415","321683"
"468","diablo crossfit","club_health","12","1600693","133391"
"469","brookline hs boys team","school_highschool","8","1599978","199997"
"470","beaver nation","virtual","2","1593737","796869"
"471","palouse community rowing","club_rowing","6","1584713","264119"
"472","fairmount rowing association","club_rowing","9","1577725","175303"
"473","adelaide rowing club","club_rowing","3","1576231","525410"
"474","virginia commonwealth university","university","13","1573390","121030"
"475","air national guard","military","2","1568975","784488"
"476","leeds university","university","10","1562882","156288"
"477","genny crew","club_rowing","1","1561170","1561170"
"478","esporta health club bracknell","club_health","2","1558699","779350"
"479","central washington university","university","1","1557332","1557332"
"480","fit4life fitness sparta wi","club_health","8","1546914","193364"
"481","devoran gig club","club_rowing","7","1545819","220831"
"482","cambridge university (pembroke college boat club)","university","1","1545500","1545500"
"483","university of miami","university","3","1544689","514896"
"484","boston sports club waltham ma","club_health","1","1539883","1539883"
"485","pacific lutheran university","university","7","1531080","218726"
"486","brown university","university","3","1530531","510177"
"487","pcgymcz","virtual","8","1526127","190766"
"488","bennington college","university","1","1526126","1526126"
"489","san diego rowing club","club_rowing","9","1522648","169183"
"490","remigo ergo sum","virtual","3","1522620","507540"
"491","victory base complex irc","military","3","1519509","506503"
"492","uks jedynka znin pol","club_rowing","9","1516538","168504"
"493","middlebury college","university","2","1512394","756197"
"494","mississippi state university","university","3","1508700","502900"
"495","university of new hampshire","university","7","1508342","215477"
"496","calgary winter club","club_health","3","1505940","501980"
"497","oklahoma state university","university","4","1500916","375229"
"498","space coast crew melbourne fl usa","club_rowing","1","1499901","1499901"
"499","putney town rowing club (londonuk)","club_rowing","8","1497884","187236"
"500","american college of switzerland","university","2","1489297","744649"
"501","los angeles erging collective","virtual","4","1481873","370468"
"502","university of colombo","university","1","1480000","1480000"
"503","ewauna rowing club","club_rowing","6","1478508","246418"
"504","colgate university","university","3","1477528","492509"
"505","mcgill university","university","4","1472931","368233"
"506","leander boat club hamilton on","club_rowing","3","1460717","486906"
"507","st. john's jesuit rowing club","club_rowing","4","1456470","364118"
"508","butler university","university","2","1454100","727050"
"509","wormser ruderclub blau-weiss von 1883 e. v.","club_rowing","1","1451289","1451289"
"510","fitness plus","club_health","1","1449136","1449136"
"511","crystal lake rowing club","club_rowing","2","1446633","723317"
"512","brock university","university","2","1446000","723000"
"513","jjb fitness royal quays","club_health","1","1445267","1445267"
"514","vintage vikings rowing club brisbane aus","club_rowing","1","1444778","1444778"
"515","itc rowing team","club_rowing","8","1442817","180352"
"516","university of tennessee","university","6","1441992","240332"
"517","university of massachusetts lowell","university","6","1441740","240290"
"518","ymca at pabst farms","club_health","3","1434279","478093"
"519","ottawa new edinburgh club","club_rowing","10","1428618","142862"
"520","s factor","undefined","4","1426520","356630"
"521","rowing club partizan belgrade serbia","club_rowing","1","1423581","1423581"
"522","ancient & mysterious order of the pink tick","club_rowing","1","1420898","1420898"
"523","lemvig roklub","club_rowing","4","1418468","354617"
"524","commencement bay rowing club","club_rowing","4","1415145","353786"
"525","american firefighters","fire_rescue_police","2","1410580","705290"
"526","aqueduct rowing club","club_rowing","7","1409286","201327"
"527","malta boat club philadelphia pa","club_rowing","1","1408829","1408829"
"528","crossfit springfield mo","club_health","16","1405416","87839"
"529","lake stevens rowing club","club_rowing","5","1403332","280666"
