"refnum","stnid","net_id","description"
"562","04228","sa","attu kitsissut"
"563","04242","sa","sioralik"
"564","04253","sa","frederikshaab isblink"
"565","04254","sa","godthaab lufthavn"
"566","04266","sa","nunarsuit"
"567","04301","sa","kap morris jesup"
"568","04305","sa","cape harald moltke"
"569","04310","sa","nord"
"570","04312","sa","nord aws"
"571","04313","sa","henrik kroeyer holme"
"572","04373","sa","ikermit"
"573","04382","sa","ikermiuarsuk"
"574","06009","sa","akraberg"
"575","06011","sa","thorshavn"
"576","06011","ua","thorshavn"
"577","06022","sa","tyra oest"
"578","06041","sa","skagen"
"579","06043","sa","frederikshavn"
"580","06052","sa","thyboroen"
"581","06053","sa","aggersund"
"582","06058","sa","hvide sande"
"583","06069","sa","foulum"
"584","06071","sa","fornaes"
"585","06079","sa","anholt"
"586","06081","sa","blaavand"
"587","06096","sa","roemoe"
"588","06099","sa","roemoe havneby"
"589","06111","sa","baagoe"
"590","06113","sa","toftlund"
"591","06119","sa","kegnaes"
"592","06131","sa","vesborg"
"593","06142","sa","albuen"
"594","06149","sa","gedser odde"
"595","06151","sa","omoe"
"596","06153","sa","tyvelse"
"597","06156","sa","holbaek"
"598","06159","sa","roesnaes"
"599","06165","sa","hesseloe"
"600","06168","sa","nakkehoved"
"601","06169","sa","gniben"
"602","06173","sa","stevns"
"603","06179","sa","moen"
"604","06181","sa","koebenhavn / jaegersborg"
"605","06181","ua","koebenhavn / jaegersborg"
"606","06183","sa","drogden"
"607","06186","sa","koebenhavn / landbohoejskolen"
"608","06191","sa","christiansoe"
"609","06193","sa","hammer odde"
"610","06225","sa","ijmuiden"
"611","06229","sa","texelhors wp"
"612","06239","sa","f3"
"613","06241","sa","amsterdam coenhaven aws"
"614","06244","sa","hoorn aws"
"615","06247","sa","bloemendaal"
"616","06248","sa","wudenes"
"617","06250","sa","terschelling"
"618","06251","sa","terschelling hoorn"
"619","06252","sa","k13-a"
"620","06253","sa","auk-alfa"
"621","06254","sa","meetpost noordwuk"
"622","06255","sa","noordeluke zeeraaf"
"623","06267","sa","stavoren aws"
"624","06268","sa","houtrib"
"625","06269","sa","lelystad aws"
"626","06273","sa","marknesse aws"
"627","06277","sa","lauwersoog aws"
"628","06278","sa","heino aws"
"629","06279","sa","hoogeveen aws"
"630","06283","sa","hupsel aws"
"631","06285","sa","huibertgat wp"
"632","06286","sa","nieuw beerta aws"
"633","06308","sa","cadzand wp"
"634","06310","sa","vlissingen"
"635","06312","sa","oosterschelde wp"
"636","06316","sa","schaar wp"
"637","06319","sa","westdorpe aws"
"638","06320","sa","le goeree"
"639","06321","sa","euro platform"
"640","06323","sa","wilhelminadorp aws"
"641","06330","sa","hoek van holland"
"642","06331","sa","tholen wp"
"643","06343","sa","rotterdam geulhaven aws"
"644","06348","sa","cabauw tower"
"645","06356","sa","herwijnen aws"
"646","06379","sa","oost maarland aws"
"647","06391","sa","arcen aws"
"648","06408","sa","oostende pier"
"649","06447","sa","uccle"
"650","06447","ua","uccle"
"651","06473","sa","sinsin"
"652","06480","sa","meix-devant-virton"
"653","06585","sa","clervaux"
"654","06589","sa","luxembourg beggen"
"655","06597","sa","echternach"
"656","06612","sa","la chaux-de-fonds"
"657","06616","sa","fahy"
"658","06628","sa","plaffeien-oberschrot"
"659","06630","sa","bern-belp"
"660","06632","sa","grenchen"
"661","06639","sa","napf"
"662","06642","sa","langenbruck"
"663","06643","sa","wynau"
"664","06649","sa","laufenburg"
"665","06652","sa","mettlen"
"666","06653","sa","beromuenster"
"667","06654","sa","brugg-wildegg"
"668","06657","sa","giswil"
"669","06658","sa","buochs"
"670","06660","sa","zurich town / ville"
"671","06661","sa","albis"
"672","06662","sa","trasadingen"
"673","06669","sa","laegern"
"674","06672","sa","altdorf"
"675","06680","sa","saentis"
"676","06681","sa","saint gallen"
"677","06684","sa","weesen"
"678","06689","sa","hoernki"
"679","06690","sa","altenrhein-flugplatz"
"680","06691","sa","rheineck-altenrhein"
"681","06702","sa","la dole"
"682","06703","sa","la cure"
"683","06712","sa","aigle"
"684","06718","sa","savatan"
"685","06719","sa","le grand saint-bernard douane"
"686","06721","sa","fionnay"
"687","06724","sa","montana"
"688","06726","sa","gemmi"
"689","06730","sa","jungfraujoch"
"690","06731","sa","wimmis"
"691","06734","sa","interlaken"
"692","06742","sa","simplon"
"693","06743","sa","ernen"
"694","06750","sa","guetsch"
"695","06753","sa","piotta"
"696","06756","sa","comprovasco"
"697","06759","sa","cimetta"
"698","06760","sa","locarno-monti"
"699","06762","sa","locarno-magadino"
"700","06771","sa","stabio"
"701","06775","sa","lugano-agno"
"702","06781","sa","tavanasa"
"703","06782","sa","disentis"
"704","06783","sa","san bernardino"
"705","06786","sa","chur-ems"
"706","06789","sa","loebbia"
"707","06790","sa","st moritz"
"708","06791","sa","corvatsch"
"709","06792","sa","samedam-flugplatz"
"710","06794","sa","robbia"
"711","06990","sa","vaduz"
"712","07002","sa","boulogne"
"713","07010","sa","dunkerque"
"714","07019","sa","barfleur point"
"715","07020","sa","la hague"
"716","07022","sa","vigite du haumet"
"717","07029","sa","port en bessin"
"718","07031","sa","deauville"
"719","07034","sa","carteret"
"720","07039","sa","valognes"
"721","07040","sa","dieppe"
"722","07100","sa","ouessant"
"723","07103","sa","pointe du raz"
"724","07107","sa","brignogan"
"725","07116","sa","ile de batz"
"726","07121","sa","brehat"
"727","07127","sa","grouin de cancale"
"728","07133","sa","pointe du roc"
"729","07134","sa","laval"
"730","07145","sa","trappes"
"731","07145","ua","trappes"
"732","07148","sa","bretigny"
"733","07156","sa","paris-montsouris"
"734","07172","sa","loxeville"
"735","07173","sa","epinal"
"736","07182","sa","rechicourt"
"737","07200","sa","penmarch"
"738","07203","sa","beg melen"
"739","07207","sa","le talut"
"740","07210","sa","vannes"
"741","07257","sa","avord"
"742","07270","sa","chateau-chinon automated reporting stati"
"743","07283","sa","langres"
"744","07300","sa","st-sauveur"
"745","07314","sa","chassiron"
"746","07382","sa","mont saint vincent"
"747","07390","sa","lons-le-saunier"
"748","07394","sa","morbier"
"749","07400","sa","la coubre"
"750","07477","sa","les sauvages automated reporting station"
"751","07496","sa","modane avrieux"
"752","07497","sa","bourg-st-maurice"
"753","07500","sa","cap ferret"
"754","07535","sa","gourdon"
"755","07554","sa","mende"
"756","07558","sa","millau"
"757","07560","sa","mont aigoual"
"758","07586","sa","carpentras"
"759","07587","sa","lus-la-croix-haute"
"760","07591","sa","embrun"
"761","07593","sa","briancon"
"762","07600","sa","socoa"
"763","07641","sa","sete"
"764","07652","sa","cap pomegues"
"765","07653","sa","cap couronne"
"766","07656","sa","bec de laigle"
"767","07660","sa","toulon"
"768","07661","sa","cap cepet"
"769","07670","sa","porquerolles"
"770","07677","sa","cap camarat"
"771","07678","sa","toulon / ile du levant"
"772","07688","sa","la garoupe"
"773","07695","sa","cap ferrat"
"774","07738","sa","les escaldes"
"775","07740","sa","ste leocadie"
"776","07749","sa","cap bear"
"777","07752","sa","la parata"
"778","07753","sa","ile rousse"
"779","07768","sa","la chiappa"
"780","07770","sa","pertusato"
"781","07785","sa","cap corse"
"782","07791","sa","cap sagro"
"783","07s","ta","deer park"
"784","08001","sa","la coruna"
"785","08001","ua","la coruna"
"786","08003","sa","montefaro"
"787","08005","sa","el ferrol"
"788","08008","sa","lugo / rozas"
"789","08014","sa","gijon"
"790","08015","sa","oviedo"
"791","08023","sa","santander"
"792","08023","ua","santander"
"793","08027","sa","san sebastian / igueldo"
"794","08043","sa","marin"
"795","08044","sa","pontevedra"
"796","08046","sa","vigo"
"797","08048","sa","orense"
"798","08053","sa","ponferrada"
"799","08087","sa","bardenas reales"
"800","08094","sa","huesca / monflorite"
"801","08112","sa","talar"
"802","08117","sa","la molina"
"803","08130","sa","zamora"
"804","08141","sa","valladolid"
"805","08148","sa","soria"
"806","08157","sa","daroca"
"807","08171","sa","lerida"
"808","08210","sa","avila"
"809","08213","sa","segovia"
"810","08215","sa","navacerrada"
"811","08220","sa","madrid / c universitaria"
"812","08222","sa","madrid"
"813","08226","sa","guadalajara"
"814","08231","sa","cuenca"
"815","08232","sa","molina de aragon"
"816","08235","sa","teruel"
"817","08238","sa","tortosa"
"818","08261","sa","caceres"
"819","08272","sa","toledo"
"820","08285","sa","valencia"
"821","08286","sa","castellon"
"822","08301","sa","palma de mallorca"
"823","08301","ua","palma de mallorca"
"824","08348","sa","ciudad real"
"825","08359","sa","alicante"
"826","08383","sa","huelva"
"827","08417","sa","jaen"
"828","08430","sa","murcia"
"829","08430","ua","murcia"
"830","08431","sa","castillo galeras"
"831","08458","sa","tarifa"
"832","08502","sa","corvo acores"
"833","08506","sa","horta acores"
"834","08508","sa","lajes / santa rita acores"
"835","08511","sa","angra do heroismo acores"
"836","08513","sa","ponta delgada / obs acores"
"837","08522","sa","funchal"
"838","08530","sa","cabo carvoeiro"
"839","08532","sa","sintra / granja"
"840","08534","sa","montijo"
"841","08535","sa","lisboa / geof"
"842","08537","sa","alverca"
"843","08538","sa","sagres"
"844","08539","sa","ota"
"845","08540","sa","monte real"
"846","08541","sa","sines / montes chaos"
"847","08543","sa","viana do castelo"
"848","08544","sa","ovar / maceda"
"849","08546","sa","porto / serra do pilar"
"850","08548","sa","coimbra / cernache"
"851","08549","sa","coimbra"
"852","08552","sa","tancos"
"853","08555","sa","faro / cidade"
"854","08557","sa","evora"
"855","08558","sa","evora / c coord"
"856","08560","sa","viseu"
"857","08561","sa","beja / b aerea"
"858","08568","sa","penhas douradas"
"859","08570","sa","castelo branco"
"860","08571","sa","portalegre"
"861","08579","sa","lisboa / gago coutinho"
"862","08583","sa","mindelo"
"863","08589","sa","praia"
