"country or territory","population","downloads (thousands)","downloads (per thousand inhabitants)"
"115. singapore","4 839 400","n/a","n/a"
"116. norway","4 835 000","n/a","n/a"
"117. united arab emirates","4 599 000","n/a","n/a"
"118. costa rica","4 579 000","n/a","n/a"
"119. croatia","4 435 056","n/a","n/a"
"120. ireland","4 422 100","n/a","n/a"
"121. central african republic","4 422 000","n/a","n/a"
"122. georgia","4 385 400","n/a","n/a"
"123. new zealand","4 322 500","n/a","n/a"
"124. lebanon","4 224 000","n/a","n/a"
"125. puerto rico","3 982 000","n/a","n/a"
"126. bosnia and herzegovina","3 767 000","n/a","n/a"
"127. palestine","3 761 646","n/a","n/a"
"128. republic of the congo","3 683 000","n/a","n/a"
"129. moldova","3 567 500","n/a","n/a"
"130. liberia","3 476 608","n/a","n/a"
"131. panama","3 454 000","n/a","n/a"
"132. uruguay","3 361 000","n/a","n/a"
"133. lithuania","3 349 872","n/a","n/a"
"134. mauritania","3 291 000","n/a","n/a"
"135. armenia","3 230 100","n/a","n/a"
"136. albania","3 170 000","n/a","n/a"
"137. kuwait","2 985 000","n/a","n/a"
"138. oman","2 845 000","n/a","n/a"
"139. jamaica","2 719 000","n/a","n/a"
"140. mongolia","2 671 000","n/a","n/a"
"141. latvia","2 257 300","n/a","n/a"
"142. namibia","2 171 000","n/a","n/a"
"143. lesotho","2 067 000","n/a","n/a"
"144. republic of macedonia","2 048 620","n/a","n/a"
"145. slovenia","2 045 249","n/a","n/a"
"146. botswana","1 950 000","n/a","n/a"
"147. gambia","1 705 000","n/a","n/a"
"148. guinea-bissau","1 611 000","n/a","n/a"
"149. gabon","1 475 000","n/a","n/a"
"150. qatar","1 409 000","n/a","n/a"
"151. estonia","1 340 415","n/a","n/a"
"152. trinidad and tobago","1 339 000","n/a","n/a"
"153. mauritius","1 288 000","n/a","n/a"
"154. swaziland","1 185 000","n/a","n/a"
"155. east timor","1 134 000","n/a","n/a"
"156. djibouti","864 000","n/a","n/a"
"157. fiji","849 000","n/a","n/a"
"158. cyprus","801 600","n/a","n/a"
"159. bahrain","791 000","n/a","n/a"
"160. guyana","762 000","n/a","n/a"
"161. bhutan","697 000","n/a","n/a"
"162. comoros","676 000","n/a","n/a"
"163. equatorial guinea","676 000","n/a","n/a"
"164. montenegro","624 000","n/a","n/a"
"165. macau","546 200","n/a","n/a"
"166. solomon islands","523 000","n/a","n/a"
"167. suriname","520 000","n/a","n/a"
"168. western sahara","513 000","n/a","n/a"
"169. cape verde","506 000","n/a","n/a"
"170. luxembourg","493 500","n/a","n/a"
"171. malta","413 627","n/a","n/a"
"172. brunei","400 000","n/a","n/a"
"173. bahamas","342 000","n/a","n/a"
"174. belize","322 100","n/a","n/a"
"175. iceland","319 246","n/a","n/a"
"176. maldives","309 000","n/a","n/a"
"177. barbados","256 000","n/a","n/a"
"178. vanuatu","240 000","n/a","n/a"
"179. netherlands antilles","198 000","n/a","n/a"
"180. samoa","179 000","n/a","n/a"
"181. guam","178 000","n/a","n/a"
"182. saint lucia","172 000","n/a","n/a"
"183. são tomé and príncipe","163 000","n/a","n/a"
"184. federated states of micronesia","111 000","n/a","n/a"
"185. u.s. virgin islands","110 000","n/a","n/a"
"186. saint vincent and the grenadines","109 000","n/a","n/a"
"187. aruba","107 000","n/a","n/a"
"188. grenada","104 000","n/a","n/a"
"189. tonga","104 000","n/a","n/a"
"190. kiribati","98 000","n/a","n/a"
"191. jersey","89 300","n/a","n/a"
"192. antigua and barbuda","88 000","n/a","n/a"
"193. northern mariana islands","87 000","n/a","n/a"
"194. andorra","86 000","n/a","n/a"
"195. seychelles","84 000","n/a","n/a"
"196. isle of man","80 000","n/a","n/a"
"197. dominica","67 000","n/a","n/a"
"198. american samoa","67 000","n/a","n/a"
"199. bermuda","65 000","n/a","n/a"
"200. marshall islands","62 000","n/a","n/a"
"201. guernsey","61 811","n/a","n/a"
"202. greenland","57 000","n/a","n/a"
"203. cayman islands","56 000","n/a","n/a"
"204. saint kitts and nevis","52 000","n/a","n/a"
"205. faroe islands","48 940","n/a","n/a"
"206. liechtenstein","35 593","n/a","n/a"
"207. monaco","33 000","n/a","n/a"
"208. turks and caicos islands","33 000","n/a","n/a"
"209. gibraltar","31 000","n/a","n/a"
"210. san marino","30 800","n/a","n/a"
"211. british virgin islands","23 000","n/a","n/a"
"212. cook islands","20 000","n/a","n/a"
"213. palau","20 000","n/a","n/a"
"214. anguilla","15 000","n/a","n/a"
"215. tuvalu","10 000","n/a","n/a"
"216. nauru","10 000","n/a","n/a"
"217. saint helena","6 600","n/a","n/a"
"218. montserrat","5 900","n/a","n/a"
"219. falkland islands","3 000","n/a","n/a"
"220. niue","1 500","n/a","n/a"
"221. tokelau","1 400","n/a","n/a"
"222. vatican city","800","n/a","n/a"
"223. pitcairn islands","50","n/a","n/a"
