"&nbsp;","name landmark","&nbsp;","hotels in this region"
"amsterdam","olympus golf club","&nbsp;","olympus-hoge-dijk-golf"
"amsterdam","ookmeer golfclub","&nbsp;","golfclub-ookmeer"
"amsterdam","osdorpplein","&nbsp;","osdorpplein"
"amsterdam","paradiso","&nbsp;","paradiso"
"amsterdam","pepsi stage","&nbsp;","pepsi-stage"
"amsterdam","philips breitner center","&nbsp;","philips-breitner-center"
"amsterdam","q-park bos en lommer","&nbsp;","q-park-bos-en-lommer"
"amsterdam","rai amsterdam congrescenter","&nbsp;","rai-amsterdam-congrescenter"
"amsterdam","rijksmuseum amsterdam","&nbsp;","rijksmuseum-amsterdam"
"amsterdam","rockarchive.nl","&nbsp;","rockarchive-photo-gallery"
"amsterdam","royal palace","&nbsp;","royal-palace"
"amsterdam","saint nicholas church","&nbsp;","saint-nicholas-church"
"amsterdam","schreierstoren (weepers' tower)","&nbsp;","schreierstoren--weepers--tower-"
"amsterdam","sexmuseum amsterdam","&nbsp;","sexmuseum-amsterdam"
"amsterdam","shippinghouse","&nbsp;","shippinghouse"
"amsterdam","southern church","&nbsp;","southern-church"
"amsterdam","station amsterdam amstel","&nbsp;","station-amsterdam-amstel"
"amsterdam","station amsterdam centraal","&nbsp;","station-amsterdam-centraal"
"amsterdam","station amsterdam de vlugtlaan","&nbsp;","station-amsterdam-de-vlugtlaan"
"amsterdam","station amsterdam lelylaan","&nbsp;","station-amsterdam-lelylaan"
"amsterdam","station amsterdam muiderpoort","&nbsp;","station-amsterdam-muiderpoort"
"amsterdam","station amsterdam rai","&nbsp;","station-amsterdam-rai"
"amsterdam","station amsterdam sloterdijk","&nbsp;","station-amsterdam-sloterdijk"
"amsterdam","station amsterdam zuid-wtc","&nbsp;","station-amsterdam-zuid-wtc"
"amsterdam","stedelijk museum amsterdam","&nbsp;","stedelijk-museum-amsterdam"
"amsterdam","supper club","&nbsp;","supper-club"
"amsterdam","the rembrandt house museum","&nbsp;","the-rembrandt-house-museum"
"amsterdam","theater bellevue","&nbsp;","theater-bellevue"
"amsterdam","theater carré","&nbsp;","theater-carre"
"amsterdam","theater de brakke grond","&nbsp;","theater-de-brakke-grond"
"amsterdam","theater de engelenbak","&nbsp;","theater-de-engelenbak"
"amsterdam","theater de kleine komedie","&nbsp;","theater-de-kleine-komedie"
"amsterdam","theater de meervaart","&nbsp;","theater-de-meervaart"
"amsterdam","theater de rode hoed","&nbsp;","theater-de-rode-hoed"
"amsterdam","theaterfabriek amsterdam","&nbsp;","theaterfabriek-amsterdam"
"amsterdam","theatermuseum amsterdam","&nbsp;","theatermuseum-amsterdam"
"amsterdam","tropenmuseum amsterdam","&nbsp;","tropenmuseum-amsterdam"
"amsterdam","tuschinski theater","&nbsp;","tuschinkski-theater"
"amsterdam","tussenmeer","&nbsp;","tussenmeer"
"amsterdam","van gogh museum","&nbsp;","van-gogh-museum1"
"amsterdam","vondelpark","&nbsp;","vondelpark"
"amsterdam","waterlandse golf club","&nbsp;","waterlandse-golf"
"amsterdam","waterloo square","&nbsp;","waterloo-square"
"amsterdam","westerkerk","&nbsp;","westerkerk"
"amsterdam","world trade center amsterdam","&nbsp;","world-trade-center-amsterdam"
"amsterdam","world's narrowest house","&nbsp;","world-s-narrowest-house"
"amsterdam zuidoost","amsterdam arena","&nbsp;","amsterdam-arena"
"amsterdam zuidoost","metro bullewijk","&nbsp;","metro-bullewijk"
"amsterdam zuidoost","metro holendrecht","&nbsp;","metro-holendrecht"
"amsterdam zuidoost","metro reigersbos","&nbsp;","metro-reigersbos"
"amsterdam zuidoost","station amsterdam bijlmer","&nbsp;","station-amsterdam-bijlmer"
