"wissenschaftlicher name","deutscher name","he","so"
"corynephorus canescens","silbergras","3","0"
"cotoneaster integerrimus","gew�hnliche zwergmispel","*","2"
"crataegus rhipidophylla","gro�kelchiger wei�dorn","g","g"
"crepis foetida","stinkender pippau","g","g"
"crepis mollis","weichhaariger pippau","3","3"
"crepis praemorsa","abgebissener pippau","2","2"
"cuscuta epilinum","flachs-seide","0","0"
"cuscuta epithymum subsp. epithymum","quendel-seide","3","2"
"cyperus fuscus","braunes zypergras","v","0"
"cypripedium calceolus","frauenschuh","2","2"
"dactylorhiza incarnata","fleischrotes knabenkraut","2","0"
"dactylorhiza maculata","geflecktes knabenkraut","3","3"
"dactylorhiza majalis","breitbl�ttriges knabenkraut","3","3"
"dianthus carthusianorum","karth�user-nelke","v","*"
"dianthus deltoides","heide-nelke","v","3"
"dianthus superbus","pracht-nelke","2","0"
"dictamnus albus","diptam","2","0"
"digitalis grandiflora","gro�bl�tiger fingerhut","v","3"
"diphasiastrum alpinum","alpen-flachb�rlapp","0","0"
"diphasiastrum complanatum","gew�hnlicher flachb�rlapp","1","1"
"diphasiastrum oellgaardii","�llgards flachb�rlapp","1","1"
"diphasiastrum tristachyum","zypressen-flachb�rlapp","2","2"
"diphasiastrum zeilleri","zeillers flachb�rlapp","2","0"
"dipsacus pilosus","behaarte kardendistel","*","2"
"drosera rotundifolia","rundbl�ttriger sonnentau","2","2"
"drymocallis rupestris","stein-fingerkraut","2","0"
"dryopteris cristata","kammfarn","1","0"
"eleocharis acicularis","nadelbinse","v","r"
"eleocharis uniglumis","einspelzige sumpfbinse","3","3"
"epilobium palustre","sumpf-weidenr�schen","v","v"
"epipactis atrorubens","rotbraune stendelwurz","v","v"
"epipactis leptochila","schmallippige stendelwurz","*","v"
"epipactis palustris","sumpf-stendelwurz","2","2"
"equisetum pratense","wiesen-schachtelhalm","r","r"
"equisetum ramosissimum","�stiger schachtelhalm","*","0"
"erica tetralix","moor-glockenheide","3","2"
"eriophorum angustifolium","schmalbl�ttriges wollgras","3","3"
"eriophorum latifolium","breitbl�ttriges wollgras","2","1"
"eriophorum vaginatum","moor-wollgras","3","1"
"erucastrum gallicum","franz�sische hundsrauke","3","t"
"eryngium campestre","feld-mannstreu","v","r"
"euphorbia amygdaloides","mandelbl�ttrige wolfsmilch","*","0"
"euphorbia falcata","sichel-wolfsmilch","1","0"
"euphorbia platyphyllos","breitbl�ttrige wolfsmilch","3","2"
"euphorbia stricta","steife wolfsmilch","*","1"
"euphrasia frigida","nordischer augentrost","2","2"
"euphrasia micrantha","zierlicher augentrost","1","1"
"euphrasia nemorosa","hain-augentrost","2","3"
"euphrasia officinalis subsp.rostkoviana","wiesen-augentrost","3","3"
"euphrasia stricta","steifer augentrost","v","*"
"festuca ovina [s.str.]","echter schaf-schwingel","v","r"
"filago arvensis","acker-filzkraut","3","1"
"filago lutescens","graugelbes filzkraut","2","0"
"filago minima","kleines filzkraut","3","3"
"filago vulgaris","gew�hnliches filzkraut","2","0"
"fritillaria meleagris","schachblume","3","3"
"gagea pratensis","wiesen-gelbstern","v","3"
"gagea villosa","acker-gelbstern","v","3"
"galeopsis segetum","gelber hohlzahn","*","3"
"galium boreale","nordisches labkraut","3","2"
"galium glaucum","blaugr�nes labkraut","*","2"
"galium parisiense","pariser labkraut","0","0"
"galium pumilum","niedriges labkraut","v","v"
"galium tricornutum","dreih�rniges labkraut","1","0"
"genista germanica","deutscher ginster","3","3"
"genista sagittalis","fl�gel-ginster","v","2"
"gentiana cruciata","kreuz-enzian","2","0"
"gentiana pneumonanthe","lungen-enzian","1","0"
"gentianella germanica","deutscher kranzenzian deutscherenzian","2","2"
"gentianopsis ciliata","fransenenzian gefranster enzian","3","3"
"geum rivale","bach-nelkenwurz","v","v"
"glebionis segetum","echte saatwucherblume","3","2"
"goodyera repens","kriechstendel","2","3"
"gratiola officinalis","gnadenkraut","1","0"
"gymnadenia conopsea","m�cken-h�ndelwurz","v","v"
"gymnocarpium robertianum","ruprechtsfarn","*","v"
"gypsophila muralis","mauer-gipskraut","v","v"
"helichrysum arenarium","sand-strohblume","3","1"
"helichrysum luteoalbum","gelbliche strohblume gelblichesruhrkraut","2","0"
"helleborus foetidus","stinkende nieswurz","*","r"
"helleborus viridis","gr�ne nieswurz","*","r"
"hepatica nobilis","leberbl�mchen","*","0"
"herminium monorchis","elfenstendel","2","1"
"hieracium arvicola","rain-habichtskraut","r","r"
"hieracium cymosum","trugdoldiges habichtskraut","v","v"
"hieracium flagellare","ausl�uferreiches habichtskraut","r","0"
"hieracium flagelliferum","peitschsprossiges habichtskraut","g","g"
"hieracium lactucella","ge�hrtes habichtskraut","3","3"
"hieracium leptophyton","zartes habichtskraut","r","r"
"hieracium prussicum","preu�isches habichtskraut","r","0"
"hieracium vasconicum","lorbeerartiges habichtskraut","r","r"
"hieracium vulgatum","d�nnst�ngeliges habichtskraut","r","r"
"hieracium zizianum","ziz' habichtskraut","r","r"
"hippocrepis comosa","hufeisenklee","v","3"
"hordeum secalinum","roggen-gerste","3","0"
"hottonia palustris","wasserfeder","3","1"
"huperzia selago","tannenb�rlapp","3","3"
"hydrocotyle vulgaris","wassernabel","3","2"
"hyoscyamus niger","schwarzes bilsenkraut","3","2"
"hypericum elodes","sumpf-johanniskraut","0","0"
"hypochaeris glabra","kahles ferkelkraut","1","0"
"hypochaeris maculata","geflecktes ferkelkraut","2","0"
"iberis amara","bittere schleifenblume","0","u"
"inula britannica","wiesen-alant","3","0"
"inula hirta","rauher alant","2","1"
"inula salicina","weiden-alant","v","v"
"iris sibirica","sibirische schwertlilie","2","1"
"isatis tinctoria","f�rber-waid","*","r"
"isolepis setacea","borsten-moorbinse","v","v"
"jasione montana","berg-sandrapunzel","v","v"
"juncus filiformis","faden-binse","3","3"
"juncus gerardii","salz-binse","3","0"
"juncus ranarius","frosch-binse","g","0"
"juncus squarrosus","sparrige binse","3","3"
"kickxia elatine","echtes t�nnelleinkraut","3","2"
"kickxia spuria","unechtes t�nnelleinkraut","3","2"
"lactuca virosa","gift-lattich","*","r"
"lappula squarrosa","gew�hnlicher igelsame","0","0"
"laserpitium latifolium","breitbl�ttriges laserkraut","r","0"
"laserpitium prutenicum","preu�isches laserkraut","0","0"
"lathraea squamaria","schuppenwurz","*","r"
"lathyrus hirsutus","behaarte platterbse","3","2"
"lathyrus niger","schwarzwerdende platterbse","3","2"
"leersia oryzoides","wilder reis","v","2"
"legousia speculum-veneris","gew�hnlicher frauenspiegel","2","1"
"leontodon saxatilis","hundslattich","*","r"
"leonurus cardiaca subsp. cardiaca","echter l�wenschwanz","2","g"
"lepidium graminifolium","grasbl�ttrige kresse","*","r"
"lepidium squamatum","niederliegender kr�henfu�","v","0"
"leucojum vernum","m�rzenbecher","3","3"
"lilium martagon","t�rkenbund","v","v"
"limosella aquatica","schlammkraut","v","0"
"linaria arvensis","acker-leinkraut","1","0"
"linaria repens","gestreiftes leinkraut   n","r","r"
"linum perenne","stauden-lein","3","0"
"linum tenuifolium","zarter lein","2","2"
"littorella uniflora","strandling","2","0"
"lolium temulentum","taumel-lolch","0","0"
"luzula congesta","kn�uel-hasenbrot","*","r"
"lychnis viscaria","gew�hnliche pechnelke","3","2"
"lycopodiella inundata","sumpfb�rlapp","2","0"
"lycopodium annotinum","sprossender b�rlapp","v","v"
"lycopodium clavatum","keulen-b�rlapp","3","3"
"malus sylvestris","holz-apfel","v","v"
"medicago minima","zwerg-schneckenklee","3","2"
"melampyrum arvense","acker-wachtelweizen","3","3"
"melampyrum cristatum","kamm-wachtelweizen","2","2"
"melica ciliata","wimper-perlgras","*","0"
"mentha suaveolens","duft-minze","g","v"
"menyanthes trifoliata","fieberklee","3","3"
"mibora minima","zwerggras","2","0"
"minuartia hybrida subsp. tenuifolia","vaillants miere","3","1"
"misopates orontium","acker-l�wenmaul","3","2"
"moenchia erecta","aufrechte wei�miere","2","0"
"moneses uniflora","einbl�tiges wintergr�n","2","1"
"montia arvensis","rauhsamiges quellkraut","v","3"
"montia fontana subsp. amporitana","mittleres quellkraut","3","3"
"montia fontana subsp. fontana","gew�hnliches quellkraut","3","3"
"muscari comosum","schopfige traubenhyazinthe","3","1"
"muscari neglectum","�bersehene traubenhyazinthe","3","2"
"nasturtium officinale","echte brunnenkresse","*","3"
"nepeta cataria","gew�hnliche katzenminze","3","1"
"neslia paniculata","finkensame","1","0"
"nigella arvensis","acker-schwarzk�mmel","1","0"
"noccaea caerulescens subsp. sylvestris","voralpen-hellerkraut","v","t"
"odontites luteus","gelber zahntrost","2","2"
"odontites vernus","acker-zahntrost","2","2"
"oenanthe aquatica","gro�er wasserfenchel","v","r"
"oenanthe fistulosa","r�hriger wasserfenchel","2","2"
"oenanthe lachenalii","lachenals wasserfenchel","1","0"
"onobrychis arenaria","sand-esparsette","0","0"
"ophioglossum vulgatum","gew�hnliche natternzunge","2","3"
"ophrys apifera","bienen-ragwurz","v","3"
"ophrys insectifera","fliegen-ragwurz","v","v"
"ophrys sphegodes","gew�hnliche spinnen-ragwurz","0","0"
"orchis anthropophora","ohnsporn","3","1"
"orchis coriophora","wanzen-knabenkraut","0","0"
"orchis mascula","stattliches knabenkraut","v","v"
"orchis militaris","helm-knabenkraut","3","3"
"orchis morio","kleines knabenkraut","2","2"
"orchis palustris subsp. palustris","gew�hnliches sumpf-knabenkraut","0","0"
"orchis purpurea","purpur-knabenkraut","3","3"
"orchis pyramidalis","hundswurz","2","2"
"orchis tridentata","dreiz�hniges knabenkraut","v","0"
"orchis ustulata","brand-knabenkraut","2","1"
"ornithopus perpusillus","m�usewicke","v","v"
"orobanche alba","wei�e sommerwurz","2","2"
"orobanche amethystea","amethyst-sommerwurz","0","0"
"orobanche arenaria","sand-sommerwurz","2","1"
"orobanche caryophyllacea","labkraut-sommerwurz","3","3"
"orobanche elatior","gro�e sommerwurz","2","3"
"orobanche lutea","gelbe sommerwurz","3","2"
"orobanche picridis","bitterkraut-sommerwurz","1","1"
"orobanche purpurea","purpur-sommerwurz","3","3"
"orobanche ramosa","�stige sommerwurz","0","0"
"orthilia secunda","nickendes wintergr�n","3","1"
"osmunda regalis","k�nigsfarn","2","0"
"papaver argemone","sand-mohn","*","3"
"papaver hybridum","krummborstiger mohn","0","0"
"parietaria officinalis","aufrechtes glaskraut","3","0"
"parnassia palustris","herzblatt","2","1"
"pedicularis palustris","sumpf-l�usekraut","1","0"
"pedicularis sylvatica","wald-l�usekraut","2","2"
"peplis portula","sumpfquendel","3","3"
"petasites albus","wei�e pestwurz","*","r"
"peucedanum cervaria","hirsch-haarstrang","v","3"
"peucedanum oreoselinum","berg-haarstrang","2","0"
"peucedanum palustre","sumpf-haarstrang","3","2"
"phleum paniculatum","rispen-lieschgras","2","0"
"phleum phleoides","steppen-lieschgras","3","v"
"phyteuma adulterinum","blaue teufelskralle","3","d"
"phyteuma orbiculare","kugel-teufelskralle","2","0"
"plantago maritima","strand-wegerich","2","0"
"platanthera bifolia","wei�e waldhyazinthe","3","3"
"platanthera montana","berg-waldhyazinthe","*","v"
"polemonium caeruleum","blaue himmelsleiter","g","u"
"polycnemum arvense","acker-knorpelkraut","0","0"
"polygala amarella","sumpf-kreuzblume","3","2"
"polygala comosa","schopfige kreuzblume","v","v"
"polygala serpyllifolia","quendel-kreuzblume","3","3"
"polygala vulgaris subsp. oxyptera","spitzfl�gelige kreuzblume","v","v"
"polypodium interjectum","ges�gter t�pfelfarn","*","r"
"polystichum setiferum","borstiger schildfarn","2","2"
"populus nigra","schwarz-pappel","3","g"
"potamogeton alpinus","alpen-laichkraut","2","1"
"potamogeton gramineus","gras-laichkraut","0","0"
"potamogeton nodosus","flutendes-laichkraut","*","r"
"potamogeton obtusifolius","stumpfbl�ttriges laichkraut","*","r"
"potamogeton pectinatus","kamm-laichkraut","*","0"
"potamogeton perfoliatus","durchwachsenes laichkraut","3","0"
"potamogeton polygonifolius","kn�terich-laichkraut","2","g"
"potamogeton pusillus","zwerg-laichkraut","3","3"
"potamogeton trichoides","haar-laichkraut","3","0"
"potentilla supina","niedriges fingerkraut","*","0"
"prunella grandiflora","gro�e brunelle","v","2"
"prunella laciniata","wei�e brunelle","2","2"
"pseudorchis albida","wei�z�ngel","1","0"
"pulicaria dysenterica","ruhr-flohkraut","3","d"
"pulicaria vulgaris","kleines flohkraut","3","g"
"pulmonaria angustifolia","schmalbl�ttriges lungenkraut","0","0"
"pulmonaria mollis","weiches lungenkraut","1","1"
"pulmonaria montana","knollen-lungenkraut","v","d"
"pulsatilla vulgaris","gew�hnliche kuhschelle","3","2"
"pyrola chlorantha","gr�nliches wintergr�n","2","1"
"pyrola media","mittleres wintergr�n","1","0"
"pyrola minor","kleines wintergr�n","v","3"
"pyrola rotundifolia","rundbl�ttriges wintergr�n","3","2"
"quercus �calvescens","verkahlende flaum-eiche","r","d"
"radiola linoides","zwergflachs","1","0"
"ranunculus arvensis","acker-hahnenfu�","2","1"
"ranunculus hederaceus","efeubl�ttriger wasser-hahnenfu�","1","0"
"rapistrum rugosum","runzeliger rapsdotter  n","2","u"
"rhinanthus alectorolophus","zottiger klappertopf","v","3"
"rhinanthus glacialis","schmalbl�ttriger klappertopf","2","0"
"rhinanthus serotinus","gro�er klappertopf","2","3"
"rhynchospora alba","wei�e schnabelbinse","1","1"
"rosa agrestis","feld-rose","3","2"
"rosa arvensis","kriechende rose","*","v"
"rosa gallica","essig-rose","2","0"
"rosa marginata","raubl�ttrige rose","2","g"
"rosa micrantha","kleinbl�tige rose","3","v"
"rubus saxatilis","steinbeere","*","r"
"rumex hydrolapathum","riesen-ampfer","*","r"
"rumex scutatus","schild-ampfer","*","r"
"sagina nodosa","knotiges mastkraut","1","0"
"sagittaria sagittifolia","gew�hnliches pfeilkraut","*","r"
"salicornia europaea subsp. brachystachya","�stiger queller","0","0"
"salix repens","kriech-weide","2","2"
"scandix pecten-veneris","venuskamm","1","0"
"schoenoplectus lacustris","gr�ne seebinse","v","3"
"scilla bifolia","zweibl�ttrige sternhyazinthe","*","r"
"scleranthus perennis","ausdauerndes kn�uelkraut","v","3"
"sclerochloa dura","hartgras","0","0"
"scutellaria minor","kleines helmkraut","3","1"
"sedum villosum","sumpf-fetthenne","2","0"
"selinum carvifolia","silge","3","3"
"senecio aquaticus","wasser-greiskraut","3","v"
"senecio paludosus","sumpf-greiskraut","v","0"
"serratula tinctoria","f�rber-scharte","2","2"
"seseli annuum","steppenfenchel","2","1"
"seseli libanotis","heilwurz","3","2"
"sherardia arvensis","ackerr�te","v","v"
"silene baccifera","h�hnerbi�","3","r"
"silene conica","kegelfr�chtiges leimkraut","3","u"
"silene gallica","franz�sisches leimkraut","0","0"
"silene noctiflora","acker-leimkraut","3","1"
"sisymbrium strictissimum","steife rauke","3","r"
"sium latifolium","gro�er merk","3","g"
"spergula pentandra","f�nfm�nniger sp�rgel","2","0"
"spergularia segetalis","getreidemiere","0","0"
"spiranthes aestivalis","sommer-schraubenstendel","0","0"
"spiranthes spiralis","herbst-schraubenstendel","2","1"
"stachys annua","einj�hriger ziest","2","1"
"stachys arvensis","acker-ziest","2","2"
"stellaria palustris","sumpf-sternmiere","3","3"
"stipa capillata","haar-pfriemengras","3","0"
"succisa pratensis","gew�hnlicher teufelsabbi�","v","v"
"tanacetum corymbosum","strau�bl�tige wucherblume","v","2"
"taraxacum nordstedtii","nordstedts keltenl�wenzahn","3","3"
"taraxacum sectio erythrosperma","rotfruchtl�wenzahn","",""
"� taraxacum rubicundum","","v","3"
"� taraxacum lacistophyllum","","3","3"
"� taraxacum parnassicum","","2","2"
"� taraxacum plumbeum","","2","r"
"teesdalia nudicaulis","bauernsenf","3","1"
"teucrium botrys","trauben-gamander","v","v"
"teucrium chamaedrys subsp. chamaedrys","deutscher gamander","*","3"
"thalictrum flavum","gelbe wiesenraute","*","0"
"thalictrum minus subsp. pratense","fr�he wiesenraute","3","0"
"thalictrum simplex subsp. galioides","labkraut-wiesenraute","0","0"
"thelypteris palustris","sumpf-lappenfarn","3","1"
"thesium bavarum","berg-leinblatt","0","0"
"thesium linophyllon","mittleres leinblatt","1","d"
"thesium pyrenaicum","wiesen-leinblatt","3","d"
"thymelaea passerina","spatzenzunge","0","0"
"tofieldia calyculata","gew�hnliche simsenlilie","1","1"
"torilis arvensis subsp. recta","hoher acker-klettenkerbel","v","3"
"tragopogon dubius","gro�er bocksbart","*","r"
"tragopogon orientalis","orientalischer wiesen-bocksbart","*","r"
"trichomanes speciosum","europ�ischer d�nnfarn","3","3"
"trichophorum germanicum","deutsche rasenbinse","2","0"
"trientalis europaea","siebenstern","*","v"
"trifolium fragiferum","erdbeer-klee","3","0"
"trifolium montanum","berg-klee","v","3"
"trifolium ochroleucon","bla�gelber klee","2","0"
"trifolium rubens","purpur-klee","2","0"
"trifolium spadiceum","moor-klee","2","1"
"triglochin maritima","salz-dreizack","3","0"
"triglochin palustris","sumpf-dreizack","2","1"
"trinia glauca","faserschirm","0","u"
"trollius europaeus","trollblume","2","1"
"ulmus laevis","flatter-ulme","*","r"
"ulmus minor","feld-ulme","3","3"
"utricularia australis","s�dlicher wasserschlauch","*","r"
"utricularia vulgaris","echter wasserschlauch","g","0"
"vaccaria hispanica","kuhkraut","0","0"
"vaccinium oxycoccos","gew�hnliche moosbeere","3","2"
"vaccinium uliginosum","gew�hnliche moorbeere","r","0"
"vaccinium vitis-idaea","preiselbeere","3","3"
"valeriana dioica","sumpf-baldrian","v","v"
"valeriana pratensis subsp. pratensis","wiesen-arznei-baldrian","*","r"
"valerianella dentata","gez�hnter feldsalat","v","3"
"valerianella rimosa","gefurchter feldsalat","3","g"
"ventenata dubia","zweifelhafter grannenhafer","3","0"
"verbascum blattaria","schabenkraut","1","r"
"veronica catenata","roter wasser-ehrenpreis","v","r"
"veronica praecox","fr�her ehrenpreis","3","3"
"veronica satureiifolia","scheerers ehrenpreis","0","0"
"veronica scutellata","schild-ehrenpreis","v","3"
"veronica teucrium","grosser ehrenpreis","v","d"
"veronica triloba","dreilappiger ehrenpreis","2","g"
"veronica triphyllos","dreibl�ttriger ehrenpreis","3","2"
"veronica verna","fr�hlings-ehrenpreis","3","d"
"vicia dumetorum","hecken-wicke","*","3"
"vicia lathyroides","sand-wicke","3","2"
"vicia orobus","heide-wicke","0","0"
"vicia sylvatica","wald-wicke","v","0"
"viola collina","h�gel-veilchen","r","r"
"viola mirabilis","wunder-veilchen","*","0"
"viola palustris","sumpf-veilchen","v","*"
"viscum laxum","kiefern-mistel","*","r"
"vulpia bromoides","trespen-federschwingel","3","g"
"wahlenbergia hederacea","moorgl�ckchen","2","2"
"zannichellia palustris","sumpf-teichfaden","*","0"
