"world rank","city","country","city            population","metro            population","mayor"
"416","calgary","canada","988000","1080000","naheed nenshi"
"104","cali","colombia","2525000","2801000","jorge ivan ospina"
"267","caloocan","philippines","1379000","","enrico echiverri"
"386","campinas","brazil","1059000","3200000","h&eacute;lio de oliveira santos"
"66","cape town","south africa","3497000","7280000","patricia de lille"
"87","caracas","venezuela","2762000","3478000","antonio ledezma"
"452","cartagena","colombia","893000","1240000","judith pinedo"
"58","casablanca","morocco","3673000","3850000","mohammed sajid"
"n/r","catania","italy","337000","831000","n/k"
"520","cebu city","philippines","747000","1198000","tomas r osmena"
"449","chandigarh","india","901000","","n/k"
"65","changchun","china","3581000","7460000","cui jie"
"254","changde","china","1400000","6000000","chen wenhao"
"89","changsha","china","2744000","6140000","zhang jiangfei"
"392","changshu","china","1048000","","wang xiang"
"n/r","changweon","south korea","486000","1254000","n/k"
"136","changzhou","china","2086000","3570000","wang weicheng"
"113","chaoyang","china","2471000","","zhang tiemin"
"585","charlotte","usa","559000","1466000","anthony foxx"
"371","chelyabinsk","russia","1092000","1200000","mikhail yurevich"
"n/r","chemnitz","germany","243000","1082000","barbara ludwig"
"49","chengdu","china","4334000","11000000","ge honglin"
"44","chennai","india","4600000","7330000","m subramaniam"
"424","chiba","japan","962000","970000","toshihito kumagai"
"82","chicago","usa","2853000","8770000","rahm emanuel"
"540","chihuahua","mexico","694000","825000","n/k"
"504","chisinau","moldova","785000","911000","dorin chirtoaca"
"100","chittagong","bangladesh","2580000","3858000","mohammed manjur alam"
"38","chongqing","china","5087000","9700000","huang qifan"
"n/r","cincinnati","usa","380000","2155000","mark l. mallory"
"n/r","cirebon","indonesia","319000","926000","n/k"
"431","ciudad guayana","venezuela","940000","1000000","jos&eacute; ram&oacute;n lop&eacute;z"
"255","ciudad juarez","mexico","1400000","2010000","jos&eacute; reyes ferriz"
"319","cixi","china","1220000","","n/k"
"n/r","cleveland","usa","434000","2250000","frank g. jackson"
"568","cochabamba","bolivia","608000","798000","n/k"
"433","coimbatore","india","931000","1446000","r.venkatachalam"
"414","cologne","germany","995000","11297000","j&uuml;rgen roters"
"n/r","colombo","brazil","247000","2160000","jos&eacute; antonio camargo"
"561","colombo","sri lanka","650000","2400000","uvais mohamed imitiyas"
"531","columbus","usa","714000","1540000","michael b coleman"
"145","conakry","guinea","1931000","","mamadou wasco camara"
"n/r","concepci&oacute;n","chile","404000","978000","jacqueline van rysselberghe"
"369","copenhagen","denmark","1096000","1096000","frank jensen"
"288","cordoba","argentina","1310000","1528000","daniel giacomino"
"582","culiacan","mexico","567000","766000","n/k"
"153","curitiba","brazil","1851000","3261000","carlos richa"
"105","daegu","south korea","2512000","","kim bum-il"
"239","daejeon","south korea","1443000","","yum hong-chul"
"397","dakar","senegal","1031000","2253000","khalifa sall"
"124","dalian","china","2270000","3478000","li wancai"
"302","dallas","usa","1280000","6300000","tom leppert"
"183","damascus","syria","1670000","4350000","bishr al sabban"
"485","dammam","saudi arabia","812000","2000000","dhaifallah al-'utaybi"
"454","danyang","china","890000","","n/k"
"499","daqing","china","800000","2770000","n/k"
"110","dar es salaam","tanzania","2498000","2700000","adam kimbisa"
"308","datong","china","1253000","1377000","n/k"
"272","davao city","philippines","1363000","","inday sara duterte-carpio"
"459","daye","china","874000","","n/k"
"n/r","dayton","usa","167000","848000","n/k"
"5","delhi","india","12100000","16713000","kanwar sain"
"n/r","denpasar","indonesia","491000","934000","n/k"
"576","denver","usa","583000","2746000","john w hickenlooper"
"441","detroit","usa","912000","3903000","dave bing"
"19","dhaka","bangladesh","7940000","12797000","sadeque hossain khosa"
"383","dhanbad","india","1065000","1200000","n/k"
"394","dnipropetrovsk","ukraine","1040000","1480000","ivan ivanovych kulichenko"
"366","donetsk","ukraine","1100000","1570000","oleksandr lukianchenko"
"29","dongguan","china","6446000","7650000","li yuquan"
"337","dongtai","china","1170000","","n/k"
"n/r","dongying","china","294000","804000","n/k"
"573","dortmund","germany","584000","","ullrich sierau"
"263","douala","cameroon","1382000","2000000","n/k"
"n/r","dresden","germany","512000","1030000","helma orosz"
"374","dubai","uae","1089000","2100000","n/k"
"n/r","dublin","ireland","506000","1661000","emer costello"
"n/r","duisburg","germany","494000","","adolf sauerland"
"462","duque de caxias","brazil","864000","1000000","jos&eacute; camilo zito dos santos filho"
"554","durban","south africa","670000","3468000","obed mlama"
"85","durg","india","2810000","","dr shiv kumar tamer"
"550","dushanbe","tajikistan","680000","810000","mahmadsaid ubaydulloyev"
"","NULL","NULL","","","NULL"
