"api","description","category","updated"
"ericsson async voice","online voice/text chat/conversation service","chat","2011-02-08"
"facebook chat","integrate facebook chat","chat","2011-01-14"
"flowdock","team inbox with chat","chat","2011-08-16"
"fring","mobile community development platform","chat","2008-12-27"
"fuze box","internet and mobile communication services","chat","2011-03-24"
"google plus hangouts","video chat","chat","2011-09-20"
"google talk","chat application","chat","2005-12-03"
"hipchat","instant messaging service for companies and teams","chat","2010-05-17"
"imified","instant messenger buddy","chat","2007-07-08"
"lingr","online chatroom services","chat","2007-01-30"
"livechat","business instant messaging software","chat","2011-02-28"
"liveleader data export","chat based live support service","chat","2012-01-23"
"liveperson agent","customer service chat platform","chat","2011-05-31"
"liveperson chat","customer service chat platform","chat","2010-11-30"
"liveperson visit","customer service chat platform","chat","2011-01-21"
"meebo","web based messaging platform","chat","2007-11-02"
"messagepub","multichannel messaging service","chat","2009-12-04"
"mibbit","chat client","chat","2011-05-20"
"msn messenger","chat and messaging","chat","2005-12-08"
"olark","chat and website monitoring application","chat","2010-12-20"
"oms","chat client service","chat","2011-08-30"
"oovoo","web video chat room service","chat","2009-02-24"
"pulse.to","group sms/texting service","chat","2011-08-29"
"raydash","video chat service","chat","2011-02-23"
"snapengage event","live chat support","chat","2011-02-28"
"tinychat","video chat service","chat","2011-08-30"
"tokbox opentok","multi party video chat","chat","2010-12-07"
"txtful","message enabling service","chat","2009-04-16"
"webaim","web based instant messaging","chat","2006-12-01"
"windows live messenger im control","web based chat service","chat","2008-01-13"
"windows live messenger library","chat and messaging services","chat","2008-02-28"
"windows live presence","online presence service","chat","2008-01-13"
"yahoo messenger","instant messaging","chat","2006-06-21"
"zopim chat","live chat widget","chat","2011-07-26"
"adl 3d repository (3dr)","3d model database","database","2011-09-27"
"amazon dynamodb","nosql database service","database","2012-01-18"
"amazon rds relational database service","relational database service in the cloud","database","2009-10-27"
"amazon simpledb","online database service","database","2007-12-16"
"blankslate","web app building blocks","database","2010-02-24"
"dabbledb","online database service","database","2007-01-07"
"database.com","cloud computing database service","database","2010-12-09"
"dbapi","database management service","database","2011-12-11"
"dydra","cloud-based rdf store","database","2011-05-12"
"edmunds.com dealer","vehicle dealer information","database","2011-11-02"
"evrythng","online profiles for physical objects","database","2011-06-08"
"factolex","fact/lexicon database service","database","2010-12-29"
"factual","open data for sharing and reference tools","database","2009-10-28"
"fluiddb","information architecture & database service","database","2011-02-08"
"freebase","community driven open database","database","2007-10-13"
"google fusion tables","data sharing and visualization platform","database","2009-12-15"
"gubb","list creation and management","database","2007-05-15"
"infinitegraph","distributed graph database","database","2011-08-19"
"lexaurus","vocabulary management service","database","2011-10-25"
"m/db","database service","database","2009-03-14"
"maiana","topic maps browser and editor","database","2011-02-08"
"missatsamtal.se","swedish telemarketer/unknown caller phone number database","database","2011-01-05"
"mongolab","hosted mongodb database","database","2011-08-15"
"myanimelist","anime collection referene list","database","2011-09-22"
"mytaskhelper","database management service","database","2011-10-24"
"nextdb","hosted database accessible from javascript","database","2008-12-03"
"parkwhiz","access to parking and event data","database","2010-08-31"
"pslc datashop","educational research repository","database","2011-11-11"
"rdbhost","sql database web service","database","2010-01-28"
"saffron sierra","natural intelligence database","database","2010-02-01"
"talis","linked data hosting platform","database","2006-06-07"
"the movie db","movie and cast information database","database","2010-06-16"
"trackingo","personal data tracking service","database","2011-03-22"
"tunefind","movie & tv show music database service","database","2011-01-05"
"urbarama","architecture atlas","database","2010-12-21"
"xeround cloud database","cloud database service","database","2011-09-23"
"yahoo query language","query language platform for yahoo services","database","2008-12-05"
"like a little","social gaming and dating service","dating","2010-12-20"
"visionsync dating","virtual dating application","dating","2011-06-28"
"how do you pronounce and use...?","multimedia pronunciation dictionary","dictionary","2011-09-13"
"isizulu","zulu-english dictionary","dictionary","2012-01-10"
"kateglo","indonesian online dictionary thesaurus and glossary","dictionary","2011-06-30"
"noswearing","swear word filter","dictionary","2011-10-31"
"openthesaurus","open source german thesaurus","dictionary","2012-01-11"
"oxford english dictionary","dictionary look-up service","dictionary","2011-11-01"
"properspell","spelling suggesting service","dictionary","2011-01-10"
"rhymebrain","online rhyming dictionary","dictionary","2011-05-31"
"rhyming","rhyming dictionary","dictionary","2009-12-18"
"stands4 definitions","dictionary definition service","dictionary","2012-01-31"
"wordreference","multilingual dictionary definition service","dictionary","2012-01-31"
"amsterdam museum","museum collection online","education","2011-10-25"
"articulate online","hosted e-learning service","education","2011-12-09"
"black country history","uk museum and history information service","education","2011-12-23"
"blackboard collaborate","online learning platform","education","2012-01-13"
"braineos","flashcards and learning games service","education","2012-01-11"
"brainhoney","virtual learning management system","education","2011-04-14"
"british museum","museum linked data service","education","2011-11-15"
"brooklyn museum","museum online collection access","education","2009-03-31"
"collegiatelink","college student organization information service","education","2012-01-20"
"connexions","educational materials repository","education","2011-10-04"
"curriculum u","k-12 content standards database","education","2011-08-16"
"data.ed.gov","education grant data","education","2011-10-04"
"donorschoose","an online charity connecting you to classrooms in need","education","2009-04-03"
"ediscio","online flashcard learning service","education","2011-02-28"
"education.com","school test scores and other data","education","2009-08-07"
"edupedia","education wiki","education","2011-09-22"
"engrade","online gradebook and classroom management service","education","2011-10-10"
"europeana opensearch","european museum collection metadata","education","2011-06-07"
"firmwater","learning management system","education","2011-10-11"
"fizber schools","school finder service","education","2010-10-25"
"flashcard exchange","online flashcard service","education","2011-04-08"
"frog learning platform","online learning management platform","education","2011-07-07"
"getting homework done","homework submission service","education","2011-11-04"
"greatschools","education data provider","education","2010-08-10"
"haiku learning management system","online education and learning service","education","2011-07-14"
"hathitrust volumes","library catalogue information retrieval service","education","2011-12-09"
"illinois 2010 school report cards","illinois public school grade reporting service","education","2011-10-18"
"ims enterprise services","learning technology consortium","education","2011-08-30"
"instructure canvas","learning management system","education","2011-10-11"
"it&#039;s learning","web based education platform","education","2010-12-17"
"knewton","online learning platforms","education","2011-10-31"
"laarc catalogue search","archaeology museum catalog","education","2011-10-11"
"litmos","learning management system","education","2011-04-01"
"matchcollege","college search service","education","2012-01-20"
"mendeley","academic research paper sharing service","education","2010-05-01"
"muselia","museum mapping service","education","2010-01-27"
"museum of london","access to museum data","education","2009-10-25"
"museum victoria","online museum collection","education","2011-10-18"
"museumsvokabular","german museum vocabulary retrieval service","education","2012-01-06"
"mychances","college admissions prediction service","education","2009-11-08"
"mycitiscape","college campus information application","education","2012-01-26"
"national maritime museum","maritime museum online collection","education","2011-10-11"
"natureserve species","biological data service","education","2011-10-25"
"ntnu ime faculty","ntnu university data","education","2011-05-13"
"oclc questionpoint","library knowledge base access","education","2011-12-19"
"ocwsearch","university course search service","education","2010-07-09"
"oneschool","college campus online resource for students","education","2011-11-08"
"open archives initiative","journal article metadata harvesting service","education","2012-01-05"
"open context","museum collection resesarch and reference service","education","2010-03-05"
"open domesday","online copy of domesday book","education","2012-01-11"
"opendoar","academic research repository","education","2007-05-21"
"opensesame","elearning course management and marketplace platform","education","2011-10-04"
"oregon education","educational assessment data service","education","2011-11-29"
"pays-lecture","french media library catalogue","education","2012-01-05"
"powerhouse museum collection","online museum collection and datasets","education","2011-10-11"
"quizlet flashcards","world&#039;s largest flashcards database","education","2010-11-17"
"reciprocal research network","first nations items research environment","education","2011-10-18"
"rijksmuseum","dutch art museum information service","education","2011-12-19"
"schooltube","video hosting/sharing service for schools","education","2011-11-08"
"science museum","british science museum data and services","education","2008-09-03"
"scorm cloud","scorm cloud computing service","education","2010-10-28"
"strand map","interactive mind-mapping service","education","2012-02-01"
"strand map service","interactive maps for students and teachers","education","2011-06-24"
"teachstreet classes and courses","local and online class search and community","education","2010-07-12"
"the oxford celtic coin index","british coin collection images and data","education","2011-10-18"
"uc davis iet","university directory services","education","2012-01-10"
"uc davis online directory search","uc davis online directory search service","education","2011-10-18"
"university of washington groups","university organization service","education","2010-12-15"
"victoria & albert museum","museum online collection access","education","2010-01-12"
"western australian museum","museum data service","education","2011-11-29"
"wiziq virtual classroom","online learning management platform","education","2011-11-25"
"worldcat registry","worldcat registry access","education","2011-12-19"
"18amail","email marketing service","email","2010-01-18"
"activecampaign","email marketing service","email","2010-03-13"
"amazon ses","email sending service","email","2011-01-25"
"aol open mail","email services","email","2008-01-08"
"apinbox","incoming emails to web service","email","2010-12-02"
"benchmarkemail","email marketing api","email","2010-10-28"
"blinkcampaign","social media and email marketing platform","email","2011-07-05"
"block disposable email","detect spam email service","email","2011-05-25"
"briteverify","realtime email data verification","email","2011-07-07"
"bronto","email marketing service","email","2008-11-11"
"cakeengine","email marketing service","email","2011-04-29"
"cakemail","email marketing service","email","2009-03-14"
"campaign monitor","email list and campaign management service","email","2008-07-18"
"campaigncog","email marketing campaign service","email","2011-11-15"
"cdyne email verification","email verification service","email","2010-11-22"
"cleverreach","email marketing and delivery service","email","2011-06-30"
"click2mail","web-based email service","email","2011-11-08"
"constantcontact","email marketing service","email","2009-02-14"
"contactology","best email marketing api","email","2008-12-07"
"context.io","email inbox as data source service","email","2011-03-21"
"data24-7","sms messaging / carrier / email / cnam lookup service","email","2010-10-01"
"data8 email validation","email validation service","email","2011-02-22"
"disposable e-mail address","trash mail service","email","2011-05-31"
"easy antispam","email spam services","email","2009-02-16"
"elastic email","cloud email delivery service","email","2010-08-24"
"email address validator","email address validation service","email","2006-11-11"
"email data source","email marketing campaign management","email","2009-05-10"
"email yak","web based email api","email","2010-08-19"
"email2http","email delivery services","email","2008-01-04"
"emailloop","email marketing service","email","2011-09-13"
"emailmanager","email marketing and crm synchronization system","email","2011-08-01"
"emarketeer","marketing campaign tracking service","email","2012-01-09"
"emma","email marketing service","email","2011-02-09"
"exacttarget","email delivery services","email","2006-06-13"
"fractal","html email validation and fixing service","email","2011-09-08"
"fraudlabs mailbox validator","email address validation service","email","2008-10-05"
"fusemail","email hosting service","email","2011-02-22"
"futuremail","email scheduling and queuing service","email","2011-04-01"
"getresponse","email marketing service","email","2010-12-14"
"google apps email migration","migrate existing email systems to google apps","email","2007-11-18"
"google email settings","allows administration of google apps email accounts","email","2008-10-16"
"google gmail oauth","email service","email","2010-03-31"
"graphicmail","online email marketing service","email","2010-02-24"
"graphicmail","email newsletter service","email","2010-10-21"
"guerrilla mail","temporary email service","email","2011-05-05"
"icontact","email marketing service","email","2009-09-05"
"industry mailout mymailout","email marketing and delivery service","email","2011-06-30"
"intellicontact","email marketing service","email","2007-05-15"
"jangomail","bulk email service","email","2006-08-20"
"leadsnyou email marketing","email marketing service","email","2011-04-26"
"listimonkey","twitter list email delivery application","email","2012-01-31"
"little green plane","u.k. mail marketing campaign management service","email","2012-01-09"
"luxsci","email hosting/archiving & filesharing service","email","2011-11-08"
"lyris hq email","email marketing service","email","2012-01-30"
"mad mimi mailer","mass email marketing tool","email","2010-02-18"
"mail monitor","email marketing campaign management","email","2011-03-07"
"mail2","email marketing service","email","2011-11-19"
"mailbuild","email forms and templates service","email","2007-04-15"
"mailchimp","email list and campaign management service","email","2007-12-21"
"mailerlite","email marketing service","email","2011-11-29"
"mailgun","integrate email mailboxes into apps","email","2010-11-09"
"mailjet","cloud hosted email platform","email","2011-12-11"
"mailtrust","email hosting service","email","2008-08-09"
"mailup","broadcast email service","email","2012-01-06"
"message faces","display sender portraits in email inbox","email","2010-12-17"
"messagegears","cloud email delivery service","email","2010-11-29"
"mirkolofio mailinator","email service","email","2011-12-13"
"movable ink","live email content service","email","2011-08-02"
"murrion software track email opens","email marketing campaign tracking service","email","2011-05-25"
"mxsave","email backup and recovery service","email","2010-11-17"
"mynewsletterbuilder","email marketing and delivery service","email","2011-08-22"
"net atlantic","email marketing service; list and campaign management; bulk email sender; mass email services","email","2010-08-17"
"nicereply","email customer service platform","email","2010-09-09"
"orange email","email service","email","2008-02-10"
"orange personal messages","mobile email messaging service","email","2008-03-29"
"postageapp","email management service","email","2010-02-11"
"postcode anywhere email validation","email validation service","email","2011-03-07"
"postmark","email management service","email","2010-08-10"
"publicaster","email marketing management","email","2007-08-15"
"rackspace email","email hosting service","email","2011-03-18"
"rapleaf","enable personalization for consumers","email","2006-08-13"
"rpost","registered email services","email","2011-11-04"
"sendgrid","email delivery. simplified.","email","2009-08-13"
"sendinc rest","email encryption services","email","2011-09-16"
"sendinc smtp","email encryption services","email","2011-09-16"
"sendlabs","email marketing service","email","2011-01-04"
"sendloop","email marketing service","email","2011-04-14"
"serviceobjects dots email validation","email validation service","email","2011-08-09"
"silverpop","marketing automation service","email","2012-01-09"
"socketlabs email on demand","hosted on demand email service","email","2010-03-24"
"spamon","disposable email address service","email","2011-08-30"
"streamsend","email marketing service","email","2011-02-15"
"strikeiron email verification","email verification service","email","2006-09-29"
"subscribermail","email marketing service","email","2008-08-09"
"supportbreeze","support email tracking service","email","2011-02-08"
"topica","email marketing service","email","2011-11-29"
"toutapp","email template and campaign service","email","2011-08-29"
"ucrux","email marketing software service","email","2010-08-17"
"undisposable","collaborative protection against disposable email","email","2007-11-12"
"verticalresponse","email service provider","email","2007-04-26"
"webmail.us","email hosting service","email","2007-02-10"
"whatcounts","email management services","email","2007-03-10"
"writethat.name","contact updating service","email","2011-08-29"
"xwebemailvalidation","email address validation service","email","2012-01-19"
"yahoo mail","web based email system","email","2007-03-28"
"yahoo mail applications","platform for email extensions","email","2008-12-15"
"1daylater","business expense tracking tool","enterprise","2010-02-07"
"activ financial","financial market data services","enterprise","2008-10-05"
"addresstwo","small business crm service","enterprise","2011-02-15"
"admitpad","academic admissions services","enterprise","2011-10-26"
"agendize action","business conversion tools platform","enterprise","2011-06-10"
"agendize analytics","business conversion tools platform","enterprise","2011-06-10"
"agendize developers","business conversion tools platform","enterprise","2011-06-30"
"agendize platform","business conversion tools platform","enterprise","2011-06-10"
"agree&#039;nsign","online electronic signature service","enterprise","2011-11-19"
"allclients","web based crm and marketing system","enterprise","2010-11-02"
"alsamarketing","online marketing platform","enterprise","2011-10-18"
"appshore","small business crm service","enterprise","2011-02-15"
"apsalar apscience","mobile analytics platform","enterprise","2011-12-14"
"aql vcard","business card generator services","enterprise","2008-06-29"
"aria","crm and other business applications","enterprise","2008-03-29"
"assistly","online helpdesk tool","enterprise","2010-12-15"
"assuresign","web-based e-signature service","enterprise","2010-11-19"
"axeda","machine to machine application platform","enterprise","2010-11-09"
"bantam live","social crm tools","enterprise","2011-01-10"
"batchbook","customer relationship management","enterprise","2009-02-24"
"bluefolder","service management software","enterprise","2011-03-08"
"bluekai","data management platform and services","enterprise","2011-12-09"
"blueservice","field service management","enterprise","2010-04-18"
"bullseye lead manager","lead capturing and management service","enterprise","2010-12-14"
"capsule crm","online crm service","enterprise","2010-03-24"
"cashboard","financial and time tracking service","enterprise","2011-03-08"
"catchpoint","web performance monitoring service","enterprise","2011-04-26"
"centraldesktop","online collaboration software","enterprise","2010-10-07"
"checkfront","booking management service","enterprise","2010-06-30"
"cisco webex","conferencing and collaboration services","enterprise","2006-12-08"
"citrix online gotomeeting","online meeting service","enterprise","2011-11-19"
"citrix online gototraining","online training service","enterprise","2011-11-19"
"citrix online gotowebinar","web conferencing","enterprise","2011-11-19"
"clarabridge","sentiment and text analytics software","enterprise","2012-01-27"
"coffeebean","social media sales prospecting and relationship management service","enterprise","2012-01-05"
"company wizard open point","electronic company formation services","enterprise","2011-07-05"
"compass: business data","business marketing database","enterprise","2010-10-28"
"contact hero","crm services","enterprise","2008-09-24"
"contractpal","electronic signature and document automation service","enterprise","2009-04-08"
"coupa","e-procurement and expense management service","enterprise","2010-11-19"
"dabbleboard","online whiteboard for drawing and team collaboration","enterprise","2009-12-04"
"datawitness","electronic records archiving","enterprise","2008-08-16"
"doba","ecommerce service","enterprise","2008-03-27"
"docusign enterprise","electronic signature contract execution services","enterprise","2008-03-29"
"docverify","e-signature and secure file storage service","enterprise","2010-03-29"
"dojo learning","training elearning services","enterprise","2008-10-07"
"easy insight","saas based business intelligence service","enterprise","2010-01-11"
