"NULL","age","years in major league baseball oryears matching criteria>yrs","plate appearancesestimated using ab + bb + hbp + sf + shmissing catcher interferences.when this color click for a summary of each pa.>pa","g","plate appearancesestimated using ab + bb + hbp + sf + shmissing catcher interferences.when this color click for a summary of each pa.>pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","hits/at batsfor recent years leaders need 3.1 paper team game played>ba","(h + bb + hbp)/(at bats + bb + hbp + sf)for recent years leaders need 3.1 paper team game played>obp","total bases/at bats or (1b + 2*2b + 3*3b + 4*hr)/abfor recent years leaders need 3.1 paper team game played>slg","on-base + slugging percentages for recent years leaders need 3.1 paper team game played>ops","ops+100*[obp/lg obp + slg/lg slg - 1]adjusted to the player&#146;s ballpark(s)>ops+","total basessingles + 2 x doubles + 3 x triples + 4 x home runs.>tb","double plays grounded intoonly includes standard 6-4-3 4-3 etc. double plays.first tracked in 1933.>gdp","hbp","sh","sacrifice fliesfirst tracked in 1954.>sf","intentional bases on ballsfirst tracked in 1955.>ibb"
"benny&nbsp;frey","24","2","104","47","104","96","10","28","5","1","0","5","0","NULL","4","19",".292",".320",".365",".685","69","35","NULL","0","4","NULL","NULL"
"johnny&nbsp;gooch#","32","10","2525","768","2525","2286","221","648","97","28","7","291","11","5","195","134",".283",".344",".360",".703","81","822","NULL","15","29","NULL","NULL"
"harry&nbsp;heilmann","35","16","8929","2132","8929","7756","1288","2652","540","151","183","1533","113","64","856","548",".342",".410",".521",".931","148","4043","NULL","40","277","NULL","NULL"
"si&nbsp;johnson","23","3","22","39","22","21","2","5","0","0","0","1","0","NULL","1","3",".238",".273",".238",".511","29","5","NULL","0","0","NULL","NULL"
"high&nbsp;pockets&nbsp;kelly","34","15","6339","1558","6339","5791","796","1729","328","75","144","998","65","43","364","667",".299",".343",".456",".799","110","2639","NULL","28","156","NULL","NULL"
"ray&nbsp;kolp","35","8","445","264","445","394","34","77","15","3","2","28","0","0","15","64",".195",".225",".264",".489","25","104","NULL","0","36","NULL","NULL"
"red&nbsp;lucas*","28","8","689","383","689","607","76","186","22","8","2","88","1","0","59","57",".306",".369",".379",".748","96","230","NULL","1","22","NULL","NULL"
"jakie&nbsp;may","34","12","494","344","494","438","30","74","8","5","2","22","0","0","26","113",".169",".219",".224",".443","20","98","NULL","2","28","NULL","NULL"
"doug&nbsp;mcweeny","33","8","338","206","338","288","18","30","3","0","0","6","1","0","31","126",".104",".194",".115",".308","-18","33","NULL","1","18","NULL","NULL"
"bob&nbsp;meusel","33","11","6028","1407","6028","5475","826","1693","368","95","156","1067","143","102","375","619",".309",".356",".497",".852","118","2719","NULL","21","157","NULL","NULL"
"harry&nbsp;riconda","33","6","863","243","863","765","83","189","44","11","4","70","13","6","61","91",".247",".309",".349",".658","71","267","NULL","8","29","NULL","NULL"
"eppa&nbsp;rixey","39","18","1553","631","1553","1413","91","267","31","3","3","101","2","2","45","200",".189",".219",".222",".440","20","313","NULL","9","86","NULL","NULL"
"joe&nbsp;stripp","27","3","903","236","903","790","116","222","47","11","7","101","17","NULL","83","60",".281",".355",".395",".750","88","312","NULL","8","22","NULL","NULL"
"lena&nbsp;styles","30","4","99","43","99","89","7","23","4","2","0","11","1","0","8","17",".258",".327",".348",".675","78","31","NULL","1","1","NULL","NULL"
"clyde&nbsp;sukeforth*","28","5","709","250","709","645","78","186","29","6","2","57","11","NULL","44","26",".288",".335",".361",".696","76","233","NULL","1","19","NULL","NULL"
"evar&nbsp;swanson","27","2","959","243","959","875","143","265","50","15","6","65","37","NULL","52","64",".303",".347",".415",".762","90","363","NULL","7","25","NULL","NULL"
"curt&nbsp;walker*","33","12","5572","1359","5572","4858","718","1475","235","117","64","688","96","38","535","254",".304",".374",".440",".813","110","2136","NULL","9","170","NULL","NULL"
"biff&nbsp;wysong*","25","1","0","1","0","0","0","0","0","0","0","0","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","0","NULL","0","0","NULL","NULL"
"NULL","age","years in major league baseball oryears matching criteria>yrs","plate appearancesestimated using ab + bb + hbp + sf + shmissing catcher interferences.when this color click for a summary of each pa.>pa","g","plate appearancesestimated using ab + bb + hbp + sf + shmissing catcher interferences.when this color click for a summary of each pa.>pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","hits/at batsfor recent years leaders need 3.1 paper team game played>ba","(h + bb + hbp)/(at bats + bb + hbp + sf)for recent years leaders need 3.1 paper team game played>obp","total bases/at bats or (1b + 2*2b + 3*3b + 4*hr)/abfor recent years leaders need 3.1 paper team game played>slg","on-base + slugging percentages for recent years leaders need 3.1 paper team game played>ops","ops+100*[obp/lg obp + slg/lg slg - 1]adjusted to the player&#146;s ballpark(s)>ops+","total basessingles + 2 x doubles + 3 x triples + 4 x home runs.>tb","double plays grounded intoonly includes standard 6-4-3 4-3 etc. double plays.first tracked in 1933.>gdp","hbp","sh","sacrifice fliesfirst tracked in 1954.>sf","intentional bases on ballsfirst tracked in 1955.>ibb"
