"{|page}","{|order}","{|family}","{|genus &amp; species}","{|common name}","{|bna no.}"
"023.3","procellariiformes","hydrobatidae","oceanodroma furcata","fork-tailed storm-petrel","569"
"024.1","procellariiformes","hydrobatidae","oceanodroma leucorhoa","leach's storm-petrel","233"
"024.2","procellariiformes","hydrobatidae","oceanodroma homochroa","ashy storm-petrel","185"
"025.1","procellariiformes","hydrobatidae","oceanodroma castro","band-rumped storm-petrel","673"
"025.3","procellariiformes","hydrobatidae","oceanodroma melania","black storm-petrel","577"
"026.1","procellariiformes","hydrobatidae","oceanodroma tristrami","tristram's storm-petrel","673"
"026.3","pelecaniformes","phaethontidae","phaethon lepturus","white-tailed tropicbird","353"
"027.2","pelecaniformes","phaethontidae","phaethon rubricauda","red-tailed tropicbird","43"
"028.1","pelecaniformes","sulidae","sula dactylatra","masked booby","73"
"029.2","pelecaniformes","sulidae","sula leucogaster","brown booby","649"
"029.3","pelecaniformes","sulidae","sula sula","red-footed booby","241"
"030.1","pelecaniformes","sulidae","morus      bassanus","northern      gannet","693"
"031.1","pelecaniformes","pelecanidae","pelecanus erythrorhynchos","american white pelican","57"
"031.2","pelecaniformes","pelecanidae","pelecanus      occidentalis","brown      pelican","609"
"032.1","pelecaniformes","phalacrocoracidae","phalacrocorax    penicillatus","brandt's cormorant","362"
"032.2","pelecaniformes","phalacrocoracidae","phalacrocorax brasilianus","neotropic cormorant","137"
"032.3","pelecaniformes","phalacrocoracidae","phalacrocorax auritus","double-crested      cormorant","441"
"033.1","pelecaniformes","phalacrocoracidae","phalacrocorax carbo","great      cormorant","553"
"033.2","pelecaniformes","phalacrocoracidae","phalacrocorax      urile","red-faced      cormorant","617"
"034.1","pelecaniformes","phalacrocoracidae","phalacrocorax pelagicus","pelagic    cormorant","282"
"034.2","pelecaniformes","anhingidae","anhinga      anhinga","anhinga","522"
"035.1","pelecaniformes","fregatidae","fregata      magnificens","magnificent      frigatebird","601"
"035.2","pelecaniformes","fregatidae","fregata      minor","great      frigatebird","681"
"036.3","ciconiiformes","ardeidae","botaurus lentiginosus","american bittern","18"
"037.2","ciconiiformes","ardeidae","ixobrychus exilis","least bittern","17"
"039.1","ciconiiformes","ardeidae","ardea herodias","great blue heron","25"
"040.3","ciconiiformes","ardeidae","ardea alba","great      egret","570"
"042.1","ciconiiformes","ardeidae","egretta      thula","snowy      egret","489"
"042.2","ciconiiformes","ardeidae","egretta caerulea","little blue heron","145"
"043.1","ciconiiformes","ardeidae","egretta tricolor","tricolored heron","306"
"043.2","ciconiiformes","ardeidae","egretta      rufescens","reddish      egret","633"
"044.1","ciconiiformes","ardeidae","bubulcus ibis","cattle egret","113"
"044.2","ciconiiformes","ardeidae","butorides virescens","green heron","129"
"046.2","ciconiiformes","ardeidae","nycticorax nycticorax","black-crowned night-heron","74"
"046.3","ciconiiformes","ardeidae","nyctanassa violacea","yellow-crowned night-heron","161"
"047.2","ciconiiformes","threskiornithidae","eudocimus albus","white ibis","9"
"048.2","ciconiiformes","threskiornithidae","plegadis      falcinellus","glossy      ibis","545"
"049.1","ciconiiformes","threskiornithidae","plegadis chihi","white-faced ibis","130"
"050.2","ciconiiformes","threskiornithidae","ajaia      ajaja","roseate      spoonbill","490"
"051.2","ciconiiformes","ciconiidae","mycteria    americana","wood stork","409"
"052.1","ciconiiformes","cathartidae","coragyps atratus","black vulture","411"
"052.2","ciconiiformes&nbsp;&nbsp;&nbsp;&nbsp;          on cover:&nbsp; falconiformes","cathartidae","cathartes aura","turkey vulture","339"
"053.1","ciconiiformes","cathartidae","gymnogyps      californianus","california      condor","610"
"055.2","anseriformes","anatidae","dendrocygna      autumanlis","black-bellied      whistling-duck","578"
"056.2","anseriformes","anatidae","dendrocygna      bicolor","fulvous      whistling-duck","562"
"057.2","anseriformes","anatidae","anser albifrons","greater white-fronted goose","131"
"058.1","anseriformes","anatidae","chen canagica","emperor goose","97"
"058.2","anseriformes","anatidae","chen caerulescens","snow      goose","NULL"
"059.1","anseriformes","anatidae","chen rossii","ross' goose","162"
"059.2","anseriformes","anatidae","branta      canadensis","canada      goose","682"
"060.1","anseriformes","anatidae","branta      sandvicensis","hawaiian      goose (nene)","434"
"060.2","anseriformes","anatidae","branta bernicla","brant","337"
"062.1","anseriformes","anatidae","cygnus olor","mute swan","273"
"062.2","anseriformes","anatidae","cygnus buccinator","trumpeter swan","105"
"062.3","anseriformes","anatidae","cygnus columbianus","tundra swan","89"
"065.1","anseriformes","anatidae","aix sponsa","wood duck","169"
"066.1","anseriformes","anatidae","anas strepera","gadwall","283"
"067.1","anseriformes","anatidae","anas americana","american wigeon","401"
"068.1","aneriformes","anatidae","anas      rubripes","american      black duck","481"
"068.2","anseriformes","anatidae","anas platyrhynchos","mallard","658"
"069.1","anseriformes","anatidae","anas fulvigula","mottled duck","81"
"069.2","anseriformes","anatidae","anas      wyvilliana","hawaiian      duck","694"
"069.3","anseriformes","anatidae","anas laysanensis","laysan duck","242"
"070.1","anseriformes","anatidae","anas      discors","blue-winged      teal","625"
"070.2","anseriformes","anatidae","anas cyanoptera","cinnamon teal","209"
"071.1","anseriformes","anatidae","anas clypeata","northern shoveler","217"
"071.3","anseriformes","anatidae","anas acuta","northern pintail","163"
"073.1","anseriformes","anatidae","anas crecca","green-winged    teal","193"
"074.1","anseriformes","anatidae","aythya valisineria","canvasback","659"
"074.2","anseriformes","anatidae","aythya    americana","redhead","695"
"075.2","anseriformes","anatidae","aythya collaris","ring-necked duck","329"
"076.1","anseriformes","anatidae","aythya marila","greater scaup","650"
"076.2","anseriformes","anatidae","aythya affinis","lesser scaup","338"
"077.1","anseriformes","anatidae","polysticta      stelleri","steller's      eider","571"
"077.2","anseriformes","anatidae","somateria      fischeri","spectacled      eider","547"
"077.3","anseriformes","anatidae","somateria      spectabilis","king      eider","491"
"078.1","anseriformes","anatidae","somateria      mollissima","common      eider","546"
"079.1","anseriformes","anatidae","histrionicus      histrionicus","harlequin      duck","466"
"079.2","anseriformes","anatidae","camptorhynchus labradorius","labrador duck","307"
"079.3","anseriformes","anatidae","melanitta perspicillata","surf scoter","363"
"080.1","anseriformes","anatidae","melanitta fusca","white-winged scoter","274"
"081.1","anseriformes","anatidae","melanitta nigra","black scoter","177"
"081.2","anseriformes","anatidae","clangula hyemalis","long-tailed duck&nbsp;    check-list: oldsquaw","651"
"082.1","anseriformes","anatidae","bucephala albeola","bufflehead","67"
"082.2","anseriformes","anatidae","bucephala clangula","common goldeneye","170"
"083.1","anseriformes","anatidae","bucephala islandica","barrow's      goldeneye","548"
"084.1","anseriformes","anatidae","lophodytes cucullatus","hooded merganser","98"
"084.2","anseriformes","anatidae","mergus      merganser","common      merganser","442"
"085.1","anseriformes","anatidae","mergus      serrator","red-breasted      merganser","443"
"085.2","anseriformes","anatidae","nomonyx dominica","masked duck","393"
"086.1","anseriformes","anatidae","oxyura      jamaicensis","ruddy      duck","696"
"087.1","falconiformes","accipitridae","pandion      haliaetus","osprey","683"
"088.1","falconiformes","accipitridae","elanoides forficatus","swallow-tailed kite","138"
"089.1","falconiformes","accipitridae","elanus leucurus","white-tailed kite","178"
"089.2","falconiformes","accipitridae","rostrhamus sociabilis","snail kite","171"
"090.3","falconiformes","accipitridae","ictinia    mississippiensis","mississippi kite","402"
"091.2","falconiformes","accipitridae","haliaeetus      leucocephalus","bald      eagle","506"
"092.3","falconiformes","accipitridae","circus cyaneus","northern    harrier","210"
"093.3","falconiformes","accipitridae","accipiter striatus","sharp-shinned      hawk","482"
"094.1","falconiformes","accipitridae","accipiter cooperii","cooper's hawk","75"
"095.1","falconiformes","accipitridae","accipiter gentilis","northern    goshawk","298"
"097.1","falconiformes","accipitridae","astruina nitida","gray hawk","652"
"097.2","falconiformes","accipitridae","buteogallus anthracinus","common black-hawk","122"
"098.3","falconiformes","accipitridae","parabuteo unicinctus","harris' hawk","146"
"099.3","falconiformes","accipitridae","buteo lineatus","red-shouldered hawk","107"
"100.2","falconiformes","accipitridae","buteo platypterus","broad-winged hawk","218"
"100.3","falconiformes","accipitridae","buteo brachyurus","short-tailed hawk","674"
"101.1","falconiformes","accipitridae","buteo swainsoni","swainson's hawk","265"
"101.2","falconiformes","accipitridae","buteo albicaudatus","white-tailed hawk","30"
"101.3","falconiformes","accipitridae","buteo albonotatus","zone-tailed      hawk","529"
"102.1","falconiformes","accipitridae","buteo solitarius","hawaiian      hawk","523"
"102.2","falconiformes","accipitridae","buteo jamaicensis","red-tailed hawk","52"
"102.3","falconiformes","accipitridae","buteo regalis","ferruginous hawk","172"
"103.1","falconiformes","accipitridae","buteo lagopus","rough-legged hawk","641"
"104.1","falconiformes","accipitridae","aquila    chrysaetos","golden eagle","684"
"106.3","falconiformes","falconidae","caracara plancus","crested caracara","249"
"108.2","falconiformes","falconidae","falco      sparverius","american      kestrel","602"
"109.1","falconiformes","falconidae","falco columbarius","merlin","44"
"109.3","falconiformes","falconidae","falco femoralis","aplomado      falcon","549"
"110.3","falconiformes","falconidae","falco rusticolus","gyrfalcon","114"
"111.1","falconiformes","falconidae","falco peregrinus","peregrine falcon","660"
"111.2","falconiformes","falconidae","falco mexicanus","prairie falcon","346"
"112.1","galliformes","cracidae","ortalis      vetula","plain      chachalaca","550"
"114.4","galliformes","phasianidae","alectoris chukar","chukar","258"
"115.1","galliformes","phasianidae","francolinus    pondicerianus","gray francolin","396"
"115.2","galliformes","phasianidae","francolinus    francolinus","black francolin","395"
"115.3","galliformes","phasianidae","francolinus    erckelii","erckel's francolin","394"
"116.1","galliformes","phasianidae","tetraogallus himalayensis","himalayan snowcock","328"
"116.2","galliformes","phasianidae","perdix perdix","gray partridge","58"
"117.3","galliformes","phasianidae","phasianus      colchicus","ring-necked      pheasant","572"
"118.1","galliformes","phasianidae","pavo cristatus","common peafowl","377"
"118.2","galliformes","phasianidae","bonasa      umbellus","ruffed      grouse","515"
"119.1","galliformes","phasianidae","centrocercus      urophasianus","sage grouse","425"
"119.2","galliformes","phasianidae","falcipennis canadensis","spruce grouse","5"
"119.3","galliformes","phasianidae","logopus      lagopus","willow ptarmigan","369"
"120.1","galliformes","phasianidae","lagopus mutus","rock ptarmigan","51"
"120.2","galliformes","phasianidae","lagopus leucurus","white-tailed ptarmigan","68"
"121.1","galliformes","phasianidae","dendragapus obscurus","blue grouse","15"
"121.2","galliformes","phasianidae","tympanuchus phasianellus","sharp-tailed grouse","354"
"121.3","galliformes","phasianidae","tympanuchus cupido","greater prairie-chicken","36"
"122.1","galliformes","phasianidae","tympanuchus    pallidicinctus","lesser    prairie-chicken","364"
"122.2","galliformes","phasianidae","meleagris gallopavo","wild turkey","22"
"124.2","galliformes","odontophoridae","oreortyx      pictus","mountain      quail","457"
"124.3","galliformes","{|odontophoridae&nbsp; on cover: phasianidae}","callipepla squamata","scaled quail","106"
"125.1","galliformes","odontophoridae","callipepla california","california      quail","473"
"125.2","galliformes","{|odontophoridae&nbsp;&nbsp;}","callipepla gambelii","gambel's quail","321"
"125.4","galliformes","odontophoridae","colinus    virginianus","northern bobwhite","397"
"128.2","galliformes","odontophoridae","cyrtonyx      montezumae","montezuma      quail","524"
"129.1","gruiformes","rallidae","coturnicops noveboracensis","yellow rail","139"
"130.4","gruiformes","rallidae","laterallus jamaicensis","black rail","123"
"131.2","gruiformes","rallidae","rallus longirostris","clapper rail","340"
"132.1","gruiformes","rallidae","rallus elegans","king rail","3"
"132.2","gruiformes","rallidae","rallus limicola","virginia    rail","173"
"133.4","gruiformes","rallidae","porzana      palmeri","laysan      rail","426"
"134.2","gruiformes","rallidae","porzana carolina","sora","250"
"134.3","gruiformes","rallidae","porzana      sandwichensis","hawaiian      rail","426"
"136.1","gruiformes","rallidae","porphyrula      martinica","purple      gallinule","626"
"137.1","gruiformes","rallidae","gallinula      chloropus","common      moorhen","685"
"138.2","gruiformes","rallidae","fulica      americana","american      coot","697"
"139.3","gruiformes","aramidae","aramus      guarauna","limpkin","627"
"140.1","gruiformes","gruidae","grus canadensis","sandhill crane","31"
"141.1","gruiformes","gruidae","grus americana","whooping crane","153"
"143.1","charadriiformes","charadriidae","pluvialis squatarola","black-bellied plover","186"
"143.3","charadriiformes","charadriidae","pluvialis dominica","american golden-plover","201"
"144.1","charadriiformes","charadriidae","pluvialis fulva","pacific golden-plover","202"
"145.3","charadriiformes","charadriidae","charadrius alexandrinus","snowy plover","154"
"146.1","charadriiformes","charadriidae","charadrius wilsonia","wilson's      plover","516"
"147.1","charadriiformes","charadriidae","charadrius semipalmatus","semipalmated      plover","444"
"147.2","charadriiformes","charadriidae","charadrius melodus","piping plover","2"
"148.2","charadriiformes","charadriidae","charadrius vociferus","killdeer","517"
"148.3","charadriiformes","charadriidae","charadrius montanus","mountain    plover","211"
"150.1","charadriiformes","haematopodidae","haematopus palliatus","american oystercatcher","82"
"150.2","charadriiformes","haematopodidae","haematopus bachmani","black oystercatcher","155"
"151.1","charadriiformes","recurvirostridae","himantopus      mexicanus","black-necked      stilt","449"
"151.2","charadriiformes","recurvirostridae","recurvirostra americana","american avocet","275"
"152.1","charadriiformes","jacanidae","jacana      spinosa","northern      jacana","467"
"153.2","charadriiformes","scolopacidae","tringa melanoleuca","greater yellowlegs","355"
"153.3","charadriiformes","scolopacidae","tringa      flavipes","lesser      yellowlegs","427"
"155.3","charadriiformes","scolopacidae","tringa solitaria","solitary sandpiper","156"
"156.1","charadriiformes","scolopacidae","catoptrophorus      semipalmatus","willet","579"
"156.2","charadriiformes","scolopacidae","heteroscelus incanus","wandering tattler","642"
"158.1","charadriiformes","scolopacidae","actitis macularia","spotted sandpiper","289"
"159.1","charadriiformes","scolopacidae","bartramia      longicauda","upland      sandpiper","580"
"159.3","charadriiformes","scolopacidae","numenius borealis","eskimo curlew","347"
"160.1","charadriiformes","scolopacidae","numenius phaeopus","whimbrel","219"
"161.1","charadriiformes","scolopacidae","numenius      tahitiensis","bristle-thighed      curlew","705"
"162.1","charadriiformes","scolopacidae","numenius      americanus","long-billed      curlew","628"
"163.1","charadriiformes","scolopacidae","limosa      haemastica","hudsonian      godwit","629"
"163.2","charadriiformes","scolopacidae","limosa      lapponica","bar-tailed      godwit","581"
"163.3","charadriiformes","scolopacidae","limosa      fedoa","marbled      godwit","492"
"164.1","charadriiformes","scolopacidae","arenaria      interpres","ruddy      turnstone","537"
"165.1","charadriiformes","scolopacidae","arenaria      melanocephala","black      turnstone","585"
"165.2","charadriiformes","scolopacidae","aphriza virgata","surfbird","266"
"166.2","charadriiformes","scolopacidae","calidris canutus","red      knot","563"
"167.1","charadriiformes","scolopacidae","calidris alba","sanderling","653"
"167.2","charadriiformes","scolopacidae","calidris pusilla","semipalmated sandpiper","6"
"168.1","charadriiformes","scolopacidae","calidris mauri","western sandpiper","90"
"169.3","charadriiformes","scolopacidae","calidris minutilla","least sandpiper","115"
"170.1","charadriiformes","scolopacidae","calidris fuscicollis","white-rumped sandpiper","29"
"170.2","charadriiformes","scolopacidae","calidris bairdii","baird's sandpiper","661"
"171.1","charadriiformes","scolopacidae","calidris melanotos","pectoral sandpiper","348"
"171.3","charadriiformes","scolopacidae","calidris      maritima","purple      sandpiper","706"
"172.1","charadriiformes","scolopacidae","calidris      ptilocnemis","rock      sandpiper","686"
"172.2","charadriiformes","scolopacidae","calidris alpina","dunlin","203"
"173.2","charadriiformes","scolopacidae","calidris himantopus","stilt sandpiper","341"
"174.3","charadriiformes","scolopacidae","tryngites subruficollis","buff-breasted sandpiper","91"
"175.2","charadriiformes","scolopacidae","limnodromus      griseus","short-billed      dowitcher","564"
"176.1","charadriiformes","scolopacidae","limnodromus      scolopaceus","long-billed      dowitcher","493"
"177.1","charadriiformes","scolopacidae","gallinago      gallinago","common      snipe","417"
"178.2","charadriiformes","scolopacidae","scolopax minor","american woodcock","100"
"179.1","charadriiformes","scolopacidae","{|phalaropus tricolor&nbsp;}","wilson's phalarope","83"
"179.2","charadriiformes","scolopacidae","phalaropus lobatus","red-necked      phalarope","538"
"180.1","charadriiformes","scolopacidae","phalaropus fulicarius","red      phalarope","698"
"182.2","charadriiformes","laridae","stercorarius      pomarinus","pomarine      jaeger","483"
"182.3","charadriiformes","laridae","stercorarius      parasiticus","parasitic      jaeger","445"
"183.1","charadriiformes","laridae","stercorarius longicaudus","long-tailed jaeger","365"
"184.1","charadriiformes","laridae","larus atricilla","laughing gull","225"
"184.2","charadriiformes","laridae","larus pipixcan","franklin's gull","116"
"185.1","charadriiformes","laridae","larus      minutus","little      gull","428"
"186.1","charadriiformes","laridae","larus      philadelphia","bonaparte's      gull","634"
"186.2","charadriiformes","laridae","larus heermanni","heermann's gull","643"
"187.4","charadriiformes","laridae","larus    canus","mew gull","687"
"188.1","charadriiformes","laridae","larus delawarensis","ring-billed gull","33"
"189.1","charadriiformes","laridae","larus californicus","california gull","259"
"189.2","charadriiformes","laridae","larus argentatus","herring gull","124"
"190.2","charadriiformes","laridae","larus      thayeri","thayer's      gull","699"
"190.3","charadriiformes","laridae","larus      glaucoides","iceland      gull","699"
"192.1","charadriiformes","laridae","larus livens","yellow-footed gull","243"
"192.2","charadriiformes","laridae","larus occidentalis","western    gull","174"
"192.3","charadriiformes","laridae","larus glaucescens","glaucous-winged gull","59"
"193.1","charadriiformes","laridae","larus hyperboreus","glaucous      gull","573"
"193.2","charadriiformes","laridae","larus marinus","great black-backed gull","330"
"194.1","charadriiformes","laridae","xema      sabini","sabine's      gull","593"
"194.2","charadriiformes","laridae","rissa tridactyla","black-legged kittiwake","92"
"195.1","charadriiformes","laridae","rissa brevirostris","red-legged kittiwake","60"
"196.1","charadriiformes","laridae","pagophila eburnea","ivory gull","175"
"196.2","charadriiformes","laridae","sterna nilotica","gull-billed tern","140"
"197.1","charadriiformes","laridae","sterna caspia","caspian tern","403"
"197.2","charadriiformes","laridae","sterna      maxima","royal      tern","700"
"198.2","charadriiformes","laridae","sterna elegans","elegant tern","404"
"198.3","charadriiformes","laridae","sterna    sandvicensis","sandwich tern","405"
"199.1","charadriiformes","laridae","sterna dougallii","roseate tern","370"
"199.2","charadriiformes","laridae","sterna      hirundo","common      tern","618"
"200.1","charadriiformes","laridae","sterna      paradisaea","arctic      tern","707"
"201.1","charadriiformes","laridae","sterna      forsteri","foster's      tern","595"
"201.3","charadriiformes","laridae","sterna antillarum","least    tern","290"
"202.2","charadriiformes","laridae","sterna aleutica","aleutian tern","291"
"202.3","charadriiformes","laridae","sterna lunata","gray-backed      tern","525"
"203.1","charadriiformes","laridae","sterna anaethetus","bridled      tern","468"
"203.2","charadriiformes","laridae","sterna fuscata","sooty tern","665"
"205.2","charadriiformes","laridae","chlidonias niger","black    tern","147"
"206.2","charadriiformes","laridae","anous stolidus","brown noddy","220"
"206.3","charadriiformes","laridae","anous minutus","black noddy","412"
"207.2","charadriiformes","laridae","gygis alba","white tern","371"
"208.1","charadriiformes","laridae","rynchops niger","black skimmer","108"
"208.2","charadriiformes","laridae","alle      alle","dovekie","701"
"209.1","charadriiformes","alcidae","uria aalge","common murre","666"
"209.2","charadriiformes","alcidae","uria      lomvia","thick-billed      murre","497"
"210.1","charadriiformes","alcidae","alca      torda","razorbill","635"
"210.2","charadriiformes","alcidae","pinguinus impennis","great    auk","260"
"211.1","charadriiformes","alcidae","cepphus grylle","black guillemot","675"
"211.2","charadriiformes","alcidae","cepphus columba","pigeon gillemot","49"
"212.2","charadriiformes","alcidae","brachyramphus marmoratus","marbled murrelet","276"
"212.3","charadriiformes","alcidae","brachyramphus      brevirostris","kittlitz's      murrelet","435"
"213.1","charadriiformes","alcidae","synthliboramphus hypoleucus","xantus' murrelet","164"
"214.1","charadriiformes","alcidae","synthliboramphus antiquus","ancient murrelet","132"
"214.2","charadriiformes","alcidae","ptychoramphus aleuticus","cassin's auklet","50"
"215.1","charadriiformes","alcidae","aethia psittacula","parakeet auklet","594"
"215.2","charadriiformes","alcidae","aethia pusilla","least auklet","69"
"215.3","charadriiformes","alcidae","aethia pygmaea","whiskered auklet","76"
"215.4","charadriiformes","alcidae","aethia cristatella","crested auklet","70"
"216.1","charadriiformes","alcidae","cerorhinca monocerata","rhinoceros auklet","212"
"216.2","charadriiformes","alcidae","fratercula      arctica","atlantic      puffin","709"
"217.1","charadriiformes","alcidae","fratercula      corniculata","horned      puffin","603"
"217.2","charadriiformes","alcidae","fratercula      cirrhata","tufted      puffin","708"
"218.1","columbiformes","columbidae","columba livia","rock dove","13"
"219.3","columbiformes","columbidae","columba leucocephalia","white-crowned      pigeon","596"
"219.4","columbiformes","columbidae","columba flavirostris","red-billed pigeon","644"
"220.2","columbiformes","columbidae","columba fasciata","band-tailed      pigeon","530"
"222.2","columbiformes","columbidae","streptopelia      decaocto","eurasian      collared-dove","630"
"222.3","columbiformes","columbidae","streptopelia      chinensis","spotted      dove","586"
"223.2","columbiformes","columbidae","zenaida      asiatica","white-winged      dove","710"
"224.3","columbiformes","columbidae","zenaida macroura","mourning dove","117"
"225.1","columbiformes","columbidae","ectopistes      migratorius","passenger      pigeon","611"
"225.3","columbiformes","columbidae","columbina inca","inca dove","28"
"226.1","columbiformes","columbidae","columbina passerina","common ground-dove","645"
"227.4","columbiformes","columbidae","leptotila      verreauxi","white-tipped      dove","436"
"233.3","psittaciformes","psittacidae","myiopsitta monachus","monk    parakeet","322"
"234.1","psittaciformes","psittacidae","conuropsis carolinensis","carolina parakeet","667"
"238.2","psittaciformes","psittacidae","rhynchopsitta    pachyrhyncha","thick-billed parrot","406"
"240.1","psittaciformes","psittacidae","brotogeris    versicolurus","white-winged      parakeet","386"
"240.1a","psittaciformes","psittacidae","brotogeris    chiriri","yellow-chevroned      &nbsp; parakeet","387"
"243.2","psittaciformes","psittacidae","amazona viridigenalis","red-crowned parrot","292"
"247.1","cuculiformes","cuculidae","coccyzus erythropthalmus","black-billed      cuckoo","587"
"247.2","cuculiformes","cuculidae","coccyzus americanus","yellow-billed      cuckoo","418"
"248.1","cuculiformes","cuculidae","coccyzus minor","mangrove cuckoo","299"
"251.3","cuculiformes","cuculidae","geococcyx californianus","greater roadrunner","244"
"252.2","cuculiformes","cuculidae","crotophaga      ani","smooth-billed      ani","539"
"252.3","cuculiformes","cuculidae","crotophaga      sulcirostris","groove-billed      ani","612"
"253.1","strigiformes","tytonidae","tyto alba","barn owl","1"
"254.1","strigiformes","strigidae","otus flammeolus","flammulated owl","93"
"254.3","strigiformes","strigidae","otus kennicotti","western      screech-owl","597"
"255.1","strigiformes","strigidae","otus asio","eastern screech-owl","165"
"255.4","strigiformes","strigidae","otus trichopsis","whiskered      screech-owl","507"
"257.5","strigiformes","strigidae","bubo virginianus","great horned owl","372"
"258.1","strigiformes","strigidae","nyctea scandiaca","snowy owl","10"
"258.2","strigiformes","strigidae","surnia ulula","northern hawk owl","356"
"259.1","strigiformes","strigidae","glaucidium      gnoma","northern      pygmy-owl","494"
"260.2","strigiformes","strigidae","glaucidium      brasilianum","ferruginous      pygmy-owl","498"
"261.1","strigiformes","strigidae","micrathene    whitneyi","elf owl","413"
"261.2","strigiformes","strigidae","{|athene cunicularia genus on cover: speotyto}","burrowing owl","61"
"262.3","strigiformes","strigidae","strix occidentalis","spotted    owl","179"
"263.1","strigiformes","strigidae","strix varia","barred      owl","508"
"263.3","strigiformes","strigidae","strix nebulosa","great gray owl","41"
"264.1","strigiformes","strigidae","asio otus","long-eared owl","133"
"264.3","strigiformes","strigidae","asio flammeus","short-eared owl","62"
"265.3","strigiformes","strigidae","aegolius funereus","boreal owl","63"
"266.1","strigiformes","strigidae","aegolius acadicus","northern saw-whet owl","42"
"267.2","caprimulgiformes","caprimulgidae","chordeiles acutipennis","lesser nighthawk","314"
"268.1","caprimulgiformes","caprimulgidae","chordeiles minor","common nighthawk","213"
"268.2","caprimulgiformes","caprimulgidae","chordeiles      gundlachii","antillean      nighthawk","619"
"268.3","caprimulgiformes","caprimulgidae","nyctidromus      albicollis","common      pauraque","429"
"269.1","caprimulgiformes","caprimulgidae","phalaenoptilus nuttallii","common poorwill","32"
"270.4","caprimulgiformes","caprimulgidae","caprimulgus carolinensis","chuck-will's-widow","499"
"272.1","caprimulgiformes","caprimulgidae","caprimulgus ridgwayi","buff-collared nightjar","267"
"272.2","caprimulgiformes","caprimulgidae","caprimulgus      vociferus","whip-poor-will","620"
"275.1","apodiformes","apodidae","cypseloides niger","black swift","676"
"277.2","apodiformes","apodidae","chaetura pelagica","chimney swift","646"
"277.3","apodiformes","apodidae","chaetura vauxi","vaux's swift","77"
"281.1","apodiformes","apodidae","aeronautes      saxatalis","white-throated      swift","526"
"293.4","apodiformes","trochilidae","cynanthus      latirostris","broad-billed      hummingbird","430"
"296.2","apodiformes","trochilidae","hylocharis      xantusii","xantus's      hummingbird","554"
"300.1","apodiformes","trochilidae","amazilia    yucatanensis","buff-bellied    hummingbird","388"
"300.4","apodiformes","trochilidae","amazilia      violiceps","violet-crowned      hummingbird","688"
"304.1","apodiformes","trochilidae","lampornis      clemenciae","blue-throated      hummingbird","531"
"305.3","apodiformes","trochilidae","eugenes fulgens","magnificent hummingbird","221"
"308.3","apodiformes","trochilidae","calothorax lucifer","lucifer hummingbird","134"
"309.1","apodiformes","trochilidae","archilochus colubris","ruby-throated    hummingbird","204"
"309.2","apodiformes","trochilidae","archilochus alexandri","black-chinned      hummingbird","495"
"310.3","apodiformes","trochilidae","calypte anna","anna's hummingbird","226"
"310.4","apodiformes","trochilidae","calypte costae","costa's hummingbird","251"
"311.1","apodiformes","trochilidae","stellula calliope","calliope hummingbird","135"
"312.2","apodiformes","trochilidae","selasphorus platycercus","broad-tailed hummingbird","16"
"312.3","apodiformes","trochilidae","selasphorus rufus","rufous hummingbird","53"
"313.1","apodiformes","trochilidae","selasphorus sasin","allen's hummingbird","501"
"316.2","trogoniformes","trogonidae","trogon elegans","elegant trogon","357"
