"system","title","developer","publisher","genre","aso episode","reviewer","score"
"nintendo ds","new super mario bros.","nintendo","nintendo","platformer","100","nz17","n"
"nintendo ds","new zealand story revolution","marvelous entertainment","ignition entertainment","platformer","124","nz17","nr"
"nintendo ds","nintendo ds browser","opera software asa","nintendo","application","120","nz17","r"
"nintendo ds","osu! tatakae! ouendan","inis","nintendo","music / rhythm","120","nz17","hr"
"nintendo ds","osu! tatakae! ouendan! (import)","inis","nintendo","music / rhythm","112","nz17","tr"
"nintendo ds","phoenix wright: ace attorney","capcom","capcom","adventure","111","nz17","r"
"nintendo ds","puzzle quest: challenge of the warlords","1st playable / infinite interact","d3","puzzle","120","nz17","r"
"nintendo ds","sonic rush","sonic team","sega","platformer","98","nz17","hr"
"nintendo ds","sonic rush adventure","dimps corporation","sega","platformer","120","nz17","n"
"nintendo ds","touch detective","beeworks","atlus","adventure","115","nz17","nr"
"nintendo ds","yoshi touch 'n' go","nintendo","nintendo","platformer","106","nz17","nr"
"nintendo ds","yoshi's island ds","artoon","nintendo","platformer","117.5","nz17","n"
"nintendo ds","zoo keeper","success","ignition entertainment","puzzle","100","nz17","r"
"pc","blackwell legacy","wadjet eye games","wadjet eye games","adventure","120","nz17","n"
"pc","blackwell unbound","wadjet eye games","wadjet eye games","adventure","120","nz17","r"
"pc","sonic 3d blast","NULL","sega","action","NULL","nz17","r"
"playstation","brave fencer musashi","NULL","sony","adventure","NULL","nz17","hr"
"playstation","breath of fire iii","NULL","capcom","rpg","NULL","nz17","r"
"playstation","bushido blade","NULL","sony","fighting","NULL","t-man","r"
"playstation","bust-a-move 2: dance tengoku mix (import)","NULL","enix","music / rhythm","NULL","nz17","tr"
"playstation","castlevania: symphony of the night","NULL","konami","adventure","NULL","nz17","tr"
"playstation","final fantasy anthology: ffvi","NULL","square ea","rpg","NULL","nz17","tr"
"playstation","final fantasy vii","NULL","sony","rpg","NULL","nz17","r"
"playstation","final fantasy viii","NULL","square ea","rpg","NULL","zguy","tr"
"playstation","gran turismo 2","NULL","sony","sports","NULL","t-man","r"
"playstation","jumping flash! 2","NULL","sony","action","NULL","nz17","r"
"playstation","king of fighters '99 (import)","NULL","snk","fighting","NULL","nz17","r"
"playstation","mega man 8","NULL","capcom","action","NULL","nz17","r"
"playstation","mega man legends","NULL","capcom","action","NULL","nz17","tr"
"playstation","mega man x4","NULL","capcom","action","NULL","nz17","hr"
"playstation","metal gear solid","NULL","konami","adventure","NULL","nz17","tr"
"playstation","omega boost","NULL","sony","action","NULL","nz17","r"
"playstation","parasite eve","NULL","square ea","adventure","NULL","zguy","hr"
"playstation","philosoma","NULL","sony","action","NULL","nz17","r"
"playstation","r4: ridge racer type 4","NULL","sony","sports","NULL","nz17","tr"
"playstation","ranma ? battle renaissance (import)","NULL","rumicsoft","fighting","NULL","nz17","tr"
"playstation","rival schools","NULL","capcom","fighting","NULL","nz17","tr"
"playstation","sailor moon supers true leader competition (import)","NULL","angel studios","fighting","NULL","nz17","r"
"playstation","silhouette mirage","NULL","working designs","shooter","NULL","nz17","hr"
"playstation","soul blade","NULL","namco","fighting","NULL","t-man","r"
"playstation","strider 2","NULL","capcom","action","NULL","t-man","n"
"playstation","tekken 3","NULL","namco","fighting","NULL","t-man","r"
"playstation","tenchu: stealth assassins","NULL","activision","adventure","NULL","nz17","tr"
"playstation","um jammer lammy","NULL","sony","music / rhythm","NULL","nz17","tr"
"playstation","wild arms","NULL","sony","rpg","NULL","nz17","r"
"playstation","xenogears","NULL","square ea","rpg","NULL","t-man","tr"
"playstation","xevious 3d g+","NULL","namco","action","NULL","t-man","n"
"playstation 2","mad maestro","desert productions","eidos","music / rhythm","99","nz17","nr"
"playstation 2","taiko drum master","namco","namco","music / rhythm","96","nz17","hr"
"super nintendo","chrono trigger","NULL","square","rpg","NULL","db3","tr"
"super nintendo","contra iii: the alien wars","NULL","konami","action","NULL","t-man","hr"
"super nintendo","pretty soldier sailor moon (import)","NULL","angel studios","action","NULL","nz17","r"
"super nintendo","super mario rpg","NULL","nintendo","rpg","NULL","zguy","r"
"super nintendo","super metroid","NULL","nintendo","action","NULL","t-man","r"
"super nintendo","zelda: a link to the past","NULL","nintendo","adventure","NULL","t-man","r"
"xbox","psychonauts","double fine productions","majesco entertainment","platformer","92","nz17","hr"
