"scientific name","common name","state rank","global rank"
"carex buxbaumii","buxbaum's sedge","s1.1","g5"
"carex collinsii","collins' sedge","s3","g4"
"carex communis","fibrous-root sedge","s3","g5"
"carex conoidea","field sedge","sh","g4"
"carex cristatella","crested sedge","sh","g5"
"carex davisii","davis' sedge","s1","g4"
"carex decomposita","cypress-knee sedge","s1","g3"
"carex emoryi","emory's sedge","s1.1","g5"
"carex exilis","coast sedge","s1","g5"
"carex gigantea","giant sedge","s3","g4"
"carex gracilescens","slender sedge","s2","g5?"
"carex gracillima","graceful sedge","s3","g5"
"carex granularis","meadow sedge","s2","g5"
"carex grisea","a sedge","s1","g5t?"
"carex gynandra","sedge","s2","g5"
"carex hirtifolia","pubescent sedge","s3","g5"
"carex joorii","cypress-swamp sedge","s2","g4g5"
"carex lacustris","lake-bank sedge","s1","g5"
"carex leptalea ssp. harperi","coastal plain bristly-stalk sedge","s3","g5t?"
"carex leptalea ssp. leptalea","piedmont bristly-stalk sedge","s1","g5t?"
"carex limosa","mud sedge","sx","g5"
"carex lupuliformis","false hop sedge","s1","g3g4"
"carex meadii","mead's sedge","sh","g4g5"
"carex mitchelliana","mitchell's sedge","s2","g3g4"
"carex molesta","troublesome sedge","sh","g4"
"carex oligocarpa","eastern few-fruit sedge","sh","g4"
"carex pedunculata","longstalk sedge","sh","g5"
"carex pellita","woolly sedge","s2","g5"
"carex planispicata","sedge","s1.1","g4q"
"carex polymorpha","variable sedge","sx","g3"
"carex retroflexa","reflexed sedge","s1","g5"
"carex scabrata","rough sedge","s1","g5"
"carex silicea","seabeach sedge","s3","g5"
"carex sparganioides","bur-reed sedge","s2","g5"
"carex sprengelii","longbeak sedge","sh","g5?"
"carex squarrosa","squarrose sedge","s2","g4g5"
"carex straminea","straw sedge","s1","g5"
"carex striatula","lined sedge","s1","g4g5"
"carex torta","twisted sedge","s2","g5"
"carex trichocarpa","hairy-fruit sedge","s2","g4"
"carex trisperma","three-seed sedge","sh","g5"
"carex typhina","cat-tail sedge","s3","g5"
"carex utriculata","sedge","sh","g5"
"carex venusta var. minor","dark green sedge","s2","g4t4"
"carex vesicaria","inflated sedge","s1.1","g5t?"
"carex vestita","velvety sedge","s1","g5"
"carex willdenowii","willdenow's sedge","s1.1","g5"
"castanea dentata","american chestnut","s3","g4"
"castanea pumila","allegheny chinquapin","s3","g5t5?"
"castilleja coccinea","scarlet indian-paintbrush","sx","g5"
"caulophyllum thalictroides","blue cohosh","s3","g5"
"ceanothus americanus","new jersey tea","s2","g5"
"celastrus scandens","climbing bittersweet","s1","g5"
"centella erecta","erect coinleaf","s3","g5"
"centrosema virginianum","coastal butterfly-pea","sh","g5"
"cerastium arvense var. villosum","mouse-ear chickweed","s1","g5t4?"
"cerastium nutans","nodding chickweed","s1","g5"
"ceratophyllum echinatum","prickly hornwort","s3","g4?"
"cercis canadensis","eastern redbud","sh","g5t?"
"chaerophyllum procumbens","spreading chervil","s2","g5t?"
"chamaedaphne calyculata var. angustifolia","leatherleaf","sh","g5t?"
"chamaelirium luteum","devil's-bit","s1","g5"
"chasmanthium latifolium","indian sea-oats","sh","g5"
"cheilanthes lanosa","hairy lipfern","sx","g5"
"chimaphila umbellata ssp. cisatlantica","common wintergreen","s2","g5t5"
"cicuta bulbifera","bulb-bearing water-hemlock","s1","g5"
"cirsium altissimum","tall thistle","sh","g5"
"cirsium muticum","swamp thistle","sh","g5"
"cirsium virginianum","virginia thistle","sx","g3"
"cleistes divaricata","spreading pogonia","sx","g4"
"clematis occidentalis","purple clematis","sx","g5t5"
"clematis viorna","vase-vine leatherflower","sx","g5"
"clitoria mariana","maryland butterfly-pea","s2","g5"
"coelorachis rugosa","wrinkled jointgrass","s1","g5"
"(manisuris rugosa)","NULL","NULL","NULL"
"commelina erecta","slender dayflower","s1","g5t5"
"(includes variety angustifolia)","NULL","NULL","NULL"
"commelina virginica","virginia day-flower","s1","g5"
"comptonia peregrina","sweet fern","s1","g5"
"conoclinium coelestinum","mist-flower","s3","g5"
"(eupatorium coelestinum)","NULL","NULL","NULL"
"conopholis americana","squaw-root","s2","g5"
"corallorhiza maculata","spotted coralroot","sh","g5"
"corallorhiza odontorhiza","autumn coral-root","s1","g5"
"corallorhiza wisteriana","spring coralroot","sh","g5"
"coreopsis rosea","rose coreopsis","s1","g3"
"cornus alternifolia","alternate-leaf dogwood","s3","g5"
"cornus foemina","marsh dogwood","s2","g5"
"(cornus stricta)","NULL","NULL","NULL"
"cornus racemosa","stiff dogwood","sh","g5?"
"(cornus foemina ssp. racemosa)","NULL","NULL","NULL"
"cornus sericea","red-osier dogwood","sh","g5"
"corydalis flavula","yellow corydalis","s1.1","g5"
"corylus cornuta","beaked hazelnut","s1.1","g5t5"
"crataegus punctata","dotted hawthorn","sh","g5"
"crataegus viridis","green hawthorn","sh","g5"
"cunila origanoides","common dittany","s2","g5"
"cuphea viscosissima","blue waxweed","s2","g5?"
"cuscuta polygonorum","smartweed dodder","s1.1","g5"
"cynoglossum virginianum","wild comfrey","s3","g5t5"
"cyperus compressus","poorland flatsedge","sh","g5"
"cyperus dentatus","toothed sedge","sh","g4"
"cyperus diandrus","umbrella flatsedge","s1","g5"
"cyperus engelmannii","engelmann's umbrella-sedge","s2","g4q"
"cyperus hystricinus","flatsedge","sh","g4"
"cyperus lancastriensis","lancaster's flatsedge","sh","g5"
"cyperus plukenetii","plukenet's cyperus","sh","g5"
"cyperus refractus","abruptly bent backed flatsedge","s2","g5"
"cyperus retrofractus","rough flatsedge","sh","g5"
"cyperus squarrosus","umbrella-sedge","s1.1","g5"
"(cyperus aristatus)","NULL","NULL","NULL"
"cypripedium pubescens","large yellow lady's-slipper","s1","g5"
"cystopteris protrusa","lowland brittle fern","s2","g5"
"(cystopteris fragilis var. protrusa)","NULL","NULL","NULL"
"cystopteris tennesseensis","tennessee bladderfern","s1.1","g5"
"cystopteris tenuis","bladderfern","s2","g4g5"
"(cystopteris fragilis var. mackayi)","NULL","NULL","NULL"
"danthonia compressa","flattened oatgrass","s1","g5"
"danthonia sericea","silky oat-grass","s3","g5?"
"decumaria barbara","climbing hydrangea","s1.1","g5"
"desmodium canadense","showy tick-trefoil","sh","g5"
"desmodium canescens","hoary tick-trefoil","s1","g5"
"desmodium cuspidatum","toothed tick-trefoil","sh","g5t?"
"desmodium glabellum","dillen's tick-trefoil","s1","g5"
"desmodium glutinosum","large tick-trefoil","s2","g5"
"desmodium humifusum","trailing tick-trefoil","sh","g1g2q"
"desmodium laevigatum","smooth tick-trefoil","s3","g5"
"desmodium nuttallii","nuttall's tick-trefoil","s3","g5"
"desmodium obtusum","stiff tick-trefoil","s1","g4g5"
"desmodium ochroleucum","creamflower tick-trefoil","sh","g2g3"
"desmodium rotundifolium","prostrate tick-trefoil","s3","g5"
"desmodium strictum","pineland tick-trefoil","s2","g4"
"dichanthelium aciculare","needle-leaf witchgrass","s1","g4g5"
"dichanthelium columbianum","hemlock panicgrass","s1","g5"
"{dichanthelium dichotomum var. 2|(= ramulosum)}","panic grass","sh","g?"
"{dichanthelium dichotomum var. 3|(= roanokense)}","panic grass","s3","g?"
"{dichanthelium dichotomum var. 4|(= yadkinense)}","panic grass","s1","g?"
"dichanthelium dichotomum var. tenue","panic grass","sh","g5t?"
"dichanthelium hirstii","hirst's panic grass","s1.1","g1"
"dichanthelium linearifolium","slim-leaf witchgrass","sh","g5"
"dichanthelium longiligulatum","long-ligule witchgrass","sh","g4g5q"
"dichanthelium oligosanthes","heller's witchgrass","s1","g5t5?"
"(includes variety scribnerianum)","NULL","NULL","NULL"
"dichanthelium ravenelii","ravenel's witchgrass","s2","g5"
"dichanthelium scabriusculum","panic grass","s1","g4"
"dichanthelium villosissimum","white-hair witchgrass","sh","g5t5"
"dichanthelium wrightianum","wright's witchgrass","s2","g4"
"diervilla lonicera","northern bush-honeysuckle","s1","g5"
"diphasiastrum tristachyum","deep-root clubmoss","s3","g5"
"(lycopodium tristachyum)","NULL","NULL","NULL"
"diplazium pycnocarpon","glade fern","s1.1","g5"
"dirca palustris","eastern leatherwood","s1.1","g4"
"doellingeria umbellata","cornel-leaf aster","s1","g5"
"(aster infirmus)","NULL","NULL","NULL"
"drosera capillaris","pink sundew","s1.1","g5"
"drosera filiformis","thread-leaf sundew","sx","g5"
"drosera rotundifolia","roundleaf sundew","s2","g5"
"dryopteris celsa","log fern","s1","g4"
"dryopteris clintoniana","clinton's wood fern","s1.1","g5"
"dryopteris goldiana","goldie's wood fern","s1","g4"
"dryopteris marginalis","marginal wood fern","s3","g5"
"echinochloa muricata","rough barnyard grass","s3","g5"
"echinodorus parvulus","american dwarf burhead","sx","g3"
"elatine americana","american water-wort","s2","g4"
"elatine minima","small water-wort","s1","g5"
"eleocharis acicularis","least spike-rush","s3","g5"
"eleocharis brittonii","britton's spike-rush","s1.1","g4g5"
"eleocharis equisetoides","horse-tail spike-rush","s2","g4"
"eleocharis erythropoda","bald spike-rush","s1","g5"
"eleocharis fallax","creeping spike-rush","s3","g4g5"
"eleocharis flavescens","pale spike-rush","sh","g5t?"
"eleocharis halophila","saltmarsh spike-rush","sh","g4"
"eleocharis melanocarpa","black-fruited spike-rush","s2","g4"
"eleocharis quadrangulata","squarestem spike-rush","s3","g4"
"eleocharis robbinsii","robbins spike-rush","s3","g4g5"
"eleocharis rostellata","beaked spike-rush","s1","g5"
"eleocharis tortilis","twisted spike-rush","s3","g5"
"eleocharis tricostata","three-angle spike-rush","s1","g4"
"elymus hystrix","bottle-brush grass","s2","g5"
"elymus virginicus var. halophilus","salt loving virginia wild-rye","sh","g5t?"
"epilobium angustifolium","purple fireweed","sh","g5"
"epilobium ciliatum","hairy willow-herb","s1.1","g5t?"
"equisetum fluviatile","water horsetail","s1","g5"
"equisetum hyemale ssp. affine","rough horsetail","s1","g5t5"
"equisetum sylvaticum","woodland horsetail","s1","g5"
"eragrostis hypnoides","teal love-grass","s1","g5"
"eragrostis refracta","meadow love-grass","s3","g5"
"eriocaulon aquaticum","seven-angled pipewort","s2","g5"
"(eriocaulon septangulare)","NULL","NULL","NULL"
"eriocaulon compressum","flattened pipewort","s2","g5"
"eriocaulon decangulare","ten-angle pipewort","s1","g5"
"eriocaulon parkeri","parker's pipewort","s2","g3"
"eriophorum gracile","slender cotton-grass","sx","g5t?"
"eriophorum virginicum","tawny cotton-grass","s1","g5"
"eryngium aquaticum","marsh rattlesnake master","s2","g4t4?"
"euonymus atropurpurea","wahoo","s1","g5"
"eupatorium album","white thoroughwort","s3","g5"
"eupatorium leucolepis","white-bract thoroughwort","s3","g5"
"eupatorium purpureum","sweet joe-pye weed","s3","g5"
"eupatorium resinosum","pine barren boneset","sx","g3"
"eupatorium serotinum","late-flowering thoroughwort","s3","g5"
"eupatorium sessilifolium","upland boneset","s1","g5t?"
"eupatorium vaseyi","vasey's white thoroughwort","sh","g5"
"(eupatorium album var. monardifolium)","NULL","NULL","NULL"
"euphorbia purpurea","glade spurge","s1.1","g3"
"euthamia tenuifolia var. microcephala","tiny headed goldenrod","s3","g5t?"
"festuca paradoxa","paradoxial fescue","sx","g5"
"fimbristylis annua","annual fimbry","sx","g5"
"fimbristylis caroliniana","carolina fimbry","s3","g4"
"fimbristylis perpusilla","harper's fimbristylis","s1","g2"
"fraxinus nigra","black ash","s2","g5"
"fuirena pumila","dwarf umbrella-sedge","s3","g4"
"fuirena squarrosa","hairy umbrella-sedge","s3","g4g5"
"galactia regularis","eastern milk-pea","s3","g5"
"galactia volubilis","downy milkpea","s3","g5"
"galearis spectabilis","showy orchis","s3","g5"
"(orchis spectabilis)","NULL","NULL","NULL"
"galium asprellum","rough bedstraw","s1","g5"
"galium boreale","northern bedstraw","sh","g5"
"galium hispidulum","coast bedstraw","sh","g5"
"galium lanceolatum","torrey's wild licorice","s2","g5"
"gaura biennis","biennial gaura","sh","g5"
"gaylussacia brachycera","box huckleberry","s1","g2g3"
"gaylussacia dumosa var. bigeloviana","dwarf huckleberry","sh","g5t4t5"
"gentiana andrewsii","fringe-top bottle gentian","s1","g4"
"gentiana autumnalis","pine barren gentian","sx","g3"
"gentiana catesbaei","elliott's gentian","s3","g5"
"gentiana saponaria","soapwort gentian","s3","g5"
"gentiana villosa","striped gentian","sh","g4"
"gentianopsis crinita","fringed gentian","sx","g4"
"geum laciniatum","rough avens","s2","g5t?"
"geum vernum","spring avens","s3","g5"
"geum virginianum","pale avens","s1","g5"
"glyceria acutiflora","sharp-scaled manna-grass","s2","g5"
"glyceria canadensis","canada manna-grass","s1","g5"
"glyceria grandis","american mannagrass","s1.1","g5"
"glyceria laxa","northern mannagrass","sh","g5"
"(glyceria canadensis var. laxa)","NULL","NULL","NULL"
"gratiola aurea","golden hedge-hyssop","s3","g5"
"gratiola ramosa","branching hedge-hyssop","s1.1","g4g5"
"gratiola viscidula","short's hedge-hyssop","sh","g4g5"
"gymnopogon ambiguus","broadleaf beardgrass","s1","g4"
"gymnopogon brevifolius","broadleaf beardgrass","sh","g5"
"helianthemum bicknellii","plains frostweed","sx","g5"
"helianthemum propinquum","low frostweed","s3","g4"
"helianthus angustifolius","swamp sunflower","s3","g5"
"helianthus decapetalus","thin-leaved sunflower","s3","g5"
"helianthus divaricatus","woodland sunflower","s1","g5"
"helianthus giganteus","tall sunflower","s3","g5"
"helianthus strumosus","pale-leaf sunflower","sh","g5"
"heliopsis helianthoides","ox-eye","s1","g5"
"helonias bullata","swamp-pink","s2","g3"
"hepatica nobilis var. obtusa","roundlobed hepatica","s3","g5t5"
"(hepatica americana)","NULL","NULL","NULL"
"heracleum maximum","cow parsnip","s3","g5"
"(heracleum lanatum)","NULL","NULL","NULL"
"heteranthera dubia","grassleaf mud-plantain","s1","g5"
"heteranthera multiflora","multiflowered mud-plantain","s1","g4"
"hierochloe odorata","holy grass","s1.1","g5t?"
"honckenya peploides ssp. robusta","seabeach sandwort","sh","g5t4"
"hottonia inflata","featherfoil","s2","g4"
"houstonia purpurea","purple bluet","s1","g5"
"(hedyotis purpurea)","NULL","NULL","NULL"
"hudsonia ericoides","golden-heather","s1","g4"
"hybanthus concolor","green violet","s1","g5"
"hydrangea arborescens","wild hydrangea","sh","g5"
"hydrastis canadensis","golden-seal","s2","g4"
"hypericum adpressum","creeping st. john's-wort","s2","g2g3"
"hypericum boreale","northern st. john's-wort","s1","g5"
"hypericum densiflorum","bushy st. john's-wort","s2","g5"
"hypericum denticulatum","coppery st. john's-wort","s2","g5"
"hypericum drummondii","drummond's st. john's-wort","s1.1","g5"
"hypericum ellipticum","pale st. john's-wort","sh","g5"
"hypericum gymnanthum","clasping-leaved st. john's wort","s3","g5"
"hypericum majus","larger canadian st. john's wort","sx","g5"
"hypericum prolificum","shrubby st. john's-wort","s1.1","g5"
"hypoxis hirsuta","eastern yellow stargrass","s3","g5"
"ilex laevigata","smooth winterberry holly","s3","g5"
"ionactis linariifolius","flaxleaf aster","s2","g5"
"(aster linariifolius)","NULL","NULL","NULL"
"iris prismatica","slender blue flag","s2","g4g5"
"isoetes echinospora","spiny-spored quillwort","s1.1","g5?"
"isoetes engelmannii","engelmann's quillwort","s2","g4"
"isoetes riparia","riverbank quillwort","s1","g4"
"isoetes valida","a quillwort","sh","g4?"
"isotria medeoloides","small whorled pogonia","s1.1","g2g3"
"isotria verticillata","large whorled pogonia","s2","g5"
"juglans cinerea","butternut","s3","g3g4"
"juncus coriaceus","leathery rush","s3","g5"
"juncus elliottii","bog rush","sx","g4g5"
"juncus militaris","bayonet rush","s2","g4"
"juncus nodosus","knotted rush","sh","g5t?"
"juncus pelocarpus","brown-fruited rush","s2","g5"
"juncus secundus","secund rush","s3","g5"
"juncus subcaudatus","subcaudate rush","s1","g5"
"juncus torreyi","torrey's rush","s1","g5"
"kalmia angustifolia","sheep-laurel","s2","g5"
"koeleria macrantha","prairie junegrass","sh","g5"
"krigia biflora","two-flowered dwarf dandelion","sh","g5"
"kyllinga pumila","thinleaf flatsedge","sh","g5"
"(cyperus tenuifolius)","NULL","NULL","NULL"
"lachnanthes caroliana","carolina redroot","s1","g4"
"lactuca floridana","woodland lettuce","s2","g5t?"
"(includes variety villosa)","NULL","NULL","NULL"
"lathyrus palustris","vetchling peavine","sh","g5"
"lechea mucronata","hairy pinweed","s2","g5"
"(lechea villosa)","NULL","NULL","NULL"
"lespedeza angustifolia","narrowleaf bushclover","s3","g5"
"lespedeza hirta","hairy bush-clover","s3","g5"
"lespedeza stuevei","tall bush-clover","s3","g4?"
"liatris graminifolia","grassleaf gayfeather","s1","g5"
"liatris scariosa","round-head gayfeather","sh","g5?t?"
"liatris spicata","blazing star","s1.1","g5t?"
"liatris squarrosa","northern blazing star","sh","g5"
"lilium canadense","canada lily","s2","g5t4?"
"lilium philadelphicum","wood lily","sx","g5t?"
"limnobium spongia","american frog's-bit","s1","g5"
"limosella australis","mudwort","sx","g4g5"
"lindernia dubia var. inundata","false-pimpernel","sh","g5t4q"
"linum intercursum","sandplain flax","s1.1","g4"
"liparis liliifolia","large twayblade","s2","g5"
"listera australis","southern twayblade","s3","g4"
"lobelia boykinii","boykin's lobelia","sx","g2g3"
"lobelia canbyi","canby's lobelia","s2","g4"
"lobelia elongata","elongated lobelia","s1","g4g5"
"lobelia spicata","pale-spiked lobelia","s2","g5t?"
"(includes variety campanulata)","NULL","NULL","NULL"
"lonicera sempervirens","trumpet honeysuckle","s3","g5"
"lophiola aurea","golden crest","sx","g4"
"ludwigia hirtella","hairy ludwigia","s1","g5"
"ludwigia linearis","narrow-leaf seedbox","s3","g5"
"lupinus perennis","purple lupine","s1","g5t4?"
"luzula acuminata","hairy wood rush","s1","g5t?"
"lycopodiella alopecuroides","foxtail clubmoss","s3","g5"
"(lycopodium alopecuroides)","NULL","NULL","NULL"
"lycopodiella appressa","creeping clubmoss","s3","g5"
"(lycopodium adpressum)","NULL","NULL","NULL"
"lycopodium clavatum","running pine","s3","g5"
"lycopus amplectens","sessile-leaved bugleweed","s2","g5"
"lygodium palmatum","climbing fern","sx","g4"
"lyonia mariana","stagger-bush","s2","g5"
"lysimachia hybrida","false-hybrid loosestrife","s2","g5"
"malaxis unifolia","green adder's-mouth","s1","g5"
"malus angustifolia","southern crabapple","s3","g5"
"matelea carolinensis","carolina anglepod","s2","g4"
"mecardonia acuminata","purple mecardonia","s1","g5"
"melampyrum lineare var. pectinatum","cow-wheat","s3","g5t5"
"melanthium latifolium","broadleaf bunchflower","sh","g5"
"melanthium virginicum","virginia bunchflower","s2","g5"
"mentha canadensis","canadian mint","s3","g5"
"menyanthes trifoliata","bog buckbean","sx","g5"
"mertensia virginica","virginia bluebells","s3","g5"
"micranthemum micranthemoides","nuttall's micranthemum","sx","gh"
"minuartia caroliniana","pine barren sandwort","s1.1","g5"
"minuartia michauxii","rock sandwort","sx","g5"
"(arenaria stricta)","NULL","NULL","NULL"
"mitella diphylla","two-leaf bishop's-cap","s2","g5"
"monarda clinopodia","basil bee-balm","s2","g5"
"monarda fistulosa","wild bergamot bee-balm","s1.1","g5"
"monotropa hypopithys","american pinesap","s2","g5"
"monotropsis odorata","sweet pinesap","sh","g3"
"muhlenbergia capillaris","long-awn hairgrass","sh","g5"
"muhlenbergia mexicana","satin grass","sh","g5"
"muhlenbergia sobolifera","cliff muhly","s2","g5"
"muhlenbergia sylvatica","woodland muhly","sh","g5"
"muhlenbergia tenuifolia","slender muhly","s2","g5"
"muhlenbergia torreyana","torrey's dropseed","sx","g3"
"myosotis laxa","small forget-me-not","s3","g5"
"myosotis verna","spring forget-me-not","sh","g5"
"myrica cerifera var. pumila","dwarf bayberry","sh","g5t?"
"myrica heterophylla","evergreen bayberry","s1","g5"
"myriophyllum heterophyllum","broadleaf water-milfoil","s1","g5"
"myriophyllum humile","low water-milfoil","s3","g5"
"myriophyllum pinnatum","cutleaf water-milfoil","s2","g5"
"myriophyllum verticillatum","whorled water-milfoil","sh","g5"
"najas gracillima","thread-like naiad","s1","g5?"
"najas guadalupensis","southern naiad","sh","g5t?"
"narthecium americanum","bog asphodel","sx","g2"
"nelumbo lutea","american lotus","s1.1","g4"
"nuphar variegata","variegated pondlily","sh","g5t5"
"(nuphar lutea ssp. variegata)","NULL","NULL","NULL"
"nymphoides aquatica","big floating-heart","s1","g5"
"nymphoides cordata","floating-heart","s1","g5"
"obolaria virginica","virginia pennywort","s3","g5"
"oenothera fruticosa","sundrops","s3","g5"
"oenothera humifusa","seabeach evening primrose","s3","g5"
"oenothera perennis","small sundrops","s1.1","g5"
"oldenlandia uniflora","clustered bluets","s3","g5"
"(hedyotis uniflora)","NULL","NULL","NULL"
"onosmodium virginianum","virginia false-gromwell","sh","g4"
"ophioglossum pusillum","northern adder's tongue","sh","g5"
"{(ophioglossum vulgatum|var.  pseudopodum)}","NULL","NULL","NULL"
"ophioglossum vulgatum","southern adder's-tongue","s2","g5"
"(ophioglossum pycnostichum)","NULL","NULL","NULL"
"orobanche uniflora","one-flowered broomrape","s2","g5"
"orthilia secunda","one-side wintergreen","sh","g5"
"(pyrola secunda)","NULL","NULL","NULL"
"oryzopsis racemosa","black-fruit mountain-ricegrass","sh","g5"
"osmorhiza claytonii","anise flavored sweet-cicely","s3","g5"
"osmunda claytoniana","interrupted fern","s3","g5"
