"rank","country / territory","population"
"139","mongolia","2646000"
"140","oman","2567000"
"141","latvia","2307000"
"142","bhutan","2163000"
"143","republic of       macedonia","2034000"
"144","namibia","2031000"
"145","slovenia","1967000"
"146","lesotho","1795000"
"147","botswana","1765000"
"148","guinea-bissau","1586000"
"149","the gambia","1517000"
"150","gabon","1384000"
"151","estonia","1330000"
"152","trinidad and       tobago","1305000"
"153","mauritius","1245000[5]"
"154","swaziland","1032000"
"155","east timor","947000"
"156","fiji","848000"
"157","cyprus","835000"
"158","qatar","813000"
"159","comoros","798000[6]"
"160","djibouti","793000"
"161","{réunion|france}","785000"
"162","guyana","751000"
"163","bahrain","727000"
"164","cape verde","507000"
"165","equatorial     guinea","504000"
"166","solomon islands","478000"
"167","luxembourg","465000"
"168","{macau|prc}","460000"
"169","suriname","449000"
"170","{guadeloupe|france}","448000"
"171","malta","402000"
"172","{martinique|france}","396000"
"173","brunei","374000"
"174","western sahara","341000"
"175","maldives","329000"
"176","the bahamas","323000"
"177","iceland","295000"
"178","barbados","270000"
"179","belize","270000"
"180","{french polynesia|france}","257000"
"181","{new caledonia|france}","237000"
"182","vanuatu","211000"
"183","{french guiana|france}","187000"
"184","samoa","185000"
"185","{netherlands       antilles|netherlands}","183000"
"186","{guam|us}","170000"
"187","saint lucia","161000"
"188","são tomé       and príncipe","157000"
"189","{channel islands|uk}","149000[7]"
"190","saint       vincent and the grenadines","119000"
"191","{u.s.       virgin islands|us}","112000"
"192","federated       states of micronesia","110000"
"193","grenada","103000"
"194","tonga","102000"
"195","{aruba|netherlands}","99000"
"196","kiribati","99000"
"197","antigua and       barbuda","81000"
"198","{northern       mariana islands|us}","81000"
"199","seychelles","81000"
"200","dominica","79000"
"201","{isle of man|uk}","77000"
"202","andorra","67000"
"203","{american samoa|us}","65000"
"204","{bermuda|uk}","64000"
"205","marshall     islands","62000"
"206","{greenland|denmark}","57000"
"207","{faroe islands|denmark}","47000"
"208","{cayman islands|uk}","45000"
"209","saint kitts and       nevis","43000"
"210","liechtenstein","35000"
"211","monaco","35000"
"212","{gibraltar|uk}","28000"
"213","san marino","28000"
"214","{turks and       caicos islands|uk}","26000"
"215","{british virgin       islands|uk}","22000"
"216","palau","20000"
"217","{cook islands|nz}","18000"
"218","{wallis and       futuna|france}","15000"
"219","nauru","14000"
"220","{anguilla|uk}","12000"
"221","tuvalu","10000"
"222","{saint-pierre       and miquelon|france}","6000"
"223","{saint helena|uk}","5000[8]"
"224","{montserrat|uk}","4000"
"225","{falkland islands|uk}","3000"
"226","vatican city","1000"
"227","{niue|nz}","1000"
"228","{tokelau|uk}","1000"
"229","{pitcairn islands|uk}","67"
