"body            of water","alternate name","location"
"gammon pond","&nbsp;","freeman            twp. new portland"
"gilman pond","&nbsp;","lexington            twp"
"gordon pond","&nbsp;","upper            enchanted twp"
"gordon pond (little)","&nbsp;","lower enchanted twp"
"grace pond","&nbsp;","upper enchanted twp"
"grass pond","&nbsp;","pierce            pond twp"
"grassy pond","&nbsp;","holeb            twp"
"grenier pond (big)","&nbsp;","t04 r05 nbkp"
"hale pond","&nbsp;","alder brook twp"
"halfmoon pond","&nbsp;","st            albans"
"hall pond","&nbsp;","prentiss twp"
"hancock pond","&nbsp;","embden"
"heald pond","&nbsp;","caratunk"
"heald pond (little)","&nbsp;","caratunk"
"heald pond","&nbsp;","moose river"
"helen pond","&nbsp;","pierce            pond twp"
"high pond","&nbsp;","pierce            pond twp"
"hill pond","&nbsp;","t04 r05 nbkp"
"holeb pond","&nbsp;","holeb twp"
"horseshoe pond","&nbsp;","east moxie twp"
"horseshoe pond","&nbsp;","parlin pond twp"
"horseshoe pond","&nbsp;","pierce            pond twp"
"horseshoe pond","&nbsp;","chase            stream twp"
"horseshoe pond","&nbsp;","t03 r05 bkp wkr"
"hurricane pond","&nbsp;","t05 r20 wels"
"huston brook pond","&nbsp;","dead river twp"
"hutch pond","&nbsp;","hammond            twp"
"indian pond","&nbsp;","lexington            twp"
"indian pond","&nbsp;","indian stream twp"
"indian pond (big)","&nbsp;","st albans"
"little indian pond","&nbsp;","squaretown twp"
"indian pond (little)","&nbsp;","st.            albans"
"iron pond","&nbsp;","hobbstown twp"
"ironbound pond","&nbsp;","alder brook twp"
"island pond","&nbsp;","chase            stream twp"
"jackson pond","&nbsp;","concord            twp"
"jewett pond","&nbsp;","pleasant            ridge plt"
"jones pond","&nbsp;","bald mountain twp t04 r03"
"kilgore pond","&nbsp;","pierce pond twp"
"kilgore pond (upper)","&nbsp;","pierce pond twp"
"king            &amp; bartlett lake","&nbsp;","king            and bartlett twp"
"king lake (little)","&nbsp;","king &amp; bartlett twp"
"king pond","&nbsp;","bowtown            twp"
"kingsbury &amp; mayfield ponds","&nbsp;","mayfield twp"
"knights pond","&nbsp;","squaretown twp"
"ladd pond","&nbsp;","mercer"
"lake george","&nbsp;","canaan"
"lane pond","&nbsp;","comstock twp"
"lane pond (little)","&nbsp;","hammond twp"
"lang pond &amp; little lang pond","&nbsp;","parlin pond twp"
"lily pond","merrill pond","concord twp"
"long pond","little            long pond","chase            stream twp"
"long pond","martin pond","the forks plt"
"long pond","&nbsp;","long pond twp"
"long pond","&nbsp;","forsyth twp"
"long pond","&nbsp;","taunton &amp; raynham"
"long pond","&nbsp;","king &amp; bartlett twp"
"long pond","&nbsp;","dole brook twp"
"loon pond","&nbsp;","attean twp"
"loon stream deadwater","&nbsp;","saint john twp"
"lost pond","&nbsp;","pleasant            ridge plt"
"lost pond","&nbsp;","russell pond twp"
"lost pond","&nbsp;","t03            r05 bkp wkr"
"luther pond","&nbsp;","thorndike twp"
"macdougall pond","&nbsp;","caratunk"
"mary petuche pond","&nbsp;","prentiss twp"
"martin pond","long            pond","the            forks plt"
"mayfield pond","&nbsp;","brighton            plt"
"mckenney pond","&nbsp;","holeb twp"
"mill pond","clear pond","pleasant ridge plt"
"misery pond","&nbsp;","misery twp"
"misery pond (upper)","&nbsp;","misery twp"
"moore pond","&nbsp;","bradstreet twp"
"moose pond","&nbsp;","hartland"
"moose pond","&nbsp;","bowtown            twp"
"morrill pond","&nbsp;","hartland"
"mosquito pond","&nbsp;","the            forks plt"
"mosquito pond (little)","&nbsp;","the forks plt"
"mountain dimmick pond","&nbsp;","caratunk"
"moxie pond","&nbsp;","east moxie twp"
"moxie pond (little)","&nbsp;","east moxie twp"
"oaks pond","&nbsp;","skowhegan"
"ossie pond","&nbsp;","bald            mountain twp"
"otter pond","&nbsp;","bowtown            twp"
"otter pond","&nbsp;","sandwich academy grant"
"otter pond (little)","&nbsp;","sandwich academy grant"
"otter pond (north)","&nbsp;","bowtown twp"
"palmer pond","&nbsp;","mayfield            twp"
"parker pond","&nbsp;","t03            r05 bkp wkr"
"parlin pond","&nbsp;","parlin pond twp"
"penobscot lake","&nbsp;","dole brook twp"
"pickerel pond","&nbsp;","pierce            pond twp"
"pierce pond","&nbsp;","pierce            pond twp"
"pleasant pond","&nbsp;","caratunk"
"rancourt pond","&nbsp;","dennistown plt"
"ripley pond","&nbsp;","ripley"
"robinson pond","&nbsp;","caratunk"
"rock pond","&nbsp;","t05 r06 bkp wkr"
"roderique pond","&nbsp;","rockwood strip-west"
"round pond","&nbsp;","squaretown            twp"
"round pond","&nbsp;","chase            stream twp"
"rowe pond","&nbsp;","pleasant            ridge plt"
"rowell pond","&nbsp;","solon"
"russell pond","&nbsp;","russell pond twp"
"safford pond","&nbsp;","lexington"
"saint francis lake","&nbsp;","t08 r16 wels"
"saint john lake (little)","&nbsp;","t05 r20 wels"
"saint john pond (fifth)","&nbsp;","t05 r17 wels"
"saint john pond (fourth)","&nbsp;","t05 r17 wels"
"saint john pond (second)","&nbsp;","t04 r17 wels"
"saint john pond (third)","&nbsp;","t04 r17 wels"
"saint john pond (upper &amp; lower first)","&nbsp;","t04 r17 wels"
"sandy pond","&nbsp;","embden"
"seboomook lake","&nbsp;","seboomook twp"
"shaw pond","&nbsp;","t03            r04 bkp wkr"
"shaw (lower)","parker pond","t03 r04 bkp wkr"
"sibley pond","&nbsp;","canaan"
"smith pond","weeks            pond","brighton            plt"
"smith pond","&nbsp;","forsythe            twp"
"smith pond","&nbsp;","parlin pond twp"
"spaulding pond","&nbsp;","dole brook twp"
"spectacle pond","&nbsp;","king            and bartlett twp"
"spencer lake","&nbsp;","hobbstown twp"
"spencer pond","&nbsp;","t04            r18 twp"
"split rock pond","&nbsp;","pierce            pond twp"
"spring lake","&nbsp;","t03 r04 bkp wkr"
"spruce pond","&nbsp;","lexington            twp"
"stafford pond","&nbsp;","hartland            twp"
"starbird pond","&nbsp;","hartland            twp"
"sugar berth pond","&nbsp;","dennistown plt"
"sunday pond","&nbsp;","caratunk"
"summit pond","&nbsp;","t14            r17 wels"
"supply pond","&nbsp;","moose river"
"ten thousand acre pond","&nbsp;","chase stream twp"
"tibbetts pond","&nbsp;","concord            twp"
"tobey pond","&nbsp;","johnson mountain"
"tomhegan pond","&nbsp;","west middlesex canal"
"trickey pond","&nbsp;","alder brook twp"
"trout pond","&nbsp;","brighton plt"
"turner pond","&nbsp;","t07 r16 wels"
"turner pond (big)","&nbsp;","forsyth twp"
"turner pond (little)","&nbsp;","forsyth twp"
"unnamed pond","&nbsp;","dole            brook twp"
"unnamed pond","&nbsp;","dole            brook twp"
"unnamed pond","&nbsp;","prentiss            twp"
"unnamed pond","&nbsp;","prentiss twp"
"unnamed pond","camp stove pond","johnson mountain"
"unnamed pond","muddyboot pond","misery twp"
"wellman ponds","&nbsp;","prentiss twp"
"wentworth pond","ironbound            pond","solon"
"wesserunsett lake","&nbsp;","madison"
"whipple pond","&nbsp;","t05 r07 bkp wkr"
"whites pond","&nbsp;","palmyra"
"withee pond","&nbsp;","mayfield twp"
"wood pond (big)","&nbsp;","attean twp"
"wood pond (little big)","&nbsp;","dennistown plt"
"woodlot pond","&nbsp;","holeb            twp"
"wyman lake","&nbsp;","carrying place twp"
"wyman pond","&nbsp;","brighton            plt"
