"c","s","NULL","college or university","center office or program","city state"
"NULL","NULL","","brooklyn college (cuny)","community partnership for research &amp; learning","brooklyn ny"
"","","","brown university","swearer center","providence ri"
"NULL","NULL","","brown university","school of medicine curriculum affairs office","providence ri"
"","","","bucknell university","concentration in human services","lewisburg pa"
"NULL","NULL","NULL","c","NULL","NULL"
"","NULL","","california polytechnic state university","community-based learning","san luis obispo ca"
"NULL","NULL","","california state polytechnic university pomona","center for community service-learning","pomona ca"
"NULL","NULL","","california state university (system-wide)","office of community service learning","long beach ca"
"NULL","NULL","","california state university chico","community action volunteers in education (cave)","chico ca"
"","","","california state university fresno","students for community service","fresno ca"
"NULL","NULL","","california state university fullerton","community-based learning &amp; service center","fullerton ca"
"","NULL","","california state university long beach","community service learning center","long beach ca"
"NULL","NULL","","california state university los angeles","university service learning","los angeles ca"
"","","","california state university monterey bay","service learning institute","monterey ca"
"","NULL","","california state university northridge","center for community service-learning","northridge ca"
"","NULL","","california state university sacramento","office of community collaboration","sacramento ca"
"NULL","NULL","","california state university san marcos","office of community service learning","san marcos ca"
"","NULL","","calvin college","service-learning center","grand rapids mi"
"NULL","NULL","","carleton college","acting in community together","northfield mn"
"NULL","NULL","","carroll community college","center for service-learning","westminster md"
"","NULL","","case western reserve university","office of student community service","cleveland oh"
"","NULL","","centenary college","service-learning program","shreveport la"
"","NULL","","chaminade university of honolulu","community service program","honolulu hi"
"","NULL","","chandler-gilbert community college","service learning program","chandler az"
"NULL","NULL","","chapman college","give (getting involved in volunteer efforts)","orange ca"
"NULL","NULL","","chatham college","office of service-learning","pittsburgh pa"
"NULL","NULL","","chattanooga state technical community college","chattanooga state learn and serve","chattanooga tn"
"NULL","NULL","","city college of san francisco","NULL","san francisco ca"
"NULL","NULL","","clarion university","community service-learning office","clarion pa"
"NULL","NULL","","clark college","student programs - service learning project","vancouver wa"
"NULL","NULL","","clemson university","service learning collaborative","clemson sc"
"NULL","NULL","","colby college","NULL","waterville me"
"","NULL","","colgate university","center for outreach volunteerism &amp; education (cove)","hamilton ny"
"NULL","NULL","","college of eastern utah","sun center","price ut"
"NULL","NULL","","college of st. benedict/st. john's university","service learning department","st.joseph/collegevillemn"
"NULL","NULL","","college of the atlantic","internship program office","bar harborme"
"NULL","NULL","","college of william and mary","sharpe community scholars program","williamsburg va"
"NULL","NULL","","college of william and mary","office of student volunteer services","williamsburg va"
"NULL","NULL","","collin county community college","service learning program","mckinney tx"
"NULL","NULL","","colorado mountain college","service learning abroad","glenwood springs co"
"","NULL","","colorado state university","office for service-learning and volunteer programs","ft. collins co"
"NULL","NULL","","community college of aurora","NULL","denver co"
"NULL","NULL","","community college of denver","office for service learning","denver co"
"NULL","NULL","","community college of rhode island","NULL","lincoln ri"
"NULL","NULL","","concordia university - saint paul","office of service-learning","st. paul mn"
"NULL","","","connecticut college","holleran center for community challenges","new london ct"
"","NULL","","cornell university","public service center","ithaca ny"
"NULL","NULL","","cowley college","service learning central","arkansas cit ks"
"NULL","NULL","","creighton university","center for service and justice","omaha ne"
"NULL","NULL","NULL","d","NULL","NULL"
"","NULL","","del mar college","service learning program","corpus christi tx"
"","NULL","","denison university","alford center for service-learning","granville oh"
"","NULL","","depaul university","office of community-based service learning","chicago il"
"","NULL","","duke university","leaps","durham nc"
"NULL","NULL","","duke university","keenan ethics program","durham nc"
"NULL","NULL","NULL","e","NULL","NULL"
"NULL","NULL","","earlham college","service learning program","richmond in"
"","NULL","","east tennessee state university","service-learning program","johnson city tn"
"NULL","NULL","","eastern college","service learning and campus ministries","st. davids pa"
"NULL","NULL","","eastern michigan university","office of academic service-learning","ypsilanti mi"
"NULL","NULL","","eckerd college","center for the applied liberal arts","st. petersburg fl"
"NULL","NULL","","elizabethtown college","learning center","elizabethtown pa"
"NULL","NULL","","emory university","theory practice learning program","atlanta ga"
"NULL","NULL","","elon college","kernodle center for service learning","elon nc"
"NULL","NULL","NULL","f","NULL","NULL"
"NULL","NULL","","florida atlantic university","campus volunteer center","boca raton fl"
"NULL","NULL","","florida gulf coast university","eaglesconnect","fort myers fl"
"NULL","NULL","","florida international university","volunteer action center","miami fl"
"NULL","NULL","","florida international university","honors civic engagement project","miami fl"
"NULL","NULL","","florida state university","center for civic education and service","tallahassee fl"
"NULL","NULL","","fort lewis college","center for service learning","durango co"
"NULL","NULL","NULL","g","NULL","NULL"
"","NULL","","gadsden state community college","learning and serving education &amp; reflection","gadsden al"
"NULL","NULL","","gainesville college","NULL","gainesville ga"
"NULL","NULL","","gannon university","center for social concerns","erie pa"
"NULL","NULL","","gateway community college","community partnership programs","phoenix az"
"NULL","NULL","","george fox university","m.a. program in organizational leadership","boise id"
"","NULL","","george mason university","center for service and leadership","fairfax va"
"","NULL","","george washington university","human services program","washington dc"
"NULL","NULL","","george washington university","office of community service","washington dc"
"","","","georgetown university","volunteer &amp; public service center","washington d.c."
"NULL","NULL","","georgia state university","office of community service-learning","atlanta ga"
"NULL","NULL","","georgia state university","service learning in tech. &amp; prof. writing","atlanta ga"
"","NULL","","gettysburg college","center for public service","gettysburg pa"
"","","","gonzaga university","service-learning","spokane wa"
"","NULL","","goucher college","community service and service-learning","baltimore md"
"NULL","NULL","","grand rapids community college","service learning center","grand rapids mi"
"NULL","NULL","","grand valley state university","volunteer gvsu","allendale mi"
"NULL","NULL","","grossmont college","community service learning center","el cajon ca"
"NULL","NULL","NULL","h","NULL","NULL"
"NULL","NULL","","hamline university","office of service-learning and volunteerism","st. paul mn"
"NULL","NULL","","hawai'i community college","service-learning program","hilo hi"
"NULL","NULL","","hocking college","hope center","nelsonville oh"
"NULL","NULL","","holyoke community college","community service-learning center","holyoke ma"
"","NULL","","honolulu community college","hcc service learning","honolulu hi"
"","NULL","","howard university","center for the advancement of service learning","washington dc"
"NULL","NULL","","humboldt state university","youth educational services (yes) program","arcata ca"
"NULL","NULL","NULL","i","NULL","NULL"
"","NULL","","indiana university bloomington","community outreach &amp; partnerships in service-learning","bloomington in"
"","NULL","","indiana university bloomington","minor in leadership ethics and social action","bloomington in"
"NULL","NULL","","indiana university of pennsylvania","student community services","indiana pa"
"","NULL","","indiana univ.-purdue univ. indianapolis","center for public service and leadership","indianapolis in"
"","","","intern'l partnership for service-learning","international service-learning","new york ny"
"NULL","NULL","","iowa wesleyan college","responsible social involvement program","mt. pleasant ia"
"NULL","NULL","NULL","j","NULL","NULL"
"NULL","","","jackson state university","community service/service-learning center","jackson ms"
"NULL","NULL","","jacksonville university","community service center","jacksonville fl"
"NULL","NULL","","james madison university","community service-learning","harrisonburg va"
"","NULL","","john carroll university","center for community service","university heights oh"
"NULL","NULL","","johnson &amp; wales university","alan shawn feinstein community service center","providence ri"
"NULL","NULL","","johnson county community college","service-learning program","overland park ks"
"NULL","NULL","","juniata college","NULL","huntingdon pa"
"NULL","NULL","NULL","k","NULL","NULL"
"","NULL","","kansas state university","community service program","manhattan ks"
"","","","kapi'olani community college","kcc service learning on-line","honolulu hi"
"NULL","NULL","","kean university","service learning program","union nj"
"NULL","NULL","","kennebec valley technical college","NULL","fairfield me"
"","NULL","","kirtland community college","service learning program","roscommon mi"
"NULL","NULL","NULL","l","NULL","NULL"
"","","","lafayette college","community outreach center","easton pa"
"NULL","NULL","","lagrange college","servant leadership initiative","lagrange ga"
"NULL","NULL","","la salle university","center for community service and learning","philadelphia pa"
"","NULL","NULL","lehigh university","community service center","bethlehem la"
"NULL","NULL","","lethbridge community college","community service learning","lethbridge alberta canada"
"NULL","NULL","","longwood college","g.i.v.e. office","farmville va"
"","NULL","","louisiana state university","lsu plus (program of learning thru service)","baton rouge la"
"","NULL","","loyola college in maryland","center for values and service","baltimore md"
"NULL","NULL","","loyola marymount university","center for service and action","los angeles ca"
"NULL","NULL","","loyola university chicago","service learning program","chicago il"
"NULL","NULL","NULL","m","NULL","NULL"
"NULL","NULL","","macalester college","community service office","st. paul mn"
"NULL","NULL","","macomb community college","center for service learning and volunteerism","warren mi"
"NULL","NULL","","manhattanville college","duchesne center for religion and social justice","purchase ny"
"NULL","NULL","","marian college","office for mission effectiveness","indianapolis in"
"NULL","NULL","","maricopa county community colleges","NULL","az"
"NULL","NULL","","marquette university","service learning program","milwaukee wi"
"NULL","NULL","","marywood university &amp; university of scranton","collegiate volunteers","scranton pa"
"NULL","NULL","","massachusetts college of liberal arts","learn &amp; serve &amp; the center for service &amp;     citizenship","north adams ma"
"NULL","NULL","","massachusetts college of pharmacy &amp; health sciences","service-learning program","worcester ma"
"NULL","NULL","","mchenry county college","service-learning","crystal lake il"
"NULL","NULL","","mesa community college","center for public policy &amp; service","mesa az"
"","","","messiah college","service-learning program","grantham pa"
"NULL","NULL","","metropolitan state college of denver","cooperative education internship center","denver co"
"NULL","NULL","","miami university","office of student leadership and service learning","oxford oh"
"NULL","NULL","","miami-dade community college","center for community involvement","miami fl"
"NULL","NULL","","michigan state university","service-learning center","east lansing mi"
"","NULL","","millikin university","center for service learning","decatur il"
"NULL","NULL","","mills college","mills c.a.r.e.s.","oakland ca"
"","NULL","","miracosta college","service learning and volunteer center (slvc)","oceanside ca"
"NULL","NULL","","moravian college","community service center","bethlehem pa"
"NULL","NULL","","mount st. mary's college (los angeles ca)","center for urban partnerships","los angeles ca"
"NULL","NULL","","mount st. mary's college (emmitsburg md)","office of community service","emmitsburg md"
"NULL","NULL","","mount san antonio college","service-learning office","walnut ca"
"NULL","NULL","","mount wachusett community college","NULL","gardner ma"
"NULL","NULL","NULL","n","NULL","NULL"
"NULL","NULL","","nebraska methodist college of nursing...","service learning","omaha ne"
"","NULL","","neumann college","career development","aston pa"
"NULL","NULL","","new college of florida","center for service learning","sarasota fl"
"NULL","NULL","","new england college","office of community service learning","henniker nh"
"NULL","NULL","","niagara university","learn and serve niagara","niagara university ny"
"","NULL","","north carolina central university","academic community service learning program","durham nc"
"","NULL","","north idaho college","office of service learning","coeur d'alene id"
"NULL","NULL","","northampton community college","service learning","danielsville pa"
"NULL","NULL","","northern illinois university","service learning/volunteerism","dekalb il"
"NULL","NULL","","northern state university","aberdeen service-learning center","aberdeen sd"
"NULL","NULL","","northern virginia community college","broadening horizons in northwest arkansas","manassas vi"
"NULL","NULL","","northwest arkansas community college","broadening horizons in northwest arkansas","bentonville ar"
"","NULL","","nova southeastern university","score","fort lauderdale fl"
"NULL","NULL","NULL","o","NULL","NULL"
"NULL","NULL","","oakton community college","service-learning project","des plaines il"
"NULL","NULL","","oberlin college","center for service and learning","oberlin oh"
"NULL","NULL","","occidental college","center for community based learning (ccbl)","los angeles ca"
"NULL","NULL","","ohio state university","community commitment","columbus oh"
"NULL","NULL","","ohio state university","service-learning initiatives (school of educ.policy...)","columbus oh"
"","NULL","","ohio university","learn &amp; serve ohio university","athens oh"
"NULL","NULL","","olivet college","service learning center","olivet mi"
"NULL","NULL","","oswego state university","office of experience based education","oswego ny"
"NULL","NULL","","our lady of the lake university","center for service-learning and volunteerism","san antonio tx"
"NULL","NULL","","ouachita baptist university","elrod center for family and community","arkadelphia ar"
"NULL","NULL","NULL","p","NULL","NULL"
"NULL","NULL","","pace university","via pace (volunteers in action at pace university)","new york ny"
"NULL","NULL","","pacific lutheran university","center for public service","tacoma wa"
"NULL","NULL","","pacific university","pacific humanitarian center","forest grove or"
"NULL","","","penn state lehigh valley college","learning center/english","fogelsville pa"
"NULL","NULL","","the pennsylvania state university","source","university park pa"
"NULL","NULL","","the pennsylvania state university","university scholars sail program","university park pa"
"NULL","NULL","","pennsylvania state university fayette campus","service-learning program","uniontown pa"
"","NULL","","pepperdine university/seaver college","service learning center","malibu ca"
"NULL","NULL","","pfeiffer university","francis center for servant leadership","misenheimer nc"
"NULL","NULL","","pine manor college","community service learning office","chestnut hill ma"
"","NULL","","portland community college","service learning program","portland or"
"NULL","NULL","","portland state university","center for academic excellence","portland or"
"NULL","NULL","","prestonsburg community college","service learning program","prestonburg ky"
"","NULL","","princeton university","community-based learning initiative","princeton nj"
"","","","providence college","feinstein institute for public service","providence ri"
"NULL","NULL","","pueblo community college","service learning program","pueblo co"
"","NULL","","purdue university","engineering projects in community service (epics)","west lafayette in"
"NULL","NULL","NULL","r","NULL","NULL"
"NULL","NULL","","radford university","center for experiential learning","radford va"
"","NULL","","raritan valley community college","service learning office","somerville nj"
"NULL","NULL","","reed college","seeds","portland or"
"NULL","NULL","","regis university","center for service learning","denver co"
"NULL","NULL","","rice university","community involvement center","houston tx"
"NULL","NULL","","rutgers university","citizenship and service education (case)","new brunswick nj"
"NULL","NULL","NULL","s","NULL","NULL"
"NULL","NULL","","saint francis college","NULL","loretto pa"
"","NULL","","saint francis xavier university","service learning program","antigonish nova scotia canada"
"NULL","NULL","","saint joseph's university","service-learning program","philadelphia pa"
"","","","saint louis college of pharmacy","NULL","st. louis mo"
"NULL","NULL","","saint louis community college at meramec","service learning office","kirkwood mo"
"NULL","NULL","","saint mary-of-the-woods college","service learning center","st.mary-of-the-woodsin"
"NULL","NULL","","salt lake community college","emma lou thayne community service center","salt lake city ut"
"","NULL","","san diego state university","center for community-based service learning","san diego ca"
"","NULL","","san francisco state university","office of community service learning","san francisco ca"
"NULL","NULL","","seattle central community college","service-learning program","seattle wa"
"NULL","NULL","","seattle university","leadership and service office","seattle wa"
"NULL","NULL","","seattle university (school of education)","seattle community service-learning partnership","seattle wa"
"","NULL","","simmons college","the scott/ross center for community service","boston ma"
"NULL","NULL","","sinclair community college (&amp; wright state)","center for healthy communities","dayton oh"
"NULL","NULL","","skagit valley college","learning into action","mount vernon wa"
"","NULL","","slippery rock university","community service-learning institute","slippery rock pa"
"","NULL","","sonoma state university","service learning center","rohnert park ca"
"","NULL","","southern methodist university","office of community involvement","dallas tx"
"NULL","NULL","","southern utah university","service center","cedar city ut"
"","NULL","","southwest missouri state university","citizenship and service learning (casl)","springfield mo"
"NULL","NULL","","southwestern college","service-learning center","chula vista ca"
"NULL","NULL","","spelman college","NULL","atlanta ga"
"NULL","NULL","","st. edward's university","center for teaching excellence","austin tx"
"","","","st. louis college of pharmacy","NULL","st. louis mo"
"NULL","NULL","","st. louis community college at meramec","NULL","kirkwood mo"
"NULL","NULL","","st. mary's university","service learning center","san antonio tx"
"NULL","NULL","","st. norbert college","dept. of leadership service &amp; involvement","de pere wi"
"","NULL","","stanford university","haas center for public service","stanford ca"
"NULL","NULL","","sterling college","work college program","craftsbury common vt"
"NULL","NULL","","stetson university","community service office","deland fl"
"NULL","NULL","","stonehill college","center for social concern","easton ma"
"NULL","NULL","","suny college at oneonta","center for social responsibility and community","oneonta ny"
"","NULL","","syracuse university","center for public and community service","syracuse ny"
"NULL","NULL","NULL","t","NULL","NULL"
"","NULL","","temple university","NULL","philadelphia pa"
"","","","texas a&amp;m university","volunteer services center","college station tx"
"NULL","NULL","","thiel college","NULL","greenville pa"
"","NULL","","thomas nelson community college","service learning in community encounters","hampton va"
"","","","trinity college","urban learning initiatives","hartford ct"
"","NULL","","trinity college of vermont","service-learning program","burlington vt"
"NULL","NULL","","tufts university","university college of citizenship &amp; public service","medford ma"
"","NULL","","tulane university","office of service learning","new orleans la"
"","NULL","","tusculum college","service-learning center","greeneville tn"
"NULL","NULL","NULL","u","NULL","NULL"
"NULL","NULL","","united states international university","orientation and service-learning","san diego ca"
"NULL","NULL","","unity college","career resource center","unity me"
"NULL","NULL","","university of alaska","center for community engagement &amp; learning","anchorage ak"
"NULL","NULL","","university of arizona","center for service-learning","tucson az"
"NULL","NULL","","university of arizona","service learning in composition","tucson az"
"","NULL","","university of balamand","the seed program","tripoli lebanon"
"","NULL","","university of california at berkeley","service-learning research &amp; development center","berkeley ca"
"NULL","NULL","","university of california at los angeles","center for experiential education &amp; service learning","los angeles ca"
"NULL","NULL","","university of central florida","service learning office","orlando fl"
"","","","university of cincinnati","university college service-learning pilot","cincinnati oh"
"","NULL","","university of colorado at boulder","service learning office","boulder co"
"","NULL","","university of colorado at colorado springs","center for community development and design","colorado springs co"
"NULL","NULL","","university of colorado at denver","service learning program","denver co"
"","","","university of dayton","service-learning resource center","dayton oh"
"NULL","NULL","","university of denver","service learning program","denver co"
"","NULL","","university of detroit mercy","leadership development institute","detroit mi"
"NULL","NULL","","university of florida","office of community service","gainesville fl"
"","NULL","","university of hartford","center for community service","west hartford ct"
"NULL","NULL","","university of hawai'i at manoa","service learning program","honolulu hi"
"","NULL","","university of illinois at urbana-champaign","service learning","urbana-champaign il"
"NULL","NULL","","university of kentucky","office for experiential education","lexington ky"
"NULL","NULL","","university of kentucky","medical center service-learning program","lexington ky"
"NULL","NULL","","university of louisiana at lafayette","service-learning center","lafayette la"
"","NULL","","university of louisville","service learning program","louisville ky"
"NULL","NULL","","university of maine at farmington","service learning office","farmington me"
"NULL","NULL","","university of maryland","commuter affairs and community service","college park md"
"","NULL","","university of maryland baltimore county","the shriver center","baltimore md"
"","","","university of massachusetts - amherst","office of community service learning at commonwealth college","amherst ma"
"NULL","NULL","","university of massachusetts - boston","new england resource center for higher ed.","boston ma"
"NULL","NULL","","university of miami","william r. butler volunteer services center","ann arbor mi"
"NULL","NULL","","university of michigan","center for community service and learning","ann arbor mi"
"NULL","NULL","","university of michigan-flint","office of service learning and school partnerships","flint mi"
"NULL","NULL","","university of minnesota","learn &amp; serve america national clearinghouse","st.paul mn"
"NULL","NULL","","university of minnesota - crookston","service learning office","crookston mn"
"","NULL","","university of minnesota - twin cities","community involvement programs","minneapolis mn"
"","NULL","","university of minnesota - morris","service-learning program","morris mn"
"","NULL","","university of missouri-columbia","office of service-learning","columbia mo"
"NULL","NULL","","university of montana - missoula","volunteer action services","missoula mt"
"NULL","NULL","","university of natal","office of community outreach and service learning","durban south africa"
"NULL","NULL","","university of nebraska at kearney","office for service learning","kearney ne"
"NULL","NULL","","university of nebraska-lincoln","student involvement","lincoln ne"
"","NULL","","university of nebraska-omaha","service-learning academy","omaha ne"
"","NULL","","university of north carolina-chapel hill","apples service-learning program","chapel hill nc"
"","","","university of north carolina at charlotte","citizenship and service practicum (course)","charlotte nc"
"","","","university of north florida","honors service learning program","jacksonville fl"
"","NULL","","university of north texas","school of community service","denton tx"
"NULL","NULL","","university of northern iowa","service ethical reflection vocational exploration","cedar falls ia"
"","NULL","","university of notre dame","center for social concerns","notre dame in"
"NULL","NULL","","university of oregon","community service center","eugene or"
"NULL","NULL","","university of oregon","environmental studies service learning program","eugene or"
"","NULL","","university of pennsylvania","center for community partnerships","philadelphia pa"
"","NULL","","university of pennsylvania","civic house","philadelphia pa"
"NULL","NULL","","university of pittsburgh","health care to underserved populations","pittsburgh pa"
"NULL","NULL","","university of pittsburgh","pennsylvania service-learning alliance","pittsburgh pa"
"","NULL","","university of redlands","community service learning","redlands ca"
"NULL","NULL","","university of rhode island","feinstein center for service learning","kingston ri"
"NULL","NULL","","university of richmond","service-learning program","richmond va"
"","NULL","","university of san diego","office for community service-learning","san diego ca"
"NULL","NULL","","university of san francisco","community service&amp;service learning programs","san francisco ca"
"NULL","NULL","","university of scranton &amp; marywood university","collegiate volunteers","scranton pa"
"NULL","NULL","","university of scranton","panuska college...office of service learning","scranton pa"
"","","","university of south florida","community experiential learning (cel)program","tampa fl"
"","NULL","","university of southern california","joint educational project (jep)","los angeles ca"
"NULL","NULL","","university of southern colorado","community research services","pueblo co"
"NULL","NULL","","university of southern maine","c/o center for teaching","portland me"
"NULL","NULL","","university of southern maine/lewiston-auburn college","NULL","lewiston me"
"NULL","NULL","","university of southern mississippi","mississippi center for community and civic engagement","hattiesburg ms"
"NULL","NULL","","university of southern mississippi","office of community service-learning","hattiesburg ms"
"NULL","NULL","","university of st. thomas","service learning","st. paul mn"
"","NULL","","university of surrey roehampton","service learning","london uk"
"NULL","NULL","","university of texas at austin","the texas center for service-learning","austin tx"
"NULL","NULL","","university of texas at austin","university volunteer center","austin tx"
"NULL","NULL","","university of texas at dallas","service learning","richardson tx"
"NULL","NULL","","university of texas - san antonio","do it! service-learning program","san antonio tx"
"","NULL","","university of utah","lowell bennion community service center","salt lake city ut"
"","NULL","","university of vermont","the service-learning internship program (slip)","burlington vt"
"","NULL","","university of washington","carlson leadership and public service center","seattle wa"
"NULL","NULL","","university of west florida","center for learning through organized volunteer efforts","pensacola fl"
"NULL","NULL","","university of west georgia","academic service-learning program","carrollton ga"
"NULL","NULL","","university of wisconsin","wisconsin partnerships in service learning","river falls wi"
"NULL","NULL","","university of wisconsin - barron county","experiential programs","rice lake wi"
"NULL","NULL","","university of wisconsin - eau claire","center for service-learning","eau claire wi"
"","NULL","","university of wisconsin - green bay","service learning site","green bay wi"
"NULL","NULL","","university of wisconsin - madison","morgridge center for public service","madison wi"
"","NULL","","university of wisconsin - milwaukee","institute for service learning","milwaukee wi"
"NULL","NULL","","university of wisconsin - river falls","service learning help desk","river falls wi"
"NULL","NULL","","university of wisconsin - whitewater","sos: students organized for service","whitewater wi"
"NULL","NULL","NULL","v","NULL","NULL"
"","NULL","","vanderbilt university","center for teaching","nashville tn"
"NULL","","","villanova university","NULL","villanova pa"
"NULL","NULL","","virginia commonwealth university","office of community programs","richmond va"
"","NULL","","virginia polytechnic institute &amp; state univ.","service-learning center","blacksburg va"
"NULL","NULL","NULL","w","NULL","NULL"
"NULL","NULL","","wagner college","experiential learning center","staten island ny"
"NULL","NULL","","wake forest university","volunteer services","winston-salem nc"
"NULL","NULL","","warren wilson college","service-learning program","asheville nc"
"NULL","","","washington state university","community service learning center","pullman wa"
"NULL","NULL","","washtenaw community college","workplace learning center","ann arbor mi"
"NULL","NULL","","waynesburg college","center for service leadership","waynebsurg pa"
"NULL","NULL","","wesleyan university","office of community services (ocs)","middletown ct"
"","NULL","","west virginia university","office of service-learning","morgantown wv"
"NULL","NULL","","western michigan university","student volunteer services","kalamazoo mi"
"NULL","NULL","","western montana college univ.of montana","center for service-learning","dillon mt"
"","NULL","","western state college of colorado","service-learning center","gunnison co"
"NULL","NULL","","westminster college","office of student life","fulton mo"
"NULL","NULL","","westminster college","volunteer center","salt lake city"
"NULL","NULL","","westmont college","san francisco urban program","san francisco ca"
"","NULL","","wheaton college","filene center for work &amp; learning","norton ma"
"NULL","NULL","","wheeling jesuit university","NULL","wheeling wv"
"","NULL","","willamette university","community outreach program","salem or"
"NULL","NULL","","wilmington college","center for service learning","wilmington oh"
