"code","airport","town / city","distance"
"bvx","batesville regional airport","batesville","n/a"
"btr","baton rouge metropolitan airport","baton rouge","n/a"
"bde","baudette international airport","baudette","n/a"
"bpk","baxter county regional airport","midway","n/a"
"byy","bay city municipal airport","bay city","n/a"
"hpy","baytown airport","baytown","n/a"
"bcc","bear creek 3 airport","folger","n/a"
"fbg","beard airport","summertime","n/a"
"bie","beatrice municipal airport","beatrice","n/a"
"bty","beatty airport","beatty","n/a"
"bft","beaufort marine corps air station","grays hill","n/a"
"bmt","beaumont municipal airport","beaumont","n/a"
"dri","beauregard parish airport","holiday mobile home park","n/a"
"wbq","beaver airport","beaver","n/a"
"nuw","becker's landing airport","anacortes","n/a"
"bec","beech factory airport","wichita","n/a"
"bli","bellingham international airport","bellingham","n/a"
"bvu","beluga airport","beluga","n/a"
"bji","bemidji-beltrami county airport","skyline mobile park","n/a"
"bbb","benson municipal airport","benson","n/a"
"vbt","bentonville municipal airport","bentonville","n/a"
"aus","bergstrom ars airport","austin","n/a"
"bml","berlin municipal airport","milan","n/a"
"udd","bermuda dunes airport","palm springs","n/a"
"btm","bert mooney airport","butte","n/a"
"bet","bethel airport","bethel","n/a"
"jbt","bethel seaplane base","bethel","n/a"
"btt","bettles airport","old bettles (historical)","n/a"
"bvy","beverly municipal airport","beverly","n/a"
"iab","beyer farm airport","derby","n/a"
"bys","bicycle lake army airfield","fort irwin","n/a"
"rbf","big bear city airport","big bear city","n/a"
"bgq","big lake airport","big lake","n/a"
"bpi","big piney-marbleton airport","marbleton","n/a"
"foz","bigfork municipal airport","bigfork","n/a"
"bif","biggs army air field","aero vista","n/a"
"hnc","billy mitchell airport","hatteras","n/a"
"bgm","binghamton regional airport-edwin a link field","binghamton","n/a"
"kbc","birch creek airport","birch creek","n/a"
"bcv","birchwood airport","birchwood","n/a"
"bhm","birmingham municipal airport-north","kingsway terrace","n/a"
"bsq","bisbee municipal airport","bisbee","n/a"
"dug","bisbee-douglas international airport","double adobe","n/a"
"bih","bishop airport","shady rest trailer and recreational vehicle park","n/a"
"fnt","bishop international airport","flint","n/a"
"bis","bismarck municipal airport","bismarck","n/a"
"spf","black hills airport","spearfish","n/a"
"bdg","blanding municipal airport","blanding","n/a"
"bid","block island state airport","block island","n/a"
"bmi","bloomington-normal airport","colonial meadows","n/a"
"cnk","blosser municipal airport","concordia","n/a"
"y72","bloyer field","tomah","n/a"
"blu","blue canyon-nyack airport","emigrant gap","n/a"
"lex","blue grass airport","lexington","n/a"
"blh","blythe airport","blythe","n/a"
"hka","blytheville municipal airport","blytheville","n/a"
"ian","bob baker memorial airport","kiana","n/a"
"cew","bob sikes airport","crestview","n/a"
"bct","boca raton airport","boca raton","n/a"
"ash","boire field","nashua","n/a"
"boi","boise air terminal","hillcrest","n/a"
"hro","boone county airport","harrison","n/a"
"bnw","boone municipal airport","boone","n/a"
"bxs","borrego valley airport","borrego springs","n/a"
"bsw","boswell bay airport","boswell bay","n/a"
"bld","boulder city municipal airport","mckeeversville (historical)","n/a"
"wbu","boulder municipal airport","boulder","n/a"
"hqm","bowerman airport","hoquiam","n/a"
"eln","bowers field","ellensburg","n/a"
"bwg","bowling green-warren county regional airport","bowling green","n/a"
"lou","bowman field","louisville","n/a"
"bpp","bowman municipal airport","bowman","n/a"
"poc","brackett field","la verne","n/a"
"bfd","bradford regional airport","bradford","n/a"
"bdl","bradley international airport","hartford","n/a"
"bbd","brady curtis field","brady","n/a"
"brd","brainerd-crow wing county regional airport","lazy acre's trailer court","n/a"
"oqn","brandywine airport","commons at goshen","n/a"
"njw","bravo field outlying","bluff springs","n/a"
"bwc","brawley municipal airport","brawley","n/a"
"ljn","brazoria county airport","snipe","n/a"
"bwp","breckenridge-wahpeton interstate airport","boise de sioux mobile estates","n/a"
"pwt","bremerton national airport","bremerton","n/a"
"kts","brevig mission airport","brevig mission","n/a"
"hde","brewster field","holdrege","n/a"
"xbp","bridgeport municipal airport","bridgeport","n/a"
"tto","britton municipal airport","britton","n/a"
"bbw","broken bow municipal airport","broken bow","n/a"
"wsh","brookhaven airport","shirley","n/a"
"bkx","brookings municipal airport","brookings","n/a"
"bok","brookings state airport","brookings","n/a"
"bfm","brookley airport","cox","n/a"
"sdm","brown field municipal airport","san diego","n/a"
"bro","brownsville-south padre island international airport","brownsville","n/a"
"bwd","brownwood municipal airport","early","n/a"
"e30","bruce field","ballinger","n/a"
"nhz","brunswick naval air station","brunswick","n/a"
"bce","bryce canyon airport","bryce canyon","n/a"
"ccr","buchanan field","concord","n/a"
"bxk","buckeye municipal airport","buckeye","n/a"
"bvk","buckland airport","buckland","n/a"
"bkf","buckley air national guard base","side creek","n/a"
"bur","burbank-glendale-pasadena airport","burbank","n/a"
"bkl","burke lakefront airport","cleveland","n/a"
"byi","burley municipal airport","burley","n/a"
"vay","burlington county airpark","fostertown","n/a"
"btv","burlington international airport","burlington","n/a"
"brl","burlington municipal airport","burlington","n/a"
"buu","burlington municipal airport","burlington","n/a"
"bno","burns municipal airport","burns","n/a"
"efc","bus field","belle fourche","n/a"
"ags","bush field","augusta","n/a"
"btp","butler-graham airport","brownsdale","n/a"
"fcs","butts army air field","fountain","n/a"
"tup","c d lemons municipal airport","tupelo","n/a"
"crs","c david campbell field-corsicana municipal airport","corsicana","n/a"
"ccb","cable airport","upland","n/a"
"dov","caesar rodney helistop","schoolview","n/a"
"cir","cairo airport","klondike","n/a"
"eul","caldwell industrial airport","caldwell","n/a"
"llx","caledonia county airport","lyndonville","n/a"
"cxl","calexico international airport","calexico","n/a"
"cge","cambridge-dorchester airport","cambridge","n/a"
"53t","cannon field","somerset","n/a"
"ctk","canton municipal airport","canton","n/a"
"ttw","cantwell airport","cantwell","n/a"
"cny","canyonlands field","moab","n/a"
"2b1","cape cod airport","pondsville","n/a"
"cgi","cape girardeau municipal airport","cape girardeau","n/a"
"lur","cape lisburne lrrs airport","wevok","n/a"
"wwd","cape may county airport","wildwood","n/a"
"ehm","cape newenham lrrs airport","NULL","n/a"
"czf","cape romanzof lrrs airport","NULL","n/a"
"fft","capital city airport","frankfort","n/a"
"har","capital city airport","harrisburg","n/a"
"puc","carbon county airport","price","n/a"
"car","caribou municipal airport","caribou","n/a"
"x13","carrabelle-thompson airport","yent place","n/a"
"f37","carrizozo municipal airport","carrizozo","n/a"
"csn","carson airport","carson city","n/a"
"cgz","casa grande municipal airport","casa grande","n/a"
"czk","cascade locks-stevenson state airport","cascade locks","n/a"
"mer","castle airport aviation and development center","merced","n/a"
"avx","catalina airport","avalon","n/a"
"cnm","cavern city air terminal","carlsbad","n/a"
"cdc","cedar city regional airport","cedar city","n/a"
"cid","cedar rapids municipal airport","cedar rapids","n/a"
"ghm","centerville municipal airport","centerville","n/a"
"cem","central airport","central","n/a"
"owk","central maine airport of norridgewock","sandy river","n/a"
"gri","central nebraska regional airport","grand island","n/a"
"cwa","central wisconsin airport","mosinee","n/a"
"enl","centralia municipal airport","centralia","n/a"
"cdr","chadron municipal airport","chadron","n/a"
"cik","chalkyitsik airport","chalkyitsik","n/a"
"ykn","chan gurney municipal airport","yankton","n/a"
"wcr","chandalar lake airport","chandalar","n/a"
"axn","chandler field","alexandria","n/a"
"cqb","chandler municipal airport","davenport","n/a"
"chd","chandler municipal airport","chandler","n/a"
"cnu","chanute martin johnson airport","chanute","n/a"
"gdw","charles c zettel memorial airport","gladwin","n/a"
"ccy","charles city municipal airport","doubleday","n/a"
"chs","charleston international airport","north charleston","n/a"
"09m","charleston municipal airport","charleston","n/a"
"cvx","charlevoix municipal airport","charlevoix","n/a"
"pgd","charlotte county airport","punta gorda isles","n/a"
"clt","charlotte/douglas international airport","charlotte","n/a"
"cho","charlottesville-albemarle airport","charlottesville","n/a"
"cqx","chatham municipal airport","chatham","n/a"
"cym","chatham seaplane base","chatham","n/a"
"dkk","chautauqua county-dunkirk airport","dunkirk","n/a"
"jhw","chautauqua county-jamestown airport","jamestown","n/a"
"cyf","chefornak airport","chefornak","n/a"
"hcw","cheraw municipal airport","isgett circle","n/a"
"jkv","cherokee county airport","jacksonville","n/a"
"ckp","cherokee municipal airport","onawa junction","n/a"
"tvc","cherry capital airport","traverse city","n/a"
"nkt","cherry point marine corps air station","cherry point (historical)","n/a"
"cpk","chesapeake municipal airport","cornland","n/a"
"fkl","chess-lamberton airport","mapledale","n/a"
"cth","chester county g o carlson airport","coatesville","n/a"
"vak","chevak airport","chevak","n/a"
"cys","cheyenne airport","cheyenne","n/a"
"mdw","chicago midway airport","chicago","n/a"
"ord","chicago o'hare international airport","chicago","n/a"
"chk","chickasha municipal airport","chickasha","n/a"
"cic","chico municipal airport","chico","n/a"
"ajc","chignik airport","chignik","n/a"
"kbw","chignik bay seaplane base","chignik","n/a"
"kcg","chignik fisheries airport","chignik lagoon","n/a"
"kcl","chignik lagoon airport","chignik lagoon","n/a"
"kcq","chignik lake airport","chignik lake","n/a"
"cds","childress municipal airport","childress","n/a"
"cno","chino airport","chino","n/a"
"ciu","chippewa county international airport","sault ste. marie","n/a"
"eau","chippewa valley regional airport","eau claire","n/a"
"czn","chisana airport","chisana","n/a"
"hib","chisholm-hibbing airport","hibbing","n/a"
"chu","chuathbaluk airport","chuathbaluk","n/a"
"luk","cincinnati cincinnati municipal airport lunken field","cincinnati","n/a"
"cvg","cincinnati-northern kentucky international airport","cincinnati","n/a"
"chp","circle hot springs airport","circle hot springs station","n/a"
"cos","city of colorado springs municipal airport","colorado springs","n/a"
"irk","clarence cannon memorial airport","millard","n/a"
"clp","clarks point airport","clarks point","n/a"
"h35","clarksville municipal airport","clarksville","n/a"
"ast","clatsop county airport","jeffers garden","n/a"
"cao","clayton municipal airport","clayton","n/a"
"clw","clearwater air park","clearwater","n/a"
"ceu","clemson-oconee county airport","clemson forest","n/a"
"cle","cleveland-hopkins international airport","cleveland","n/a"
"clk","clinton municipal airport","east junction","n/a"
"cwi","clinton municipal airport","clinton","n/a"
"csm","clinton-sherman airport","clinton","n/a"
"tcm","clover park vocational technical school airport","monta vista","n/a"
"cvn","clovis municipal airport","clovis","n/a"
"clg","coalinga municipal airport","coalinga","n/a"
"coe","coeur d'alene air terminal","hayden","n/a"
"cfv","coffeyville municipal airport","coffeyville","n/a"
"kcc","coffman cove seaplane base","coffman cove","n/a"
"cbk","colby municipal airport","colby","n/a"
"cdb","cold bay airport","cold bay","n/a"
"cxf","coldfoot airport","coldfoot","n/a"
"com","coleman municipal airport","coleman","n/a"
"mto","coles county memorial airport","loxa","n/a"
"cgs","college park airport","college park","n/a"
"azc","colorado city municipal airport","colorado city","n/a"
"coa","columbia airport","columbia","n/a"
"hcc","columbia county airport","hudson","n/a"
"cae","columbia metropolitan airport","columbia","n/a"
"cub","columbia owens downtown airport","arthurtown","n/a"
"cou","columbia regional airport","columbia","n/a"
"clu","columbus bakalar municipal airport","columbus","n/a"
"csg","columbus metropolitan airport","columbus","n/a"
"olu","columbus municipal airport","columbus","n/a"
"ubs","columbus-lowndes county airport","columbus","n/a"
"con","concord municipal airport","concord","n/a"
"dgw","converse county airport","douglas","n/a"
"cop","cooperstown-westville airport","cooperstown","n/a"
"cro","corcoran airport","corcoran","n/a"
"cku","cordova municipal airport","cordova","n/a"
"crp","corpus christi international airport","corpus christi","n/a"
"cez","cortez-montezuma county airport","cortez","n/a"
"cvo","corvallis municipal airport","corvallis","n/a"
"cot","cotulla cotulla-la salle county airport","cotulla","n/a"
"cfd","coulter field","bryan","n/a"
"cil","council airport","council","n/a"
"cbf","council bluffs municipal airport","council bluffs","n/a"
"prx","cox field","paris","n/a"
"czd","cozad municipal airport","cozad","n/a"
"sem","craig field","selma","n/a"
"crg","craig municipal airport","jacksonville","n/a"
"cga","craig seaplane base","craig","n/a"
"28m","cranland airport","hanson","n/a"
"csq","creston municipal airport","creston","n/a"
"ckf","crisp county-cordele airport","cordele","n/a"
"rdr","cronquist field","gilby","n/a"
"ckd","crooked creek airport","crooked creek","n/a"
"ckn","crookston municipal airport-kirkwood field","crookston","n/a"
"cty","cross city airport","cross city","n/a"
"csv","crossville memorial airport","howard springs","n/a"
"mic","crystal airport","minneapolis","n/a"
"t71","cuero municipal airport","cuero","n/a"
"vhn","culberson county airport","van horn","n/a"
"cjr","culpeper county airport","elkwood","n/a"
"cbe","cumberland airport","wiley ford","n/a"
"cuh","cushing municipal airport","cushing","n/a"
"ctb","cut bank municipal airport","cut bank","n/a"
"tnt","dade-collier training and transition airport","trail center","n/a"
"dht","dalhart municipal airport","dalhart","n/a"
"dal","dallas love field","dallas","n/a"
"dfw","dallas/fort worth international airport","minters chapel","n/a"
"dnn","dalton municipal airport","dalton","n/a"
"dxr","danbury municipal airport","danbury","n/a"
"msn","dane county regional airport-truax field","madison","n/a"
"dnl","daniel field","augusta","n/a"
"mgm","dannelly field","montgomery","n/a"
"dsv","dansville municipal airport","dansville","n/a"
"dan","danville regional airport","danville","n/a"
"ves","darke county airport","versailles","n/a"
"dvn","davenport municipal airport","davenport","n/a"
"dwh","david wayne hooks memorial airport","houston","n/a"
"2d8","davis airport","cadgewith farms mobile home park","n/a"
"gdv","dawson community airport","glendive","n/a"
"dab","daytona beach regional airport","daytona beach","n/a"
"scc","deadhorse airport","deadhorse","n/a"
"dec","decatur airport","decatur","n/a"
"bge","decatur county industrial air park","bainbridge","n/a"
"dcr","decatur hi-way airport","rivare","n/a"
"deh","decorah municipal airport","decorah","n/a"
"dew","deer park airport","deer park","n/a"
"dee","deering airport","deering","n/a"
"dfi","defiance memorial airport","defiance","n/a"
"dkb","dekalb taylor municipal airport","cortland","n/a"
"pdk","dekalb-peachtree airport","atlanta","n/a"
"drt","del rio international airport","del rio","n/a"
"esc","delta county airport","escanaba","n/a"
"djn","delta junction airport","delta junction","n/a"
"dta","delta municipal airport","delta","n/a"
"dmn","deming municipal airport","deming","n/a"
"dns","denison municipal airport","denison","n/a"
"dto","denton municipal airport","denton","n/a"
"den","denver international airport","denver","n/a"
"lol","derby field","lovelock","n/a"
"dsm","des moines international airport","des moines","n/a"
"dra","desert rock airport","mercury","n/a"
"dts","destin-fort walton beach airport","destin","n/a"
"det","detroit city airport","detroit","n/a"
"dtl","detroit lakes airport","richards","n/a"
"dtw","detroit metropolitan wayne county airport","detroit","n/a"
"dvl","devils lake municipal airport","devils lake","n/a"
"dik","dickinson municipal airport","dickinson","n/a"
"een","dillant-hopkins airport","keene","n/a"
"hdh","dillingham airfield","mokuleia","n/a"
"dlg","dillingham airport","dillingham","n/a"
"dln","dillon airport","dillon","n/a"
"dll","dillon county airport","dillon","n/a"
"ddc","dodge city municipal airport","dodge city","n/a"
"unu","dodge county airport","juneau","n/a"
"gdc","donaldson center airport","greenville","n/a"
"sue","door county cherryland airport","sturgeon bay","n/a"
"dhn","dothan airport","dothan","n/a"
"dqh","douglas municipal airport","douglas","n/a"
"dgl","douglas municipal airport","douglas","n/a"
"dyl","doylestown airport","doylestown","n/a"
"fyv","drake field","fayetteville","n/a"
"dre","drummond island airport","drummond","n/a"
"duj","du bois-jefferson county airport","allens mills","n/a"
"dbq","dubuque regional airport","dubuque","n/a"
"dlh","duluth international airport","duluth","n/a"
"dpa","dupage county airport","west chicago","n/a"
"dro","durango-la plata county airport","durango","n/a"
"pou","dutchess county airport","poughkeepsie","n/a"
"dtg","dwight airport","dwight","n/a"
"eaa","eagle airport","eagle","n/a"
"ege","eagle county regional airport","eagle","n/a"
"eye","eagle creek airpark","indianapolis","n/a"
"egv","eagle river union airport","eagle river","n/a"
"dua","eaker field","durant","n/a"
"bwl","earl henry airport","blackwell","n/a"
"hto","east hampton airport","wainscott","n/a"
"izg","eastern slopes regional airport","fryeburg","n/a"
"mrb","eastern west virginia regional airport","grubbs corner","n/a"
"cll","easterwood field","college station","n/a"
"ezm","eastman-dodge county airport","lowery","n/a"
"esn","easton municipal airport","north easton","n/a"
"esw","easton state airport","easton","n/a"
"ede","edenton municipal airport","cape colony","n/a"
"mpv","edward f knapp state airport","berlin corners","n/a"
"ecu","edwards county airport","rocksprings","n/a"
"eek","eek airport","eek","n/a"
"eii","egegik airport","egegik","n/a"
"kek","ekwok airport","ekwok","n/a"
"njk","el centro naval air facility","seeley","n/a"
"emt","el monte airport","el monte","n/a"
"elp","el paso international airport","el paso","n/a"
"elv","elfin cove seaplane base","elfin cove","n/a"
"eli","elim airport","elim","n/a"
"ecg","elizabeth city municipal airport","hickory village - mobile home park","n/a"
"fid","elizabeth field","fishers island","n/a"
"ekm","elkhart municipal airport","elkhart","n/a"
"eha","elkhart-morton county airport","elkhart","n/a"
"eko","elko municipal airport-j c harris field","elko","n/a"
"efd","ellington field","houston","n/a"
"elm","elmira-corning regional airport","big flats airport","n/a"
"ely","ely airport-yelland field","ely","n/a"
"enm","emmonak airport","emmonak","n/a"
"emp","emporia municipal airport","emporia","n/a"
"emv","emporia municipal airport","james river junction","n/a"
"wdg","enid woodring municipal airport","shea","n/a"
"ets","enterprise municipal airport","enterprise","n/a"
"eph","ephrata municipal airport","ephrata","n/a"
"oma","eppley airfield","omaha","n/a"
"eri","erie international airport","erie","n/a"
"prc","ernest a. love field","prescott","n/a"
"cdw","essex county airport","caldwell","n/a"
"eue","eureka airport","eureka","n/a"
"eka","eureka city airport","fairhaven","n/a"
"evw","evanston-uinta county burns field","evanston","n/a"
"evv","evansville regional airport","evansville","n/a"
"9c8","evart municipal airport","evart","n/a"
"evm","eveleth-virginia municipal airport","eveleth","n/a"
"odx","evelyn sharp field","ord","n/a"
"exi","excursion inlet seaplane base","excursion inlet","n/a"
"orl","executive airport","orlando","n/a"
"fai","fairbanks international airport","fairbanks","n/a"
"fwc","fairfield municipal airport","fairfield","n/a"
"ffl","fairfield municipal airport","fairfield","n/a"
"frm","fairmont municipal airport","fairmont","n/a"
"msc","falcon field","mesa","n/a"
"nfl","fallon municipal airport","fallon","n/a"
"inl","falls international airport","international falls","n/a"
"kfp","false pass airport","false pass","n/a"
"ida","fanning field","idaho falls","n/a"
"fkk","farewell lake seaplane base","NULL","n/a"
"fbl","faribault municipal airport","faribault","n/a"
"fam","farmington regional airport","farmington","n/a"
"fvx","farmville municipal airport","reeds","n/a"
"fay","fayetteville municipal airport","fayetteville","n/a"
"sff","felts field","spokane","n/a"
"ffm","fergus falls municipal/einar mickelson field","fergus falls","n/a"
"fhb","fernandina beach municipal airport","fernandina beach","n/a"
"fes","festus memorial airport","festus","n/a"
"fka","fillmore county airport","preston","n/a"
"fdy","findlay airport","findlay","n/a"
"ffa","first flight airport","kill devil hills","n/a"
"eyf","fisher field","mount olive","n/a"
"fpk","fitch h beach airport","charlotte","n/a"
"fit","fitchburg municipal airport","fitchburg","n/a"
"fmc","five mile airport","NULL","n/a"
"rir","flabob airport","rubidoux","n/a"
"flg","flagstaff pulliam airport","flagstaff","n/a"
"ckm","fletcher field","clarksdale","n/a"
"flo","florence regional airport","florence","n/a"
"fcm","flying cloud airport","minneapolis","n/a"
"blv","flying l airport","lebanon","n/a"
"rmn","flying t farm airport","stafford","n/a"
"fld","fond du lac county airport","fond du lac","n/a"
"foe","forbes field","topeka","n/a"
"fxy","forest city municipal airport","forest city","n/a"
"hop","fort campbell u. s. army airfield","fort campbell north","n/a"
"fnl","fort collins-loveland municipal airport","redmond","n/a"
"fod","fort dodge municipal airport","fort dodge","n/a"
"grk","fort hood robert gray aaf ft hood","montague village","n/a"
"fxe","fort lauderdale executive airport","fort lauderdale","n/a"
"fll","fort lauderdale-hollywood international airport","fort lauderdale","n/a"
"fsw","fort madison municipal airport","fort madison","n/a"
"fsk","fort scott municipal airport","fort scott","n/a"
"fsm","fort smith municipal airport","fort smith","n/a"
"fst","fort stockton fort stockton-pecos county airport","fort stockton","n/a"
"fsu","fort sumner municipal airport","fort sumner","n/a"
"fwa","fort wayne municipal airport","fort wayne","n/a"
"afw","fort worth alliance airport","fort worth","n/a"
"ftw","fort worth meacham airport","fort worth","n/a"
"fws","fort worth spinks airport","fort worth","n/a"
"fyu","fort yukon airport","fort yukon","n/a"
"fse","fosston municipal airport","fosston","n/a"
"fmn","four corners regional airport","farmington","n/a"
"mls","frank wiley field","miles city","n/a"
"uos","franklin county airport","sewanee","n/a"
"fkn","franklin municipal-john beverly rose airport","franklin","n/a"
"fdk","frederick municipal airport","frederick","n/a"
"fdr","frederick municipal airport","frederick","n/a"
"ser","freeman municipal airport","seymour","n/a"
"fet","fremont municipal airport","fremont","n/a"
"frh","french lick municipal airport","french lick","n/a"
"rbk","french valley airport","murrieta hot springs  (historical)","n/a"
"fat","fresno air terminal airport","fresno","n/a"
"fch","fresno-chandler downtown airport","west park","n/a"
"fhr","friday harbor airport","friday harbor","n/a"
"fbs","friday harbor seaplane base","friday harbor","n/a"
"sun","friedman memorial airport","hailey","n/a"
"ftg","front range airport","denver","n/a"
"ful","fullerton municipal airport","fullerton","n/a"
"rcr","fulton county airport","rochester","n/a"
"fty","fulton county airport-brown field","atlanta","n/a"
"pql","fundarosa airport","helena","n/a"
"fnr","funter bay seaplane base","funter","n/a"
"gab","gabbs airport","gabbs","n/a"
"gad","gadsden municipal airport","siberton","n/a"
"gle","gainesville municipal airport","gainesville","n/a"
"gnv","gainesville regional airport","gainesville","n/a"
"gbh","galbraith lake airport","NULL","n/a"
"gal","galena airport","galena","n/a"
"gbg","galesburg municipal airport","galesburg","n/a"
"gqq","galion municipal airport","galion","n/a"
"bzn","gallatin field airport","bozeman","n/a"
"gup","gallup municipal airport","gallup","n/a"
"gam","gambell airport","gambell","n/a"
"gck","garden city municipal airport","mansfield","n/a"
"gdm","gardner municipal airport","gardner","n/a"
"ril","garfield county regional airport","rifle","n/a"
"uva","garner field","uvalde","n/a"
"gyy","gary municipal airport","gary","n/a"
"bos","general edward lawrence logan international airport","boston","n/a"
"mke","general mitchell international airport","milwaukee","n/a"
"wjf","general william j fox airfield","antelope acres","n/a"
"iah","george bush intercontinental airport - houston","houston","n/a"
"aiv","george downer airport","aliceville","n/a"
"bxa","george r carr memorial air field","bogalusa","n/a"
"cdk","george t lewis airport","cedar key","n/a"
"gge","georgetown county airport","georgetown","n/a"
"grr","gerald r. ford international airport","grand rapids","n/a"
"see","gillespie field","town and country mobile home park","n/a"
"gcc","gillette-campbell county airport","gillette","n/a"
"fca","glacier park international airport","kalispell","n/a"
"ggw","glasgow international airport","glasgow","n/a"
"glw","glasgow municipal airport","glasgow","n/a"
"geu","glendale municipal airport","glendale","n/a"
"bqk","glynco jetport airport","brunswick","n/a"
"ftk","godman army air field","fort knox","n/a"
"gol","gold beach municipal airport","gold beach","n/a"
"gtr","golden triangle regional airport","billups","n/a"
"glv","golovin airport","golovin","n/a"
"gld","goodland municipal airport","goodland","n/a"
"gnu","goodnews airport","goodnews bay","n/a"
"eld","goodwin field","el dorado","n/a"
