"common name","latin name","type","rating"
"bleeding heart&nbsp;","dicentra spectabilis","perennials","a"
"bloodtwig dogwood","cornus sanguinea","shrubs","c"
"blue fescue&nbsp;","festuca glauca","ornamental grasses","a"
"blue holly","ilex x meserveae","shrubs","c"
"blue mist shrub&nbsp;","caryopteris clandonensis","shrubs","a"
"blue oat grass","helictotrichon sempervirens","ornamental grasses","a"
"blue star juniper","juniperus squamata 'blue star'","shrubs","b"
"bluebell","endymion sp.","bulbs","a"
"blueberry elder sweet elder","sambucus canadensis","shrubs","b"
"bog rosemary","andromeda polifolia","shrubs","b"
"borage&nbsp;","borage officinalis","annuals","b"
"bottlebrush buckeye&nbsp;","aesculus parviflora","trees","a"
"bottlebrush grass","hystrix patula","ornamental grasses","b"
"brambles","rubus sp.","shrubs","b"
"bridalwreath spirea","spiraea prunifolia","shrubs","b"
"broom","cytisus sp.","shrubs","a"
"buckthorn","rhammus sp.","shrubs","b"
"bugleweed&nbsp;","ajuga reptans","groundcovers","a"
"bugloss","anchusa sp.","perennials","b"
"bush cinquefoil","potentilla fruticosa","shrubs","a"
"butter &amp; eggs","linaria vulgaris","perennials","a"
"buttercup","ranunculus sp.","perennials","a"
"butterfly bush&nbsp;","buddleia sp.","shrubs","a"
"butterfly weed","asclepias tuberosa","perennials","b"
"cactus","cactaceae sp.","perennials","a"
"caladium","caladium sp.","bulbs","c"
"california poppy&nbsp;","eschscholzia californica","annuals","b"
"california sweetshrub","calycanthus occidentalis","shrubs","b"
"calla lily","zantedeschia sp.","bulbs","b"
"callery pear","pyrus calleryana","trees","c"
"camassia","camassia leichtlini","bulbs","b"
"candy lily","pardancanda x norrisii","perennials","d"
"candytuft","iberis sempervirens","perennials","b"
"candytuft","iberis umbellata","annuals","b"
"canna lily&nbsp;","canna sp.","bulbs","b"
"canterbury bells","campanula medium","biennials","c"
"cardinal flower&nbsp;","lobelia sp.","perennials","b"
"carnation pinks","dianthus sp.","perennials","b"
"carolina hemlock","tsuga caroliniana","trees","c"
"carolina rhododendron","rhododendron carolinianum","shrubs","c"
"carolina silverbell","halesia carolina","shrubs","b"
"catawba rhododendron","rhododendron catawbiense","shrubs","c"
"catmint&nbsp;","nepeta sp.","perennials","a"
"checkermallow","sidalcia malviflora","perennials","c"
"cherries (1)","prunus sp.","trees","d"
"cherry laurel","prunus laurocerasus","shrubs","b"
"chestnut oak","quercus prinus","trees","c"
"chinese fringe tree","chionanthus retusus","trees","b"
"chinese holly","ilex cornuta","shrubs","b"
"chinese juniper (1)","juniperus chinensis cv.","shrubs","b"
"chinese lilac","syringa x chinesis","shrubs","c"
"chinese paper birch","betula albo-sinensis","trees","b"
"christmas fern&nbsp;","polystichum arcostichoides","ferns","a"
"cinnamon fern","osmunda cinnamomea","ferns","a"
"clematis","clematis sp.","vines","c"
"climbing hydrangea","hydrangea anomala petiolaris","vines","c"
"clump bamboo","fargesia sp.","ornamental grasses","a"
"coast leucothoe","leucothoe axillaris","shrubs","b"
"cock's comb","celosia sp.","annuals","b"
"coleus&nbsp;","coleus sp.","annuals","c"
"colorado blue spruce","picea pungens","trees","b"
"columbine&nbsp;","aquilegia sp.","perennials","b"
"comfrey","symphytum officinale","perennials","c"
"common boxwood&nbsp;","buxus sempervirens","shrubs","a"
"common flowering quince","chaenomeles speciosa","trees","b"
"common foxglove&nbsp;","digitalis purpurea","biennials","a"
"common horsechestnut","aesculus hippocastanum","trees","c"
"common lilac","syringa vulgaris","shrubs","b"
"common pear","pyrus communis","trees","c"
"common sassafras","sassafras albidurn","trees","b"
"common sweetshrub","calycanthus floridus","shrubs","b"
"common tansy","tanacetum vulgare","perennials","a"
"common witchhazel","hamamelis virginiana","shrubs","b"
"common yarrow&nbsp;","achillea millefolium","perennials","b"
"coralbells&nbsp;","heuchera sp.","perennials","b"
"coralberry","symphoricarpos x chenaultii","shrubs","b"
"corkscrew willow","salix matsudana tortuosa","trees","b"
"cornelian cherry","cornus mas","trees","c"
"corydalis","corydalis sp.","perennials","a"
"cosmos","cosmos sp.","annuals","c"
"cranberry bush&nbsp;","viburnum opulus","shrubs","b"
"cranberry cotoneaster","cotoneaster apiculatus","shrubs","b"
"crape myrtle&nbsp;","lagerstroemia indica","shrubs","b"
"creeping juniper (1)","juniperus horizontalis cv.","shrubs","b"
"creeping wintergreen","gaultheria procumbens","groundcovers","b"
"crocosmia&nbsp;","croscosmia sp.","perennials","b"
"crocus","crocus sp.","bulbs","b"
"crown imperial fritilia","fritilaria imperialis","bulbs","a"
"currant","ribes sp.","shrubs","b"
"cyclamen","cyclamen sp.","perennials","b"
"daffodil&nbsp;","narcissus sp.","bulbs","a"
"dahlia","dahlia sp.","annuals","c"
"dame's rocket","hesperis matronalis","perennials","a"
"daphne&nbsp;","daphne sp.","shrubs","a"
"dawn redwood","metasequoia glyptostroboides","trees","b"
"daylily","hemerocallis sp.","perennials","c"
"deciduous azaleas (1)","rhododendron sp.","shrubs","c"
"delphinium","delphinium sp.","perennials","b"
"deutzia&nbsp;","deutzia sp.","shrubs","b"
"devil's walking stick","aralia spinosa","shrubs","a"
"dill","anethumus graveolens","annuals","b"
"doublefile viburnum","viburnum plicatum tomentosurn","shrubs","b"
"douglas fir","pseudotsuga menziesii","trees","b"
"downy serviceberry","amelanchier arborea","trees","b"
"dragon lady san jose holly","ilex x aquipernyi","trees","b"
"drooping leucothoe&nbsp;","leucothoe fontanesiana","shrubs","a"
"drooping sedge","carex pendula","ornamental grasses","b"
"dusty miller","centaurea cineraria","annuals","a"
"dwarf alberta spruce&nbsp;","picea glauca 'conica'","trees","a"
"dwarf balsam fir","abies balsamea","shrubs","b"
"dwarf mondo grass","ophiopogon japonicus","ornamental grasses","b"
"eastern hemlock","tsuga canadensis","trees","c"
"eastern red cedar&nbsp;","juniperus virginiana","trees","b"
"eastern redbud","cercis canadensis","trees","c"
"eastern white pine","pinus strobus","trees","b"
"elephant ear&nbsp;","colocasia esculenta","bulbs","b"
"english daisy","bellis perennis","perennials","c"
"english hawthorn","crataegus laevigata","trees","b"
"english holly&nbsp;","ilex aquifolium","shrubs","b"
"english ivy&nbsp;","hedera helix","vines","c"
"english ivy&nbsp;","hedera helix","groundcovers","c"
"european ash","fraxinus excelsior","trees","b"
"european beech","fagus sylvatica","trees","b"
"european ginger&nbsp;","asarum europaeum","perennials","a"
"european larch","larix decidua","trees","c"
"european mountain ash","sorbus aucuparia","trees","d"
"european white birch","betula pendula","trees","b"
"evergreen azaleas (1)","rhododendron sp.","shrubs","d"
"fall mums","chrysanthemum","perennials","c"
"false camomile","matricaria sp.","annuals","a"
"false indigo&nbsp;","baptisia australis","perennials","a"
"feather reed grass&nbsp;","calamagrostis sp.","ornamental grasses","a"
"feverfew&nbsp;","chrysanthemum parthenium","perennials","b"
"firethorn","pyracantha coccinea","shrubs","b"
"fleabane","erigeron sp.","perennials","c"
"flowering dogwood","cornus florida","trees","c"
"flowering tobacco","nicotiana sp.","annuals","a"
"foam flower&nbsp;","tiarella cordifolia","perennials","b"
"forget-me-not","myosotis alpestris","biennials","b"
"forget-me-not","myosotis sp.","perennials","a"
"forget-me-not","myosotis sylvatica","annuals","a"
"forsythia","forsythia x intermedia","shrubs","b"
"fothergillia","fothergila sp.","shrubs","b"
"fountain grass&nbsp;","pennisetum alopecuroides","ornamental grasses","a"
"fragrant sumac&nbsp;","rhus aromatica","shrubs","a"
"fragrant winterhazel","corylopsis glabrescens","shrubs","c"
"fraser fir","abies fraseri","trees","c"
"french marigold&nbsp;","tagetes patula","annuals","b"
"fringed bleeding heart","dicentra eximia","perennials","a"
"garden lily","lilium sp.","bulbs","c"
"garden petunia&nbsp;","petunia sp.","annuals","c"
"garden sage&nbsp;","salvia officinalis","perennials","a"
"gas plant&nbsp;","dictamus alba","perennials","b"
"geranium&nbsp;","pelargonium sp.","annuals","c"
"gerbera daisy","gerbera jamesonii","annuals","c"
"germander&nbsp;","teucrium chamaedrys","perennials","a"
"geum avens","geum sp.","perennials","c"
"giant japanese silver grass","miscanthus floridulis","ornamental grasses","a"
"giant reed&nbsp;","arundo donax","ornamental grasses","a"
"gladiolus","gladiolus sp.","bulbs","b"
"globeflower","trollius sp.","perennials","c"
"glory lily","gloriosa superba","bulbs","b"
"glossy abelia","abelia sp.","shrubs","b"
"goat's beard","aruncus sp.","perennials","c"
"golden bamboo","phyllostachys aurea","ornamental grasses","a"
"goldenrain tree&nbsp;","koelreuteria paniculata","trees","b"
"goldenrod&nbsp;","solidago sp.","perennials","b"
"goldflame honeysuckle&nbsp;","lonicera x heckrottii","vines","c"
"goldust plant&nbsp;","aucuba japonica","shrubs","b"
"gooseneck loosestrife","lysimachia clethroides","perennials","c"
"grape hyacinth","muscari sp.","bulbs","b"
"greek jerusalem sage","phlomis sp.","perennials","a"
"green ash","fraximus pennsylvanica","trees","b"
"greenspire littleleaf linden","tilia cordata 'greenspire'","trees","c"
"hakonechloa&nbsp;","hakonechloa macra","ornamental grasses","a"
"hard rush","juncus effusus","ornamental grasses","a"
"hardy begonia&nbsp;","begonia grandis","perennials","c"
"hardy geranium","geranium clarkei","perennials","c"
"hardy geranium","geranium endressii","perennials","d"
"hardy geranium","geranium macrorrhizum","perennials","b"
"hardy geranium","geranium sanguineum","perennials","c"
"hardy geranium","geranium x cantabrigiense","perennials","c"
"harlequin glorybower","clerodendrum fargesii","shrubs","b"
"hayscented fern&nbsp;","dennstaedtia punctilobula","ferns","a"
"hazelnut","corylus sp.","shrubs","b"
"heartleaf bergenia&nbsp;","bergenia sp.","perennials","b"
"heath","erica sp.","shrubs","a"
"heather","calliuna sp.","shrubs","a"
"heavenly bamboo&nbsp;","nandina sp.","shrubs","c"
"heliotrope","heliotropium arborescens","annuals","a"
"hens and chickens&nbsp;","sempervivum sp.","perennials","b"
"highbush blueberry","vaccinum corymbosum","shrubs","c"
"himalayan birch","betula jacquemontii","trees","b"
"hinoki cypress","chamaecyparis obtusa","trees","c"
"holly fern","cyrtomium falcatum","ferns","a"
"holly osmanthus","osmanthus heterophyllus","shrubs","b"
"hollyhock","alcea sp.","perennials","c"
"honey locust&nbsp;","gleditsia triacanthos","trees","b"
"horehound","marrubium vulgare","perennials","a"
"horseradish","armoracia rusticana","perennials","a"
"hosta&nbsp;","hosta sp.","perennials","d"
"hyacinth","hyacinthus sp.","bulbs","b"
"hybrid tea rose","rosa x hybrid","shrubs","c"
"hyssop","hyssopus officinalis","perennials","a"
"impatiens&nbsp;","impatiens walleriana","annuals","c"
"indian grass","sorghastrum nutans","ornamental grasses","a"
"inkberry","ilex glabra","shrubs","b"
"iris&nbsp;  (2)","iris sp.","perennials","a"
"jack-in-the-pulpit","arisaema triphylum","perennials","a"
"jacob's ladder","polemonium caeruleum","perennials","b"
"japanese anemone","anemone x hybrida","perennials","b"
"japanese black pine","pinus thunbergiana","trees","a"
"japanese blood grass&nbsp;","imperata cylindrica","ornamental grasses","a"
"japanese cedar","cryptomeria japonica","trees","b"
"japanese euonymus","euonymus japonica","shrubs","c"
"japanese falsecypress&nbsp;","chamaecyparis pisifera","trees","b"
"japanese flowering cherry","prunus serrulata","trees","b"
"japanese flowering quince","chaenomeles japonica","shrubs","b"
"japanese garden juniper","juniperus procumbens 'nana'","shrubs","b"
"japanese holly&nbsp;","ilex crenata","shrubs","c"
"japanese kerria","kerria japonica","shrubs","b"
"japanese maple&nbsp;","acer palmatum","trees","b"
"japanese painted fern&nbsp;","athyrium goeringianum (nipponicum)","ferns","a"
"japanese pieris andromeda&nbsp;","pieris japonica","shrubs","a"
"japanese plum yew&nbsp;","cephalotaxus harringtonia","shrubs","a"
"japanese red pine","pinus densiflora","trees","b"
"japanese sedge&nbsp;","carex sp.","ornamental grasses","a"
"japanese silver grass&nbsp;","miscanthus sinensis","ornamental grasses","a"
"japanese skimmia","skimmia japonica","shrubs","a"
"japanese spirea&nbsp;","spiraea japonica","shrubs","b"
"japanese sweet flag","acorus sp.","ornamental grasses","a"
"japanese tree lilac","syringa reticulata","shrubs","b"
"john t. morris holly","ilex x 'john t. morris'","shrubs","a"
"judd viburnum","viburnum x juddii","shrubs","b"
"katsura tree","cercidiphyllum japonicum","trees","a"
"koreanspice viburnum","viburnum carlesii","shrubs","b"
"kousa dogwood&nbsp;","cornus kousa","trees","b"
"ladys' mantle&nbsp;","alchemilla sp.","perennials","b"
"lamb's ear&nbsp;","stachys byzantina","perennials","a"
"lance coreopsis&nbsp;","coreopsis lanceolata","perennials","b"
"lantana&nbsp;","lantana sp.","annuals","b"
"large blue june grass","koeleria glauca","ornamental grasses","a"
"large periwinkle","vinca major","groundcovers","b"
"larkspur","consolida ambigua","annuals","a"
"late lilac","syringa villosa","shrubs","c"
"lavendar","lavandula sp.","perennials","a"
"lavender-cotton","santolina chamaecyparissus","perennials","a"
"leatherleaf mahonia&nbsp;","mahonia bealei","shrubs","a"
"leatherleaf viburnum","viburnum rhytidophyllum","shrubs","b"
"lemon balm","melissa officinalis","perennials","a"
"lenten or christmas rose","helleborus sp.","perennials","a"
"leyland cypress","cupressocyparis leyandii","trees","c"
"lily of the valley&nbsp;","convallaria majalis","groundcovers","a"
"lilyturf","liriope sp.","groundcovers","b"
"little bluestem","schizachyrium scoparium","ornamental grasses","a"
"lobelia","lobelia sp.","annuals","b"
"lungwort&nbsp;","pulmonaria sp.","perennials","a"
"lupine","lupinus sp.","perennials","b"
"lydia morris holly","ilex x 'lydia morris'","shrubs","a"
"lyme grass&nbsp;","leymus arenarius glaucous","ornamental grasses","a"
"maltese cross&nbsp;","lychnis chalcedonica","perennials","b"
"marjoram","majorana","perennials","a"
"may apple","podophyllum","perennials","a"
"meadow rue","thalictrum sp.","perennials","a"
"meadow sage","salvia nemorosa","perennials","b"
"meadowsweet","filipendula sp.","perennials","c"
"mimosa&nbsp;","albizia julibrissin","trees","a"
"mint","mentha sp.","perennials","a"
"mist flower","eupatorium coelestinurn","perennials","b"
"money plant&nbsp;","lunaria annua","biennials","b"
"monkshood","aconitum sp.","perennials","a"
"moonglow juniper","juniperus scopulorum 'moonglow'","shrubs","a"
"morning glory","ipomea sp.","annuals","c"
"mountain bluet","centaurea montana","perennials","c"
"mountain juniper (1)","juniperus scopulorum cv.","shrubs","b"
"mountain laurel&nbsp;","kalmia latifolia","shrubs","c"
"mountain pieris","pieris floribunda","shrubs","a"
"mugo pine&nbsp;","pinus mugo","shrubs","b"
"mullein","verbascum sp.","perennials","b"
"multiflora rose","rosa multiflora","shrubs","c"
"nasturtium","tropaeolum majus","annuals","b"
"nellie stevens holly","ilex x 'nellie r. stevens'","trees","c"
"new york fern&nbsp;","thelyptens noveboracensis","ferns","a"
"northern red oak","quercus rubra","trees","c"
"northern sea oats&nbsp;","chasmanthium latifolium","ornamental grasses","a"
"norway maple","acer platanoides","trees","c"
"norway spruce","picea abies","trees","b"
"oakleaf hydrangea&nbsp;","hydrangea quercifolia","shrubs","c"
"obedient plant","physostegia sp.","perennials","b"
"oregano","oreganum sp.","perennials","a"
"oregon grape holly&nbsp;","mahonia aquifolium","shrubs","a"
"oriental fountain grass&nbsp;","pennisetum orientale","ornamental grasses","a"
"oriental poppy","papaver orientale","perennials","b"
"ornamental onion&nbsp;","allium sp.","perennials","a"
"ornamental onion&nbsp;","allium sp.","bulbs","a"
"ostrich fern","matteuccia struthiopteris","ferns","a"
"pachysandra&nbsp;","pachysandra terminalis","groundcovers","a"
"pampus grass","cortaderia selloana","ornamental grasses","a"
"panicle hydrangea","hydrangea paniculata","shrubs","c"
"panicled dogwood","cornus racemosa","shrubs","c"
"pansy","viola sp.","annuals","c"
"paper birch","betula papyrifera","trees","a"
"paperbark maple","acer griseurn","trees","b"
"parsley","petroselinum crispum","annuals","b"
"patrinia","patrinia scabiosifolia","perennials","b"
"pawpaw","asimina triloba","trees","a"
"penstemon&nbsp;","penstemon sp.","perennials","c"
"peony&nbsp;  (2)","paeonia sp.","perennials","a"
"periwinkle","vinca minor","groundcovers","b"
"pernyi holly","ilex pernyi","trees","c"
"persian lilac","syringa x persica","shrubs","c"
"pfitzer juniper","juniperus chinensis 'pfitzerana'","shrubs","b"
"phlox","phlox sp.","perennials","c"
"pincushin flower","scabiosa caucasica","perennials","b"
"pink turtlehead","chelone sp.","perennials","c"
"pinxterbloom azalea","rhododendron penclymenoides","shrubs","d"
"pitch pine","pinus rigida","trees","a"
"plumbago&nbsp;","ceratostigma plumbaginoides","groundcovers","b"
"plume poppy","macleaya cordata","perennials","b"
"plums","prunus sp.","trees","d"
"poppy&nbsp;","papaver sp.","annuals","a"
"pot marigold","calendula sp.","annuals","a"
"potentilla cinquefoil","potentilla sp.","perennials","a"
"primrose","primula sp.","perennials","b"
"prince of wales juniper","juniperus horizontalis 'prince of wales'","shrubs","a"
"privet","ligustrurn sp.","shrubs","b"
"purple coneflower&nbsp;","echinacea purpurea","perennials","b"
"purple leaf sand cherry","prunus x cistena","shrubs","c"
"purple loosestrife","lythrum sp.","perennials","c"
"purple moor grass","molinia caerulea","ornamental grasses","a"
"purple rock-cress","aubretia deltoidea","perennials","a"
"pyrenees cotoneaster","cotoneaster congestus.","shrubs","b"
"ravenna grass&nbsp;","erianthus ravennae","ornamental grasses","a"
"red chokeberry","aronia arbutifolia","shrubs","b"
"red elderberry","sambucus racemosa","shrubs","a"
"red maple","acer rubrum","trees","b"
"red osier dogwood","cornus sericea","shrubs","b"
"red pine","pinus resinosa","trees","a"
"red twigged dogwood","cornus alba","shrubs","b"
"red-hot poker&nbsp;","kniphofia tritoma","perennials","b"
"redvein enkianthus&nbsp;","enkianthus campanulatus","shrubs","b"
"rhododendrons (1)","rhododendron sp.","shrubs","d"
"rhubarb","rheum rhabarbarum","perennials","b"
"ribbon grass","phalaris arundinaceae","ornamental grasses","b"
"river birch","betula nigra","trees","a"
"rock-cress","arabis caucasica","perennials","a"
"rocket ligularia&nbsp;","ligularia 'the rocket'","perennials","a"
"rockspray cotoneaster","cotoneaster horizontalis","shrubs","b"
"rodgers flower","rodgersia sp.","perennials","a"
"rose campion","lychnis coronaria","perennials","a"
"rose mallow","hibiscus moscheutos","perennials","c"
"rose of sharon&nbsp;","hibiscus syriacus","shrubs","b"
"rosebay rhododendron","rhododendron maximum","shrubs","c"
"rosemary","rosmarinus officinalis","annuals","a"
"royal fern","osmunda regalis","ferns","a"
"ruby horsechestnut","aesculus x carnea","trees","b"
"rue","ruta sp.","perennials","a"
"rue anemone","anemonella thalictroides","perennials","b"
"rugosa rose","rosa rugosa","shrubs","c"
"russian cypress&nbsp;","microbiota decussata","shrubs","a"
"russian olive","elaeagnus angustifolia","shrubs","a"
"russian sage&nbsp;","perovskio atriplicifolia","perennials","a"
"salvia","salvia","annuals","b"
"saucer magnolia","magnolia x soulangiana","shrubs","b"
"savin/tam juniper","juniperus sabin cv.","shrubs","b"
"savory","satureja montana","perennials","b"
"scotch pine","pinus sylvestris","trees","b"
"sea buckthorn","hippophae rhamnoides","shrubs","b"
"sea thrift","armeria maritima","perennials","b"
"sea-holly","eryngium sp.","perennials","d"
"sedge","scirpus lacustris","ornamental grasses","b"
"sensitive fern","onoclea sensibilis","ferns","a"
"serbian spruce","picea omorika","trees","b"
"shadbush","amelanchier canadensis","trees","b"
"shasta daisy","chrysanthemum superbum","perennials","c"
"shasta daisy","leucanthemum maximum","perennials","c"
"shiso","perilla frutescens","annuals","b"
"shore juniper","juniperus conferta","shrubs","c"
"showy sedum","sedum spectabile","perennials","c"
"siberian bugloss&nbsp;","bruneria macrophylla (brunnera)","perennials","a"
"siberian squill","scilla siberica","bulbs","a"
"silver maple","acer saccharinum","trees","c"
"silver mound&nbsp;","artemisia sp.","perennials","a"
"singleseed juniper (1)","juniperus squamata cv.","shrubs","b"
"skunk cabbage","symplocarpos foetidus","perennials","b"
"small globe thistle","echinops ritro","perennials","a"
"smokebush&nbsp;","cotinus coggygria","shrubs","b"
"smooth hydrangea&nbsp;","hydrangea arborescens","shrubs","c"
"snakeroot bugbane&nbsp;","cimcifuga sp.","perennials","b"
"snapdragon","antirrhinum majus","annuals","a"
"sneezeweed","helenium autumnale","perennials","b"
"snowberry","symphoricarpos albus","shrubs","b"
"snowdrops","galanthus nivalis","bulbs","a"
"snow-in-summer&nbsp;","cerastium","perennials","b"
"snow-on-the-mountain","euphorbia marginata","annuals","a"
"soapwort&nbsp;","saponaria sp.","perennials","b"
"solomon's seal&nbsp;","polygonatum sp.","perennials","c"
"sourwood","oxydendrum arboreum","trees","b"
"speedwell","veronica sp.","perennials","b"
"spicebush","lindera benzoin","shrubs","b"
"spider flower&nbsp;","cleome sp.","annuals","a"
"spiderwort","tradescantia sp.","perennials","b"
"spotted deadnettle&nbsp;","lamium sp.","groundcovers","a"
"spurge","euphorbia dulcis 'chameleon'","perennials","c"
"spurge&nbsp;","euphorbia sp. (except 'chameleon')","perennials","a"
"st. john's wort&nbsp;","hypericum calycinum","perennials","b"
"st. john's wort&nbsp;","hypericum prolificum","shrubs","b"
"staghorn sumac&nbsp;","rhus typhina","trees","c"
"statice&nbsp;","limonium latifolium","perennials","a"
"stocks","matthiola sp.","annuals","b"
"stokes' aster","stokesia laevis","perennials","b"
"strawberry","fragraria sp.","perennials","d"
"strawflower","helichrysum","annuals","a"
"striped maple","acer pensylvanicum","trees","b"
"sugar maple","acer saccharum","trees","b"
"sundrops","oenethera sp.","perennials","c"
"sunflower","helianthus sp.","annuals","c"
"swamp milkweed","asclepias incarnata","perennials","b"
"sweet alyssum","lobularia maritima","annuals","a"
"sweet box&nbsp;","sarcoccoca hookeriana","shrubs","a"
"sweet cherry","prunus avium","trees","c"
"sweet mock orange&nbsp;","philadelphus coronarius","shrubs","b"
"sweet pepperbush&nbsp;","clethra sp.","shrubs","b"
"sweet william","dianthus barbatus","biennials","b"
"sweet woodruff","galium odoratum (asperula odorata)","groundcovers","a"
"sweetgum","liquidambar styraciflua","trees","c"
"switch grass","panicum virgatum","ornamental grasses","a"
"tarragon","artemisia dracunculus","perennials","a"
"threadleaf coreopsis&nbsp;","coreopsis verticillata","perennials","a"
"thyme&nbsp;","thymus sp.","perennials","a"
"toad lily&nbsp;","tricyrtis hirta","perennials","b"
"trillium","trillium sp.","perennials","b"
"trout lily","erythronium","perennials","b"
"trumpet creeper&nbsp;","campsis radicans","vines","c"
"tulip","tulip sp.","bulbs","d"
"tulip tree","liriodendron tulipifera","trees","b"
"variegated purple moor grass","molinia caerulea 'variegata'","ornamental grasses","a"
"varigated oat grass","arrhenatherum elatius","ornamental grasses","a"
"verbena","verbena x hybrida","annuals","b"
"violets","viola sp.","perennials","b"
"virginia bluebells","mertensia virginica","perennials","b"
"virginia creeper","parthenocissus quinquifolia","vines","c"
"virginia sweetspire","itea virginica","shrubs","b"
"wallflower","cheiranthus sp.","annuals","b"
"wax begonia","begonia semperflorens","annuals","c"
"weeping love grass","eragrostus curvula","ornamental grasses","a"
"weigela","weigela florida","shrubs","b"
"western arborvitae","thuja plicata","trees","c"
"white boltonia","boltonia asteroides","perennials","b"
"white fir","abies concolor","trees","c"
"white fringe tree","chionanthus virginicus","trees","c"
"white oak","quercus alba","trees","c"
"white snakeroot","eupatorium rugosum","perennials","b"
"white spruce","picea glauca","trees","b"
"wild ginger","asarum canadense","perennials","a"
"willowleaf cotoneaster","cotoneaster salicifolius","shrubs","b"
"willows (1)","salix sp.","trees","c"
"winged euonymus","euonymus alata","shrubs","c"
"winter aconite","eranthus hyemalis","bulbs","a"
"winter jasmine","jasminum nudiflorum","vines","b"
"winterberry holly&nbsp;","ilex verticillata","shrubs","b"
"wintercreeeper","euonymus fortunei","groundcovers","c"
"wintercreeper","euonymus fortunei","shrubs","d"
"wintercreeper","euonymus fortunei","vines","d"
"wisteria","wisteria floribunda","vines","b"
"wood fern","dryopteris marginalis","ferns","a"
"wood sorrel","oxalis sp.","bulbs","b"
"yarrow","achillea filipendulina","perennials","b"
"yellow birch","betula lutea","trees","b"
"yellow foxglove&nbsp;","digitalis grandiflora","perennials","b"
"yellow wax-bells","kirengeshoma palmata","perennials","b"
"yews","taxus sp.","shrubs","d"
"youngstown andorra juniper","juniperus horizontalis 'youngstown'","shrubs","b"
"yucca&nbsp;","yucca filimentosa","perennials","a"
"zinnia","zinnia sp.","annuals","b"
