"rang","name","staat(en)","fläche-(km²)","länge-(km)","max.-tiefe-(m)","volumen-(km³)"
"47.","chubsogol-nor","mongolei","2620","136","262","-"
"48.","poopó-see","bolivien","2600","-","-","402"
"49.","lake-garry","kanada","2538","-","-","-"
"50.","eduardsee","dr-kongouganda","2325","65","112","-"
"51.","wollaston-lake","kanada","2286","-","71","75"
"52.","nueltin-lake","kanada","2279","-","-","-"
"53.","tai-hu","vr-china","2250","-","-","-"
"54.","southern-indian-lake","kanada","2248","-","-","-"
"55.","yathkyed-lake","kanada","2227","-","-","-"
"56.","nam-tso","vr-china","2207","70","33","-"
"57.","lake-mistassini","kanada","2176","150","-","-"
"58.","hungtze-hu","vr-china","1960","-","-","-"
"59.","vättern","schweden","1912","-","119","-"
"60.","lake-okeechobee","usa","1890","56","4","-"
"61.","lago-buenos-aires","chileargentinien","1850","-","590","-"
"62.","tschelkar-tengis","kasachstan","1825","-","-","-"
"63.","hara-usa-nor","mongolei","1760","-","-","-"
"64.","saimaa","finnland","1760","-","85","36"
"65.","manzalasee","ägypten","1709","-","-","-"
"66.","tschanysee","russland","1700","-","12","-"
"67.","ziling-tso","vr-china","1640","72","33","-"
"68.","lake-pontchartrain","usa","1630","64","426","-"
"69.","tuz-gölü","türkei","1620","80","2","-"
"70.","tengis-ozero","kasachstan","1590","-","-","-"
"71.","lago-argentino","argentinien","1490","-","500","-"
"72.","baker-lake","kanada","1480","-","-","-"
"73.","lake-claire","kanada","1436","59","-","-"
"74.","island-lake","kanada","1425","-","-","-"
"75.","lac-seul","kanada","1396","241","47","-"
"76.","lac-a-l'eau-claire","kanada","1386","-","-","-"
"77.","hirgis-nur","mongolei","1360","-","-","-"
"78.","moose-lake","kanada","1359","-","-","-"
"79.","cedar-lake","kanada","1339","-","-","-"
"80.","tangra-tso","vr-china","1295","-","-","-"
"81.","tobasee","indonesien","1264","100","505","240"
"82.","lac-minto","kanada","1256","-","-","-"
"83.","lake-aberdeen","kanada","1230","90","-","-"
"84.","wyg-ozero","russland","1200","-","-","-"
"85.","lac-la-martre","kanada","1174","-","-","-"
"86.","kleiner-sklavensee","kanada","1168","97","205","-"
"87.","lac-la-ronge","kanada","1166","-","-","-"
"88.","cree-lake","kanada","1155","-","-","-"
"89.","abajasee","äthiopien","1150","72","13","-"
"90.","hawr-as-saniyah","irak","1142","-","-","-"
"91.","mälaren","schweden","1140","115","66","143"
"92.","lake-champlain","usa-kanada","1130","180","121","-"
"93.","beloje-ozero","russland","1125","-","-","-"
"94.","lake-st.clair","kanada-usa","1114","42","82","4"
"95.","lac-sakami","kanada","1100","-","-","-"
"96.","napaktulik-lake","kanada","1080","-","-","-"
"97.","kasba-lake","kanada","1077","-","-","-"
"98.","päijänne","finnland","1068","-","95","-"
"99.","mackay-lake","kanada","1061","-","-","-"
"100.","chapalasee","mexiko","1056","80","12","-"
"101.","top-ozero","russland","1049","-","-","-"
"102.","inarisee","finnland","1040","80","92","-"
"103.","kamilukuak-lake","kanada","1036","-","-","-"
"104.","kuschmurunsee","kasachstan","1036","-","-","-"
"105.","managuasee","nicaragua","1035","65","-","-"
"106.","ebi-nor","vr-china","1024","-","-","-"
"107.","lac-bienville","kanada","1015","-","-","-"
"108.","granville-lake","kanada","1015","-","-","-"
"109.","lago-san-martin","chileargentinien","1010","-","-","-"
"110.","lac-st.-jean","kanada","1003","438","63","-"
