"species","last recorded","status","&nbsp;&nbsp;       2004 -2010","2011","notes"
"asplenium ruta-muraria (wall-rue)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"asplenium trichomanes subsp.quadrivalens","1987-1999","native","yes","a","&nbsp;"
"asplenium viride (green spleenwort)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"aster (alien n. american michaelmas-daisies)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"aster novi-belgii (confused michaelmas-daisy)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"aster tripolium (sea aster)","1987-1999","native","&nbsp;yes","&nbsp;","team/tyne confluence"
"astragalus danicus (purple milk-vetch)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"astragalus glycyphyllos (wild liquorice)","pre-1970","native","extinct","extinct","&nbsp;"
"athyrium filix-femina (lady-fern)","1987-1999","native","yes","&nbsp;","&nbsp;"
"atriplex hortensis (garden orache)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"atriplex littoralis (grass-leaved orache)","1987-1999","native","&nbsp;","&nbsp;","waste  ground in gateshead town centre"
"atriplex patula (common orache)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"atriplex portulacoides (sea-purslane)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"atriplex prostrata (spear-leaved orache)","1987-1999","native","yes","&nbsp;","&nbsp;"
"atropa belladonna (deadly nightshade)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"aurinia saxatilis (golden alison)","not in atlas","alien","&nbsp;","&nbsp;","last seen 1989garden escape established near       sunniside park"
"avena fatua (wild-oat)","1970-1986","alien","yes","&nbsp;","&nbsp;every year since 2003"
"avena sativa (oat)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"avena strigosa (bristle oat)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"azolla filiculoides (water fern)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;bradley hall pond since 1960 &amp; nearby       sled lane pond."
"baldellia ranunculoides (lesser water-plantain)","pre-1970","native","extinct","extinct","&nbsp;a marsh at birtley 1920"
"ballota nigra (black horehound)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"barbarea intermedia (medium-flowered winter-cress)","1970-1986","alien","&nbsp;yes","&nbsp;","2004 only - burdon moor"
"barbarea verna (american winter-cress)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"barbarea vulgaris (winter-cress)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"bellis perennis (daisy)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"berberis darwinii x b. empetrifolia (hedge barberry)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"berberis vulgaris (barberry)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"berteroa incana (hoary alison)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"berula erecta (lesser water-parsnip)","1987-1999","native","yes","&nbsp;","&nbsp;"
"beta vulgaris subsp. maritima (sea beet)","pre-1970","native","extinct","extinct","&nbsp;"
"betula pendula (silver birch)","1987-1999","native","yes","a","&nbsp;"
"betula pendula x b. pubescens&nbsp;","1987-1999","native","&nbsp;","a","&nbsp;"
"betula pubescens (downy birch)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"bidens cernua (nodding bur-marigold)","pre-1970","native","extinct","extinct","&nbsp;"
"bidens tripartita (trifid bur-marigold)","pre-1970","native","extinct","extinct","&nbsp;"
"blackstonia perfoliata (yellow-wort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"blechnum spicant (hard-fern)","1987-1999","native","yes","&nbsp;    a","&nbsp;"
"blysmus compressus (flat-sedge)","pre-1970","native","extinct","extinct","&nbsp;"
"bolboschoenus maritimus (sea club-rush)","1987-1999","native","yes","&nbsp;","team/tyne confluence"
"borago officinalis (borage)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"botrychium lunaria (moonwort)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"brachypodium pinnatum (tor-grass)","1970-1986","native","&nbsp;yes","&nbsp;","&nbsp;"
"brachypodium sylvaticum (false brome)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"brassica juncea (chinese mustard)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"brassica napus (rape)","1987-1999","alien","yes","a","&nbsp;"
"brassica nigra (black mustard)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"brassica oleracea (cabbage)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"brassica rapa (turnip)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"briza media (quaking-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"bromopsis erecta (upright brome)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"bromopsis inermis (hungarian brome)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"bromopsis ramosa (hairy-brome)","1987-1999","native","yes","&nbsp;","&nbsp;"
"bromus arvensis (field brome)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"bromus hordeaceus (soft-brome)","1987-1999","native","yes","&nbsp;","&nbsp;"
"bromus hordeaceus x b. lepidus (lesser soft-brome)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"bromus secalinus (rye brome)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"bryonia dioica (white bryony)","1970-1986","native","yes","&nbsp;","&nbsp; 1987 &amp; 2008"
"buddleja davidii (butterfly-bush)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"bunias orientalis (warty-cabbage)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"bupleurum rotundifolium (thorow-wax)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"bupleurum subovatum (false thorow-wax)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"cakile maritima (sea rocket)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"calamagrostis epigejos (wood small-reed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"calendula officinalis (pot marigold)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"callitriche hamulata sens. lat. (intermediate       water-starwort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"callitriche hermaphroditica (autumnal water-starwort)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"callitriche obtusangula (blunt-fruited water-starwort)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"callitriche platycarpa (various-leaved water-starwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"callitriche stagnalis sens. lat. (common water-starwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"calluna vulgaris (heather)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"caltha palustris (marsh-marigold)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"calystegia sepium (hedge bindweed)","1987-1999","native","yes","&nbsp;","&nbsp;"
"calystegia silvatica (large bindweed)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"calystegia soldanella (sea bindweed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"camelina sativa (gold-of-pleasure)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"campanula glomerata (clustered bellflower)","pre-1970","native","extinct","extinct","&nbsp;"
"campanula latifolia (giant bellflower)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"campanula persicifolia (peach-leaved bellflower)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"campanula poscharskyana&nbsp; (trailing     bellflower)","recorded since 1999","alien","&nbsp;","&nbsp;","first record 2009"
"campanula rapunculoides (creeping bellflower)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"campanula rotundifolia (harebell)","1987-1999","native","yes","a","&nbsp;"
"capsella bursa-pastoris (shepherd's-purse)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"cardamine amara (large bitter-cress)","1987-1999","native","yes","a","&nbsp;"
"cardamine flexuosa (wavy bitter-cress)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"cardamine hirsuta (hairy bitter-cress)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"cardamine pratensis (cuckooflower)","1987-1999","native","&nbsp;     yes","a","&nbsp;"
"carduus crispus (welted thistle)","1987-1999","native","yes","&nbsp;","&nbsp;"
"carduus crispus x c. nutans","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carduus nutans (musk thistle)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","NULL"
"carduus tenuiflorus (slender thistle)","pre-1970","native","extinct","extinct","&nbsp;"
"carex acuta (slender tufted-sedge)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carex acutiformis (lesser pond-sedge)","1987-1999","native","yes","&nbsp;","&nbsp;"
"carex arenaria (sand sedge)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carex binervis (green-ribbed sedge)","1987-1999","native","yes","&nbsp;","&nbsp;"
"carex caryophyllea (spring-sedge)","1987-1999","native","yes","a","&nbsp;"
"carex curta (white sedge)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carex dioica (dioecious sedge)","pre-1970","native","extinct","extinct","&nbsp;"
"carex distans (distant sedge)","pre-1970","native","extinct","extinct","&nbsp;"
"carex disticha (brown sedge)","1987-1999","native","yes","&nbsp;","&nbsp;"
"carex echinata (star sedge)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carex flacca (glaucous sedge)","1987-1999","native","yes","a","&nbsp;"
"carex hirta (hairy sedge)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"carex hostiana (tawny sedge)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"carex laevigata (smooth-stalked sedge)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;chopwell woods"
"carex lasiocarpa (slender sedge)","pre-1970","native","extinct","extinct","&nbsp;"
"carex maritima (curved sedge)","pre-1970","native","extinct","extinct","&nbsp;"
"carex muricata subsp. lamprocarpa (small-fruited       prickly-sedge)","pre-1970","native","extinct","extinct","&nbsp;"
"carex nigra (common sedge)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"carex otrubae (false fox-sedge)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"carex ovalis (oval sedge)","1987-1999","native","yes","a","&nbsp;"
"carex pallescens (pale sedge)","1987-1999","native","yes","&nbsp;","NULL"
"carex panicea (carnation sedge)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"carex paniculata (greater tussock-sedge)","1987-1999","native","yes","&nbsp;","&nbsp;"
"carex pendula (pendulous sedge)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"carex pilulifera (pill sedge)","1987-1999","native","&nbsp;","a","&nbsp;"
"carex pulicaris (flea sedge)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"carex remota (remote sedge)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"carex riparia (greater pond-sedge)","1987-1999","native","yes","&nbsp;","&nbsp;"
"carex rostrata (bottle sedge)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carex spicata (spiked sedge)","1970-1986","native","&nbsp;yes","&nbsp;","&nbsp;still at one site in 2003. 3 sites 2004"
"carex sylvatica (wood-sedge)","1987-1999","native","&nbsp;","a","&nbsp;"
"carex vesicaria (bladder-sedge)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carex viridula subsp. brachyrrhyncha","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"carex viridula subsp. oedocarpa","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carlina vulgaris (carline thistle)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"carpinus betulus (hornbeam)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"carthamus tinctorius (safflower)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"carum carvi (caraway)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"castanea sativa (sweet chestnut)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"catabrosa aquatica (whorl-grass)","pre-1970","native","extinct","extinct","&nbsp;"
"catapodium marinum (sea fern-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"catapodium rigidum (fern-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"cedrus atlantica (atlas cedar)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"cedrus deodara (deodar)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"cedrus libani (cedar-of-lebanon)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"centaurea calcitrapa (red star-thistle)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"centaurea cyanus (cornflower)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;last wild record - birtley fell 1942"
"centaurea diluta (lesser star-thistle)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;st. cuthbert's churchyard 1973"
"centaurea montana (perennial cornflower)","1970-1986","alien","&nbsp;yes","&nbsp;","&nbsp;"
"centaurea nigra (common knapweed)","1987-1999","native","&nbsp;     yes","a","NULL"
"centaurea scabiosa (greater knapweed)","1987-1999","native","yes","&nbsp;","&nbsp;"
"centaurium erythraea (common centaury)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"centranthus ruber (red valerian)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"cephalaria gigantea (giant scabious)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"cerastium arvense (field mouse-ear)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"cerastium diffusum (sea mouse-ear)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"cerastium fontanum (common mouse-ear)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"cerastium glomeratum (sticky mouse-ear)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"cerastium semidecandrum (little mouse-ear)","1987-1999","native","&nbsp;     yes","&nbsp;","&nbsp;"
"cerastium tomentosum (snow-in-summer)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"ceratocapnos claviculata (climbing corydalis)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"ceratochloa carinata (california brome)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"ceratophyllum demersum (rigid hornwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"ceterach officinarum (rustyback)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"chaenorhinum minus (small toadflax)","1970-1986","alien","&nbsp;yes","&nbsp;","&nbsp;"
"chaerophyllum temulum (rough chervil)","1987-1999","native","yes","&nbsp;","NULL"
"chamaecyparis lawsoniana (lawson's cypress)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"chamaemelum nobile (chamomile)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"chamerion angustifolium (rosebay willowherb)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"chelidonium majus (greater celandine)","1987-1999","alien","yes","a","&nbsp;"
"chenopodium album agg. (fat-hen)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"chenopodium bonus-henricus (good-king-henry)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"chenopodium ficifolium (fig-leaved goosefoot)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"chenopodium glaucum (oak-leaved goosefoot)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"chenopodium hybridum (maple-leaved goosefoot)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"chenopodium murale (nettle-leaved goosefoot)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;in sunniside front street area until at       least 1990"
"chenopodium rubrum (red goosefoot)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"chenopodium vulvaria (stinking goosefoot)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"chrysanthemum segetum (corn marigold)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"chrysosplenium alternifolium (alternate-leaved       golden-saxifrage)","1970-1986","native","yes","&nbsp;","&nbsp;"
"chrysosplenium oppositifolium (opposite-leaved       golden-saxifrage)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"cicerbita macrophylla (common blue-sow-thistle)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"cichorium intybus (chicory)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"circaea alpina x c. lutetiana (upland enchanter's-nightshade)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"circaea lutetiana (enchanter's-nightshade)","1987-1999","native","yes","&nbsp;","&nbsp;"
"cirsium arvense (creeping thistle)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"cirsium eriophorum (woolly thistle)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"cirsium heterophyllum (melancholy thistle)","1987-1999","native","NULL","&nbsp;","&nbsp;"
"cirsium palustre (marsh thistle)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"cirsium vulgare (spear thistle)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"claytonia perfoliata (springbeauty)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"claytonia sibirica (pink purslane)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"clematis vitalba (traveller's-joy)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"clinopodium acinos (basil thyme)","pre-1970","native","extinct","extinct","&nbsp;"
"clinopodium vulgare (wild basil)","1987-1999","native","yes","&nbsp;","&nbsp;"
"cochlearia anglica (english scurvygrass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"cochlearia danica (danish scurvygrass)","recorded since 1999","native","&nbsp;&nbsp;     yes","a","now quite common by salted roads"
"cochlearia officinalis agg. (common scurvygrass)","1987-1999","native","&nbsp;&nbsp;&nbsp;yes","a","&nbsp;"
"cochlearia pyrenaica (pyrenean scurvygrass)","1987-1999","native","yes","&nbsp;","&nbsp;"
"coeloglossum viride (frog orchid)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"coincya monensis subsp. cheiranthos (wallflower       cabbage)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"colutea arborescens (bladder-senna)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"conium maculatum (hemlock)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
