"family","preferred_species_name","common name","wra score","wra designation"
"arecaceae","syagrus romanzoffiana","queen palm","-2","l"
"arecaceae","thrinax parviflora","thatch palm","-6","l"
"arecaceae","veitchia joannis","joannis palm","-1","l"
"arecaceae","veitchia merrillii","manila  palm","-2","l"
"arecaceae","veitchia montgomeryana","montgomery palm","-1","l"
"arecaceae","veitchia winin","winin palm","-4","l"
"arecaceae","washingtonia filifera","california fan palm","11.5","h (hpwra)"
"arecaceae","washingtonia robusta","mexican fan palm","15","h (hpwra)"
"arecaceae","wodyetia bifurcata","foxtail palm","0","l"
"aristolochiaceae","aristolochia ringens","gaping dutchman's pipe","4","evaluate"
"asclepiadaceae","asclepias physocarpa","milkweed","8","h (hpwra)"
"asclepiadaceae","calotropis gigantea","crownplant","15","h (hpwra)"
"asclepiadaceae","calotropis procera","small crownflower","15","h (hpwra)"
"asclepiadaceae","cryptostegia madagascariensis","madagascar rubber vine","13","h (hpwra)"
"asteraceae","achillea millefolium","common yarrow","19","h (hpwra)"
"asteraceae","acmella grandiflora","acmella","0","l"
"asteraceae","ambrosia psilostachya","western ragweed","15","h (hpwra)"
"asteraceae","bidens alba","beggar's-tick","12","h (hpwra)"
"asteraceae","bidens pilosa","spanish needle","23","h (hpwra)"
"asteraceae","centaurea melitensis","yellow star thistle","18","h (hpwra)"
"asteraceae","chamelaucium uncinatum","geraldton wax","-2.5","l"
"asteraceae","chrysanthemum cinerariifolium","pyrethrum","3","evaluate"
"asteraceae","cirsium vulgare","bull thistle","18.5","h (hpwra)"
"asteraceae","delairea odorata","german ivy","14","h (hawai�i)"
"asteraceae","erigeron karvinskianus","mexican daisy","11","h (hawai�i)"
"asteraceae","gazania rigens var. leucolaena","trailing gazania","9","h (hpwra)"
"asteraceae","helianthus annuus","sunflower","10.5","h (hpwra)"
"asteraceae","montanoa hibiscifolia","treedaisy","13","h (hpwra)"
"asteraceae","osteospermum fruticosum","trailing african daisy","3","l"
"asteraceae","pseudogynoxys chenopodioides","mexican flame vine","7","h (hpwra)"
"asteraceae","senecio cineraria","dusty miller","2","l"
"asteraceae","senecio madagascariensis","fireweed","23","h (hawai�i)"
"asteraceae","senecio mandraliscae","blue finger","-3","l"
"asteraceae","silybum marianum","milk thistle","17.5","h (hpwra)"
"asteraceae","sphagneticola trilobata","wedelia","13","h (hpwra)"
"asteraceae","tagetes minuta","aztec marigold","20","h (hpwra)"
"asteraceae","verbesina encelioides","golden crown-beard","19","h (hpwra)"
"asteraceae","wollastonia biflora","wedelia","0","l"
"balsaminaceae","impatiens balsamina","balsam impatens","5","evaluate"
"balsaminaceae","impatiens wallerana","busy lizzy","6","l"
"basellaceae","basella alba","malabar spinach","8","h (hpwra)"
"betulaceae","alnus nepalensis","nepalese alder","-2","l"
"bignoniaceae","catalpa longissima","jamaica oak","2","l"
"bignoniaceae","crescentia cujete","calabash tree","-8","l"
"bignoniaceae","dolichandrone spathacea","mangrove trumpet-tree","-5","l"
"bignoniaceae","godmania aesculifolia","cachillo","-3","l"
"bignoniaceae","haplophragma adenophyllum","karenwood","0","l (hpwra)"
"bignoniaceae","jacaranda mimosifolia","jacaranda","1","l"
"bignoniaceae","kigelia africana","sausage tree","0","l"
"bignoniaceae","macfadyena unguis-cati","cat's claw vine","17","h (hpwra)"
"bignoniaceae","mansoa alliaceum","garlic vine","0","l"
"bignoniaceae","mansoa hymenaea","membranous garlic vine","0","l"
"bignoniaceae","podranea ricasoliana","pink trumpet vine","3","evaluate"
"bignoniaceae","pyrostegia venusta","flame vine","7","h (hpwra)"
"bignoniaceae","saritaea magnifica","glowvine","1","evaluate"
"bignoniaceae","spathodea campanulata","african tulip tree","14","h (hpwra)"
"bignoniaceae","tabebuia aurea","silver trumpet tree","3","l"
"bignoniaceae","tabebuia berteroi","hispaniolan rosy trumpet tree","-4","l"
"bignoniaceae","tabebuia donnell-smithii","gold tree","-4","l"
"bignoniaceae","tabebuia heterophylla","pink trumpet-tree","1","l"
"bignoniaceae","tabebuia impetiginosa","mauve tabebuia","-2","l"
"bignoniaceae","tabebuia ochracea","golden trumpet tree","-3","l"
"bignoniaceae","tabebuia rosea","rosie trumpet tree","3","evaluate"
"bignoniaceae","tecoma alata","cahuato","-3","l"
"bignoniaceae","tecoma capensis","cape honeysuckle","6","l (hawai�i)"
"bignoniaceae","tecoma stans","yellow bells","8","h (hpwra)"
"bignoniaceae","thunbergia erecta","bush thunbergia","-2","l"
"bishofiaceae","bischofia javanica","bishopwood","7","h (hpwra)"
"bixaceae","bixa orellana","lipsticktree","1","l"
"bixaceae","cochlospermum vitifolium","buttercup tree","-4","l"
"bombacaceae","adansonia digitata","baobab tree","-6","l"
"bombacaceae","ceiba pentandra","kapok tree","2","l"
"bombacaceae","chorisia speciosa","floss-silk tree","-7","l"
"bombacaceae","pachira aquatica","malabar chestnut","-6","l"
"bombacaceae","pseudobombax ellipticum","shavingbrush tree","-2","l"
"boraginaceae","carmona retusa","fukien tea","4","evaluate"
"boraginaceae","cordia lutea","yellow geiger","-6","l"
"boraginaceae","cordia sebestena","geiger tree","-1","l"
"boraginaceae","cordia subcordata","kou","-3","l"
"boraginaceae","tournefortia argentea","tree heliotrope","-1","l"
"brassicaceae","brassica napus","turnip","16","h (hpwra)"
"brassicaceae","lepidium africanum","african pepperwort","10","h (hpwra)"
"brassicaceae","lepidium virginicum","virginia pepperweed","17","h (hpwra)"
"bromeliaceae","aechmea blanchetiana","orange blanchetiana","0","l"
"bromeliaceae","aechmea fasciata","urn plant","2","l"
"bromeliaceae","guzmania lindenii","guzmania","7","h (hpwra)"
"bromeliaceae","tillandsia cyanea","pink quill","-5","l"
"bromeliaceae","tillandsia usneoides","spanish moss","9","h (hpwra)"
"buddlejaceae","buddleja asiatica","asian butterfly bush","9","h (hpwra)"
"buddlejaceae","buddleja davidii","orange eye butterflybush","13","h (hpwra)"
"buddlejaceae","buddleja madagascariensis","smokebush","7","h (hawai�i)"
"cactaceae","cleistocactus baumannii","firecracker cactus","-4","l"
"cactaceae","pereskia aculeata","barbados gooseberry","13","h (hpwra)"
"cactaceae","pereskia grandifolia","rose cactus","0","l"
"cactaceae","pereskia lychnidiflora","arbol del matrimonio","-1","l"
"cannabaceae","cannabis sativa","marijuana","8.5","h (hpwra)"
"cannaceae","canna indica","african arrowroot","17","h (hpwra)"
"capparaceae","crateva religiosa","spider tree","0","l"
"caprifoliaceae","abelia x grandiflora","glossy abelia","-13","l"
"caprifoliaceae","lonicera japonica","japanese honeysuckle","12","h (hpwra)"
"caprifoliaceae","lonicera xheckrottii","goldflame honeysuckle","-5","l"
"caprifoliaceae","sambucus mexicana","mexican elderberry","9","h (hpwra)"
"caricaceae","carica papaya","papaya","2","l"
"casuarinaceae","allocasuarina verticillata","drooping she oak","-5","l"
"casuarinaceae","casuarina cunninghamiana","cunninghamia beefwood","12","h (hpwra)"
"casuarinaceae","casuarina equisetifolia","iron wood","21","h (hpwra) [revised 07/03/08]"
"casuarinaceae","casuarina glauca","gray sheoak","20","h (hpwra)"
"casuarinaceae","gymnostoma papuanum","gymnostoma","0","l"
"cecropiaceae","cecropia obtusifolia","trumpet-tree","10","h (hpwra)"
"cecropiaceae","cecropia peltata","trumpet tree","9","h (hpwra)"
"celastraceae","elaeodendron orientale","false olive","-1","l"
"chenopodiaceae","chenopodium carinatum","tasmanian goosefoot","9","h (hpwra)"
"chenopodiaceae","salicornia virginica","virginia pickleweed","4","l"
"chenopodiaceae","salsola kali","tumbleweed","18.5","h (hpwra)"
"clusiaceae","calophyllum inophyllum","kamani","6","evaluate"
"clusiaceae","clusia rosea","autograph tree","5","evaluate"
"clusiaceae","hypericum canariense","canary island st. johnswort","9","h (hpwra)"
"clusiaceae","hypericum perforatum","common st. johnswort","12","h (hpwra)"
"combretaceae","bucida buceras","black olive","-3","l"
"combretaceae","bucida molinetii","spiny black olive","-3","l"
"combretaceae","conocarpus erectus","button mangrove","4","l"
"combretaceae","terminalia catappa","tropical almond","4","l"
"combretaceae","terminalia myriocarpa","east indian almond","-2","l"
"commelinaceae","dichorisandra thyrsiflora","blue ginger","1","l"
"commelinaceae","tradescantia spathacea","boat-lily","11","h (hpwra)"
"convolvulaceae","argyreia nervosa","hawaiian baby woodrose","1","l"
"convolvulaceae","evolvulus glomeratus","blue daze","0","l"
"convolvulaceae","ipomoea horsfalliae","kuhio vine","1","l"
"convolvulaceae","ipomoea quamoclit","cypress vine","14","h (hpwra)"
"convolvulaceae","merremia tuberosa","wood rose","12","h (hpwra)"
"convolvulaceae","poranopsis paniculata","bridal bouquet","-5","l"
"costaceae","costus dubius","costus","8","h (hpwra)"
"costaceae","costus woodsonii","indian-head ginger","11","h (hpwra)"
"crassulaceae","bryophyllum tubiflorum","chandelier plant","9","h (hpwra)"
"crassulaceae","crassula ovata","jade plant","-4","l"
"crassulaceae","kalanchoe beharensis","velvet leaf","4","evaluate"
"crassulaceae","kalanchoe tomentosa","panda plant","4","l"
"cucurbitaceae","coccinia grandis","ivy gourd","21","h (hawai�i)"
"cucurbitaceae","lagenaria siceraria","bottle gourd","0","l"
"cupressaceae","cupressus lusitanica","mexican cypress","6","l"
"cupressaceae","juniperus chinensis","chinese juniper","-3","l"
"cupressaceae","platycladus orientalis","oriental arborvitae","-6","l"
"cupressaceae","sequoia sempervirens","california redwood","-4","l"
"cyatheaceae","cyathea cooperi","australian tree fern","8","h (hawai�i)"
"cycadaceae","cycas revoluta","king sago","-2","l"
"cyperaceae","carex muskingumensis","muskingum sedge","8","h (hpwra)"
"cyperaceae","cyperus involucratus","umbrella sedge","17","h (hpwra)"
"dasypogonaceae","lomandra longifolia 'tanika'","fine leaf lomandra","1","l"
"davalliaceae","davallia fejeensis","lacy hare�s-foot fern","6","l"
"didiereaceae","alluaudia procera","madagascar ocotillo","-7","l"
"dilleniaceae","dillenia suffruticosa","shrubby dillenia","3","evaluate"
"elaeocarpaceae","elaeocarpus angustifolius","blue marble tree","4","evaluate"
"elaeocarpaceae","elaeocarpus hainanensis","hainan elaeocarpus","1","evaluate"
"eleagnaceae","elaeagnus umbellata","autumn olive","13","h (hpwra)"
"ericaceae","erica lusitanica","spanish heath","20.5","h (hpwra)"
"ericaceae","rhododendron indicum","evergreen azalea","4","l (hawai�i)"
"euphorbiaceae","acalypha godseffiana","acalypha","-7","l"
"euphorbiaceae","acalypha hispida","chenille plant","2","l"
"euphorbiaceae","acalypha wilkesiana","beefsteak plant","-2","l"
"euphorbiaceae","aleurites moluccana","kukui","12","h (hpwra)"
"euphorbiaceae","breynia disticha","snow bush","-5","l"
"euphorbiaceae","chamaesyce albomarginata","rattle snake weed","3","l"
"euphorbiaceae","codiaeum variegatum","croton","-4","l"
"euphorbiaceae","euphorbia amygdaloides variety �efanthia�","wood spurge","12","h (hpwra)"
"euphorbiaceae","euphorbia cotinifolia","red spurge","-2","l"
"euphorbiaceae","euphorbia cyathophora","fire-on-the-mountain","7","h (hpwra)"
"euphorbiaceae","euphorbia lathyris","petroleum plant","9","h (hpwra)"
"euphorbiaceae","euphorbia leucocephala","pascuita","-2","l"
"euphorbiaceae","euphorbia milii","crown of thorns","1","l"
"euphorbiaceae","euphorbia pulcherrima","poinsettia","-7","l"
"euphorbiaceae","excoecaria indica","mock willow","1","evaluate"
"euphorbiaceae","jatropha curcas","physicnut","17","h (hpwra)"
"euphorbiaceae","jatropha gossypiifolia","belly-ache bush","18","h (hpwra)"
"euphorbiaceae","jatropha integerrima","peregrina","0","l"
"euphorbiaceae","jatropha podagrica","gout stalk","2","l"
"euphorbiaceae","macaranga mappa","bingabing","11","h (hawai'i)"
"euphorbiaceae","manihot esculenta","cassava","3","l"
"euphorbiaceae","phyllanthus acidus","gooseberry-tree","4","l"
"euphorbiaceae","ricinus communis","castorbean","21","h (hpwra)"
"euphorbiaceae","triadica sebifera","chinese tallow","14","h (hpwra)"
"fabaceae","acacia auriculiformis","darwin black wattle","13","h (hpwra)"
"fabaceae","acacia confusa","formosan koa","10","h (hawai�i)"
"fabaceae","acacia crassicarpa","northern wattle","7","h (hpwra)"
"fabaceae","acacia farnesiana","sweet acacia","14","h (hpwra)"
"fabaceae","acacia holosericea","candelabra wattle","4","evaluate"
"fabaceae","acacia longifolia","sidney goldern wattle","10","h (hpwra)"
"fabaceae","acacia mangium","mangium","8","h (hpwra)"
"fabaceae","acacia mearnsii","australian acacia","15","h (hawai�i)"
"fabaceae","acacia melanoxylon","australian blackwood","12","h (hpwra)"
"fabaceae","acacia nilotica","gum arabic tree","14","h (hpwra)"
"fabaceae","acacia parramattensis","parrmatta green wattle","9","h (hpwra)"
"fabaceae","acacia stenophylla","shoestring acacia","2","l"
"fabaceae","adenanthera pavonina","peacock tree","7","h (hpwra)"
"fabaceae","aeschynomene americana","american joint vetch","12","h (hpwra)"
"fabaceae","albizia chinensis","chinese albizia","8","h (hpwra)"
"fabaceae","albizia guachapele","chime tree","-4","l"
"fabaceae","albizia lebbeck","woman's-tongue tree","7","h (hpwra)"
"fabaceae","andira inermis","cabbage tree","-3","l"
"fabaceae","arachis glabrata","perennial peanut","-1","l"
"fabaceae","arachis pintoi","perenial peanut","-1","l"
"fabaceae","bauhinia binata","unknown","-1","l"
"fabaceae","bauhinia hookeri","white bauhinia","-4","l"
"fabaceae","bauhinia monandra","pink orchid tree","7","h (hpwra)"
"fabaceae","bauhinia purpurea","purple bauhinia","7","h (hpwra)"
"fabaceae","bauhinia tomentosa","yellow tree bauhinia","-1","l"
"fabaceae","bauhinia variegata","mountain ebony","9","l (hawai�i)"
"fabaceae","bauhinia x blakeana","hong kong orchid tree","-7","l"
"fabaceae","bolusanthus speciosus","wisteria tree","-6","l"
"fabaceae","caesalpinia bonduc","nickerbean","12","h (hpwra)"
"fabaceae","caesalpinia decapetala","cat's claw","20","h (hawai�i)"
"fabaceae","caesalpinia ferrea","brazilian ironwood","-3","l"
"fabaceae","caesalpinia major","yellow nicker","10","h (hpwra)"
"fabaceae","caesalpinia pulcherrima","dwarf poinciana","5","l"
"fabaceae","cajanus cajan","pigeon pea","0","l"
"fabaceae","calliandra calothyrsus","calliandra","1","l"
"fabaceae","calliandra haematocephala","red powderpuff","2","l"
"fabaceae","calliandra surinamensis","pink powderpuff","-4","l"
"fabaceae","calopogonium mucunoides","calapo","6","l"
"fabaceae","cassia bakeriana","pink shower tree","-2","l"
"fabaceae","cassia fistula","golden shower tree","3","l"
"fabaceae","cassia grandis","pink shower tree","-5","l"
"fabaceae","cassia javanica","pink shower tree","-1","l"
"fabaceae","cassia xnealiae","rainbow shower tree","-8","l"
"fabaceae","centrosema pubescens","centro","11","h (hpwra)"
"fabaceae","ceratonia siliqua","carob tree","0","l"
"fabaceae","chamaecrista nictitans","partridge pea","0","l"
"fabaceae","clitoria ternatea","butterfly pea","9","h (hpwra)"
"fabaceae","colvillea racemosa","colville's glory","-8","l"
"fabaceae","copaifera langsdorffii","diesel tree","4","evaluate"
"fabaceae","crotalaria juncea","indian hemp","-3","l"
"fabaceae","cyamopsis tetragonoloba","cluster bean","-11","l"
"fabaceae","dalbergia latifolia","east indian rosewood","5","evaluate"
"fabaceae","dalbergia retusa","nicaragua rosewood","0","l"
"fabaceae","dalbergia sissoo","indian rosewood","13","h (hpwra)"
"fabaceae","delonix regia","royal poinciana","-1","l"
"fabaceae","derris elliptica","tubaroot","7","h (hpwra)"
"fabaceae","desmanthus virgatus","slender mimosa","12","h (hpwra)"
"fabaceae","desmodium nicaraguense","shrubby desmodium","-2","l"
"fabaceae","desmodium umbellatum","horse bush","5","l"
"fabaceae","dichrostachys cinerea","sickle bush","16","h (hpwra)"
"fabaceae","diphysa americana","guachipel�n","0","l"
"fabaceae","dolichos lablab","lablab bean","-1","l"
"fabaceae","enterolobium cyclocarpum","ear tree","3","l"
"fabaceae","erythrina abyssinica","erythrina","5","l"
"fabaceae","erythrina corallodendron","coral bean tree","6","evaluate"
"fabaceae","erythrina crista-galli","cockspur coral tree","6","l"
"fabaceae","erythrina sigmoidea","none","6","evaluate"
"fabaceae","erythrina subumbrans","december tree","5","evaluate"
"fabaceae","erythrina variegata","coral tree","-2","l"
"fabaceae","falcataria moluccana","albizia","8","h (hpwra)"
"fabaceae","flemingia macrophylla","flemingia","4","l"
"fabaceae","flemingia strobilifera","wild hops","3","evaluate"
"fabaceae","gliricidia sepium","mother of cocoa","-3","l"
"fabaceae","griffonia simplicifolia","griffonia","0","l"
"fabaceae","haematoxylum campechianum","logwood","8","h (hpwra)[revised]"
"fabaceae","hymenea courbaril","west indian locust","0","l"
"fabaceae","indigofera suffruticosa","wild indigo","11","h (hpwra)"
"fabaceae","indigofera teysmannii","neel","0","l"
"fabaceae","inga edulis","ice cream bean","2","evaluate"
"fabaceae","inocarpus fagifer","polynesian chestnut","-3","l"
"fabaceae","intsia bijuga","kwila","-6","l"
"fabaceae","lespedeza cuneata","chinese lespedeza","17","h (hpwra)"
"fabaceae","leucaena leucocephala","leucaena","15","h (hpwra)"
"fabaceae","lotus berthelotti","parrot's beak","-1","l"
"fabaceae","lupinus albifrons","silver lupine","5.5","evaluate"
"fabaceae","lysiloma watsonii","lysiloma","-5","l"
"fabaceae","macroptilium atropurpureum","siratro","7","h (hpwra)"
"fabaceae","macroptilium bracteatum","burgundy bean","-1","l"
"fabaceae","macrotyloma axillare","perennial horsegram","10","h (hpwra)"
"fabaceae","mimosa diplotricha","giant sensitive plant","24","h (hpwra)"
"fabaceae","mimosa pigra","catclaw mimosa","25","h (hpwra)"
"fabaceae","mimosa tenuiflora","jurema","7","h (hpwra)"
"fabaceae","mucuna pruriens","cowitch","7","h (hpwra)"
"fabaceae","neonotonia wightii","perennial soybean","7","h (hpwra)"
"fabaceae","parkia speciosa","petai","-3","l"
"fabaceae","parkinsonia aculeata","jerusalum thorn","20","h (hpwra)"
"fabaceae","peltophorum pterocarpum","yellow flame","-4","l"
"fabaceae","pithecellobium dulce","madras thorn","14","h (hpwra)"
"fabaceae","pongamia pinnata","indian beech","9","h (hpwra)"
"fabaceae","prosopis juliflora","thorny kiawe","19","h (hpwra)"
"fabaceae","pterocarpus dalbergioides","andaman redwood","-3","l"
"fabaceae","pterocarpus indicus","burmese rosewood","4","l (hawai�i)"
"fabaceae","pueraria montana var. lobata","kudzu vine","24","h (hpwra)"
"fabaceae","pueraria phaseoloides","tropical kudzu","17","h (hpwra)"
"fabaceae","samanea saman","monkeypod tree","4","l"
"fabaceae","saraca indica","ashla tree","-7","l"
"fabaceae","schotia brachypetala","elephant hedge bean tree","0","l"
"fabaceae","senna alata","candle bush","10","h (hpwra)"
"fabaceae","senna bicapsularis","christmasbush","8","h (hpwra)"
"fabaceae","senna siamea","siamese cassia","5","l"
"fabaceae","senna spectabilis","spectacular cassia","11","h (hpwra)"
"fabaceae","senna surattensis","kolomona","0","evaluate (revised 04/27/04; field reports from hawai�i indicate it may be a serious pest; hepec documentation in progress)"
"fabaceae","serianthes kanehirae","ukall","-5","l"
"fabaceae","sesbania grandiflora","agati","2","l"
"fabaceae","sesbania punicea","rattlebox","9.5","h (hpwra)"
"fabaceae","sesbania sesban","egyptian riverhemp","11","h (hpwra)"
"fabaceae","sophora tomentosa","yellow necklacepod","-3","l"
"fabaceae","spartium junceum","spanish broom","12","h (hpwra)"
"fabaceae","strongylodon macrobotrys","jade vine","-9","l"
"fabaceae","stylosanthes guianensis","stylo","11","h (hpwra)"
