"animal","title","class","phylum"
"dolphin","water beds: sleeping in the ocean","mammal-marine","chordata-vertebrata"
"dolphin","day in the salt marsh a ","mammal-marine","chordata-vertebrata"
"dolphin    or mahi mahi","if a dolphin were a fish","fish-bony","chordata-vertebrata"
"eagle","happy birthday to whooo?","bird","chordata-vertebrata"
"elephant","abc safari","mammal-land","chordata-vertebrata"
"elephant","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"elephant","animals are sleeping","mammal-land","chordata-vertebrata"
"elephant    seal","water beds: sleeping in the ocean","mammal-marine","chordata-vertebrata"
"elephants","twas the day before zoo day","mammal-land","chordata-vertebrata"
"emerald    tree boa","rainforest grew all around the ","reptile","chordata-vertebrata"
"fiddler    crab","day in the salt marsh a ","crustacean","arthropod"
"firefly","tudley    didn't know","insect","arthropod"
"flamingo","happy birthday to whooo?","bird","chordata-vertebrata"
"flamingo","animals are sleeping","bird","chordata-vertebrata"
"flamingos","twas the day before zoo day","bird","chordata-vertebrata"
"flounder","day in the salt marsh a ","fish-bony","chordata-vertebrata"
"flounder","octavia and her purple ink cloud","fish-bony","chordata-vertebrata"
"fox","in my backyard","mammal-land","chordata-vertebrata"
"fox","pieces    of another world","mammal-land","chordata-vertebrata"
"fox","blackberry banquet","",""
"frog","abc safari","amphibian","chordata-vertebrata"
"geckos","twas the day before zoo day","reptile","chordata-vertebrata"
"giraffe","giraffe who was afraid of    heights","mammal-land","chordata-vertebrata"
"giraffe","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"giraffe","animals are sleeping","mammal-land","chordata-vertebrata"
"giraffes","twas the day before zoo day","mammal-land","chordata-vertebrata"
"goldfish","water beds: sleeping in the ocean","fish-bony","chordata-vertebrata"
"gorilla","abc safari","mammal-land","chordata-vertebrata"
"gorillas","twas the day before zoo day","mammal-land","chordata-vertebrata"
"grasshopper","in my backyard","insect","arthropod"
"great    blue heron","day in the salt marsh a ","bird","chordata-vertebrata"
"great    blue heron","henry the impatient heron ","bird","chordata-vertebrata"
"great    horned owl","baby owl's rescue","bird","chordata-vertebrata"
"great    horned owl","happy birthday to whooo?","bird","chordata-vertebrata"
"green    sea turtle","octavia and her purple ink cloud","reptile","chordata-vertebrata"
"groundhog","animals are sleeping","mammal-land","chordata-vertebrata"
"harbor    seal","ocean seasons","mammal-marine","chordata-vertebrata"
"harbor    seal","water beds","mammal-marine","chordata-vertebrata"
"hippopotamus","abc safari","mammal-land","chordata-vertebrata"
"hippopotamus","giraffe who was afraid","mammal-land","chordata-vertebrata"
"hippopotamus","river beds","",""
"horseshoe    crab ","day in the salt marsh ","merostomata","arthropod"
"human child","animals are sleeping","mammal-land","chordata-vertebrata"
"hummingbird","tudley didn't know","bird","chordata-vertebrata"
"humpback    whale","ocean seasons","mammal-marine","chordata-vertebrata"
"humpback    whale","water beds","mammal-marine","chordata-vertebrata"
"iguana","abc safari","reptile","chordata-vertebrata"
"indus river dolphin","river beds","",""
"jack    knife clam","turtle summer","bi-valve","mollusk"
"jackrabbit","abc safari","mammal-land","chordata-vertebrata"
"jackrabbit","burro's tortillas","mammal-land","chordata-vertebrata"
"jaguar","rainforest grew all around","mammal-land","chordata-vertebrata"
"kangaroo","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"katydid","tudley    didn't know","insect","arthropod"
"killdeer","the best nest","bird","chordata-vertebrata"
"knobbed    whelk","turtle summer","uni-valve","mollusk"
"koala","abc safari","mammal-land","chordata-vertebrata"
"koala","animals are sleeping","mammal-land","chordata-vertebrata"
"kookaburra ","kersplatypus","mammal-land","chordata-vertebrata"
"leafcutter    ant","rainforest grew all around","insect","arthropod"
"leopard","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"leopard    frog","tudley    didn't know","amphibian","chordata-vertebrata"
"lion","abc safari","mammal-land","chordata-vertebrata"
"lion","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"lion","animals are sleeping","mammal-land","chordata-vertebrata"
"lions","twas the day before zoo day","mammal-land","chordata-vertebrata"
"lizard","animals are sleeping","reptile","chordata-vertebrata"
"llamas","twas the day before zoo day","mammal-land","chordata-vertebrata"
"loggerhead    sea turtle","carolina's story","reptile","chordata-vertebrata"
"loggerhead    sea turtle","if a dolphin were a fish","reptile","chordata-vertebrata"
"loggerhead    sea turtle","turtle summer","reptile","chordata-vertebrata"
"loon","loon chase","bird","chordata-vertebrata"
"magpie","the best nest","bird","chordata-vertebrata"
"magpie","moose and magpie","bird","chordata-vertebrata"
"manatee","abc safari","mammal-marine","chordata-vertebrata"
"manatee","if a dolphin were a fish","mammal-marine","chordata-vertebrata"
"manatee","water beds","mammal-marine","chordata-vertebrata"
"marsh    rabbits","day in the salt marsh a ","mammal-land","chordata-vertebrata"
"meadowlark","the best nest","bird","chordata-vertebrata"
"meerkats","twas the day before zoo day","mammal-land","chordata-vertebrata"
"mink","river beds","",""
"mole","in my backyard","mammal-land","chordata-vertebrata"
"monkeys","twas the day before zoo day","mammal-land","chordata-vertebrata"
"moon    snail","turtle summer","uni-valve","mollusk"
"moose","moose and magpie","mammal-land","chordata-vertebrata"
"mourning dove","the best nest","bird","chordata-vertebrata"
"mouse","blackberry banquet","",""
"muskrat","whistling wings","",""
"mussel    snail","turtle summer","bi-valve","mollusk"
"nanday    conure parrot","if    you were a parrot","bird","chordata-vertebrata"
"narwhal","in arctic waters","mammal-marine","chordata-vertebrata"
"newt","abc safari","amphibian","chordata-vertebrata"
"northern    fur seal","water beds","mammal-marine","chordata-vertebrata"
"northern oriole","the best nest","bird","chordata-vertebrata"
"octopus","if a dolphin were a fish","cehpalopod","mollusk"
"octopus","octavia and her purple ink cloud","cehpalopod","mollusk"
"orca    whale","ocean seasons","mammal-marine","chordata-vertebrata"
"orca    whale","water beds","mammal-marine","chordata-vertebrata"
"owl","abc safari","bird","chordata-vertebrata"
"owl","little skink's tail ","bird","chordata-vertebrata"
"owl","animals are sleeping","bird","chordata-vertebrata"
"owl -    barred","pieces    of another world","bird","chordata-vertebrata"
"owl    butterfly","rainforest grew all around","insect","arthropod"
"oyster","day in the salt marsh a ","bi-valve","mollusk"
"pack    rat","sort it out!","",""
"painted    turtle","tudley    didn't know","reptile","chordata-vertebrata"
"parrotfish","octavia and her purple ink cloud","fish-bony","chordata-vertebrata"
"pelican","if a dolphin were a fish","bird","chordata-vertebrata"
"pelican","turtle summer","bird","chordata-vertebrata"
"penguin","abc safari","bird","chordata-vertebrata"
"periwinkle    snail","day in the salt marsh a ","uni-valve","mollusk"
"platypus","kersplatypus","mammal-land","chordata-vertebrata"
"platypus","river beds","",""
"poison    dart frog","rainforest grew all around","amphibian","chordata-vertebrata"
"polar    bear","in arctic waters","mammal-marine","chordata-vertebrata"
"polar bear","animals are sleeping","mammal-marine","chordata-vertebrata"
"porcupine","in my backyard","mammal-land","chordata-vertebrata"
"porcupine","little skink's tail ","mammal-land","chordata-vertebrata"
"porcupine    fish","octavia and her purple ink cloud","fish-bony","chordata-vertebrata"
"puffin","ocean seasons","bird","chordata-vertebrata"
"quail","abc safari","bird","chordata-vertebrata"
"rabbit","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"rabbit","in my backyard","mammal-land","chordata-vertebrata"
"raccoon","day in the salt marsh a ","mammal-land","chordata-vertebrata"
"raccoon","in my backyard","mammal-land","chordata-vertebrata"
"raccoon","pieces    of another world","mammal-land","chordata-vertebrata"
"raccoon","whistling wings","",""
"rhinoceros","abc safari","mammal-land","chordata-vertebrata"
"rhinos","twas the day before zoo day","mammal-land","chordata-vertebrata"
"ring billed gull","turtle summer","bird","chordata-vertebrata"
"river    otter","day in the salt marsh a ","mammal-marine","chordata-vertebrata"
"river otter","river beds","",""
"robin","the best nest","bird","chordata-vertebrata"
"royal    tern","turtle summer","bird","chordata-vertebrata"
"salmon","ocean seasons","fish-bony","chordata-vertebrata"
"sand    dollar","turtle summer","echinoidea","echinoderms"
"sanderlings","turtle summer","bird","chordata-vertebrata"
"scarlet    macaw","if    you were a parrot","bird","chordata-vertebrata"
"screech-owl","the best nest","bird","chordata-vertebrata"
"sea    gull","day in the salt marsh a ","bird","chordata-vertebrata"
"sea    lion","abc safari","mammal-marine","chordata-vertebrata"
"sea    otter","ocean seasons","mammal-marine","chordata-vertebrata"
"sea    otter","water beds","mammal-marine","chordata-vertebrata"
"sea    star","turtle summer","asteroidea","echinoderms"
"seahorse","happy birthday to whooo?","fish-bony","chordata-vertebrata"
"seahorse","octavia and her purple ink cloud","fish-bony","chordata-vertebrata"
"seal","in arctic waters","mammal-marine","chordata-vertebrata"
"seal","animals are sleeping","mammal-marine","chordata-vertebrata"
"shark","if a dolphin were a fish","fish-cartilaginous","chordata-vertebrata"
"shark","octavia and her purple ink cloud","fish-cartilaginous","chordata-vertebrata"
"shrimp","day in the salt marsh a ","crustacean","arthropod"
"shrimp","ocean seasons","crustacean","arthropod"
"skink","little skink's tail ","reptile","chordata-vertebrata"
"skunk","happy birthday to whooo?","mammal-land","chordata-vertebrata"
"skunk","in my backyard","mammal-land","chordata-vertebrata"
"sloth","rainforest grew all around the ","mammal-land","chordata-vertebrata"
"sloth","animals are sleeping","mammal-land","chordata-vertebrata"
"snake","in my backyard","reptile","chordata-vertebrata"
"snakes","twas the day before zoo day","reptile","chordata-vertebrata"
"squirrel","in my backyard","mammal-land","chordata-vertebrata"
"squirrel","little skink's tail ","mammal-land","chordata-vertebrata"
"squirrel","blackberry banquet","",""
"starling","the best nest","bird","chordata-vertebrata"
"sting    ray","if a dolphin were a fish","fish-cartilaginous",""
"terrapin","turtles in my sandbox","reptile","chordata-vertebrata"
"tiger","abc safari","mammal-land","chordata-vertebrata"
"toucan","rainforest grew all around","bird","chordata-vertebrata"
"toucans","twas the day before zoo day","bird","chordata-vertebrata"
"tundra swan","whistling wings","",""
"turtles","twas the day before zoo day","reptile","chordata-vertebrata"
"turtles","where should turtle be?","reptile","chordata-vertebrata"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"urchin","ocean seasons","echinoidea","echinoderms"
"urial","abc safari","mammal-land","chordata-vertebrata"
"vervet    or green monkey","giraffe who was afraid of heights ","mammal-land","chordata-vertebrata"
"vulture","abc safari","bird","chordata-vertebrata"
"wallaby ","kersplatypus","mammal-land","chordata-vertebrata"
"walrus","in arctic waters","mammal-marine","chordata-vertebrata"
"walrus","water beds","mammal-marine","chordata-vertebrata"
"water vole","river beds","",""
"whip-poor-will","the best nest","bird","chordata-vertebrata"
"white-tailed    deer","little skink's tail ","mammal-land","chordata-vertebrata"
"wolf","abc safari","mammal-land","chordata-vertebrata"
"wolf","one wolf howls","mammal-land","chordata-vertebrata"
"x-ray    fish","abc safari","fish-bony","chordata-vertebrata"
"yak","abc safari","mammal-land","chordata-vertebrata"
"zebra","abc safari","mammal-land","chordata-vertebrata"
"zebras","twas the day before zoo day","mammal-land","chordata-vertebrata"
"zooplankton","ocean seasons","varies","varies"
