"sandhill crane","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"whooping crane","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"killdeer","x","x","x","x","x","x","x","x","&nbsp;"
"mountain plover","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;"
"black-necked stilt","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"american avocet","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"greater yellowlegs","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"willet","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"spotted sandpiper","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"upland sandpiper","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;"
"long-billed curlew","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"marbled godwit","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;"
"least sandpiper","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"long-billed dowitcher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"common snipe","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"wilson's phalarope","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"franklin's gull","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"ring-billed gull","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"california gull","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"herring gull","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"caspian tern","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"forster's tern","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"black tern","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"rock dove","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"band-tailed pigeon","x","x","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"white-winged dove","&nbsp;","x","x","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"mourning dove","x","x","x","x","x","x","x","x","x"
"inca dove","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"common ground-dove","&nbsp;","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"black-billed cuckoo","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"yellow-billed cuckoo","x","x","x","x","x","&nbsp;","x","&nbsp;","&nbsp;"
"greater roadrunner","&nbsp;","x","x","x","x","x","&nbsp;","&nbsp;","&nbsp;"
"common barn-owl","x","x","x","x","x","x","x","&nbsp;","&nbsp;"
"flamulated owl","x","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"eastern screech-owl","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"western screech-owl","x","x","x","x","x","x","x","&nbsp;","&nbsp;"
"whiskered screech-owl","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"great horned owl","x","x","x","x","x","x","x","x","&nbsp;"
"northern pygmy-owl","x","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"ferruginous pygmy-owl","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"elf owl","&nbsp;","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"burrowing owl","x","&nbsp;","x","x","&nbsp;","x","&nbsp;","x","&nbsp;"
"spotted owl","x","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"great gray owl","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"long-eared owl","x","x","x","x","x","x","x","x","&nbsp;"
"short-eared owl","x","x","x","x","x","x","x","x","&nbsp;"
"northern saw-whet owl","x","x","x","x","x","&nbsp;","x","x","&nbsp;"
"lesser nighthawk","&nbsp;","x","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;"
"common nighthawk","x","x","x","x","x","x","x","x","&nbsp;"
"common poorwill","x","x","x","x","x","x","x","&nbsp;","&nbsp;"
"whip-poor-will","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"black swift","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","x","x","&nbsp;"
"vaux's swift","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"white-throated swift","x","x","x","x","x","&nbsp;","x","x","&nbsp;"
"broad-billed hummingbird","&nbsp;","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"violet-crowned hummingbird","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"blue-throated hummingbird","&nbsp;","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"magnificent hummingbird","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"black-chinned hummingbird","x","x","&nbsp;","x","x","&nbsp;","x","x","x"
"anna's hummingbird","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"costa's hummingbird","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"calliope humminbird","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"broad-tailed hummingbird","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"rufous hummingbird","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x"
"allen's hummingbird","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"elegant trogon","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"belted kingfisher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"lewis' woodpecker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"acorn woodpecker","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"gila woodpecker","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"red-naped sapsucker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"yellow-bellied sapsucker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"red-breasted sapsucker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"williamson's sapsucker","x","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"ladder-backed woodpecker","&nbsp;","x","x","x","x","&nbsp;","x","&nbsp;","&nbsp;"
"nuttall's woodpecker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"downy woodpecker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"hairy woodpecker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"strickland's woodpecker","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"northern flicker","x","x","x","x","x","&nbsp;","x","x","&nbsp;"
"pileated woodpecker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"northern beardless-tyrannulet","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"olive-sided flycatcher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x"
"greater pewee","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"western wood-pewee","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"willow flycatcher","x","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","x","&nbsp;"
"hammond's flycatcher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x"
"dusky flycatcher","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"gray flycatcher","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"western flycatcher","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"buff-breasted flycatcher","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"black phoebe","&nbsp;","x","x","x","x","x","&nbsp;","&nbsp;","&nbsp;"
"say's phoebe","x","x","x","x","&nbsp;","x","x","&nbsp;","&nbsp;"
"vermillion flycatcher","&nbsp;","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"dusky-capped flycatcher","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"ash-throated flycatcher","&nbsp;","x","x","x","x","&nbsp;","x","&nbsp;","x"
"brown-crested flycatcher","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"sulphur-bellied flycatcher","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"cassin's kingbird","x","x","x","x","x","x","&nbsp;","&nbsp;","&nbsp;"
"thick-billed kingbird","&nbsp;","x","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"western kingbird","x","x","x","x","x","x","x","&nbsp;","&nbsp;"
"eastern kingbird","x","&nbsp;","x","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;"
"rose-throated becard","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"horned lark","x","x","x","x","&nbsp;","x","x","x","&nbsp;"
"purple martin","&nbsp;","x","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"tree swallow","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"violet-green swallow","x","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"northern rough-winged swallow","x","&nbsp;","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"bank swallow","x","x","&nbsp;","&nbsp;","x","x","x","&nbsp;","&nbsp;"
"cliff swallow","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","x"
"barn swallow","x","x","x","x","x","x","x","&nbsp;","x"
"gray jay","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"steller's jay","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x"
"scrub jay","x","x","&nbsp;","x","&nbsp;","x","x","&nbsp;","x"
"gray-breasted jay","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"pinyon jay","x","x","x","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"clark's nutcracker","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","x"
"black-billed magpie","x","&nbsp;","&nbsp;","&nbsp;","x","x","x","x","&nbsp;"
"yellow-billed magpie","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;"
"american crow","x","x","x","x","x","x","x","x","&nbsp;"
"chihuahuan raven","&nbsp;","x","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;"
"common raven","x","x","x","x","x","x","x","x","x"
"black-capped chickadee","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"bird species","great basin shrubsteppe","sonoran desert scrub","chihuahuan desert scrub","mojave desert scrub","desert riparian deciduous woodlands marshes","annual grasslands farms","river riparian woodlands subalpine marshes","mountain and alpine meadows","relict conifer forests madrean evergreen woodlands"
"mountain chickadee","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;"
"chestnut-backed chickadee","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"bridled titmouse","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"plain titmouse","x","x","x","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"verdin","&nbsp;","x","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"bushtit","x","x","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"red-breasted nuthatch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"white-breasted nuthatch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"pygmy nuthatch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"brown creeper","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","&nbsp;"
"cactus wren","&nbsp;","x","x","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
