"pitching  - wins","&nbsp;","pitching - strikeouts","pitching - strikeouts","pitches - saves","&nbsp;","stolen bases","&nbsp;"
"joe  mcginnity","246","andy pettitte","2251","&nbsp;","&nbsp;","curt welch","453"
"amos  rusie","246","eddie� plank","2246","&nbsp;","&nbsp;","steve sax","444"
"dennis  martinez","245","tommy john","2245","&nbsp;","&nbsp;","mike griffin","443"
"jack  powell","245","jim palmer","2212","&nbsp;","&nbsp;","joe kelley","443"
"juan  marichal","243","david wells","2201","&nbsp;","&nbsp;","sherry magee","441"
"herb pennock","241","grover� alexander","2198","&nbsp;","&nbsp;","john mcgraw","436"
"andy pettitte","240","vida blue","2175","&nbsp;","&nbsp;","tris speaker","432"
"frank  tanana","240","camilo pascual","2167","&nbsp;","&nbsp;","ed delehanty","430"
"mordecai  brown","239","tim wakefield","2156","&nbsp;","&nbsp;","marquis grissom","429"
"david  wells","239","dennis martinez","2149","&nbsp;","&nbsp;","bob bescher","428"
"clark  griffith","237","bobo newson","2082","&nbsp;","&nbsp;","mike tiernan","428"
"waite  hoyt","237","fernando valenzuela","2074","&nbsp;","&nbsp;","carl crawford","427"
"whitey  ford","236","dazzy vance","2045","&nbsp;","&nbsp;","ichiro suziki","423"
"tommy  bond","234","c.c. sabathia","2017","&nbsp;","&nbsp;","charlie comiskey","419"
"charlie  buffington","233","rick reuschel","2015","&nbsp;","&nbsp;","frankie frisch","419"
"sam  jones","229","orel hershisher","2014","&nbsp;","&nbsp;","craig biggio","414"
"luis  tiant","229","catfish hunter","2012","&nbsp;","&nbsp;","harry stovey","412"
"will  white","229","andy benes","2000","&nbsp;","&nbsp;","tommy harper","408"
"john clarkson","228","billy pierce","1999","&nbsp;","&nbsp;","chuck knoblauch","407"
"george  mullin","228","kevin appier","1994","&nbsp;","&nbsp;","donie bush","404"
"jim  bunning","224","red ruffing","1987","&nbsp;","&nbsp;","matt damon","404"
"catfish  hunter","224","jerry reuss","1979","&nbsp;","&nbsp;","frank chance","401"
"hook  dauss","223","john clarkson","1978","&nbsp;","&nbsp;","omar vizquel","401"
"paul  derringer","223","kevin millwood","1976","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"mel  harder","223","al leiter","1974","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"jerry  koosman","222","bob welch","1969","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"joe  niekro","221","kenny rogers","1968","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"jerry  reuss","220","whitey ford","1956","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","bobby witt","1955","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","amos rusie","1950","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","danny darwin","1942","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","roy halladay","1934","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","tom gordon","1928","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","livan hernandez","1928","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","hideo nomo","1918","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
