"table name","table type","rating","# of ratings","historic era","author(s)","download"
"abduction","original","6.7","3","2002","tii","NULL"
"abra ca dabra","electro-mechanical","","","1975 gottlieb","luvthatapex","NULL"
"ac/dc (eaves)","original","","","2002","tyler eaves","NULL"
"ac/dc (sdbvision)","original","5.0","1","2001","mikepin74","NULL"
"ac/dc (vpdisco)","original","","","2001","mikepin74","NULL"
"across the galaxy","original","","","2003","greyfeld - alan kloster","NULL"
"ad infinitum","original","7.0","2","2002","sphere","NULL"
"addams family - addams family gold","vpinmame","4.5","2","1992 midway mfg. co. a subsidiary of wms industries inc.","NULL","aj"
"addams family gold the","vpinmame","8.0","1","1994 midway mfg. co. a subsidiary of wms industries inc.","boris & others","aj"
"addams family the","historic","","","1992 midway mfg. co. a subsidiary of wms industries inc.","boris","irpinball"
"addams family the","vpinmame","8.7","27","1992 midway mfg. co. a subsidiary of wms industries inc.","boris & others","aj"
"adventure","original","8.3","7","2002","eala dubh sidhe","NULL"
"adventures of rocky and bullwinkle and friends","vpinmame","7.6","14","1993 data east usa inc.","desangel","aj"
"afterburner","original","7.0","1","2002","subzero1970 & roland scholz","NULL"
"aftershock","original","","","2003","anthias","NULL"
"age of chivalry","original","4.0","2","2001","dave bernazzani (llabnip)","NULL"
"agents 777","solid state","","","1984 game plan inc","eala dubh sidhe & destruk","NULL"
"agents 777","vpinmame","5.0","3","1984 game plan inc.","eala dubh sidhe & destruk","aj"
"air aces","electro-mechanical","5.4","7","1975 bally manufacturing corporation","ash & sublimepinball","NULL"
"airborne avenger","solid state","","","1977 atari inc.","john shepherd","NULL"
"airborne avenger","vpinmame","4.8","4","1977 atari inc.","john shepherd","aj"
"airborne","vpinmame","6.8","5","1996 capcom coin-op inc.","tab/destruk","aj"
"airway","flipperless","6.0","1","1933 bally manufacturing corporation","redswall","pinball nirvana"
"akathy","original","","","2003","paul e l","NULL"
"akoya pinball","original","","","2002","terry briggs","NULL"
"aladdin's castle","electro-mechanical","5.2","9","1976 bally manufacturing corporation","NULL","NULL"
"alaska","electro-mechanical","4.8","4","1978 interflip s. a. (germany)","steveir hugh janus & duglis","NULL"
"alexander band","original","","","2002","?","NULL"
"algar","vpinmame","6.0","2","1980 williams electronics inc.","germax / gerhard s","aj"
"ali-baba","electro-mechanical","4.0","1","1948 gottlieb","duglis and robair","NULL"
"alien bob","original","","","2003","tii","NULL"
"alien detox","original","","","2002","neon weekends","NULL"
"alien gegen predator","original","","","2003","?","NULL"
"alien invasion","original","7.0","1","2001","destruk","NULL"
"alien light machine","original","","","2003","tii","NULL"
"alien poker","solid state","","","1980 williams electronics inc.","tom scutt/gaston/nicky","NULL"
"alien poker","vpinmame","7.1","9","1980 williams electronics inc.","tom scutt/gaston","aj"
"alien reactor","original","","","2001","randy davis","NULL"
"alien star","vpinmame","5.0","6","1984 gottlieb / mylstar electronics","destruk","aj"
"alien table untitled","original","","","2001","?","NULL"
"aliens","original","6.0","3","2001","ripleyyy","NULL"
"alive! (non-commercial)","solid state","5.0","1","1978 brunswick manufacturing company","wrenchien","NULL"
"ali","vpinmame","6.0","4","1980 stern electronics inc.","luvthatapex & joe entropy & moonchild & tedw","aj"
"all american","flipperless","","","1940 chicago coin machine mfg. co.","redswal","pinball nirvana"
"all or nothing","original","","","2003","wrenchien","NULL"
"all your base are belong to us","original","","","2003","pinwizkid","NULL"
"alley cats","shuffle bowl","","","1986 williams_electronic games inc.","destruk tab","NULL"
"alone and angie","original","","","2003","wrenchien","NULL"
"alpha one","original","","","2001","?","NULL"
"alphabot","original","","","2003","paul pridham","NULL"
"alpine club","electro-mechanical","7.0","3","1965 williams electronic manufacturing co.","leon spalding","NULL"
"al's garage band on worldtour","vpinmame","6.2","5","1993 alvin g & co.","destruk/tab","aj"
"amazing spiderman","solid state","","","1980 gottlieb","mikepin74","NULL"
"amazing spiderman","vpinmame","","","1980 gottlieb","mikepin74","aj"
"amazing","original","","","2002","proginoskes","NULL"
"amazon hunt","vpinmame","7.5","4","1983 gottlieb","nico193 luvthatapex","aj"
"amd against the dark empire","original","6.0","1","2001","gerd augustin","NULL"
"america 1492","vpinmame","6.0","1","1984 juegos populares","destruk tab gaston","aj"
"american catch a ball","original","6.0","1","2003","andy","NULL"
"amigo","electro-mechanical","6.0","3","1973 bally manufacturing corporation","ash","NULL"
"andromeda","historic","","","1985 game plan inc.","destruk/lander/ranky","irpinball"
"andromeda","vpinmame","3.5","4","1985 game plan inc.","destruk","aj"
"angeleyeuk's standard pinball","tutorial","","","2002","angeleyeuk aka chris smout","NULL"
"angle light","flipperless","","","1935 coincraft corp.","redswal","pinball nirvana"
"animal world","original","","","2003","pinman","NULL"
"anna's colours","original","7.3","3","2001","sphere","NULL"
"another world two","original","9.0","1","2001","sphere","NULL"
"anselmo apucarana","original","","","2003","?","NULL"
"anselmo","original","","","2003","?","NULL"
"antigrav pinball","original","5.0","1","2002","jeff block","NULL"
"apez 2","original","","","2004","wrenchien","NULL"
"apez","original","","","2003","wrenchien","NULL"
"apoctopong","non pinball game","","","2001","apocalypse","NULL"
"apollo 13","vpinmame","6.3","12","1995 sega pinball inc.","el condor","aj"
"apollo","electro-mechanical","6.5","4","1967 williams electronics inc.","leon spalding","NULL"
"appetite for pinball","original","","","2002","apocalypse","NULL"
"aquanoid","original","6.0","1","2003","andrew mortimer","NULL"
"aquarius","electro-mechanical","8.0","2","1970 gottlieb","brettski / luvthatapex","NULL"
"aquatic adventure","computer game remake","","","1996 21st century entertainment","hugh janus","NULL"
"arabian knights","electro-mechanical","6.5","2","1953 gottlieb","duglis","NULL"
"are you talking about williams?","original","","","2003","ripleyyy","NULL"
"area 51","original","6.0","1","2001","ripleyyy","NULL"
"arena","vpinmame","6.4","5","1987 gottlieb / premier","mnpg - moonchild","aj"
"argh! mas yargh","original","","","2003","wrenchien","NULL"
"argosy","electro-mechanical","5.5","2","1977 williams electronics inc.","NULL","NULL"
"arkanoid pinball","original","6.0","3","2002","ken atherton","NULL"
"armonia","original","","","2003","furio","NULL"
"army of darkness","original","","","2002","ripleyyy","NULL"
"army-navy","electro-mechanical","3.5","2","1953 williams  manufacturing company","redswal","NULL"
"around the world","electro-mechanical","6.3","3","1959 gottlieb","NULL","NULL"
"asteroid annie & the aliens","electro-mechanical","6.0","6","1980 gottlieb","eala dubh","NULL"
"astro shooter pinball","solid state","","","? tomy","ale hawk","NULL"
"astronomer","original","","","2003","gridiron","NULL"
"astro","original","","","2002","tii","NULL"
"at your service","original","6.0","1","2002","william wervenbos","NULL"
"atari dig dug","original","4.5","2","2001","pinman","NULL"
"atarians the","solid state","","","1976 atari inc.","ash","NULL"
"atarians the","vpinmame","4.0","2","1976 atari inc.","ash & destruk","aj"
"atlantic city","electro-mechanical","7.8","4","1952 bally manufacturing corporation","druadic","NULL"
"atlantis 1975","electro-mechanical","","","1975 gottlieb","luvthatapex (using bendigos template)","NULL"
"atlantis lost","original","","","2003","terry briggs","NULL"
"atlantis","vpinmame","4.7","3","1989 midway mfg. co. a subsidiary of wms industries inc.","majikbubble","aj"
"atlas","electro-mechanical","6.5","2","1959 gottlieb","ash","NULL"
"atomic arcade pinball","non-commercial","3.0","1","1979 tomy","michael cox (aka mjcox100)","NULL"
"atomic love","original","","","2002","tii","NULL"
"attack from mars","vpinmame","8.9","20","1995 midway mfg. co. a subsidiary of wms industries inc.","NULL","aj"
"attila the hun","vpinmame","6.0","2","1984 game plan inc.","kristian and destruk","aj"
"aurora","original","5.0","2","2002","wrenchien","NULL"
"austin powers","vpinmame","8.0","5","2001 stern pinball inc.","tab/destruk","aj"
"auto race","electro-mechanical","","","1956 gottlieb","redswal","NULL"
"aw-somi","original","","","2003","wrenchien","NULL"
"aztec (original)","original","","","2002","terry briggs","NULL"
"aztec","electro-mechanical","6.5","2","1976 williams electronics inc.","leon spalding","NULL"
"b.o.c.","original","4.0","1","2002","obelix","NULL"
"baaaad dreams!","original","4.0","1","2002","wrenchien","NULL"
"baaader dreams","original","","","2002","wrenchien","NULL"
"baaadestdreams","original","","","2003","wrenchien","NULL"
"babel","non pinball game","","","2002 universal/eleco","patrick (liberty)","NULL"
"baby contact","flipperless","7.0","1","1934 pacific amusement mfg. co.","druadic","pinball nirvana"
"baby dragon 2","original","7.0","2","2001","pinman","NULL"
"baby dragon 3","original","7.3","3","2001","pinman","NULL"
"baby dragon","original","7.3","6","2001","pinman","NULL"
"baby love remix","original","7.0","2","2001","robbway","NULL"
"baby pacman","vpinmame","","","1982 bally manufacturing corporation","david britten & steve ellenoff","aj"
"baby pin bot","original","7.5","2","2002","mitchell","NULL"
"baby whiffle","flipperless","5.0","1","1932 automatic industries inc.","redswal","pinball nirvana"
"back to the future","vpinmame","7.2","16","1990 data east usa inc.","aj & sellenoff","aj"
"bad beaver's house of harm","original","","","2002","wrenchien","NULL"
"bad cats (lio)","vpinmame","8.0","1","1989 williams_electronic games inc.","lio","aj"
"bad cats","solid state","","","1989 williams_electronic games inc.","zaphod","NULL"
"bad cats","vpinmame","7.6","12","1989 williams_electronic games inc.","guittar & smeagol","aj"
"bad girls","vpinmame","3.5","2","1988 gottlieb / premier","vpm extreme","aj"
"baffle ball sr.","flipperless","6.0","1","1932 gottlieb","destruk","pinball nirvana"
"baffle card","flipperless","","","1946 gottlieb","redswal","pinball nirvana"
"bajazzo","flipperless","","","1904 jentzsch & meerz","oliver moell","pinball nirvana"
"bali bingo","electro-mechanical","","","1974 bally manufacturing corporation","patrick (liberty)","NULL"
"ball dropper","original","","","2001","bj","NULL"
"ballerina","electro-mechanical","","","1948 bally manufacturing corporation","marc bouchard","NULL"
"balls a poppin'","electro-mechanical","7.8","4","1956 bally manufacturing corporation","duglis","NULL"
"balls","original","","","2003","prescott","NULL"
"balltable","original","","","2002","tii","NULL"
"bally '70'80 tribute","original","7.7","3","2002","ripleyyy & joe entropy","NULL"
"bally hoo (bally 1969)","electro-mechanical","9.0","1","1969 bally manufacturing corporation","leon spalding (leo wanker)","NULL"
"ballyhoo","flipperless","6.0","2","1932 bally manufacturing corporation","druadic","pinball nirvana"
"band wagon","electro-mechanical","6.0","2","1955 williams  manufacturing company","xtremediver","NULL"
"bank a ball","electro-mechanical","7.3","3","1965 gottlieb","leon spalding","NULL"
"bank-a-ball","electro-mechanical","","","1950 gottlieb","bendigo","NULL"
"banzai run","vpinmame","","","1988 williams_electronic games inc.","lio/freylis/destruk","aj"
"barb wire","vpinmame","7.0","2","1996 gottlieb / premier","destruktab","aj"
"barracora","vpinmame","7.2","5","1981 williams electronics inc.","desolation angel","aj"
"baseball 2001","original","","","2001","apocalypse","NULL"
"baseball","flipperless","6.8","4","1920 mills novelty","druadic","pinball nirvana"
"bash-o-rama bonanza","original","4.7","3","2002","bj the pinhead","NULL"
"batastic","original","","","2003","wrenchien","NULL"
"bathing beautys","original","","","2003","dizzidi","NULL"
"batman 2","original","5.2","5","2001","pinman","NULL"
"batman forever","vpinmame","6.6","7","1995 sega pinball inc.","joep van de velden","aj"
"batman","vpinmame","6.3","9","1991 data east usa inc","","aj"
"batter up","original","8.7","3","2002","tom pillow","NULL"
"battlefield action","original","6.0","1","2002","freewheel","NULL"
"battlestar galactica","original","","","2002","?","NULL"
"baywatch","vpinmame","8.5","12","1995 sega pinball inc.","joep","aj"
"bazaar","electro-mechanical","4.0","1","1966 bally manufacturing corporation","redswal","NULL"
"bazooka","toy","4.5","2","1958 marx toys","proginoskes (christopher heckman)","NULL"
"beach boys the","original","","","2001","steve (pinman)","NULL"
"beachcomber flipperless","original","","","2003","dizzidi","NULL"
"bear creek 4 volt revolution","original","4.0","1","2001","makin","NULL"
"beastoids ii","original","","","2003","wrenchien","NULL"
"beastoids","original","","","2002","wrenchien","NULL"
"beat box","computer game remake","7.0","1","1994 21st century (pinball dreams)","?","NULL"
"beat the clock 1964","electro-mechanical","","","1964 williams electronic manufacturing co.","leon spalding  (leo wanker)","NULL"
"beat the clock","vpinmame","7.3","4","1985 bally midway mfg. co.","destruk & aussie34","aj"
"beat time","electro-mechanical","3.0","1","1967 williams electronics inc.","marc bouchard","NULL"
"beatles","original","8.0","1","2002","tpillow","NULL"
"beavis and butthead","original","6.0","3","2001","mikepin74","NULL"
"bell ringer","vpinmame","1.0","1","1990 gottlieb / premier","destruk","aj"
"bendigo table template","original","","","2002","bendigo","NULL"
"bermuda triangle","original","","","2002","zach hunter","NULL"
"berzerk","original","6.5","2","2001","mikepin74","NULL"
"betty-boop","original","","","2002","j.b.'s themes","NULL"
"big bang bar","vpinmame","8.8","4","1996 capcom coin-op inc.","pacdude","aj"
"big ben (1954)","electro-mechanical","7.0","3","1954 williams  manufacturing company","leon spalding","NULL"
"big ben (1975)","electro-mechanical","5.0","1","1975 williams electronics inc.","majikbubble","NULL"
"big brave","electro-mechanical","7.0","1","1974 gottlieb","frmi","NULL"
"big casino","electro-mechanical","","","1961 gottlieb","leon spalding","NULL"
"big chief","electro-mechanical","","","1965 williams electronic manufacturing co.","leon spalding (leo wanker)","NULL"
"big daddy","electro-mechanical","6.5","2","1963 williams electronic manufacturing co.","leon spalding","NULL"
"big deal","electro-mechanical","6.0","1","1977 williams electronics inc.","luvthatapex","NULL"
"big deal","original","","","2003","trendsetter","NULL"
"big game","vpinmame","7.0","4","1980 stern electronics inc.","destruk and skalar","aj"
"big guns","vpinmame","8.5","4","1987 williams_electronic games inc.","moonchild & destruk","aj"
"big hit","flipperless","4.0","1","1946 exhibit supply co.","ash","pinball nirvana"
"big house","vpinmame","7.3","3","1989 gottlieb / premier","mnpg","aj"
"big hurt","vpinmame","6.9","10","1995 gottlieb / premier","joep","aj"
"big indian","electro-mechanical","6.0","1","1974 gottlieb","frmi","NULL"
"big league baseball","pitch/bat","7.0","3","1965 chicago coin machine mfg. co.","obx001","NULL"
"big money","original","","","2004","spike","NULL"
"big score","original","","","2001","pinman","NULL"
"big strike","shuffle bowl","","","1983 williams electronics inc.","destruk tab","NULL"
"big titty pinball","original","","","2003","nick mancini","NULL"
"big top doowop","original","","","2003","nx01","NULL"
"big top","electro-mechanical","4.0","2","1964 gottlieb","duglis","NULL"
"big town (playmatic 1978)","electro-mechanical","","","1978 playmatic","eala dubh sidhe","NULL"
"bigpin","original","5.0","1","2002","tii","NULL"
"billiards","non pinball game","","","2002","nicholas","NULL"
"bingo 1","original","","","2004","hungfj","NULL"
"bingo","original","","","2001","?","NULL"
"bizare","original","4.0","1","2002","wrenchien","NULL"
"bk3k","original","","","2004","djfalcon","NULL"
"black beauty","shuffle bowl","1.0","1","1984 stern electronics inc.","destruk tab","NULL"
"black belt (zaccaria)","vpinmame","","","1986 zaccaria (italy)","destruk luvthatapex","aj"
"black belt","vpinmame","2.0","1","1986 bally midway mfg. co.","destruk & tab","aj"
"black cat","original","","","2003","andrew mortimer","NULL"
"black fever (playmatic 1980)","solid state","7.5","2","1980 playmatic","eala dubh sidhe","NULL"
"black gold","electro-mechanical","7.0","1","1975 williams electronics inc.","luvthatapex","NULL"
"black hole (toms)","solid state","","","1981 gottlieb","tom s","NULL"
"black hole","solid state","","","1981 gottlieb","patatrox w/eric selak's real sounds","NULL"
"black hole","vpinmame","7.6","5","1981 gottlieb","patatrox","aj"
"black jack (em)","electro-mechanical","6.0","1","1976 bally manufacturing corporation","leon spalding","NULL"
"black jack (solid state)","solid state","","","1976 bally manufacturing corporation","gerhard & crew","NULL"
"black jack 1960","electro-mechanical","","","1960 williams electronic manufacturing co.","luvthatapex","NULL"
"black jack","electro-mechanical","","","1976 bally manufacturing corporation","leon spalding","NULL"
"black jack","solid state","","","1976 bally manufacturing corporation","gerhard & crew","NULL"
"black jack","vpinmame","6.3","3","1976 bally manufacturing corporation","vpm extreme","aj"
"black knight (pe)","solid state","","","1980 williams electronics inc.","pe #668","NULL"
"black knight (super ball)","solid state","5.0","1","1980 williams electronics inc.","pe #668","NULL"
"black knight 2000","solid state","","","1989 williams_electronic games inc.","black","NULL"
"black knight 2000","vpinmame","8.6","12","1989 williams_electronic games inc.","NULL","aj"
"black knight","solid state","","","1980 williams electronics inc.","pe #668","NULL"
"black knight","vpinmame","7.6","5","1980 williams electronics inc.","kristian neurokinetik & pe668","aj"
"black pyramid","vpinmame","8.3","4","1984 bally midway mfg. co.","nico 193","aj"
"black rose","vpinmame","7.7","13","1992 midway mfg. co. a subsidiary of wms industries inc.","kristian destruk aswin bowmeester warlock","aj"
"black sheep squadron","solid state","7.0","1","1979 astro games inc.","eala dubh sidhe","NULL"
"black sheep squadron","vpinmame","","","1979 astro games inc.","eala dubh sidhe destruk","aj"
"black velvet","vpinmame","5.0","1","1978 game plan inc.","destruk & skalar","aj"
"black widow","original","","","2002","sphere","NULL"
"black white & color pinball","original","6.0","1","2003","michell hancock","NULL"
"blackjack one","original","","","2003","andrew mortimer","NULL"
"blackjack","original","","","2004","icepagoda","NULL"
"blackout","vpinmame","6.5","6","1980 williams electronics inc.","aj/boris","aj"
"blackwater 100","vpinmame","1.5","2","1988 bally midway mfg. co.","patatrox","aj"
"blast off","electro-mechanical","7.7","3","1967 williams electronics inc.","emkaah","NULL"
"blazing trail","original","7.5","2","2004","stephen robertson (stevoz)","NULL"
"blazium","original","4.0","1","2002","wrenchien","NULL"
"blinky ball","original","","","2003","rockinghorse","NULL"
"blow yer top","original","","","2002","bj","NULL"
"blue alien","original","","","2003","tii","NULL"
"blue chip bingo","electro-mechanical","","","1974 bally manufacturing corporation","patrick (liberty)","NULL"
"blue chip","electro-mechanical","8.0","1","1976 williams electronics inc.","eala dubh sidhe","NULL"
"blue lake","original","","","2002","gridiron","NULL"
"blue ribbon","electro-mechanical","5.8","4","1965 bally manufacturing corporation","leon spalding","NULL"
"blur the","original","","","2003","wrenchien","NULL"
"bmx (original)","original","","","2003","utplayer2","NULL"
"bmx","vpinmame","7.0","1","1982 bally manufacturing corporation","destruk & lander","aj"
"bo bo","electro-mechanical","5.5","2","1961 williams electronic manufacturing co.","duglis","NULL"
"bomb squad","original","7.0","1","2001","gerson agena","NULL"
"bombenfever ii","original","","","2002","gerhard & crew","NULL"
"bon voyage","electro-mechanical","5.0","2","1974 bally manufacturing corporation","ash","NULL"
"bone busters","vpinmame","6.5","2","1989 gottlieb / premier","destruk/extrememame/gravitar/tab","aj"
"bone","original","","","2003","tii","NULL"
"bonzai","original","","","2002","fc","NULL"
"boomerang (wrenchien)","original","6.0","1","2002","wrenchien","NULL"
"boomerang","electro-mechanical","7.8","4","1974 bally manufacturing corporation","druadic","NULL"
"boris popup multilevel table","original","","","2002","boris","NULL"
"boris","original","","","2002","boris","NULL"
"bot heads","original","","","2003","tii","NULL"
"bottom of the nineth","original","9.0","1","2001","richard ginn","NULL"
"bounty hunter","vpinmame","6.7","3","1985 gottlieb / premier","NULL","aj"
"bow and arrow","electro-mechanical","","","1974 bally manufacturing corporation","NULL","NULL"
"bow and arrow","vpinmame","","","1974 bally manufacturing corporation","ash gaston","aj"
"bowling prototype","original","","","2001","apocolypse","NULL"
"bowling","original","4.0","1","2002","zpinmasta & taren","NULL"
"brain salad surgery (slow pc version)","original","","","2001","sphere","NULL"
"brain salad surgery","original","9.0","1","2001","sphere","NULL"
"brainstorm","original","3.0","1","2002","wrenchien","NULL"
"braks abc's & trivia","original","6.0","1","2003","cold1","NULL"
"bram stoker's dracula","vpinmame","8.0","3","1993 williams_electronic games inc.","neurokinetic","aj"
"brave team","vpinmame","7.0","1","1985 inder of spain","tab gaston destruk","aj"
"breakout pinball","original","","","2003","pinball master","NULL"
"breakout","original","5.0","4","2002","proginoskes","NULL"
"breakshot","solid state","","","1996 capcom coin-op inc.","apocalypse","NULL"
"breakshot","vpinmame","","","1996 capcom coin-op inc.","kid charlemange","aj"
"breakthru","computer game remake","","","2003","apocalypse","NULL"
"brickyard","original","3.0","1","2002","wrenchien","NULL"
"broadway","electro-mechanical","6.5","2","1951 bally manufacturing corporation","druadic","NULL"
"broncobuster (flipperless) revision","original","","","2004","tiltjlp / john patton & sdb /  scott bermel & starman7007","NULL"
"broncobuster revision","original","","","2004","tiltjlp / john patton & sdb /  scott bermel & starman7007","NULL"
"broncobuster2","original","","","2003","tiltjlp / john patton & sdb /  scott bermel","NULL"
"broncobuster","original","6.0","1","2003","tiltjlp / john patton & sdb /  scott bermel","NULL"
"bronco","electro-mechanical","6.0","1","1963 chicago coin machine mfg. co.","redswal","NULL"
"bruce lee","original","","","2001","mikepin74","NULL"
"bubble bobble","original","6.0","1","2001","curly","NULL"
"buccaneer '76","electro-mechanical","5.5","2","1976 gottlieb","mr. cyclops","NULL"
"buck rogers","solid state","7.0","7","1980 gottlieb","luvthatapex","NULL"
"buckaroo (novelty)","electro-mechanical","4.0","1","1965 gottlieb","duglis","NULL"
"buckaroo","electro-mechanical","5.5","2","1965 gottlieb","duglis","NULL"
"buffalo roam the","original","","","2003","wrenchien","NULL"
"bugs bunny's birthday ball","vpinmame","7.0","7","1991 midway mfg. co. a subsidiary of wms industries inc.","shep","aj"
"bugs bunny's lair 1","original","","","2002","ingrid jansen","NULL"
"bugs bunny's lair 2","original","","","2002","ingrid jansen","NULL"
"bugs bunny's lair mod","original","","","2002","ingrid jansen (mod by mitchell)","NULL"
"build your house mod","original","","","2003","furio","NULL"
"build your house","original","6.0","1","2003","erwin","NULL"
"bullfight","electro-mechanical","","","1964 bally manufacturing corporation","marc bouchard","NULL"
"bullseye 301","solid state","7.5","2","1986 pinstar","eala dubh sidhe","NULL"
"bump 'n' jump","original","","","2001","pindave","NULL"
"bumper boogie","original","","","2002","terry briggs","NULL"
"bumper","flipperless","","","1936 bally manufacturing corporation","redswal","pinball nirvana"
"bumpers 'n' ramps","original","","","2001","?","NULL"
"bushido","vpinmame","","","1993 inder of spain","destruk/tab/tomb","aj"
"butterfly","electro-mechanical","5.0","1","1977 segasa d.b.a. sonic (spain)","gerhard and crew","NULL"
"buttons and bows","electro-mechanical","7.0","3","1949 gottlieb","hugh janus","NULL"
"cabaret","electro-mechanical","7.0","2","1968 williams electronics inc.","leon spalding (leo wanker)","NULL"
"cactus canyon","vpinmame","7.7","15","1998 midway mfg. co. a subsidiary of wms industries inc.","joep van de velden","aj"
"cactus jack's","vpinmame","","","1991 gottlieb / premier","pacdude","aj"
"cajun double trouble","original","4.0","1","2002","wrenchien","NULL"
"calcio italia","electro-mechanical","","","1965 soc elettrogiochi","patrick (liberty)","NULL"
"call to battle","original","7.5","2","-","dave dobson","NULL"
"camaleon","original","","","2003","roberto hernandez","NULL"
"camel lights","vpinmame","","","1978 game plan inc.","destruk tab","aj"
"camelot","electro-mechanical","6.0","1","1969 bally manufacturing corporation","peter flierman","NULL"
"campus queen","electro-mechanical","6.0","1","1966 bally manufacturing corporation","wrenchien","NULL"
"canada dry","electro-mechanical","","","1976 gottlieb","marc bouchard","NULL"
"canasta '86","solid state","","","1986 inder of spain","faizulin","NULL"
"canasta '86","vpinmame","","","1986 inder of spain","jose manuel lopez/destruk","aj"
"candy land","original","7.0","1","2002","desangel/gottlieb","NULL"
"capcom vs snk 2","original","","","2002","evil ryu","NULL"
"captain america","original","","","2001","charline joyner","NULL"
"captain fantastic","electro-mechanical","6.0","2","1975 bally manufacturing corporation","mikepin75","NULL"
"captain garrison","original","","","2001","gerhard & crew","NULL"
"captain hook","solid state","","","1985 game plan inc.","eala dubh sidhe & destruk","NULL"
"captain hook","vpinmame","","","1985 game plan inc.","eala dubh sidhe & destruk","aj"
"captain kidd","electro-mechanical","7.3","4","1960 gottlieb","bendigo","NULL"
"car hop","vpinmame","3.5","2","1991 gottlieb / premier","rkcww","aj"
"card sharks","original","8.0","7","2001","eala dubh sidhe","NULL"
"caribbean cruise","vpinmame","","","1989 international concepts","destruk/apocalypse/zaphod/gaston","aj"
"carl and dell 2","original","","","2002","wrenchien","NULL"
"carl and dell","original","5.0","1","2002","wrenchien","NULL"
"carlo","original","","","2003","furio","NULL"
"carynchica","original","","","2003","wrenchien","NULL"
"casanova","electro-mechanical","","","1966 williams electronic manufacturing co.","marc bouchard","NULL"
"casino (jay phillips) (1.0)","original","","","2002","jay phillips","NULL"
"casino pinball","original","","","2001","?","NULL"
"casino","original","7.3","7","2001","jay phillips","NULL"
"castle club","original","","","2002","terry briggs","NULL"
"castlevania","original","7.5","2","2002","james balmer","NULL"
"cat burgler","original","","","2003","dizzidi","NULL"
"cat span beatnik","original","","","2003","wrenchien","NULL"
"cat span goth","original","4.0","1","2002","wrenchien","NULL"
"cat span hippie","original","","","2003","wrenchien","NULL"
"cat span punk","original","","","2003","wrenchien","NULL"
"cat span raver","original","","","2003","wrenchien","NULL"
"cat span skater","original","","","2004","wrenchien","NULL"
"cat span slacker","original","","","2003","wrenchien","NULL"
"cat span","original","4.0","1","2002","wrenchien","NULL"
"catacomb","vpinmame","5.7","3","1981 stern electronics inc.","destruk skalar lander inkochinito","aj"
"cavaleiro negro","solid state","","","1981 taito do brasil","dox & maloti","NULL"
"cavaleiro negro","vpinmame","","","1981 taito do brasil","dox maloti destruk","aj"
"caveman","vpinmame","6.5","2","1982 gottlieb","luvthatapex & destruk","aj"
"centaur","solid state","","","1981 bally manufacturing corporation","gerhard & crew-sound by irpinball","NULL"
"centaur","vpinmame","7.9","7","1981 bally manufacturing corporation","gerhard & crew-sound by irpinball","aj"
"centigrade 37","electro-mechanical","6.7","3","1977 gottlieb","dave sanders","NULL"
"centipede pinball return","original","","","2004","mitchell","NULL"
"centipede","original","6.7","3","2002","mitchell","NULL"
