"hospital name","city","staffedbeds","totaldischarges","patientdays","gross patientrevenue ($000)"
"heritage valley beaver","beaver","278","14071","69965","$549172"
"heritage valley sewickley","sewickley","178","8534","35943","$312750"
"highlands hospital","connellsville","71","1462","5112","$54131"
"holy redeemer hospital and medical center","meadowbrook","266","17436","61398","$156985"
"holy spirit hospital","camp hill","326","13422","60158","$779660"
"hospital of the university of pennsylvania","philadelphia","752","41161","233213","$5975597"
"indiana regional medical center","indiana","162","7671","30836","$358907"
"j.c. blair memorial hospital","huntingdon","73","1965","8816","$92925"
"james e. van zandt va medical center","altoona","0","0","0","$0"
"jameson hospital - north campus","new castle","254","8812","40689","$268727"
"jeanes hospital","philadelphia","176","9186","41115","$1319721"
"jefferson regional medical center","jefferson hills","376","15788","76111","$507581"
"jennersville regional hospital","west grove","59","3262","12797","$243099"
"kane community hospital","kane","31","1044","3917","$42116"
"lancaster general","lancaster","640","37238","162574","$1817176"
"lancaster regional medical center","lancaster","213","4353","21515","$277837"
"lankenau hospital","wynnewood","353","19680","98263","$1487772"
"lansdale hospital","lansdale","111","5068","19806","$438016"
"latrobe hospital","latrobe","128","8337","34039","$329781"
"lebanon va medical center","lebanon","0","0","0","$0"
"lehigh valley hospital - cedar crest","allentown","845","39263","198850","$3541826"
"lehigh valley hospital - muhlenberg","bethlehem","176","10230","49350","$916305"
"lewistown hospital","lewistown","123","5049","17570","$198219"
"lock haven hospital","lock haven","139","2148","5115","$133948"
"lower bucks hospital","bristol","138","6966","31082","$701499"
"magee-womens hospital of university of pittsburgh medical center","pittsburgh","332","20034","103564","$1190291"
"marian community hospital","carbondale","70","1832","7670","$84643"
"meadville medical center","meadville","206","6236","29408","$327783"
"memorial hospital","towanda","111","1313","5074","$89556"
"memorial hospital","york","100","5669","20068","$190248"
"memorial medical center - lee campus","johnstown","0","0","0","$0"
"memorial medical center - main campus","johnstown","550","27601","114983","$915903"
"mercy fitzgerald hospital","darby","406","19688","85681","$1753495"
"mercy philadelphia hospital","philadelphia","0","0","0","$0"
"mercy suburban hospital","east norriton","121","5613","24799","$544791"
"methodist hospital","philadelphia","0","0","0","$0"
"millcreek community hospital","erie","140","2614","9432","$103502"
"miners medical center","hastings","30","853","3478","$50439"
"monongahela valley hospital","monongahela","183","7753","38427","$316169"
"montgomery hospital medical center","norristown","169","7137","25302","$569944"
"moses taylor hospital","scranton","227","12515","50035","$604080"
"mount nittany medical center","state college","199","11088","48697","$530559"
"nason hospital","roaring spring","44","2164","8928","$59254"
"nazareth hospital","philadelphia","221","9598","44661","$726641"
"ohio valley general hospital","mckees rocks","117","3696","16090","$183560"
"palmerton hospital","palmerton","86","1573","6771","$67899"
"paoli hospital","paoli","226","13287","55043","$919035"
"penn presbyterian medical center","philadelphia","315","15316","70092","$1611680"
"penn state milton s. hershey medical center","hershey","460","24957","139909","$1685840"
"pennsylvania hospital","philadelphia","447","21563","113162","$1718723"
"philadelphia va medical center","philadelphia","0","0","0","$0"
"phoenixville hospital","phoenixville","142","8032","32644","$948384"
"physician's care surgical hospital","royersford","0","0","0","$0"
"pocono medical center","east stroudsburg","231","10063","45110","$701253"
"pottstown memorial medical center","pottstown","196","10236","40886","$1026532"
"punxsutawney area hospital","punxsutawney","44","2046","7456","$66866"
"regional hospital of scranton","scranton","220","9592","43405","$512333"
"riddle memorial hospital","media","230","11134","51376","$1007863"
"robert packer hospital","sayre","234","13458","59381","$594488"
"rothman specialty hospital","bensalem","0","0","0","$0"
"roxborough memorial hospital","philadelphia","140","4220","20553","$197060"
"sacred heart hospital","allentown","215","4457","20276","$405982"
"saint catherine medical center - fountain springs","ashland","107","1138","4637","$53552"
"saint clair hospital","pittsburgh","301","16111","67161","$646300"
"saint joseph medical center","reading","212","8671","41969","$493258"
"saint joseph's hospital","philadelphia","131","4946","32585","$193481"
"saint luke's hospital - allentown campus","allentown","0","0","0","$0"
"saint luke's hospital - bethlehem campus","bethlehem","599","34217","145355","$2890923"
"saint luke's miners memorial hospital","coaldale","93","1756","7558","$140638"
"saint luke's quakertown hospital","quakertown","57","2576","9328","$282357"
"saint mary medical center","langhorne","331","25105","100072","$1558178"
"saint vincent health center","erie","439","19305","87908","$1403088"
"schuylkill medical center - east norwegian street","pottsville","126","4945","25483","$131250"
"schuylkill medical center - south jackson street","pottsville","191","6396","29135","$192827"
"sharon regional health system","sharon","215","9037","39294","$411162"
"soldiers and sailors memorial hospital","wellsboro","83","2015","7824","$103085"
"somerset hospital","somerset","119","3766","18383","$185777"
"southwest regional medical center","waynesburg","65","2173","7694","$99222"
"springfield hospital","springfield","0","0","0","$0"
"sunbury community hospital","sunbury","122","2029","7982","$104691"
"surgical institute of reading","wyomissing","15","628","1728","$73417"
"taylor hospital","ridley park","0","0","0","$0"
"temple university hospital","philadelphia","730","30248","144923","$5898772"
"temple university hospital - episcopal campus","philadelphia","0","0","0","$0"
"the chester county hospital","west chester","219","17238","64945","$632176"
"the good samaritan hospital","lebanon","164","7708","32821","$468119"
"the reading hospital and medical center","west reading","616","24706","132179","$1523107"
"the washington hospital","washington","243","12949","56042","$543818"
"the western pennsylvania hospital","pittsburgh","479","15388","90181","$1161271"
"the western pennsylvania hospital - forbes regional campus","monroeville","323","14107","63834","$527540"
"the williamsport hospital & medical center","williamsport","221","11385","47087","$449048"
"thomas jefferson university hospital","philadelphia","856","46000","224733","$4120040"
"titusville area hospital","titusville","72","1944","6979","$54318"
"tyler memorial hospital","tunkhannock","58","1633","6498","$66971"
"uniontown hospital","uniontown","230","9928","39745","$210704"
"united states penitentiary lewisburg","lewisburg","0","0","0","$0"
"university of pittsburgh medical center - hamot","erie","351","17039","84540","$1411617"
"university of pittsburgh medical center - mercy","pittsburgh","467","18948","105040","$1222614"
"university of pittsburgh medical center bedford memorial","everett","49","1844","5951","$84485"
"university of pittsburgh medical center horizon - greenville","greenville","173","7352","34725","$418112"
"university of pittsburgh medical center horizon - shenango valley","farrell","0","0","0","$0"
"university of pittsburgh medical center mckeesport","mckeesport","215","9274","51481","$438610"
"university of pittsburgh medical center northwest","seneca","180","6677","27637","$202212"
"university of pittsburgh medical center passavant - cranberry","cranberry township","0","0","0","$0"
"university of pittsburgh medical center passavant - mccandless","pittsburgh","349","16264","81699","$1187887"
"university of pittsburgh medical center presbyterian","pittsburgh","1601","57541","349330","$10185416"
"university of pittsburgh medical center saint margaret","pittsburgh","248","14370","68355","$1014443"
"university of pittsburgh medical center shadyside","pittsburgh","0","0","0","$0"
"university of pittsburgh medical center south side","pittsburgh","149","2256","10571","$246625"
"university pittsburgh medical center montefiore","pittsburgh","0","0","0","$0"
"va butler healthcare","butler","0","0","0","$0"
"va pittsburgh healthcare system - university drive division","pittsburgh","0","0","0","$0"
"valley forge medical center","norristown","50","1418","16553","$19128"
"warren general hospital","warren","105","2353","10806","$169264"
"wayne memorial hospital","honesdale","104","3196","12783","$165581"
"waynesboro hospital","waynesboro","74","2792","9685","$132430"
"westfield medical center","allentown","22","714","1372","$11288"
"westmoreland  regional hospital","greensburg","359","20755","94906","$677068"
"wilkes-barre general hospital","wilkes-barre","418","19186","83807","$920695"
"wilkes-barre va medical center","wilkes-barre","0","0","0","$0"
"wills eye hospital","philadelphia","27","1707","3777","$55316"
"windber medical center","windber","50","1972","6528","$114205"
"york hospital","york","563","28092","130317","$1265996"
"t o t a l","&nbsp;","36509","1618992","7542101","$123845537"
