"collegesort","citysort","representativesort","statesort","district","zip codesort"
"talladega college","talladega","mike rogers","al","3","35160"
"snead state community college","boaz","robert b. aderholt","al","4","35957"
"george c. wallace state community college","hanceville","robert b. aderholt","al","4","35077"
"gadsden state community college","gadsden","robert b. aderholt","al","4","35903"
"northeast alabama community college","rainsville","robert b. aderholt","al","4","35986"
"bevill state community college","sumiton","robert b. aderholt","al","4","35148"
"oakwood college","huntsville","robert e. (bud) cramer jr.","al","5","35896"
"northwest - shoals community college","muscle shoals","robert e. (bud) cramer jr.","al","5","35661"
"athens state university","athens","robert e. (bud) cramer jr.","al","5","35611"
"j f drake state technical college","huntsville","robert e. (bud) cramer jr.","al","5","35811"
"university of north alabama","florence","robert e. (bud) cramer jr.","al","5","35632"
"john c calhoun state community college","decatur","robert e. (bud) cramer jr.","al","5","35609"
"university of alabama in huntsville","huntsville","robert e. (bud) cramer jr.","al","5","35899"
"alabama agricultural & mechanical university","normal","robert e. (bud) cramer jr.","al","5","35762"
"heritage christian university","florence","robert e. (bud) cramer jr.","al","5","35630"
"samford university","birmingham","spencer bachus","al","6","35229"
"university of montevallo","montevallo","spencer bachus","al","6","35115"
"southeastern bible college","birimingham","spencer bachus","al","6","35243"
"marion military institute","marion","artur davis","al","7","36756"
"university of alabama","tuscaloosa","artur davis","al","7","35487"
"stillman college","tuscaloosa","artur davis","al","7","35403"
"lawson state community college","birmingham","artur davis","al","7","35221"
"miles college","fairfield","artur davis","al","7","35064"
"george corley wallace state community college - selma","selma","artur davis","al","7","36703"
"university of west alabama","livingston","artur davis","al","7","35470"
"university of alabama at birmingham","birmingham","artur davis","al","7","35294"
"virginia college of birmingham","homewood","artur davis","al","7","35209"
"bessemer state technical college","bessemer","artur davis","al","7","35021"
"judson college","marion","artur davis","al","7","36756"
"concordia college","selma","artur davis","al","7","36701"
"shelton state community college","tuscaloosa","artur davis","al","7","35405"
"birmingham southern college","birmingham","artur davis","al","7","35254"
"herzing college","birmingham","artur davis","al","7","35209"
"university of arkansas community college at batesville","batesville","marion berry","ar","1","72503"
"black river technical college","pocahontas","marion berry","ar","1","72455"
"phillips community college of the university of arkansas","helena","marion berry","ar","1","72342"
"mid-south community college","west memphis","marion berry","ar","1","72301"
"lyon college","batesville","marion berry","ar","1","72501"
"crowley's ridge college","paragould","marion berry","ar","1","72450"
"east arkansas community college","forrest city","marion berry","ar","1","72335"
"ozarka college","melbourne","marion berry","ar","1","72556"
"williams baptist college","walnut ridge","marion berry","ar","1","72476"
"arkansas state university","jonesboro","marion berry","ar","1","72401"
"arkansas northeastern college","blytheville","marion berry","ar","1","72316"
"university of arkansas for medical sciences","little rock","vic snyder","ar","2","72205"
"arkansas baptist college","little rock","vic snyder","ar","2","72202"
"university of arkansas community college at morrilton","morrilton","vic snyder","ar","2","72110"
"hendrix college","conway","vic snyder","ar","2","72032"
"university of arkansas at little rock","little rock","vic snyder","ar","2","72204"
"harding university","searcy","vic snyder","ar","2","72149"
"university of central arkansas","conway","vic snyder","ar","2","72035"
"arkansas state university - beebe","beebe","vic snyder","ar","2","72012"
"philander smith college","little rock","vic snyder","ar","2","72202"
"pulaski technical college","north little rock","vic snyder","ar","2","72118"
"central baptist college","conway","vic snyder","ar","2","72034"
"university of the ozarks","clarksville","john boozman","ar","3","72830"
"northwest arkansas community college","bentonville","john boozman","ar","3","72712"
"arkansas tech university","russellville","john boozman","ar","3","72801"
"university of arkansas","fayetteville","john boozman","ar","3","72701"
"university of arkansas at fort smith","fort smith","john boozman","ar","3","72904"
"john brown university","siloam springs","john boozman","ar","3","72761"
"north arkansas college","harrison","john boozman","ar","3","72601"
"southeast arkansas college","pine bluff","mike ross","ar","4","71603"
"ouachita technical college","malvern","mike ross","ar","4","72104"
"rich mountain community college","mena","mike ross","ar","4","71953"
"university of arkansas community college at hope","hope","mike ross","ar","4","71801"
"southern arkansas university tech","camden","mike ross","ar","4","71701"
"university of arkansas at pine bluff","pine bluff","mike ross","ar","4","71601"
"henderson state university","arkadelphia","mike ross","ar","4","71999"
"national park community college","hot springs","mike ross","ar","4","71913"
"southern arkansas university","magnolia","mike ross","ar","4","71753"
"university of arkansas at monticello","monticello","mike ross","ar","4","71656"
"ouachita baptist university","arkadelphia","mike ross","ar","4","71998"
"cossatot community college of the university of arkansas","de queen","mike ross","ar","4","71832"
"south arkansas community college","el dorado","mike ross","ar","4","71731"
"dine college","tsaile","rick renzi","az","1","86556"
"northland pioneer college","holbrook","rick renzi","az","1","86025"
"coconino county community college","flagstaff","rick renzi","az","1","86001"
"prescott college","prescott","rick renzi","az","1","86301"
"northern arizona university","flagstaff","rick renzi","az","1","86011"
"eastern arizona college","thatcher","rick renzi","az","1","85552"
"yavapai college","prescott","rick renzi","az","1","86301"
"collegeamerica - flagstaff","flagstaff","rick renzi","az","1","86001"
"central arizona college","coolidge","rick renzi","az","1","85228"
"thunderbird the american graduate school of international m","glendale","trent franks","az","2","85306"
"arizona college of allied health","glendale","trent franks","az","2","85302"
"mohave community college","kingman","trent franks","az","2","86401"
"glendale community college","glendale","trent franks","az","2","85302"
"bryman school (the)","phoenix","john b. shadegg","az","3","85029"
"american indian college of the assemblies of god","phoenix","john b. shadegg","az","3","85021"
"southwestern college","phoenix","john b. shadegg","az","3","85032"
"long technical college","phoenix","john b. shadegg","az","3","85029"
"everest college","phoenix","john b. shadegg","az","3","85021"
"paradise valley community college","phoenix","john b. shadegg","az","3","85032"
"western international university","phoenix","john b. shadegg","az","3","85021"
"long technical college","phoenix","ed pastor","az","4","85003"
"itt technical institute","tempe","ed pastor","az","4","85282"
"refrigeration school (the)","phoenix","ed pastor","az","4","85034"
"grand canyon university","phoenix","ed pastor","az","4","85017"
"phoenix college","phoenix","ed pastor","az","4","85013"
"universal technical institute","avondale","ed pastor","az","4","85323"
"university of phoenix","phoenix","ed pastor","az","4","85040"
"gateway community college","phoenix","ed pastor","az","4","85034"
"apollo college","phoenix","ed pastor","az","4","85015"
"metropolitan college","phoenix","ed pastor","az","4","85008"
"arizona automotive institute","glendale","ed pastor","az","4","85301"
"south mountain community college","phoenix","ed pastor","az","4","85040"
"international institute of the americas","phoenix","ed pastor","az","4","85019"
"high-tech institute","phoenix","ed pastor","az","4","85014"
"arizona state university","tempe","j. d. hayworth","az","5","85287"
"southwest college of naturopathic medicine & health sciences","tempe","j. d. hayworth","az","5","85282"
"rio salado community college","tempe","j. d. hayworth","az","5","85281"
"mesa community college","mesa","j. d. hayworth","az","5","85202"
"university of advancing computer technology","tempe","j. d. hayworth","az","5","85283"
"collins college","tempe","j. d. hayworth","az","5","85281"
"scottsdale community college","scottsdale","j. d. hayworth","az","5","85256"
"international baptist college","tempe","j. d. hayworth","az","5","85282"
"lamson college","tempe","j. d. hayworth","az","5","85281"
"scottsdale culinary institute","scottsdale","j. d. hayworth","az","5","85251"
"chandler - gilbert community college","chandler","jeff flake","az","6","85225"
"arizona western college","yuma","ra�l m. grijalva","az","7","85365"
"university of arizona (the)","tucson","ra�l m. grijalva","az","7","85721"
"estrella mountain community college","avondale","ra�l m. grijalva","az","7","85323"
"pima county community college","tucson","ra�l m. grijalva","az","7","85709"
"pima medical institute","tucson","jim kolbe","az","8","85716"
"cochise college","douglas","jim kolbe","az","8","85607"
"chaparral college","tucson","jim kolbe","az","8","85712"
"art center design college (the)","tucson","jim kolbe","az","8","85716"
"itt technical institute","tucson","jim kolbe","az","8","85704"
"university of california davis","davis","mike thompson","ca","1","95616"
"college of the redwoods","eureka","mike thompson","ca","1","95501"
"pacific union college","angwin","mike thompson","ca","1","94508"
"dell'arte international school of physical theatre","blue lake","mike thompson","ca","1","95525"
"mendocino community college","ukiah","mike thompson","ca","1","95482"
"d-q university","davis","mike thompson","ca","1","95617"
"humboldt state university","arcata","mike thompson","ca","1","95521"
"napa valley college","napa","mike thompson","ca","1","94558"
"simpson college","redding","wally herger","ca","2","96003"
"california state university chico","chico","wally herger","ca","2","95929"
"college of the siskiyous","weed","wally herger","ca","2","96094"
"shasta bible college","redding","wally herger","ca","2","96002"
"yuba college","marysville","wally herger","ca","2","95901"
"shasta college","redding","wally herger","ca","2","96049"
"butte college","oroville","wally herger","ca","2","95965"
"american river college","sacramento","daniel e. lungren","ca","3","95841"
"heald college","rancho cordova","daniel e. lungren","ca","3","95670"
"maric college","sacramento","daniel e. lungren","ca","3","95821"
"mti college","sacramento","daniel e. lungren","ca","3","95841"
"itt technical institute","rancho cordova","daniel e. lungren","ca","3","95670"
"lake tahoe community college","south lake tahoe","john t. doolittle","ca","4","96150"
"heald college","roseville","john t. doolittle","ca","4","95678"
"lassen college","susanville","john t. doolittle","ca","4","96130"
"sierra college","rocklin","john t. doolittle","ca","4","95677"
"feather river community college","quincy","john t. doolittle","ca","4","95971"
"trinity life bible college","sacramento","doris matsui","ca","5","95842"
"cosumnes river college","sacramento","doris matsui","ca","5","95823"
"western career college","sacramento","doris matsui","ca","5","95826"
"sacramento city college","sacramento","doris matsui","ca","5","95822"
"northwestern technical college","sacramento","doris matsui","ca","5","95825"
"california state university - sacramento","sacramento","doris matsui","ca","5","95819"
"san francisco theological seminary","san anselmo","lynn c. woolsey","ca","6","94960"
"college of marin","kentfield","lynn c. woolsey","ca","6","94904"
"empire college","santa rosa","lynn c. woolsey","ca","6","95403"
"sonoma college","petaluma","lynn c. woolsey","ca","6","94954"
"dominican university of california","san rafael","lynn c. woolsey","ca","6","94901"
"santa rosa junior college","santa rosa","lynn c. woolsey","ca","6","95401"
"sonoma state university","rohnert park","lynn c. woolsey","ca","6","94928"
"contra costa college","san pablo","george miller","ca","7","94806"
"heald college","concord","george miller","ca","7","94520"
"california maritime academy","vallejo","george miller","ca","7","94590"
"los medanos college","pittsburg","george miller","ca","7","94565"
"franciscan school of theology","berkeley","nancy pelosi","ca","8","94709"
"san francisco art institute","san francisco","nancy pelosi","ca","8","94133"
"saybrook graduate school and research center","san francisco","nancy pelosi","ca","8","94111"
"american college of traditional chinese medicine","san francisco","nancy pelosi","ca","8","94107"
"golden gate university","san francisco","nancy pelosi","ca","8","94105"
"university of california hastings college of the law","san francisco","nancy pelosi","ca","8","94102"
"lincoln university","oakland","nancy pelosi","ca","8","94612"
"university of san francisco","san francisco","nancy pelosi","ca","8","94117"
"new college of california","san francisco","nancy pelosi","ca","8","94110"
"california college of the arts","san francisco","nancy pelosi","ca","8","94107"
"heald college","san francisco","nancy pelosi","ca","8","94105"
"california culinary academy","san francisco","nancy pelosi","ca","8","94102"
"university of california san francisco","san francisco","nancy pelosi","ca","8","94143"
"city college of san francisco","san francisco","nancy pelosi","ca","8","94112"
"american conservatory theater foundation","san francisco","nancy pelosi","ca","8","94108"
"academy of art university","san francisco","nancy pelosi","ca","8","94105"
"california institute of integral studies","san francisco","nancy pelosi","ca","8","94103"
"art institute of california - los angeles (the)","santa monica","nancy pelosi","ca","8","90405"
"laney college","oakland","barbara lee","ca","9","94607"
"university of california berkeley","berkeley","barbara lee","ca","9","94720"
"pacific school of religion","berkeley","barbara lee","ca","9","94709"
"church divinity school of the pacific","berkeley","barbara lee","ca","9","94709"
"wright institute (the)","berkeley","barbara lee","ca","9","94704"
"holy names university","oakland","barbara lee","ca","9","94619"
"academy of chinese culture and health sciences","oakland","barbara lee","ca","9","94612"
"patten university","oakland","barbara lee","ca","9","94601"
"jesuit school of theology - berkeley","berkeley","barbara lee","ca","9","94709"
"graduate theological union","berkeley","barbara lee","ca","9","94709"
"pacific lutheran theological seminary","berkeley","barbara lee","ca","9","94708"
"american baptist seminary of the west","berkeley","barbara lee","ca","9","94704"
"merritt college","oakland","barbara lee","ca","9","94619"
"samuel merritt college","oakland","barbara lee","ca","9","94609"
"college of alameda","alameda","barbara lee","ca","9","94501"
"dominican school of philosophy and theology","berkeley","barbara lee","ca","9","94709"
"starr king school for the ministry","berkeley","barbara lee","ca","9","94709"
"meiji college of oriental medicine","berkeley","barbara lee","ca","9","94704"
"vista community college","berkeley","barbara lee","ca","9","94704"
"mills college","oakland","barbara lee","ca","9","94613"
"las positas college","livermore","ellen o. tauscher","ca","10","94550"
"solano community college","fairfield","ellen o. tauscher","ca","10","94585"
"john f. kennedy university","pleasant hill","ellen o. tauscher","ca","10","94523"
"saint mary's college of california","moraga","ellen o. tauscher","ca","10","94556"
"diablo valley college","pleasant hill","ellen o. tauscher","ca","10","94523"
"san joaquin delta college","stockton","richard w. pombo","ca","11","95207"
"university of the pacific","stockton","richard w. pombo","ca","11","95211"
"humphreys college","stockton","richard w. pombo","ca","11","95207"
"san francisco state university","san francisco","tom lantos","ca","12","94132"
"skyline college","san bruno","tom lantos","ca","12","94066"
"san francisco conservatory of music","san francisco","tom lantos","ca","12","94122"
"college of san mateo","san mateo","tom lantos","ca","12","94402"
"cogswell polytechnical college","sunnyvale","tom lantos","ca","12","94089"
"silicon valley college","fremont","fortney pete stark","ca","13","94538"
"heald college","hayward","fortney pete stark","ca","13","94545"
"wyotech","fremont","fortney pete stark","ca","13","94539"
"california school of professional psychology alameda","alameda","fortney pete stark","ca","13","94501"
"chabot college","hayward","fortney pete stark","ca","13","94545"
"ohlone college","fremont","fortney pete stark","ca","13","94539"
"life chiropractic college west","hayward","fortney pete stark","ca","13","94545"
"california state university hayward","hayward","fortney pete stark","ca","13","94542"
"bethany college of the assemblies of god","scotts valley","anna g. eshoo","ca","14","95066"
"pacific graduate school of psychology","palo alto","anna g. eshoo","ca","14","94303"
"foothill college","los altos hills","anna g. eshoo","ca","14","94022"
"stanford university","stanford","anna g. eshoo","ca","14","94305"
"canada college","redwood city","anna g. eshoo","ca","14","94061"
"notre dame de namur university","belmont","anna g. eshoo","ca","14","94002"
"west valley college","saratoga","anna g. eshoo","ca","14","95070"
"institute of transpersonal psychology","palo alto","anna g. eshoo","ca","14","94303"
"menlo college","atherton","anna g. eshoo","ca","14","94027"
"bryman college","san jose","michael m. honda","ca","15","95128"
"santa clara university","santa clara","michael m. honda","ca","15","95053"
"gavilan college","gilroy","michael m. honda","ca","15","95020"
"san jose city college","san jose","michael m. honda","ca","15","95128"
"international technological university","santa clara","michael m. honda","ca","15","95050"
"de anza community college","cupertino","michael m. honda","ca","15","95014"
"mission college","santa clara","michael m. honda","ca","15","95054"
"heald college","milpitas","michael m. honda","ca","15","95035"
"palmer college of chiropractic west","san jose","zoe lofgren","ca","16","95134"
"san jose state university","san jose","zoe lofgren","ca","16","95192"
"national hispanic university","san jose","zoe lofgren","ca","16","95127"
"evergreen valley college","san jose","zoe lofgren","ca","16","95135"
"william jessup university","san jose","zoe lofgren","ca","16","95112"
"monterey institute of international studies","monterey","sam farr","ca","17","93940"
"hartnell community college","salinas","sam farr","ca","17","93901"
"cabrillo college","aptos","sam farr","ca","17","95003"
"monterey peninsula college","monterey","sam farr","ca","17","93940"
"university of california santa cruz","santa cruz","sam farr","ca","17","95064"
"california state university monterey bay","seaside","sam farr","ca","17","93955"
"heald college","salinas","sam farr","ca","17","93906"
"five branches institute","santa cruz","sam farr","ca","17","95062"
"california college","modesto","dennis a. cardoza","ca","18","95350"
"heald college","stockton","dennis a. cardoza","ca","18","95210"
"modesto junior college","modesto","dennis a. cardoza","ca","18","95350"
"merced community college","merced","dennis a. cardoza","ca","18","95348"
"columbia college","sonora","george radanovich","ca","19","95370"
"fresno city college","fresno","george radanovich","ca","19","93741"
"california state university stanislaus","turlock","george radanovich","ca","19","95382"
"heald college","fresno","george radanovich","ca","19","93704"
"fresno pacific university","fresno","jim costa","ca","20","93702"
"west hills community college","coalinga","jim costa","ca","20","93210"
"california state university fresno","fresno","devin nunes","ca","21","93740"
"california christian college","fresno","devin nunes","ca","21","93703"
"san joaquin valley college","visalia","devin nunes","ca","21","93291"
"california school of professional psychology - fresno","fresno","devin nunes","ca","21","93727"
"reedley college","reedley","devin nunes","ca","21","93654"
"college of the sequoias","visalia","devin nunes","ca","21","93277"
"mennonite brethren biblical seminary","fresno","devin nunes","ca","21","93727"
"san joaquin college of law","clovis","devin nunes","ca","21","93612"
"porterville college","porterville","devin nunes","ca","21","93257"
"antelope valley college","lancaster","william m. thomas","ca","22","93536"
"santa barbara business college","bakersfield","william m. thomas","ca","22","93309"
"california polytechnic state university","san luis obispo","william m. thomas","ca","22","93407"
"bakersfield college","bakersfield","william m. thomas","ca","22","93305"
"cerro coso community college","ridgecrest","william m. thomas","ca","22","93555"
"california state university bakersfield","bakersfield","william m. thomas","ca","22","93311"
"taft college","taft","william m. thomas","ca","22","93268"
"oxnard college","oxnard","lois capps","ca","23","93033"
"cuesta college","san luis obispo","lois capps","ca","23","93403"
"westmont college","santa barbara","lois capps","ca","23","93108"
"brooks institute of photography","santa barbara","lois capps","ca","23","93103"
"pacifica graduate institute","carpinteria","lois capps","ca","23","93013"
"santa barbara business college","santa maria","lois capps","ca","23","93454"
"santa barbara business college","santa barbara","lois capps","ca","23","93111"
"university of california santa barbara","santa barbara","lois capps","ca","23","93106"
"santa barbara college of oriental medicine","santa barbara","lois capps","ca","23","93101"
"allan hancock college","santa maria","lois capps","ca","23","93454"
"santa barbara city college","santa barbara","lois capps","ca","23","93109"
"fielding graduate institute","santa barbara","lois capps","ca","23","93105"
"saint john's seminary","camarillo","elton gallegly","ca","24","93012"
"california lutheran university","thousand oaks","elton gallegly","ca","24","91360"
"thomas aquinas college","santa paula","elton gallegly","ca","24","93060"
"ventura county community college district office","camarillo","elton gallegly","ca","24","93010"
"moorpark college","moorpark","elton gallegly","ca","24","93021"
"ventura college","ventura","elton gallegly","ca","24","93003"
"barstow community college","barstow","howard p. ``buck'' mckeon","ca","25","92311"
"master's college & seminary (the)","santa clarita","howard p. ``buck'' mckeon","ca","25","91321"
"california institute of the arts","valencia","howard p. ``buck'' mckeon","ca","25","91355"
"college of the canyons","santa clarita","howard p. ``buck'' mckeon","ca","25","91355"
"life pacific college","san dimas","david dreier","ca","26","91773"
"chaffey community college","rancho cucamonga","david dreier","ca","26","91737"
"claremont graduate university","claremont","david dreier","ca","26","91711"
"pitzer college","claremont","david dreier","ca","26","91711"
"university of la verne","la verne","david dreier","ca","26","91750"
"claremont school of theology","claremont","david dreier","ca","26","91711"
"scripps college","claremont","david dreier","ca","26","91711"
"claremont mckenna college","claremont","david dreier","ca","26","91711"
"mount san antonio college","walnut","david dreier","ca","26","91789"
"citrus community college","glendora","david dreier","ca","26","91741"
"harvey mudd college","claremont","david dreier","ca","26","91711"
"pomona college","claremont","david dreier","ca","26","91711"
"mt. sierra college","monrovia","david dreier","ca","26","91016"
"columbia college - hollywood","tarzana","brad sherman","ca","27","91356"
"california state university northridge","northridge","brad sherman","ca","27","91330"
"woodbury university","burbank","brad sherman","ca","27","91504"
"itt technical institute","sylmar","brad sherman","ca","27","91342"
"los angeles pierce college","woodland hills","brad sherman","ca","27","91371"
"los angeles mission college","sylmar","brad sherman","ca","27","91342"
"concorde career institute","north hollywood","howard l. berman","ca","28","91606"
"phillips graduate institute","encino","howard l. berman","ca","28","91316"
"king's college and seminary (the)","van nuys","howard l. berman","ca","28","91405"
"modern technology college","north hollywood","howard l. berman","ca","28","91606"
"los angeles valley college","valley glen","howard l. berman","ca","28","91401"
"california school of professional psychology los angeles","alhambra","adam b. schiff","ca","29","91803"
"california institute of technology","pasadena","adam b. schiff","ca","29","91125"
"art center college of design","pasadena","adam b. schiff","ca","29","91103"
"glendale community college","glendale","adam b. schiff","ca","29","91208"
"pasadena city college","pasadena","adam b. schiff","ca","29","91106"
"california school of culinary arts","pasadena","adam b. schiff","ca","29","91101"
"fuller theological seminary","pasadena","adam b. schiff","ca","29","91182"
"pacific oaks college","pasadena","adam b. schiff","ca","29","91103"
"emperor's college of traditional oriental medicine","santa monica","henry a. waxman","ca","30","90403"
"university of judaism","los angeles","henry a. waxman","ca","30","90077"
"rand graduate school","santa monica","henry a. waxman","ca","30","90407"
"pepperdine university","malibu","henry a. waxman","ca","30","90263"
"mount st. mary's college","los angeles","henry a. waxman","ca","30","90049"
"santa monica college","santa monica","henry a. waxman","ca","30","90405"
"university of california los angeles","los angeles","henry a. waxman","ca","30","90095"
"yeshiva ohr elchonon chabad - west coast talmudical seminary","los angeles","henry a. waxman","ca","30","90046"
"institute of computer technology","los angeles","xavier becerra","ca","31","90010"
"cleveland chiropractic college","los angeles","xavier becerra","ca","31","90004"
"platt college","alhambra","xavier becerra","ca","31","91803"
"los angeles trade-technical college","los angeles","xavier becerra","ca","31","90015"
"pacific states university","los angeles","xavier becerra","ca","31","90006"
"occidental college","los angeles","xavier becerra","ca","31","90041"
"california design college","los angeles","xavier becerra","ca","31","90010"
"southwestern university school of law","los angeles","xavier becerra","ca","31","90005"
"los angeles city college","los angeles","xavier becerra","ca","31","90029"
"itt technical institute","west covina","hilda l. solis","ca","32","91790"
"azusa pacific university","azusa","hilda l. solis","ca","32","91702"
"don bosco technical institute","rosemead","hilda l. solis","ca","32","91770"
"city of hope graduate school of biological sciences","duarte","hilda l. solis","ca","32","91010"
"east los angeles college","monterey park","hilda l. solis","ca","32","91754"
"california state university los angeles","los angeles","hilda l. solis","ca","32","90032"
"west los angeles college","culver city","diane e. watson","ca","33","90230"
"musicians institute","hollywood","diane e. watson","ca","33","90028"
"dongguk royal university","los angeles","diane e. watson","ca","33","90020"
"university of southern california","los angeles","diane e. watson","ca","33","90089"
"american academy of dramatic arts-west","hollywood","diane e. watson","ca","33","90028"
"westwood college - los angeles","los angeles","diane e. watson","ca","33","90010"
"samra university of oriental medicine","los angeles","diane e. watson","ca","33","90034"
"american film institute conservatory","los angeles","diane e. watson","ca","33","90027"
"hebrew union college - jewish institute of religion","los angeles","diane e. watson","ca","33","90007"
"los angeles county college of nursing and allied health","los angeles","lucille roybal-allard","ca","34","90033"
"fashion institute of design & merchandising","los angeles","lucille roybal-allard","ca","34","90015"
"southern california institute of architecture (the)","los angeles","lucille roybal-allard","ca","34","90013"
"el camino college district","torrance","maxine waters","ca","35","90506"
"los angeles southwest college","los angeles","maxine waters","ca","35","90047"
"university of west los angeles","inglewood","maxine waters","ca","35","90301"
"loyola marymount university","los angeles","maxine waters","ca","35","90045"
"westwood college of aviation technology","inglewood","maxine waters","ca","35","90301"
"otis college of art & design","los angeles","maxine waters","ca","35","90045"
"los angeles harbor college","wilmington","jane harman","ca","36","90744"
"yo san university of traditional chinese medicine","los angeles","jane harman","ca","36","90066"
"charles r. drew university of medicine and science","los angeles","juanita millender-mcdonald","ca","37","90059"
"long beach city college","long beach","juanita millender-mcdonald","ca","37","90808"
"itt technical institute","torrance","juanita millender-mcdonald","ca","37","90502"
"brooks college","long beach","juanita millender-mcdonald","ca","37","90804"
"compton community college","compton","juanita millender-mcdonald","ca","37","90221"
"national institute of technology","long beach","juanita millender-mcdonald","ca","37","90810"
"california state university dominguez hills","carson","juanita millender-mcdonald","ca","37","90747"
"western university of health sciences","pomona","grace f. napolitano","ca","38","91766"
"rio hondo community college","whittier","grace f. napolitano","ca","38","90601"
"california state polytechnic university pomona","pomona","grace f. napolitano","ca","38","91768"
"biola university","la mirada","linda t. s�nchez","ca","39","90639"
"platt college","cerritos","linda t. s�nchez","ca","39","90703"
"southern california university of health sciences","whittier","linda t. s�nchez","ca","39","90604"
"cerritos community college","norwalk","linda t. s�nchez","ca","39","90650"
"fullerton college","fullerton","edward r. royce","ca","40","92832"
"western state university college of law","fullerton","edward r. royce","ca","40","92831"
"cypress college","cypress","edward r. royce","ca","40","90630"
"south coast college","orange","edward r. royce","ca","40","92868"
"hope international university","fullerton","edward r. royce","ca","40","92831"
"southern california college of optometry","fullerton","edward r. royce","ca","40","92831"
"chapman university","orange","edward r. royce","ca","40","92866"
"california state university fullerton","fullerton","edward r. royce","ca","40","92831"
"career networks institute","costa mesa","edward r. royce","ca","40","92626"
"bryman college","san bernardino","jerry lewis","ca","41","92408"
"victor valley community college","victorville","jerry lewis","ca","41","92392"
"copper mountain college","joshua tree","jerry lewis","ca","41","92252"
"mount san jacinto college","san jacinto","jerry lewis","ca","41","92583"
"california state university san bernardino","san bernardino","jerry lewis","ca","41","92407"
"university of redlands","redlands","jerry lewis","ca","41","92373"
"itt technical institute","san bernardino","jerry lewis","ca","41","92408"
"crafton hills college","yucaipa","jerry lewis","ca","41","92399"
"loma linda university","loma linda","jerry lewis","ca","41","92350"
"whittier college","whittier","gary g. miller","ca","42","90601"
"saddleback college","mission viejo","gary g. miller","ca","42","92692"
"bryman college","ontario","joe baca","ca","43","91762"
"san bernardino valley college","san bernardino","joe baca","ca","43","92410"
"concorde career institute","san bernardino","joe baca","ca","43","92408"
"university of california riverside","riverside","ken calvert","ca","44","92521"
"california baptist university","riverside","ken calvert","ca","44","92504"
"la sierra university","riverside","ken calvert","ca","44","92515"
"sage college","moreno valley","ken calvert","ca","44","92557"
"riverside community college","riverside","ken calvert","ca","44","92506"
"college of the desert","palm desert","mary bono","ca","45","92260"
"palo verde college","blythe","mary bono","ca","45","92225"
"golden west college","huntington beach","dana rohrabacher","ca","46","92647"
"california state university long beach","long beach","dana rohrabacher","ca","46","90840"
"orange coast college","costa mesa","dana rohrabacher","ca","46","92628"
"college of oceaneering","wilmington","dana rohrabacher","ca","46","90744"
"coastline community college","fountain valley","dana rohrabacher","ca","46","92708"
"vanguard university of southern california","costa mesa","dana rohrabacher","ca","46","92626"
"marymount college","rancho palos verdes","dana rohrabacher","ca","46","90274"
"maric college","anaheim","loretta sanchez","ca","47","92805"
"south baylo university","anaheim","loretta sanchez","ca","47","92801"
"laguna college of art and design","laguna beach","loretta sanchez","ca","47","92651"
"bethesda christian university","anaheim","loretta sanchez","ca","47","92801"
"itt technical institute","anaheim","loretta sanchez","ca","47","92801"
"westwood college - long beach","long beach","loretta sanchez","ca","47","90810"
"concorde career institute","garden grove","loretta sanchez","ca","47","92840"
